,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
53,3/31/2010,"27,671,000","13,710,000","16,845,000","10,557,000","10,557,000","5,693,000","95,000","407,000","93,000","3,135,000","844,000","701,000","1,260,000",-,"330,000","13,961,000","6,930,000","6,930,000","2,304,000","3,265,000",-,"1,361,000","202,000","1,461,000","4,548,000",-,"610,000","610,000",-,"412,000","-7,010,000","16,124,000","2,006,000","869,000","1,137,000","1,575,000","7,859,000","7,276,000","7,276,000","1,137,000","583,000","243,000","243,000","243,000","243,000","4,441,000",-,0,0,-,"4,537,000","1,211,000","2,974,000","3,326,000","3,326,000","3,326,000",-,0,"162,000","2,974,000",0.75,0.74,"3,970,500","3,994,700","6,700,000","3,326,000","3,326,000","502,000","243,000","3,326,000",0,0,0,0
54,12/31/2009,"23,164,000","12,378,000","15,615,000","8,929,000","8,929,000","6,092,000","119,000","368,000","107,000","3,237,000","889,000","937,000","1,358,000",-,"53,000","10,786,000","7,420,000","7,420,000","2,215,000","3,361,000",-,"1,844,000","2,215,000","1,916,000","838,000",-,"381,000","381,000",-,"231,000","-7,284,000","11,974,000","2,126,000","944,000","1,182,000","1,682,000","5,648,000","5,112,000","5,112,000","1,182,000","536,000","256,000","256,000","256,000","256,000","2,262,000",-,"-30,000","30,000",-,"3,876,000","598,000","2,952,000","3,278,000","3,278,000","3,278,000",-,0,"162,000","2,952,000",0.75,0.74,"3,946,100","3,974,100","5,094,000","3,278,000","3,303,372","487,000","256,000","3,278,000","-30,000","-30,000",0,"-4,628"
55,9/30/2009,"26,622,000","12,737,000","16,260,000","9,442,000","9,442,000","6,187,000","130,000","368,000","133,000","3,523,000","1,086,000","941,000","1,426,000",-,"70,000","13,885,000","7,537,000","7,537,000","2,669,000","3,158,000",-,"1,710,000","843,000","1,679,000","3,860,000",-,"184,000","184,000",-,"625,000","-8,104,000","13,352,000","2,063,000","923,000","1,140,000","1,517,000","7,751,000","7,311,000","7,311,000","1,140,000","440,000","254,000","254,000","254,000","254,000","1,767,000",-,"-103,000","103,000",-,"5,063,000","1,551,000","3,240,000","3,588,000","3,588,000","3,512,000",-,"76,000","163,000","3,240,000",0.82,0.82,"3,937,900","3,962,000","4,633,000","3,512,000","3,583,447","498,000","254,000","3,512,000","-103,000","-103,000",0,"-31,553"
56,6/30/2009,"25,623,000","12,670,000","16,549,000","9,825,000","9,825,000","6,132,000","246,000","272,000","74,000","3,879,000","1,165,000","876,000","1,781,000",-,"57,000","12,953,000","7,393,000","7,393,000","2,550,000","3,124,000",-,"1,719,000","784,000","2,106,000","3,097,000",-,"347,000","347,000",-,"10,000","-8,031,000","13,377,000","2,070,000","914,000","1,156,000","1,518,000","7,334,000","6,917,000","6,917,000","1,156,000","417,000","265,000","265,000","265,000","265,000","2,190,000",-,"-143,000","143,000",-,"4,072,000","1,351,000","1,072,000","2,721,000","2,721,000","2,721,000",-,0,"473,000","1,072,000",0.28,0.28,"3,811,500","3,824,100","4,639,000","2,721,000","2,816,556","518,000","265,000","2,721,000","-143,000","-143,000",0,"-47,444"
57,3/31/2009,"25,025,000","13,367,000","17,926,000","10,508,000","10,508,000","6,160,000","443,000","650,000","165,000","4,559,000","-1,686,000","-1,091,000","1,744,000",-,"5,592,000","11,658,000","8,023,000","8,023,000","3,289,000","2,897,000",-,"1,837,000","1,633,000","1,386,000","2,001,000",-,"198,000","198,000",-,"50,000","-8,596,000","13,168,000","2,031,000","885,000","1,146,000","1,515,000","7,972,000","7,588,000","7,588,000","1,146,000","384,000","275,000","275,000","275,000","275,000","1,375,000",-,"-205,000","205,000",-,"3,056,000","915,000","1,519,000","2,141,000","2,141,000","2,141,000",-,0,"529,000","1,519,000",0.40,0.40,"3,755,700","3,758,700","4,771,000","2,141,000","2,284,621","1,093,000","275,000","2,141,000","-205,000","-205,000",0,"-61,379"
58,12/31/2008,"17,226,000","13,832,000","21,631,000","12,182,000","12,182,000","4,343,000","891,000","3,782,000","433,000","7,799,000","2,995,000","2,523,000","2,413,000",-,"-132,000","3,394,000","8,848,000","8,848,000","3,565,000","3,234,000",-,"2,049,000","5,220,000","1,382,000","-7,885,000",-,"456,000","456,000",-,"593,000","-7,313,000","11,074,000","2,162,000","955,000","1,207,000","1,819,000","5,525,000","5,024,000","5,024,000","1,207,000","501,000","326,000","326,000","326,000","326,000","1,242,000",-,"-181,000","181,000",-,"-1,342,000","-719,000","279,000","702,000","702,000","-623,000",-,"1,325,000","423,000","279,000",0.07,0.07,"3,737,500","3,737,500","6,519,000","-623,000","-505,350","4,673,000","326,000","-623,000","-181,000","-181,000",0,"-63,350"
59,9/30/2008,"14,737,000","8,994,000","17,326,000","8,450,000","8,450,000","6,694,000","316,000","1,558,000","308,000","8,332,000","3,351,000","2,563,000","2,176,000",-,"242,000","5,743,000","6,881,000","6,881,000","1,625,000","3,485,000",-,"1,771,000","3,544,000","1,316,000","-2,763,000",-,"424,000","424,000",-,"-115,000","-5,787,000","11,041,000","1,878,000","766,000","1,112,000","1,451,000","6,311,000","5,858,000","5,858,000","1,112,000","453,000","305,000","305,000","305,000","305,000","1,096,000",-,"-96,000","96,000",-,"-2,187,000","-2,133,000","527,000","527,000","527,000","-54,000",0,"581,000",-,"527,000",0.14,0.14,"3,411,100","3,512,900","3,207,000","-54,000","8,400","1,874,000","305,000","-54,000","-96,000","-96,000",0,"-33,600"
60,6/30/2008,"18,399,000","8,294,000","16,529,000","8,430,000","8,430,000","6,087,000","373,000","1,485,000","154,000","8,235,000","3,592,000","2,616,000","1,864,000",-,"163,000","10,105,000","9,596,000","9,596,000","1,105,000","4,380,000",-,-,"4,111,000",-,-,-,"647,000","647,000",-,"-138,000","-3,455,000","12,022,000","669,000",-,-,-,"7,326,000","6,913,000","6,913,000",-,"413,000",-,-,-,-,"4,027,000",-,"-155,000","155,000",-,"2,767,000","764,000","2,003,000","2,003,000","2,003,000","2,003,000",-,-,-,"2,003,000",0.54,0.53,"3,426,200","3,453,100","4,839,000","2,003,000","2,115,203","1,858,000","1,212,000","2,003,000","-155,000","-155,000",0,"-42,797"
61,3/31/2008,"16,890,000","7,659,000","17,532,000","9,285,000","9,285,000","6,456,000","336,000","1,455,000",-,"9,873,000","4,608,000","3,231,000","1,902,000",-,"132,000","9,231,000","8,172,000","8,172,000","1,039,000","3,596,000",-,-,"3,537,000",-,-,-,"-770,000","-770,000",-,"1,829,000","-4,424,000","8,931,000","1,616,000",-,-,-,"5,497,000","4,951,000","4,951,000",-,"546,000",-,-,-,-,"1,818,000",-,-,-,-,"3,535,000","1,162,000","2,373,000","2,373,000","2,373,000","2,373,000",-,-,-,"2,373,000",0.70,0.68,"3,396,000","3,494,700","3,235,000","2,373,000","2,373,000","1,791,000","923,000","2,373,000",-,-,0,0
62,12/31/2007,"17,384,000","6,647,000","18,043,000","9,749,000","9,749,000","1,677,000","517,000","6,100,000",-,"11,396,000","5,678,000","3,679,000","1,884,000",-,"155,000","10,737,000","2,744,000","2,744,000","3,184,000","3,896,000",-,-,"4,417,000",-,-,-,"-8,126,000","-8,126,000",-,"469,000","-2,542,000","10,698,000","4,438,000",-,-,-,"6,039,000","5,469,000","5,469,000",-,"570,000",-,-,-,-,"-6,313,000",-,"-22,000","22,000",-,"4,122,000","1,151,000","2,971,000","2,971,000","2,971,000","2,971,000",-,-,-,"2,971,000",-,-,-,-,"4,105,000","2,971,000","2,986,857","6,617,000","1,061,000","2,971,000","-22,000","-22,000",0,"-6,143"
63,9/30/2007,"16,112,000","7,326,000","19,219,000","9,375,000","9,375,000","7,707,000","508,000","1,629,000",-,"11,893,000","5,638,000","4,301,000","1,789,000",-,"165,000","8,786,000","8,023,000","8,023,000","1,026,000","3,663,000",-,-,"3,334,000",-,-,-,"474,000","474,000",-,"289,000","-1,785,000","9,266,000","657,000",-,-,-,"5,238,000","4,677,000","4,677,000",-,"561,000",-,-,-,-,"3,371,000",-,"-61,000","61,000",-,"5,000,000","1,627,000","3,373,000","3,373,000","3,373,000","3,373,000",-,-,-,"3,373,000",1.00,0.97,"3,375,900","3,477,700","5,541,000","3,373,000","3,414,151","2,137,000","957,000","3,373,000","-61,000","-61,000",0,"-19,849"
64,6/30/2007,"18,908,000","6,315,000","17,489,000","8,845,000","8,845,000","6,785,000","207,000","1,652,000",-,"11,174,000","5,342,000","4,198,000","1,525,000",-,"109,000","12,593,000","8,697,000","8,697,000","951,000","3,611,000",-,-,"4,135,000",-,-,-,"3,343,000","3,343,000",-,"553,000","-1,529,000","10,964,000","652,000",-,-,-,"6,766,000","6,309,000","6,309,000",-,"457,000",-,-,-,-,"3,546,000",-,"-64,000","64,000",-,"6,351,000","2,117,000","4,234,000","4,234,000","4,234,000","4,234,000",-,-,-,"4,234,000",1.24,1.20,"3,415,100","3,521,600","4,786,000","4,234,000","4,276,667","1,859,000","927,000","4,234,000","-64,000","-64,000",0,"-21,333"
65,3/31/2007,"18,968,000","6,118,000","16,636,000","8,691,000","8,691,000","5,051,000","186,000","2,708,000",-,"10,518,000","4,995,000","3,964,000","1,408,000",-,"151,000","12,850,000","7,859,000","7,859,000","895,000","3,186,000",-,-,"3,778,000",-,-,-,"4,473,000","4,473,000",-,"518,000","-1,008,000","10,566,000","640,000",-,-,-,"6,716,000","6,234,000","6,234,000",-,"482,000",-,-,-,-,"3,210,000",-,"-62,000","62,000",-,"7,332,000","2,545,000","4,787,000","4,787,000","4,787,000","4,787,000",-,-,-,"4,787,000",1.38,1.34,"3,456,400","3,559,500","5,110,000","4,787,000","4,827,479","2,894,000","876,000","4,787,000","-62,000","-62,000",0,"-21,521"
66,12/31/2006,"16,054,000","5,692,000","16,693,000","8,884,000","8,884,000","2,380,000","259,000","5,822,000",0,"11,001,000","4,902,000","4,403,000","1,539,000",-,"157,000","10,362,000","5,760,000","5,760,000","1,486,000","3,145,000",-,-,"7,240,000","1,565,000",-,-,"-7,831,000","-7,831,000",-,"522,000","-1,134,000","9,646,000","4,278,000",-,-,-,"5,599,000","4,985,000","4,985,000",-,"614,000",-,-,-,-,"-5,547,000",-,"-100,000","100,000",-,"5,174,000","1,268,000","4,530,000","4,526,000","4,526,000","3,906,000","620,000",-,0,"4,530,000",-,-,-,-,"4,558,000","4,526,000","3,981,493","6,081,000","997,000","3,906,000","-100,000","-100,000",0,"-24,507"
67,9/30/2006,"15,400,000","5,379,000","14,936,000","8,709,000","8,709,000","4,759,000","352,000","1,116,000",-,"9,557,000","4,471,000","3,573,000","1,370,000",-,"143,000","10,021,000","5,294,000","5,294,000","867,000","2,798,000",-,-,"1,629,000","1,416,000",-,-,"2,676,000","2,676,000",-,"635,000","-812,000","9,603,000","563,000",-,-,-,"5,940,000","5,390,000","5,390,000",-,"550,000",-,-,-,-,"3,100,000",-,"-48,000","48,000",-,"4,937,000","1,705,000","3,297,000","3,297,000","3,297,000","3,232,000","65,000",-,-,"3,297,000",0.95,0.92,"3,468,600","3,574,000","4,567,000","3,297,000","3,263,423","1,468,000","860,000","3,232,000","-48,000","-48,000",0,"-16,577"
68,6/30/2006,"14,940,000","5,178,000","14,413,000","8,034,000","8,034,000","4,604,000","434,000","1,020,000","321,000","9,235,000","4,118,000","3,231,000","1,359,000",-,"527,000","9,762,000","5,802,000","5,802,000","865,000","2,933,000",-,-,"2,004,000","1,370,000",-,-,"-502,000","-502,000",-,"3,092,000","-493,000","9,150,000","553,000",-,-,-,"5,794,000","5,268,000","5,268,000",-,"526,000",-,-,-,-,"2,803,000",-,"-86,000","86,000",-,"5,211,000","1,727,000","3,540,000","3,540,000","3,540,000","3,484,000","56,000",-,-,"3,540,000",1.02,0.99,"3,473,800","3,572,200","4,685,000","3,540,000","3,541,498","1,454,000","883,000","3,484,000","-86,000","-86,000",0,"-28,502"
69,3/31/2006,"15,236,000","5,060,000","13,301,000","7,497,000","7,497,000","3,683,000","247,000","1,543,000","331,000","8,241,000","3,665,000","2,934,000","1,235,000",-,"407,000","10,176,000","5,224,000","5,224,000","841,000","2,973,000",-,-,"1,410,000",-,-,-,"-116,000","-116,000",-,"5,068,000","-831,000","9,681,000","602,000",-,-,-,"6,119,000","5,600,000","5,600,000",-,"519,000",-,-,-,-,"2,960,000",-,"-71,000","71,000",-,"4,653,000","1,572,000","3,077,000","3,081,000","3,081,000","3,081,000",-,-,"4,000","3,077,000",0.89,0.86,"3,472,700","3,570,800","4,229,000","3,081,000","3,128,013","1,790,000","837,000","3,081,000","-71,000","-71,000",0,"-23,987"
70,12/31/2005,"13,678,000","4,753,000","12,184,000","7,012,000","7,012,000","3,317,000","208,000","1,363,000","284,000","7,431,000","3,226,000","2,597,000","1,190,000",-,"418,000","8,925,000","9,221,000","9,221,000","853,000","2,723,000",-,-,"5,645,000",-,-,-,"-232,000","-232,000",-,"2,879,000","-1,224,000","11,230,000","645,000",-,-,-,"6,978,000","4,286,000","4,286,000",-,"2,692,000",-,-,-,-,"3,607,000",-,"2,695,000","77,000",-,"3,919,000","1,221,000","2,696,000","2,698,000","2,698,000","2,698,000",-,-,"2,000","2,696,000",-,-,-,-,"3,529,000","2,698,000","842,652","1,571,000","1,063,000","2,698,000","2,695,000","2,695,000",0,"839,652"
71,9/30/2005,"14,465,000","4,852,000","11,435,000","6,721,000","6,721,000","3,245,000","128,000","1,094,000","247,000","6,583,000","2,720,000","2,469,000","1,031,000",-,"363,000","9,613,000","5,549,000","5,549,000","865,000","2,628,000",-,-,"2,056,000","989,000",-,-,"343,000","343,000",-,"2,732,000","-1,245,000","9,243,000","549,000",-,-,-,"5,513,000","5,001,000","5,001,000",-,"512,000",-,-,-,-,"3,181,000",-,"-221,000","221,000",-,"3,756,000","1,229,000","2,524,000","2,527,000","2,527,000","2,527,000",-,-,"3,000","2,524,000",0.72,0.71,"3,485,000","3,547,700","3,607,000","2,527,000","2,675,687","1,222,000","1,034,000","2,527,000","-221,000","-221,000",0,"-72,313"
72,6/30/2005,"12,743,000","5,001,000","10,949,000","6,295,000","6,295,000","3,307,000","190,000","941,000","216,000","5,948,000","2,352,000","2,262,000","1,015,000",-,"319,000","7,742,000","5,491,000","5,491,000","851,000","2,541,000",-,-,"2,099,000","961,000",-,-,"407,000","407,000",-,"883,000","-587,000","8,748,000","580,000",-,-,-,"4,803,000","4,266,000","4,266,000",-,"537,000",-,-,-,-,"3,365,000",-,"-2,151,000","279,000","1,872,000","1,257,000","263,000","991,000","994,000","994,000","994,000",-,-,"3,000","991,000",0.28,0.28,"3,493,000","3,548,300","4,414,000","994,000","2,694,950","1,131,000","1,056,000","994,000","-2,151,000","-2,151,000",0,"-450,050"
73,3/31/2005,"13,647,000","5,225,000","10,632,000","6,034,000","6,034,000","3,531,000","154,000","727,000","186,000","5,407,000","1,985,000","2,226,000","924,000",-,"272,000","8,422,000","6,407,000","6,407,000","820,000","2,455,000",-,-,"3,132,000",-,-,-,"-45,000","-45,000",-,"2,060,000","-427,000","8,892,000","525,000",-,-,-,"5,185,000","4,702,000","4,702,000",-,"483,000",-,-,-,-,"3,182,000",-,"-1,045,000","145,000","900,000","3,283,000","1,019,000","2,259,000","2,264,000","2,264,000","2,264,000",-,-,"5,000","2,259,000",0.64,0.63,"3,517,500","3,569,800","4,798,000","2,264,000","2,984,646","881,000","1,165,000","2,264,000","-1,045,000","-1,045,000",0,"-324,354"
74,12/31/2004,"12,950,000","5,329,000","9,862,000","5,742,000","5,742,000","3,219,000","208,000","532,000","161,000","4,533,000","1,475,000","1,957,000","871,000",-,"230,000","7,621,000","6,213,000","6,213,000","903,000","2,285,000",-,-,"3,025,000",-,-,-,"569,000","569,000",-,"839,000","-1,157,000","8,863,000","609,000",-,-,-,"4,639,000","4,211,000","4,211,000",-,"428,000",-,-,-,-,"3,615,000",-,"-523,000","523,000",0,"2,407,000","741,000","1,653,000","1,666,000","1,666,000","1,666,000",-,-,"13,000","1,653,000",-,-,-,-,"4,172,000","1,666,000","2,027,993","740,000","1,231,000","1,666,000","-523,000","-523,000",0,"-161,007"
75,9/30/2004,"12,505,000","5,452,000","9,493,000","5,648,000","5,648,000","3,121,000","131,000","474,000","119,000","4,041,000","1,503,000","1,579,000","788,000",-,"171,000","7,053,000","6,022,000","6,022,000","943,000","2,141,000",-,-,"2,938,000",-,-,-,"413,000","413,000",-,"618,000","-1,169,000","8,625,000","604,000",-,-,-,"4,556,000","4,050,000","4,050,000",-,"506,000",-,-,-,-,"3,465,000",-,"-752,000","752,000",-,"1,959,000","541,000","1,405,000","1,418,000","1,418,000","1,418,000",-,-,"13,000","1,405,000",0.40,0.39,"3,513,500","3,592,000","4,283,000","1,418,000","1,962,327","605,000","1,171,000","1,418,000","-752,000","-752,000",0,"-207,673"
76,6/30/2004,"8,599,000","2,825,000","5,453,000","2,553,000","2,553,000","2,473,000","113,000","314,000",-,"2,628,000","808,000","1,378,000","404,000",-,"38,000","5,774,000","4,188,000","4,188,000","264,000","478,000",-,-,"3,446,000",-,-,-,"460,000","39,000","421,000","1,126,000","-203,000","5,681,000","440,000",-,-,-,"3,213,000","3,011,000","3,011,000",-,"202,000",-,-,-,-,"2,028,000",-,"-3,790,000","90,000","3,700,000","-1,075,000","-527,000","-561,000","-548,000","-548,000","-548,000",-,-,"13,000","-561,000",-0.27,-0.27,"2,042,800","2,042,800","2,622,000","-548,000","1,473,400","427,000","671,000","-548,000","-3,369,000","-3,369,000",0,"-1,347,600"
77,3/31/2004,"8,977,000","2,830,000","5,478,000","2,530,000","2,530,000","2,554,000","87,000","307,000",-,"2,648,000","814,000","1,392,000","403,000",-,"39,000","6,147,000","3,869,000","3,869,000","274,000","442,000",-,-,"3,153,000",-,-,-,"432,000","126,000","306,000","1,846,000","-15,000","6,059,000","431,000",-,-,-,"3,569,000","3,370,000","3,370,000",-,"199,000",-,-,-,-,"2,059,000",-,-,-,-,"2,903,000","973,000","1,917,000","1,930,000","1,930,000","1,930,000",-,-,"13,000","1,917,000",0.94,0.92,"2,032,000","2,093,000","2,815,000","1,930,000","1,726,562","394,000","762,000","1,930,000","306,000","306,000",0,"102,562"
78,12/31/2003,"8,068,000","3,011,000","5,614,000","2,755,000","2,755,000","2,448,000","85,000","326,000",-,"2,603,000","797,000","1,369,000","377,000",-,"60,000","5,057,000","3,917,000","3,917,000","279,000","-1,119,000",-,-,"4,757,000",-,-,-,"192,000","29,000","163,000","948,000","-139,000","5,220,000","482,000",-,-,-,"2,777,000","2,577,000","2,577,000",-,"200,000",-,-,-,-,"1,961,000",-,0,-,-,"2,709,000","845,000","1,851,000","1,864,000","1,864,000","1,864,000",-,-,"13,000","1,851,000",-,-,-,-,"2,872,000","1,864,000","1,751,843","411,000","761,000","1,864,000","163,000","163,000",0,"50,843"
79,9/30/2003,"7,748,000","3,048,000","5,696,000","2,885,000","2,885,000","2,443,000","24,000","344,000",-,"2,648,000","789,000","1,444,000","369,000",-,"46,000","4,700,000","3,374,000","3,374,000","298,000","944,000",-,-,"2,132,000",-,-,-,"284,000","164,000","120,000","1,042,000","-223,000","5,095,000","391,000",-,-,-,"2,892,000","2,713,000","2,713,000",-,"179,000",-,-,-,-,"1,812,000",-,-,-,-,"2,430,000","802,000","1,615,000","1,628,000","1,628,000","1,628,000",-,-,"13,000","1,615,000",0.80,0.78,"2,012,000","2,068,000","2,825,000","1,628,000","1,547,605","368,000","190,000","1,628,000","120,000","120,000",0,"39,605"
80,6/30/2003,"9,034,000","3,063,000","5,871,000","2,806,000","2,806,000","2,670,000","42,000","353,000",-,"2,808,000","950,000","1,472,000","386,000",-,-,"5,971,000","4,433,000","4,433,000","284,000","891,000",-,-,"3,258,000",-,-,-,"739,000","768,000","-29,000","799,000","-435,000","5,732,000","543,000",-,-,-,"3,398,000","3,231,000","3,231,000",-,"167,000",-,-,-,-,"1,791,000",-,"-100,000",-,-,"2,767,000","940,000","1,815,000","1,827,000","1,827,000","1,827,000",-,-,"12,000","1,815,000",0.90,0.89,"2,006,000","2,051,000","2,628,000","1,827,000","1,912,176","395,000","1,090,000","1,827,000","-129,000","-129,000",0,"-43,824"
81,3/31/2003,"8,406,000","3,215,000","6,263,000","2,830,000","2,830,000","2,896,000","63,000","474,000",-,"3,048,000","1,068,000","1,614,000","366,000",-,-,"5,191,000","3,214,000","3,214,000","285,000","885,000",-,-,"2,044,000",-,-,-,"264,000","485,000","-221,000","1,713,000","-743,000","5,541,000","496,000",-,-,-,"3,338,000","3,174,000","3,174,000",-,"164,000",-,-,-,-,"1,707,000",-,-,-,-,"2,122,000","722,000","1,387,000","1,400,000","1,400,000","1,400,000",-,-,"13,000","1,387,000",0.69,0.69,"2,000,000","2,022,000","2,472,000","1,400,000","1,545,806","537,000","1,060,000","1,400,000","-221,000","-221,000",0,"-75,194"
82,12/31/2002,"7,495,000","2,981,000","6,184,000","2,817,000","2,817,000","2,813,000","49,000","505,000",-,"3,203,000","1,176,000","1,613,000","414,000",-,-,"4,514,000","2,960,000","2,960,000","277,000","863,000",-,-,"1,820,000",-,-,-,"702,000","747,000","-45,000","852,000","-921,000","5,468,000","425,000",-,-,-,"3,252,000","3,032,000","3,032,000",-,"220,000",-,-,-,-,"1,791,000",-,"-1,693,000","393,000",-,"-587,000","-200,000","-399,000","-387,000","-387,000","-387,000",-,-,"12,000","-399,000",-,-,-,-,"2,060,000","-387,000","758,836","554,000","1,438,000","-387,000","-1,738,000","-1,738,000",0,"-592,164"
83,9/30/2002,"6,947,000","2,736,000","6,316,000","2,960,000","2,960,000","2,739,000","87,000","530,000",-,"3,580,000","1,422,000","1,789,000","369,000",-,-,"4,211,000","3,550,000","3,550,000","288,000","923,000",-,-,"2,339,000",-,-,-,"538,000","578,000","-40,000","123,000","-1,836,000","4,718,000","478,000",-,-,-,"2,546,000","2,367,000","2,367,000",-,"179,000",-,-,-,-,"1,694,000",-,"-333,000","333,000",-,"60,000","20,000","27,000","40,000","40,000","40,000",-,-,"13,000","27,000",0.01,0.01,"1,986,000","2,006,000","900,000","40,000","288,667","617,000","529,000","40,000","-373,000","-373,000",0,"-124,333"
84,6/30/2002,"7,574,000","2,882,000","6,498,000","3,127,000","3,127,000","2,758,000","77,000","536,000",-,"3,616,000","1,316,000","1,972,000","328,000",-,-,"4,692,000","3,670,000","3,670,000","273,000","981,000",-,-,"2,416,000",-,-,-,"114,000","124,000","-10,000","908,000","-821,000","4,965,000","365,000",-,-,-,"2,905,000","2,761,000","2,761,000",-,"144,000",-,-,-,-,"1,695,000",-,"-229,000","229,000",-,"1,559,000","531,000","1,015,000","1,028,000","1,028,000","1,028,000",-,-,"13,000","1,015,000",0.51,0.50,"1,982,600","2,016,000","2,061,000","1,028,000","1,185,596","613,000","828,000","1,028,000","-239,000","-239,000",0,"-81,404"
85,3/31/2002,"7,598,000","2,927,000","6,286,000","3,153,000","3,153,000","2,553,000","90,000","490,000",-,"3,359,000","1,339,000","1,664,000","356,000",-,-,"4,671,000","3,339,000","3,339,000","290,000","992,000",-,-,"2,057,000",-,-,-,"104,000","114,000","-10,000","1,228,000","-753,000","5,103,000","338,000",-,-,-,"2,969,000","2,823,000","2,823,000",-,"146,000",-,-,-,-,"1,796,000",-,"-255,000","255,000",-,"1,487,000","505,000","969,000","982,000","982,000","982,000",-,-,"13,000","969,000",0.49,0.48,"1,978,200","2,005,800","2,174,000","982,000","1,157,003","580,000","631,000","982,000","-265,000","-265,000",0,"-89,997"
86,12/31/2001,"6,577,000","2,944,000","6,823,000","3,290,000","3,290,000","2,746,000","102,000","685,000",-,"3,879,000","1,420,000","2,054,000","405,000",-,-,"3,633,000","3,355,000","3,355,000","277,000","939,000",-,-,"2,139,000",-,-,-,"283,000","202,000","81,000","-5,000","-1,468,000","4,836,000","334,000",-,-,-,"2,831,000","2,652,000","2,652,000",-,"179,000",-,-,-,-,"1,671,000",-,"-841,000","841,000",-,"-568,000","-236,000","-345,000","-332,000","-332,000","-332,000",-,0,"13,000","-345,000",-,-,-,-,"1,476,000","-332,000","124,000","787,000","797,000","-332,000","-760,000","-760,000",0,"-304,000"
87,9/30/2001,"7,349,000","2,659,000","7,709,000","3,696,000","3,696,000","3,065,000","100,000","848,000",-,"5,050,000","1,820,000","2,730,000","500,000",-,-,"4,690,000","3,142,000","3,142,000","262,000","918,000",-,-,"1,962,000",-,-,-,"346,000","142,000","204,000","1,202,000","-745,000","5,059,000","339,000",-,-,-,"3,020,000","2,883,000","2,883,000",-,"137,000",-,-,-,-,"1,700,000",-,"-876,000","876,000",-,"669,000","220,000","436,000","449,000","449,000","449,000",-,-,"13,000","436,000",0.22,0.22,"1,975,300","2,020,900","1,914,000","449,000","900,013","948,000","713,000","449,000","-672,000","-672,000",0,"-220,987"
88,6/30/2001,"6,871,000","2,781,000","8,469,000","4,090,000","4,090,000","3,192,000","111,000","1,076,000",-,"5,688,000","2,122,000","2,932,000","634,000",-,-,"4,090,000","3,317,000","3,317,000","258,000","943,000",-,-,"2,116,000",-,-,-,"21,000","67,000","-46,000","752,000","-525,000","5,283,000","327,000",-,-,-,"3,196,000","3,052,000","3,052,000",-,"144,000",-,-,-,-,"1,760,000",-,"-478,000","478,000",-,"585,000","207,000","359,000","378,000","378,000","378,000",-,-,"19,000","359,000",0.18,0.18,"1,978,400","2,033,600","2,256,000","378,000","716,585","1,187,000","651,000","378,000","-524,000","-524,000",0,"-185,415"
89,3/31/2001,"8,253,000","2,418,000","9,180,000","4,468,000","4,468,000","3,377,000","139,000","1,196,000",-,"6,762,000","2,636,000","3,382,000","744,000",-,-,"5,835,000","3,232,000","3,232,000","226,000","974,000",-,-,"2,032,000",-,-,-,"867,000","455,000","412,000","1,736,000","-447,000","5,598,000","348,000",-,-,-,"3,498,000","3,357,000","3,357,000",-,"141,000",-,-,-,-,"1,752,000",-,"-328,000","328,000",-,"1,880,000","656,000","1,178,000","1,199,000","1,199,000","1,224,000",-,"-25,000","21,000","1,178,000",0.60,0.58,"1,966,600","2,032,200","1,971,000","1,224,000","1,169,311","1,335,000","730,000","1,224,000","84,000","84,000",0,"29,311"
