,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
44,6/30/2012,"41,983,000","41,983,000","4,501,000","3,537,000","-1,014,000","4,551,000","1,217,000","1,217,000","1,026,000","191,000","191,000","1,914,000","1,914,000","-2,917,000","609,000","214,000","32,908,000","-2,872,000",-,"2,415,000","2,415,000",-,"-2,454,000","4,549,000","31,270,000","-20,600,000","-20,600,000","-14,483,000","-15,400,000",-,"27,074,000","-41,798,000","68,872,000","-17,016,000","-17,016,000",-,-,"120,000",-,"-895,000","-30,485,000","-30,485,000","11,145,000","-24,148,000","-18,794,000","12,715,000","-31,509,000","-5,354,000",-,-,-,-,-,-,-,-,"-1,469,000",-,"-7,549,000","44,866,000","-9,102,000","-1,415,000","55,383,000",-,"377,000","2,755,000",-,-,"12,715,000","-31,509,000",-,"41,983,000"
45,3/31/2012,"4,266,000","4,266,000","5,383,000","-2,928,000","-536,000","-2,392,000","1,232,000","1,232,000","1,039,000","193,000","193,000","-444,000","-444,000","-2,927,000","832,000","726,000","2,392,000","-3,100,000",-,"353,000","353,000",-,"-958,000","4,113,000","1,984,000","-45,362,000","-45,362,000","-5,218,000","-29,749,000",-,"-9,742,000","-63,368,000","53,626,000","-176,000","-176,000",-,-,"-30,000",-,"-447,000","35,352,000","35,352,000","36,953,000","2,080,000","-2,186,000","14,527,000","-16,713,000","4,266,000",-,-,-,-,-,-,-,-,"-1,024,000",-,"1,697,000","55,383,000","-5,744,000","1,525,000","59,602,000",-,"467,000","3,050,000",-,-,"14,527,000","-16,713,000",-,"4,266,000"
46,12/31/2011,"29,414,000","29,414,000","3,728,000","-1,981,000","-47,000","-403,000","1,288,000","1,288,000","1,081,000","207,000","207,000","2,176,000","2,176,000","2,487,000","580,000","2,184,000","18,952,000","10,604,000",-,"2,817,000","2,817,000",-,"3,342,000","-15,108,000","25,202,000","-1,085,000","-1,085,000","12,684,000","43,598,000",-,"-37,088,000","-63,836,000","26,748,000","-20,082,000","38,283,000",-,-,"65,000",-,"-262,000","-24,659,000","-24,659,000","-25,022,000","-22,283,000","-15,668,000","9,591,000","-25,259,000","-6,615,000",-,-,-,-,-,0,-,-,"-1,269,000",-,"7,421,000","59,602,000","3,670,000","-834,000","56,766,000",-,"2,383,000","2,980,000",-,-,"16,821,000","-25,259,000",-,"29,414,000"
47,9/30/2011,"7,793,000","7,793,000","4,262,000","520,000","-607,000","1,127,000","1,265,000","1,265,000","1,053,000","212,000","212,000","-1,162,000","-1,162,000","-1,487,000","538,000","2,411,000","1,446,000","8,202,000",-,"19,393,000","19,393,000",-,"-19,970,000","30,640,000","-36,819,000","-23,860,000","-23,860,000","-34,369,000","41,003,000",-,"-17,066,000","-55,151,000","38,085,000","-13,672,000","-13,672,000",-,-,"51,000",-,"193,000","43,040,000","43,040,000","-15,595,000","-5,113,000","-6,289,000","8,398,000","-14,687,000","1,176,000",-,-,-,-,-,-,-,-,"-1,061,000",-,"-5,933,000","56,766,000","26,973,000","-673,000","30,466,000",-,"1,017,000","3,201,000",-,-,"8,398,000","-14,687,000",-,"7,793,000"
48,6/30/2011,"64,704,000","64,704,000","5,431,000","1,117,000","-837,000","1,954,000","1,278,000","1,278,000","1,066,000","212,000","212,000","893,000","893,000","2,316,000","727,000","1,810,000","51,132,000","-1,100,000",-,"10,597,000","10,597,000",-,"-2,501,000","6,252,000","37,884,000","-79,997,000","-79,997,000","4,115,000","-89,029,000",-,"20,642,000","-43,643,000","64,285,000","-15,864,000","-15,864,000",-,-,"1,000",-,"138,000","21,997,000","21,997,000","-31,334,000","4,292,000","4,917,000","19,799,000","-14,882,000","-625,000",-,-,"-3,480,000",-,"-3,480,000",-,-,-,"-1,319,000",-,"-828,000","30,466,000","6,704,000","293,000","23,469,000",-,"4,037,000","3,926,000",-,-,"19,799,000","-14,882,000","-3,480,000","64,704,000"
49,3/31/2011,"-5,979,000","-5,979,000","5,555,000","-1,249,000","-102,000","-1,147,000","1,274,000","1,274,000","1,057,000","217,000","217,000","-214,000","-214,000","4,372,000","830,000","1,169,000","-17,716,000","-9,051,000",-,"2,396,000","2,396,000",-,"3,673,000","-13,879,000","-855,000","-65,810,000","-65,810,000","5,080,000","-59,164,000",-,"-13,310,000","-39,679,000","26,369,000","1,731,000","1,731,000",-,-,"-15,000",-,"-132,000","67,328,000","67,328,000","8,835,000","3,100,000","-10,194,000","17,056,000","-27,250,000","13,294,000",-,-,"-95,000",-,"-95,000",-,-,-,"-246,000",-,"-496,000","23,469,000","-4,461,000","363,000","27,567,000",-,"716,000","3,618,000",-,-,"17,056,000","-27,250,000","-95,000","-5,979,000"
50,12/31/2010,"1,894,000","1,894,000","4,831,000","-5,679,000","-1,253,000","-1,356,000","1,288,000","1,288,000","1,048,000","240,000","240,000","800,000","800,000","1,072,000","724,000","3,043,000","-4,185,000","-6,907,000",-,"13,940,000","13,940,000",-,"16,463,000","-29,910,000","21,573,000","33,281,000","33,281,000","12,470,000","9,406,000",-,"13,057,000","-33,219,000","46,276,000","-15,000","-15,000",-,-,"-264,000",-,"-1,373,000","-31,427,000","-31,427,000","-37,443,000","-29,072,000","-31,338,000","28,148,000","-59,486,000","2,266,000",-,"2,266,000","-687,000",-,"-687,000",0,-,0,"-484,000",-,"25,681,000","27,567,000","3,748,000","-141,000","23,960,000",-,"1,341,000","3,431,000",-,-,"28,148,000","-57,220,000","-687,000","1,894,000"
51,9/30/2010,"-53,201,000","-53,201,000","4,418,000","209,000","-102,000","311,000","1,273,000","1,273,000","1,055,000","218,000","218,000","-1,201,000","-1,201,000","11,381,000","753,000","3,223,000","-73,257,000","-1,920,000",-,"4,451,000","4,451,000",-,"-10,240,000","29,858,000","-95,406,000","-52,953,000","-52,953,000","-36,084,000","8,353,000",-,"-13,676,000","-43,977,000","30,301,000","-6,475,000","-6,475,000",-,-,"-4,640,000",-,"-431,000","96,362,000","96,362,000","76,668,000","2,638,000","-213,000","9,069,000","-9,282,000","2,851,000",-,"2,851,000","-2,312,000",-,-,-,-,-,"-257,000",-,"-5,987,000","23,960,000","-9,792,000","946,000","32,806,000",-,"3,045,000","2,610,000",-,-,"9,069,000","-6,431,000",-,"-53,201,000"
52,6/30/2010,"28,423,000","28,423,000","4,795,000","1,812,000","-1,000,000","2,812,000","1,206,000","1,206,000","971,000","235,000","235,000","-527,000","-527,000","-1,798,000","833,000","3,363,000","18,739,000","-7,375,000",-,"7,171,000","7,171,000",-,"-13,929,000","4,369,000","28,503,000","87,536,000","87,536,000","31,360,000","19,584,000","19,584,000","31,856,000","-44,644,000","76,500,000","3,563,000","3,563,000",-,-,"-2,000","-2,000","1,175,000","-114,437,000","-114,437,000","-57,772,000","-23,122,000","-9,053,000","7,112,000","-16,165,000","-14,069,000",-,-,-,-,-,-,-,-,"-492,000",-,"-6,799,000","32,806,000","1,522,000","-138,000","31,422,000",-,"3,133,000","3,513,000",-,-,"5,029,000","-28,151,000",-,"28,423,000"
53,3/31/2010,"19,132,000","19,132,000","3,326,000","693,000","-610,000","1,303,000","1,198,000","1,198,000","955,000","243,000","243,000","-40,000","-40,000","-1,351,000","941,000","7,010,000","7,355,000","16,645,000",-,"-8,237,000","-8,237,000",-,"-4,746,000","15,027,000","-11,334,000","-13,862,000","-13,862,000","-34,703,000","4,282,000","4,282,000","623,000","-57,647,000","58,270,000","15,425,000","15,425,000",-,-,"-4,000","-4,000","515,000","285,000","285,000","33,749,000","-1,175,000","-3,258,000","10,852,000","-14,110,000","2,083,000","2,083,000",-,-,-,-,-,-,-,"-253,000",-,"-12,109,000","31,422,000","5,555,000","-339,000","26,206,000",-,"2,228,000","2,850,000",-,-,"12,935,000","-14,110,000",-,"19,132,000"
54,12/31/2009,"11,013,000","11,013,000","3,278,000","-9,408,000","-381,000","2,458,000","1,087,000","1,087,000","831,000","256,000","256,000","-1,368,000","-1,368,000","10,451,000","920,000","7,284,000","-1,231,000","-7,453,000",-,"-5,929,000","-5,929,000",-,"5,197,000","-19,883,000","-52,477,000","-8,240,000","-8,240,000","-24,616,000","-3,607,000",-,"-314,000","-40,724,000","40,410,000","9,321,000","9,321,000",-,-,"-157,000",-,"11,133,000","2,379,000","2,379,000","-48,765,000","-10,730,000","-3,364,000","8,600,000","-11,964,000","-7,366,000",-,"-7,366,000","25,000,000",0,"25,000,000","-25,000,000",-,-,"-489,000",-,"-2,415,000","26,206,000","5,152,000","-14,000","21,068,000",-,"1,323,000","5,120,000",-,0,"8,600,000","-19,330,000",0,"11,013,000"
55,9/30/2009,"7,625,000","7,625,000","3,588,000","2,481,000","-184,000","2,665,000","997,000","997,000","743,000","254,000","254,000","22,000","22,000","8,721,000","763,000","8,104,000","-17,051,000","1,582,000",-,"-5,667,000","-5,667,000",-,"9,263,000","2,320,000","-24,549,000","3,165,000","3,165,000","-11,676,000","2,259,000","2,259,000","-9,132,000","-55,878,000","46,746,000","16,874,000","16,874,000",-,-,"78,000",-,"4,762,000","-15,145,000","-15,145,000","9,269,000","-19,851,000","-4,180,000","4,645,000","-8,825,000","-15,671,000",-,"-15,671,000",0,0,0,0,-,-,"-252,000",-,"-5,137,000","21,068,000","-4,355,000","290,000","25,133,000",-,"274,000","3,292,000",-,0,"4,645,000","-24,496,000",0,"7,625,000"
56,6/30/2009,"52,503,000","52,503,000","2,721,000","5,860,000","-347,000","6,207,000","1,063,000","1,063,000","798,000","265,000","265,000","-1,070,000","-1,070,000","3,587,000","884,000","8,031,000","31,427,000","-9,161,000",-,"6,243,000",-,-,"14,051,000","-29,012,000","49,306,000","31,676,000","31,676,000","-2,278,000","27,940,000","27,940,000","-9,153,000","-72,352,000","63,199,000","25,050,000","25,050,000",-,-,"73,000","73,000","-9,956,000","-85,976,000","-85,976,000","19,957,000","-24,582,000","4,089,000","20,329,000","-16,240,000","-28,671,000",-,"-28,671,000","-18,931,000",-,"-24,687,000",-,-,-,"-849,000",-,"-554,000","25,133,000","-1,797,000","249,000","26,681,000",-,"3,119,000","2,933,000",-,-,"20,329,000","-44,911,000","-24,687,000","52,503,000"
57,3/31/2009,"50,756,000","50,756,000","2,141,000","-43,000","-198,000","155,000","686,000","686,000","411,000","275,000","275,000","-1,206,000","-1,206,000","-5,107,000","788,000","8,596,000","44,901,000","8,720,000",-,"-21,097,000",-,-,"3,671,000","-32,739,000","86,346,000","2,754,000","2,754,000","45,652,000","48,237,000","48,237,000","-126,011,000","-177,418,000","51,407,000","30,440,000","30,440,000",-,-,"-91,000","-91,000","4,527,000","-53,437,000","-53,437,000","87,324,000","-25,953,000","-934,000","17,750,000","-18,684,000","-25,019,000",-,"-25,019,000","-313,000",-,"-313,000",-,-,-,"-1,832,000",-,"-376,000","26,681,000","73,000","-287,000","26,895,000",-,"718,000","5,530,000",-,-,"17,750,000","-43,703,000","-313,000","50,756,000"
58,12/31/2008,"-9,307,000","-9,307,000","702,000","-2,195,000","-456,000",-,"1,156,000","1,156,000",-,-,-,"337,000","337,000","-9,545,000",-,-,"-23,378,000",-,-,-,-,-,-,-,-,"-66,817,000","-66,817,000",-,-,-,"22,941,000","-25,953,000","48,894,000",-,-,-,-,"-34,000",-,"105,394,000","48,821,000","48,821,000",-,"-83,815,000","12,434,000","24,835,000","-12,401,000","-96,249,000",-,-,"160,000",-,-,"25,000,000",-,-,"-1,884,000",-,"-1,232,000","26,895,000","-27,303,000","-152,000","54,350,000",-,-,-,-,-,"34,021,000","-12,401,000",-,"-9,307,000"
59,9/30/2008,"8,432,000","8,432,000","527,000","-424,000","-424,000",-,"1,115,000","1,115,000",-,-,-,"-1,835,000","-1,835,000","-12,523,000",-,-,"21,572,000",-,-,-,-,-,-,-,-,"-165,447,000","-165,447,000",-,-,-,"-93,417,000","-114,070,000","20,653,000",-,-,-,-,"1,718,000",-,"-73,748,000","179,731,000","179,731,000",-,"82,422,000","-10,929,000","9,388,000","-20,317,000","93,351,000",-,-,"11,692,000",-,-,"1,746,000",-,-,"-1,364,000",-,"682,000","54,350,000","22,716,000","-621,000","32,255,000",-,-,-,-,-,"9,388,000","-20,317,000",-,"8,432,000"
60,6/30/2008,"26,396,000","26,396,000","2,003,000","-647,000","-647,000",-,"1,212,000","1,212,000",-,-,-,"-730,000","-730,000","2,799,000",-,-,"21,759,000",-,-,-,-,-,-,-,-,"14,411,000","14,411,000",-,-,-,"10,777,000","-29,890,000","40,667,000",-,-,-,-,"-358,000",-,"3,992,000","-55,335,000","-55,335,000",-,"-19,248,000","6,185,000","18,678,000","-12,493,000","-25,433,000",-,-,"273,000",-,-,-,-,-,"-1,344,000",-,"288,000","32,255,000","-14,528,000","-105,000","46,888,000",-,-,-,-,-,"18,678,000","-12,493,000",-,"26,396,000"
61,3/31/2008,"-2,423,000","-2,423,000","2,373,000","-33,000","-33,000",-,"923,000","923,000",-,-,-,"-409,000","-409,000","10,390,000",-,-,"-15,667,000",-,-,-,-,-,-,-,-,"-68,493,000","-68,493,000",-,-,-,"-47,670,000","-78,686,000","31,016,000",-,-,-,-,"802,000",-,"-21,625,000","77,289,000","77,289,000",-,"39,543,000","2,026,000","19,506,000","-17,480,000","37,517,000",-,-,"-156,000",-,-,-,-,-,"-1,319,000",-,"481,000","46,888,000","6,373,000","371,000","40,144,000",-,-,-,-,-,"19,506,000","-17,480,000",-,"-2,423,000"
62,12/31/2007,"-29,247,000","-29,247,000","2,971,000","-148,000","-148,000",-,"1,061,000","1,061,000",-,-,-,"1,825,000","1,825,000","-13,144,000",-,-,"-30,701,000",-,-,-,-,-,-,-,-,"-31,797,000","-31,797,000",-,-,-,"8,503,000","-41,376,000","49,879,000",-,-,-,-,0,-,"35,945,000","68,305,000","68,305,000",-,"5,625,000","9,053,000","18,021,000","-8,968,000","-3,428,000",-,-,"-219,000",-,-,-,-,-,"-1,316,000",-,"781,000","40,144,000","7,261,000","117,000","32,766,000",-,-,-,-,-,"59,433,000","-8,968,000",-,"-29,247,000"
63,9/30/2007,"-14,957,000","-14,957,000","3,373,000","-237,000","-237,000",-,"957,000","957,000",-,-,-,"-381,000","-381,000","8,694,000",-,-,"-27,363,000",-,-,-,-,-,-,-,-,"-13,004,000","-13,004,000",-,-,-,"-32,353,000","-20,520,000","-11,833,000",-,-,-,-,0,-,"19,349,000","25,102,000","25,102,000",-,"-2,169,000","14,172,000","24,250,000","-10,078,000","-16,341,000",-,-,"-1,920,000",-,-,-,-,-,"-1,331,000",-,"534,000","32,766,000","-2,859,000","176,000","35,449,000",-,-,-,-,-,"24,250,000","-10,078,000",-,"-14,957,000"
64,6/30/2007,"-14,838,000","-14,838,000","4,234,000","873,000","223,000",-,"927,000","927,000",-,-,-,"-1,191,000","-1,191,000","1,323,000",-,-,"-21,004,000",-,-,-,-,-,-,-,-,"-16,471,000","-16,471,000",-,-,-,"40,167,000","-28,770,000","68,937,000",-,-,-,-,-,-,"-56,568,000","34,836,000","34,836,000",-,"10,253,000","14,155,000","29,639,000","-15,484,000","-3,902,000",-,-,"-1,228,000",-,-,-,-,-,"-1,197,000",-,"139,000","35,449,000","3,527,000","86,000","31,836,000",-,-,-,-,-,"29,639,000","-15,484,000",-,"-14,838,000"
65,3/31/2007,"-51,518,000","-51,518,000","4,787,000","-652,000","-2,000",-,"876,000","876,000",-,-,-,"1,054,000","1,054,000","1,680,000",-,-,"-59,263,000",-,-,-,-,-,-,-,-,"-11,846,000","-11,846,000",-,-,-,"-9,217,000","-31,841,000","22,624,000",-,-,-,-,-,-,"-2,629,000","54,743,000","54,743,000",-,"73,434,000","8,351,000","23,231,000","-14,880,000","65,083,000",-,-,"-3,344,000",-,-,-,-,-,"-1,207,000",-,"472,000","31,836,000","-8,621,000","45,000","40,412,000",-,-,-,-,-,"23,231,000","-14,880,000",-,"-51,518,000"
66,12/31/2006,"-14,516,000","-14,516,000","4,526,000","-1,304,000","236,000",-,"997,000","997,000",-,-,-,"-3,613,000","-3,613,000","-10,832,000",-,-,"-9,928,000",-,-,-,-,-,-,-,-,"5,995,000","5,995,000",-,-,-,"16,968,000","-21,045,000","38,013,000",-,-,-,-,"-467,000",-,"38,293,000","12,623,000","12,623,000",-,"-55,849,000","4,257,000","13,361,000","-9,104,000","-60,106,000",-,-,"-537,000",-,-,0,-,-,"-1,209,000",-,"274,000","40,412,000","4,102,000","31,000","36,279,000",-,-,-,-,-,"26,018,000","-9,104,000",-,"-14,516,000"
67,9/30/2006,"18,677,000","18,677,000","3,297,000","-121,000","-121,000",-,"860,000","860,000",-,-,-,"173,000","173,000","10,214,000",-,-,"4,254,000",-,-,-,-,-,-,-,-,"-31,461,000","-31,461,000",-,-,-,"-12,561,000","-43,387,000","30,826,000",-,-,-,-,"1,315,000",-,"-20,215,000","10,686,000","10,686,000",-,"21,171,000","2,756,000","11,190,000","-8,434,000","18,415,000",-,-,"-409,000",-,-,0,-,-,"-1,209,000",-,"3,707,000","36,279,000","-2,098,000","-13,000","38,390,000",-,-,-,-,-,"11,190,000","-8,434,000",-,"18,677,000"
68,6/30/2006,"-35,572,000","-35,572,000","3,540,000","396,000","312,000",-,"883,000","883,000",-,-,-,"1,076,000","1,076,000","-5,873,000",-,-,"-35,594,000",-,-,-,-,-,-,-,-,"-38,687,000","-38,687,000",-,-,-,"-17,384,000","-60,393,000","43,009,000",-,-,-,-,0,-,"-21,303,000","75,619,000","75,619,000",-,"65,808,000","12,403,000","19,816,000","-7,413,000","53,405,000",-,-,"-296,000",-,-,-,-,-,"-1,213,000",-,"-24,041,000","38,390,000","1,360,000","127,000","36,903,000",-,-,-,-,-,"19,816,000","-7,413,000",-,"-35,572,000"
69,3/31/2006,"-18,168,000","-18,168,000","3,081,000","32,000","116,000",-,"837,000","837,000",-,-,-,"554,000","554,000","1,892,000",-,-,"-24,564,000",-,-,-,-,-,-,-,-,"-35,474,000","-35,474,000",-,-,-,"-39,875,000","-76,705,000","36,830,000",-,-,-,-,"-663,000",-,"5,064,000","53,821,000","53,821,000",-,"3,981,000","3,038,000","12,354,000","-9,316,000","943,000",-,-,"-1,037,000",-,-,-,-,-,"-1,215,000",-,"26,609,000","36,903,000","179,000","54,000","36,670,000",-,-,-,-,-,"12,354,000","-9,316,000",-,"-18,168,000"
70,12/31/2005,"8,783,000","8,783,000","2,698,000","-744,000","510,000",-,"1,063,000","1,063,000",-,-,-,"-1,260,000","-1,260,000","1,279,000",-,-,"5,747,000",-,-,-,-,-,-,-,-,"-7,746,000","-7,746,000",-,-,-,"1,545,000","-30,145,000","31,690,000",-,-,-,-,"-536,000",-,"-8,755,000","2,640,000","2,640,000",-,"-17,729,000","7,054,000","11,726,000","-4,672,000","-24,783,000",-,-,"-748,000",-,-,-,-,-,"-1,209,000",-,"3,064,000","36,670,000","3,676,000","-43,000","33,036,000",-,-,-,-,-,"11,726,000","-4,672,000",-,"8,783,000"
71,9/30/2005,"-657,000","-657,000","2,527,000","109,000","109,000",-,"1,034,000","1,034,000",-,-,-,"507,000","507,000","1,245,000",-,-,"-6,079,000",-,-,-,-,-,-,-,-,"-11,676,000","-11,676,000",-,-,-,"-2,943,000","-23,069,000","20,126,000",-,-,-,-,"-90,000",-,"-8,643,000","10,403,000","10,403,000",-,"12,811,000","749,000","8,927,000","-8,178,000","12,062,000",-,-,"-409,000",-,-,-,-,-,"-1,220,000",-,"369,000","33,036,000","-1,929,000","-126,000","35,092,000",-,-,-,-,-,"8,927,000","-8,178,000",-,"-657,000"
72,6/30/2005,"-20,634,000","-20,634,000","994,000","96,000","-105,000",-,"1,056,000","1,056,000",-,-,-,"-1,500,000","-1,500,000","587,000",-,-,"-21,867,000",-,-,-,-,-,-,-,-,"7,131,000","7,131,000",-,-,-,"15,006,000","-10,222,000","25,228,000",-,-,-,-,"-109,000",-,"-7,766,000","11,099,000","11,099,000",-,"5,801,000","3,142,000","7,272,000","-4,130,000","2,659,000",-,-,"-831,000",-,-,-,-,-,"-1,222,000",-,"427,000","35,092,000","-2,404,000","-97,000","37,593,000",-,-,-,-,-,"7,272,000","-4,130,000",-,"-20,634,000"
73,3/31/2005,"-11,719,000","-11,719,000","2,264,000","621,000","822,000",-,"1,165,000","1,165,000",-,-,-,"462,000","462,000","427,000",-,-,"-16,658,000",-,-,-,-,-,-,-,-,"-6,662,000","-6,662,000",-,-,-,"-13,838,000","-50,782,000","36,944,000",-,-,-,-,"-304,000",-,"7,480,000","20,927,000","20,927,000",-,"16,711,000","5,893,000","15,796,000","-9,903,000","10,818,000",-,-,"-942,000",-,-,-,-,-,"-1,227,000",-,"8,000","37,593,000","2,546,000","-121,000","35,168,000",-,-,-,-,-,"15,796,000","-9,903,000",-,"-11,719,000"
74,12/31/2004,"19,388,000","19,388,000","1,666,000","-391,000","-391,000",-,"1,231,000","1,231,000",-,-,-,"-143,000","-143,000","959,000",-,-,"16,066,000",-,-,-,-,-,-,-,-,"-4,486,000","-4,486,000",-,-,-,"-7,730,000","-70,538,000","62,808,000",-,-,-,-,-,-,"3,244,000","-10,810,000","-10,810,000",-,"-36,586,000","1,057,000","5,516,000","-4,459,000","-37,643,000",-,-,"-1,866,000",-,-,-,-,-,"-1,236,000",-,-,"35,168,000","4,092,000","261,000","30,815,000",-,-,-,-,-,"5,516,000","-4,459,000",-,"19,388,000"
75,9/30/2004,"-28,334,000","-28,334,000","1,418,000","-287,000","-287,000",-,"1,171,000","1,171,000",-,-,-,"-237,000","-237,000","-2,578,000",-,-,"-27,821,000",-,-,-,-,-,-,-,-,"53,306,000","53,306,000",-,-,-,"31,216,000","-2,633,000","33,849,000",-,-,-,-,-,-,"21,726,000","-17,681,000","-17,681,000",-,"2,364,000","2,455,000","8,441,000","-5,986,000","-91,000",-,-,"554,000",-,-,-,-,-,"-1,237,000",-,-,"30,815,000","7,291,000","-1,000","23,525,000",-,-,-,-,-,"8,441,000","-5,986,000",-,"-28,334,000"
76,6/30/2004,"-4,500,000","-4,500,000","-548,000","-141,000","-300,000",-,"671,000","671,000",-,-,-,"-1,243,000","-1,243,000","4,006,000",-,-,"-7,245,000",-,-,-,-,-,-,-,-,"-29,942,000","-29,942,000",-,-,-,"-17,944,000","-48,230,000","30,286,000",-,-,-,-,"-340,000",-,"-11,658,000","38,703,000","38,703,000",-,"7,097,000","3,655,000","6,444,000","-2,789,000","3,442,000",-,-,"209,000",-,-,-,-,-,"-734,000",-,"-22,000","23,525,000","4,261,000","-155,000","19,419,000",-,-,-,-,-,"6,444,000","-2,789,000",-,"-4,500,000"
77,3/31/2004,"-8,359,000","-8,359,000","1,930,000","-285,000","-126,000",-,"762,000","762,000",-,-,-,"796,000","796,000","-105,000",-,-,"-11,457,000",-,-,-,-,-,-,-,-,"-41,954,000","-41,954,000",-,-,-,"-12,657,000","-65,445,000","52,788,000",-,-,-,-,"-24,000",-,"-29,273,000","49,384,000","49,384,000",-,"39,152,000","2,138,000","4,943,000","-2,805,000","37,014,000",-,-,"543,000",-,-,-,-,-,"-720,000",-,"15,000","19,419,000","-929,000","80,000","20,268,000",-,-,-,-,-,"4,943,000","-2,805,000",-,"-8,359,000"
78,12/31/2003,"-23,581,000","-23,581,000","1,864,000",-,-,-,"761,000","761,000",-,-,-,-,-,"-377,000",-,-,"-27,257,000",-,-,-,-,-,-,-,-,"27,200,000","27,200,000",-,-,-,"16,627,000","-30,771,000","47,398,000",-,-,-,-,"-646,000",-,"11,219,000","-1,952,000","-1,952,000",-,"-14,369,000","3,879,000","6,153,000","-2,274,000","-18,248,000",-,-,"211,000",-,-,-,-,-,"-729,000",-,"69,000","20,268,000","1,667,000","16,000","18,585,000",-,-,-,-,-,"6,153,000","-2,274,000",-,"-23,581,000"
79,9/30/2003,"19,898,000","19,898,000","1,628,000",-,-,-,"190,000","190,000",-,-,-,-,-,"205,000",-,-,"17,875,000",-,-,-,-,-,-,-,-,"1,449,000","1,449,000",-,-,-,"-568,000","-92,609,000","92,041,000",-,-,-,-,0,-,"2,017,000","-26,171,000","-26,171,000",-,"-21,202,000","880,000","2,044,000","-1,164,000","-22,082,000",-,-,"335,000",-,-,-,-,-,"-714,000",-,"32,000","18,585,000","-4,824,000","11,000","23,398,000",-,-,-,-,-,"2,044,000","-1,164,000",-,"19,898,000"
80,6/30/2003,"-322,000","-322,000","1,827,000",-,-,-,"1,090,000","1,090,000",-,-,-,-,-,"-449,000",-,-,"-2,790,000",-,-,-,-,-,-,-,-,"-10,135,000","-10,135,000",-,-,-,"3,533,000","-88,071,000","91,604,000",-,-,-,-,"-13,000",-,"-13,655,000","11,417,000","11,417,000",-,"-5,863,000","1,357,000","2,362,000","-1,005,000","-7,220,000",-,-,"462,000",-,-,-,-,-,"-726,000",-,"-149,000","23,398,000","960,000","209,000","22,229,000",-,-,-,-,-,"2,362,000","-1,005,000",-,"-322,000"
81,3/31/2003,"18,606,000","18,606,000","1,400,000",-,-,-,"1,060,000","1,060,000",-,-,-,-,-,"801,000",-,-,"15,345,000",-,-,-,-,-,-,-,-,"-6,096,000","-6,096,000",-,-,-,"-6,219,000","-101,462,000","95,243,000",-,-,-,-,"-10,000",-,"133,000","-9,545,000","-9,545,000",-,"-5,149,000","2,763,000","6,636,000","-3,873,000","-7,912,000",-,-,"205,000",-,-,-,-,-,"-696,000",-,"181,000","22,229,000","2,965,000","46,000","19,218,000",-,-,-,-,-,"6,636,000","-3,873,000",-,"18,606,000"
82,12/31/2002,"-16,874,000","-16,874,000","-387,000",-,-,-,"1,438,000","1,438,000",-,-,-,-,-,"1,259,000",-,-,"-20,820,000",-,-,-,-,-,-,-,-,"-9,419,000","-9,419,000",-,-,-,"-6,291,000","-73,096,000","66,805,000",-,-,-,-,0,-,"-3,128,000","27,257,000","27,257,000",-,"15,132,000","378,000","1,413,000","-1,035,000","14,754,000",-,-,"241,000",-,-,-,-,-,"-698,000",-,-,"19,218,000","964,000","95,000","18,159,000",-,-,-,-,-,"1,413,000","-1,035,000",-,"-16,874,000"
