,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
20,12/31/2003,"14,601,000","14,601,000","6,719,000",-,-,-,-,-,"3,101,000","3,101,000",-,-,-,"1,428,000","1,428,000","180,000",-,-,"3,173,000",-,-,-,-,-,-,-,-,"12,418,000","12,418,000",-,-,"13,373,000","-312,913,000","326,286,000",-,-,-,-,"-669,000",-,"-286,000","-26,251,000","-26,251,000",-,"-46,583,000","8,879,000","17,195,000","-8,316,000","-55,462,000",-,-,"1,213,000",-,-,-,-,-,"-2,865,000",-,"133,000","20,268,000","768,000","282,000","19,218,000",-,-,-,-,-,"17,195,000","-8,316,000",-,"14,601,000"
21,12/31/2002,"-25,134,000","-25,134,000","1,663,000",-,-,-,-,-,"3,426,000","3,426,000",-,-,-,"1,636,000","1,636,000","5,037,000",-,-,"-36,896,000",-,-,-,-,-,-,-,-,"-23,344,000","-23,344,000",-,-,"-22,105,000","-246,669,000","224,564,000",-,-,-,-,"-72,000",-,"-1,167,000","44,643,000","44,643,000",-,"36,149,000","-214,000","11,971,000","-12,185,000","36,363,000",-,-,"175,000",-,-,-,-,-,"-2,784,000",-,-,"19,218,000","-3,835,000","453,000","22,600,000",-,-,-,-,-,"11,971,000","-12,185,000",-,"-25,134,000"
22,12/31/2001,"-3,107,000","-3,107,000","1,694,000",-,-,-,-,-,"2,891,000","2,891,000",-,-,-,-,-,"7,072,000",-,-,"-14,764,000",-,-,-,-,-,-,-,-,"12,318,000","12,318,000",-,-,"17,352,000","-182,922,000","200,274,000",-,-,-,-,"-1,677,000",-,"-3,357,000","-10,683,000","-10,683,000",-,"-22,227,000","-3,588,000","8,986,000","-12,574,000","-18,639,000",-,-,"47,000",-,-,-,-,-,"-2,697,000",-,"-91,000","22,600,000","-1,472,000","100,000","23,972,000",-,-,-,-,-,"8,986,000","-12,574,000",-,"-3,107,000"
23,12/31/2000,"-13,676,000","-13,676,000","5,727,000",-,-,-,-,-,"2,545,000","2,545,000",-,-,-,-,-,"168,000",-,-,"-22,116,000",-,-,-,-,-,-,-,-,"-986,000","-986,000",-,-,"-5,528,000","-119,658,000","114,130,000",-,-,-,-,"-2,195,000",-,"6,737,000","20,052,000","20,052,000",-,"31,241,000","419,000","14,861,000","-14,442,000","30,822,000",-,-,"-772,000",-,-,-,-,-,"-2,282,000",-,"-436,000","23,972,000","5,390,000","-110,000","18,692,000",-,-,-,-,-,"14,861,000","-14,442,000",-,"-13,676,000"
24,12/31/1999,"-3,376,000","-3,376,000","5,446,000",-,-,-,-,-,"1,403,000","1,403,000",-,-,-,-,-,"1,489,000",-,-,"-11,714,000",-,-,-,-,-,-,-,-,"-31,196,000","-31,196,000",-,-,"-5,570,000","-100,682,000","95,112,000",-,-,-,-,"-3,142,000",-,"-22,484,000","33,728,000","33,728,000",-,"8,781,000","1,745,000","4,710,000","-2,965,000","7,036,000",-,-,"-2,607,000",-,-,-,-,-,"-1,402,000",-,"-352,000","16,229,000","-844,000","5,000","17,068,000",-,-,-,-,-,"4,710,000","-2,965,000",-,"-3,376,000"
25,12/31/1998,"3,592,000","3,592,000","3,782,000",-,-,-,-,-,"1,170,000","1,170,000",-,-,-,-,-,"1,410,000",-,-,"-2,770,000",-,-,-,-,-,-,-,-,"-14,560,000","-14,560,000",-,-,"-1,800,000","-201,713,000","199,913,000",-,-,-,"-981,000",-,-,"-11,779,000","12,324,000","12,324,000",-,"-4,024,000","3,233,000","5,182,000","-1,949,000","-7,257,000",-,-,"-771,000",-,-,-,-,-,"-1,278,000",-,"-352,000",0,"1,356,000","8,000","15,704,000","-17,068,000",-,-,"-981,000",-,"5,182,000","-1,949,000",-,"2,611,000"
26,12/31/1997,"5,461,000","5,461,000","3,708,000",-,-,-,-,-,"951,000","951,000",-,-,-,-,-,"638,000",-,-,"164,000",-,-,-,-,-,-,-,-,"-18,660,000","-18,660,000",-,-,"-9,398,000","-115,652,000","106,254,000",-,-,-,-,-,-,"-9,262,000","14,281,000","14,281,000",-,"5,654,000","1,811,000","3,945,000","-2,134,000","3,843,000",-,-,"-2,528,000",-,-,-,-,-,"-1,212,000",-,"-556,000",0,"1,082,000","17,000","14,605,000","-15,704,000",-,-,-,-,"3,945,000","-2,134,000",-,"5,461,000"
27,12/31/1996,"-983,000","-983,000","2,461,000",-,-,-,-,-,"869,000","869,000",-,-,-,-,-,"1,766,000",-,-,"-6,079,000",-,-,-,-,-,-,-,-,"-26,110,000","-26,110,000",-,-,"-19,822,000","-73,586,000","53,764,000",-,-,-,-,-,-,"-6,288,000","26,894,000","26,894,000",-,"18,268,000","438,000","1,891,000","-1,453,000","17,830,000",-,-,"-529,000",-,-,"550,000",-,-,"-1,188,000",-,"361,000",0,"-199,000","10,000","14,794,000","-14,605,000",-,-,-,-,"1,891,000","-1,453,000",-,"-983,000"
28,12/31/1995,"-2,105,000","-2,105,000","1,816,000",-,-,-,-,-,"366,000","366,000",-,-,-,-,-,"226,000",-,-,"-4,513,000",-,-,-,-,-,-,-,-,"-6,051,000","-6,051,000",-,-,"65,111,000","-678,000","65,789,000",-,-,-,-,-,-,"-71,162,000","8,406,000","8,406,000",-,"1,443,000","1,443,000","3,261,000","-1,818,000",-,-,-,"-258,000",-,-,-,-,-,"-548,000",-,"3,151,000",0,"250,000","-5,000","8,832,000","-9,077,000",-,-,-,-,"3,261,000","-1,818,000",-,"-2,105,000"
29,12/31/1994,"2,350,000","2,350,000","1,294,000",-,-,-,-,-,"377,000","377,000",-,-,-,-,-,"1,624,000",-,-,"-945,000",-,-,-,-,-,-,-,-,"-7,110,000","-7,110,000",-,-,"-4,262,000","-29,132,000","24,870,000",-,-,-,-,-,-,"-2,848,000","6,774,000","6,774,000",-,"8,991,000","-370,000","1,672,000","-2,042,000","9,361,000",-,-,"-133,000",-,-,"-416,000",-,-,"-521,000",-,"604,000",0,"2,014,000","-34,000","6,852,000","-8,832,000",-,-,-,-,"1,672,000","-2,042,000",-,"2,350,000"
