,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Line of Credit,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
10,9/30/2020,"461,817,000","77,588,000","77,588,000","6,629,000",-,"70,959,000",-,-,-,"91,185,000",-,"84,899,000","1,438,000","89,747,000","4,938,000","4,780,000","238,836,000","244,587,000","1,787,000","123,147,000","29,160,000","90,493,000",-,"5,751,000",-,"6,479,000","944,000","6,479,000",-,-,-,"10,346,000","9,233,000","1,113,000","32,445,000","408,507,000","355,079,000","247,798,000","247,798,000","107,281,000",-,-,-,"10,629,000","10,629,000",-,-,-,-,-,-,"538,000","42,110,000","42,110,000","5,500,000",-,"689,000","53,462,000","53,310,000","53,276,000","2,712,000",-,"2,712,000","45,947,000","15,836,000","14,216,000","2,997,000","2,997,000",-,"34,000","95,386,000",-,"53,276,000",-,"42,930,000","95,386,000","42,930,000","42,110,000",-,"542,000","424,000","6,124,000","118,000"
11,6/30/2020,"458,978,000","56,571,000","56,571,000","6,338,000",-,"50,233,000",-,-,-,"98,493,000",-,"90,711,000","1,441,000","97,052,000","4,943,000","5,158,000","246,654,000","252,582,000","1,443,000","129,701,000","30,693,000","90,745,000",-,"5,928,000",-,"7,097,000","975,000","7,097,000",-,-,-,"10,300,000","9,233,000","1,067,000","34,920,000","406,030,000","345,997,000","246,539,000","246,539,000","99,458,000",-,-,-,"12,345,000","12,345,000",-,-,-,-,-,-,"804,000","47,026,000","47,026,000","8,500,000",-,"662,000","60,058,000","52,948,000","52,923,000","2,712,000",-,"2,712,000","44,986,000","16,284,000","14,128,000","3,069,000","3,069,000","49,854,000","25,000","99,949,000",-,"52,923,000",-,"42,623,000","99,949,000","42,623,000","47,026,000",-,"542,000","425,000",-,"117,000"
12,3/31/2020,"445,493,000","27,479,000","27,479,000","7,493,000",-,"19,986,000",-,-,-,"90,546,000",-,"88,292,000","1,469,000","89,077,000","13,205,000","5,322,000","255,331,000","259,275,000","1,693,000","134,288,000","32,576,000","90,718,000",-,"3,944,000",-,"7,061,000","268,700","7,061,000",-,-,-,"10,315,000","9,233,000","1,082,000","41,556,000","396,203,000","305,204,000","223,590,000","223,590,000","81,614,000",-,-,-,"17,150,000","17,150,000","450,000","450,000",-,-,"450,000",-,"1,478,000","73,399,000","73,399,000","23,491,000",-,"450,000","91,026,000","49,290,000","49,263,000","2,712,000",-,"2,712,000","41,885,000","16,288,000","14,140,000","2,518,000","2,518,000","46,745,000","27,000","122,662,000",-,"49,263,000",-,"38,948,000","122,662,000","38,948,000","73,399,000","45,920,000","542,000","424,000",-,"118,000"
13,12/31/2019,"410,295,000","28,474,000","28,474,000","5,061,000",-,"23,413,000",-,-,-,"86,824,000",-,"66,590,000","17,661,000","69,163,000","13,734,000","2,196,000","231,029,000","233,771,000","1,083,000","112,991,000","32,335,000","87,362,000",-,"2,742,000",-,"7,155,000",-,"7,155,000",-,-,-,"10,877,000","9,233,000","1,644,000","32,202,000","360,952,000","288,540,000","215,761,000","215,761,000","72,779,000",-,-,-,"11,831,000","11,831,000","318,000","318,000",-,-,"318,000",-,"539,000","60,263,000","60,263,000","16,341,000",-,"318,000","11,831,000","49,343,000","49,314,000","2,712,000",-,"2,712,000","42,215,000","16,369,000","12,781,000","799,000","799,000",-,"29,000","109,577,000",-,"49,314,000",-,"38,437,000","109,577,000","38,437,000","60,263,000","31,789,000","542,000","433,000","100,001","109,000"
14,9/30/2019,"408,916,000","24,707,000","24,707,000","5,671,000",-,"19,036,000",-,-,-,"87,883,000",-,"66,246,000","18,826,000","69,057,000","13,325,000","2,834,000","229,221,000","231,959,000","1,872,000","111,720,000","31,136,000","87,231,000",-,"2,738,000",-,"7,290,000",-,"7,290,000",-,-,-,"10,716,000","9,233,000","1,483,000","35,774,000","359,461,000","285,583,000","211,506,000","211,506,000","74,077,000",-,-,-,"12,220,000","12,220,000","304,000","304,000",-,-,"304,000",-,"672,000","61,354,000","61,354,000","21,901,000",-,"304,000","12,220,000","49,455,000","49,420,000","2,711,000",-,"2,711,000","41,413,000","16,297,000","11,838,000","837,000","837,000",-,"35,000","110,774,000",-,"49,420,000",-,"38,704,000","110,774,000","38,704,000","61,354,000","36,647,000","542,000","439,000",-,"103,000"
15,6/30/2019,"405,761,000","23,778,000","23,778,000","5,416,000",-,"18,362,000",-,-,-,"88,303,000",-,"67,591,000","18,948,000","69,355,000","13,001,000","2,231,000","228,229,000","230,950,000","1,144,000","113,360,000","30,388,000","86,058,000",-,"2,721,000",-,"7,409,000",-,"7,409,000",-,-,-,"10,848,000","9,221,000","1,627,000","34,193,000","356,380,000","273,260,000","203,393,000","203,393,000","69,867,000",-,-,-,"13,804,000","13,804,000","291,000","291,000",-,-,"291,000",-,"604,000","69,025,000","69,025,000","29,376,000",-,"291,000","13,804,000","49,381,000","49,340,000","2,711,000",-,"2,711,000","40,616,000","16,248,000","10,866,000","631,000","631,000",-,"41,000","118,365,000",-,"49,340,000",-,"38,492,000","118,365,000","38,492,000","69,025,000","45,247,000","542,000","447,000",-,"95,000"
16,3/31/2019,"392,837,000","20,323,000","20,323,000","5,062,000",-,"15,261,000",-,-,-,"83,869,000",-,"4,487,000","18,818,000","65,051,000","12,567,000","1,371,000","222,939,000","225,631,000","686,000","110,706,000","29,244,000","84,995,000",-,"2,692,000",-,"7,348,000",-,"7,348,000",-,-,-,"11,030,000","9,218,000","1,812,000","34,761,000","344,262,000","271,221,000","199,615,000","199,615,000","71,606,000",-,-,-,"12,902,000","12,902,000","279,000","279,000",-,-,"279,000",-,"584,000","59,860,000","59,860,000","20,501,000",-,"279,000","12,902,000","48,575,000","48,536,000","2,711,000",-,"2,711,000","39,742,000","16,173,000","10,085,000","-5,000","-5,000",-,"39,000","108,396,000",-,"48,536,000",-,"37,506,000","108,396,000","37,506,000","59,860,000","39,537,000","542,000","452,000",-,"90,000"
17,12/31/2018,"382,315,000","16,501,000","16,501,000","5,608,000",-,"10,893,000",-,-,-,"82,701,000",-,"62,112,000","19,312,000","63,389,000","12,894,000","1,052,000","217,302,000","219,931,000","994,000","104,522,000","29,183,000","85,232,000",-,"2,629,000",-,"7,308,000",-,"7,308,000",-,-,-,"11,201,000","9,218,000","1,983,000","34,408,000","334,545,000","267,839,000","193,879,000","193,879,000","73,960,000",-,-,-,"9,002,000","9,002,000","285,000","285,000",-,-,"285,000",-,"1,063,000","57,419,000","57,419,000","21,501,000",-,"285,000","9,002,000","47,770,000","47,728,000","2,711,000",-,"2,711,000","38,919,000","16,277,000","9,454,000","-725,000","-725,000",-,"42,000","105,147,000",-,"47,728,000",-,"36,527,000","105,147,000","36,527,000","57,419,000","40,918,000","542,000","457,000","100,001","85,000"
18,9/30/2018,"380,080,000","25,048,000","25,048,000","5,248,000",-,"19,800,000",-,-,-,"80,804,000",-,"4,537,000","19,593,000","61,211,000","12,446,000","999,000","214,363,000","216,947,000","1,108,000","101,132,000","28,774,000","85,933,000",-,"2,584,000",-,"7,214,000",-,"7,214,000",-,-,-,"11,354,000","9,218,000","2,136,000","28,851,000","332,978,000","264,884,000","190,148,000","190,148,000","74,736,000",-,-,-,"9,851,000","9,851,000","288,000","288,000",-,-,"288,000",-,"1,504,000","57,955,000","57,955,000","20,036,000",-,"288,000","9,851,000","47,102,000","47,058,000","2,710,000",-,"2,710,000","38,080,000","16,299,000","8,771,000","-1,260,000","-1,260,000",-,"44,000","105,013,000",-,"47,058,000",-,"35,704,000","105,013,000","35,704,000","57,955,000","32,907,000","542,000","462,000",-,"80,000"
19,6/30/2018,"380,711,000","27,397,000","27,397,000","5,425,000",-,"21,972,000",-,-,-,"80,125,000",-,"4,677,000","19,850,000","60,275,000","12,430,000","1,058,000","214,276,000","216,857,000","1,325,000","100,679,000","28,195,000","86,658,000","222,855,000","2,581,000",-,"7,323,000",-,"7,323,000",-,-,-,"11,263,000","9,218,000","2,045,000","27,897,000","333,736,000","264,885,000","185,838,000","185,838,000","79,047,000",-,-,-,"9,340,000","9,340,000","289,000","289,000",-,-,"289,000",-,"1,418,000","59,222,000","59,222,000","22,036,000",-,"289,000","68,922,000","46,975,000","46,904,000","2,710,000",-,"2,710,000","37,201,000","16,250,000","8,317,000","-940,000","-940,000","47,844,000","71,000","106,126,000",-,"46,904,000",-,"35,641,000","106,126,000","35,641,000","59,222,000","31,825,000","542,000","465,000",-,"77,000"
20,3/31/2018,"379,161,000","33,470,000","33,470,000","4,649,000",-,"28,821,000",-,-,-,"74,562,000",-,"74,562,000","18,544,000","56,018,000","12,008,000","1,063,000","212,173,000","214,777,000","965,000","99,607,000","27,514,000","86,691,000","221,614,000","2,604,000",-,"7,802,000",-,"7,802,000",-,-,-,"11,197,000","9,218,000","1,979,000","27,949,000","332,126,000","264,704,000","186,401,000","186,401,000","78,303,000",-,-,-,"9,093,000","9,093,000","290,000","290,000",-,-,"290,000",-,"1,499,000","58,039,000","58,039,000","19,537,000",-,"290,000","14,134,000","47,035,000","46,969,000","2,710,000",-,"2,710,000","36,266,000","16,227,000","7,535,000","-699,000","-699,000","42,983,000","66,000","105,008,000",-,"46,969,000",-,"35,772,000","105,008,000","35,772,000","58,039,000","24,569,000","542,000","470,000",-,"72,000"
21,12/31/2017,"380,768,000","33,844,000","33,844,000","5,249,000",-,"28,595,000",-,-,-,"76,131,000",-,"3,816,000","18,513,000","57,618,000","11,392,000","1,184,000","212,568,000","215,179,000","2,655,000","98,031,000","27,443,000","87,050,000",-,"2,611,000",-,"7,934,000",-,"7,934,000",-,-,-,"11,005,000","9,173,000","1,832,000","27,894,000","333,183,000","265,053,000","185,189,000","185,189,000","79,864,000",-,-,-,"8,745,000","8,745,000","297,000","297,000",-,-,"297,000",-,"1,039,000","59,088,000","59,088,000","21,037,000",-,"297,000","8,745,000","47,585,000","47,513,000","2,710,000",-,"2,710,000","35,481,000","16,374,000","6,904,000","-148,000","-148,000",-,"72,000","106,601,000",-,"47,513,000",-,"36,508,000","106,601,000","36,508,000","59,088,000","25,244,000","542,000","473,000","80,001","69,000"
22,9/30/2017,"375,191,000","29,449,000","29,449,000","4,736,000",-,"24,713,000",-,-,-,"74,994,000",-,"3,815,000","17,740,000","57,254,000","11,009,000","1,323,000","212,574,000","215,179,000","1,764,000","99,143,000","27,170,000","87,102,000",-,"2,605,000",-,"7,694,000",-,"7,694,000",-,-,-,"11,017,000","9,163,000","1,854,000","28,454,000","328,739,000","260,735,000","180,768,000","180,768,000","79,967,000",-,-,-,"10,147,000","10,147,000","293,000","293,000",-,-,"293,000",-,"544,000","57,564,000","57,564,000","20,538,000",-,"293,000","10,147,000","46,452,000","46,388,000","2,710,000",-,"2,710,000","33,819,000","16,343,000","6,462,000","-22,000","-22,000",-,"64,000","103,952,000",-,"46,388,000",-,"35,371,000","103,952,000","35,371,000","57,564,000","28,115,000","542,000","476,000",-,"66,000"
23,6/30/2017,"372,190,000","27,521,000","27,521,000","5,039,000",-,"22,482,000",-,-,-,"76,431,000",-,"3,770,000","17,553,000","58,878,000","10,819,000","1,410,000","209,784,000","212,345,000","2,030,000","96,378,000","27,001,000","86,936,000",-,"2,561,000",-,"7,719,000",-,"7,719,000",-,-,-,"11,030,000","9,163,000","1,867,000","28,886,000","326,005,000","259,176,000","179,626,000","179,626,000","79,550,000",-,-,-,"10,119,000","10,119,000","304,000","304,000",-,-,"304,000",-,"604,000","56,406,000","56,406,000","19,039,000",-,"304,000","10,119,000","46,185,000","46,084,000","2,710,000",-,"2,710,000","33,133,000","16,326,000","5,987,000","-98,000","-98,000",-,"101,000","102,490,000",-,"46,084,000",-,"35,054,000","102,490,000","35,054,000","56,406,000","28,885,000","542,000","480,000",-,"62,000"
24,3/31/2017,"370,944,000","32,880,000","32,880,000","5,003,000",-,"27,877,000",-,-,-,"76,432,000",-,"3,993,000","17,093,000","59,339,000","10,900,000","1,298,000","204,217,000","206,778,000","1,414,000","92,075,000","26,806,000","86,483,000","212,826,000","2,561,000",-,"7,462,000",-,"7,462,000",-,-,-,"10,970,000","9,103,000","1,867,000","28,083,000","325,041,000","260,710,000","181,464,000","181,464,000","79,246,000",-,-,-,"8,964,000","8,964,000","305,000","305,000",-,-,"305,000",-,"617,000","55,062,000","55,062,000","19,549,000",-,"305,000","8,964,000","45,903,000","45,754,000","2,709,000",-,"2,709,000","32,372,000","16,275,000","5,323,000","-279,000","-279,000",-,"149,000","100,816,000",-,"45,754,000",-,"34,784,000","100,816,000","34,784,000","55,062,000","22,182,000","542,000","485,000",-,"57,000"
25,12/31/2016,"366,380,000","30,590,000","30,590,000","4,879,000",-,"25,711,000",-,-,-,"75,947,000",-,"3,842,000","15,843,000","60,104,000","10,728,000","1,499,000","203,167,000","205,756,000","2,504,000","89,444,000","27,331,000","86,477,000",-,"2,589,000",-,"7,581,000",-,"7,581,000",-,-,-,"10,861,000","9,103,000","1,758,000","27,506,000","319,452,000","257,164,000","176,934,000","176,934,000","80,230,000",-,-,-,"9,281,000","9,281,000","301,000","301,000",-,-,"301,000",-,"895,000","52,706,000","52,706,000","17,549,000",-,"301,000","9,281,000","46,928,000","45,773,000","2,709,000",-,"2,709,000","31,670,000","16,651,000","5,066,000","-191,000","-191,000",-,"1,155,000","98,479,000",-,"45,773,000",-,"34,912,000","98,479,000","34,912,000","52,706,000","22,116,000","542,000","485,000","80,001","57,000"
26,9/30/2016,"369,348,000","32,307,000","31,589,000","4,531,000",-,"27,058,000","718,000","718,000",-,"81,126,000","2,612,000","78,514,000","16,573,000","61,941,000","10,605,000","2,514,000","202,502,000","205,121,000","2,053,000","89,467,000","26,710,000","86,891,000",-,"2,619,000",-,"7,378,000",-,"7,378,000",-,-,-,"10,700,000","9,103,000","1,597,000","24,730,000","322,503,000","259,895,000","177,736,000","177,736,000","82,159,000","1,235,000",-,-,"5,226,000","5,226,000","310,000","310,000",-,-,"310,000",-,"511,000","50,306,000","50,306,000","17,050,000",-,"310,000","5,531,000","46,845,000","45,707,000","2,709,000",-,"2,709,000","30,958,000","16,159,000","4,765,000","646,000","646,000",-,"1,138,000","96,013,000",-,"45,707,000",-,"35,007,000","96,013,000","35,007,000","50,306,000","18,717,000","542,000","488,000",-,"54,000"
27,6/30/2016,"361,335,000","32,422,000","30,946,000","4,196,000",-,"26,750,000","1,476,000","1,476,000",-,"73,807,000","2,006,000","71,801,000","14,917,000","56,884,000","10,469,000","2,976,000","201,047,000","203,732,000","2,296,000","88,597,000","26,352,000","86,487,000",-,"2,685,000",-,"7,620,000",-,"7,620,000",-,-,-,"10,654,000","9,103,000","1,551,000","25,316,000","314,636,000","249,778,000","171,912,000","171,912,000","77,866,000","1,620,000",-,-,"5,080,000","5,080,000","303,000","303,000",-,-,"303,000",-,"583,000","52,951,000","52,951,000","18,055,000",-,"303,000","4,904,000","46,699,000","45,558,000","2,709,000",-,"2,709,000","30,309,000","16,108,000","4,304,000","736,000","736,000",-,"1,141,000","98,509,000",-,"45,558,000",-,"34,904,000","98,509,000","34,904,000","52,951,000","22,005,000","542,000","493,000",-,"49,000"
28,3/31/2016,"360,985,000","34,462,000","33,339,000","3,861,000",-,"29,478,000","1,123,000","1,123,000",-,"74,453,000","1,884,000","72,569,000","15,154,000","57,415,000","10,391,000","2,510,000","198,731,000","201,442,000","1,541,000","87,163,000","26,225,000","86,513,000",-,"2,711,000",-,"7,584,000",-,"7,584,000",-,-,-,"10,779,000","9,103,000","1,676,000","24,585,000","314,657,000","250,359,000","172,208,000","172,208,000","78,151,000","2,495,000",-,-,"4,850,000","4,850,000","282,000","282,000",-,-,"282,000",-,"518,000","51,683,000","51,683,000","19,058,000",-,"282,000","4,988,000","46,328,000","45,130,000","2,708,000",-,"2,708,000","29,642,000","16,039,000","3,791,000","532,000","532,000",-,"1,198,000","96,813,000",-,"45,130,000",-,"34,351,000","96,813,000","34,351,000","51,683,000","18,344,000","542,000","499,000",-,"43,000"
29,12/31/2015,"358,493,000","35,980,000","34,611,000","4,065,000",-,"30,546,000","1,369,000","1,369,000",-,"72,254,000","1,726,000","70,528,000","14,768,000","55,760,000","10,587,000","1,836,000","198,041,000","200,768,000","1,540,000","86,949,000","26,608,000","85,671,000",-,"2,727,000",-,"7,468,000",-,"7,468,000",-,-,-,"11,071,000","9,103,000","1,968,000","23,092,000","312,513,000","249,002,000","169,567,000","169,567,000","79,435,000","1,777,000",-,-,"4,975,000","4,975,000","14,000","14,000",-,"14,000","261,000",-,"640,000","52,741,000","52,741,000","20,108,000",-,"261,000","3,743,000","45,980,000","44,710,000","2,708,000",-,"2,708,000","29,043,000","16,197,000","3,368,000","130,000","130,000",-,"1,270,000","97,451,000",-,"44,710,000",-,"33,639,000","97,465,000","33,639,000","52,755,000","18,144,000","542,000","504,000","80,001","38,000"
30,9/30/2015,"362,125,000","39,593,000","38,059,000","3,835,000",-,"34,224,000","1,534,000","1,534,000",-,"69,967,000","1,901,000","68,066,000","14,403,000","53,663,000","10,497,000","3,619,000","196,162,000","199,399,000","2,060,000","85,935,000","26,321,000","85,083,000",-,"3,237,000",-,"7,644,000",-,"7,644,000",-,-,-,"10,977,000","9,103,000","1,874,000","27,285,000","315,847,000","244,979,000","166,740,000","166,740,000","78,239,000","2,077,000",-,-,"5,185,000","5,185,000","1,125,000","1,125,000",-,"1,125,000","266,000",-,"1,870,000","53,461,000","53,461,000","21,664,000",-,"266,000","8,754,000","46,278,000","44,948,000","2,708,000",-,"2,708,000","28,337,000","16,125,000","2,837,000","615,000","615,000",-,"1,330,000","98,409,000",-,"44,948,000",-,"33,971,000","99,534,000","33,971,000","54,586,000","16,527,000","542,000","510,000",-,"32,000"
31,6/30/2015,"353,945,000","40,352,000","38,381,000","4,412,000",-,"33,969,000","1,971,000","1,971,000",-,"63,696,000","2,334,000","61,362,000","13,683,000","47,679,000","10,531,000","2,557,000","196,455,000","199,727,000","2,357,000","87,202,000","26,364,000","83,804,000",-,"3,272,000",-,"7,783,000",-,"7,783,000",-,-,-,"11,096,000","9,103,000","1,993,000","24,032,000","308,033,000","239,704,000","162,335,000","162,335,000","77,369,000","2,190,000",-,-,"5,031,000","5,031,000","2,956,000","2,956,000",-,"2,956,000","246,000",-,"1,391,000","53,130,000","53,130,000","22,193,000",-,"246,000","4,776,000","45,912,000","44,515,000","2,708,000",-,"2,708,000","27,609,000","16,081,000","2,262,000","379,000","379,000",-,"1,397,000","97,645,000",-,"44,515,000",-,"33,419,000","100,601,000","33,419,000","56,086,000","17,705,000","542,000","516,000",-,"26,000"
32,3/31/2015,"350,960,000","37,242,000","35,349,000","4,151,000",-,"31,198,000","1,893,000","1,893,000",-,"62,919,000","2,151,000","60,768,000","13,189,000","47,579,000","10,523,000","3,359,000","196,369,000","199,675,000","2,423,000","86,906,000","26,493,000","83,853,000",-,"3,306,000",-,"7,470,000",-,"7,470,000",-,-,-,"10,899,000","9,103,000","1,796,000","25,538,000","304,522,000","236,503,000","161,559,000","161,559,000","74,944,000","2,202,000",-,-,"5,039,000","5,039,000","4,399,000","4,399,000",-,"4,399,000","234,000",-,"1,870,000","50,228,000","50,228,000","21,224,000",-,"234,000","5,917,000","46,438,000","45,025,000","2,706,000",-,"2,706,000","26,882,000","16,509,000","1,775,000","703,000","703,000",-,"1,413,000","95,253,000",-,"45,025,000",-,"34,126,000","99,652,000","34,126,000","54,627,000","19,278,000","541,000","520,000",-,"21,000"
33,12/31/2014,"345,072,000","37,991,000","36,139,000","4,360,000",-,"31,779,000","1,852,000","1,852,000",-,"58,176,000","2,353,000","55,823,000","11,588,000","44,235,000","10,728,000","2,587,000","196,062,000","199,393,000","2,262,000","86,608,000","27,365,000","83,158,000",-,"3,331,000",-,"7,686,000",-,"7,686,000",-,-,-,"10,947,000","9,103,000","1,844,000","23,482,000","298,998,000","232,234,000","158,755,000","158,755,000","73,479,000","3,510,000",-,-,"5,187,000","5,187,000","4,995,000","4,995,000",-,"4,995,000","259,000",-,"1,383,000","48,263,000","48,263,000","20,005,000",-,"259,000","4,550,000","46,074,000","44,551,000","2,705,000",-,"2,705,000","26,200,000","16,573,000","1,430,000","503,000","503,000",-,"1,523,000","92,814,000",-,"44,551,000",-,"33,604,000","97,809,000","33,604,000","53,258,000","17,119,000","541,000","523,000","80,001","18,000"
34,9/30/2014,"334,424,000","32,172,000","30,411,000","4,164,000",-,"26,247,000","1,761,000","1,761,000",-,"57,689,000","2,650,000","55,039,000",-,-,"10,763,000",-,"191,988,000","195,394,000","2,143,000","82,778,000","27,403,000","83,070,000",-,"3,406,000",-,"7,621,000",-,"7,621,000",-,-,-,"11,068,000","9,074,000","1,994,000","23,123,000","288,429,000","226,304,000","153,341,000","153,341,000","72,963,000","3,499,000",-,-,"5,090,000","5,090,000","4,809,000","4,809,000",-,"4,809,000","251,000",-,-,"44,019,000","44,019,000","16,471,000",-,"251,000","4,457,000","45,995,000","44,481,000","2,703,000",-,"2,703,000","25,464,000","16,518,000","931,000","727,000","727,000",-,"1,514,000","88,500,000",-,"44,481,000",-,"33,413,000","93,309,000","33,413,000","48,828,000","18,417,000","540,000","528,000",-,"12,000"
35,6/30/2014,"327,064,000","23,294,000","21,768,000","4,892,000",-,"16,876,000","1,526,000","1,526,000",-,"58,830,000","2,228,000","56,602,000",-,-,"10,583,000",-,"192,131,000","195,584,000","2,228,000","82,628,000","26,875,000","83,853,000","200,984,000","3,453,000",-,"7,628,000",-,"7,628,000",-,-,-,"11,071,000","9,074,000","1,997,000","23,527,000","281,271,000","222,554,000","151,553,000","151,553,000","71,001,000","3,132,000",-,-,"4,753,000","4,753,000","4,999,000","4,999,000",-,"4,999,000","232,000",-,-,"40,935,000","40,935,000","15,023,000",-,"232,000","4,666,000","45,793,000","44,205,000","2,703,000",-,"2,703,000","24,755,000","16,450,000","584,000","881,000","881,000",-,"1,588,000","85,140,000",-,"44,205,000",-,"33,134,000","90,139,000","33,134,000","45,934,000","24,166,000","540,000","532,000",-,"8,000"
36,3/31/2014,"323,423,000","20,743,000","19,600,000","4,723,000",-,"14,877,000","1,143,000","1,143,000",-,"61,025,000","2,381,000","58,644,000",-,-,"10,337,000",-,"189,293,000","192,823,000","2,102,000","80,245,000","26,791,000","83,685,000",-,"3,530,000",-,"7,521,000",-,"7,521,000",-,-,-,"11,189,000","9,074,000","2,115,000","23,315,000","278,505,000","222,382,000","152,319,000","152,319,000","70,063,000","3,233,000",-,-,"4,808,000","4,808,000","4,923,000","4,923,000",-,"4,923,000","228,000",-,-,"38,650,000","38,650,000","13,911,000",-,"228,000","4,281,000","44,918,000","43,321,000","2,700,000",-,"2,700,000","24,010,000","16,337,000","382,000","656,000","656,000","43,321,000","1,597,000","81,971,000",-,"43,321,000",-,"32,132,000","86,894,000","32,132,000","43,573,000","23,973,000","540,000","534,000",-,"6,000"
37,12/31/2013,"320,296,000","18,164,000","16,178,000","4,043,000",-,"12,135,000","1,986,000","1,986,000",-,"63,367,000","3,073,000","60,294,000","11,687,000","48,607,000","10,664,000","1,695,000","186,683,000","190,292,000","2,255,000","77,649,000","26,956,000","83,432,000",-,"3,609,000",-,"7,576,000",-,"7,576,000",-,-,-,"11,290,000","9,074,000","2,216,000","22,552,000","276,199,000","220,931,000","150,625,000","150,625,000","70,306,000","4,289,000",-,-,"4,734,000","4,734,000","4,997,000","4,997,000",-,"4,997,000","242,000",-,"904,000","36,819,000","36,819,000","12,912,000",-,"242,000","4,187,000","44,097,000","42,408,000","2,698,000",-,"2,698,000","23,325,000","16,357,000","408,000","436,000","436,000",-,"1,689,000","79,227,000",-,"42,408,000",-,"31,118,000","84,224,000","31,118,000","41,816,000","25,638,000","540,000","533,000","81,501","7,000"
38,9/30/2013,"308,597,000","13,866,000","12,955,000","4,908,000",-,"8,047,000","911,000","911,000",-,"58,863,000","1,603,000","57,260,000",-,-,"10,303,000",-,"184,250,000","187,941,000","2,399,000","76,436,000","26,438,000","82,668,000",-,"3,691,000",-,"7,314,000",-,"7,314,000",-,-,-,"11,268,000","9,074,000","2,194,000","22,733,000","265,777,000","216,074,000","147,327,000","147,327,000","68,747,000","3,165,000",-,-,"4,673,000","4,673,000","6,994,000","6,994,000",-,"6,994,000","235,000",-,-,"30,114,000","30,114,000","8,479,000",-,"235,000","4,522,000","42,820,000","41,130,000","2,695,000",-,"2,695,000","22,561,000","16,250,000","423,000","47,000","47,000","41,083,000","1,690,000","71,244,000",-,"41,130,000",-,"29,862,000","78,238,000","29,862,000","37,108,000","24,153,000","539,000","532,000",-,"7,000"
39,6/30/2013,"304,415,000","9,461,000","7,848,000","4,051,000",-,"3,797,000","1,613,000","1,613,000",-,"59,558,000","2,109,000","57,449,000",-,-,"10,054,000",-,"182,468,000","186,240,000","3,814,000","76,682,000","25,312,000","80,432,000",-,"3,772,000",-,"7,349,000",-,"7,349,000",-,-,-,"11,228,000","9,075,000","2,153,000","24,297,000","262,474,000","212,279,000","145,571,000","145,571,000","66,708,000","4,303,000",-,-,"4,057,000","4,057,000","6,400,000","6,400,000",-,"6,400,000","242,000",-,-,"29,161,000","29,161,000","8,481,000",-,"242,000","6,032,000","41,941,000","40,286,000","2,693,000",-,"2,693,000","21,828,000","16,173,000","453,000","45,000","45,000",-,"1,655,000","69,447,000",-,"40,286,000",-,"29,058,000","75,847,000","29,058,000","35,561,000","27,713,000","539,000","531,000",-,"8,000"
40,3/31/2013,"300,812,000","6,763,000","5,489,000","3,948,000",-,"1,541,000","1,274,000","1,274,000",-,"61,604,000","2,243,000","59,361,000",-,-,"11,008,000",-,"178,731,000","182,559,000","3,295,000","74,011,000","25,185,000","80,068,000",-,"3,828,000",-,"7,240,000",-,"7,240,000",-,-,-,"10,996,000","9,075,000","1,921,000","24,470,000","258,734,000","211,620,000","146,968,000","146,968,000","64,652,000","4,000,000",-,-,"4,181,000","4,181,000","6,953,000","6,953,000",-,"6,953,000","238,000",-,-,"26,694,000","26,694,000","5,483,000",-,"238,000","5,048,000","42,078,000","39,663,000","2,690,000",-,"2,690,000","20,993,000","15,765,000","552,000","767,000","767,000",-,"2,415,000","66,357,000",-,"39,663,000",-,"28,667,000","73,310,000","28,667,000","33,647,000","28,158,000","538,000","529,000",-,"9,000"
