,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Fees & Commission Expense,Dividend Income,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
68,6/30/2005,"15,049,000","7,658,000","14,601,000","6,943,000","7,391,000","1,198,000","3,522,000","3,522,000",-,-,-,-,-,-,-,-,-,"5,127,000","1,329,000","3,798,000","3,798,000","3,991,000","3,798,000","-193,000",-,"3,798,000",1.73,1.70,"2,201,739","2,234,118","3,798,000","3,798,000",-,"3,798,000",-,-,0,0
69,3/31/2005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,991,000","3,991,000","3,991,000","3,991,000",-,-,"3,991,000",1.50,1.48,"2,654,952","2,693,995","3,991,000","3,991,000",-,"3,991,000",-,-,0,0
70,12/31/2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,747,000","2,747,000","4,008,000","2,747,000",-,-,"2,747,000",-,-,-,-,"2,747,000","2,747,000",-,"2,747,000",-,-,0,0
71,9/30/2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,747,000","2,747,000","2,747,000","2,747,000",-,-,"2,747,000",1.11,1.07,"2,472,365","2,573,277","2,747,000","2,747,000",-,"2,747,000",-,-,0,0
72,6/30/2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,767,000","3,767,000","4,434,000","4,434,000",-,-,"3,767,000",-,-,-,-,"3,767,000","3,767,000",-,"3,767,000",-,-,0,0
73,3/31/2004,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,173,000","3,173,000","3,173,000","3,173,000",-,-,"3,173,000",1.26,1.26,"2,511,112","2,511,112","3,173,000","3,173,000",-,"3,173,000",-,-,0,0
74,12/31/2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,334,000","2,334,000","3,256,000","2,334,000",-,-,"2,334,000",-,-,-,-,"2,334,000","2,334,000",-,"2,334,000",-,-,0,0
75,9/30/2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,334,000","2,334,000","2,334,000","2,334,000",-,-,"2,334,000",0.94,0.94,"2,491,474","2,491,474","2,334,000","2,334,000",-,"2,334,000",-,-,0,0
76,6/30/2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,167,247","2,167,247","2,632,302","2,632,302",-,-,"2,167,247",-,-,-,-,"2,167,247","2,167,247",-,"2,167,247",-,-,0,0
77,3/31/2003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,053,000","2,053,000","2,053,000","2,053,000",-,-,"2,053,000",0.89,0.87,"2,310,207","2,332,010","2,053,000","2,053,000",-,"2,053,000",-,-,0,0
78,12/31/2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,479,000","1,479,000","2,356,000","1,479,000",-,-,"1,479,000",-,-,-,-,"1,479,000","1,479,000",-,"1,479,000",-,-,0,0
79,9/30/2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,480,000","1,480,000","1,480,000","1,480,000",-,-,"1,480,000",0.68,0.68,"2,143,586","2,143,586","1,480,000","1,480,000",-,"1,480,000",-,-,0,0
80,6/30/2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,658,698","1,658,698","2,123,332","2,123,332",-,-,"1,658,698",-,-,-,-,"1,658,698","1,658,698",-,"1,658,698",-,-,0,0
81,3/31/2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,640,000","1,640,000","1,640,000","1,640,000",-,-,"1,640,000",0.76,0.76,"2,150,799","2,150,799","1,640,000","1,640,000",-,"1,640,000",-,-,0,0
82,12/31/2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"868,000","868,000","1,888,000","868,000",-,-,"868,000",-,-,-,-,"868,000","868,000",-,"868,000",-,-,0,0
83,9/30/2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"868,000","868,000","868,000","868,000",-,-,"868,000",0.41,0.41,"2,096,960","2,096,960","868,000","868,000",-,"868,000",-,-,0,0
84,6/30/2001,"6,785,000","3,596,000","9,610,000","6,014,000","3,189,000",-,-,-,-,-,-,-,-,-,-,-,-,"2,450,000","680,000","1,770,000","1,770,000","2,038,000","1,770,000","-268,000",-,"1,770,000",0.83,0.83,"2,113,750","2,138,996","1,770,000","1,770,000",-,"1,770,000",-,-,0,0
85,3/31/2001,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,601,000","2,601,000","2,601,000","2,601,000",-,-,"2,601,000",1.24,1.20,"2,105,775","2,159,715","2,601,000","2,601,000",-,"2,601,000",-,-,0,0
86,12/31/2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,822,629","4,822,629","6,180,318","6,180,318",-,-,"4,822,629",-,-,-,-,"4,822,629","4,822,629",-,"4,822,629",-,-,0,0
87,9/30/2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,552,000","1,552,000","1,552,000","1,552,000",-,-,"1,552,000",0.74,0.74,"2,095,255","2,095,255","1,552,000","1,552,000",-,"1,552,000",-,-,0,0
88,6/30/2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,762,457","1,762,457","2,180,511","2,180,511",-,-,"1,762,457",-,-,-,-,"1,762,457","1,762,457",-,"1,762,457",-,-,0,0
89,3/31/2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,763,000","1,763,000","1,763,000","1,763,000",-,-,"1,763,000",0.92,0.90,"1,926,758","1,964,170","1,763,000","1,763,000",-,"1,763,000",-,-,0,0
90,12/31/1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,691,018","4,691,018","5,557,460","5,557,460",-,-,"4,691,018",-,-,-,-,"4,691,018","4,691,018",-,"4,691,018",-,-,0,0
91,9/30/1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,357,000","1,357,000","1,357,000","1,357,000",-,-,"1,357,000",0.70,0.70,"1,946,498","1,946,498","1,357,000","1,357,000",-,"1,357,000",-,-,0,0
92,6/30/1999,"5,313,500","2,956,500","7,230,000","4,273,500","2,357,000",-,-,-,-,-,-,-,-,-,-,-,-,"1,898,500","551,500","1,347,000","1,347,000","1,482,500","1,347,000","-135,500",-,"1,347,000",0.72,0.72,"1,862,317","1,862,317","1,347,000","1,347,000",-,"1,347,000",-,-,0,0
93,3/31/1999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,347,000","1,347,000","1,347,000","1,347,000",-,-,"1,347,000",0.72,0.72,"1,862,317","1,862,317","1,347,000","1,347,000",-,"1,347,000",-,-,0,0
