,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Fees & Commission Expense,Dividend Income,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Net Income from Continuing & Discontinued Operation,Normalized Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
14,12/31/2019,"15,827,000","7,654,000","31,887,000",-,"8,173,000","2,749,000","2,109,000",-,-,-,"518,000","-7,924,000","432,000",-,-,"143,000","25,318,000","-3,897,000","1,127,000","-5,509,000","-5,310,000","-5,024,000","-5,024,000","-286,000","23,000","-5,509,000",-,-,-,-,"-5,310,000","1,108,440",-,"-5,310,000","-7,924,000","-7,924,000",0,"-1,505,560"
15,9/30/2019,"17,002,000","7,568,000","7,568,000",-,"9,434,000","2,846,000","2,961,000",-,-,-,"512,000","-481,000","175,000",-,-,"306,000","-8,147,000","4,837,000","1,042,000","2,971,000","3,477,000","3,795,000","3,795,000","-318,000","22,000","2,971,000",0.75,0.75,3.961,3.961,"3,477,000","3,854,382",-,"3,477,000","-481,000","-481,000",0,"-103,618"
16,6/30/2019,"17,432,000","7,772,000","20,282,000",-,"9,660,000","4,425,000","2,652,000",-,-,"30,000","732,000","150,000","275,000",-,-,"-425,000","9,406,000","6,194,000","1,167,000","4,373,000","4,650,000","5,027,000","5,027,000","-377,000","23,000","4,373,000",-,-,-,-,"4,650,000","4,494,986",-,"4,650,000","191,000","191,000",0,"35,986"
17,3/31/2019,"19,619,000","7,468,000","7,468,000",-,"12,151,000","5,006,000","3,026,000",-,-,"8,000","592,000","-159,000","103,000",-,-,"56,000","-8,222,000","6,213,000","1,303,000","4,134,000","4,566,000","4,910,000","4,910,000","-344,000","22,000","4,134,000",1.05,1.05,"4,016,400","4,035,400","4,566,000","4,691,610",-,"4,566,000","-159,000","-159,000",0,"-33,390"
18,12/31/2018,"14,106,000","7,709,000","26,829,000",-,"6,397,000","1,408,000","2,104,000",-,-,"19,000","558,000","-224,000","76,000",-,-,"148,000",-,"3,256,000","1,163,000","1,537,000","1,794,000","2,093,000","2,093,000","-299,000","23,000","1,537,000",-,-,-,-,"1,794,000","1,885,279",-,"1,794,000","-142,000","-142,000",0,"-50,721"
19,9/30/2018,"16,597,000","7,680,000","7,680,000",-,"8,917,000","2,890,000","3,026,000",-,-,"15,000","597,000","-228,000","116,000",-,-,"112,000","-7,966,000","5,922,000","1,406,000","3,899,000","4,185,000","4,516,000","4,516,000","-331,000","22,000","3,899,000",0.95,0.95,4.104,4.104,"4,185,000","4,358,868",-,"4,185,000","-228,000","-228,000",0,"-54,132"
20,6/30/2018,"16,750,000","7,644,000","15,966,000",-,"9,106,000","2,994,000","2,829,000",-,-,"32,000","783,000","-111,000","89,000",-,-,"22,000","9,701,000","5,957,000","1,279,000","4,087,000","4,352,000","4,678,000","4,678,000","-326,000","23,000","4,087,000",-,-,-,-,"4,352,000","4,421,106",-,"4,352,000","-88,000","-88,000",0,"-18,894"
21,3/31/2018,"16,548,000","7,456,000","7,456,000",-,"9,092,000","2,923,000","3,507,000",-,-,"9,000","598,000","-1,138,000","146,000",-,-,"992,000","-9,383,000","4,755,000","1,017,000","3,086,000","3,396,000","3,738,000","3,738,000","-342,000","22,000","3,086,000",0.75,0.75,"4,002,600","4,023,600","3,396,000","4,290,468",-,"3,396,000","-1,138,000","-1,138,000",0,"-243,532"
22,12/31/2017,"15,186,000","8,893,000","21,712,000",-,"6,293,000","2,341,000","2,236,000",-,-,"17,000","556,000","-693,000","786,000",-,-,"-93,000","24,910,000","2,304,000","1,978,000","-274,000","52,000","326,000","326,000","-274,000","23,000","-274,000",-,-,-,-,"52,000","574,450",-,"52,000","-645,000","-645,000",0,"-122,550"
23,9/30/2017,"16,324,000","7,127,000","7,127,000",-,"9,197,000","2,651,000","3,255,000",-,-,"40,000","636,000","-762,000","786,000",-,-,"-24,000","-8,656,000","4,620,000","1,115,000","2,958,000","3,236,000","3,505,000","3,505,000","-269,000","22,000","2,958,000",0.75,0.75,3.944,3.944,"3,236,000","3,814,097",-,"3,236,000","-762,000","-762,000",0,"-183,903"
