,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Equipment,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
110,12/31/1995,"3,647,000","3,861,000","4,355,000",-,-,-,-,-,-,"494,000",-,-,-,-,-,"-214,000","3,958,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-3,390,000",-,"2,714,000",-,-,"1,825,000","1,825,000","894,000","931,000",-,-,"889,000",-,-,-,-,-,-,-,"762,000","272,000","585,000","607,000","607,000","490,000","117,000",-,-,"22,000",-,"585,000",-,-,-,-,"3,690,000","607,000","490,000",-,"182,000","490,000",-,-,0,0
111,9/30/1995,"3,801,000","-489,000",0,-,-,-,-,-,-,"489,000",-,-,-,-,-,"4,290,000","1,298,000",-,-,-,-,-,-,-,-,-,"255,000",-,-,-,-,-,"2,737,000",-,"3,094,000",-,-,"2,240,000","2,240,000","898,000","1,342,000",-,-,"854,000",-,-,-,-,-,-,-,"707,000","251,000","460,000","481,000","481,000","456,000","25,000",-,-,"21,000",-,"460,000",2.50,2.50,"184,000","184,000","-489,000","481,000","456,000",-,"-30,000","456,000",-,-,0,0
112,6/30/1995,"3,654,000","-518,000",0,-,-,-,-,-,-,"518,000",-,-,-,-,-,"4,172,000","1,306,000",-,-,-,-,-,-,-,-,-,"225,000",-,-,-,-,-,"2,641,000",-,"3,072,000",-,-,"2,214,000","2,214,000","844,000","1,370,000",-,-,"858,000",-,-,-,-,-,-,-,"582,000","205,000","385,000","406,000","406,000","377,000","29,000",-,-,"21,000",-,"385,000",2.10,2.10,"183,333","183,333","-518,000","406,000","377,000",-,"64,000","377,000",-,-,0,0
113,3/31/1995,"3,875,000","-455,000",0,-,-,-,-,-,-,"455,000",-,-,-,-,-,"4,330,000","1,597,000",-,-,-,-,-,-,-,-,-,"282,000",-,-,"31,000",-,"31,000","2,420,000",-,"3,352,000",-,-,"2,458,000","2,458,000","806,000","1,652,000",-,-,"894,000",-,-,-,-,-,-,-,"523,000","183,000","318,000","340,000","340,000","340,000",-,-,-,"22,000",-,"318,000",1.70,1.70,"200,000","200,000","-455,000","340,000","319,847",-,"88,000","340,000","31,000","31,000",0,"10,847"
114,12/31/1994,"4,226,000","3,228,000","3,637,000",-,-,-,-,-,-,"409,000",-,-,-,-,-,"998,000","1,623,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-879,000","-40,000","3,567,000",-,-,"2,534,000","2,534,000","807,000","1,727,000",-,-,"1,033,000",-,-,-,-,-,-,-,"619,000","285,000","312,000","334,000","334,000","334,000",-,-,-,"22,000",-,"312,000",-,-,-,-,"3,188,000","334,000","334,000",-,"91,000","334,000",-,-,0,0
115,9/30/1994,"4,356,000","-358,000",0,-,-,-,-,-,-,"358,000",-,-,-,-,-,"4,714,000","1,973,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,741,000","-35,000","3,819,000",-,-,"2,787,000","2,787,000","782,000","2,005,000",-,-,"1,032,000",-,-,-,-,-,-,-,"502,000","170,000","311,000","332,000","332,000","332,000",-,-,-,"21,000",-,"311,000",1.70,1.70,"182,941","182,941","-393,000","332,000","332,000",-,"84,000","332,000",-,-,0,0
116,6/30/1994,"4,307,000","-294,000",0,-,-,-,-,-,-,"294,000",-,-,-,-,-,"4,601,000","1,995,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,606,000","-38,000","3,779,000",-,-,"2,754,000","2,754,000","764,000","1,990,000",-,-,"1,025,000",-,-,-,-,-,-,-,"490,000","170,000","298,000","320,000","320,000","320,000",-,-,-,"22,000",-,"298,000",1.60,1.60,"186,250","186,250","-332,000","320,000","320,000",-,"100,000","320,000",-,-,0,0
117,3/31/1994,"4,546,000","-223,000",0,-,-,-,-,-,-,"223,000",-,-,-,-,-,"4,769,000","1,999,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,770,000","-39,000","3,969,000",-,-,"2,963,000","2,963,000","888,000","2,075,000",-,-,"1,006,000",-,-,-,-,-,-,-,"538,000","198,000","319,000","340,000","340,000","340,000",-,-,-,"21,000",-,"319,000",1.70,1.70,"187,647","187,647","-262,000","340,000","340,000",-,"74,000","340,000",-,-,0,0
118,12/31/1993,"1,988,700","21,600","228,500",-,-,-,-,-,-,"206,900",-,-,-,-,-,"1,967,100","378,600",-,-,-,-,-,-,-,-,-,-,-,-,200,-,200,"1,588,300","-39,100","1,503,800",-,-,"1,024,800","1,024,800","809,400","215,400",-,-,"479,000",-,-,-,-,-,-,-,"442,700","143,800","273,200","280,600","283,700","298,900",-,"-18,300","-3,100","7,400",-,"273,200",-,-,-,-,"-17,500","298,900","298,765",-,"47,100","298,900",200,200,0,64.965
119,9/30/1993,"1,837,600","12,600","197,600",-,-,-,-,-,-,"185,000",-,-,-,-,-,"1,825,000","364,300",-,-,-,-,-,-,-,-,-,-,-,-,"6,900",-,"6,900","1,453,800","-27,800","1,362,800",-,-,"848,100","848,100","639,900","208,200",-,-,"514,700",-,-,-,-,-,-,-,"440,300","181,600","252,300","258,700","265,400","258,700",-,-,"-6,700","6,400",-,"252,300",1.70,1.70,"148,412","148,412","-15,200","258,700","254,560",-,"36,400","258,700","6,900","6,900",0,"2,760"
120,6/30/1993,"1,126,200","-16,000","141,400",-,-,-,-,-,-,"157,400",-,-,-,-,-,"1,142,200","371,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"770,900","-32,200","797,500",-,-,"502,300","502,300","302,500","199,800",-,-,"295,200",-,-,-,-,-,-,-,"292,500","106,100","180,300","186,400","190,400","186,400",-,-,"-4,000","6,100",-,"180,300",1.30,1.30,"138,692","138,692","-48,200","186,400","186,400",-,"22,900","186,400",-,-,0,0
121,3/31/1993,"1,150,500","-7,200","150,500",-,-,-,-,-,-,"157,700",-,-,-,-,-,"1,157,700","365,800",-,-,-,-,-,-,-,-,-,-,-,-,"5,900",-,"5,900","786,000","-34,900","781,900",-,-,"514,800","514,800","305,200","209,600",-,-,"267,100",-,-,-,-,-,-,-,"325,500","118,500","184,200","190,300","198,500","207,000",-,"-16,700","-8,200","6,100",-,"184,200",1.20,1.20,"153,500","153,500","-42,100","207,000","203,248",-,"18,600","207,000","5,900","5,900",0,"2,148"
122,12/31/1992,"1,223,100","-8,400","147,400",-,-,-,-,-,-,"155,800",-,-,-,-,-,"1,231,500","422,400",-,-,-,-,-,-,-,-,-,-,-,-,"109,900",-,"109,900","699,200","-40,300","829,600",-,-,"503,300","503,300","275,400","227,900",-,-,"326,300",-,-,-,-,-,-,-,"353,200","133,300","185,700","191,800","191,800","219,900",-,-,-,"6,100",-,"185,700",-,-,-,-,"-48,700","219,900","151,477",-,"25,100","219,900","109,900","109,900",0,"41,477"
123,9/30/1992,"1,078,200","-16,400","151,000",-,-,-,-,-,-,"167,400",-,-,-,-,-,"1,094,600","412,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"682,100","-41,400","785,400",-,-,"471,800","471,800","251,800","220,000",-,-,"313,600",-,-,-,-,-,-,-,"251,400","86,400","163,800","165,000","165,000","165,000",-,-,-,"1,200",-,"163,800",1.30,1.30,"126,000","126,000","-57,800","165,000","165,000",-,"24,000","165,000",-,-,0,0
124,6/30/1992,"1,100,400","-17,900","157,200",-,-,-,-,-,-,"175,100",-,-,-,-,-,"1,118,300","436,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"681,500","-42,200","826,700",-,-,"496,800","496,800","262,900","233,900",-,-,"329,900",-,-,-,-,-,-,-,"231,500","81,000","150,500","150,500","150,500","150,500",-,-,-,-,-,"150,500",1.10,1.10,"136,818","136,818","-60,100","150,500","150,500",-,"25,300","150,500",-,-,0,0
125,3/31/1992,"1,237,000","-25,800","149,800",-,-,-,-,-,-,"175,600",-,-,-,-,-,"1,262,800","421,800",-,-,-,-,-,-,-,-,-,-,-,-,"77,700",-,"77,700","763,300","-41,400","843,900",-,-,"504,100","504,100","279,100","225,000",-,-,"339,800",-,-,-,-,-,-,-,"351,900","130,900","221,000","221,000","221,000","221,000",-,-,-,-,-,"221,000",1.70,1.70,"130,000","130,000","-67,200","221,000","172,203",-,"22,700","221,000","77,700","77,700",0,"28,903"
126,12/31/1991,"1,669,800","-42,600","163,300",-,-,-,-,-,-,"205,900",-,-,-,-,-,"1,712,400","437,200",-,-,-,-,-,-,-,-,-,-,-,-,"22,600",-,"22,600","1,252,600","-45,800","1,396,600",-,-,"769,800","555,600","328,400","227,200",-,"214,200","626,800",-,-,-,-,-,-,-,"212,800","80,700","132,100","132,100","146,700","132,100",-,-,"-14,600",-,-,"132,100",-,-,-,-,"-88,400","132,100","118,071",-,"29,600","132,100","22,600","22,600",0,"8,571"
127,9/30/1991,"1,372,800","-43,800","173,300",-,-,-,-,-,-,"217,100",-,-,-,-,-,"1,416,600","442,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"973,700","-44,200","1,128,900",-,-,"647,600","514,200","283,700","230,500",-,"133,400","481,300",-,-,-,-,-,-,-,"195,700","72,200","123,500","123,500","127,500","123,500",-,-,"-4,000",-,-,"123,500",1.00,1.00,"123,500","123,500","-88,000","123,500","123,500",-,"31,000","123,500",-,-,0,0
128,6/30/1991,"1,415,700","-46,400","172,600",-,-,-,-,-,-,"219,000",-,-,-,-,-,"1,462,100","442,900",-,-,-,-,-,-,-,-,-,-,-,-,"40,000",-,"40,000","979,200","-41,300","1,180,600",-,-,"682,900","547,400","310,700","236,700",-,"135,500","497,700",-,-,-,-,-,-,-,"189,400","72,100","117,300","117,300","121,700","117,300",-,-,"-4,400",-,-,"117,300",0.80,0.80,"146,625","146,625","-87,700","117,300","92,527",-,"28,700","117,300","40,000","40,000",0,"15,227"
129,3/31/1991,"1,336,600","-55,200","178,700",-,-,-,-,-,-,"233,900",-,-,-,-,-,"1,391,800","459,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"932,200","-33,800","1,132,700",-,-,"658,700","520,300","278,600","241,700",-,"138,400","474,000",-,-,-,-,-,-,-,"167,600","61,700","105,900","105,900","108,400","105,900",-,-,"-2,500",-,-,"105,900",0.80,0.80,"132,375","132,375","-89,000","105,900","105,900",-,"31,100","105,900",-,-,0,0
130,12/31/1990,"1,451,700","-56,600","186,100",-,-,-,-,-,-,"242,700",-,-,-,-,-,"1,508,300","467,200",-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,"1,041,100","-34,800","1,250,400",-,-,"699,600","485,400","240,500","244,900",-,"214,200","550,800",-,-,-,-,-,-,-,"159,300","60,500","98,800","98,800","106,000","98,800",-,-,"-7,200",-,-,"98,800",-,-,-,-,"-91,400","98,800","98,800",-,"33,100","98,800",0,0,0,0
131,9/30/1990,"1,243,600","-55,400","203,500",-,-,-,-,-,-,"258,900",-,-,-,-,-,"1,299,000","464,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"835,000","-32,200","1,062,500",-,-,"623,600","495,000","246,500","248,500",-,"128,600","438,900",-,-,-,-,-,-,-,"145,700","51,700","94,000","94,000","97,200","94,000",-,-,"-3,200",-,-,"94,000",0.70,0.70,"134,286","134,286","-87,600","94,000","94,000",-,"34,600","94,000",-,-,0,0
132,6/30/1990,"1,304,500","-46,400","218,100",-,-,-,-,-,-,"264,500",-,-,-,-,-,"1,350,900","500,900",-,-,-,-,-,-,-,-,-,-,-,-,"15,300",-,"15,300","834,700","-29,600","1,119,200",-,-,"643,700","521,700","249,200","272,500",-,"122,000","475,500",-,-,-,-,-,-,-,"153,400","56,500","96,900","96,900","99,200","96,900",-,-,"-2,300",-,-,"96,900",0.70,0.70,"138,429","138,429","-76,000","96,900","87,235",-,"29,300","96,900","15,300","15,300",0,"5,635"
133,3/31/1990,"1,182,100","-29,800","231,300",-,-,-,-,-,-,"261,100",-,-,-,-,-,"1,211,900","489,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"722,100","-24,900","1,026,000",-,-,"606,100","503,800","237,600","266,200",-,"102,300","419,900",-,-,-,-,-,-,-,"130,200","47,000","83,200","83,200","84,200","83,200",-,-,"-1,000",-,-,"83,200",0.70,0.70,"118,857","118,857","-54,700","83,200","83,200",-,"27,100","83,200",-,-,0,0
134,12/31/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"138,200","95,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,9/30/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"78,300","78,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,6/30/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"63,400","63,400",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,3/31/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"51,400","51,400",-,-,-,-,-,-,0.50,0.50,"114,969","114,969",-,-,-,-,-,-,-,-,-,-
138,12/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"67,500","67,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,9/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"33,100","33,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,6/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"31,900","31,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,3/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"29,300","29,300",-,-,-,-,-,-,0.50,0.50,"55,021","55,021",-,-,-,-,-,-,-,-,-,-
142,12/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,500","29,500","-25,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,9/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"29,100","29,100",0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,6/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-30,000","23,600","-53,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,3/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"20,100","19,300",800,-,-,-,-,-,0.50,0.50,"57,288","57,288",-,-,-,-,-,-,-,-,-,-
146,12/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,100",-500,"3,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,9/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,200","12,100","-2,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,6/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,000","14,500","-1,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,3/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"20,600","11,600","9,000",-,-,-,-,-,0.40,0.40,"61,839","61,839",-,-,-,-,-,-,-,-,-,-
