,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Cash from Discontinued Operating Activities,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Cash from Discontinued Investing Activities,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Net Other Financing Charges,Cash from Discontinued Financing Activities,Cash Flow from Discontinued Operation,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
52,6/30/2010,"6,316,000","6,183,000","2,700,000","-523,000","-523,000","620,000","620,000",-,-,"-16,267,000",-,"6,452,000","13,201,000","-3,138,000","-250,000","24,772,000","-8,183,000",-,-,"25,695,000","25,880,000","-250,000",-,"2,745,000","-9,420,000","-105,343,000","95,923,000","32,278,000","2,500,000","29,778,000","527,000","527,000",-,-,-,-,-,"-33,168,000","-33,168,000",-,"-18,603,000","-19,261,000","5,822,000","-25,083,000","658,000",-,"658,000","-4,000","-4,000",-,-,-,0,"-598,000",-,"51,000","24,709,000","-1,106,000","137,000","25,678,000",-,"967,000","6,390,000","-250,000",-,"5,822,000","-24,425,000","-4,000","6,066,000"
53,3/31/2010,"35,285,000","35,418,000","4,217,000","-538,000","-538,000","623,000","623,000",-,-,"-3,029,000",-,"8,331,000","25,814,000","-6,172,000","-1,444,000","40,520,000","-7,090,000",-,"-133,000","14,583,000","14,398,000","-278,000",-,"3,889,000","-16,638,000","-95,504,000","78,866,000","26,788,000","1,252,000","25,536,000","637,000","637,000",-,-,-,-,"185,000","-49,477,000","-49,477,000",-,"-41,361,000","-7,476,000","9,206,000","-16,682,000","-33,885,000",-,"-33,885,000","-1,000","-1,000",-,-,-,0,"-126,000",0,0,"25,678,000","391,000","-185,000","25,472,000",-,"1,802,000","5,711,000","-278,000",-,"9,206,000","-50,567,000","-1,000","35,007,000"
54,12/31/2009,"-41,885,000","-41,885,000","-7,811,000","-277,000","-277,000","1,563,000","1,563,000",-,-,"4,120,000",-,"7,890,000","-39,661,000","4,207,000","-106,000","-95,742,000","7,772,000",-,-,"33,578,000","33,578,000","-287,000",-,"50,316,000","-52,099,000","-114,000,000","61,901,000","34,935,000","-92,726,000","-20,990,000","713,000","713,000",-,-,-,-,-,"7,471,000","7,471,000",-,"-16,121,000","-20,269,000","19,624,000","-39,893,000","4,148,000",-,-,"20,298,000",0,0,-,-,"-2,000","-4,000",-,"-224,000","25,472,000","-1,060,000","50,000","26,482,000",-,"-962,000","7,051,000","-287,000",-,"19,624,000","16,250,000",0,"-42,172,000"
55,9/30/2009,"2,766,000","6,903,000","519,000","-488,000","-488,000","431,000","431,000",-,-,"10,455,000",-,"8,771,000","-12,589,000","5,403,000","-785,000","-12,171,000","-5,036,000",-,-,"-6,306,000","-11,749,000","-244,000",-,"-35,108,000","5,377,000","-46,754,000","52,131,000","17,481,000","58,408,000","-40,927,000","745,000","745,000",-,-,-,-,-,"2,458,000","4,576,000",-,"-22,585,000","13,061,000","30,259,000","-17,198,000","-35,646,000",-,"-35,646,000","-1,000","-1,000",0,-,-,"-696,000","-8,000",-,"238,000","26,482,000","-844,000","411,000","26,915,000",-,"666,000","6,254,000","-244,000",-,"30,259,000","-52,844,000","-1,000","2,522,000"
56,6/30/2009,"-8,274,000","-12,411,000","4,505,000","-474,000","-474,000","846,000","846,000",-,-,"-13,430,000",-,"12,368,000","-16,422,000","3,254,000","69,000","-5,405,000","-14,340,000",-,-,"-31,460,000","-26,017,000","-333,000",-,"-23,517,000","-17,950,000","-62,225,000","44,275,000","11,970,000","66,705,000","-54,735,000","3,813,000","3,813,000",-,-,-,-,-,"34,688,000","32,570,000",-,"-7,985,000","2,210,000","-5,193,000","7,403,000","-10,195,000",-,"-10,195,000","-1,000","-1,000",0,-,-,"-1,465,000","-20,000",-,"-29,000","26,915,000","-5,075,000","927,000","31,063,000",-,"-526,000","6,722,000","-333,000",-,"-5,193,000","-2,792,000","-1,000","-8,607,000"
57,3/31/2009,"-8,326,000","-8,326,000","1,626,000","-757,000","-757,000","13,000","13,000",-,-,"2,922,000",-,"9,975,000","-22,105,000","-11,017,000","-889,000","21,923,000","-32,122,000",-,-,"42,474,000","42,474,000","-282,000",-,"10,828,000","2,566,000","-58,136,000","60,702,000","28,330,000","60,329,000","-31,999,000","1,032,000","1,032,000",-,-,-,-,-,"-31,611,000","-31,611,000",-,"-18,959,000","-8,657,000","65,398,000","-74,055,000","-10,302,000",-,"-10,302,000","-1,000","-1,000",0,-,-,"-1,074,000","-88,000",-,"29,000","31,063,000","2,566,000","-756,000","29,253,000",-,"1,111,000","8,362,000","-282,000",-,"65,398,000","-84,357,000","-1,000","-8,608,000"
58,12/31/2008,"-2,235,000","-2,235,000","-21,673,000","335,000","1,198,000","513,000","513,000",-,-,"-35,611,000",-,-,"41,917,000",-,-,-,-,-,-,"-79,574,000","-79,574,000",-,-,-,"-23,110,000","-71,521,000","48,411,000",-,-,-,"10,433,000",-,-,-,-,"-64,356,000",-,"50,276,000","50,276,000",-,"12,112,000","-15,725,000","23,103,000","-38,828,000","27,837,000",-,-,"2,280,000",-,"43,202,000",-,-,"-1,518,000","32,011,000",-,-,"29,253,000","-31,930,000","-1,843,000","63,026,000",-,-,-,-,-,"23,103,000","-38,828,000",-,"-4,776,000"
59,9/30/2008,"45,441,000","45,441,000","-2,815,000","1,468,000","605,000","376,000","376,000",-,-,"13,082,000",-,-,"33,330,000",-,-,-,-,-,-,"14,538,000","14,538,000",-,-,-,"4,491,000","-59,345,000","63,836,000",-,-,-,"12,826,000",-,-,-,-,"-2,779,000",-,"-40,461,000","-40,461,000",-,"-28,450,000","-18,860,000","17,433,000","-36,293,000","-9,590,000",-,-,"-53,000",-,-,-,-,"-2,135,000","-59,835,000",-,-,"63,026,000","19,519,000","-1,317,000","44,824,000",-,-,-,-,-,"17,433,000","-36,293,000",-,"45,441,000"
60,6/30/2008,"51,748,000","51,748,000","-2,495,000","139,000","139,000","684,000","684,000",-,-,"-2,414,000",-,-,"55,834,000",-,-,-,-,-,-,"781,000","781,000",-,-,-,"-28,662,000","-120,973,000","92,311,000",-,-,-,"286,000",-,-,-,-,"29,157,000",-,"-38,418,000","-38,418,000",-,"-21,654,000","-300,000","29,978,000","-30,278,000","-21,354,000",-,-,"4,590,000",-,-,-,-,"-2,114,000","27,710,000",-,-,"44,824,000","14,110,000","-123,000","30,837,000",-,-,-,-,-,"29,978,000","-30,278,000",-,"51,748,000"
61,3/31/2008,"1,586,000","1,586,000","-5,111,000","119,000","119,000","893,000","893,000",-,-,"8,487,000",-,-,"-2,802,000",-,-,-,-,-,-,"-13,356,000","-13,356,000",-,-,-,"5,923,000","-92,497,000","98,420,000",-,-,-,"421,000",-,-,-,-,"-19,700,000",-,"4,066,000","4,066,000",-,"-18,291,000","-7,602,000","19,900,000","-27,502,000","-10,689,000",-,-,"40,000",-,"19,384,000",-,-,"-1,759,000","-286,000",-,-,"30,837,000","-7,704,000","335,000","38,206,000",-,-,-,-,-,"19,900,000","-27,502,000",-,"1,586,000"
62,12/31/2007,"39,377,000","39,377,000","-9,833,000","-313,000","-313,000","332,000","332,000",-,-,"26,086,000",-,-,"9,787,000",-,-,-,-,-,-,"-6,300,000","-6,300,000",-,-,-,"13,169,000","-71,780,000","84,949,000",-,-,-,"5,108,000",-,"-428,000",-,-,"-20,146,000",-,"-33,292,000","-33,292,000",-,"-39,327,000","13,311,000","28,839,000","-15,528,000","-52,638,000",-,-,"53,000",-,"-200,000",-,-,"-2,692,000","-25,000",-,-,"38,206,000","-215,000","195,000","38,226,000",-,-,-,"-3,148,000",-,"28,839,000","-15,528,000",-,"36,229,000"
63,9/30/2007,"-70,253,000","-70,253,000","2,212,000","-263,000","-263,000","767,000","767,000",-,-,"-14,037,000",-,-,"-58,932,000",-,-,-,-,-,-,"-2,832,000","-2,832,000",-,-,-,"19,993,000","-64,578,000","84,571,000",-,-,-,"-506,000",-,"-1,661,000",-,-,"-20,658,000",-,"80,155,000","80,155,000",-,"42,103,000","13,774,000","24,428,000","-10,654,000","28,329,000",-,-,"545,000",-,-,-,-,"-2,699,000","-83,000",-,-,"38,226,000","7,070,000","521,000","30,635,000",-,-,-,"-506,000",-,"24,428,000","-10,654,000",-,"-70,759,000"
64,6/30/2007,"-22,137,000","-22,137,000","6,226,000","-119,000","-119,000","670,000","670,000",-,-,"12,553,000",-,-,"-41,467,000",-,-,-,-,-,-,"-29,341,000","-29,341,000",-,-,-,"33,330,000","-56,839,000","90,169,000",-,-,-,"-81,000",-,"-11,172,000",-,-,"-51,418,000",-,"57,412,000","57,412,000",-,"41,543,000","16,527,000","30,469,000","-13,942,000","25,016,000",-,-,"50,000",-,-,-,-,"-2,689,000","-24,000",-,-,"30,635,000","5,934,000","280,000","24,421,000",-,-,-,"-81,000",-,"30,469,000","-13,942,000",-,"-22,218,000"
65,3/31/2007,"-18,417,000","-18,417,000","5,012,000","-473,000","-473,000","652,000","652,000",-,-,"-7,297,000",-,-,"-16,311,000",-,-,-,-,-,-,"-23,904,000","-23,904,000",-,-,-,"-7,819,000","-81,229,000","73,410,000",-,-,-,"-268,000",-,"-2,353,000",-,-,"-13,464,000",-,"40,219,000","40,219,000",-,"19,085,000","9,367,000","34,760,000","-25,393,000","9,718,000",-,-,"-251,000",-,-,-,-,"-2,698,000","-819,000",-,-,"24,421,000","-2,102,000","9,000","26,514,000",-,-,-,"-268,000",-,"34,760,000","-25,393,000",-,"-18,685,000"
66,12/31/2006,"-199,566,000","-199,566,000","4,840,000","-667,000","-806,000","458,000","458,000",-,-,"-197,355,000",-,-,"-13,920,000",-,-,-,-,-,-,"106,730,000","106,730,000",-,-,-,"-19,431,000","-83,638,000","64,207,000",-,-,-,"3,193,000",-,-,-,-,"127,003,000",-,"96,428,000","96,428,000",-,"56,537,000","26,205,000","38,968,000","-12,763,000","30,332,000",-,-,"-287,000",-,-,-,-,"-2,406,000","-26,000",-,-,"26,514,000","3,701,000","270,000","22,543,000",-,-,-,"-2,448,000",-,"38,968,000","-12,763,000",-,"-202,014,000"
67,9/30/2006,"196,355,000","196,355,000","5,505,000","-432,000","-304,000","688,000","688,000",-,-,"191,661,000",-,-,"-1,067,000",-,-,-,-,-,-,"-234,927,000","-234,927,000",-,-,-,"-54,264,000","-102,752,000","48,488,000",-,-,-,"-451,000",-,-,-,-,"-180,212,000",-,"36,783,000","36,783,000",-,"17,545,000","19,625,000","27,139,000","-7,514,000","-2,080,000",-,-,"-1,690,000",-,-,-,-,"-2,458,000","-68,000",-,-,"22,543,000","-1,789,000","21,000","24,311,000",-,-,-,"-451,000",-,"27,139,000","-7,514,000",-,"195,904,000"
68,6/30/2006,"-37,000","-37,000","5,265,000","-302,000","-302,000","688,000","688,000",-,-,"6,465,000",-,-,"-12,153,000",-,-,-,-,-,-,"-38,241,000","-38,241,000",-,-,-,"-696,000","-46,265,000","45,569,000",-,-,-,"-786,000",-,-,-,-,"-36,759,000",-,"40,783,000","40,783,000",-,"25,225,000","10,774,000","22,540,000","-11,766,000","14,451,000",-,-,"-1,358,000",-,-,-,-,"-2,471,000","-22,000",-,-,"24,311,000","2,505,000","192,000","26,355,000",-,-,-,"-786,000",-,"22,540,000","-11,766,000",-,"-823,000"
69,3/31/2006,"3,152,000","3,152,000","5,639,000","-390,000","-379,000","669,000","669,000",-,-,"-9,291,000",-,-,"6,525,000",-,-,-,-,-,-,"-37,768,000","-37,768,000",-,-,-,"-13,623,000","-63,469,000","49,846,000",-,-,-,"-350,000",-,-,-,-,"-23,795,000",-,"32,436,000","32,436,000",-,"1,815,000","10,615,000","25,040,000","-14,425,000","-8,800,000",-,-,"-1,867,000",-,-,-,-,"-2,491,000","-569,000",-,-,"26,355,000","-2,180,000","162,000","28,373,000",-,-,-,"-350,000",-,"25,040,000","-14,425,000",-,"2,802,000"
70,12/31/2005,"15,295,000","15,295,000","6,932,000","-5,182,000","-980,000","670,000","670,000",-,-,"17,844,000",-,-,"-4,788,000",-,-,-,-,-,-,"-32,274,000","-32,274,000",-,-,-,"-13,438,000","-50,658,000","37,220,000",-,-,-,"-418,000",-,0,-,-,"-18,418,000",-,"18,408,000","18,408,000",-,"13,157,000","4,451,000","20,824,000","-16,373,000","8,706,000",-,-,"-3,918,000",-,-,-,-,"-2,245,000","-69,000",-,-,"28,373,000","1,429,000","-1,494,000","28,438,000",-,-,-,-,-,"20,824,000","-16,373,000",-,"15,295,000"
71,9/30/2005,"-179,000","-179,000","7,143,000","-284,000","-284,000","724,000","724,000",-,-,"8,943,000",-,-,"-16,705,000",-,-,-,-,-,-,"-1,561,000","-1,561,000",-,-,-,"-2,269,000","-59,455,000","57,186,000",-,-,-,"10,142,000",-,0,-,-,"-9,434,000",-,"1,156,000","1,156,000",-,"98,000","4,858,000","16,127,000","-11,269,000","-4,760,000",-,-,"-5,148,000",-,-,-,-,"-2,301,000","-93,000",-,-,"28,438,000","-584,000","-22,000","28,942,000",-,-,-,-,-,"16,127,000","-11,269,000",-,"-179,000"
72,6/30/2005,"12,998,000","12,998,000","5,073,000","-455,000","-455,000","588,000","588,000",-,-,"-2,215,000",-,-,"10,007,000",-,-,-,-,-,-,"-14,814,000","-14,814,000",-,-,-,"-1,479,000","-48,164,000","46,685,000",-,-,-,"18,000",-,0,-,-,"-13,353,000",-,"5,320,000","5,320,000",-,"5,696,000","5,416,000","17,768,000","-12,352,000","280,000",-,-,"-1,701,000",-,-,-,-,"-2,316,000","-45,000",-,-,"28,942,000","3,504,000","-182,000","25,620,000",-,-,-,-,-,"17,768,000","-12,352,000",-,"12,998,000"
73,3/31/2005,"3,685,000","3,685,000","5,441,000","-243,000","-243,000","610,000","610,000",-,-,"-307,000",-,-,"-1,816,000",-,-,-,-,-,-,"-9,776,000","-9,776,000",-,-,-,"-5,573,000","-44,746,000","39,173,000",-,-,-,"4,145,000",-,"-602,000",-,-,"-7,746,000",-,"8,399,000","8,399,000",-,"7,700,000","1,763,000","14,133,000","-12,370,000","5,937,000",-,-,"-627,000",-,-,-,-,"-2,326,000","-489,000",-,-,"25,620,000","2,308,000","-142,000","23,454,000",-,-,-,-,-,"14,133,000","-12,370,000",-,"3,685,000"
74,12/31/2004,"6,294,000","6,294,000","5,321,000","-208,000",-,"-1,327,000","-1,327,000",-,-,"20,443,000",-,-,"-16,952,000",-,-,-,-,-,-,"-35,204,000","-35,204,000",-,-,-,"-4,078,000","-45,407,000","41,329,000",-,-,-,"-769,000",-,0,-,-,"-30,357,000",-,"26,240,000","26,240,000",-,"-1,914,000","4,522,000","16,298,000","-11,776,000","-6,436,000",-,-,"169,000",-,-,-,-,"-2,097,000","-30,000",-,-,"23,556,000","-2,670,000","743,000","25,483,000",-,-,-,"-769,000",-,"16,298,000","-11,776,000",-,"5,525,000"
75,9/30/2004,"-2,918,000","-2,918,000","5,308,000","-281,000",-,"758,000","758,000",-,-,"-5,960,000",-,-,"-2,743,000",-,-,-,-,-,-,"-7,396,000","-7,396,000",-,-,-,"3,118,000","-41,025,000","44,143,000",-,-,-,"-602,000",-,"-742,000",-,-,"-9,170,000",-,"9,252,000","9,252,000",-,"827,000","7,501,000","19,641,000","-12,140,000","-6,674,000",-,-,"-56,000",-,-,-,-,"-2,085,000","-34,000",-,-,"25,483,000","-1,062,000","83,000","26,462,000",-,-,-,"-602,000",-,"19,641,000","-12,140,000",-,"-3,520,000"
76,6/30/2004,"2,024,000","2,024,000","1,144,000","-204,000",-,"700,000","700,000",-,-,"9,480,000",-,-,"-9,096,000",-,-,-,-,-,-,"-7,959,000","-7,959,000",-,-,-,"107,000","-39,344,000","39,451,000",-,-,-,"-1,322,000",-,"-1,822,000",-,-,"-4,922,000",-,"9,373,000","9,373,000",-,"7,440,000","6,928,000","19,534,000","-12,606,000","512,000",-,-,"165,000",-,-,-,-,"-2,096,000","-18,000",-,-,"26,462,000","3,438,000","-80,000","23,104,000",-,-,-,"-1,322,000",-,"19,534,000","-12,606,000",-,"702,000"
77,3/31/2004,"-7,804,000","-7,804,000","5,273,000","-138,000",-,"556,000","556,000",-,-,"-8,859,000",-,-,"-4,636,000",-,-,-,-,-,-,"-28,672,000","-28,672,000",-,-,-,"-19,291,000","-70,156,000","50,865,000",-,-,-,"-318,000",-,"-1,113,000",-,-,"-7,950,000",-,"38,446,000","38,446,000",-,"15,362,000","7,127,000","20,291,000","-13,164,000","8,235,000",-,-,"-145,000",-,-,-,-,"-2,097,000","-429,000",-,-,"23,104,000","1,970,000","-15,000","21,149,000",-,-,-,"-318,000",-,"20,291,000","-13,164,000",-,"-8,122,000"
78,12/31/2003,"5,746,000","5,746,000","4,760,000","-45,000",-,"558,000","558,000",-,-,"12,658,000",-,-,"-12,751,000",-,-,-,-,-,-,"-26,708,000","-26,708,000",-,-,-,"2,257,000","-32,966,000","35,223,000",-,-,-,"-440,000",-,-,-,-,"-7,069,000",-,"17,155,000","17,155,000",-,"545,000","5,156,000","17,764,000","-12,608,000","-4,611,000",-,-,"-642,000",-,-,-,-,"-1,832,000","-810,000",-,-,"21,149,000","-3,807,000","268,000","24,688,000",-,-,-,"-440,000",-,"17,764,000","-12,608,000",-,"5,306,000"
79,9/30/2003,"-22,350,000","-22,350,000","4,691,000","-115,000",-,"521,000","521,000",-,-,"-2,671,000",-,-,"-24,776,000",-,-,-,-,-,-,"-3,148,000","-3,148,000",-,-,-,"4,014,000","-54,652,000","58,666,000",-,-,-,"-479,000",-,-,-,-,"-6,683,000",-,"28,268,000","28,268,000",-,"23,360,000","13,851,000","25,006,000","-11,155,000","9,509,000",-,-,"158,000",-,-,-,-,"-1,834,000","380,000",-,-,"24,688,000","2,770,000","102,000","21,816,000",-,-,-,"-479,000",-,"25,006,000","-11,155,000",-,"-22,829,000"
80,6/30/2003,"5,386,000","5,386,000","4,299,000","-188,000",-,"532,000","532,000",-,-,"7,177,000",-,-,"-6,434,000",-,-,-,-,-,-,"-6,475,000","-6,475,000",-,-,-,"-2,732,000","-58,063,000","55,331,000",-,-,-,"-997,000",-,-,-,-,"-2,746,000",-,"2,973,000","2,973,000",-,"148,000","-3,156,000","12,378,000","-15,534,000","3,304,000",-,-,"-171,000",-,-,-,-,"-1,054,000","-40,000",-,-,"21,816,000","1,884,000","201,000","19,731,000",-,-,-,"-997,000",-,"12,378,000","-15,534,000",-,"4,389,000"
81,3/31/2003,"-3,636,000","-3,636,000","4,103,000","-162,000",-,"509,000","509,000",-,-,"9,253,000",-,-,"-17,339,000",-,-,-,-,-,-,"-9,976,000","-9,976,000",-,-,-,"-12,442,000","-62,359,000","49,917,000",-,-,-,"-438,000",-,-,-,-,"2,904,000",-,"16,009,000","16,009,000",-,"3,848,000","5,403,000","11,906,000","-6,503,000","-1,555,000",-,-,"-1,350,000",-,-,-,-,"-1,053,000","246,000",-,-,"19,731,000","2,397,000","8,000","17,326,000",-,-,-,"-438,000",-,"11,906,000","-6,503,000",-,"-4,074,000"
82,12/31/2002,"13,952,000","13,952,000","2,429,000","160,000",-,"655,000","655,000",-,-,"-7,743,000",-,-,"18,655,000",-,-,-,-,-,-,"-32,439,000","-32,439,000",-,-,-,"-21,382,000","-80,279,000","58,897,000",-,-,-,"-429,000",-,"-1,271,000",-,-,"-9,357,000",-,"19,807,000","19,807,000",-,"6,959,000","4,298,000","8,893,000","-4,595,000","2,661,000",-,-,"-455,000",-,-,-,-,"-938,000","-52,000",-,-,"17,326,000","1,320,000","120,000","15,886,000",-,-,-,"-429,000",-,"8,893,000","-4,595,000",-,"13,523,000"
83,9/30/2002,"3,695,000","3,695,000","2,092,000","167,000",-,"-427,000","-427,000",-,-,"4,365,000",-,-,"-2,502,000",-,-,-,-,-,-,"-539,000","-539,000",-,-,-,"686,000","-56,884,000","57,570,000",-,-,-,"-308,000",-,0,-,-,"-917,000",-,"-4,847,000","-4,847,000",-,"1,961,000","-5,343,000","15,727,000","-21,070,000","7,304,000",-,-,"-2,406,000",-,-,-,-,"-932,000","-73,000",-,-,"15,886,000","-1,691,000","-109,000","17,686,000",-,-,-,"-308,000",-,"15,727,000","-21,070,000",-,"3,387,000"
84,6/30/2002,"15,827,000","15,827,000","4,084,000","212,000",-,"860,000","860,000",-,-,"15,443,000",-,-,"-4,772,000",-,-,-,-,-,-,"-15,812,000","-15,812,000",-,-,-,"-2,007,000","-70,455,000","68,448,000",-,-,-,"-298,000",-,"-611,000",-,-,"-12,896,000",-,"1,599,000","1,599,000",-,"-5,775,000","-4,720,000","6,058,000","-10,778,000","-1,055,000",-,-,"-1,516,000",-,-,-,-,"-958,000","-4,094,000",-,-,"17,686,000","1,614,000","88,000","15,984,000",-,-,-,"-298,000",-,"6,058,000","-10,778,000",-,"15,529,000"
85,3/31/2002,"-3,589,000","-3,589,000","4,843,000","-54,000",-,"838,000","838,000",-,-,"-6,414,000",-,-,"-2,802,000",-,-,-,-,-,-,"-10,332,000","-10,332,000",-,-,-,"-12,433,000","-186,257,000","173,824,000",-,-,-,"-342,000",-,"-2,071,000",-,-,"4,514,000",-,"11,391,000","11,391,000",-,"1,194,000","-1,884,000","8,842,000","-10,726,000","3,078,000",-,-,"-748,000",-,-,-,-,"-848,000","3,344,000",-,-,"15,984,000","-2,530,000","-1,000","18,515,000",-,-,-,"-342,000",-,"8,842,000","-10,726,000",-,"-3,931,000"
86,12/31/2001,"13,169,000","13,169,000","3,875,000","146,000",-,"1,044,000","1,044,000",-,-,"-9,483,000",-,-,"16,573,000",-,-,-,-,-,-,"-10,325,000","-10,325,000",-,-,-,"-12,721,000","-192,289,000","179,568,000",-,-,-,"-483,000",-,0,-,-,"2,879,000",-,"-6,165,000","-6,165,000",-,"-22,076,000","-5,040,000","6,262,000","-11,302,000","-17,036,000",-,-,"-368,000",-,-,-,-,"-853,000","-77,000",-,-,"18,515,000","-3,321,000","-41,000","21,877,000",-,-,-,"-483,000",-,"6,262,000","-11,302,000",-,"12,686,000"
87,9/30/2001,"14,650,000","14,650,000","3,177,000","-213,000",-,"1,165,000","1,165,000",-,-,"12,561,000",-,-,"-2,040,000",-,-,-,-,-,-,"-16,288,000","-16,288,000",-,-,-,"506,000","-193,805,000","194,311,000",-,-,-,"-359,000",-,-,-,-,"-9,368,000",-,"8,396,000","8,396,000",-,"-2,009,000","2,316,000","10,777,000","-8,461,000","-4,325,000",-,-,"-551,000",-,-,-,-,"-856,000","2,413,000",-,-,"21,877,000","6,758,000","38,000","15,081,000",-,-,-,"-359,000",-,"10,777,000","-8,461,000",-,"14,291,000"
88,6/30/2001,"3,954,000","3,954,000","3,536,000","-60,000",-,"1,152,000","1,152,000",-,-,"8,130,000",-,-,"-8,804,000",-,-,-,-,-,-,"67,000","67,000",-,-,-,"-325,000","-27,283,000","26,958,000",-,-,-,"-471,000",-,-,-,-,"863,000",-,"-3,182,000","-3,182,000",-,"-3,276,000","4,436,000","12,740,000","-8,304,000","-7,712,000",-,-,"-660,000",-,-,-,-,"-736,000","-365,000",-,-,"15,081,000","839,000","-131,000","14,373,000",-,-,-,"-471,000",-,"12,740,000","-8,304,000",-,"3,483,000"
89,3/31/2001,"-5,195,000","-5,195,000","3,538,000","-451,000",-,"1,118,000","1,118,000",-,-,"-2,246,000",-,-,"-7,154,000",-,-,-,-,-,-,"-11,063,000","-11,063,000",-,-,-,"-6,661,000","-40,769,000","34,108,000",-,-,-,"-461,000",-,-,-,-,"-3,941,000",-,"16,199,000","16,199,000",-,"4,210,000","7,228,000","13,956,000","-6,728,000","-3,018,000",-,-,"-811,000",-,-,-,-,"-740,000","-272,000",-,-,"14,373,000","-59,000","-189,000","14,621,000",-,-,-,"-461,000",-,"13,956,000","-6,728,000",-,"-5,656,000"
90,12/31/2000,"750,000","750,000","3,836,000","-188,000",-,"1,658,000","1,658,000",-,-,"338,000",-,-,"-6,431,000",-,-,-,-,-,-,"-18,018,000","-18,018,000",-,-,-,"-3,421,000","-33,342,000","29,921,000",-,-,-,"-933,000",-,"-811,000",-,-,"-12,853,000",-,"18,386,000","18,386,000",-,"12,797,000","10,643,000","24,576,000","-13,933,000","2,154,000",-,-,"-707,000",-,-,-,-,"-850,000","-124,000",-,-,"14,621,000","1,118,000","-57,000","11,740,000",-,-,-,"-933,000",-,"24,576,000","-13,933,000",-,"-183,000"
91,9/30/2000,"6,982,000","6,982,000","3,088,000","-507,000",-,"934,000","934,000",-,-,"-3,009,000",-,-,"6,476,000",-,-,-,-,-,-,"-17,222,000","-17,222,000",-,-,-,"-75,000","-26,235,000","26,160,000",-,-,-,"-498,000",-,"-1,675,000",-,-,"-14,974,000",-,"9,944,000","9,944,000",-,"3,626,000","7,857,000","9,804,000","-1,947,000","-4,231,000",-,-,"-794,000",-,-,-,-,"-662,000","-109,000",-,-,"11,740,000","-296,000","-193,000","12,229,000",-,-,-,"-498,000",-,"9,804,000","-1,947,000",-,"6,484,000"
92,6/30/2000,"-9,275,000","-9,275,000","3,005,000","-280,000",-,"1,045,000","1,045,000",-,-,"-9,900,000",-,-,"-3,145,000",-,-,-,-,-,-,"-21,101,000","-21,101,000",-,-,-,"1,442,000","-19,166,000","20,608,000",-,-,-,"-442,000",-,"-5,750,000",-,-,"-16,351,000",-,"30,382,000","30,382,000",-,"13,920,000","2,463,000","5,420,000","-2,957,000","11,457,000",-,-,"-672,000",-,-,-,-,"-568,000","-79,000",-,-,"12,229,000","6,000","-140,000","12,363,000",-,-,-,"-442,000",-,"5,420,000","-2,957,000",-,"-9,717,000"
93,3/31/2000,"4,216,000","4,216,000","3,590,000","169,000",-,"687,000","687,000",-,-,"1,879,000",-,-,"-2,109,000",-,-,-,-,-,-,"-12,034,000","-12,034,000",-,-,-,"-2,158,000","-27,804,000","25,646,000",-,-,-,"-376,000",-,"-607,000",-,-,"-8,893,000",-,"6,163,000","6,163,000",-,"705,000","234,000","3,727,000","-3,493,000","471,000",-,-,"-1,085,000",-,-,-,-,"-574,000","-281,000",-,-,"12,363,000","-1,655,000","-140,000","14,158,000",-,-,-,"-376,000",-,"3,727,000","-3,493,000",-,"3,840,000"
