,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Accrued Expense,Change in Deferred Charges,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
56,12/31/2005,"-62,972","-62,972","7,408",-544,-544,-,"4,347","4,347",-,-,-,-,-,"-48,795",-,-,-,-,-,"-24,552",-,-,-,-,-,-,-,-,-,-,"-351,742","-351,742","-216,095","-570,393","354,298",-,-,"-3,155",-,"-132,492","402,608","402,608","45,000","45,000","45,000",-,-,-,"12,331",-,-,-,-,-,-,-,-,"86,209","-12,106","98,315",-,-,"-3,155",-,"45,000",-,-,"-66,127"
57,9/30/2005,"17,848","17,848","6,409",-712,-712,-,"4,658","4,658",-,-,-,-,-,"25,029",-,-,-,-,-,"-17,536",-,-,-,-,-,-,-,-,-,-,"-257,409","-257,409","-137,213","-488,828","351,615",-,-,"-1,453",-,"-118,743","196,559","196,559","-20,000","-20,000","-20,000",-,-,-,56,-,-,-,-,-,-,-,0,"98,315","-43,002","141,317",-,-,"-1,453",-,"-20,000",-,-,"16,395"
58,6/30/2005,"-4,441","-4,441","-3,675",-555,-555,-,"4,728","4,728",-,-,-,-,-,"-16,311",-,-,-,-,-,"11,372",-,-,-,-,-,-,-,-,-,-,"-140,254","-140,254","-44,345","-374,950","330,605",-,-,-594,-,"-95,315","220,925","220,925","57,000","57,000","57,000",-,-,-,21,-,-,-,-,-,-,-,-,"141,317","76,230","65,087",-,-,-594,-,"57,000",-,-,"-5,035"
59,3/31/2005,"-28,222","-28,222","5,727",-562,-562,-,"4,833","4,833",-,-,-,-,-,"17,033",-,-,-,-,-,"-55,253",-,-,-,-,-,-,-,-,-,-,"-181,087","-181,087","-92,152","-470,832","378,680",-,-,-425,-,"-88,510","199,336","199,336","18,000","18,000","18,000",-,-,-,16,-,-,-,-,-,-,-,-,"65,087","-9,973","75,060",-,-,-425,-,"18,000",-,-,"-28,647"
60,12/31/2004,"20,067","20,067","4,918",-568,-,-,"4,659","4,659",-,-,-,-,-,"1,335",-,-,-,-,-,"9,723",-,-,-,-,-,-,-,-,-,-,"-313,105","-313,105","-242,715","-2,672,183","2,429,468",-,-,"120,057",-,"-190,447","274,442","274,442","115,000","115,000","115,000",-,-,-,231,-,-,-,-,-,-,-,-,"75,060","-18,596","93,656",-,-,-,-,"115,000",-,-,"140,124"
61,9/30/2004,"-38,745","-38,745","3,965","-1,281","-1,281",-,"4,973","4,973",-,-,-,-,-,587,-,-,-,-,-,"-46,989",-,-,-,-,-,-,-,-,-,-,"-413,858","-413,858","-324,543","1,544,223","-1,868,766",-,-,"-122,997",-,"33,682","404,021","404,021","25,000","25,000","25,000",-,-,-,"68,908",-,-,-,-,-,-,-,-,"93,656","-48,582","142,238",-,-,"-122,997",-,"25,000",-,-,"-161,742"
62,6/30/2004,"-1,895","-1,895","18,273","-8,322",-,-,"5,851","5,851",-,-,-,-,-,"-64,361",-,-,-,-,-,"46,664",-,-,-,-,-,-,-,-,-,-,"-466,515","-466,515","-454,705","-628,237","173,532",-,-,-718,-,"-11,092","511,137","511,137","140,000","140,000",-,-,-,-,151,-,-,-,-,-,-,-,-,"142,238","42,727","99,511",-,-,-718,-,-,-,-,"-2,613"
63,3/31/2004,"81,327","81,327","2,642","-1,120",-,-,"4,288","4,288",-,-,-,-,-,"65,484",-,-,-,-,-,"10,033",-,-,-,-,-,-,-,-,-,-,"-223,495","-223,495","-196,718","-365,140","168,422",-,-,"-1,168",-,"-25,609","185,799","185,799","-70,000","-70,000",-,"-70,000",-,-,"88,269",-,-,-,-,-,-,-,-,"99,511","43,631","55,880",-,-,"-1,168",-,-,"-70,000",-,"80,159"
64,9/30/2003,"24,638","24,638",607,-,-,-,"4,176","4,176",311,"3,865","3,865",-,-,"-6,201",-,-,-,-,-,"26,056",-,-,"25,065",-,-,"25,065",-,-,-,-,"-155,232","-155,232","-152,991","-346,252","193,261",-,-,-15,-15,"-2,226","138,556","138,556","-33,000","-33,000",-,-,-,-,0,-,-,-,-,-,-,-,"171,556","102,982","7,962","95,020",-,-,-15,-,-,-,-,"24,623"
65,6/30/2003,"2,853","2,853",681,-,-,-,"3,622","3,622",309,"3,313","3,313",-,-,"-5,941",-,-,-,-,-,"4,491",-391,-,"4,882",-,-,"4,882",-,-,-,-,"-184,754","-184,754","-180,061","-378,071","198,010",-,-,43,43,"-4,736","178,796","178,796","98,000","98,000",-,-,-,-,0,-,-,-,-,-,-,-,"80,796","95,020","-3,105","98,125",-,-,-,-,-,-,-,"2,896"
66,3/31/2003,"27,574","27,574",16,-,-,-,"3,190","3,190",308,"2,882","2,882",-,-,"15,819",-,-,-,-,-,"8,549",-600,-,"9,149",-,-,"9,149",-,-,-,-,"-249,619","-249,619","-250,200","-407,935","157,735",-,-,-81,-81,662,"234,375","234,375","-65,000","-65,000",-,-,-,-,0,-,-,-,-,-,-,-,"299,375","98,125","12,330","85,795",-,-,-81,-,-,-,-,"27,493"
