,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Other Capital Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Unrealized Gain Loss,Other Equity Adjustments,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
54,6/30/2009,"7,881,212","262,329","262,329",-,"104,039","158,290",-,-,"21,881","3,436,853","3,186,425","250,428",-,"3,905,071","3,905,071","182,287",-,-,-,"3,722,784",-,-,"37,340","37,340","37,340",-,"32,445",-,-,-,-,-,"185,293","7,145,010","6,102,996","4,513,118","4,513,118","1,589,878","677,000","95,579","95,579","9,435","9,435","9,435","260,000","260,000","260,000",-,-,"736,202","736,202",406,0,406,-,"136,849","664,809",-,"-65,862","-65,862",-,-,"996,202",-,"736,202",-,"736,202","1,005,637","736,202","269,435","7,106","40,593","40,593",-,-
55,3/31/2009,"7,425,397","183,991","183,991",-,-,"183,991",-,-,"18,411","3,299,451","2,903,643","241,971","153,837","3,600,719","3,600,719","72,839",-,-,-,"3,527,880",-,-,"36,831","36,831","36,831",-,"32,979",-,-,-,-,-,"253,015","6,843,879","5,836,215","4,121,092","4,121,092","1,715,123","677,000","64,021","64,021","6,643","6,643","6,643","260,000","260,000","260,000",-,-,"581,518","581,518",354,0,354,-,"118,816","535,679",-,"-73,331","-73,331",-,-,"841,518",-,"581,518",-,"581,518","848,161","581,518","266,643","82,652","35,416","35,416",-,-
56,12/31/2008,"7,192,199","111,927","111,927",-,-,"111,927",-,-,"18,411","3,146,920","2,906,059","236,531","4,330","3,651,235","3,688,222","217,680",-,-,-,"3,470,542","36,987",-,"36,326","36,326","36,326",-,"33,221","51,541","16,328","35,213",-,"-18,320","194,159","6,494,064","5,387,886","3,824,479","3,824,479","1,563,407","785,000","56,278","56,278","4,900","4,900","4,900","260,000","260,000","260,000",-,-,"698,135","698,135","109,666","109,314",352,-,"116,707","534,458",-,"-62,696","-62,696",-,-,"958,135","109,314","588,821",-,"698,135","853,721","588,821","264,900","152,973","35,245","35,245",12,-
57,9/30/2008,"6,699,455","118,314","118,314",-,-,"118,314",-,-,"18,411","3,028,076","2,779,395","244,608","4,073","3,251,455","3,251,455","197,451",-,-,-,"3,054,004",-,-,"34,780","34,780","34,780",0,"30,829",-,-,-,-,-,"217,590","6,131,606","4,965,311","3,574,998","3,574,998","1,390,313","794,000","82,192","82,192","30,103","30,103","30,103","260,000","260,000","260,000",-,-,"567,849","567,849",352,0,352,-,"103,339","521,344",-,"-57,186","-57,186",0,-,"827,849",-,"567,849",-,"567,849","857,952","567,849","290,103","171,789","35,183","35,183",-,-
58,6/30/2008,"6,369,087","141,795","141,795",-,-,"141,795",-,-,"18,188","3,109,184","2,804,417","273,485","31,282","2,860,471","2,860,471","180,679",-,-,-,"2,679,792",-,-,"31,625","31,625","31,625",-,"30,747",-,-,-,-,-,"177,077","5,942,837","4,866,153","3,438,602","3,438,602","1,427,551","692,000","110,913","110,913","18,771","18,771","18,771","255,000","255,000","255,000",-,-,"426,250","426,250",298,0,298,-,"94,145","372,084",-,"-40,277","-40,277",-,-,"681,250",-,"426,250",-,"426,250","700,021","426,250","273,771","131,976","29,779","29,779",-,-
59,3/31/2008,"5,818,711","155,845","155,845",-,-,"155,845",-,-,"14,687","3,099,911","2,690,380","330,597","78,934","2,354,442","2,354,442","158,111",-,-,-,"2,196,331",-,-,"32,550","32,550","32,550",-,"28,658",-,-,-,-,-,"132,618","5,385,740","4,587,797","3,315,408","3,315,408","1,272,389","552,000","48,359","48,359","2,584","2,584","2,584","195,000","195,000","195,000",-,-,"432,971","432,971",298,0,298,-,"83,292","370,830",-,"-21,449","-21,449",-,-,"627,971",-,"432,971",-,"432,971","630,555","432,971","197,584","41,739","29,774","29,774",-,-
60,12/31/2007,"5,845,172","239,029","239,029","107,788","131,241",-,-,-,-,"3,145,152","2,805,711","339,441",-,"2,007,342","2,007,342",-,-,-,-,-,-,-,"32,796",-,-,-,"27,107",-,-,-,-,-,"393,746","5,419,416","4,511,890","3,213,322","3,213,322","1,298,568",-,"90,594","90,594","9,932","9,932","9,932","195,000","195,000",-,-,"612,000","425,756","425,756",297,0,297,-,"73,442","370,139",-,"-18,122",-,-,-,"620,756",-,"425,756",-,"425,756","630,688","425,756","204,932",-,"29,699","29,699",-,-
61,9/30/2007,"5,613,717","174,000","160,213",-,-,"160,213","13,787","13,787",-,"3,192,050","3,192,050",-,-,"2,071,430","2,071,430",-,-,-,-,-,-,-,"34,735","34,735","34,735",-,"24,918",-,-,-,-,-,"116,584","5,194,226","4,390,202","3,236,118","3,236,118","1,154,084","567,000",-,-,"2,335","2,335","2,335","175,000","175,000",-,-,"59,689","419,491","419,491",297,-,297,-,"76,471","369,414",-,"-26,691",-,-,-,"594,491",-,"419,491",-,"419,491","596,826","419,491","177,335","17,122","29,690","29,690",-,-
62,6/30/2007,"5,711,099","164,983","148,946",-,-,"148,946","16,037","16,037",-,"3,467,865","3,467,865",-,-,"1,913,883","1,913,883",-,-,-,-,-,-,-,"32,406","32,406","32,406",0,"23,581",-,-,-,-,-,"108,381","5,303,454","4,507,129","2,980,626","2,980,626","1,526,503","517,000",-,-,"2,498","2,498","2,498","225,000","225,000",-,-,"51,827","407,645","407,645",297,-,297,-,"65,727","368,829",-,"-27,208",-,-,-,"632,645",-,"407,645",-,"407,645","635,143","407,645","227,498","78,552","29,689","29,689",-,-
63,3/31/2007,"5,185,818","163,466","146,955",-,-,"146,955","16,511","16,511",-,"3,062,991","3,062,991",-,-,"1,803,618","1,803,618",-,-,-,-,-,-,-,"30,176","30,176","30,176",-,"22,910",-,-,-,-,-,"102,657","4,778,201","3,967,201","2,734,981","2,734,981","1,232,220","492,000",-,-,133,133,133,"250,000","250,000",-,-,"68,867","407,617","407,617",297,-,297,-,"55,482","367,925",-,"-16,087",-,-,-,"657,617",-,"407,617",-,"407,617","657,750","407,617","250,133","103,178","29,673","29,673",-,-
64,12/31/2006,"5,399,425","167,188","150,227",-,-,"150,227","16,961","16,961",-,"3,356,927","3,356,927",-,-,"1,689,767","1,705,120",-,-,-,-,"1,705,120","13,829","-1,524","29,338","29,338","29,338",0,"22,221",-,-,-,-,-,"133,984","5,006,827","4,211,159","2,624,719","2,624,719","1,586,440","467,000",-,-,"6,687","6,687","6,687","260,000","260,000",-,-,"61,981","392,598","392,598",296,-,296,-,"46,163","366,715",-,"-20,576",-,-,-,"652,598",-,"392,598",-,"392,598","659,285","392,598","266,687","116,460","29,632","29,632",-,-
65,9/30/2006,"4,714,505","125,285","107,874",-,-,"107,874","17,411","17,411",-,"2,929,489","2,929,489",-,-,"1,491,892","1,505,700",-,-,-,-,"1,505,700","12,339","-1,469","27,814","27,814","27,814",-,"21,279",-,-,-,-,-,"118,746","4,337,601","3,543,098","2,520,393","2,520,393","1,022,705","467,000",-,-,"23,293","23,293","23,293","270,000","270,000",-,-,"34,210","376,904","376,904",295,-,295,-,"37,278","364,047",-,"-24,716",-,-,-,"646,904",-,"376,904",-,"376,904","670,197","376,904","293,293","185,419","29,596","29,596",-,-
66,6/30/2006,"4,703,283","119,168","105,357",-,-,"105,357","13,811","13,811",-,"2,934,011","2,934,011",-,-,"1,353,665","1,353,665",-,-,-,-,-,-,-,"23,913","23,913","23,913",-,"20,484",-,-,-,-,-,"252,042","4,347,557","3,714,793","2,343,171","2,343,171","1,371,622","360,000",-,-,"36,297","36,297","36,297","190,000","190,000",-,-,"46,467","355,726","355,726",295,-,295,-,"28,999","363,023",-,"-36,591",-,-,-,"545,726",-,"355,726",-,"355,726","582,023","355,726","226,297","120,940","29,475","29,475",-,-
67,3/31/2006,"4,494,621","101,918","83,850",-,-,"83,850","18,068","18,068",-,"3,012,663","3,012,663",-,-,"1,200,552","1,200,552",-,-,-,-,-,-,-,"23,673","23,673","23,673",-,"19,439",-,-,-,-,-,"136,376","4,141,797","3,324,171","2,361,954","2,361,954","962,217","454,225",-,-,"2,467","2,467","2,467","300,000","300,000",-,-,"60,934","352,824","352,824",295,-,295,-,"20,761","365,123",-,"-33,355",-,-,-,"652,824",-,"352,824",-,"352,824","655,291","352,824","302,467","218,617","29,461","29,461",-,-
68,12/31/2005,"4,384,938","95,026","80,558",-,-,"80,558","14,468","14,468",-,"2,975,951","2,975,951",-,-,"1,133,498","1,144,833",-,-,-,-,"1,144,833","10,050","-1,285","20,817","20,817","20,817",0,"17,785",-,-,-,-,-,"141,861","4,033,956","3,487,733","2,210,526","2,210,526","1,277,207","260,000",-,-,"20,000","20,000","20,000","220,000","220,000",-,-,"46,223","350,982","350,982",294,-,294,-,"12,803","361,617",-,"-23,732",-,-,-,"570,982",-,"350,982",-,"350,982","590,982","350,982","240,000","159,442","29,378","29,378",-,-
69,9/30/2005,"3,965,023","98,276","91,276",-,-,"91,276","7,000","7,000",-,"2,779,872","2,779,872",-,-,"952,265","962,331",-,-,-,-,"962,331","8,897","-1,169","17,764","17,764","17,764",-,"15,176",-,-,-,-,-,"101,670","3,617,448","3,130,452","2,214,854","2,214,854","915,598","265,000",-,-,"50,000","50,000","50,000","140,000","140,000",-,-,"31,996","347,575","347,575",294,-,294,-,"5,395","361,281",-,"-19,395",-,-,-,"487,575",-,"347,575",-,"347,575","537,575","347,575","190,000","98,724","29,358","29,358",-,-
70,6/30/2005,"3,766,150","99,174","91,924",-,-,"91,924","7,250","7,250",-,"2,702,163","2,702,163",-,-,"856,011","865,245",-,-,-,-,"865,245","8,105","-1,129","15,500","15,500","15,500",0,"14,236",-,-,-,-,-,"79,066","3,417,091","2,913,949","2,092,963","2,092,963","820,986","230,000",-,-,"100,000","100,000","100,000","145,000","145,000",-,-,"28,142","349,059","349,059",294,-,294,-,"-1,014","361,224",-,"-11,445",-,-,-,"494,059",-,"349,059",-,"349,059","594,059","349,059","245,000","153,076","29,358","29,358",-,-
71,3/31/2005,"3,547,669","75,462","61,962",-,-,"61,962","13,500","13,500",-,"2,601,590","2,601,590",-,-,"747,389","755,717",-,-,-,-,"755,717","8,285",-43,"15,397","15,397","15,397",-,"14,139",-,-,-,-,-,"93,692","3,210,964","2,762,027","1,981,546","1,981,546","780,481","178,000",-,-,"10,000","10,000","10,000","230,000","230,000",-,-,"30,937","336,705","336,705",294,-,294,-,"2,661","348,568",-,"-14,818",-,-,-,"566,705",-,"336,705",-,"336,705","576,705","336,705","240,000","178,038","29,353","29,353",-,-
72,12/31/2004,"3,356,356","84,080","69,830",-,-,"69,830","14,250","14,250",-,"2,528,953","2,528,953",-,-,"676,078","684,236",-,-,-,-,"684,236","7,660",-498,"12,802","12,802","12,802",-,"14,186",-,-,-,-,-,"40,257","3,017,437","2,580,707","1,821,426","1,821,426","759,281","115,000",-,-,"265,000","265,000","265,000","20,000","20,000",-,-,"36,730","338,919","338,919",293,-,293,-,"-3,066","348,553",-,"-6,861",-,-,-,"358,919",-,"338,919",-,"338,919","623,919","338,919","285,000","215,170","29,315","29,315",-,-
73,9/30/2004,"3,080,154","69,116","56,116",-,-,"56,116","13,000","13,000",-,"2,329,668","2,329,668",-,-,"617,735","624,812",-,-,-,-,"624,812","6,185",-892,"11,850","11,850","11,850",-,"12,807",-,-,-,-,-,"38,978","2,742,931","2,421,496","1,645,257","1,645,257","776,239","65,000",-,-,-,-,-,"220,000","220,000",-,-,"36,435","337,223","337,223",293,-,293,-,"-7,984","348,468",-,"-3,554",-,-,-,"557,223",-,"337,223",-,"337,223","557,223","337,223","220,000","163,884","29,315","29,315",-,-
74,6/30/2004,"2,680,575","96,277","83,777",-,-,"83,777","12,500","12,500",-,"2,018,507","2,018,507",-,-,"491,372","497,665",-,-,-,-,"497,665","5,511",-782,"9,452","9,452","9,452",-,"12,042",-,-,-,-,-,"52,925","2,422,527","2,111,383","1,386,505","1,386,505","724,878","75,000",-,-,-,-,-,"185,000","185,000",-,-,"51,144","258,048","258,048",262,-,262,-,"-11,949","279,736",-,"-10,001",-,-,-,"443,048",-,"258,048",-,"258,048","443,048","258,048","185,000","101,223","26,210","26,210",-,-
75,3/31/2004,"2,167,777","73,346","69,346",-,-,"69,346","4,000","4,000",-,"1,567,778","1,567,778",-,-,"462,371","468,256",-,-,-,-,"468,256","5,111",-774,"8,410","8,410","8,410",0,"11,675",-,-,-,-,-,"44,197","1,908,790","1,740,397","1,179,768","1,179,768","560,629","40,000",-,-,-,-,-,"80,000","80,000",-,-,"48,393","258,987","258,987",262,-,262,-,"-30,222","279,743",-,"9,204",-,-,-,"338,987",-,"258,987",-,"258,987","338,987","258,987","80,000","10,654","26,210","26,210",-,-
76,12/31/2003,"1,935,984",-,-,-,-,-,-,-,-,"1,326,930","1,201,100","125,830",-,"373,183","373,183",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"235,871","1,782,211","1,572,867",-,-,-,-,-,-,-,-,-,-,-,-,-,"209,344","153,773","153,773",-,-,-,-,-,-,-,-,-,-,-,-,-,"153,773",-,"153,773",-,"153,773",-,-,"26,210","26,210",-,-
