,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
77,12/31/2003,"84,487,000","2,712,000","2,712,000",-,"2,712,000",-,-,-,-,-,"10,432,000",-,"10,432,000",-,-,-,"61,305,000","62,711,000",-,-,-,-,"62,711,000","1,406,000",-,-,-,"606,000",-,-,-,-,-,-,-,-,"1,187,000",-,-,-,"8,245,000","77,518,000","50,858,000","39,683,000","39,683,000","11,175,000","2,667,000",-,-,-,-,-,-,-,"2,947,000","2,947,000",-,"2,947,000",-,"15,294,000","15,294,000",-,-,-,-,"5,752,000","6,969,000","6,969,000","492,000",-,"492,000","6,838,000","1,448,000","1,801,000","-8,000",-,-,"22,263,000",-,"6,969,000",-,"5,782,000","25,210,000","5,782,000","18,241,000","15,529,000","416,494","416,494",-,-
78,9/30/2003,"84,460,000","2,398,000","2,398,000",-,"2,398,000",-,-,-,-,-,"10,535,000",-,"10,535,000",-,-,-,"61,318,000","64,651,000",-,-,-,-,"64,651,000","1,405,000","-1,928,000",-,-,"614,000",-,-,-,-,-,-,-,-,"1,195,000",-,-,-,"8,400,000","77,483,000","48,739,000","37,792,000","37,792,000","10,947,000","4,804,000",-,-,-,-,-,-,-,"2,707,000","2,707,000",-,"2,707,000",-,"15,342,000","15,342,000",-,-,-,-,"5,891,000","6,977,000","6,977,000","492,000",-,"492,000","6,732,000","1,454,000","1,718,000","17,000",-,-,"22,319,000",-,"6,977,000",-,"5,782,000","25,026,000","5,782,000","18,049,000","15,651,000","419,266","419,266",-,-
79,6/30/2003,"85,479,000","3,249,000","3,249,000",-,"3,249,000",-,-,-,-,-,"10,502,000",-,"10,502,000",-,-,-,"61,809,000","63,214,000",-,-,-,-,"63,214,000","1,405,000",-,-,-,"606,000",-,-,-,-,-,-,-,-,"1,173,000",-,-,-,"8,140,000","77,232,000","49,869,000","38,494,000","38,494,000","11,375,000","3,766,000",-,-,-,-,-,-,-,"3,403,000","3,403,000",-,"3,403,000",-,"14,434,000","14,434,000",-,-,-,-,"5,760,000","8,247,000","6,989,000","492,000",-,"492,000","6,633,000","1,452,000","1,667,000","79,000",-,"1,258,000","21,423,000",-,"6,989,000",-,"5,816,000","24,826,000","5,816,000","17,837,000","14,588,000","414,219","414,219",-,-
80,3/31/2003,"86,490,000","3,074,000","3,074,000",-,"3,074,000",-,-,-,-,-,"12,394,000",-,"12,394,000",-,-,-,"61,298,000","64,532,000",-,-,-,-,"64,532,000","1,421,000","-1,813,000",-,-,"623,000",-,-,-,-,-,-,-,-,"1,176,000",-,-,-,"7,925,000","79,592,000","50,455,000","39,644,000","39,644,000","10,811,000","3,721,000",-,-,-,-,-,-,-,"2,551,000","2,551,000",-,"2,551,000",-,"16,269,000","16,269,000",-,-,-,-,"6,596,000","6,898,000","6,898,000","492,000",-,"492,000","6,536,000","1,449,000","1,621,000","42,000",-,-,"23,167,000",-,"6,898,000",-,"5,722,000","25,718,000","5,722,000","18,820,000","15,746,000","422,780","422,780",-,-
81,12/31/2002,"85,202,000","3,364,000","3,364,000",-,"3,364,000",-,-,-,-,-,"11,178,000",-,"11,178,000",-,-,-,"61,005,000","64,233,000",-,-,-,-,"64,233,000","1,452,000","-1,776,000",-,-,"644,000",-,-,-,-,-,-,-,-,"1,177,000",-,-,-,"7,834,000","78,367,000","49,346,000","38,716,000","38,716,000","10,630,000","3,862,000",-,-,-,-,-,-,-,"2,823,000","2,823,000",-,"2,823,000",-,"16,865,000","16,865,000",-,-,-,-,"5,471,000","6,835,000","6,835,000","492,000",-,"492,000","6,448,000","1,449,000","1,593,000","39,000",-,-,"23,700,000",-,"6,835,000",-,"5,658,000","26,523,000","5,658,000","19,688,000","16,324,000","423,944","423,944",-,-
82,9/30/2002,"83,518,000","3,039,000","3,039,000",-,"3,039,000",-,-,-,-,-,"9,597,000",-,"9,597,000",-,-,-,"61,462,000","64,759,000",-,-,-,-,"64,759,000","1,489,000","-1,808,000",-,-,"651,000",-,-,-,-,-,-,-,-,"1,105,000",-,-,-,"7,664,000","76,864,000","44,610,000","34,547,000","34,547,000","10,063,000","6,350,000",-,-,-,-,-,-,-,"2,908,000","2,908,000",-,"2,908,000",-,"17,558,000","17,558,000",-,-,-,-,"5,438,000","6,654,000","6,654,000","492,000",-,"492,000","6,330,000","1,382,000","1,569,000","19,000",-,-,"24,212,000",-,"6,654,000",-,"5,549,000","27,120,000","5,549,000","20,466,000","17,427,000","424,864","424,864",-,-
83,6/30/2002,"82,778,000","2,929,000","2,929,000",-,"2,929,000",-,-,-,-,-,"8,939,000",-,"8,939,000",-,-,-,"62,342,000","65,627,000",-,-,-,-,"65,627,000","1,539,000","-1,746,000",-,-,"659,000",-,-,-,-,-,-,-,-,"1,105,000",-,-,-,"6,804,000","76,186,000","44,805,000","35,710,000","35,710,000","9,095,000","5,110,000",-,-,-,-,-,-,-,"3,390,000","3,390,000",-,"3,390,000",-,"18,139,000","18,139,000",-,-,-,-,"4,742,000","6,592,000","6,592,000","492,000",-,"492,000","6,214,000","1,383,000","1,530,000","33,000",-,-,"24,731,000",-,"6,592,000",-,"5,487,000","28,121,000","5,487,000","21,529,000","18,600,000","426,351","426,351",-,-
84,3/31/2002,"81,359,000","2,483,000","2,483,000",-,"2,483,000",-,-,-,-,-,"8,426,000",-,"8,426,000",-,-,-,"62,349,000","65,759,000",-,-,-,-,"65,759,000","1,607,000","-1,803,000",-,-,"663,000",-,-,-,-,-,-,-,-,"1,101,000",-,-,-,"6,337,000","74,957,000","43,233,000","34,545,000","34,545,000","8,688,000","7,338,000",-,-,-,-,-,-,-,"3,174,000","3,174,000",-,"3,174,000",-,"16,529,000","16,529,000",-,-,-,-,"4,683,000","6,402,000","6,402,000","492,000",-,"492,000","6,096,000","1,385,000","1,551,000","-20,000",-,-,"22,931,000",-,"6,402,000",-,"5,301,000","26,105,000","5,301,000","19,703,000","17,220,000","425,454","425,454",-,-
85,12/31/2001,"80,938,000","2,891,000","2,891,000",-,"2,891,000",-,-,-,-,-,"8,363,000",-,"8,363,000",-,-,-,"61,632,000","65,087,000",-,-,-,-,"65,087,000","1,677,000","-1,778,000",-,-,"687,000",-,-,-,-,-,-,-,-,"1,132,000",-,-,-,"6,233,000","74,783,000","44,795,000","35,128,000","35,128,000","9,667,000","3,735,000",-,-,-,-,-,-,-,"5,549,000","5,549,000",-,"5,549,000",-,"15,842,000","15,842,000",-,-,-,-,"4,862,000","6,155,000","6,155,000","492,000",-,"492,000","5,856,000","1,390,000","1,585,000","2,000",-,-,"21,997,000",-,"6,155,000",-,"5,023,000","27,546,000","5,023,000","21,391,000","18,500,000","424,005","424,005",-,-
86,9/30/2001,"84,419,000","2,803,000","2,803,000",-,"2,803,000",-,-,-,-,-,"9,437,000",-,"9,437,000",-,-,-,"63,332,000","64,506,000",-,-,-,-,"64,506,000","1,174,000",-,-,-,"682,000",-,-,-,-,-,-,-,-,"1,155,000",-,-,-,"7,010,000","76,515,000","45,372,000","36,729,000","36,729,000","8,643,000","4,367,000",-,-,-,-,-,-,-,"6,040,000","6,040,000",-,"6,040,000",-,"15,114,000","15,114,000",-,-,-,-,"5,622,000","7,904,000","6,575,000","492,000",-,"492,000","6,282,000","1,393,000","1,599,000","7,000",-,"1,329,000","21,689,000",-,"6,575,000",-,"5,420,000","27,729,000","5,420,000","21,154,000","18,351,000","423,427","423,427",-,-
87,6/30/2001,"85,838,000","2,781,000","2,781,000",-,"2,781,000",-,-,-,-,-,"9,838,000",-,"9,838,000",-,-,-,"65,462,000","66,693,000",-,-,-,-,"66,693,000","1,231,000",-,-,-,"694,000",-,-,-,-,-,-,-,-,"1,177,000",-,-,-,"5,886,000","78,092,000","45,743,000","37,367,000","37,367,000","8,376,000","5,919,000",-,-,-,-,-,-,-,"7,128,000","7,128,000",-,"7,128,000",-,"14,675,000","14,675,000",-,-,-,-,"4,627,000","7,746,000","6,467,000","492,000",-,"492,000","6,159,000","1,395,000","1,560,000","-19,000",-,"1,279,000","21,142,000",-,"6,467,000",-,"5,290,000","28,270,000","5,290,000","21,803,000","19,022,000","424,958","424,958",-,-
88,3/31/2001,"86,457,000","2,484,000","2,484,000",-,"2,484,000",-,-,-,-,-,"10,000,000",-,"10,000,000",-,-,-,"66,026,000","68,810,000",-,-,-,-,"68,810,000","1,001,000","-1,783,000",-,-,"703,000",-,-,-,-,-,-,-,-,"1,351,000",-,-,-,"5,893,000","78,447,000","45,965,000","37,636,000","37,636,000","8,329,000","4,463,000",-,-,-,-,-,-,-,"8,721,000","8,721,000",-,"8,721,000",-,"14,495,000","14,495,000",-,-,-,-,"4,803,000","8,010,000","6,702,000","492,000",-,"492,000","6,444,000","1,399,000","1,573,000","-60,000",-,"1,308,000","21,197,000",-,"6,702,000",-,"5,351,000","29,918,000","5,351,000","23,216,000","20,732,000","424,414","424,414",-,-
89,12/31/2000,"87,270,000","3,189,000","3,189,000",-,"3,189,000",-,-,-,-,-,"10,411,000",-,"10,411,000",-,-,-,"65,904,000","66,905,000",-,-,-,-,"66,905,000","1,001,000",-,-,-,"717,000",-,-,-,-,-,-,-,-,"1,368,000",-,-,-,"5,681,000","79,404,000","48,649,000","39,573,000","39,573,000","9,076,000","4,936,000",-,-,-,-,-,-,-,"6,957,000","6,957,000",-,"6,957,000",-,"14,161,000","14,161,000",-,-,-,-,"4,701,000","7,866,000","6,623,000","492,000",-,"492,000","6,352,000","1,402,000","1,600,000","-23,000",-,"1,243,000","20,784,000",-,"6,623,000",-,"5,255,000","27,741,000","5,255,000","21,118,000","17,929,000","423,254","423,254",-,-
90,9/30/2000,"85,500,000","2,691,000","2,691,000",-,"2,691,000",-,-,-,-,-,"9,487,000",-,"9,487,000",-,-,-,"65,298,000","66,299,000",-,-,-,-,"66,299,000","1,001,000",-,-,-,"711,000",-,-,-,-,-,-,-,-,"1,387,000",-,-,-,"5,926,000","77,737,000","47,809,000","39,423,000","39,423,000","8,386,000","5,324,000",-,-,-,-,-,-,-,"6,407,000","6,407,000",-,"6,407,000",-,"13,800,000","13,800,000",-,-,-,-,"4,397,000","7,763,000","6,520,000","492,000",-,"492,000","6,205,000","1,402,000","1,502,000","-77,000",-,"1,243,000","20,320,000",-,"6,520,000",-,"5,133,000","26,727,000","5,133,000","20,207,000","17,516,000","427,260","427,260",-,-
91,6/30/2000,"84,719,000","3,178,000","3,178,000",-,"3,178,000",-,-,-,-,-,"9,136,000",-,"9,136,000",-,-,-,"64,633,000","65,612,000",-,-,-,-,"65,612,000","979,000",-,-,-,"726,000",-,-,-,-,-,-,-,-,"1,409,000",-,-,-,"5,637,000","76,969,000","49,076,000","40,019,000","40,019,000","9,057,000","3,511,000",-,-,-,-,-,-,-,"5,998,000","5,998,000",-,"5,998,000",-,"14,097,000","14,097,000",-,-,-,-,"4,287,000","7,750,000","6,507,000","492,000",-,"492,000","6,203,000","1,405,000","1,421,000","-172,000",-,"1,243,000","20,604,000",-,"6,507,000",-,"5,098,000","26,602,000","5,098,000","20,095,000","16,917,000","431,166","431,166",-,-
92,3/31/2000,"83,504,000","2,757,000","2,757,000",-,"2,757,000",-,-,-,-,-,"9,889,000",-,"9,889,000",-,-,-,"63,085,000","64,064,000",-,-,-,-,"64,064,000","979,000",-,-,-,"761,000",-,-,-,-,-,-,-,-,"1,434,000",-,-,-,"5,578,000","75,768,000","46,036,000","37,753,000","37,753,000","8,283,000","2,621,000",-,-,-,-,-,-,-,"8,015,000","8,015,000",-,"8,015,000",-,"14,784,000","14,784,000",-,-,-,-,"4,312,000","7,736,000","6,493,000","492,000",-,"492,000","6,077,000","1,406,000","1,301,000","-181,000",-,"1,243,000","21,277,000",-,"6,493,000",-,"5,059,000","29,292,000","5,059,000","22,799,000","20,042,000","437,590","437,590",-,-
93,12/31/1999,"83,395,000","2,816,000","2,816,000",-,"2,816,000",-,-,-,-,-,"9,511,000",-,"9,511,000",-,-,-,"63,292,000","64,222,000",-,-,-,-,"64,222,000","930,000",-,-,-,"797,000",-,-,-,-,-,-,-,-,"1,449,000",-,-,-,"5,530,000","75,763,000","43,233,000","34,626,000","34,626,000","8,607,000","4,177,000",-,-,-,-,-,-,-,"8,439,000","8,439,000",-,"8,439,000",-,"15,881,000","15,881,000",-,-,-,-,"4,033,000","7,632,000","6,389,000","492,000",-,"492,000","5,833,000","1,412,000","1,197,000","-151,000",-,"1,243,000","22,270,000",-,"6,389,000",-,"4,940,000","30,709,000","4,940,000","24,320,000","21,504,000","443,427","443,427",-,-
94,9/30/1999,"82,577,000","3,018,000","3,018,000",-,"3,018,000",-,-,-,-,-,"9,650,000",-,"9,650,000",-,-,-,"62,251,000","63,181,000",-,-,-,-,"63,181,000","930,000",-,-,-,"818,000",-,-,-,-,-,-,-,-,"1,486,000",-,-,-,"5,354,000","74,937,000","43,466,000","34,416,000","34,416,000","9,050,000","3,510,000",-,-,-,-,-,-,-,"8,551,000","8,551,000",-,"8,551,000",-,"15,815,000","15,815,000",-,-,-,-,"3,595,000","7,640,000","6,397,000",-,-,-,"5,686,000",-,-,"-111,000","822,000","1,243,000","22,212,000",-,"6,397,000",-,"4,911,000","30,763,000","4,911,000","24,366,000","21,348,000","448,641","448,641",-,-
95,6/30/1999,"80,889,000","3,060,000","3,060,000",-,"3,060,000",-,-,-,-,-,"9,126,000",-,"9,126,000",-,-,-,"61,041,000","61,971,000",-,-,-,-,"61,971,000","930,000",-,-,-,"846,000",-,-,-,-,-,-,-,-,"1,514,000",-,-,-,"5,302,000","73,660,000","43,016,000","33,958,000","33,958,000","9,058,000","4,727,000",-,-,-,-,-,-,-,"7,344,000","7,344,000",-,"7,344,000",-,"15,168,000","15,168,000",-,-,-,-,"3,405,000","7,229,000","6,235,000",-,-,-,"5,533,000",-,-,-,"702,000","994,000","21,403,000",-,"6,235,000",-,"4,721,000","28,747,000","4,721,000","22,512,000","19,452,000","448,641","448,641",-,-
96,3/31/1999,"79,992,000","2,981,000","2,981,000",-,"2,981,000",-,-,-,-,-,"9,413,000",-,"9,413,000",-,-,-,"60,115,000","62,524,000",-,-,-,-,"62,524,000","930,000","-1,479,000",-,-,"863,000",-,-,-,-,-,-,-,-,"1,507,000",-,-,-,"5,113,000","72,643,000","41,323,000","32,722,000","32,722,000","8,601,000","4,336,000",-,-,-,-,-,-,-,"8,242,000","8,242,000",-,"8,242,000",-,"15,457,000","15,457,000",-,-,-,-,"3,285,000","7,349,000","6,105,000",-,-,-,"5,369,000",-,-,-,"736,000","1,244,000","21,562,000",-,"6,105,000",-,"4,598,000","29,804,000","4,598,000","23,699,000","20,718,000","447,822","447,822",-,-
97,12/31/1998,"80,020,000","3,296,000","3,296,000",-,"3,296,000",-,-,-,-,-,"8,228,000",-,"8,228,000",-,-,-,"61,112,000","62,012,000",-,-,-,-,"62,012,000","900,000",-,-,-,"902,000",-,-,-,-,-,-,-,-,"1,509,000",-,-,-,"4,973,000","72,856,000","42,583,000","33,043,000","33,043,000","9,540,000","4,468,000",-,-,-,-,-,-,-,"9,728,000","9,728,000",-,"9,728,000",-,"12,967,000","12,967,000",-,-,-,-,"3,110,000","7,164,000","6,167,000",-,-,-,"5,192,000",-,-,-,"975,000","997,000","19,134,000",-,"6,167,000",-,"4,658,000","28,862,000","4,658,000","22,695,000","19,399,000","452,452","452,452",-,-
98,9/30/1998,"77,691,000","2,750,000","2,750,000",-,"2,750,000",-,-,-,-,-,"9,124,000",-,"9,124,000",-,-,-,"58,544,000","60,848,000",-,-,-,-,"60,848,000","900,000","-1,404,000",-,-,"876,000",-,-,-,-,-,-,-,-,"1,121,000",-,-,-,"5,276,000","71,141,000","42,597,000","33,865,000","33,865,000","8,732,000","6,652,000",-,-,-,-,-,-,-,"7,576,000","7,576,000",-,"7,576,000",-,"11,353,000","11,353,000",-,-,-,-,"2,963,000","6,550,000","5,553,000",-,-,-,"5,038,000",-,-,"41,000","474,000","997,000","16,906,000",-,"5,553,000",-,"4,432,000","24,482,000","4,432,000","18,929,000","16,179,000","436,092","436,092",-,-
99,6/30/1998,"75,778,000","3,050,000","3,050,000",-,"3,050,000",-,-,-,-,-,"9,172,000",-,"9,172,000",-,-,-,"56,869,000","59,082,000",-,-,-,-,"59,082,000","900,000","-1,313,000",-,-,"894,000",-,-,-,-,-,-,-,-,"1,116,000",-,-,-,"4,677,000","69,256,000","41,794,000","32,827,000","32,827,000","8,967,000","6,828,000",-,-,-,-,-,-,-,"7,855,000","7,855,000",-,"7,855,000",-,"10,196,000","10,196,000",-,-,-,-,"2,583,000","6,522,000","5,525,000",-,-,-,"4,889,000",-,-,"28,000","608,000","997,000","15,721,000",-,"5,525,000",-,"4,409,000","23,576,000","4,409,000","18,051,000","15,001,000","440,353","440,353",-,-
100,3/31/1998,"73,198,000","3,287,000","3,287,000",-,"3,287,000",-,-,-,-,-,"9,468,000",-,"9,468,000",-,-,-,"54,000,000","56,135,000",-,-,-,-,"56,135,000","900,000","-1,235,000",-,-,"924,000",-,-,-,-,-,-,-,-,"1,151,000",-,-,-,"4,368,000","67,860,000","41,661,000","32,578,000","32,578,000","9,083,000","6,468,000",-,-,-,-,-,-,-,"7,442,000","7,442,000",-,"7,442,000",-,"9,791,000","9,791,000",-,-,-,-,"2,498,000","5,338,000","5,338,000",-,-,-,"4,743,000",-,-,"8,000","587,000",-,"15,129,000",-,"5,338,000",-,"4,187,000","22,571,000","4,187,000","17,233,000","13,946,000","439,315","439,315",-,-
101,12/31/1997,"73,699,000","3,651,000","3,651,000",-,"3,651,000",-,-,-,-,-,"10,866,000",-,"10,866,000",-,-,-,"52,480,000","54,577,000",-,-,-,-,"54,577,000","900,000","-1,197,000",-,-,"985,000",-,-,-,-,-,-,-,-,"1,176,000",-,-,-,"4,541,000","68,518,000","45,073,000","35,705,000","35,705,000","9,368,000","6,979,000",-,-,-,-,-,-,-,"5,967,000","5,967,000",-,"5,967,000",-,"8,196,000","8,196,000",-,-,-,-,"2,303,000","5,181,000","5,181,000",-,-,-,"4,611,000",-,-,"11,000","559,000",-,"13,377,000",-,"5,181,000",-,"4,005,000","19,344,000","4,005,000","14,163,000","10,512,000","438,064","438,064",-,-
102,9/30/1997,"72,077,000","2,940,000","2,940,000",-,"2,940,000",-,-,-,-,-,"10,124,000",-,"10,124,000",-,-,-,"52,776,000","53,676,000",-,-,-,-,"53,676,000","900,000",-,-,-,"993,000",-,-,-,-,-,-,-,-,"1,095,000",-,-,-,"4,149,000","67,001,000","43,870,000","34,905,000","34,905,000","8,965,000","6,662,000",-,-,-,-,-,-,-,"6,053,000","6,053,000",-,"6,053,000",-,"8,317,000","8,317,000",-,-,-,-,"2,099,000","5,076,000","5,076,000",-,-,-,"4,455,000",-,-,"8,000","613,000",-,"13,393,000",-,"5,076,000",-,"3,981,000","19,446,000","3,981,000","14,370,000","11,430,000","439,332","439,332",-,-
103,6/30/1997,"69,672,000","2,911,000","2,911,000",-,"2,911,000",-,-,-,-,-,"9,864,000",-,"9,864,000",-,-,-,"50,764,000","51,644,000",-,-,-,-,"51,644,000","880,000",-,-,-,"1,025,000",-,-,-,-,-,-,-,-,"918,000",-,-,-,"4,190,000","64,858,000","44,626,000","35,107,000","35,107,000","9,519,000","6,830,000",-,-,-,-,-,-,-,"5,447,000","5,447,000",-,"5,447,000",-,"5,932,000","5,932,000",-,-,-,-,"2,023,000","4,814,000","4,814,000",-,-,-,"4,311,000",-,-,"-36,000","539,000",-,"10,746,000",-,"4,814,000",-,"3,896,000","16,193,000","3,896,000","11,379,000","8,468,000","436,760","436,760",-,-
104,3/31/1997,"67,893,000","3,242,000","3,242,000",-,"3,242,000",-,-,-,-,-,"10,101,000",-,"10,101,000",-,-,-,"48,854,000","49,724,000",-,-,-,-,"49,724,000","870,000",-,-,-,"1,057,000",-,-,-,-,-,-,-,-,"941,000",-,-,-,"3,698,000","63,219,000","44,239,000","35,253,000","35,253,000","8,986,000","7,509,000",-,-,-,-,-,-,-,"4,261,000","4,261,000",-,"4,261,000",-,"5,274,000","5,274,000",-,-,-,-,"1,936,000","4,674,000","4,674,000",-,-,-,"4,180,000",-,-,"-117,000","611,000",-,"9,948,000",-,"4,674,000",-,"3,733,000","14,209,000","3,733,000","9,535,000","6,293,000","439,164","439,164",-,-
105,12/31/1996,"67,621,000","3,444,000","3,444,000",-,"3,444,000",-,-,-,-,-,"10,025,000",-,"10,025,000",-,-,-,"48,365,000","49,235,000",-,-,-,-,"49,235,000","870,000",-,-,-,"1,084,000",-,-,-,-,-,-,-,-,"961,000",-,-,-,"3,742,000","62,740,000","45,317,000","35,793,000","35,793,000","9,524,000","6,925,000",-,-,-,-,-,-,-,"3,969,000","3,969,000",-,"3,969,000",-,"4,713,000","4,713,000",-,-,-,-,"1,816,000","4,881,000","4,881,000",-,-,-,"4,060,000",-,-,"-6,000","827,000",-,"9,594,000",-,"4,881,000",-,"3,920,000","13,563,000","3,920,000","8,682,000","5,238,000","446,908","446,908",-,-
106,9/30/1996,"65,356,000","3,110,000","3,110,000",-,"3,110,000",-,-,-,-,-,"9,267,000",-,"9,267,000",-,-,-,"47,503,000","48,373,000",-,-,-,-,"48,373,000","870,000",-,-,-,"1,052,000",-,-,-,-,-,-,-,-,"982,000",-,-,-,"3,442,000","60,380,000","44,523,000","35,491,000","35,491,000","9,032,000","5,592,000",-,-,-,-,-,-,-,"3,861,000","3,861,000",-,"3,861,000",-,"4,664,000","4,664,000",-,-,-,-,"1,740,000","4,976,000","4,976,000",-,-,-,"3,994,000",-,-,"-37,000","1,019,000",-,"9,640,000",-,"4,976,000",-,"3,994,000","13,501,000","3,994,000","8,525,000","5,415,000","454,124","454,124",-,-
107,6/30/1996,"64,764,000","3,061,000","3,061,000",-,"3,061,000",-,-,-,-,-,"9,476,000",-,"9,476,000",-,-,-,"47,058,000","47,928,000",-,-,-,-,"47,928,000","870,000",-,-,-,"1,032,000",-,-,-,-,-,-,-,-,"998,000",-,-,-,"3,139,000","59,768,000","44,417,000","35,540,000","35,540,000","8,877,000","6,171,000",-,-,-,-,-,-,-,"3,408,000","3,408,000",-,"3,408,000",-,"4,174,000","4,174,000",-,-,-,-,"1,598,000","4,996,000","4,996,000",-,-,-,"3,874,000",-,-,"-70,000","1,192,000",-,"9,170,000",-,"4,996,000",-,"3,998,000","12,578,000","3,998,000","7,582,000","4,521,000","461,958","461,958",-,-
108,3/31/1996,"65,052,000","2,975,000","2,975,000",-,"2,975,000",-,-,-,-,-,"9,668,000",-,"9,668,000",-,-,-,"47,398,000","48,273,000",-,-,-,-,"48,273,000","875,000",-,-,-,"1,032,000",-,-,-,-,-,-,-,-,"1,041,000",-,-,-,"2,938,000","59,928,000","45,401,000","36,830,000","36,830,000","8,571,000","5,820,000",-,-,-,-,-,-,-,"2,952,000","2,952,000",-,"2,952,000",-,"4,266,000","4,266,000",-,-,-,-,"1,489,000","5,124,000","5,124,000","160,000","160,000",-,"3,749,000",-,-,"-15,000","1,230,000",-,"9,390,000","160,000","4,964,000",-,"4,083,000","12,182,000","3,923,000","7,218,000","4,243,000","463,340","463,340",-,-
109,12/31/1995,"66,339,100","3,443,800","3,443,800",-,"3,443,800",-,-,-,-,-,"10,430,100",-,"10,430,100",-,-,-,"46,815,700","47,691,700",-,-,-,-,"47,691,700","876,000",-,-,-,"1,029,800",-,-,-,-,-,-,-,-,"1,070,300",-,-,-,"3,549,400","61,186,600","47,281,900","38,000,900","38,000,900","9,281,000","5,544,100",-,-,-,-,-,-,-,"2,880,300","2,880,300",-,"2,880,300",-,"4,003,600","4,003,600",-,-,-,-,"1,476,700","5,152,500","5,152,500","160,000","160,000",-,"3,632,700",-,-,"47,700","1,312,100",-,"9,156,100","160,000","4,992,500",-,"4,082,200","11,876,400","3,922,200","6,883,900","3,440,100","467,404","467,404",-,-
110,9/30/1995,"67,967,100","3,344,300","3,344,300",-,"3,344,300",-,-,-,-,-,"11,778,700",-,"11,778,700",-,-,-,"48,189,600","49,068,800",-,-,-,-,"49,068,800","879,200",-,-,-,"1,023,100",-,-,-,-,-,-,-,-,"1,080,600",-,-,-,"2,550,800","62,883,700","47,905,000","39,294,600","39,294,600","8,610,400","5,908,200",-,-,-,-,-,-,-,"3,632,500","3,632,500",-,"3,632,500",-,"4,047,900","4,047,900",-,-,-,-,"1,390,100","5,083,400","5,083,400","160,000","160,000",-,"3,514,100",-,-,"-25,200","1,434,500",-,"9,131,300","160,000","4,923,400",-,"4,002,800","12,603,800","3,842,800","7,680,400","4,336,100","474,778","474,778",-,-
111,6/30/1995,"67,481,200","3,197,000","3,197,000",-,"3,197,000",-,-,-,-,-,"12,852,500",-,"12,852,500",-,-,-,"47,225,700","48,093,200",-,-,-,-,"48,093,200","867,500",-,-,-,"1,017,800",-,-,-,-,-,-,-,-,"841,000",-,-,-,"2,347,200","62,806,800","48,672,200","40,068,300","40,068,300","8,603,900","4,793,900",-,-,-,-,-,-,-,"4,067,400","4,067,400",-,"4,067,400",-,"4,019,600","4,019,600",-,-,-,-,"1,253,700","4,674,400","4,674,400","160,000","160,000",-,"3,390,100",-,-,"-25,300","1,149,600",-,"8,694,000","160,000","4,514,400",-,"3,833,400","12,601,400","3,673,400","8,087,000","4,890,000","458,062","458,062",-,-
112,3/31/1995,"67,709,000","3,303,200","3,303,200",-,"3,303,200",-,-,-,-,-,"12,981,600",-,"12,981,600",-,-,-,"47,318,300","48,185,400",-,-,-,-,"48,185,400","867,100",-,-,-,"1,016,400",-,-,-,-,-,-,-,-,"794,700",-,-,-,"2,294,800","62,891,500","48,812,300","40,512,000","40,512,000","8,300,300","4,980,800",-,-,-,-,-,-,-,"3,927,300","3,927,300",-,"3,927,300",-,"3,725,200","3,725,200",-,-,-,-,"1,445,900","4,817,500","4,817,500","160,000","160,000",-,"3,279,800",-,-,"-44,400","1,422,100",-,"8,542,700","160,000","4,657,500",-,"4,022,800","12,310,000","3,862,800","7,652,500","4,349,300","476,376","476,376",-,-
