,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Intangibles Purchase And Sale,Purchase of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
30,12/31/2015,"882,000","882,000","229,000","-23,000",-,"4,000","-1,000","-28,000","71,000","71,000","-6,000","-6,000","532,000",-,-,"11,000","45,000","23,000",-,-,"23,000","-586,000","-586,000","-696,000","560,000","-1,256,000","6,000","6,000","131,000","21,000","110,000","-35,000","-35,000",0,-,-,-,-,-,"8,000","-159,000","-159,000","-67,000","112,000","-298,000","410,000","-179,000",-,-,"3,000","3,000",0,-,-,-,"-68,000",-,-,-,"607,000","137,000","470,000",-,"108,000","108,000","-35,000","3,000","-298,000","410,000",0,"847,000"
31,9/30/2015,"190,000","190,000","217,000","-26,000",-,"5,000","-11,000","-20,000","60,000","60,000","-43,000","-43,000","60,000",-,-,"14,000","45,000","-137,000",-,-,"-137,000","-602,000","-602,000","1,313,000","-1,062,000","2,375,000","6,000","6,000","-1,911,000","22,000","-1,933,000","-22,000","-23,000","1,000",-,-,-,-,-,"12,000","189,000","189,000","-25,000","-137,000","1,304,000","-1,441,000","112,000",-,-,"-121,000","2,000","-123,000",-,-,-,"-69,000",-,-,-,"470,000","-223,000","693,000",-,"83,000","93,000","-23,000","2,000","1,304,000","-1,441,000","-123,000","167,000"
32,6/30/2015,"1,161,000","1,161,000","239,000","-47,000",-,"-4,000","-10,000","-35,000","66,000","66,000","-77,000","-77,000","804,000",-,-,"20,000","41,000","115,000",-,-,"115,000","-1,417,000","-1,417,000","-1,037,000","-2,373,000","1,336,000","4,000","4,000","-381,000","20,000","-401,000","-14,000","-14,000",0,-,-,-,-,-,"11,000","443,000","443,000","1,585,000","1,738,000","1,750,000","-12,000","-153,000",-,-,"-120,000","8,000","-128,000",-,-,-,"-69,000",-,-,-,"693,000","187,000","506,000",-,"71,000","39,000","-14,000","8,000","1,750,000","-12,000","-128,000","1,147,000"
33,3/31/2015,"-1,102,000","-1,102,000","235,000","-52,000",-,"-3,000","-29,000","-20,000","50,000","50,000","50,000","50,000","-1,394,000",-,-,"13,000","35,000","-39,000",-,-,"-39,000","582,000","582,000","1,244,000","-673,000","1,917,000","6,000","6,000","-680,000","47,000","-727,000","-3,000","-3,000",0,-,-,-,-,-,"15,000","373,000","373,000","998,000","871,000","1,000,000","-129,000","127,000",-,-,"-188,000","9,000","-197,000",-,-,-,"-61,000",-,-,-,"506,000","-147,000","653,000",-,"19,000","89,000","-3,000","9,000","1,000,000","-129,000","-197,000","-1,105,000"
34,12/31/2014,"855,000","855,000","254,000","-54,000",0,"2,000","-18,000","-38,000","53,000","53,000","34,000","34,000","318,000",-,-,"13,000","22,000","215,000",-,-,"215,000","-4,311,000","-4,311,000","-2,950,000","-693,000","-2,257,000","4,000","4,000","-1,331,000","29,000","-1,360,000","-44,000","-44,000",0,-,-,"-1,000","-1,000",0,"11,000","3,458,000","3,458,000","103,000","758,000","1,079,000","-321,000","-655,000",-,-,"-125,000","4,000","-129,000",-,-,-,"-62,000",-,-,-,"653,000","2,000","651,000",-,"22,000","31,000","-44,000","4,000","1,079,000","-321,000","-129,000","811,000"
35,9/30/2014,"202,000","202,000","186,000","6,000",-,"3,000","31,000","-19,000","71,000","71,000","-38,000","-38,000","23,000",-,-,"10,000","19,000","-75,000",-,-,"-75,000","413,000","413,000","1,173,000","-834,000","2,007,000","3,000","3,000","-643,000","24,000","-667,000","-23,000","-23,000",0,-,-,"-103,000",-,"10,000","6,000","-568,000","-568,000","-1,049,000","-968,000","40,000","-1,008,000","-81,000",-,-,"-115,000","4,000","-119,000",-,-,-,"-61,000",-,-,-,"651,000","47,000","604,000",-,"27,000","117,000","-23,000","4,000","40,000","-1,008,000","-119,000","179,000"
36,6/30/2014,"107,000","107,000","225,000","-70,000",-,"-19,000","-27,000","-25,000","51,000","51,000","-31,000","-31,000","-40,000",-,-,"10,000","12,000","-50,000",-,-,"-50,000","-648,000","-648,000","-452,000","-1,185,000","733,000","5,000","5,000","-194,000","46,000","-240,000","-19,000","-19,000",0,-,-,-,-,-,"12,000","736,000","736,000","367,000","514,000","530,000","-16,000","-147,000",-,-,"-102,000","4,000","-106,000",-,-,-,"-62,000",-,-,-,"604,000","195,000","409,000",-,"72,000","30,000","-19,000","4,000","530,000","-16,000","-106,000","88,000"
37,3/31/2014,"156,000","156,000","242,000","-52,000",-,"-14,000","-24,000","-15,000","52,000","52,000","40,000","40,000","-39,000",-,-,"11,000","4,000","-102,000",-,-,"-102,000","1,730,000","1,730,000","2,737,000","-885,000","3,622,000","5,000","5,000","-1,008,000","21,000","-1,029,000","-10,000","-11,000","1,000",-,-,-,-,-,"6,000","-2,094,000","-2,094,000","72,000","68,000","78,000","-10,000","4,000",-,-,"-115,000","15,000","-130,000",-,-,-,"-55,000",-,-,-,"409,000","-208,000","617,000",-,"10,000","103,000","-11,000","15,000","78,000","-10,000","-130,000","145,000"
38,12/31/2013,"559,000","559,000","230,000","-150,000",-,"-4,000","-21,000","-34,000","46,000","46,000","33,000","33,000","308,000",-,-,"8,000","16,000","68,000",-,-,"68,000","-2,778,000","-2,778,000","-1,762,000","-2,360,000","598,000","4,000","4,000","-887,000","35,000","-922,000","-40,000","-40,000",0,-,-,"-124,000",-,"-216,000",-,"2,088,000","2,088,000","1,511,000","1,555,000","1,560,000","-5,000","-44,000",-,-,"-95,000","4,000","-99,000",-,-,-,"-55,000",-,-,-,"617,000","-131,000","748,000",-,"71,000","22,000","-40,000","4,000","1,560,000","-5,000","-99,000","519,000"
39,9/30/2013,"74,000","74,000","271,000","-70,000",-,"-27,000","-17,000","-27,000","54,000","54,000","-40,000","-40,000","34,000",-,-,"8,000","31,000","-214,000",-,-,"-214,000","180,000","180,000","530,000","-927,000","1,457,000","5,000","5,000","-553,000","73,000","-626,000","-26,000","-26,000",0,-,-,"224,000",-,"316,000",-,"-202,000","-202,000","-525,000","-502,000","5,000","-507,000","-23,000",-,-,"-190,000","8,000","-198,000",-,-,-,"-55,000",-,-,-,"748,000","52,000","696,000",-,"52,000","112,000","-26,000","8,000","5,000","-507,000","-198,000","48,000"
40,6/30/2013,"2,019,000","2,019,000","204,000","1,059,000",-,"5,000","-7,000","1,060,000","32,000","32,000","4,000","4,000","559,000",-,-,-,"33,000","109,000",-,-,"109,000","-2,774,000","-2,774,000","-1,457,000","-3,396,000","1,939,000","9,000","9,000","-1,875,000","-1,268,000","-607,000","-24,000","-24,000",0,-,-,-,-,-,-,"830,000","830,000","-1,386,000","-1,002,000","1,000","-1,003,000","-384,000",-,-,"-106,000","6,000","-112,000",-,-,-,"-55,000",-,-,-,"696,000","75,000","621,000",-,"37,000","49,000","-24,000","6,000","1,000","-1,003,000","-112,000","1,995,000"
41,3/31/2013,"-1,073,000","-1,073,000","205,000","-1,134,000",-,"-5,000","-8,000","-1,124,000","61,000","61,000","32,000","32,000","-199,000",-,-,-,"58,000","-96,000",-,-,"-96,000","1,148,000","1,148,000","-356,000","-1,907,000","1,551,000","5,000","5,000","1,501,000","1,345,000","156,000","-2,000","-10,000","8,000",-,-,-,-,-,-,"-38,000","-38,000","1,410,000","977,000","1,007,000","-30,000","433,000",-,-,"-57,000","8,000","-65,000",-,-,-,"-52,000",-,-,-,"621,000","37,000","584,000",-,"25,000","110,000","-10,000","8,000","1,007,000","-30,000","-65,000","-1,083,000"
42,12/31/2012,"699,000","699,000","203,000","300,000",-,"-2,000","-2,000","303,000","62,000","62,000","7,000","7,000","-83,000",-,-,-,"34,000","176,000",-,-,"159,000","-3,257,000","-3,257,000","-1,601,000","-1,979,000","378,000","12,000","12,000","-1,519,000","1,239,000",-,"-59,000","-59,000",0,-,-,"-90,000",-,-,-,"2,169,000","2,169,000","504,000","742,000","755,000","-13,000","-238,000",-,-,"-88,000",0,"-88,000",0,-,-,"-52,000",-,-,-,"585,000","-389,000","974,000",-,"45,000","162,000","-59,000",0,"755,000","-13,000","-88,000","640,000"
43,9/30/2012,"421,000","421,000","221,000","-96,000",-,"-46,000","-11,000","-39,000","59,000","59,000","-2,000","-2,000","6,000",-,-,-,"109,000","124,000","28,000","17,000","79,000","1,285,000","1,285,000","1,479,000","-231,000","1,710,000",-,-,"-1,030,000","-1,247,000",-,"-40,000","-40,000",0,-,-,-,-,-,-,"-1,449,000","-1,449,000","-1,290,000","-1,346,000","16,000","-1,362,000","56,000",-,-,"-80,000","1,000","-81,000",0,-,-,"-52,000",-,-,-,"974,000","257,000","717,000",-,"13,000","53,000","-40,000","1,000","16,000","-1,362,000","-81,000","381,000"
44,6/30/2012,"172,000","172,000","241,000","-86,000",-,"-36,000","-24,000","-32,000","59,000","59,000","10,000","10,000","6,000",-,-,-,"29,000","-87,000","-203,000","-66,000","182,000","1,124,000","1,124,000","1,442,000","-1,421,000","2,863,000",-,-,"-325,000","-108,000",-,"-26,000","-27,000",-,-,-,-,-,-,-,"-995,000","-995,000","-1,535,000","-1,443,000",-,"-1,447,000","-92,000",-,-,"-81,000",-,-,0,-,-,"-52,000",-,-,-,"717,000","301,000","416,000",-,"23,000","148,000","-27,000",-,-,"-1,447,000",-,"145,000"
45,3/31/2012,"63,000","63,000","200,000","-78,000",-,"-27,000","-35,000","-22,000","60,000","60,000","28,000","28,000","7,000",-,-,-,"41,000","-195,000","198,000","9,000","-402,000","606,000","606,000","377,000","-1,109,000","1,486,000","12,000","12,000","243,000","243,000",-,"-26,000","-26,000",-,-,-,-,-,-,-,"-947,000","-947,000","-450,000","-572,000",-,"-572,000","122,000",-,-,0,-,-,0,-,-,"-35,000",-,-,-,"416,000","-278,000","694,000",-,"3,000","101,000","-26,000",-,-,"-572,000",-,"37,000"
46,12/31/2011,"15,000","15,000","200,000","-147,000",-,"-9,000","49,000","-190,000","62,000","62,000","-49,000","-49,000","-70,000",-,-,-,"-21,000","40,000","-229,000","106,000",-,"279,000","279,000","1,855,000","229,000","1,626,000","8,000","8,000","-1,528,000","-1,225,000",-,"-56,000","-56,000",0,-,-,-,-,-,-,"-428,000","-428,000","-1,318,000","-1,119,000","10,000","-1,129,000","-199,000",-,-,"-70,000",0,-,0,-,-,"-34,000",-,0,-,"694,000","-134,000","828,000",-,"-9,000","160,000","-56,000","2,500,000","10,000","-1,129,000",-,"-41,000"
47,9/30/2011,"421,000","421,000","218,000","-58,000",-,"-7,000","-34,000","-18,000","65,000","65,000","-418,000","-418,000","639,000",-,-,-,"9,000","-34,000","-74,000","40,000",-,"-701,000","-701,000","-191,000","-1,397,000","1,206,000",-,-,"-501,000","-501,000",-,"-27,000","-28,000",-,-,-,-,-,-,-,"255,000","255,000","-333,000","-401,000","1,000","-402,000","68,000",-,-,0,-,-,0,-,-,"-34,000",-,0,-,"828,000","-25,000","853,000",-,"-5,000","128,000","-28,000",-,"1,000","-402,000",-,"393,000"
48,6/30/2011,"1,042,000","1,042,000","243,000","-40,000",-,"-5,000","-19,000","-11,000","69,000","69,000","61,000","61,000","398,000",-,-,-,"-21,000","332,000","60,000","272,000",-,"672,000","672,000","97,000","-923,000","1,020,000",-,-,"560,000","560,000",-,"-44,000","-44,000",-,-,-,-,-,-,-,"-1,401,000","-1,401,000","-900,000","-162,000","20,000","-182,000","-738,000",-,-,"4,000",-,-,0,-,-,"-35,000",-,-,-,"853,000","313,000","540,000",-,"52,000","183,000","-44,000",-,"20,000","-182,000",-,"998,000"
49,3/31/2011,"412,000","412,000","271,000","-47,000",-,"-4,000","-34,000","-19,000","74,000","74,000","96,000","96,000","49,000",-,-,-,"-55,000","24,000","80,000","-56,000",-,"1,392,000","1,392,000","78,000","-3,021,000","3,099,000","35,000","35,000","1,309,000","1,309,000",-,"-30,000","-30,000",-,-,-,-,-,-,-,"-1,542,000","-1,542,000","219,000","498,000","1,000,000","-502,000","-279,000",-,-,"600,000","600,000",-,"-2,500,000","-2,500,000",-,"-61,000",-,-,-,"540,000","262,000","278,000",-,"267,000","134,000","-30,000","-1,900,000","1,000,000","-502,000",-,"382,000"
50,12/31/2010,"755,000","755,000","323,000","425,000",-,"-6,000","17,000","354,000","76,000","76,000","64,000","64,000",-,-,0,-,"-151,000","-608,000","207,000","170,000","-378,000","421,000","421,000","-498,000","-2,877,000","2,379,000","39,000","39,000","932,000","932,000",-,"-52,000","-54,000","2,000",-,-,0,-,-,-,"-1,721,000","-1,721,000","-867,000","-585,000","21,000","-606,000","-282,000",-,-,0,-,-,-,-,-,"-46,000",-,-,-,"278,000","-545,000","823,000",-,"5,000","199,000","-54,000",-,"21,000","-606,000",-,"701,000"
51,9/30/2010,"416,000","416,000","226,000","-70,000",-,"-4,000","-73,000",-,"81,000","81,000","82,000","82,000",-,-,0,-,"112,000","685,000",-,"-93,000",-,"255,000","255,000","-1,124,000","-2,473,000","1,349,000",-,-,"1,363,000","1,363,000",-,"-48,000","-48,000",0,-,-,-,-,-,-,"-439,000","-439,000","564,000","741,000","758,000","-17,000","-177,000",-,-,0,-,-,-,-,-,"-46,000",-,-,-,"823,000","232,000","591,000",-,"2,000","152,000","-48,000",-,"-815,000","-17,000",-,"368,000"
52,6/30/2010,"710,000","710,000","74,000","-17,000",-,"-2,000","2,000",-,"85,000","85,000","43,000","43,000","349,000",-,0,-,"218,000","-42,000",-,"-42,000",-,"1,498,000","1,498,000","-496,000","-1,501,000","1,005,000",-,-,"1,983,000","1,983,000",-,"-33,000","-33,000",0,-,-,-,-,-,"44,000","-2,236,000","-2,236,000","584,000","-698,000","9,000","-707,000","1,282,000","1,282,000",-,-,-,-,-,-,-,"-46,000",-,-,-,"591,000","-28,000","619,000",-,"3,000","242,000","-33,000",-,"1,291,000","-707,000",-,"677,000"
53,3/31/2010,"843,000","843,000","-39,000","-48,000",-,"-8,000","-3,000",-,"88,000","88,000","-109,000","-109,000","351,000",-,0,-,"411,000","189,000",-,"189,000",-,"-200,000","-200,000","-2,407,000","-3,255,000","848,000",-,-,"2,192,000","2,192,000",-,"-20,000","-21,000","1,000",-,-,-,-,-,"35,000","-495,000","-495,000","-27,000","-318,000","9,000","-327,000","291,000","291,000",-,-,-,-,-,-,-,"-46,000",-,-,-,"619,000","148,000","471,000",-,"154,000","286,000","-21,000",-,"300,000","-327,000",-,"822,000"
54,12/31/2009,"853,000","853,000","-188,000","366,000",-,"-15,000","3,000","300,000","87,000","87,000","-103,000","-103,000","-226,000",-,0,-,"766,000","151,000","249,000","197,000",-,"2,545,000","2,545,000","-45,000","-1,987,000","1,942,000",-,-,"2,633,000","2,633,000",-,"-98,000","-101,000","3,000",-,-,0,-,-,"55,000","-3,652,000","-3,652,000","-1,918,000","-1,865,000","277,000","-2,142,000","-53,000",-,"-53,000","-1,000","-1,000",-,-,-,-,"-45,000",-,0,-,"471,000","-254,000","725,000",-,"-44,000","301,000","-101,000","-1,000","277,000","5,757,000",-,"752,000"
55,9/30/2009,"879,000","879,000","-402,000","-5,000",-,"-22,000","-1,000","1,000","95,000","95,000","-362,000","-362,000","786,000",-,"45,000",-,"708,000","14,000",-,"-708,000",-,"999,000","999,000","-2,835,000","-5,578,000","2,743,000",-,-,"3,831,000","3,831,000",-,"-44,000","-55,000","11,000",-,-,0,-,-,"47,000","-1,864,000","-1,864,000","-1,328,000","-223,000","30,000","-253,000","-1,105,000",-,"-1,105,000",0,0,-,-,-,-,"-46,000",-,0,-,"725,000","14,000","723,000",-,"56,000","333,000","-55,000",0,"30,000","-1,358,000",-,"824,000"
56,6/30/2009,"551,000","551,000","-223,000","-383,000",-,-,"-125,000","3,000","98,000","98,000","-237,000","-237,000","360,000",-,"-27,000",-,"877,000","86,000",-,"762,000",-,"-1,658,000","-1,658,000","-4,222,000","-7,563,000","3,341,000",-,-,"2,596,000","2,596,000",-,"-39,000","-40,000","1,000",-,-,0,-,-,"7,000","1,193,000","1,193,000","-1,630,000","-1,020,000","11,000","-1,031,000","-610,000",-,"-610,000","987,000",-,-,-,-,-,"-47,000",-,"-3,000",-,"723,000","86,000","637,000",-,"-17,000","-147,000","-40,000",-,"11,000","-1,641,000",-,"511,000"
57,3/31/2009,"37,000","37,000","-498,000","-27,000",-,-,"-91,000","-8,000","102,000","102,000","-176,000","-176,000","-282,000",-,"223,000",-,"875,000","-180,000",-,"-180,000",-,"4,723,000","4,723,000","2,364,000","-556,000","2,920,000",-,-,"2,386,000","2,386,000",-,"-32,000","-33,000","1,000",-,-,0,-,-,"5,000","-5,380,000","-5,380,000","-6,039,000","145,000","445,000","-300,000","-6,184,000",-,"-6,184,000",0,-,-,-,-,-,"-75,000",-,"-2,000",-,"637,000","-620,000","1,257,000",-,"126,000","1,002,000","-33,000",-,"445,000","-6,484,000",-,"4,000"
58,12/31/2008,"-964,000","-964,000","-524,000","441,000",-,-,"-127,000",-,"104,000","104,000","-1,476,000","-1,476,000","-1,604,000",-,-,-,-,"-209,000",-,-,-,"-4,448,000","-4,448,000","-4,368,000","-5,099,000","731,000",-,-,-,-,-,"-88,000",-,-,-,-,"27,000",-,-,"119,000","4,732,000","4,732,000","1,697,000","-1,187,000","1,508,000","-2,695,000","2,884,000",-,-,"2,413,000",-,-,-,-,-,"-42,000",-,0,-,"1,257,000","-680,000","1,937,000",-,-,-,"-96,000",-,"1,508,000","-2,695,000",-,"-1,060,000"
59,9/30/2008,"918,000","918,000","-36,000","-40,000",-,-,"-40,000",-,"110,000","110,000","-94,000","-94,000","502,000",-,-,-,-,"476,000",-,-,-,"-1,012,000","-1,012,000","184,000","-313,000","497,000",-,-,-,-,-,"-20,000",-,-,-,-,0,-,-,"-1,176,000","119,000","119,000","-144,000","778,000","1,057,000","-279,000","-922,000",-,-,"87,000",-,-,-,-,-,"-105,000",-,"-1,000",-,"1,937,000","25,000","1,912,000",-,-,-,"-20,000",-,"1,057,000","-279,000",-,"898,000"
60,6/30/2008,"-463,000","-463,000","-1,126,000","-23,000",-,-,"78,000",-,"107,000","107,000","-64,000","-64,000","953,000",-,-,-,-,"-310,000",-,-,-,"-711,000","-711,000","-361,000","-838,000","477,000",-,-,-,-,-,"-40,000",-,-,-,-,0,-,-,"-310,000","1,356,000","1,356,000","210,000","1,105,000","1,659,000","-554,000","-895,000",-,-,"1,604,000",-,-,-,-,-,"-150,000",-,-,-,"1,912,000","182,000","1,730,000",-,-,-,"-40,000",-,"1,659,000","-554,000",-,"-503,000"
61,3/31/2008,"289,000","289,000","218,000","89,000",-,-,"-12,000",-,"110,000","110,000","-87,000","-87,000","140,000",-,-,-,-,"-181,000",-,-,-,"-301,000","-301,000","798,000","-507,000","1,305,000",-,-,-,-,-,"-46,000",-,-,-,-,"-184,000",-,-,"-869,000","-72,000","-72,000","275,000","1,885,000","2,241,000","-356,000","-1,610,000",-,-,"3,000",-,-,-,-,-,"-148,000",-,-,-,"1,730,000","-84,000","1,814,000",-,-,-,"-46,000",-,"2,241,000","-356,000",-,"243,000"
62,12/31/2007,"404,000","404,000","25,000","-1,105,000",-,-,"-151,000",-,"109,000","109,000","-21,000","-21,000","-296,000",-,-,-,-,"1,158,000",-,-,-,"-2,257,000","-2,257,000","-136,000","-662,000","526,000",-,-,-,-,-,"-134,000",-,-,-,-,-,-,-,"-2,039,000","1,651,000","1,651,000","2,407,000","168,000","261,000","-93,000","2,239,000",-,-,"1,000",-,-,-,-,-,"-143,000",-,0,-,"1,814,000","-202,000","2,016,000",-,-,-,"-143,000",-,"261,000","-93,000",-,"261,000"
63,9/30/2007,"-169,000","-169,000","210,000","-27,000",-,-,"-18,000",-,"107,000","107,000","3,000","3,000","-151,000",-,-,-,-,"-311,000",-,-,-,"-2,415,000","-2,415,000","-496,000","-903,000","407,000",-,-,-,-,-,"4,000",-,-,-,-,-,-,-,"-1,923,000","2,782,000","2,782,000","-143,000","-1,291,000","354,000","-1,645,000","1,148,000",-,-,"-51,000",-,-,-,-,-,"-141,000",-,"2,000",-,"2,016,000","198,000","1,818,000",-,-,-,-,-,"354,000","-1,645,000",-,"-165,000"
64,6/30/2007,"-103,000","-103,000","334,000","-125,000",-,-,"-35,000",-,"104,000","104,000","-2,000","-2,000","280,000",-,-,-,-,"-694,000",-,-,-,"-465,000","-465,000","991,000","470,000","521,000",-,-,-,-,-,"-35,000",-,-,-,-,-,-,-,"-1,421,000","334,000","334,000","-148,000","-263,000","26,000","-289,000","115,000",-,-,"-204,000",-,-,-,-,-,"-141,000",-,"2,000",-,"1,818,000","-234,000","2,052,000",-,-,-,"-35,000",-,"26,000","-289,000",-,"-138,000"
65,3/31/2007,"-327,000","-327,000","350,000","-162,000",-,-,"38,000",-,"105,000","105,000","-54,000","-54,000","-269,000",-,-,-,-,"-297,000",-,-,-,"-674,000","-674,000","-717,000","-4,568,000","3,851,000",-,-,-,-,-,"-22,000",-,-,-,-,-,-,-,"65,000","789,000","789,000","500,000","-1,543,000","13,000","-1,556,000","2,043,000",-,-,"-229,000",-,-,-,-,-,"-145,000",-,"9,000",-,"2,052,000","-212,000","2,264,000",-,-,-,"-22,000",-,"13,000","-1,556,000",-,"-349,000"
66,12/31/2006,"1,514,000","1,514,000","146,000","-330,000",-,-,"-56,000",-,"105,000","105,000","257,000","257,000","-181,000",-,-,-,-,"1,200,000",-,-,-,"2,085,000","2,085,000","-91,000","-2,033,000","1,942,000",-,-,-,-,-,"-50,000",-,-,-,-,"2,520,000",-,-,"2,226,000","-4,292,000","-4,292,000","-1,694,000","766,000","1,407,000","-641,000","-2,460,000",-,-,"-150,000",-,-,-,-,-,"-137,000",-,"2,000",-,"2,264,000","-693,000","2,957,000",-,-,-,"-56,000",-,"1,407,000","-641,000",-,"1,458,000"
67,9/30/2006,"-99,000","-99,000","312,000","-35,000",-,-,"27,000",-,"100,000","100,000","-35,000","-35,000","60,000",-,-,-,-,"-501,000",-,-,-,"-888,000","-888,000","-172,000","-1,093,000","921,000",-,-,-,-,-,"-34,000",-,-,-,-,0,-,-,"-682,000","1,130,000","1,130,000","696,000","-585,000","264,000","-849,000","1,281,000",-,-,"-23,000",-,-,-,-,-,"-140,000",-,"7,000",-,"2,957,000","143,000","2,814,000",-,-,-,"-34,000",-,"264,000","-849,000",-,"-133,000"
68,6/30/2006,"-473,000","-473,000","308,000","-37,000",-,-,"-27,000",-,"98,000","98,000","-199,000","-199,000","-216,000",-,-,-,-,"-427,000",-,-,-,"-403,000","-403,000","168,000","-728,000","896,000",-,-,-,-,-,"-25,000",-,-,-,-,-,-,-,"-512,000","1,204,000","1,204,000","15,000","20,000","779,000","-759,000","-5,000",-,-,"-118,000",-,-,-,-,-,"-140,000",-,"6,000",-,"2,814,000","328,000","2,486,000",-,-,-,"-25,000",-,"779,000","-759,000",-,"-498,000"
69,3/31/2006,"63,000","63,000","289,000","-8,000",-,-,"2,000",-,"94,000","94,000","4,000","4,000","18,000",-,-,-,-,"-334,000",-,-,-,"-673,000","-673,000","-126,000","-1,335,000","1,209,000",-,-,-,-,-,"-5,000",-,-,-,-,-,-,-,"-542,000","-12,000","-12,000","-419,000","177,000","566,000","-389,000","-596,000",-,-,"-109,000",-,-,-,-,-,"-140,000",-,"13,000",-,"2,486,000","-622,000","3,108,000",-,-,-,"-5,000",-,"566,000","-389,000",-,"58,000"
70,12/31/2005,"708,000","708,000","296,000","-57,000",-,-,"-3,000",-,"93,000","93,000","-32,000","-32,000","140,000",-,-,-,-,"268,000",-,-,-,"-913,000","-913,000","620,000","-775,000","1,395,000",-,-,-,-,-,"-118,000",-,-,-,-,"-187,000",-,-,"-1,228,000","653,000","653,000","160,000","-10,000","544,000","-554,000","170,000",-,-,"-73,000",-,-,-,-,-,"-133,000",-,-,-,"3,108,000","448,000","2,660,000",-,-,-,"-118,000",-,"544,000","-554,000",-,"590,000"
71,9/30/2005,"1,186,000","1,186,000","278,000","-46,000",-,-,"10,000",-,"91,000","91,000","89,000","89,000","1,143,000",-,-,-,-,"-369,000",-,-,-,"-2,298,000","-2,298,000","-230,000","-1,454,000","1,224,000",-,-,-,-,-,"-10,000",-,-,-,-,"-25,000",-,-,"-2,033,000","804,000","804,000","920,000","614,000","752,000","-138,000","306,000",-,-,0,-,-,-,-,-,"-133,000",-,-,-,"2,660,000","-308,000","2,968,000",-,-,-,"-10,000",-,"752,000","-138,000",-,"1,176,000"
72,6/30/2005,"95,000","95,000","291,000","-12,000",-,-,"-2,000",-,"126,000","126,000","45,000","45,000","-524,000",-,-,-,-,"169,000",-,-,-,"-502,000","-502,000","866,000","-30,000","896,000",-,-,-,-,-,"-15,000",-,-,-,-,"-2,000",-,-,"-1,351,000","384,000","384,000","-430,000","-529,000","525,000","-1,054,000","99,000",-,-,"17,000",-,-,-,-,-,"-133,000",-,-,-,"2,968,000","-23,000","2,991,000",-,-,-,"-15,000",-,"525,000","-1,054,000",-,"80,000"
73,3/31/2005,"179,000","179,000","264,000","-25,000",-,-,"-6,000",-,"48,000","48,000","3,000","3,000","-56,000",-,-,-,-,"-55,000",-,-,-,"71,000","71,000","-1,201,000","-2,132,000","931,000",-,-,-,-,-,"-12,000",-,-,-,-,"-5,000",-,-,"1,289,000","287,000","287,000","1,166,000","-214,000","1,227,000","-1,441,000","1,380,000",-,-,"-44,000",-,-,-,-,-,"-132,000",-,-,-,"2,991,000","537,000","2,454,000",-,-,-,"-12,000",-,"1,227,000","-1,441,000",-,"167,000"
74,12/31/2004,"1,508,000","1,508,000","213,000","27,000",-,-,"-2,000",-,"101,000","101,000","232,000","232,000","276,000",-,-,-,-,"659,000",-,-,-,"-3,013,000","-3,013,000","246,000","-303,000","549,000",-,-,-,-,-,"-27,000",-,-,-,-,"-1,702,000",-,-,"-1,530,000","975,000","975,000","-379,000","1,242,000","1,632,000","-390,000","-1,621,000",-,-,"48,000",-,-,-,-,-,"-126,000",-,-,-,"2,454,000","-530,000","2,984,000",-,-,-,"-27,000",-,"1,632,000","-390,000",-,"1,481,000"
