,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Total Tax Payable,Income Tax Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
113,12/31/1994,"33,429,900","2,247,200","2,201,200",-,"1,822,300","378,900","46,000","46,000",-,"33,600","7,880,800","4,300","7,876,500",-,-,-,"21,883,100","22,209,300",-,-,-,"22,209,300","326,200",-,-,-,-,-,-,"437,800",-,-,-,-,-,-,-,-,"947,400","31,038,100","22,432,300","17,174,900",-,"17,174,900","5,257,400","2,594,100",-,-,-,-,-,"1,611,200","1,611,200",-,"1,611,200",-,"4,097,900","4,097,900",-,-,"302,600","2,391,800","2,391,800",-,-,-,"1,390,400",-,-,-,"1,001,400","6,489,700",-,"2,391,800","2,391,800","8,100,900","2,391,800","5,709,100","3,507,900","175,280","175,280",-,-
114,9/30/1994,"31,803,600","1,736,800","1,686,300",-,"1,410,900","275,400","50,500","50,500",-,"38,500","8,138,000","8,500","8,129,500",-,-,-,"20,488,800","20,816,800",-,-,-,"20,816,800","328,000",-,-,-,-,-,-,"440,300",-,-,-,-,-,-,-,-,"961,200","29,417,900","20,324,700","15,707,000",-,"15,707,000","4,617,700","1,655,500",-,-,-,-,-,"3,528,500","3,528,500",-,"3,528,500",-,"3,602,400","3,602,400",-,-,"306,800","2,385,700","2,385,700",-,-,-,"1,331,400",-,-,-,"1,054,300","5,988,100",-,"2,385,700","2,385,700","9,516,600","2,385,700","7,130,900","5,444,600","177,063","177,063",-,-
115,6/30/1994,"31,609,000","1,980,800","1,952,300",-,"1,427,600","524,700","28,500","28,500",-,"39,600","8,316,600","9,300","8,307,300",-,-,-,"19,951,000","20,272,900",-,-,-,"20,272,900","321,900",-,-,-,-,-,-,"421,200",-,-,-,-,-,-,-,-,"899,800","29,262,700","20,643,600","15,625,700",-,"15,625,700","5,017,900","626,700",-,-,-,-,-,"5,023,800","5,023,800",-,"5,023,800",-,"2,705,300","2,705,300",-,-,"263,300","2,346,300","2,346,300",-,-,-,"1,270,000",-,-,-,"1,076,300","5,051,600",-,"2,346,300","2,346,300","10,075,400","2,346,300","7,729,100","5,776,800","177,567","177,567",-,-
116,3/31/1994,"32,169,200","2,499,500","2,378,500",-,"1,586,900","791,600","121,000","121,000",-,"35,300","8,484,900","5,800","8,479,100",-,-,-,"19,801,000","20,120,600",-,-,-,"20,120,600","319,600",-,-,-,-,-,-,"414,500",-,-,-,-,-,-,-,-,"934,000","29,851,300","21,620,500","16,342,000",-,"16,342,000","5,278,500","1,847,500",-,-,-,-,-,"4,152,100","4,152,100",-,"4,152,100",-,"1,885,500","1,885,500",-,-,"345,700","2,317,900","2,317,900",-,-,-,"1,209,600",-,-,-,"1,108,300","4,203,400",-,"2,317,900","2,317,900","8,355,500","2,317,900","6,037,600","3,659,100","177,672","177,672",-,-
117,12/31/1993,"30,294,900","3,719,000","2,627,200",-,"1,600,700","1,026,500","1,091,800","1,091,800",-,"38,200","6,303,200","3,600","6,299,600",-,-,-,"18,801,300","19,100,000",-,-,-,"19,100,000","298,700",-,-,-,-,-,-,"399,100",-,-,-,-,-,-,-,-,"1,034,100","28,113,200","20,949,800","16,010,600",-,"16,010,600","4,939,200","450,100",-,-,-,-,-,"4,950,500","4,950,500",-,"4,950,500",-,"1,460,600","1,460,600",-,-,"302,200","2,181,700","2,181,700",-,-,-,"1,155,300",-,-,-,"1,026,400","3,642,300",-,"2,181,700","2,181,700","8,592,800","2,181,700","6,411,100","3,783,900","172,220","172,220",-,-
118,9/30/1993,"28,469,900","2,353,800","2,313,000",-,"1,407,600","905,400","40,800","40,800",-,"41,800","6,330,700","10,400","6,320,300",-,-,-,"18,446,000","18,751,900",-,-,-,"18,751,900","305,900",-,-,-,-,-,-,"384,700",-,-,-,-,-,-,-,-,"912,900","26,260,600","20,194,400","15,692,600",-,"15,692,600","4,501,800","841,000",-,-,-,-,-,-,-,-,-,-,"4,948,500","4,948,500",-,-,"276,700","2,209,300","2,209,300",-,-,-,"1,097,900",-,-,-,"1,111,400","7,157,800",-,"2,209,300","2,209,300","7,157,800","2,209,300","4,948,500","2,635,500","178,483","178,483",-,-
119,6/30/1993,"27,404,000","2,809,200","2,166,700",-,"1,439,000","727,700","642,500","642,500",-,"52,600","5,116,000","10,800","5,105,200",-,-,-,"18,186,700","18,494,800",-,-,-,"18,494,800","308,100",-,-,-,-,-,-,"382,200",-,-,-,-,-,-,-,-,"857,300","25,246,600","20,731,100","16,208,100",-,"16,208,100","4,523,000","413,000",-,-,-,-,-,"2,725,900","2,725,900",-,"2,725,900",-,"1,103,300","1,103,300",-,-,"273,300","2,157,400","2,157,400",-,-,-,"1,050,600",-,-,-,"1,106,800","3,260,700",-,"2,157,400","2,157,400","5,986,600","2,157,400","3,829,200","1,662,500","178,144","178,144",-,-
120,3/31/1993,"26,426,700","2,670,200","2,651,500",-,"1,805,200","846,300","18,700","18,700",-,"36,100","5,365,100","2,900","5,362,200",-,-,-,"17,398,300","17,699,700",-,-,-,"17,699,700","301,400",-,-,-,-,-,-,"366,500",-,-,-,-,-,-,-,-,"590,500","24,365,100","20,286,100","16,098,500",-,"16,098,500","4,187,600","1,976,000",-,-,-,-,-,"921,800","921,800",-,"921,800",-,"902,700","902,700",-,-,"278,500","2,061,600","2,061,600",-,-,-,"963,200",-,-,-,"1,098,400","2,964,300",-,"2,061,600","2,061,600","3,886,100","2,061,600","1,824,500",-,"174,535","174,535",-,-
121,12/31/1992,"26,586,800","2,856,600","2,798,800",-,"1,485,500","1,313,300","57,800","57,800",-,"23,500","5,093,200","109,400","4,983,800",-,-,-,"17,509,600","17,807,700",-,-,-,"17,807,700","298,100",-,-,-,-,-,-,"365,700",-,-,-,-,-,-,-,-,"738,200","24,557,400","20,394,700","16,029,000",-,"16,029,000","4,365,700","1,567,300",-,-,-,-,-,"1,567,600","1,567,600",-,"1,567,600",-,"737,000","737,000",-,-,"290,800","2,029,400","2,029,400","37,600","37,600",-,"1,190,200",-,-,-,"801,600","2,766,400","37,600","1,991,800","2,029,400","4,296,400","1,991,800","2,304,600",-,"172,228","172,228",-,-
122,9/30/1992,"26,664,200","3,713,900","2,441,400",-,"1,613,000","828,400","1,272,500","1,272,500",-,"28,700","4,881,900","72,900","4,809,000",-,-,-,"16,895,000","17,176,200",-,-,-,"17,176,200","281,200",-,-,-,-,-,-,"339,300",-,-,-,-,-,-,-,-,"805,400","24,706,200","19,898,600","16,140,400",-,"16,140,400","3,758,200","670,400",-,-,-,-,-,"3,281,300","3,281,300",-,"3,281,300",-,"495,700","495,700",-,-,"360,200","1,958,000","1,958,000","37,600","37,600",-,"1,136,700",-,-,-,"783,700","2,453,700","37,600","1,920,400","1,958,000","5,697,400","1,920,400","3,777,000","1,335,600","170,766","170,766",-,-
123,6/30/1992,"26,754,700","3,971,600","2,459,300",-,"1,453,900","1,005,400","1,512,300","1,512,300",-,"34,800","4,613,000","13,700","4,599,300",-,-,-,"17,001,200","17,278,300",-,-,-,"17,278,300","277,100",-,"614,100","614,100","614,100",-,-,"346,100",-,-,-,-,-,-,-,-,"173,900","24,853,600","20,643,000","16,872,900",-,"16,872,900","3,770,100","780,900","363,300","363,300",-,-,-,"2,734,000","2,734,000",-,"2,734,000",-,"297,400","297,400",-,-,"35,000","1,901,100","1,901,100","37,600","37,600",-,"1,081,300",-,-,-,"782,200","2,198,500","37,600","1,863,500","1,901,100","4,894,900","1,863,500","3,031,400","572,100","170,564","170,564",-,-
124,3/31/1992,"14,162,500","1,248,800","1,248,800",-,"744,200","504,600",-,-,-,"1,600","2,992,600",-,"2,992,600",-,-,-,"9,132,600","9,257,600",-,-,-,"9,257,600","125,000",-,"86,900","86,900","86,900",-,-,"178,000",-,-,-,-,-,-,-,-,"522,000","12,021,900","11,301,700","9,298,500",-,"9,298,500","2,003,200","112,100",-,-,-,-,-,"222,600","222,600",-,"222,600",-,"244,000","244,000",-,-,"141,500","2,140,600","2,140,600","37,600","37,600",-,"663,000",-,-,-,"1,440,000","2,384,600","37,600","2,103,000","2,140,600","2,569,600","2,103,000","466,600",-,"93,748","93,748",-,-
125,12/31/1991,"14,450,800","1,487,800","1,487,800",-,"780,800","707,000",-,-,-,"2,700","3,115,500",-,"3,115,500",-,-,-,"9,090,100","9,354,100",-,-,-,"9,354,100","123,000","-141,000","92,900","92,900","92,900",-,-,"178,300",-,-,-,-,-,-,-,-,"483,500","13,398,700","11,441,100","9,520,600",-,"9,520,600","1,920,500",-,-,-,-,-,-,"1,526,400","1,526,400",-,"1,526,400",-,"244,300","244,300",-,-,"186,900","1,052,100","1,052,100","37,600","37,600",-,"634,600",-,-,-,"379,900","1,296,400","37,600","1,014,500","1,052,100","2,785,200","1,014,500","1,770,700","282,900","93,433","93,433",-,-
126,9/30/1991,"14,342,400","1,838,500","1,838,500",-,"819,300","1,019,200",-,-,-,"5,200","2,837,000",-,"2,837,000",-,-,-,"8,821,100","8,940,100",-,-,-,"8,940,100","119,000",-,"108,800","108,800","108,800",-,-,"174,200",-,-,-,-,-,-,-,-,"557,600","13,336,500","11,372,200","9,463,700",-,"9,463,700","1,908,500","645,600",-,-,-,-,-,"817,300","817,300",-,"817,300",-,"282,000","282,000",-,-,"219,400","1,005,900","1,005,900","37,600","37,600",-,"602,800",-,-,-,"365,500","1,287,900","37,600","968,300","1,005,900","2,067,600","968,300","1,099,300",-,"93,358","93,358",-,-
127,6/30/1991,"13,948,600","1,413,900","1,413,900",-,"748,800","665,100",-,-,-,"2,300","3,082,100",-,"3,082,100",-,-,-,"8,731,100","8,851,600",-,-,-,"8,851,600","120,500",-,"113,400","113,400","113,400",-,-,"175,100",-,-,-,-,-,-,-,-,"430,700","12,947,800","11,369,700","9,338,100",-,"9,338,100","2,031,600","245,200",-,-,-,-,-,"832,800","832,800",-,"832,800",-,"262,400","262,400",-,-,"237,700","1,000,800","1,000,800","37,600","37,600",-,"586,100",-,-,-,"377,100","1,263,200","37,600","963,200","1,000,800","2,058,400","963,200","1,095,200",-,"93,099","93,099",-,-
128,3/31/1991,"13,604,200","1,178,500","1,178,500",-,"611,700","566,800",-,-,-,"21,400","3,188,300",-,"3,188,300",-,-,-,"8,552,400","8,784,100",-,-,-,"8,784,100","116,000","-115,700","120,900","120,900","120,900",-,-,"171,700",-,-,-,-,-,-,-,-,"371,000","12,738,700","11,005,500","9,256,500",-,"9,256,500","1,749,000","784,200",-,-,-,-,-,"430,200","430,200",-,"430,200",-,"263,300","263,300",-,-,"255,500","865,500","865,500","37,600","37,600",-,"562,500",-,-,-,"265,400","1,128,800","37,600","827,900","865,500","1,521,400","827,900","693,500",-,"93,099","93,099",-,-
129,12/31/1990,"13,300,400","1,333,900","1,333,900",-,"654,600","679,300",-,-,-,"6,700","3,144,600",-,"3,144,600",-,-,-,"8,178,200","8,285,700",-,-,-,"8,285,700","107,500",-,"108,300","108,300","108,300",-,-,"165,200",-,-,-,-,-,-,-,-,"363,500","12,509,200","10,754,600","8,949,100",-,"8,949,100","1,805,500","897,400",-,-,-,-,-,"366,400","366,400",-,"366,400",-,"263,800","263,800",-,-,"227,000","791,200","791,200","37,600","37,600",-,"523,500",-,-,-,"230,100","1,055,000","37,600","753,600","791,200","1,383,800","753,600","630,200",-,"93,099","93,099",-,-
130,9/30/1990,"13,300,900","1,341,800","1,341,800",-,"708,200","633,600",-,-,-,"4,400","2,898,200",-,"2,898,200",-,-,-,"7,940,400","8,173,000",-,-,-,"8,173,000","103,000","-129,600","109,400","109,400","109,400",-,-,"160,700",-,-,-,-,-,-,-,-,"846,000","12,531,300","10,780,700","9,115,500",-,"9,115,500","1,665,200","671,100",-,-,-,-,-,"565,900","565,900",-,"565,900",-,"271,800","271,800",-,-,"241,800","769,600","769,600","37,600","37,600",-,"503,800",-,-,-,"228,200","1,041,400","37,600","732,000","769,600","1,569,700","732,000","837,700",-,"93,099","93,099",-,-
131,6/30/1990,"12,214,200","1,088,500","1,088,500",-,"686,800","401,700",-,-,-,"3,100","2,567,500",-,"2,567,500",-,-,-,"7,956,100","8,186,500",-,-,-,"8,186,500","102,200","-128,200","106,000","106,000","106,000",-,-,"156,300",-,-,-,-,-,-,-,-,"336,700","11,467,500","9,908,200","8,137,900",-,"8,137,900","1,770,300","599,400",-,-,-,-,-,"466,500","466,500",-,"466,500",-,"273,000","273,000",-,-,"220,400","746,700","746,700","37,600","37,600",-,"482,100",-,-,-,"227,000","1,019,700","37,600","709,100","746,700","1,448,600","709,100","739,500",-,"93,099","93,099",-,-
132,3/31/1990,"11,961,100","979,700","979,700",-,"585,100","394,600",-,-,-,"1,100","2,691,800",-,"2,691,800",-,-,-,"7,710,600","7,937,000",-,-,-,"7,937,000","98,000","-128,400","107,700","107,700","107,700",-,-,"152,500",-,-,-,-,-,-,-,-,"317,700","11,235,300","9,746,500","8,163,800",-,"8,163,800","1,582,700","853,100",-,-,-,-,-,"144,900","144,900",-,"144,900",-,"273,600","273,600",-,-,"217,200","725,800","725,800","37,600","37,600",-,"431,600",-,-,-,"256,600","999,400","37,600","688,200","725,800","1,106,700","688,200","418,500",-,"93,099","93,099",-,-
133,12/31/1989,"12,149,500","1,341,400","1,341,400",-,"684,300","657,100",-,-,-,"1,000","2,519,000",-,"2,519,000",-,-,-,"7,748,600","7,945,600",-,-,-,"7,945,600","197,000",-,"112,100",-,-,-,-,"150,900",-,-,-,-,-,-,-,-,"276,500","11,444,700","9,882,700","8,141,000",-,"8,141,000","1,741,700","808,300",-,-,-,-,-,"276,700","276,700",-,"276,700",-,"274,300","274,300",-,-,"202,700","704,800","704,800","37,600","37,600",-,"441,600",-,-,-,"225,600","979,100","37,600","667,200","704,800","1,218,200","667,200","551,000",-,"93,099","93,099",-,-
