,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
132,6/30/1990,"95,600","59,000","148,500","103,000","103,000","32,100",-,-,"13,400","89,500","73,300","13,100","3,100",-,-,"36,600",-,"23,300","23,300","9,300","3,800",-,-,"10,200",-,-,-,-,-800,-800,-,-,"14,100","-9,300","62,300","6,900",-,-,-,"33,400","33,400","33,400",-,-,-,-,-,-,-,"22,000",-,-,-,-,-,-,"24,100","7,900","16,200","16,200","16,200","16,200",-,-,-,-,-,"16,200",0.14,0.14,"114,388","114,388","49,700","16,200","16,200",-,"6,000","16,200",-,-,0,0
133,3/31/1990,"89,700","59,300","147,400","104,200","104,200","30,800",-,-,"12,400","88,100","70,700","14,400","3,000",-,-,"30,400",-,"19,000","19,000","8,700","3,300",-,-,"7,000",-,-,-,-,-,-,-,-,"11,400","-24,000","60,700","6,800",-,-,-,"31,500","31,500","31,500",-,-,-,-,-,-,-,"22,400",-,-,-,-,-,-,"5,000","1,500","3,500","3,500","3,500","3,500",-,-,-,-,-,"3,500",0.03,0.03,"105,032","105,032","35,300","3,500","3,500",-,"6,700","3,500",-,-,0,0
134,12/31/1989,"94,300","59,000","150,800","107,700","107,700","29,900",-,-,"13,200","91,800","72,600","16,100","3,100",-,-,"35,300",-,"22,600","22,600","9,100","3,900",-,-,"9,600",-,-,-,-,"1,400","1,400",-,-,"11,300","-12,500","66,200","11,500",-,-,-,"33,900","33,900","33,900",-,-,-,-,-,-,-,"20,800",-,-,-,-,-,-,"15,700","2,900","12,800","12,800","12,800","12,800",-,-,-,-,-,"12,800",-,-,-,-,"46,500","12,800","12,800",-,"6,800","12,800",-,-,0,0
135,9/30/1989,"87,500","55,000","146,800","107,000","107,000","27,300",-,-,"12,500","91,800","74,400","14,400","3,100",-,-100,"32,500",-,"21,600","21,600","9,000","3,400",-,-,"9,200",-,-,-,-,-,-,-,-,"10,900","-6,100","62,000","9,600",-,-,-,"33,900","33,900","33,900",-,-,-,-,-,-,-,"18,500",-,-,-,-,-,-,"19,300","5,200","14,100","14,100","14,100","14,100",-,-,-,-,-,"14,100",0.12,0.12,"112,835","112,835","48,900","14,100","14,100",-,-,"14,100",-,-,0,0
136,6/30/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-10,900","-10,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,3/31/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,900","12,900",-,-,-,-,-,-,0.12,0.12,-,-,-,-,-,-,-,-,-,-,-,-
138,12/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,900","13,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,9/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,200","13,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,6/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,100","13,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,3/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,100","12,100",-,-,-,-,-,-,0.11,0.11,-,-,-,-,-,-,-,-,-,-,-,-
142,12/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,400","3,400",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,9/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"13,100","13,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,6/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,800","3,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,3/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,900","11,900",-,-,-,-,-,-,0.12,0.12,-,-,-,-,-,-,-,-,-,-,-,-
146,12/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,400","11,400",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,9/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,500","12,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,6/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,600","12,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,3/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,900","10,900",-,-,-,-,-,-,0.12,0.12,-,-,-,-,-,-,-,-,-,-,-,-
150,12/31/1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,000","8,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,9/30/1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,300","9,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
