,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
98,9/30/1998,"17,248,000","863,400","863,400",-,"860,600","2,800",-,-,-,-,-,-,-,-,"2,594,800",-,"2,594,800",-,-,-,"11,022,300","11,157,700",-,-,-,-,"11,157,700","135,400",-,"1,469,100",-,-,"252,400",-,-,-,-,-,-,-,"129,100",-,-,"916,900","16,196,800","11,100,500","8,384,400","8,384,400","2,716,100","2,136,500",-,-,"1,257,100","1,257,100",-,-,"1,336,200","1,336,200",-,"1,336,200",-,-,"366,500","366,500",-,-,-,"1,051,200","1,051,200",-,-,-,"867,900",-,-,-,"183,300",-,"1,417,700",-,"1,051,200","922,100","2,753,900","922,100","1,702,700","839,300","153,752","153,752",-
99,6/30/1998,"16,570,600","920,200","920,200",-,"917,700","2,500",-,-,-,-,-,-,-,-,"3,043,900",-,"3,043,900",-,-,-,"10,299,400","10,429,300",-,-,-,-,"10,429,300","129,900",-,"1,408,900",-,-,"241,200",-,-,-,-,-,-,-,"125,900",-,-,"531,100","15,585,100","10,943,400","8,094,900","8,094,900","2,848,500","1,760,500",-,-,"1,264,900","1,264,900",-,-,"1,249,800","1,249,800",-,"1,249,800",-,-,"366,500","366,500",-,-,-,"985,500","985,500",-,-,-,"827,200",-,-,-,"158,300",-,"1,352,000",-,"985,500","859,600","2,601,800","859,600","1,616,300","696,100","153,282","153,282",-
100,3/31/1998,"15,897,600","861,200","861,200",-,"848,500","12,700",-,-,-,-,-,-,-,-,"2,335,000",-,"2,335,000",-,-,-,"10,606,400","10,736,400",-,-,-,-,"10,736,400","130,000",-,"1,291,000",-,-,"207,600",-,-,-,-,-,-,-,"127,900",-,-,"468,500","14,920,000","10,814,800","8,041,800","8,041,800","2,773,000","1,685,000",-,-,"1,251,500","1,251,500",-,-,"802,100","802,100",-,"802,100",-,-,"366,600","366,600",-,-,-,"977,600","977,600",-,-,-,"830,500",-,-,-,"147,100",-,"1,344,200",-,"977,600","849,700","2,146,300","849,700","1,168,700","307,500","153,418","153,418",-
101,12/31/1997,"14,387,900","1,004,100","1,004,100",-,"1,001,600","2,500",-,-,-,-,-,-,-,-,"3,680,400",-,"3,680,400",-,-,-,"8,185,500","8,311,400",-,-,-,-,"8,311,400","125,900",-,"777,400",-,-,"206,900",-,-,-,-,-,-,-,"112,400",-,-,"421,200","13,433,800","9,671,700","7,135,700","7,135,700","2,536,000","2,085,700",-,-,-,-,-,-,"702,400","702,400",-,"702,400",-,-,"268,900","268,900",-,-,"705,100","954,100","954,100",-,-,-,"811,400",-,-,-,"142,700",-,"1,223,000",-,"954,100","841,700","1,925,400","841,700","971,300",-,"153,898","153,898",-
102,9/30/1997,"14,082,400","971,900","971,900",-,"970,200","1,700",-,-,-,-,-,-,-,-,"2,413,500",-,"2,413,500",-,-,-,"8,992,000","9,115,900",-,-,-,-,"9,115,900","123,900",-,"1,010,700",-,-,"201,400",-,-,-,-,-,-,-,"112,600",-,-,"380,300","13,173,900","9,257,100","6,910,600","6,910,600","2,346,500","1,909,900",-,-,"994,900","994,900","994,900",-,"731,800","731,800",-,"731,800",-,-,"280,300","280,300",-,-,-100,"908,500","908,500",-,-,-,"779,700",-,-,"6,800","122,000",-,"1,188,800",-,"908,500","795,900","1,920,600","795,900","1,012,100","40,200","153,791","153,791",-
103,6/30/1997,"13,679,600","993,500","993,500",-,"992,000","1,500",-,-,-,-,-,-,-,-,"2,423,800",-,"2,423,800",-,-,-,"8,697,200","8,820,700",-,-,-,-,"8,820,700","123,500",-,"916,500",-,-,"190,700",-,-,-,-,-,-,-,"113,300",-,-,"344,600","12,698,700","9,054,000","9,054,000","9,054,000",-,"1,860,000",-,-,-,-,-,-,"728,300","728,300",-,"728,300",-,-,"181,800","181,800",-,-,"874,600","980,900","880,900",-,-,-,"756,300",-,-,-,"124,600","100,000","1,062,700",-,"880,900","767,600","1,791,000","767,600","910,100",-,"153,736","153,736",-
104,3/31/1997,"12,975,500","761,100","761,100",-,"759,100","2,000",-,-,-,-,-,-,-,-,"2,487,200",-,"2,487,200",-,-,-,"8,341,800","8,463,500",-,-,-,-,"8,463,500","121,700",-,"758,500",-,-,"191,000",-,-,-,-,-,-,-,"115,700",-,-,"320,200","12,033,600","9,191,200","9,191,200","9,191,200",-,"1,517,700",-,-,-,-,-,-,"394,600","394,600",-,"394,600",-,-,"208,300","208,300",-,-,"721,800","941,900","841,900",-,-,-,"729,100",-,-,-,"112,800","100,000","1,050,200",-,"841,900","726,200","1,444,800","726,200","602,900",-,"153,501","153,501",-
105,12/31/1996,"13,058,900","1,099,900","1,099,900",-,"1,098,000","1,900",-,-,-,-,-,-,-,-,"2,389,900",-,"2,389,900",-,-,-,"8,397,800","8,515,500",-,-,-,-,"8,515,500","117,700",-,"592,300",-,-,"185,600",-,-,-,-,-,-,-,"119,500",-,-,"273,900","12,104,400","9,033,100","9,033,100","9,033,100",-,"1,881,200",-,-,-,-,-,-,"402,400","402,400",-,"402,400",-,-,"209,600","209,600",-,-,"578,100","954,500","954,500",-,-,-,"823,200",-,-,-,"131,300",-,"1,164,100",-,"954,500","835,000","1,566,500","835,000","612,000",-,"160,509","160,509",-
106,9/30/1996,"12,801,300","947,900","947,900",-,"947,000",900,-,-,-,-,-,-,-,-,"2,402,100",-,"2,402,100",-,-,-,"8,249,400","8,367,100",-,-,-,-,"8,367,100","117,700",-,"636,900",-,-,"184,900",-,-,-,-,-,-,-,"121,900",-,-,"258,200","11,876,300","9,072,100","9,072,100","9,072,100",-,"1,589,900",-,-,"636,000","636,000",-,-,"322,300","322,300",-,"322,300",-,-,"256,000","256,000",-,-,-,"925,000","925,000",-,-,-,"790,000",-,-,-,"135,000",-,"1,181,000",-,"925,000","803,100","1,503,300","803,100","578,300",-,"161,195","161,195",-
107,6/30/1996,"12,955,000","780,300","780,300",-,"778,700","1,600",-,-,-,-,-,-,-,-,"2,444,900",-,"2,444,900",-,-,-,"8,474,500","8,591,000",-,-,-,-,"8,591,000","116,500",-,"724,700",-,-,"181,600",-,-,-,-,-,-,-,"124,100",-,-,"224,900","12,062,700","8,972,400","8,972,400","8,972,400",-,"1,525,900",-,-,"715,000","715,000",-,-,"591,900","591,900",-,"591,900",-,-,"257,300","257,300",-,-,200,"892,300","892,300",-,-,-,"761,000",-,-,-,"131,300",-,"1,149,600",-,"892,300","768,200","1,741,500","768,200","849,200","68,900","161,142","161,142",-
108,3/31/1996,"12,818,400","711,800","711,800",-,"710,200","1,600",-,-,-,-,-,-,-,-,"2,593,600","358,200","2,235,400",-,-,-,"7,210,600","7,325,200",-,-,-,-,"7,325,200","114,600",-,"661,000",-,-,"179,000",-,-,-,-,-,-,-,"126,300",-,-,"1,336,100","11,935,400","8,752,600","8,752,600","8,752,600",-,"1,552,700",-,-,"804,500","804,500",-,-,"567,100","567,100",-,"567,100",-,-,"258,600","258,600",-,-,-100,"883,000","883,000",-,-,-,"736,400",-,-,-,"146,600",-,"1,141,600",-,"883,000","756,700","1,708,700","756,700","825,700","113,900","161,796","161,796",-
109,12/31/1995,"12,076,900","777,900","777,900",-,"775,800","2,100",-,-,-,-,-,-,-,-,"2,294,100",-,"2,294,100",-,-,-,"8,009,900","8,122,500",-,-,-,-,"8,122,500","112,600",-,"527,600",-,-,"177,400",-,-,-,-,-,-,-,"129,000",-,-,"161,000","11,203,700","8,582,200","8,582,200","8,582,200",-,"1,674,200",-,-,-,-,-,-,"260,000","260,000",-,"260,000",-,-,"86,500","86,500",-,-,"600,800","873,200","873,200",-,-,-,"716,900",-,-,-,"156,300",-,"959,700",-,"873,200","744,200","1,219,700","744,200","346,500",-,"161,277","161,277",-
110,9/30/1995,"11,581,100","812,400","812,400",-,"811,400","1,000",-,-,-,-,-,-,-,-,"2,929,200","224,900","2,704,300",-,-,-,"6,911,800","7,022,700",-,-,-,-,"7,022,700","110,900",-,-,-,-,"168,100",-,-,-,-,-,-,-,"103,400",-,-,"656,200","10,756,400","8,074,300","8,074,300","8,074,300",-,"1,403,100",-,-,"600,200","600,200",-,-,"477,800","477,800",-,"477,800",-,-,"201,100","201,100",-,-,-100,"824,700","824,700",-,-,-,"53,000",-,-,-,"771,700",-,"1,025,800",-,"824,700","721,300","1,503,600","721,300","678,900",-,"159,803","159,803",-
111,6/30/1995,"11,614,000","842,100","842,100",-,"840,400","1,700",-,-,-,-,-,-,-,-,"2,407,800","227,500","2,180,300",-,-,-,"7,506,600","7,617,300",-,-,-,-,"7,617,300","110,700",-,-,-,-,"165,600",-,-,-,-,-,-,-,"101,100",-,-,"590,800","10,787,200","8,113,300","6,337,900","6,337,900","1,775,400","1,558,900",-,-,"535,600","535,600",-,-,"377,100","377,100",-,"377,100",-,-,"202,300","202,300",-,-,-,"826,800","826,800",-,-,-,"660,700",-,-,"1,100","165,000",-,"1,029,100",-,"826,800","725,700","1,406,200","725,700","579,400",-,"162,770","162,770",-
112,3/31/1995,"10,911,800","827,000","827,000",-,"823,300","3,700",-,-,-,-,-,-,-,-,"2,322,100","166,400","2,155,700",-,-,-,"6,944,700","7,054,600",-,-,-,-,"7,054,600","109,900",-,"477,100",-,-,"159,500",-,-,-,-,-,-,-,"163,100",-,-,"18,300","10,111,700","7,934,700","6,270,000","6,270,000","1,664,700","1,353,000",-,-,-,-,-,-,"162,300","162,300",-,"162,300",-,-,"203,500","203,500",-,-,"458,200","800,100","800,100",-,-,-,"633,000",-,-,"-9,000","176,100",-,"1,003,600",-,"800,100","637,000","1,165,900","637,000","365,800",-,"163,980","163,980",-
113,12/31/1994,"10,522,400","961,400","961,400",-,"958,900","2,500",-,-,-,-,-,-,-,-,"2,263,700","170,000","2,093,700",-,-,-,"6,610,400","6,717,400",-,-,-,-,"6,717,400","107,000",-,"353,700",-,-,"153,000",-,-,-,-,-,-,-,"162,200",-,-,"18,000","9,773,600","7,688,400","5,986,500","5,986,500","1,701,900","1,453,800",-,-,-,-,-,-,"200,000","200,000",-,"200,000",-,-,"93,800","93,800",-,-,"337,600","748,800","748,800",-,-,-,"616,200",-,-,-,"132,600",-,"842,600",-,"748,800","586,600","1,042,600","586,600","293,800",-,"152,942","152,942",-
114,9/30/1994,"10,446,900","1,760,600","893,400",-,"890,700","2,700",-,"867,200","867,200",-,-,"3,600",-,-,"1,507,700","223,200","1,284,500",-,-,-,"6,452,600","6,566,900",-,-,-,-,"6,566,900","107,300","-7,000","393,800",-,-,"148,500",-,-,-,-,-,-,-,"158,400",-,-,"21,700","9,694,900","7,593,900","7,593,900","7,593,900",-,"1,155,800",-,-,"357,000","357,000",-,-,"492,900","492,900",-,"492,900",-,-,"91,700","91,700",-,-,"3,600","752,000","752,000",-,-,-,"594,100",-,-,"-13,900","171,800",-,"843,700",-,"752,000","593,600","1,336,600","593,600","584,600",-,"154,622","154,622",-
115,6/30/1994,"10,228,700","858,100","858,100",-,"852,100","6,000",-,-,-,-,-,"5,000",-,-,"2,322,500","227,400","2,095,100",-,-,-,"5,729,800","5,846,000",-,-,-,-,"5,846,000","106,800","-9,400","512,300",-,-,"169,600",-,-,-,-,-,-,-,"162,100",-,-,"469,300","9,503,000","7,357,200","7,357,200","7,357,200",-,"1,066,700",-,-,"468,800","468,800",-,-,"513,500","513,500",-,"513,500",-,-,"91,800","91,800",-,-,"5,000","725,700","725,700",-,-,-,"570,400",-,-,"-9,800","165,100",-,"817,500",-,"725,700","563,600","1,331,000","563,600","605,300",-,"153,052","153,052",-
116,3/31/1994,"10,654,800","1,004,300","930,700",-,"926,100","4,600",-,"73,600","73,600",-,-,"3,700",-,-,"2,483,700","526,000","1,957,700",-,-,-,"5,478,700","5,597,700",-,-,-,-,"5,597,700","107,900","-11,100","616,500",-,-,"136,000",-,-,-,-,-,-,-,"167,400",-,-,"764,500","9,939,200","7,508,600","7,508,600","7,508,600",-,"1,047,100",-,-,"859,000","859,000",-,-,"429,000","429,000",-,"429,000",-,-,"91,800","91,800",-,-,"3,700","715,600","715,600",-,-,-,"548,200",-,-,-,"167,400",-,"807,400",-,"715,600","548,200","1,236,400","548,200","520,800",-,"153,052","153,052",-
117,12/31/1993,"9,608,800","1,142,400","747,600",-,"740,100","7,500",-,"394,800","394,800",-,-,"4,900",-,-,"1,953,600","178,700","1,774,900",-,-,-,"5,164,300","5,279,100",-,-,-,-,"5,279,100","103,700","-11,100","335,600",-,-,"125,700",-,-,-,-,-,-,-,"131,200",-,-,"751,100","8,929,800","7,146,800","7,146,800","7,146,800",-,"1,009,500",-,-,"358,200","358,200",-,-,"320,600","320,600",-,"320,600",-,-,"90,000","90,000",-,-,"4,700","679,000","679,000",-,-,-,"524,100",-,-,-,"154,900",-,"769,000",-,"679,000","547,800","1,089,600","547,800","410,600",-,-,-,-
118,9/30/1993,"9,458,700","1,094,600","645,000",-,"640,600","4,400",-,"449,600","449,600",-,-,"2,900",-,-,"2,454,100","224,900","2,229,200",-,-,-,"4,796,800","4,911,400",-,-,-,-,"4,911,400","103,300","-11,300","721,000",-,-,"114,700",-,-,-,-,-,-,-,"55,300",-,-,"219,300","8,802,200","6,679,100","6,679,100","6,679,100",-,"1,187,600",-,-,"417,700","417,700",-,-,"424,100","424,100",-,"424,100",-,-,"90,800","90,800",-,-,"2,900","656,500","656,500",-,-,-,"504,800",-,-,-,"151,700",-,"747,300",-,"656,500","601,200","1,171,400","601,200","514,900",-,-,-,-
119,6/30/1993,"8,992,300","1,008,400","600,100",-,"594,900","5,200",-,"408,300","408,300",-,-,"3,600",-,-,"2,670,300","184,300","2,486,000",-,-,-,"4,539,800","4,654,200",-,-,-,-,"4,654,200","101,300","-13,100","396,000",-,-,"110,600",-,-,-,-,-,-,-,"56,100",-,-,"207,500","8,357,000","6,709,800","6,709,800","6,709,800",-,"935,700",-,-,"455,600","455,600",-,-,"161,500","161,500",-,"161,500",-,-,"90,800","90,800",-,-,"3,600","635,300","635,300",-,-,-,"484,600",-,-,-,"150,700",-,"726,100",-,"635,300","579,200","887,600","579,200","252,300",-,-,-,-
120,3/31/1993,"9,041,800","3,443,400","561,100",-,"559,000","2,100",-,"2,882,300","2,882,300",-,-,"4,200",-,-,"379,300","251,100","128,200",-,-,-,"4,423,300","4,539,400",-,-,-,-,"4,539,400","99,200","-16,900","432,300",-,-,"107,200",-,-,-,-,-,-,-,"57,700",-,-,"194,400","8,423,200","6,821,500","6,821,500","6,821,500",-,"858,600",-,-,-,-,-,-,"159,300","159,300",-,"159,300",-,-,"90,700","90,700",-,-,"493,100","618,600","618,600",-,-,-,"464,400",-,-,-,"154,200",-,"709,300",-,"618,600","560,900","868,600","560,900","250,000",-,-,-,-
121,12/31/1992,"8,925,800","1,145,000","782,900",-,"780,800","2,100",-,"362,100","362,100",-,-,"4,400",-,-,"2,738,400","188,600","2,549,800",-,-,-,"4,425,600","4,542,000",-,-,-,-,"4,542,000","96,800","-19,600","215,800",-,-,"106,900",-,-,-,-,-,-,-,"59,300",-,-,"230,400","8,328,300","6,916,800","6,916,800","6,916,800",-,"753,400",-,-,-,-,-,-,"256,900","256,900",-,"256,900",-,-,"126,900","126,900",-,-,"274,300","597,500","597,500",-,-,-,"444,300",-,-,-,"153,200",-,"724,400",-,"597,500","538,200","981,300","538,200","383,800",-,-,-,-
122,9/30/1992,"7,747,700","842,200","604,400",-,"602,200","2,200",-,"237,800","237,800",-,-,"4,600",-,-,"2,235,400","239,200","1,996,200",-,-,-,"3,955,100","4,069,000",-,-,-,-,"4,069,000","93,700","-20,200",-,-,-,"95,700",-,-,-,-,-,-,-,"60,000",-,-,"554,700","7,258,900","5,788,500","5,788,500","5,788,500",-,"705,500",-,-,-,-,-,-,"206,900","206,900",-,"206,900",-,-,"127,300","127,300",-,-,"430,700","488,800","488,800",-,-,-,"381,600",-,-,-,"107,200",-,"616,100",-,"488,800","428,800","823,000","428,800","334,200",-,-,-,-
123,6/30/1992,"7,452,400","824,300","497,800",-,"496,100","1,700",-,"326,500","326,500",-,-,"4,000",-,-,"2,019,900","165,800","1,854,100",-,-,-,"3,928,800","4,044,500",-,-,-,-,"4,044,500","92,300","-23,400",-,-,-,"97,300",-,-,-,-,-,-,-,"61,100",-,-,"517,000","6,979,700","5,867,700","5,867,700","5,867,700",-,"557,200",-,-,-,-,-,-,"112,700","112,700",-,"112,700",-,-,"127,300","127,300",-,-,"314,800","472,700","472,700",-,-,-,"365,200",-,-,-,"107,500",-,"600,000",-,"472,700","411,600","712,700","411,600","240,000",-,-,-,-
124,3/31/1992,"8,607,000","813,400","813,400",-,"786,500","26,900",-,-,-,-,-,"4,000",-,-,"2,807,800","119,800","2,688,000",-,-,-,"4,329,100","4,452,400",-,-,-,-,"4,452,400","93,200","-30,100",-,-,-,"106,400",-,-,-,-,-,-,-,"66,100",-,-,"480,200","8,050,600","6,749,400","6,749,400","6,749,400",-,"656,600",-,-,"365,800","365,800",-,-,"147,100","147,100",-,"147,100",-,-,"127,700","127,700",-,-,"4,000","556,400","556,400",-,-,-,"407,900",-,-,-,"148,500",-,"684,100",-,"556,400","490,300","831,200","490,300","274,800",-,-,-,-
125,12/31/1991,"7,903,700","1,029,400","1,029,400",-,"787,700","241,700",-,-,-,-,-,"3,000",-,-,"2,340,200","99,600","2,240,600",-,-,-,"3,848,500","3,970,300",-,-,-,-,"3,970,300","87,900","-33,900",-,-,-,"94,500",-,-,-,-,-,-,-,"66,200",-,-,"521,900","7,466,100","6,040,500","6,040,500","6,040,500",-,"677,700",-,-,"548,800","548,800",-,-,"68,800","68,800",-,"68,800",-,-,"127,400","127,400",-,-,"2,900","437,600","437,600",-,-,-,"334,000",-,-,-,"103,600",-,"565,000",-,"437,600","371,400","633,800","371,400","196,200",-,-,-,-
126,9/30/1991,"7,409,400","798,700","798,700",-,"498,100","300,600",-,-,-,-,-,"4,500",-,-,"2,096,900","96,800","2,000,100",-,-,-,"3,853,200","3,985,200",-,-,-,-,"3,985,200","91,900","-40,100",-,-,-,"89,000",-,-,-,-,-,-,-,"69,400",-,-,"497,700","6,982,200","5,746,000","5,746,000","5,746,000",-,"601,900",-,-,"433,000","433,000",-,-,"69,400","69,400",-,"69,400",-,-,"127,300","127,300",-,-,"4,600","427,200","427,200",-,-,-,"323,500",-,-,-,"103,700",-,"554,500",-,"427,200","357,800","623,900","357,800","196,700",-,-,-,-
127,6/30/1991,"6,870,000","1,117,200","1,117,200",-,"806,700","310,500",-,-,-,-,-,"4,800",-,-,"1,640,400","103,600","1,536,800",-,-,-,"3,607,100","3,740,700",-,-,-,-,"3,740,700","85,400","-48,200",-,-,-,"84,100",-,-,-,-,-,-,-,-,-,-,"416,400","6,454,200","5,397,000","5,397,000","5,397,000",-,"458,700",-,-,"363,900","363,900",-,-,"102,500","102,500",-,"102,500",-,-,"127,300","127,300",-,-,"4,800","415,800","415,800",-,-,-,"313,700",-,-,-,"102,100",-,"543,100",-,"415,800","415,800","645,600","415,800","229,800",-,-,-,-
128,3/31/1991,"6,710,700","1,119,500","1,119,500",-,"613,700","505,800",-,-,-,-,-,"3,300",-,-,"1,519,100","119,300","1,399,800",-,-,-,"3,674,500","3,815,600",-,-,-,-,"3,815,600","85,400","-55,700",-,-,-,"83,300",-,-,-,-,-,-,-,-,-,-,"311,000","6,304,800","5,294,400","5,294,400","5,294,400",-,"564,100",-,-,"250,100","250,100",-,-,"65,600","65,600",-,"65,600",-,-,"127,400","127,400",-,-,"3,200","405,900","405,900",-,-,-,"304,100",-,-,-,"101,800",-,"533,300",-,"405,900","405,900","598,900","405,900","193,000",-,-,-,-
129,12/31/1990,"6,707,700","1,130,800","1,130,800",-,"859,400","271,400",-,-,-,-,-,"3,300",-,-,"1,505,800","88,400","1,417,400",-,-,-,"3,747,900","3,893,100",-,-,-,-,"3,893,100","83,200","-62,000",-,-,-,"83,000",-,-,-,-,-,-,-,-,-,-,"236,900","6,309,900","5,343,200","5,343,200","5,343,200",-,"585,100",-,-,"200,500","200,500",-,-,"50,400","50,400",-,"50,400",-,-,"127,400","127,400",-,-,"3,300","397,800","397,800",-,-,-,"296,600",-,-,-,"101,200",-,"525,200",-,"397,800","397,800","575,600","397,800","177,800",-,-,-,-
130,9/30/1990,"6,480,500","942,000","942,000",-,"690,500","251,500",-,-,-,-,-,"2,900",-,-,"1,500,500","104,600","1,395,900",-,-,-,"3,609,700","3,751,800",-,-,-,-,"3,751,800","77,000","-65,100",-,-,-,"75,400",-,-,-,-,-,-,-,-,-,-,"350,000","6,085,400","5,052,000","5,052,000","5,052,000",-,"538,600",-,-,"281,100","281,100",-,-,"83,400","83,400",-,"83,400",-,-,"127,400","127,400",-,-,"2,900","395,100","395,100",-,-,-,"290,100",-,-,-,"105,000",-,"522,500",-,"395,100","395,100","605,900","395,100","210,800",-,-,-,-
131,6/30/1990,"6,430,300","916,300","916,300",-,"449,800","466,500",-,-,-,-,-,"2,000",-,-,"1,398,000","72,900","1,325,100",-,-,-,"3,623,300","3,764,300",-,-,-,-,"3,764,300","77,200","-63,800",-,-,-,"74,100",-,-,-,-,-,-,-,-,-,-,"416,600","6,040,900","5,093,400","5,093,400","5,093,400",-,"572,600",-,-,"207,700","207,700",-,-,"37,500","37,500",-,"37,500",-,-,"127,700","127,700",-,-,"2,000","389,400","389,400",-,-,-,"281,700",-,-,-,"107,700",-,"517,100",-,"389,400","389,400","554,600","389,400","165,200",-,-,-,-
132,3/31/1990,"6,581,200","1,112,300","1,112,300",-,"735,600","376,700",-,-,-,-,-,"1,700",-,-,"1,488,200","147,700","1,340,500",-,-,-,"3,593,100","3,742,700",-,-,-,-,"3,742,700","79,200","-70,400",-,-,-,"73,800",-,-,-,-,-,-,-,-,-,-,"312,100","6,201,800","5,137,700","5,137,700","5,137,700",-,"580,400",-,-,"262,300","262,300",-,-,"91,900","91,900",-,"91,900",-,-,"127,900","127,900",-,-,"1,600","379,400","379,400",-,-,-,"271,900",-,-,-,"107,500",-,"507,300",-,"379,400","379,400","599,200","379,400","219,800",-,-,-,-
133,12/31/1989,"6,397,500","1,011,300","1,011,300",-,"599,400","411,900",-,-,-,-,-,"1,500",-,-,"1,414,800","72,500","1,342,300",-,-,-,"3,599,800","3,738,500",-,-,-,-,"3,738,500","61,700","-77,000",-,-,-,"73,700",-,-,-,-,-,-,-,-,-,-,"296,400","6,016,800","4,949,400","4,949,400","4,949,400",-,"687,600",-,-,"204,700","204,700",-,-,"45,300","45,300",-,"45,300",-,-,"128,200","128,200",-,-,"1,600","380,700","380,700",-,-,-,"274,700",-,-,-,"106,000",-,"508,900",-,"380,700","380,700","554,200","380,700","173,500",-,-,-,-
134,9/30/1989,"6,296,400","822,000","822,000",-,"619,900","202,100",-,-,-,-,-,"1,800",-,-,"1,338,400","82,700","1,255,700",-,-,-,"3,643,400","3,793,600",-,-,-,-,"3,793,600","67,100","-83,100",-,-,-,"77,100",-,-,-,-,-,-,-,-,-,-,"413,700","5,923,500","4,844,500","4,844,500","4,844,500",-,"535,300",-,-,"349,100","349,100",-,-,"64,600","64,600",-,"64,600",-,-,"128,200","128,200",-,-,"1,800","372,900","372,900",-,-,-,"268,300",-,-,-,"104,600",-,"501,100",-,"372,900","372,900","565,700","372,900","192,800",-,-,-,-
