,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Interest Received CFI,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
123,3/31/1992,"38,900","38,900","24,800",600,-,-,600,-,-,"3,300","3,300",-,-,-,-,-,"-2,000",-,-,-,-,-,"12,200",-,-,-,-,-,-,-,-,-,-,-,"-86,900","-86,900",-,-,-,"-318,200","-578,600","260,400",-,-,-,-,-,"-4,500",-,-,-,-,-,-,"235,800","11,000","11,000","54,500",-200,-,-200,"54,700",-,-,"1,300",-,-,-,"-1,400",-,-,-,100,-,0,"-37,000","823,500","-786,500",-,-,"-4,500",-,-,-200,-,"34,400"
124,12/31/1991,"-25,500","-25,500","17,600",-300,-,-,-300,-,-,"-11,200","-11,200",-,-,-,500,500,"29,100",-,-,-,-,-,"-61,200",-,-,-,-,-,-,-,-,-,-,-,"-9,400","-9,400",-,-,-,"-94,700","-367,300","272,600",-,-,-,-,-,"-8,900",-,-,-,-,-,-,"94,200","324,600","324,600","75,000",-100,-,-100,"75,100",-,-,-400,-,-,-,"-13,700",-,-,-,0,-,0,"289,600",0,"-289,600",-,-,"-8,900",-,-,-100,-,"-34,400"
125,9/30/1991,"23,600","23,600","16,500",400,-,-,400,-,-,"9,100","9,100",-,-,-,100,100,"19,200",-,-,-,-,-,"-21,700",-,-,-,-,-,-,-,-,-,-,-,"-297,200","-297,200",-,-,-,"-281,700","-539,100","257,400",-,-,-,-,-,"-4,700",-,-,-,-,-,-,"-10,800","-35,100","-35,100","71,800",0,-,0,"71,800",-,-,"1,400",-,-,-,"-6,600",-,-,-,0,-,0,"-308,600",0,"308,600",-,-,"-4,700",-,-,0,-,"18,900"
126,6/30/1991,"132,700","132,700","15,600",300,-,-,300,-,-,"8,200","8,200",-,-,-,-,-,"30,200",-,-,-,-,-,"79,300",-,-,"-4,900","-4,900","-4,900","-4,900",-,-,-,-,"84,200","32,500","32,500",-,-,-,"-160,100","-365,300","205,200",-,-,-,-,-,"-3,500",-,-,-,-,-,-,"196,100","27,800","27,800","-68,700",-,-,-,"-68,500",-,-,200,-,-,-,"-6,600",-,-,-,0,-,0,"193,000",0,"-193,000",-,-,"-3,500",-,-,-,-,"129,200"
127,3/31/1991,"-14,700","-14,700","14,100",-200,-,-,-200,-,-,"5,600","5,600",-,-,-,-,-,"-16,400",-,-,-,-,-,"-17,800",-,-,"3,300","3,300","3,300","3,300",-,-,-,-,"-21,100","-170,200","-170,200",-,-,-,"16,600","-51,100","67,700",-,-,-,-,-,"-2,900",-,-,-,-,-,-,"-183,900","-60,800","-60,800","-5,800",-,-,-,"-5,800",-,-,400,-,-,-,"-6,600",-,-,-,-100,-,0,"-245,700","859,400","-613,700",-,-,"-2,900",-,-,-,-,"-17,600"
128,12/31/1990,"89,300","89,300","13,300",300,-,-,300,-,-,"2,800","2,800",-,-,-,"-3,600","-3,600","38,300",-,-,-,-,-,"38,200",-,-,"-2,900","-2,900","-2,900","-2,900",-,-,-,-,"41,100","-214,700","-214,700",-,-,-,"-35,100","-207,400","172,300",-,-,-,-,-,"-11,400",-,-,-,-,-,-,"-168,200","294,400","294,400","13,600",0,-,0,"13,600",-,-,"-3,900",-,-,-,"-6,400",-,-,-,-,-,0,"168,900",0,"-168,900",-,-,"-11,400",-,-,0,-,"77,900"
129,9/30/1990,"143,400","143,400","14,900",-,-,-,-,-,-,"5,700","5,700",-,-,-,"-6,000","-6,000","-22,400",-,-,-,-,-,"150,600",-,-,"5,500","5,500","5,500","5,500",-,-,-,-,"145,100","136,500","136,500",-,-,-,"-68,800","-200,600","131,800",-,-,-,-,-,"-4,000",-,-,-,-,-,-,"209,300","-39,300","-39,300","11,400",-400,-,-400,"11,800",-,-,"-3,000",-,-,-,"-6,300",-,-,-,-,-,0,"240,700",0,"-240,700",-,-,"-4,000",-,-,-400,-,"139,400"
130,6/30/1990,"-55,200","-55,200","16,200",-,-,-,-,-,-,"6,000","6,000",-,-,-,700,700,"84,100",-,-,-,-,-,"-162,200",-,-,-800,-800,-800,-800,-,-,-,-,"-161,400","-118,000","-118,000",-,-,-,"23,300","-81,400","104,700",-,-,-,-,-,"-3,300",-,-,-,-,-,-,"-138,000","-112,600","-112,600","-62,300",-200,-,-200,"-62,100",-,-,200,-,-,-,"-6,400",-,-,-,-,-,0,"-285,700",0,"285,700",-,-,"-3,300",-,-,-200,-,"-58,500"
131,3/31/1990,"8,100","8,100","3,500",-,-,-,-,-,-,"6,700","6,700",-,-,-,200,200,"-51,100",-,-,-,-,-,"48,800",-,-,-400,-400,-400,-400,-,-,-,-,"49,200","7,300","7,300",-,-,-,"-8,100","-120,900","112,800",-,-,-,-,-,"-2,700",-,-,-,-,-,-,"18,100","120,800","120,800","-61,000",-300,-,-300,"-60,700",-,-,100,-,-,-,"-6,400",-,-,-,-100,-100,0,"136,100","599,400","-735,500",-,-,"-2,700",-,-,-300,-,"5,400"
132,12/31/1989,"30,400","30,400","12,800","-1,400",-,-,"-1,400",-,-,"6,800","6,800",-,-,-,"1,000","1,000","22,500",-,-,-,-,-,"-11,300",-,-,"9,600","9,600","9,600","9,600",-,-,-,-,"-20,900","-228,300","-228,300",-,-,-,"-88,100","-210,000","121,900",-,-,-,-,-,"-1,600",-,-,-,-,-,-,"-138,600","177,500","177,500","131,600","-1,400",-,"-1,400","133,000",-,-,700,-,-,-,"-5,600",-,-,-,-,-,0,"-20,400",0,"20,400",-,-,"-1,600",-,-,"-1,400",-,"28,800"
