,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Restricted Cash And Investments,Receivables,Prepaid Assets,Other Assets,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Common Stock,Other Capital Stock,Retained Earnings,Total Capitalization,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number
0,7/31/2022,"536,178","1,230",0.585,0.585,"1,229","5,512",21.641,-,"227,870",-,"179,055",-,"308,308","308,308","337,000","337,000",-,"-28,692",-,"308,308","308,308",-,"308,308",-,-,"24,638","24,638"
1,7/31/2021,"630,438",572.705,17.705,17.705,555,"5,757",414.753,-,"253,793",-,"179,408",-,"376,645","376,645","336,669","336,669",-,"39,976",-,"376,645","376,645",-,"376,645",-,-,"24,614","24,614"
2,7/31/2020,"333,907",-,-,-,-,"3,228",16.528,-,"138,062",-,"94,500",-,"195,844","195,844","178,152","178,152",-,"17,693",-,"195,844","195,844",-,"195,844",-,-,"12,976","12,976"
3,7/31/2019,"333,115",177.031,11.781,11.781,165.25,"3,242",16.274,-,"137,247",-,"94,500",-,"195,868","195,868","178,186","178,186",-,"17,682",-,"195,868","195,868",-,"195,868",-,-,"12,976","12,976"
4,7/31/2018,"315,974",125.25,-,-,125.25,"3,322",16.98,-,"127,522",148.057,"94,500",-,"188,452","188,452","180,169","180,169",-,796.4,"188,600","188,452","188,452","188,600","188,452",148.057,148.057,"12,976","12,976"
5,7/31/2017,"324,100",258.25,-,-,258.25,"3,141",16.43,258.25,"129,071",141.724,"94,500",0,"195,029","195,029","181,461","181,461",0,"1,360","195,170","195,029","195,029","195,170","195,029",141.724,141.724,"12,964","12,964"
