,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
10,9/30/2020,"955,940,000","183,055,000","57,586,000","13,840,000",-,"57,586,000",-,"37,186,000","37,186,000","122,933,000","88,283,000","88,283,000","88,283,000","100,803,000",-,"301,758,000","171,035,000","18,000","46,169,000","84,536,000",-,-,"146,237,000","147,150,000","13,081,000","7,628,000",-,"40,939,000","85,502,000","913,000","72,537,000","72,537,000",-,-,-,-,-,-,"9,228,000","7,348,000","1,880,000","142,322,000","866,122,000","239,253,000","239,253,000","239,253,000",-,"41,376,000","41,376,000","7,924,000","192,300,000","192,300,000","192,300,000",-,-,-,-,"13,694,000","13,694,000",-,"13,694,000","107,852,000","37,164,000","203,607,000","203,607,000",-,-,"22,952,000","89,818,000","88,394,000","8,540,000","8,520,000","20,000","76,061,000","24,015,000","19,685,000","-537,000",-,-,-,"1,424,000","292,001,000","8,520,000","79,874,000",-,"79,166,000","297,175,000","70,646,000","217,301,000","159,715,000","2,038,894","1,576,448","212,500","462,446"
11,6/30/2020,"975,363,000","202,888,000","63,391,000","12,411,000",-,"63,391,000",-,"42,885,000","42,885,000","127,153,000","96,612,000","96,612,000","96,612,000","106,834,000",-,"305,908,000","173,238,000","50,000","47,043,000","85,577,000",-,-,"141,973,000","142,839,000","14,551,000","9,974,000",-,"39,400,000","78,914,000","866,000","62,290,000","62,290,000",-,-,-,-,-,-,"9,287,000","7,329,000","1,958,000","146,183,000","887,354,000","236,849,000","236,849,000","236,849,000",-,"50,848,000","50,848,000","10,493,000","198,971,000","198,971,000","198,971,000",-,-,-,-,"10,482,000","10,482,000",-,"10,482,000","111,233,000","38,523,000","208,644,000","208,644,000",-,-,"21,311,000","88,009,000","86,645,000","8,540,000","8,520,000","20,000","74,015,000","23,782,000","19,693,000","1,000",-,-,-,"1,364,000","295,289,000","8,520,000","78,125,000",-,"77,358,000","297,251,000","68,838,000","219,126,000","155,735,000","2,038,894","1,576,105","212,500","462,789"
12,3/31/2020,"947,795,000","236,309,000","75,445,000","11,570,000",-,"75,445,000",-,"56,064,000","56,064,000","103,637,000","104,800,000","104,800,000","104,800,000","72,300,000",-,"283,436,000","167,279,000","116,157,000","47,286,000","68,871,000",-,-,"148,697,000","149,314,000","17,362,000","61,474,000","31,948,000","38,530,000",-,"617,000","74,424,000","74,424,000",-,-,-,-,-,-,"9,146,000","7,125,000","2,021,000","123,483,000","860,567,000","235,239,000","235,239,000","235,239,000",-,"45,816,000","45,816,000","11,631,000","198,074,000","198,074,000","198,074,000",-,-,-,-,"9,515,000","9,515,000",-,"9,515,000","101,207,000","40,869,000","198,399,000","198,399,000",-,-,"19,817,000","87,228,000","85,860,000","8,540,000","8,520,000","20,000","71,518,000","23,428,000","19,721,000","2,095,000",-,-,-,"1,368,000","284,259,000","8,520,000","77,340,000",-,"76,714,000","285,254,000","68,194,000","207,914,000","132,469,000","2,038,894","1,575,501","212,500","463,393"
13,12/31/2019,"895,429,000","170,395,000","49,659,000","4,293,000",-,"45,366,000",-,"32,512,000","32,512,000","128,386,000","88,224,000","88,224,000","88,224,000","106,549,000",-,"274,562,000","168,724,000","113,000","43,502,000","62,223,000",-,-,"130,637,000","130,986,000","12,577,000","48,756,000","31,610,000","38,043,000",-,"349,000","55,646,000","55,646,000",-,-,-,-,-,-,"9,250,000","7,143,000","2,107,000","148,390,000","812,732,000","190,356,000","190,356,000","190,356,000",-,"54,200,000","54,200,000","8,506,000","197,834,000","197,834,000","197,834,000",-,-,-,-,"9,670,000","9,670,000",-,"9,670,000","104,922,000","28,434,000","197,655,000","197,655,000",-,-,"21,155,000","82,697,000","81,549,000","8,540,000","8,520,000","20,000","70,589,000","23,935,000","18,727,000","-2,788,000",-,-,-,"1,148,000","279,204,000","8,520,000","73,029,000",-,"72,299,000","280,354,000","63,779,000","207,325,000","157,666,000","2,038,894","1,593,974","212,500","444,920"
14,9/30/2019,"902,604,000","173,023,000","48,917,000","35,721,000",-,"13,196,000",-,"30,739,000","30,739,000","116,506,000","93,367,000","93,367,000","93,367,000","132,401,000",-,"266,733,000","160,917,000","26,000","41,076,000","64,714,000",-,-,"125,522,000","125,819,000","14,707,000","45,117,000","30,010,000","35,985,000","-297,000","297,000","59,514,000","59,514,000",-,-,-,-,-,-,"9,350,000","7,139,000","2,211,000","136,061,000","819,054,000","180,738,000","180,738,000","180,738,000",-,"59,462,000","59,462,000","9,691,000","202,915,000","202,915,000","202,915,000",-,-,-,-,"5,773,000","5,773,000",-,"5,773,000","108,003,000","35,402,000","197,722,000","197,722,000",-,-,"19,348,000","83,550,000","82,382,000","8,540,000","8,520,000","20,000","69,071,000","23,649,000","17,280,000","-1,598,000",-,-,-,"1,168,000","280,104,000","8,520,000","73,862,000",-,"73,032,000","277,357,000","64,512,000","203,495,000","154,578,000","2,038,894","1,623,587","212,500","415,307"
15,6/30/2019,"891,959,000","164,978,000","49,145,000","38,257,000",-,"10,888,000",-,"30,435,000","30,435,000","118,200,000","85,398,000","85,398,000","85,398,000","133,580,000",-,"271,861,000","168,765,000","30,000","40,028,000","63,038,000",-,-,"120,901,000","121,166,000","15,756,000","40,283,000","29,196,000","35,931,000","-265,000","265,000","53,381,000","53,381,000",-,-,-,-,-,-,"9,434,000","7,158,000","2,276,000","137,824,000","891,959,000","176,593,000","176,593,000","176,593,000",-,"62,294,000","62,294,000","10,325,000","192,098,000","192,098,000","192,098,000",-,-,-,-,"6,824,000","6,824,000",-,"6,824,000","107,385,000","32,020,000","203,005,000","203,005,000",-,-,"18,570,000","82,845,000","81,724,000","8,520,000","8,520,000","20,000","67,588,000","23,446,000","15,799,000","-2,051,000",-,-,-,"1,121,000","284,729,000","8,520,000","73,204,000",-,"72,290,000","283,033,000","63,770,000","209,829,000","160,684,000","2,038,894","1,658,805","212,500","380,089"
16,3/31/2019,"875,964,000","177,252,000","49,970,000","35,472,000",-,"14,498,000",-,"30,712,000","30,712,000","103,750,000","96,570,000","96,570,000","96,570,000","138,891,000",-,"259,042,000","161,068,000","30,000","36,303,000","61,641,000",-,-,"116,197,000","116,456,000","14,931,000","38,424,000","27,300,000","35,801,000","-259,000","259,000","52,667,000","52,667,000",-,-,-,-,-,-,"8,770,000","6,686,000","2,084,000","123,145,000","875,964,000","179,731,000","179,731,000","179,731,000",-,"47,948,000","47,948,000","12,508,000","193,092,000","193,092,000","193,092,000",-,-,-,-,"6,752,000","6,752,000",-,"6,752,000","114,819,000","29,746,000","191,982,000","191,982,000",-,-,"17,494,000","81,892,000","80,724,000","8,520,000","8,520,000","20,000","66,061,000","23,178,000","14,582,000","-2,473,000",-,-,-,"1,168,000","272,706,000","8,520,000","72,204,000",-,"71,954,000","270,938,000","63,434,000","198,734,000","148,764,000","2,038,894","1,685,996","212,500","352,898"
17,12/31/2018,"853,531,000","185,718,000","51,840,000","30,541,000",-,"21,299,000",-,"35,356,000","35,356,000","120,437,000","98,522,000","98,522,000","98,522,000","116,313,000",-,"237,808,000","145,862,000","114,000","30,771,000","61,061,000",-,-,"115,579,000","115,817,000","15,764,000","36,909,000","27,868,000","35,276,000","-238,000","238,000","53,298,000","53,298,000",-,-,-,-,-,-,"8,851,000","6,688,000","2,163,000","135,964,000","853,531,000","187,820,000","187,820,000","187,820,000",-,"49,759,000","49,759,000","11,908,000","179,559,000","179,559,000","179,559,000",-,-,-,-,"3,581,000","3,581,000",-,"3,581,000","99,489,000","27,258,000","195,547,000","195,547,000",-,-,"17,204,000","81,406,000","80,246,000","8,520,000","8,520,000","20,000","64,175,000","23,794,000","13,971,000","-2,292,000",-,-,-,"1,160,000","275,793,000","8,520,000","71,726,000",-,"71,395,000","270,854,000","62,875,000","199,128,000","147,288,000","2,038,894","1,699,829","212,500","339,065"
18,9/30/2018,"865,517,000","161,567,000","59,279,000","36,641,000",-,"22,638,000",-,"33,202,000","33,202,000","127,919,000","69,086,000","69,086,000","69,086,000","142,489,000",-,"237,888,000","155,269,000","51,000","25,336,000","57,232,000",-,-,"109,983,000","110,214,000","11,653,000","35,439,000","28,321,000","34,801,000","-231,000","231,000","60,839,000","60,839,000",-,-,-,-,-,-,"8,920,000","6,680,000","2,240,000","143,831,000","865,517,000","175,185,000","175,185,000","175,185,000",-,"60,328,000","60,328,000","11,833,000","191,026,000","191,026,000","191,026,000",-,-,-,-,"8,780,000","8,780,000",-,"8,780,000","103,206,000","25,826,000","192,166,000","192,166,000",-,-,"17,093,000","80,074,000","78,703,000","8,520,000","8,520,000","20,000","63,330,000","23,664,000","12,832,000","-3,999,000",-,-,-,"1,371,000","270,869,000","8,520,000","70,183,000",-,"69,783,000","271,129,000","61,263,000","200,946,000","141,667,000","2,038,894","1,725,792","212,500","313,102"
19,6/30/2018,"875,875,000","175,517,000","48,883,000","30,176,000",-,"18,707,000",-,"32,706,000","32,706,000","168,810,000","93,928,000","93,928,000","93,928,000","153,248,000",-,"179,629,000","97,628,000","53,000","25,244,000","56,704,000",-,-,"112,113,000","112,354,000","15,747,000","32,382,000","27,954,000","36,271,000","-241,000","241,000","61,714,000","61,714,000",-,-,-,-,-,-,"9,024,000","6,692,000","2,332,000","184,630,000","795,369,000","172,802,000","172,802,000","172,802,000",-,"50,650,000","50,650,000","12,720,000","201,737,000","201,737,000","201,737,000",-,-,-,-,"10,768,000","10,768,000",-,"10,768,000","112,517,000","26,842,000","191,366,000","191,366,000",-,-,"15,967,000","80,506,000","79,109,000","8,540,000","8,520,000","20,000","61,835,000","23,454,000","11,650,000","-3,070,000",-,-,-,"1,397,000","270,475,000","8,520,000","70,589,000",-,"70,085,000","272,723,000","61,565,000","202,134,000","153,251,000","2,038,894","1,749,653","212,500","289,241"
20,3/31/2018,"858,495,000","167,590,000","52,053,000","29,073,000",-,"22,980,000",-,"35,291,000","35,291,000","163,158,000","80,246,000","80,246,000","80,246,000","135,835,000",-,"190,527,000","109,886,000","80,641,000","23,892,000","56,749,000",-,-,"109,135,000","109,378,000","14,011,000","31,903,000","26,877,000","36,587,000","-243,000","243,000","66,835,000","66,835,000",-,-,-,-,-,-,"9,133,000","6,706,000","2,427,000","179,440,000","779,006,000","160,424,000","160,424,000","160,424,000",-,"51,575,000","51,575,000","13,556,000","194,924,000","194,924,000","194,924,000",-,-,-,-,"9,415,000","9,415,000",-,"9,415,000","113,037,000","25,986,000","195,824,000","195,824,000",-,-,"14,265,000","79,489,000","78,034,000","8,540,000","8,520,000","20,000","60,009,000","23,260,000","10,369,000","-3,406,000",-,-,-,"1,455,000","273,858,000","8,520,000","69,514,000",-,"68,901,000","274,753,000","60,381,000","205,239,000","153,186,000","2,038,894","1,773,934","212,500","264,960"
21,12/31/2017,"851,733,000","164,653,000","46,164,000","24,816,000",-,"21,348,000",-,"34,231,000","34,231,000","169,735,000","84,258,000","84,258,000",-,"124,010,000",-,"207,493,000","128,547,000","144,000","23,599,000","55,203,000",-,-,"104,126,000","104,350,000","11,173,000","29,754,000","26,808,000","36,615,000","-224,000","224,000","56,187,000","56,187,000",-,-,-,-,-,-,"9,045,000","6,597,000","2,448,000","186,219,000","773,267,000","159,436,000","159,436,000","159,436,000",-,"56,424,000","56,424,000","13,592,000","191,510,000","191,510,000","191,510,000",-,-,-,-,"3,553,000","3,553,000",-,"3,553,000","104,600,000","26,695,000","200,300,000","200,300,000",-,-,"17,157,000","78,466,000","77,391,000","8,540,000","8,520,000","20,000","57,577,000","23,545,000","9,211,000","-3,060,000",-,-,-,"1,075,000","277,691,000","8,520,000","68,871,000",-,"68,346,000","272,724,000","59,826,000","203,853,000","157,689,000","2,038,894","1,788,087","212,500","250,807"
22,9/30/2017,"853,693,000","138,297,000","48,191,000","24,047,000",-,"24,144,000",-,"158,445,000",-,"158,445,000","90,106,000","90,106,000",-,"132,892,000",-,"205,771,000","126,643,000","42,000","24,132,000","54,954,000",-,-,"104,431,000","104,676,000","13,224,000","29,686,000","26,616,000","35,150,000","-245,000","245,000","54,388,000","54,388,000",-,-,-,-,-,-,"9,081,000","6,590,000","2,491,000","208,833,000","773,579,000","154,639,000","154,639,000","154,639,000",-,"53,983,000","53,983,000","15,630,000","198,792,000","198,792,000","198,792,000",-,-,-,-,"3,436,000","3,436,000",-,"3,436,000","102,798,000","24,439,000","203,572,000","203,572,000",-,-,"16,290,000","80,114,000","78,978,000","8,540,000","8,520,000","20,000","57,554,000","23,389,000","7,961,000","-2,544,000",-,-,-,"1,136,000","282,550,000","8,520,000","70,458,000",-,"69,897,000","277,466,000","61,377,000","207,008,000","158,817,000","2,038,894","1,812,472","212,500","226,422"
23,6/30/2017,"841,016,000","142,067,000","44,659,000","25,008,000",-,"19,651,000",-,"163,689,000",-,"163,689,000","97,408,000","97,408,000",-,"126,722,000",-,"198,689,000","127,113,000",-,"21,088,000","50,488,000",-,-,"97,639,000","97,945,000","10,632,000","26,831,000","26,354,000","34,128,000","-306,000","306,000","54,917,000","54,917,000",-,-,-,-,-,-,"9,158,000","6,591,000","2,567,000","211,824,000","761,049,000","144,913,000","144,913,000","144,913,000",-,"50,697,000","50,697,000","16,862,000","197,055,000","197,055,000","197,055,000",-,-,-,-,"5,912,000","5,912,000",-,"5,912,000","108,105,000","26,705,000","195,758,000","195,758,000","21,481,000",-,"15,042,000","79,967,000","78,826,000","8,540,000","8,520,000","20,000","56,325,000","23,140,000","6,691,000","-2,488,000",-,-,-,"1,141,000","274,584,000","8,520,000","70,306,000","21,481,000","69,668,000","271,976,000","61,148,000","201,670,000","157,011,000","2,038,894","1,839,578","212,500","199,316"
24,3/31/2017,"832,391,000","147,677,000","42,854,000","22,081,000",-,"20,773,000",-,"172,203,000",-,"172,203,000","104,823,000","104,823,000",-,"111,803,000",-,"193,277,000","112,138,000",-,"19,973,000","61,166,000",-,-,"95,953,000","96,250,000","12,651,000","25,229,000","25,042,000","33,328,000","-297,000","297,000","48,344,000","48,344,000",-,-,"45,000",-,-,-,"9,232,000","6,588,000","2,644,000","226,060,000","753,307,000","152,109,000","152,109,000","152,109,000",-,"56,525,000","56,525,000","18,934,000","189,544,000","189,544,000","189,544,000",-,-,-,-,"2,589,000","2,589,000",-,"2,589,000","110,176,000","26,727,000","183,073,000","183,073,000","20,041,000",-,"13,630,000","79,084,000","77,924,000","8,540,000","8,520,000","20,000","55,109,000","22,880,000","6,155,000","-2,450,000",-,-,-,"1,160,000","260,997,000","8,520,000","69,404,000","20,041,000","68,692,000","255,066,000","60,172,000","185,662,000","142,808,000","2,038,894","1,851,943","212,500","186,951"
25,12/31/2016,"814,949,000","145,336,000","43,381,000","22,017,000",-,"21,364,000",-,"152,548,000",-,"152,548,000","101,955,000","101,955,000",-,"125,236,000",-,"189,821,000","109,606,000","123,000","16,922,000","63,170,000",-,-,"94,248,000","94,522,000","12,544,000","25,025,000","24,866,000","32,087,000","-274,000","274,000","46,460,000","46,460,000",-,-,"25,000",-,-,-,"9,298,000","6,577,000","2,721,000","204,525,000","737,772,000","155,863,000","155,863,000","155,863,000",-,"54,628,000","54,628,000","15,844,000","190,513,000","190,513,000","190,513,000",-,-,-,-,"2,370,000","2,370,000",-,"2,370,000","98,878,000","29,315,000","174,464,000","174,464,000","20,262,000",-,"15,897,000","77,177,000","76,050,000","7,540,000","7,520,000","20,000","53,679,000","23,271,000","5,797,000","-2,643,000",-,-,-,"1,127,000","250,514,000","7,520,000","68,530,000","20,262,000","66,752,000","245,364,000","59,232,000","176,834,000","133,453,000","2,038,894","1,852,482","172,500","186,412"
26,9/30/2016,"813,891,000","133,131,000","42,552,000","26,899,000",-,"15,653,000",-,"156,351,000",-,"156,351,000","90,579,000","90,579,000",-,"126,280,000",-,"195,842,000","116,800,000","86,000","13,224,000","65,732,000",-,-,"92,508,000","92,795,000","12,108,000","24,792,000","24,717,000","31,178,000","-287,000","287,000","51,411,000","51,411,000",-,-,"22,000",-,-,-,"9,331,000","6,584,000","2,747,000","205,366,000","735,429,000","151,843,000","151,843,000","151,843,000",-,"46,936,000","46,936,000","16,515,000","194,007,000","194,007,000","194,007,000",-,-,-,-,"2,206,000","2,206,000",-,"2,206,000","103,774,000","32,521,000","172,447,000","172,447,000","20,935,000",-,"15,180,000","78,462,000","77,149,000","7,540,000","7,520,000","20,000","52,545,000","22,995,000","4,861,000","-1,070,000",-,-,-,"1,313,000","249,596,000","7,520,000","69,629,000","20,935,000","67,818,000","244,282,000","60,298,000","174,653,000","132,101,000","2,038,894","1,876,466","172,500","162,428"
27,6/30/2016,"828,873,000","153,722,000","56,133,000","27,597,000",-,"28,536,000",-,"141,543,000",-,"141,543,000","97,589,000","97,589,000",-,"131,281,000",-,"195,477,000","115,251,000","82,000","12,418,000","67,726,000",-,-,"93,165,000","93,488,000","15,882,000","24,186,000","23,337,000","30,083,000","-323,000","323,000","52,827,000","52,827,000",-,-,-,-,-,-,"9,414,000","6,581,000","2,833,000","192,987,000","750,498,000","152,693,000","152,693,000","152,693,000",-,"50,328,000","50,328,000","17,241,000","201,189,000","201,189,000","201,189,000",-,-,-,-,"2,324,000","2,324,000",-,"2,324,000","103,339,000","37,323,000","171,949,000","171,949,000","18,738,000",-,"14,112,000","78,375,000","77,116,000","7,540,000","7,520,000","20,000","51,410,000","22,697,000","3,626,000","-905,000",-,-,-,"1,259,000","249,065,000","7,520,000","69,596,000","18,738,000","67,702,000","243,869,000","60,182,000","174,273,000","118,140,000","2,038,894","1,917,509","172,500","121,384"
28,3/31/2016,"807,497,000","152,412,000","53,638,000","22,797,000",-,"30,841,000",-,"130,582,000",-,"130,582,000","98,774,000","98,774,000",-,"140,413,000",-,"181,187,000","103,568,000","27,000","9,425,000","68,167,000",-,-,"88,802,000","89,132,000","13,236,000","25,126,000","22,174,000","28,596,000","-330,000","330,000","44,762,000","44,762,000",-,-,-,-,-,-,"9,495,000","6,586,000","2,909,000","190,426,000","730,322,000","157,591,000","157,591,000","157,591,000",-,"41,305,000","41,305,000","17,140,000","194,003,000","194,003,000","194,003,000",-,-,-,-,"2,482,000","2,482,000",-,"2,482,000","82,369,000","33,397,000","170,747,000","170,747,000",-,-,"31,288,000","77,175,000","76,010,000","7,540,000","7,520,000","20,000","50,272,000","22,526,000","3,090,000","-1,238,000",-,-,-,"1,165,000","246,757,000","7,520,000","68,490,000",-,"66,515,000","241,719,000","58,995,000","173,229,000","119,591,000","2,038,894","1,938,294","172,500","100,600"
29,12/31/2015,"787,465,000","174,306,000","85,352,000","19,813,000",-,"65,539,000",-,"1,297,000","186,000","1,111,000","87,657,000","87,657,000","87,657,000","142,416,000",-,"175,788,000","99,931,000","3,874,000","5,224,000","66,759,000",-,-,"85,759,000","85,984,000","13,200,000","23,554,000","21,528,000","27,702,000","-225,000","225,000","45,407,000","45,407,000",-,-,"6,373,000","13,513,000",-,"-7,140,000","9,568,000","6,584,000","2,984,000","147,848,000","711,281,000","156,034,000","156,034,000","156,034,000",-,"36,692,000","36,692,000","19,358,000","186,626,000","186,626,000","186,626,000",-,-,-,-,"3,608,000","3,608,000",-,"3,608,000","79,665,000","29,474,000","161,797,000","161,797,000",-,-,"38,027,000","76,184,000","75,182,000","7,540,000","7,520,000","20,000","49,204,000","24,153,000","4,059,000","-1,656,000",-,-,-,"1,002,000","236,979,000","7,520,000","67,662,000",-,"65,614,000","233,067,000","58,094,000","165,405,000","80,053,000","2,038,894","1,920,024","172,500","118,870"
30,9/30/2015,"834,113,000","217,531,000","88,892,000","19,231,000",-,"69,661,000",-,"1,433,000","165,000","1,268,000","127,206,000","127,206,000","127,206,000","148,245,000",-,"175,952,000","107,345,000","3,918,000","3,530,000","61,159,000",-,-,"78,209,000","78,382,000","9,199,000","22,519,000","20,447,000","26,217,000","-173,000","173,000","50,070,000","50,070,000",-,-,"6,259,000","13,165,000",-,"-6,906,000","9,656,000","6,587,000","3,069,000","148,191,000","757,693,000","147,226,000","147,226,000","147,226,000",-,"58,570,000","58,570,000","20,644,000","193,775,000","193,775,000","193,775,000",-,-,-,-,"3,715,000","3,715,000",-,"3,715,000","89,752,000","35,773,000","168,781,000","168,781,000",-,-,"39,457,000","76,420,000","75,287,000","7,540,000","7,520,000","20,000","48,746,000","23,876,000","3,456,000","-1,419,000",-,-,-,"1,133,000","244,068,000","7,520,000","67,767,000",-,"65,631,000","240,263,000","58,111,000","172,496,000","83,604,000","2,038,894","1,938,069","172,500","100,825"
31,6/30/2015,"825,755,000","187,833,000","79,836,000","19,135,000",-,"60,701,000",-,"1,237,000","165,000","1,072,000","106,760,000","106,760,000","106,760,000","143,969,000",-,"191,834,000","121,917,000","3,785,000","2,423,000","63,709,000",-,-,"75,893,000","76,062,000","9,469,000","22,500,000","19,464,000","24,629,000","-169,000","169,000","57,115,000","57,115,000",-,-,"6,182,000","12,842,000",-,"-6,660,000","9,745,000","6,594,000","3,151,000","153,184,000","749,688,000","139,203,000","139,203,000","139,203,000",-,"65,619,000","65,619,000","23,151,000","181,494,000","181,494,000","181,494,000",-,-,-,-,"5,012,000","5,012,000",-,"5,012,000","87,180,000","37,972,000","167,887,000","167,887,000",-,-,"42,170,000","76,067,000","75,038,000","7,540,000","7,520,000","20,000","48,106,000","23,655,000","2,816,000","-1,447,000",-,-,-,"1,029,000","242,925,000","7,520,000","67,518,000",-,"65,293,000","240,417,000","57,773,000","172,899,000","93,063,000","2,038,894","1,955,655","172,500","83,239"
32,3/31/2015,"829,099,000","173,278,000","80,434,000","19,640,000",-,"60,794,000",-,"1,612,000","156,000","1,456,000","91,232,000","91,232,000","91,232,000","150,365,000",-,"196,635,000","123,301,000","3,872,000","1,632,000","67,830,000",-,-,"68,703,000","68,868,000","8,257,000","21,121,000","17,372,000","22,118,000","-165,000","165,000","56,733,000","56,733,000",-,-,"6,141,000","12,549,000",-,"-6,408,000","9,661,000","6,597,000","3,064,000","167,583,000","753,633,000","135,815,000","135,815,000","135,815,000",-,"61,488,000","61,488,000","25,527,000","190,175,000","190,175,000","190,175,000",-,-,-,-,"4,915,000","4,915,000",-,"4,915,000","77,880,000","47,177,000","165,716,000","165,716,000",-,-,"44,940,000","75,466,000","74,162,000","7,540,000","7,520,000","20,000","46,740,000","23,355,000","2,207,000","-1,266,000",-,-,-,"1,304,000","239,878,000","7,520,000","66,642,000",-,"64,501,000","237,273,000","56,981,000","170,631,000","90,197,000","2,038,894","1,971,444","172,500","67,450"
33,12/31/2014,"801,510,000","172,371,000","87,397,000","21,336,000",-,"66,061,000",-,"1,686,000","149,000","1,537,000","83,288,000","83,288,000","83,288,000","136,708,000",-,"201,697,000","128,493,000","3,888,000","100,000","69,216,000",-,-,"66,577,000","66,726,000","9,458,000","19,659,000","16,576,000","21,033,000","-149,000","149,000","48,961,000","48,961,000",-,-,"6,108,000","12,327,000",-,"-6,219,000","9,747,000","6,588,000","3,159,000","159,341,000","729,406,000","133,544,000","133,544,000","133,544,000",-,"69,949,000","69,949,000","25,219,000","181,069,000","181,069,000","181,069,000",-,-,-,-,"3,656,000","3,656,000",0,"3,656,000","67,169,000","40,212,000","163,462,000","163,462,000",-,-,"45,126,000","72,104,000","70,900,000","6,040,000","6,020,000","20,000","44,625,000","24,249,000","2,766,000","-1,248,000",-,-,-,"1,204,000","234,362,000","6,020,000","64,880,000",-,"61,153,000","231,998,000","55,133,000","167,118,000","79,721,000","2,038,894","1,950,980","172,500","87,914"
34,9/30/2014,"814,511,000","201,551,000","100,734,000","20,193,000",-,"80,541,000",-,"1,823,000","149,000","1,674,000","98,994,000","98,994,000",-,"140,303,000",-,"192,245,000","124,671,000","4,027,000",-,"63,547,000",-,-,"58,209,000","58,350,000","6,744,000","18,589,000","15,389,000","17,628,000","-141,000","141,000","54,839,000","54,839,000",-,-,"5,642,000","11,770,000",-,"-6,128,000","9,643,000","6,589,000","3,054,000","152,079,000","740,500,000","124,382,000","124,382,000","124,382,000",-,"83,706,000","83,706,000","27,657,000","181,899,000","181,899,000","181,899,000",-,-,-,-,"10,815,000","10,815,000",0,"10,815,000","79,840,000","39,056,000","155,321,000","155,321,000",-,-,"37,824,000","74,011,000","72,918,000","6,040,000","6,020,000","20,000","46,573,000","23,922,000","2,502,000","-1,115,000",-,-,-,"1,093,000","228,239,000","6,020,000","66,898,000",-,"63,275,000","233,034,000","57,255,000","166,136,000","65,402,000","2,038,894","1,958,386","172,500","80,508"
35,6/30/2014,"826,568,000","196,306,000","85,421,000","18,815,000",-,"66,606,000",-,"1,929,000","129,000","1,800,000","108,956,000","108,956,000",-,"147,466,000",-,"201,338,000","131,476,000","4,388,000",-,"65,474,000",-,-,"55,260,000","55,398,000","6,630,000","18,777,000","14,306,000","15,685,000","-138,000","138,000","54,557,000","54,557,000",-,-,"5,911,000","12,317,000",-,"-6,406,000","9,737,000","6,600,000","3,137,000","155,993,000","754,367,000","117,695,000","117,695,000","117,695,000",-,"111,420,000","111,420,000","30,808,000","178,883,000","178,883,000","178,883,000",-,-,-,-,"11,936,000","11,936,000",0,"11,936,000","74,453,000","35,424,000","153,337,000","153,337,000",-,-,"40,411,000","72,201,000","70,755,000","5,040,000","5,020,000","20,000","45,145,000","23,608,000","2,305,000","-733,000",-,-,-,"1,446,000","224,092,000","5,020,000","65,735,000",-,"61,018,000","231,008,000","55,998,000","165,273,000","79,852,000","2,038,894","1,964,503",-,"74,391"
