,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Trust Fees by Commissions,Securities Activities,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
56,6/30/2009,"5,411,000","-488,000","1,393,000","13,000","13,000","867,000","63,000","133,000","317,000","1,881,000","100,000",0,"1,387,000","394,000",-,"5,899,000","975,000","975,000",-,-,"2,257,000",-,"1,281,000","1,856,000",-,0,0,-,"1,787,000",-,"6,030,000","376,000",-,"405,000","4,609,000","4,482,000","3,875,000","607,000","127,000","640,000",-,-,-,-,"-619,000","-333,000","149,000","33,000","-83,000","-286,000","319,000",-,-,"116,000",-,"149,000",-1.10,-1.10,"1,138,444","1,138,444","-488,000","33,000","-286,000","196,000","208,000","-286,000",-,-,0,0
57,3/31/2009,"3,042,000","149,000","2,524,000","88,000","88,000","1,568,000","113,000","444,000","311,000","2,375,000","-150,000","-37,000","1,472,000","-463,000","1,553,000","2,893,000","1,756,000","1,756,000",-,-,"1,756,000",-,"886,000","-181,000",-,0,0,-,"432,000",-,"3,927,000","342,000",-,"326,000","2,765,000","2,647,000","2,082,000","565,000","118,000","494,000",-,-,-,-,"-885,000","-695,000","-578,000","-578,000","-565,000","-565,000",-,-,-,"-13,000",-,"-578,000",-0.57,-0.57,"1,011,741","1,011,741","149,000","-578,000","-578,000","557,000","155,000","-578,000",-,-,0,0
58,11/30/2008,"-2,825,000","853,000","6,851,000",-,-,-,-,-,-,"5,998,000",-,-,-,-,-,"-3,678,000","603,000","2,262,000","2,236,000",-,"26,000",-,"788,000",-,-,"-1,440,000","-1,440,000",-,"-9,081,000",-,"2,795,000","435,000",-,-,"1,798,000","1,580,000","1,580,000",-,"218,000","-1,275,000",-,-,-,-,"-3,350,000","-1,155,000","-2,372,000","-2,295,000","-2,295,000","-2,195,000",-,-,-,-,"55,000","-2,372,000",-,-,-,-,"853,000","-2,295,000","-2,195,000",-,"485,000","-2,195,000",-,-,0,0
59,8/31/2008,"8,057,000","1,142,000","9,792,000",-,-,-,-,-,-,"8,650,000",-,-,-,-,-,"6,915,000","2,493,000","2,493,000","1,070,000",-,"1,423,000",-,"1,146,000",-,-,"453,000","453,000",-,"2,823,000",-,"6,101,000","309,000",-,-,"3,863,000","3,695,000","3,695,000",-,"168,000","1,929,000",-,-,-,-,"1,956,000","531,000","1,414,000","1,425,000","1,425,000","1,425,000",-,-,-,-,"11,000","1,414,000",1.36,1.32,"1,042,542","1,072,016","1,142,000","1,425,000","1,425,000",-,"100,000","1,425,000",-,-,0,0
60,5/31/2008,"6,529,000","104,000","10,117,000",-,-,-,-,-,-,"10,013,000",-,-,-,-,-,"6,425,000","2,619,000","2,619,000","1,464,000",-,"1,155,000",-,"1,049,000",-,-,"939,000","939,000",-,"1,818,000",-,"5,064,000","329,000",-,-,"3,167,000","2,960,000","2,960,000",-,"207,000","1,568,000",-,-,-,-,"1,465,000","439,000","1,012,000","1,026,000","1,026,000","1,026,000",-,-,-,-,"14,000","1,012,000",0.97,0.95,"1,038,145","1,067,184","104,000","1,026,000","1,026,000",-,"83,000","1,026,000",-,-,0,0
61,2/29/2008,"8,322,000","1,103,000","13,965,000",-,-,-,-,-,-,"12,862,000",-,-,-,-,-,"7,219,000","2,749,000","2,749,000","1,550,000",-,"1,199,000",-,"1,109,000",-,-,"3,046,000","3,046,000",-,"315,000",-,"6,106,000","286,000",-,-,"4,254,000","4,071,000","4,071,000",-,"183,000","1,566,000",-,-,-,-,"2,216,000","665,000","1,534,000","1,551,000","1,551,000","1,551,000",-,-,-,-,"17,000","1,534,000",1.50,1.45,"1,020,802","1,057,867","1,103,000","1,551,000","1,551,000",-,"126,000","1,551,000",-,-,0,0
62,11/30/2007,"-2,106,000","946,000","16,107,000",-,-,-,-,-,-,"15,161,000",-,-,-,-,-,"-3,052,000","1,377,000","3,033,000",-,-,-,-,"1,569,000",-,-,"-9,557,000","-9,557,000",-,"353,000",-,"3,633,000","312,000",-,-,"3,458,000","3,187,000","3,187,000",-,"271,000","-2,249,000",-,-,-,-,"-5,739,000","-2,198,000","-3,606,000","-3,588,000","-3,588,000","-3,588,000",0,-,-,-,"18,000","-3,606,000",-,-,-,-,"946,000","-3,588,000","-3,588,000",-,"-3,000","-3,588,000",-,-,0,0
63,8/31/2007,"7,958,000","1,133,000","14,405,000",-,-,-,-,-,-,"13,272,000",-,-,-,-,-,"6,825,000","2,965,000","2,965,000",-,-,-,-,"1,659,000",-,-,"1,939,000","1,939,000",-,"262,000",-,"5,712,000","279,000",-,-,"3,786,000","3,596,000","3,596,000",-,"190,000","1,647,000",-,-,-,-,"2,246,000","772,000","1,526,000","1,543,000","1,543,000","1,474,000","69,000",-,-,-,"17,000","1,526,000",1.52,1.44,"1,002,330","1,057,496","1,133,000","1,543,000","1,474,000",-,"224,000","1,474,000",-,-,0,0
64,5/31/2007,"11,706,000","59,000","16,066,000",-,-,-,-,-,-,"16,007,000",-,-,-,-,-,"11,647,000","3,623,000","3,623,000",-,-,-,-,"1,913,000",-,-,"5,821,000","5,821,000",-,"290,000","-204,000","7,649,000","301,000",-,-,"5,558,000","5,218,000","5,218,000",-,"340,000","1,790,000",-,-,-,-,"3,853,000","1,271,000","2,565,000","2,582,000","2,582,000","2,582,000",-,-,-,-,"17,000","2,565,000",2.57,2.45,"996,545","1,045,643","-145,000","2,582,000","2,582,000",-,"50,000","2,582,000",-,-,0,0
65,2/28/2007,"11,193,000","1,329,000","14,814,000",-,-,-,-,-,-,"13,485,000",-,-,-,-,-,"9,864,000","3,337,000","3,337,000","1,005,000",-,"2,332,000",-,"1,227,000",-,-,"5,078,000","5,078,000",-,"222,000","-195,000","7,178,000","280,000",-,-,"5,286,000","4,992,000","4,992,000",-,"294,000","1,612,000",-,-,-,-,"3,820,000","1,261,000","2,672,000","2,672,000","2,672,000","2,559,000","113,000",-,-,-,-,"2,672,000",2.63,2.51,"1,009,187","1,057,913","1,134,000","2,672,000","2,559,000",-,"204,000","2,559,000",-,-,0,0
66,11/30/2006,"7,558,000","1,274,000","11,883,000",-,-,-,-,-,-,"10,609,000",-,-,-,-,-,"6,284,000","1,847,000","3,153,000","2,466,000",-,"-2,818,000",-,"1,503,000",-,-,"-9,006,000","-9,006,000",-,"202,000","-239,000","4,276,000","276,000",-,-,"3,773,000","3,354,000","3,354,000",-,"419,000","-2,020,000",-,-,-,-,"3,043,000","609,000","2,187,000","2,206,000","2,206,000","2,206,000",0,-,-,-,-,"2,187,000",-,-,-,-,"1,035,000","2,206,000","2,206,000",-,"338,000","2,206,000",-,-,0,0
67,8/31/2006,"8,220,000","835,000","12,670,000",-,-,-,-,-,-,"11,835,000",-,-,-,-,-,"7,385,000","3,091,000","3,091,000","888,000",-,"2,203,000",-,"1,138,000",-,-,"3,026,000","3,026,000",-,"130,000","-232,000","5,323,000","255,000",-,-,"3,441,000","3,149,000","3,149,000",-,"292,000","1,627,000",-,-,-,-,"2,665,000","814,000","1,851,000","1,851,000","1,851,000","1,851,000",-,-,-,-,-,"1,851,000",1.83,1.75,"1,010,468","1,055,664","603,000","1,851,000","1,851,000",-,"173,000","1,851,000",-,-,0,0
68,5/31/2006,"9,074,000","126,000","10,114,000",-,-,-,-,-,-,"9,988,000",-,-,-,-,-,"8,948,000","1,656,000","1,656,000","1,005,000",-,"651,000",-,"1,132,000",-,-,"4,425,000","4,425,000",-,"1,735,000","-130,000","5,871,000","237,000",-,-,"4,021,000","3,723,000","3,723,000",-,"298,000","1,613,000",-,-,-,-,"3,073,000","1,124,000","1,957,000","1,957,000","1,957,000","1,949,000","8,000",-,-,-,-,"1,957,000",1.82,1.75,"1,013,242","1,054,734","-4,000","1,957,000","1,949,000",-,"186,000","1,949,000",-,-,0,0
69,2/28/2006,"8,569,000","1,068,000","10,549,000",-,-,-,-,-,-,"9,481,000",-,-,-,-,-,"7,501,000","3,093,000","3,093,000","929,000",-,"2,164,000",-,"982,000",-,-,"3,312,000","3,381,000","-69,000","114,000","-155,000","6,036,000","232,000",-,-,"4,421,000","4,183,000","4,183,000",-,"238,000","1,383,000",-,-,-,-,"2,378,000","784,000","1,561,000","1,561,000","1,561,000","1,594,000","-33,000",-,-,-,-,"1,561,000",1.54,1.48,"1,020,041","1,061,765","913,000","1,561,000","1,640,251",-,"179,000","1,594,000","-69,000","-69,000",0,"-22,749"
70,11/30/2005,"6,961,000","1,046,000","9,299,000",-,-,-,-,-,-,"8,253,000",-,-,-,-,-,"5,915,000","-2,168,000","-2,168,000","2,506,000",-,"-4,674,000",-,"1,216,000",-,-,"1,763,000","2,408,000","-645,000","5,104,000","-310,000","4,838,000","243,000",-,-,"3,003,000","2,672,000","2,672,000",-,"331,000","1,592,000",-,-,-,-,"2,064,000","318,000","2,465,000","2,465,000","2,465,000","1,746,000","719,000",0,-,-,-,"2,465,000",-,-,-,-,"736,000","2,465,000","2,079,297",-,"151,000","1,746,000","-394,000","-394,000",0,"-60,703"
71,8/31/2005,"7,171,000","1,012,000","6,998,000",-,-,-,-,-,-,"5,986,000",-,-,-,-,-,"6,159,000","2,808,000","2,808,000","804,000",-,"2,004,000",-,"992,000",-,-,"2,253,000","2,159,000","94,000","106,000","-224,000","5,310,000","239,000",-,-,"3,441,000","3,165,000","3,165,000",-,"276,000","1,630,000",-,-,-,-,"1,637,000","471,000","144,000","144,000","144,000","1,166,000","-1,022,000",-,-,-,-,"144,000",0.14,0.13,"1,045,874","1,072,033","788,000","144,000","1,099,046",-,"186,000","1,166,000","94,000","94,000",0,"27,046"
72,5/31/2005,"6,248,000","438,000","6,035,000",-,-,-,-,-,-,"5,597,000",-,-,-,-,-,"5,810,000","2,801,000","2,801,000","824,000",-,"1,977,000",-,"814,000",-,-,"2,034,000","1,911,000","123,000","161,000","-209,000","4,716,000","233,000",-,-,"2,929,000","2,630,000","2,630,000",-,"299,000","1,554,000",-,-,-,-,"1,323,000","395,000","928,000","928,000","928,000","928,000",-,-,-,-,-,"928,000",0.88,0.86,"1,053,812","1,079,811","229,000","928,000","841,723",-,"247,000","928,000","123,000","123,000",0,"36,723"
73,2/28/2005,"6,908,000","1,183,000","5,843,000",-,-,-,-,-,-,"4,660,000",-,-,-,-,-,"5,725,000","2,836,000","2,836,000","824,000",-,"2,012,000",-,"821,000",-,-,"1,894,000","1,967,000","-73,000","174,000","-135,000","4,757,000","333,000",-,-,"3,120,000","2,861,000","2,861,000",-,"259,000","1,304,000",-,-,-,-,"2,016,000","671,000","1,402,000","1,402,000","1,402,000","1,345,000","8,000","49,000",-,-,-,"1,402,000",1.31,1.29,"1,069,097","1,090,166","1,048,000","1,353,000","1,393,703",-,"231,000","1,345,000","-73,000","-73,000",0,"-24,297"
74,11/30/2004,"5,923,000","987,000","5,735,000",-,-,-,-,-,-,"4,748,000",-,-,-,-,-,"4,936,000","2,660,000","2,660,000","718,000",-,"1,942,000",-,"746,000",-,-,"1,352,000","1,101,000",-,"178,000","-223,000","4,090,000","215,000",-,-,"2,231,000","1,898,000","1,898,000",-,"333,000","1,644,000",-,-,-,-,"1,610,000","411,000","1,200,000","1,200,000","1,200,000","1,199,000","1,000",-,-,0,-,"1,200,000",-,-,-,-,"764,000","1,200,000","1,199,000",-,"342,000","1,199,000",-,-,0,0
75,8/31/2004,"5,588,000","1,221,000","5,410,000",-,-,-,-,-,-,"4,189,000",-,-,-,-,-,"4,367,000","2,664,000","2,664,000","768,000",-,"1,896,000",-,"783,000",-,-,"743,000","820,000","-77,000","177,000","-240,000","4,143,000","228,000",-,-,"2,626,000","2,347,000","2,347,000",-,"279,000","1,289,000",-,-,-,-,"1,205,000","343,000","837,000","837,000","837,000","862,000","-25,000",-,-,-,-,"837,000",0.78,0.76,"1,081,449","1,105,546","981,000","837,000","917,082",-,"161,000","862,000","-77,000","-77,000",0,"-21,918"
76,5/31/2004,"6,770,000","712,000","3,663,000",-,-,-,-,-,-,"2,951,000",-,-,-,-,-,"6,058,000","2,781,000","2,781,000","877,000",-,"1,904,000",-,"983,000",-,-,"2,174,000","2,255,000","-81,000","120,000","-200,000","4,849,000","206,000",-,-,"3,186,000","2,923,000","2,923,000",-,"263,000","1,457,000",-,-,-,-,"1,721,000","498,000","1,223,000","1,223,000","1,223,000","1,223,000",-,-,-,-,-,"1,223,000",1.13,1.10,"1,082,212","1,110,357","512,000","1,223,000","1,280,561",-,"131,000","1,223,000","-81,000","-81,000",0,"-23,439"
77,2/29/2004,"6,410,000","293,000","3,782,000",-,-,-,-,-,-,"3,489,000",-,-,-,-,-,"6,117,000","1,981,000","1,981,000","1,072,000",-,"909,000",-,"829,000",-,-,"2,283,000","2,376,000","-93,000","1,024,000","-262,000","4,325,000","200,000",-,-,"2,966,000","2,712,000","2,712,000",-,"254,000","1,159,000",-,-,-,-,"1,778,000","552,000","1,226,000","1,226,000","1,271,000","1,226,000",-,-,-,"-45,000",-,"1,226,000",1.14,1.11,"1,078,718","1,106,001","31,000","1,226,000","1,290,127",-,"171,000","1,226,000","-93,000","-93,000",0,"-28,873"
78,11/30/2003,"5,399,000","1,036,000","4,729,000",-,-,-,-,-,-,"3,693,000",-,-,-,-,-,"4,363,000","1,793,000","1,793,000","973,000",-,"820,000",-,"707,000",-,-,"905,000","905,000",-,"958,000","-312,000","3,817,000","212,000",-,-,"2,038,000","1,782,000","1,782,000",-,"256,000","1,567,000",-,-,-,-,"1,225,000","211,000","1,014,000","1,014,000","1,059,000","1,014,000",-,-,-,"-45,000",-,"1,014,000",-,-,-,-,"724,000","1,014,000","1,014,000",-,-,"1,014,000",-,-,0,0
79,8/31/2003,"5,561,000","166,000","3,534,000",-,-,-,-,-,-,"3,368,000",-,-,-,-,-,"5,395,000","1,758,000","1,758,000","956,000",-,"802,000",-,"608,000",-,-,"2,143,000","2,143,000",-,"886,000","-310,000","3,374,000","191,000",-,-,"2,137,000","1,938,000","1,938,000",-,"199,000","1,046,000",-,-,-,-,"1,830,000","561,000","1,269,000","1,269,000","1,316,000","1,269,000",-,-,-,"-47,000",-,"1,269,000",0.96,0.94,"1,077,681","1,100,593","-144,000","1,269,000","1,269,000",-,-,"1,269,000",-,-,0,0
80,5/31/2003,"5,358,000","632,000","3,692,000",-,-,-,-,-,-,"3,060,000",-,-,-,-,-,"4,726,000","1,727,000","1,727,000","885,000",-,"842,000",-,"536,000",-,-,"1,642,000","1,642,000",-,"821,000","-309,000","4,134,000","195,000",-,-,"2,529,000","2,272,000","2,272,000",-,"257,000","1,410,000",-,-,-,-,"875,000","276,000","599,000","599,000","639,000","599,000",-,-,-,"-40,000",-,"599,000",0.56,0.55,"1,077,386","1,097,478","323,000","599,000","599,000",-,-,"599,000",-,-,0,0
81,2/28/2003,"5,814,000","1,101,000","3,789,000",-,-,-,-,-,-,"2,688,000",-,-,-,-,-,"4,713,000","1,833,000","1,833,000","903,000",-,"930,000",-,"589,000",-,-,"1,534,000","1,534,000",-,"757,000","-336,000","4,052,000","196,000",-,-,"2,817,000","2,548,000","2,548,000",-,"269,000","1,039,000",-,-,-,-,"1,404,000","499,000","905,000","905,000","927,000","905,000",-,-,-,"-22,000",-,"905,000",0.84,0.82,"1,079,052","1,099,724","765,000","905,000","905,000",-,-,"905,000",-,-,0,0
82,11/30/2002,"4,568,000","785,000","3,787,000",-,-,-,-,-,-,"3,002,000",-,-,-,-,-,"3,783,000","5,065,000","5,065,000",-,-,-,-,"689,000",-,-,"431,000","431,000",-,"-2,402,000","-319,000","2,857,000","221,000",-,-,"1,476,000","1,147,000","1,147,000",-,"329,000","1,160,000",-,-,-,-,"1,135,000","403,000","732,000","732,000","754,000","732,000",-,-,-,"-22,000",-,"732,000",-,-,-,-,"466,000","732,000","732,000",-,-,"732,000",-,-,0,0
83,8/31/2002,"4,968,000","1,185,000","4,373,000",-,-,-,-,-,-,"3,188,000",-,-,-,-,-,"3,783,000","1,849,000","1,849,000",-,-,-,-,"482,000",-,-,"393,000","393,000",-,"1,059,000","-332,000","3,667,000","198,000",-,-,"2,352,000","2,061,000","2,061,000",-,"291,000","1,117,000",-,-,-,-,"948,000","337,000","611,000","611,000","632,000","611,000",-,-,-,"-21,000",-,"611,000",0.57,0.55,"1,081,709","1,105,495","853,000","611,000","611,000",-,-,"611,000",-,-,0,0
84,5/31/2002,"5,305,000","1,030,000","3,874,000",-,-,-,-,-,-,"2,844,000",-,-,-,-,-,"4,275,000","1,924,000","1,924,000",-,-,-,-,"655,000",-,-,"688,000","688,000",-,"1,008,000","-340,000","3,718,000","210,000",-,-,"2,493,000","2,234,000","2,234,000",-,"259,000","1,015,000",-,-,-,-,"1,225,000","428,000","797,000","797,000","819,000","797,000",-,-,-,"-22,000",-,"797,000",0.73,0.72,"1,084,993","1,113,949","690,000","797,000","797,000",-,-,"797,000",-,-,0,0
85,2/28/2002,"5,604,000","896,000","3,832,000",-,-,-,-,-,-,"2,936,000",-,-,-,-,-,"4,708,000","1,898,000","1,898,000",-,-,-,-,"684,000",-,-,"1,155,000","1,155,000",-,"971,000","-345,000","3,912,000","200,000",-,-,"2,739,000","2,488,000","2,488,000",-,"251,000","973,000",-,-,-,-,"1,325,000","477,000","848,000","848,000","870,000","848,000",-,-,-,"-22,000",-,"848,000",0.78,0.76,"1,082,380","1,112,959","551,000","848,000","848,000",-,-,"848,000",-,-,0,0
86,11/30/2001,"4,523,000","812,000","4,116,000",-,-,-,-,-,-,"3,304,000",-,-,-,-,-,"3,711,000","4,618,000","4,618,000",-,-,-,-,"805,000",-,-,"545,000","545,000",-,"-2,257,000","-331,000","2,824,000","216,000",-,-,"1,320,000","1,424,000","1,424,000",-,"-104,000","1,288,000",-,-,-,-,"1,368,000","498,000","865,000","870,000","870,000","870,000",-,0,0,-,"5,000","865,000",-,-,-,-,"481,000","870,000","870,000",-,-,"870,000",-,-,0,0
87,8/31/2001,"5,548,000","942,000","5,825,000",-,-,-,-,-,-,"4,883,000",-,-,-,-,-,"4,606,000","1,951,000","1,951,000",-,-,-,-,"789,000",-,-,"1,038,000","1,038,000",-,"828,000","-277,000","4,113,000","227,000",-,-,"2,789,000","2,380,000","2,380,000",-,"409,000","1,097,000",-,-,-,-,"1,158,000","423,000","696,000","705,000","705,000","735,000",-,-,"-30,000",-,"9,000","696,000",0.64,0.62,"1,085,447","1,119,301","665,000","735,000","735,000",-,-,"735,000",-,-,0,0
88,5/31/2001,"6,279,000","537,000","6,950,000",-,-,-,-,-,-,"6,413,000",-,-,-,-,-,"5,742,000","1,964,000","1,964,000",-,-,-,-,"801,000",-,-,"2,002,000","2,002,000",-,"975,000","-231,000","4,583,000","232,000",-,-,"3,196,000","2,742,000","2,742,000",-,"454,000","1,155,000",-,-,-,-,"1,465,000","535,000","921,000","930,000","930,000","930,000",-,-,-,-,"9,000","921,000",0.85,0.82,"1,085,306","1,120,687","306,000","930,000","930,000",-,-,"930,000",-,-,0,0
89,2/28/2001,"6,598,000","1,057,000","7,236,000",-,-,-,-,-,-,"6,179,000",-,-,-,-,-,"5,541,000","1,947,000","1,947,000",-,-,-,-,"957,000",-,-,"1,663,000","1,663,000",-,"974,000","-213,000","4,692,000","220,000",-,-,"3,350,000","2,851,000","2,851,000",-,"499,000","1,122,000",-,-,-,-,"1,693,000","618,000","1,007,000","1,016,000","1,016,000","1,075,000",-,"-59,000",-,-,"9,000","1,007,000",0.93,0.89,"1,089,270","1,134,150","844,000","1,075,000","1,075,000",-,-,"1,075,000",-,-,0,0
90,11/30/2000,"5,862,000","883,000","5,465,000",-,-,-,-,-,-,"4,582,000",-,-,-,-,-,"4,979,000","6,055,000","6,055,000",-,-,-,-,"1,131,000",-,-,-,-,-,"4,499,000","-208,000","3,765,000","221,000",-,-,"2,353,000","1,775,000","1,775,000",-,"578,000","1,191,000",-,-,-,-,"1,889,000","681,000","1,199,000","1,208,000","1,208,000","1,208,000",-,-,-,-,"9,000","1,199,000",-,-,-,-,"675,000","1,208,000","1,208,000",-,-,"1,208,000",-,-,0,0
91,8/31/2000,"6,504,000","655,000","5,897,000",-,-,-,-,-,-,"5,242,000",-,-,-,-,-,"5,849,000","1,963,000","1,963,000",-,-,-,-,"1,172,000",-,-,"1,733,000","1,698,000","35,000","981,000","-175,000","4,419,000","202,000",-,-,"3,163,000","2,656,000","2,656,000",-,"507,000","1,054,000",-,-,-,-,"1,910,000","664,000","1,237,000","1,246,000","1,246,000","1,246,000",-,-,-,-,"9,000","1,237,000",1.14,1.09,"1,098,245","1,145,401","480,000","1,246,000","1,223,168",-,-,"1,246,000","35,000","35,000",0,"12,168"
92,5/31/2000,"7,272,000","703,000","5,123,000",-,-,-,-,-,-,"4,420,000",-,-,-,-,-,"6,569,000","1,871,000","1,871,000",-,-,-,-,"1,370,000",-,-,"2,265,000","2,265,000",-,"1,063,000","-204,000","4,773,000","174,000",-,-,"3,599,000","3,097,000","3,097,000",-,"502,000","1,000,000",-,-,-,-,"2,295,000","837,000","1,449,000","1,458,000","1,458,000","1,458,000",-,-,-,-,"9,000","1,449,000",1.32,1.26,"1,098,245","1,145,401","499,000","1,458,000","1,458,000",-,-,"1,458,000",-,-,0,0
93,2/29/2000,"7,634,000","817,000","4,797,000",-,-,-,-,-,-,"3,980,000",-,-,-,-,-,"6,817,000","1,640,000","1,640,000",-,-,-,-,"1,335,000",-,-,"2,708,000","2,708,000",-,"1,134,000","-223,000","4,979,000","175,000",-,-,"3,879,000","3,408,000","3,408,000",-,"471,000","925,000",-,-,-,-,"2,432,000","888,000","1,535,000","1,544,000","1,544,000","1,544,000",-,-,-,-,"9,000","1,535,000",1.40,1.34,"1,096,429","1,145,522","594,000","1,544,000","1,544,000",-,-,"1,544,000",-,-,0,0
94,11/30/1999,"5,778,000","636,000","1,625,000",-,-,-,-,-,-,"989,000",-,-,-,-,-,"5,142,000","2,350,000","2,350,000",-,-,-,-,"1,337,000",-,-,-,-,-,"6,749,000","-120,000","3,023,000","178,000",-,-,"1,815,000","1,320,000","1,320,000",-,"495,000","1,030,000",-,-,-,-,"2,635,000","1,002,000","1,622,000","1,633,000","1,633,000","1,633,000",-,-,-,-,"11,000","1,622,000",-,-,-,-,"516,000","1,633,000","1,633,000",-,-,"1,633,000",-,-,0,0
95,8/31/1999,"5,456,000","715,000","4,961,000",-,-,-,-,-,-,"4,246,000",-,-,-,-,-,"4,741,000","2,233,000","2,233,000",-,-,-,-,"1,207,000",-,-,"1,262,000","1,262,000",-,"39,000","-113,000","3,780,000","166,000",-,-,"2,710,000","2,302,000","2,302,000",-,"408,000","904,000",-,-,-,-,"1,563,000","593,000","959,000","970,000","970,000","970,000",-,-,-,-,"11,000","959,000",0.87,0.83,"1,100,113","1,161,402","602,000","970,000","970,000",-,-,"970,000",-,-,0,0
96,5/31/1999,"5,776,000","411,000","3,689,000",-,-,-,-,-,-,"3,278,000",-,-,-,-,-,"5,365,000","1,432,000","1,432,000",-,-,-,-,"1,022,000",-,-,"2,076,000","2,076,000",-,"835,000","-119,000","3,799,000","153,000",-,-,"2,794,000","2,413,000","2,413,000",-,"381,000","852,000",-,-,-,-,"1,858,000","707,000","1,141,000","1,151,000","1,151,000","1,151,000",-,-,-,-,"10,000","1,141,000",1.03,0.98,"1,107,767","1,164,286","292,000","1,151,000","1,151,000",-,-,"1,151,000",-,-,0,0
97,2/28/1999,"5,528,000","603,000","3,480,000",-,-,-,-,-,-,"2,877,000",-,-,-,-,-,"4,925,000","1,308,000","1,308,000",-,-,-,-,"957,000",-,-,"1,956,000","1,956,000",-,"704,000","-177,000","3,679,000","146,000",-,-,"2,758,000","2,363,000","2,363,000",-,"395,000","775,000",-,-,-,-,"1,672,000","635,000","1,026,000","1,037,000","1,037,000","1,037,000",-,-,-,-,"11,000","1,026,000",0.93,0.88,"1,103,226","1,165,909","426,000","1,037,000","1,037,000",-,-,"1,037,000",-,-,0,0
98,11/30/1998,"4,182,000","569,000","4,007,000",-,-,-,-,-,-,"3,438,000",-,-,-,-,-,"3,613,000","1,948,000","1,948,000",-,-,-,-,"733,000",-,-,-,-,-,"3,424,000","-213,000","2,746,000","152,000",-,-,"1,699,000","1,222,000","1,222,000",-,"477,000","895,000",-,-,-,-,"1,908,000","705,000","1,074,000","1,086,000","1,086,000","1,203,000",-,-,-,-,"12,000","1,074,000",-,-,-,-,"356,000","1,203,000","1,203,000",-,-,"1,203,000",-,-,0,0
99,8/31/1998,"4,121,000","906,000","4,283,000",-,-,-,-,-,-,"3,377,000",-,-,-,-,-,"3,215,000","2,019,000","2,019,000",-,-,-,-,"819,000",-,-,"325,000","325,000",-,"52,000","-280,000","2,897,000","148,000",-,-,"1,963,000","1,609,000","1,609,000",-,"354,000","786,000",-,-,-,-,"944,000","299,000","631,000","645,000","645,000","645,000",-,-,-,-,"14,000","631,000",0.54,0.51,"1,133,333","1,200,000","626,000","645,000","645,000",-,-,"645,000",-,-,0,0
100,5/31/1998,"4,874,000","659,000","4,213,000",-,-,-,-,-,-,"3,554,000",-,-,-,-,-,"4,215,000","1,377,000","1,377,000",-,-,-,-,"988,000",-,-,"1,192,000","1,192,000",-,"658,000","-275,000","3,199,000","143,000",-,-,"2,303,000","2,017,000","2,017,000",-,"286,000","753,000",-,-,-,-,"1,400,000","546,000","840,000","854,000","854,000","854,000",-,-,-,-,"14,000","840,000",0.72,0.69,"1,163,889","1,214,493","384,000","854,000","854,000",-,-,"854,000",-,-,0,0
101,2/28/1998,"4,440,000","788,000","3,933,000",-,-,-,-,-,-,"3,145,000",-,-,-,-,-,"3,652,000","1,275,000","1,275,000",-,-,-,-,"800,000",-,-,"975,000","975,000",-,"602,000","-405,000","2,902,000","140,000",-,-,"2,082,000","1,788,000","1,788,000",-,"294,000","680,000",-,-,-,-,"1,133,000","442,000","691,000","691,000","691,000","691,000",-,-,-,-,-,"691,000",0.48,0.45,"1,195,833","1,275,556","383,000","691,000","691,000",-,-,"691,000",-,-,0,0
