,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Pension And Employee Benefit Expense,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
20,11/30/2003,"2,355,000","2,355,000","3,787,000",-,-,-,-,-,-,"637,000","637,000","205,000","205,000","-4,620,000",-,-,-,"2,346,000",-,-,-,-,-,-,-,-,-,-,-,"1,763,000","1,763,000",-,-,-,-,-,-,"-603,000",-,-,-,-,-,"2,366,000","-3,638,000","-3,638,000","-1,598,000","10,445,000","23,486,000","-13,041,000","-12,043,000",-,"-128,000",-,-,-,-,-,"-994,000",-,-,"29,692,000","480,000",-,"29,212,000",-,-,-,"-603,000",-,"23,486,000","-13,041,000",-,"1,752,000"
21,11/30/2002,"-5,054,000","-5,054,000","2,988,000",-,-,-,-,-,-,"787,000","787,000","55,000","55,000","1,908,000",-,-,-,"-10,792,000",-,-,-,-,-,-,-,-,-,-,-,"-5,655,000","-5,655,000",-,-,-,-,-,-,"-1,124,000",-,-,-,-,-,"-4,531,000","13,325,000","13,325,000","22,518,000","4,571,000","11,043,000","-6,472,000","17,947,000",-,"-1,156,000",-,-,-,-,-,"-1,000,000","-8,518,000",-,"29,212,000","2,616,000",-,"26,596,000",-,-,-,"-1,124,000",-,"11,043,000","-6,472,000",-,"-6,178,000"
22,11/30/2001,"-24,091,000","-24,091,000","3,521,000",-,-,-,-,-,-,"729,000","729,000","-427,000","-427,000","1,851,000",-,-,-,"-29,765,000",-,-,-,-,-,-,-,-,-,-,-,"-887,000","-887,000",-,-,-,-,-,-,"-1,998,000",-,-,"-183,000",-,-,"1,294,000","32,755,000","32,755,000","12,385,000","7,297,000","18,498,000","-11,201,000","5,088,000",-,"-1,386,000",-,-,"810,000",-,-,"-1,040,000","21,640,000",-,"26,596,000","7,777,000",-,"18,819,000",-,-,-,"-1,998,000",-,"18,498,000","-11,201,000",-,"-26,089,000"
23,11/30/2000,"-2,384,000","-2,384,000","5,456,000",-,-,-,-,-,-,"727,000","727,000","-219,000","-219,000","-62,801,000",-,-,-,"54,453,000",-,-,-,-,-,-,-,-,-,-,-,"-2,685,000","-2,685,000",-,-,-,-,-,-,"-836,000",-,-,"-199,000",-,-,"-1,650,000","11,563,000","11,563,000","2,561,000","13,124,000","22,475,000","-9,351,000","-10,563,000",-,"-3,761,000",-,-,-,-,-,"-924,000","12,154,000",-,"18,819,000","6,494,000",-,"12,325,000",-,-,-,"-836,000",-,"22,475,000","-9,351,000",-,"-3,220,000"
24,11/30/1999,"-29,271,000","-29,271,000","4,791,000",-,-,-,-,-,-,"541,000","541,000","-160,000","-160,000","-28,836,000",-,-,-,"-5,607,000",-,-,-,-,-,-,-,-,-,-,-,"-6,651,000","-6,651,000",-,-,-,-,-,-,"-656,000",-,-,-,-,-,"-5,995,000","31,369,000","31,369,000","10,928,000","934,000","7,552,000","-6,618,000","9,994,000",-,"-2,511,000",-,-,-,-,-,"-575,000","21,327,000",-,"12,325,000","-4,553,000",-,"16,878,000",-,-,-,"-656,000",-,"7,552,000","-6,618,000",-,"-29,927,000"
25,11/30/1998,"15,369,000","15,369,000","3,393,000",-,-,-,-,-,-,"575,000","575,000","-55,000","-55,000","3,247,000",-,-,-,"8,209,000",-,-,-,-,-,-,-,-,-,-,-,"3,193,000","3,193,000",-,-,-,-,-,-,"1,041,000",-,-,-,-,-,"2,152,000","-9,939,000","-9,939,000","8,322,000","2,702,000","9,771,000","-7,069,000","5,620,000",-,"-2,939,000",-,-,-,-,-,"-519,000","-14,007,000",-,0,"8,623,000",-,"8,255,000","-16,878,000",-,-,-,-,"9,771,000","-7,069,000",-,"15,369,000"
26,11/30/1997,"-588,000","-588,000","2,586,000",-,-,-,-,-,-,"338,000","338,000","-77,000","-77,000","-8,655,000",-,-,-,"5,220,000",-,-,-,-,-,-,-,-,-,-,-,"-2,528,000","-2,528,000",-,-,-,-,-,-,"-301,000",-,-,-,-,-,"-2,227,000","5,985,000","5,985,000","1,319,000","2,655,000","6,619,000","-3,964,000","-1,336,000",-,"-245,000",-,-,-,-,-,"-416,000","3,214,000",-,0,"2,869,000",-,"5,386,000","-8,255,000",-,-,"-301,000",-,"6,619,000","-3,964,000",-,"-889,000"
27,12/31/1996,"2,208,400","2,208,400","951,400",-,-,-,-,-,-,"83,300","83,300","-83,400","-83,400","1,319,400",-,-,-,"-62,300",-,-,-,-,-,-,-,-,-,-,-,"-2,798,700",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,125,000","1,125,000","818,900","1,342,500","1,420,100","-77,600","-523,600",-,"-581,400",-,-,-,-,-,"-134,000",-,-,0,"534,700",-,"1,464,500","-1,999,200",-,-,-,-,"1,420,100","-77,600",-,"2,208,400"
28,12/31/1995,"1,476,800","1,476,800","856,400","-326,500",-,"-326,500",-,-,-,"70,000","70,000","-93,400","-93,400","800,900",-,-,-,"169,400",-,-,"-26,200","-26,200","-26,200","-26,200",-,-,-,-,"195,600","-6,025,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,678,600","4,678,600","3,531,800","1,433,500","1,433,500",-,"2,098,300",-,"-80,600",-,-,-,-,-,"-102,300","347,300",-,0,"130,400",-,"1,334,100","-1,464,500",-,-,-,-,"1,433,500",-,-,"1,476,800"
29,12/31/1994,"2,894,100","2,894,100","740,900",-,-,-,-,-,-,"58,800","58,800","-155,600","-155,600","585,400",-,-,-,"1,664,600",-,-,"-89,500","-89,500","-89,500","-89,500",-,-,-,-,"1,754,100","-4,400,700",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,010,400","2,010,400","2,679,200","2,336,100","2,336,100",-,"343,100",-,"-82,000",-,-,-,-,-,"-81,100","-826,300",-,0,"503,800",-,"830,300","-1,334,100",-,-,-,-,"2,336,100",-,-,"2,894,100"
30,12/31/1993,"1,350,600","1,350,600","603,600",-,-,-,-,-,-,"51,300","51,300","-102,400","-102,400","457,600",-,-,-,"340,500",-,-,"-38,300","-38,300","-38,300","-38,300",-,-,-,-,"378,800","-2,772,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,116,900","1,116,900","683,100","5,312,800","5,312,800",-,"-4,629,700",-,"857,100",-,-,-,-,-,"-690,300","236,000",-,0,"-305,000",-,"1,135,300","-830,300",-,-,-,-,"5,312,800",-,-,"1,350,600"
31,1/31/1993,"4,799,300","4,799,300","510,500","4,063,500",-,"4,063,500",-,-,-,-,-,"-110,300","-110,300","165,200",-,-,-,"170,400","-1,451,700","-1,451,700","1,536,900","1,536,900",-,-,"1,536,900",-,"-1,451,700","1,536,900",-,"-66,300","-66,300",-,-,-,-,-,-,"-66,300","-66,300",-,-,-,-,-,"-3,831,700","-3,831,700","-3,060,800",-,-,-,"-3,060,800",-,-,-,-,"-104,600","-104,600",-,"-102,900","-563,400",-,-,"901,300",-,"1,268,500",-,-,-,"-66,300","-104,600",-,-,-,"4,733,000"
32,12/31/1991,"-2,756,600","-2,756,600","475,100",-,-,-,-,-,-,-,-,"-70,500","-70,500","3,473,200",-,-,-,"-6,634,400","-4,427,700","-4,427,700","1,110,500","1,110,500",-,-,"1,110,500",-,"-4,427,700","1,110,500",-,"-211,400","-211,400",-,-,-,-,-,-,"-211,400","-211,400",-,-,-,-,-,"4,369,600","4,369,600","1,310,800",-,-,-,"1,310,800",-,-,-,-,"322,500","322,500",-,"-85,500","2,821,800",100,-,"1,401,700",-,"1,144,200",-,-,-,"-211,400","322,500",-,-,-,"-2,968,000"
