,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
0,12/31/2022,"1,180,231,000","242,034,000","92,747,000",-,"92,747,000","35,380,000","35,380,000",-,"113,907,000","113,907,000","113,907,000","133,374,000",-,"336,842,000","176,904,000","69,498,000","69,931,000","20,509,000","39,000",-,"213,785,000","214,624,000","14,788,000","6,589,000",-,"62,975,000","130,272,000","839,000","78,540,000","78,540,000",-,-,"4,000","4,000","4,000",-,"24,270,000","16,652,000","7,618,000","151,343,000","1,079,000,000","356,646,000","356,646,000","356,646,000",-,"62,534,000","62,534,000","15,679,000","216,134,000","216,134,000","216,134,000",-,-,-,-,"5,135,000","5,135,000",-,"5,135,000","116,303,000","38,135,000","241,081,000","241,081,000",-,-,"27,353,000","101,231,000","100,141,000","8,770,000","8,750,000","20,000","94,862,000","29,339,000","26,577,000","-6,253,000",-,-,-,"1,090,000","341,222,000","8,750,000","91,391,000",-,"75,871,000","337,607,000","67,121,000","246,216,000","153,469,000","2,039,843","1,675,000","264,500","364,843"
1,12/31/2021,"1,188,140,000","247,724,000","86,838,000",-,"86,838,000","40,887,000","40,887,000",-,"119,999,000","119,999,000","119,999,000","129,713,000",-,"373,689,000","190,683,000","8,000","80,168,000","102,830,000","104,000",-,"188,134,000","188,788,000","13,832,000","5,567,000",-,"51,478,000","117,911,000","654,000","96,018,000","96,018,000",-,-,"16,000","16,000","16,000",-,"25,193,000","16,833,000","8,360,000","127,549,000","1,081,542,000","347,574,000","347,574,000","347,574,000",-,"62,188,000","62,188,000","12,299,000","228,685,000","228,685,000","228,685,000",-,-,-,-,"10,337,000","10,337,000",-,"10,337,000","123,760,000","34,568,000","232,831,000","232,831,000",-,-,"29,300,000","106,598,000","105,441,000","7,770,000","7,750,000","20,000","89,432,000","28,841,000","17,500,000","-3,102,000",-,-,-,"1,157,000","338,272,000","7,750,000","97,691,000",-,"80,248,000","340,859,000","72,498,000","243,168,000","156,330,000","2,038,894","1,772,227","264,500","266,667"
2,12/31/2020,"1,115,862,000","221,888,000","67,452,000","9,792,000","67,452,000","38,202,000","38,202,000","132,578,000","116,234,000","116,234,000","116,234,000","112,391,000",-,"362,330,000","180,160,000","16,000","71,771,000","110,383,000",-,-,"150,597,000","151,432,000","12,813,000","6,046,000",-,"42,614,000","89,959,000","835,000","97,737,000","97,737,000",-,-,"21,000","21,000","21,000",-,"16,615,000","11,635,000","4,980,000","154,283,000","1,012,713,000","310,782,000","310,782,000","310,782,000",-,"50,587,000","50,587,000","7,731,000","227,437,000","227,437,000","227,437,000",-,-,-,-,"14,144,000","14,144,000",-,"14,144,000","112,693,000","44,938,000","218,798,000","218,798,000",-,-,"25,603,000","103,149,000","101,781,000","9,270,000","9,250,000","20,000","78,694,000","25,546,000","9,767,000","-1,962,000",-,-,-,"1,368,000","320,579,000","9,250,000","92,531,000",-,"85,166,000","325,473,000","75,916,000","232,942,000","165,490,000","2,038,894","1,809,624","212,500","229,270"
3,12/31/2019,"895,429,000","170,395,000","49,659,000","4,293,000","45,366,000","32,512,000","32,512,000","128,386,000","88,224,000","88,224,000","88,224,000","106,549,000",-,"274,562,000","168,724,000","113,000","43,502,000","62,223,000",-,-,"130,637,000","130,986,000","12,577,000","48,756,000","31,610,000","38,043,000",-,"349,000","55,646,000","55,646,000",-,-,-,-,-,-,"9,250,000","7,143,000","2,107,000","148,390,000","812,732,000","190,356,000","190,356,000","190,356,000",-,"54,200,000","54,200,000","8,506,000","197,834,000","197,834,000","197,834,000",-,-,-,-,"9,670,000","9,670,000",-,"9,670,000","104,922,000","28,434,000","197,655,000","197,655,000",-,-,"21,155,000","82,697,000","81,549,000","8,540,000","8,520,000","20,000","70,589,000","23,935,000","18,727,000","-2,788,000",-,-,-,"1,148,000","279,204,000","8,520,000","73,029,000",-,"72,299,000","280,354,000","63,779,000","207,325,000","157,666,000","2,038,894","1,593,974","212,500","444,920"
4,12/31/2018,"853,531,000","185,718,000","51,840,000","30,541,000","21,299,000","35,356,000","35,356,000","120,437,000","98,522,000","98,522,000","98,522,000","116,313,000",-,"237,808,000","145,862,000","114,000","30,771,000","61,061,000",-,-,"115,579,000","115,817,000","15,764,000","36,909,000","27,868,000","35,276,000","-238,000","238,000","53,298,000","53,298,000",-,-,-,-,-,-,"8,851,000","6,688,000","2,163,000","135,964,000","853,531,000","187,820,000","187,820,000","187,820,000",-,"49,759,000","49,759,000","11,908,000","179,559,000","179,559,000","179,559,000",-,-,-,-,"3,581,000","3,581,000",-,"3,581,000","99,489,000","27,258,000","195,547,000","195,547,000",-,-,"17,204,000","81,406,000","80,246,000","8,520,000","8,520,000","20,000","64,175,000","23,794,000","13,971,000","-2,292,000",-,-,-,"1,160,000","275,793,000","8,520,000","71,726,000",-,"71,395,000","270,854,000","62,875,000","199,128,000","147,288,000","2,038,894","1,699,829","212,500","339,065"
5,12/31/2017,"851,733,000","164,653,000","46,164,000","24,816,000","21,348,000","34,231,000","34,231,000","169,735,000","84,258,000","84,258,000",-,"124,010,000",-,"207,493,000","128,547,000","144,000","23,599,000","55,203,000",-,-,"104,126,000","104,350,000","11,173,000","29,754,000","26,808,000","36,615,000","-224,000","224,000","56,187,000","56,187,000",-,-,-,-,-,-,"9,045,000","6,597,000","2,448,000","186,219,000","773,267,000","159,436,000","159,436,000","159,436,000",-,"56,424,000","56,424,000","13,592,000","191,510,000","191,510,000","191,510,000",-,-,-,-,"3,553,000","3,553,000",-,"3,553,000","104,600,000","26,695,000","200,300,000","200,300,000",-,-,"17,157,000","78,466,000","77,391,000","8,540,000","8,520,000","20,000","57,577,000","23,545,000","9,211,000","-3,060,000",-,-,-,"1,075,000","277,691,000","8,520,000","68,871,000",-,"68,346,000","272,724,000","59,826,000","203,853,000","157,689,000","2,038,894","1,788,087","212,500","250,807"
6,12/31/2016,"814,949,000","145,336,000","43,381,000","22,017,000","21,364,000","152,548,000",-,"152,548,000","101,955,000","101,955,000",-,"125,236,000",-,"189,821,000","109,606,000","123,000","16,922,000","63,170,000",-,-,"94,248,000","94,522,000","12,544,000","25,025,000","24,866,000","32,087,000","-274,000","274,000","46,460,000","46,460,000",-,-,"25,000",-,-,-,"9,298,000","6,577,000","2,721,000","204,525,000","737,772,000","155,863,000","155,863,000","155,863,000",-,"54,628,000","54,628,000","15,844,000","190,513,000","190,513,000","190,513,000",-,-,-,-,"2,370,000","2,370,000",-,"2,370,000","98,878,000","29,315,000","174,464,000","174,464,000","20,262,000",-,"15,897,000","77,177,000","76,050,000","7,540,000","7,520,000","20,000","53,679,000","23,271,000","5,797,000","-2,643,000",-,-,-,"1,127,000","250,514,000","7,520,000","68,530,000","20,262,000","66,752,000","245,364,000","59,232,000","176,834,000","133,453,000","2,038,894","1,852,482","172,500","186,412"
7,12/31/2015,"787,465,000","174,306,000","85,352,000","19,813,000","65,539,000","1,297,000","186,000","1,111,000","87,657,000","87,657,000","87,657,000","142,416,000",-,"175,788,000","99,931,000","3,874,000","5,224,000","66,759,000",-,-,"85,759,000","85,984,000","13,200,000","23,554,000","21,528,000","27,702,000","-225,000","225,000","45,407,000","45,407,000",-,-,"6,373,000","13,513,000",-,"-7,140,000","9,568,000","6,584,000","2,984,000","147,848,000","711,281,000","156,034,000","156,034,000","156,034,000",-,"36,692,000","36,692,000","19,358,000","186,626,000","186,626,000","186,626,000",-,-,-,-,"3,608,000","3,608,000",-,"3,608,000","79,665,000","29,474,000","161,797,000","161,797,000",-,-,"38,027,000","76,184,000","75,182,000","7,540,000","7,520,000","20,000","49,204,000","24,153,000","4,059,000","-1,656,000",-,-,-,"1,002,000","236,979,000","7,520,000","67,662,000",-,"65,614,000","233,067,000","58,094,000","165,405,000","80,053,000","2,038,894","1,920,024","172,500","118,870"
8,12/31/2014,"801,510,000","172,371,000","87,397,000","21,336,000","66,061,000","1,686,000","149,000","1,537,000","83,288,000","83,288,000","83,288,000","136,708,000",-,"201,697,000","128,493,000","3,888,000","100,000","69,216,000",-,-,"66,577,000","66,726,000","9,458,000","19,659,000","16,576,000","21,033,000","-149,000","149,000","48,961,000","48,961,000",-,-,"6,108,000","12,327,000",-,"-6,219,000","9,747,000","6,588,000","3,159,000","159,341,000","729,406,000","133,544,000","133,544,000","133,544,000",-,"69,949,000","69,949,000","25,219,000","181,069,000","181,069,000","181,069,000",-,-,-,-,"3,656,000","3,656,000",0,"3,656,000","67,169,000","40,212,000","163,462,000","163,462,000",-,-,"45,126,000","72,104,000","70,900,000","6,040,000","6,020,000","20,000","44,625,000","24,249,000","2,766,000","-1,248,000",-,-,-,"1,204,000","234,362,000","6,020,000","64,880,000",-,"61,153,000","231,998,000","55,133,000","167,118,000","79,721,000","2,038,894","1,950,980","172,500","87,914"
9,12/31/2013,"832,702,000","220,052,000","98,542,000","16,058,000","82,484,000","3,380,000",-,"3,380,000","118,130,000","118,130,000","118,130,000","129,707,000",-,"185,357,000","126,841,000","5,086,000",-,"53,430,000",-,-,"42,874,000","43,030,000","6,329,000","13,263,000","11,577,000","11,861,000","-156,000","156,000","57,104,000","57,104,000",-,-,"6,019,000","12,439,000",-,"-6,420,000","9,881,000","6,595,000","3,286,000","181,708,000","763,672,000","112,379,000","112,379,000","112,379,000",-,"145,676,000","145,676,000","32,799,000","157,125,000","157,125,000","157,125,000",-,-,-,-,"6,375,000","6,375,000","8,000","6,367,000","70,760,000","33,761,000","163,557,000","163,557,000",-,0,"41,240,000","69,030,000","65,921,000","3,240,000","3,220,000","20,000","42,172,000","24,570,000","2,968,000","-1,093,000",-,-,-,"3,109,000","229,478,000","3,220,000","62,701,000",-,"56,040,000","232,633,000","52,820,000","169,932,000","71,390,000","2,038,894","1,944,869",632.382,"94,025"
