,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
10,12/31/2012,"780,960,000","212,879,000","77,348,000","20,352,000","56,996,000","1,119,000",-,"1,119,000","134,412,000","134,412,000",-,"121,701,000",-,"276,274,000","7,299,000","229,106,000",-,"39,869,000",-,"36,197,000","29,046,000","29,152,000",-,-,-,-,"29,152,000","106,000","64,288,000","56,953,000",-,"7,335,000","5,946,000","11,471,000",-,"-5,525,000","10,433,000","6,650,000","3,783,000","24,196,000","715,532,000","83,266,000","83,266,000","83,266,000",-,"205,838,000","205,838,000","36,849,000","127,722,000","127,722,000","127,722,000",-,-,-,-,"2,779,000","2,779,000","306,000","2,473,000",-,"36,958,000","184,657,000","184,657,000",-,"4,309,000","33,154,000","65,428,000","62,109,000","1,528,000","1,508,000","20,000","39,912,000","23,426,000","2,241,000","-516,000",-,-,-,"3,319,000","246,766,000","1,508,000","60,601,000",-,"51,676,000","248,037,000","50,168,000","187,436,000","110,088,000","2,038,894","1,974,042",563.882,"64,852"
11,12/31/2011,"749,898,000","207,367,000","76,255,000","12,654,000","63,601,000","957,000",-,"957,000","130,155,000","130,155,000",-,"127,074,000",-,"262,616,000","9,697,000","222,424,000",-,"30,495,000",-,"48,064,000","15,369,000","15,386,000",-,-,"15,386,000",-,"15,386,000","17,000","48,669,000","43,421,000","48,669,000","5,248,000","6,457,000","11,309,000",-,"-4,852,000","10,971,000","6,686,000","4,285,000","23,311,000","679,820,000","65,662,000","65,662,000","65,662,000",-,"174,494,000","174,494,000","30,462,000","123,615,000","123,615,000","123,615,000",-,-,"121,323,000",-,"3,118,000","3,118,000","978,000","2,140,000",-,"46,453,000","204,678,000","204,678,000",-,-,"31,338,000","70,078,000","62,049,000","1,528,000","1,508,000","20,000","40,341,000","22,836,000","2,499,000","-157,000",-,-,-,"8,029,000","266,727,000","1,508,000","60,541,000",-,"51,078,000","268,337,000","49,570,000","207,796,000","131,541,000","1,989,377","1,926,986",563.882,"62,391"
12,12/31/2010,"807,698,000","215,048,000","66,498,000","7,044,000","59,454,000","297,000",-,"297,000","148,253,000","148,253,000",-,"138,730,000",-,"290,515,000","6,778,000","254,088,000",-,"29,649,000",-,"51,292,000","10,576,000","10,658,000",-,-,"10,658,000",-,"10,658,000","82,000","54,150,000","45,048,000","54,150,000","9,102,000","6,154,000","10,630,000",-,"-4,476,000","11,406,000","6,739,000","4,667,000","29,827,000","742,291,000","63,812,000","63,812,000","63,812,000",-,"228,552,000","228,552,000","29,094,000","129,184,000","129,184,000","129,184,000",-,-,"126,612,000","16,518,000","3,762,000","3,762,000","945,000","2,817,000",-,"47,802,000","202,404,000","202,404,000",-,-,"37,681,000","65,407,000","57,211,000","9,613,000","9,597,000","16,000","38,603,000","13,521,000","4,059,000","-467,000",-,-,-,"8,196,000","259,615,000","9,597,000","47,614,000",-,"45,805,000","253,780,000","36,208,000","206,166,000","139,668,000","1,603,913","1,512,022","44,000","91,891"
13,12/31/2009,"771,462,000","198,911,000","55,703,000","6,988,000","48,715,000",-,-,-,"143,208,000","143,208,000",-,"167,501,000",-,"254,449,000","5,329,000","249,120,000",-,-,-,"49,081,000","7,259,000","7,259,000",-,-,-,-,"7,259,000",-,"44,477,000","38,758,000","44,477,000","5,719,000","7,067,000","10,801,000",-,"-3,734,000","12,216,000","7,162,000","5,054,000","30,501,000","718,682,000","62,215,000","62,215,000","62,215,000",-,"228,575,000","228,575,000","26,246,000","125,078,000","125,078,000","125,078,000",-,-,"122,481,000","20,849,000","2,378,000","2,378,000","783,000","1,595,000",-,"38,209,000","193,374,000","193,374,000",-,-,"42,607,000","52,780,000","46,688,000","9,612,000","9,597,000","15,000","35,056,000","8,619,000","6,039,000","-560,000",-,-,-,"6,092,000","240,062,000","9,597,000","37,091,000",-,"34,472,000","232,843,000","24,875,000","195,752,000","140,049,000","1,487,850","1,360,595","44,000","127,255"
14,11/30/2008,"658,812,000","210,519,000","137,742,000","11,276,000","126,466,000","59,088,000",-,-,"72,777,000","72,777,000",-,"85,785,000","31,294,000","181,868,000","2,204,000","179,664,000",-,-,-,"99,766,000","6,528,000","6,528,000",-,-,-,-,"6,528,000",-,"45,587,000","38,328,000",-,"7,259,000","5,057,000","8,060,000",-,"-3,003,000","3,138,000","2,243,000","895,000","20,564,000","607,981,000","42,755,000","42,755,000","42,755,000",-,"147,825,000","147,825,000","14,821,000","120,950,000","120,950,000","120,950,000",-,-,"118,366,000",-,"10,483,000","10,483,000","6,744,000","3,739,000",-,"73,521,000","163,437,000","163,437,000",-,-,"34,189,000","50,831,000","50,831,000","19,167,000","19,155,000","12,000","38,096,000","1,619,000","7,926,000","-125,000","-46,000","-79,000",-,-,"214,268,000","19,155,000","31,676,000",-,"47,693,000","205,596,000","28,538,000","173,920,000","36,178,000","1,238,601","1,074,498",-,"164,103"
15,11/30/2007,"1,045,409,000","214,093,000","87,206,000","25,598,000","61,608,000","61,608,000",-,-,"126,887,000","126,887,000","126,887,000","239,994,000","76,352,000","302,484,000","3,096,000","299,388,000",-,-,-,"77,003,000","11,629,000","11,629,000",-,-,-,-,"11,629,000",-,"100,683,000","84,672,000",-,"16,011,000","4,372,000","7,821,000",-,"-3,449,000","4,071,000","3,024,000","1,047,000","91,080,000","1,014,140,000","31,179,000","31,179,000","31,179,000",-,"225,577,000","225,577,000","110,423,000","215,631,000","215,631,000","215,631,000",-,-,"213,907,000",-,"34,495,000","34,495,000","22,596,000","11,899,000",-,"71,604,000","190,624,000","190,624,000",-,-,"134,607,000","31,269,000","31,269,000","1,112,000","1,100,000","12,000","38,045,000","1,902,000","9,591,000","-199,000","114,000","-313,000",-,-,"221,893,000","1,100,000","30,169,000",-,"27,198,000","255,288,000","26,098,000","225,119,000","137,913,000","1,056,290","1,056,290",-,-
16,11/30/2006,"1,120,645,000","225,037,000","50,171,000","20,606,000","29,565,000",-,-,-,"174,866,000","174,866,000","174,866,000","299,631,000","82,931,000","325,410,000","3,031,000","322,379,000",-,-,-,"55,443,000","24,173,000","25,004,000",-,-,"25,004,000",-,"25,004,000","831,000","100,264,000","92,631,000",-,"7,633,000","4,086,000","7,731,000",-,"-3,645,000","3,350,000","2,792,000","558,000","83,251,000","1,085,281,000","28,343,000","28,343,000","28,343,000","14,872,000","393,194,000","393,194,000","150,257,000","147,288,000","147,288,000","147,288,000",-,-,-,-,"29,092,000","29,092,000","22,433,000","6,659,000",-,"57,491,000","144,978,000","144,978,000",-,"66,000","134,572,000","35,364,000","35,364,000","1,112,000","1,100,000","12,000","41,422,000","2,213,000","9,348,000","-35,000",-,-,-,-,"180,342,000","1,100,000","34,264,000",-,"32,014,000","208,334,000","30,914,000","174,070,000","123,899,000","1,048,877","1,048,877",-,-
17,11/30/2005,"898,523,000","203,744,000","29,414,000",-,"29,414,000",-,-,-,"174,330,000","174,330,000",-,-,"50,979,000","300,745,000",-,"300,745,000",-,-,-,-,"22,916,000","23,754,000",-,-,-,-,"23,754,000","838,000","62,146,000",-,-,-,"5,878,000",-,-,-,"2,500,000",-,-,"249,615,000","869,341,000","18,663,000","18,663,000","18,663,000",-,"147,000,000",-,-,"137,208,000","137,208,000",-,-,-,-,-,"31,120,000","31,120,000",-,"31,120,000",-,-,"110,465,000","110,465,000",-,-,"424,885,000","29,182,000","29,182,000","12,000",-,"12,000","35,185,000","2,389,000","8,214,000","-190,000",-,-,-,-,"139,647,000",-,"29,182,000",-,"26,682,000","170,767,000","26,682,000","141,585,000","112,171,000","1,057,678","1,057,678",-,-
18,11/30/2004,"775,410,000","155,852,000","32,811,000",-,"32,811,000",-,-,-,"123,041,000","123,041,000",-,-,"57,841,000","505,731,000",-,"505,731,000",-,-,-,-,"20,226,000","21,169,000",-,-,-,-,"21,169,000","943,000","18,508,000",-,-,-,"2,605,000",-,-,-,"2,199,000",-,-,"12,448,000","747,204,000","13,777,000","13,777,000","13,777,000",-,"447,234,000",-,-,"140,888,000","140,888,000",-,-,-,-,-,"36,303,000","36,303,000",-,"36,303,000",-,-,"95,286,000","95,286,000",-,-,"13,716,000","28,206,000","28,206,000","12,000",-,"12,000","31,426,000","3,696,000","6,614,000","-314,000",-,-,-,-,"123,492,000",-,"28,206,000",-,"26,007,000","159,795,000","26,007,000","131,589,000","98,778,000","1,087,087","1,087,087",-,-
19,11/30/2003,"602,843,000","53,825,000","29,692,000",-,"29,692,000",-,-,-,"24,133,000","24,133,000",-,-,"37,321,000","465,315,000",-,"465,315,000",-,-,-,-,"19,382,000","20,384,000",-,-,-,-,"20,384,000","1,002,000","9,912,000",-,-,-,"2,433,000",-,-,-,"1,514,000",-,-,"13,141,000","575,166,000","12,839,000","12,839,000","12,839,000",-,"164,690,000",-,-,"104,638,000","104,638,000",-,-,-,-,-,"28,386,000","28,386,000",-,"28,386,000",-,-,"65,600,000","65,600,000",-,-,"199,013,000","27,677,000","24,867,000","12,000",-,"12,000","28,038,000","4,028,000","6,766,000","-445,000",-,-,-,"2,810,000","90,467,000",-,"24,867,000",-,"23,353,000","118,853,000","23,353,000","93,986,000","64,294,000","1,084,696","1,084,696",-,-
20,11/30/2002,"529,499,000","61,686,000","29,212,000",-,"29,212,000",-,-,-,"32,474,000","32,474,000",-,-,"22,262,000","398,839,000",-,"398,839,000",-,-,-,-,"23,404,000","24,332,000",-,-,-,-,"24,332,000","928,000","7,142,000",-,-,-,"2,270,000",-,-,-,"1,449,000",-,-,"12,447,000","506,404,000","13,757,000","13,757,000","13,757,000",-,"265,984,000",-,-,"96,202,000","96,202,000",-,-,-,-,-,"50,789,000","50,789,000",-,"50,789,000",-,-,"55,161,000","55,161,000",-,-,"24,511,000","23,095,000","21,885,000","12,000",-,"12,000","25,250,000","3,678,000","7,176,000","121,000",-,-,-,"1,210,000","77,046,000",-,"21,885,000",-,"20,436,000","127,835,000","20,436,000","105,950,000","76,738,000","1,081,417","1,081,417",-,-
21,11/30/2001,"482,628,000","52,292,000","26,596,000",-,"26,596,000",-,-,-,"25,696,000","25,696,000",-,-,"22,188,000","360,017,000",-,"360,017,000",-,-,-,-,"20,108,000","20,955,000",-,-,-,-,"20,955,000","847,000","11,745,000",-,-,-,"2,579,000",-,-,-,-,-,-,"13,699,000","460,702,000","12,276,000","12,276,000","12,276,000",-,"202,305,000",-,-,"100,811,000","100,811,000",-,-,-,-,-,"32,842,000","32,842,000",-,"32,842,000",-,-,"49,668,000","49,668,000",-,-,"62,800,000","21,926,000","20,716,000","357,000","345,000","12,000","23,270,000","3,745,000","6,935,000","279,000",-,-,-,"1,210,000","70,384,000","345,000","20,371,000",-,"20,716,000","102,881,000","20,371,000","82,510,000","55,914,000","1,093,007","1,093,007",-,-
22,11/30/2000,"426,794,000","47,660,000","18,819,000",-,"18,819,000",-,-,-,"28,841,000","28,841,000",-,-,"26,015,000","310,400,000",-,"310,400,000",-,-,-,-,"21,090,000","21,870,000",-,-,-,-,"21,870,000","780,000","7,359,000",-,-,-,"2,685,000",-,-,-,-,-,-,"11,585,000","407,123,000","11,930,000","11,930,000","11,930,000",-,"168,639,000",-,-,"100,384,000","100,384,000",-,-,-,-,-,"27,754,000","27,754,000",-,"27,754,000",-,-,"42,051,000","42,051,000",-,-,"56,365,000","19,671,000","19,271,000","557,000","545,000","12,000","20,802,000","3,377,000","6,024,000","559,000",-,-,-,"400,000","61,322,000","545,000","18,726,000",-,"19,271,000","88,531,000","18,726,000","69,805,000","50,986,000","1,107,270","1,107,270",-,-
23,11/30/1999,"366,967,000","12,325,000","12,325,000",-,"12,325,000",-,-,-,-,-,-,-,-,"286,192,000",-,"286,192,000",-,-,-,-,"20,229,000","20,998,000",-,-,-,-,"20,998,000","769,000","36,922,000",-,-,-,"2,204,000",-,-,-,-,-,-,"9,095,000","349,553,000","10,397,000","10,397,000","10,397,000",-,"166,418,000",-,-,"50,061,000","50,061,000",-,-,-,-,-,"38,242,000","38,242,000",-,"38,242,000",-,-,"28,604,000","28,604,000",-,-,"55,831,000","17,414,000","17,014,000","682,000","670,000","12,000","16,285,000","3,836,000","4,355,000","-1,833,000",-,-,"2,399,000","400,000","45,618,000","670,000","16,344,000",-,"17,014,000","83,190,000","16,344,000","66,846,000","54,521,000","1,134,181","1,134,181",-,-
24,11/30/1998,"317,590,000","16,878,000","16,878,000",-,"16,878,000",-,-,-,-,-,-,-,-,"249,762,000",-,"249,762,000",-,-,-,-,"15,209,000","15,996,000",-,-,-,-,"15,996,000","787,000","26,576,000",-,-,-,"1,834,000",-,-,-,-,-,-,"7,331,000","302,072,000","8,197,000","8,197,000","8,197,000",-,"147,319,000",-,-,"46,221,000","46,221,000",-,-,-,-,-,"28,137,000","28,137,000",-,"28,137,000",-,-,"27,435,000","27,435,000",-,-,"44,763,000","15,518,000","15,518,000","1,074,000","1,074,000",-,"12,080,000",-,-,-,-,-,"2,364,000",-,"42,953,000","1,074,000","14,444,000",-,"15,518,000","70,016,000","14,444,000","55,572,000","38,694,000","1,131,342","1,131,342",-,-
25,11/30/1997,"302,287,000","8,255,000","8,255,000",-,"8,255,000",-,-,-,-,-,-,-,-,"234,689,000",-,"234,689,000",-,-,-,-,"20,033,000","20,917,000",-,-,-,-,"20,917,000","884,000","30,227,000",-,-,-,"1,705,000",-,-,-,-,-,-,"7,378,000","287,332,000","8,993,000","8,993,000","8,993,000",-,"149,479,000",-,-,"42,153,000","42,153,000",-,-,-,-,-,"22,614,000","22,614,000",-,"22,614,000",-,-,"24,792,000","24,792,000",-,-,"39,301,000","14,955,000","14,955,000","876,000","876,000",-,"9,330,000",-,-,-,-,-,"4,749,000",-,"39,747,000","876,000","14,079,000",-,"14,955,000","61,485,000","14,079,000","47,406,000","39,151,000","1,189,418","1,189,418",-,-
