,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Federal Home Loan Bank Stock,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Properties,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Employee Benefits,Current Deferred Liabilities,Current Deferred Taxes Liabilities,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
31,3/31/2015,"39,695,990","1,308,003","1,308,003","1,066,854","5,122","1,308,003","236,027","236,027","236,027","53,496","23,270,593","1,706,873","7,816,797","13,746,923",-,"451,333","14,271,699","14,439,574","12,322,159","170,042","1,947,373","14,439,574","167,875",-,"762,971","762,971",-,-,-,"82,724","82,724",-,-,-,-,"82,724",-,-,-,-,"10,838","10,838","132,446","35,418,759","33,851,575","8,134,989","8,134,989","25,716,586",-,-,-,-,-,"77,766","77,766","77,766","390,989","802,917","802,917",-,-,"38,628","46,227",-,-,-,-,"686,501","4,277,231","2,971,637",51,0,51,"1,738,483","1,140,435","92,668",-,"1,305,594","3,774,554",-,"2,971,637",-,"2,971,637","3,852,320","2,971,637","880,683",-,"51,095","51,095",-
32,12/31/2014,"39,344,640","1,796,062","1,796,062","1,694,329","6,122","1,796,062","95,611","95,611","95,611","53,496","22,690,585","1,728,888","7,421,042","13,540,655",-,"209,962","14,218,917","14,384,276","12,380,611","160,520","1,843,145","14,384,276","165,359",-,"559,231","559,231",-,-,-,"79,845","79,845",-,-,"226,102","48,780","79,845","-195,037",-,-,-,"49,921","49,921","131,580","35,288,216","34,343,499","9,759,817","9,759,817","24,583,682",-,-,-,-,-,"7,781","7,781","7,781","126,110","453,443","453,443",-,-,"36,419","120,841",-,-,-,-,"483,493","4,056,424","2,817,762",51,0,51,"1,654,657","1,120,350","42,704",-,"1,238,662","3,271,205",-,"2,817,762",-,"2,817,762","3,278,986","2,817,762","461,224",-,"50,925","50,925",-
33,9/30/2014,"36,041,007","1,872,537","1,872,537","1,815,581","6,122","1,872,537","50,834","50,834","50,834","41,026","21,699,011","1,703,550","6,662,025","13,333,436",-,"202,517","11,888,120","12,017,181","10,170,672","125,427","1,721,082","12,017,181","129,061",-,"506,964","506,964",-,-,-,"74,375","74,375",-,-,-,-,"74,375",-,-,-,-,"40,525","40,525","110,989","32,100,991","31,123,135","8,662,067","8,662,067","22,461,068",-,-,-,-,-,"6,630","6,630","6,630","215,994","453,764","453,764",-,-,"35,489","92,893",-,-,-,-,"517,462","3,940,016","2,721,957",51,0,51,"1,595,825","1,107,337","18,744",-,"1,218,059","3,175,721",-,"2,721,957",-,"2,721,957","3,182,351","2,721,957","460,394",-,"50,821","50,821",-
34,6/30/2014,"33,309,016","2,649,831","2,649,831","2,589,946","6,121","2,649,831","53,764","53,764","53,764","41,026","18,893,945","1,757,235","5,463,920","11,672,790",-,"244,802","11,227,983","11,348,711","9,588,713","121,963","1,638,035","11,348,711","120,728",-,"465,792","465,792",-,-,-,"71,465","71,465",-,-,-,-,"71,465",-,-,-,-,0,0,"82,382","29,370,992","28,352,547","8,116,998","8,116,998","20,235,549",-,-,-,-,-,"4,910","4,910","4,910","286,866","454,462","454,462",-,-,"33,319","68,286",-,-,"3,891","3,891","559,073","3,938,024","2,675,739",51,0,51,"1,532,830","1,092,582","50,276",-,"1,262,285","3,130,201",-,"2,675,739",-,"2,675,739","3,135,111","2,675,739","459,372",-,"50,695","50,695",-
35,3/31/2014,"29,711,039","3,862,464","3,862,464","3,723,034","22,394","3,862,464","117,036","117,036","117,036","40,632","14,613,555","1,770,456",-,"12,843,099",-,"217,477","10,710,366","10,833,908","9,146,290","101,466","1,586,152","10,833,908","123,542",-,"458,531","458,531",-,-,-,"66,123","66,123",-,-,-,-,"66,123",-,-,-,-,"22,997","22,997","67,095","26,344,058","25,476,905","7,162,075","7,162,075","18,314,830",-,-,-,-,-,"4,810","4,810","4,810","158,998","454,770","454,770",-,-,"31,110","42,447",-,-,-,-,"407,573","3,366,981","2,094,000",46,0,46,"1,482,033","642,311","-30,390",-,"1,272,981","2,548,770",-,"2,094,000",-,"2,094,000","2,553,580","2,094,000","459,580",-,"45,935","45,935",-
36,12/31/2013,"26,417,189","1,538,779","1,538,779","1,349,688","16,102","1,538,779","172,989","172,989","172,989","40,632","13,582,315","1,595,494",-,"11,986,821",-,"200,537","10,763,500","10,906,386","9,310,687","99,711","1,495,988","10,906,386","142,886",-,"465,110","465,110",-,-,-,"67,485","67,485",-,-,"192,804","40,851","67,485","-166,170",-,-,-,"68,237","68,237","72,159","23,337,861","22,472,979","6,578,619","6,578,619","15,894,360",-,-,-,-,-,"5,080","5,080","5,080","104,738","455,216","455,216",-,-,"29,983","117,134",-,-,-,-,"404,586","3,079,328","1,966,270",46,0,46,"1,390,732","624,256","-48,764",-,"1,113,058","2,421,486",-,"1,966,270",-,"1,966,270","2,426,566","1,966,270","460,296",-,"45,800","45,800",-
37,9/30/2013,"23,740,864","1,942,744","1,942,744","1,770,123","4,595","1,942,744","168,026","168,026","168,026","40,532","11,635,055","1,425,138",-,"10,209,917",-,"185,655","9,700,248","9,824,982","8,306,105","93,925","1,424,952","9,824,982","124,734",-,"397,432","397,432",-,-,-,"65,385","65,385",-,-,-,-,"65,385",-,-,-,-,"13,686","13,686","49,480","20,817,220","19,996,991","5,891,263","5,891,263","14,105,728",-,0,-,-,-,"5,580","5,580","5,580","105,257","455,744","455,744",-,-,"28,456","86,728",-,-,-,-,"358,905","2,923,644","1,944,927",46,0,46,"1,331,975","607,463","5,443",-,"978,717","2,400,671",-,"1,944,927",-,"1,944,927","2,406,251","1,944,927","461,324",-,"45,608","45,608",-
38,6/30/2013,"22,153,901","873,251","873,251","709,881","32,767","873,251","130,603","130,603","130,603","40,532","11,298,766","1,255,425",-,"10,043,341",-,"168,758","9,502,601","9,622,172","8,224,179","86,962","1,311,031","9,622,172","119,571",-,"413,639","413,639",-,-,-,"65,644","65,644",-,-,-,-,"65,644",-,-,-,-,"55,618","55,618","62,460","19,481,806","18,690,074","5,476,516","5,476,516","13,213,558",-,0,-,-,-,"5,400","5,400","5,400","114,416","455,938","455,938",-,-,"25,647","54,551",-,-,-,-,"330,394","2,672,095","1,847,956",45,0,45,"1,264,354","593,328","-9,771",-,"824,139","2,303,894",-,"1,847,956",-,"1,847,956","2,309,294","1,847,956","461,338",-,"45,461","45,461",-
39,3/31/2013,"22,796,000","1,519,249","1,519,249","1,144,926","35,636","1,519,249","338,687","338,687","338,687","39,806","12,123,951","1,215,788",-,"10,908,163",-,"180,869","8,732,685","8,844,890","7,497,421","99,289","1,248,180","8,844,890","112,205",-,"354,402","354,402",-,-,230,"65,713","65,713",-,-,-,-,"65,713",-,-,-,-,-,-,"54,401","20,133,942","19,309,908","5,271,321","5,271,321","14,038,587",-,0,-,-,-,"7,460","7,460","7,460","138,050","457,194","457,194",-,-,"24,300","31,834",-,-,"15,614","15,614","359,380","2,662,058","1,882,219",45,0,45,"1,215,770","570,789","95,615",-,"779,839","2,339,413",-,"1,882,219",-,"1,882,219","2,346,873","1,882,219","464,654",-,"44,970","44,970",-
40,12/31/2012,"22,766,123","1,008,983","1,008,983","752,056","123,570","1,008,983","133,357","133,357","133,357","39,806","12,527,442","1,184,265",-,"11,343,177",-,"140,919","8,836,282","8,946,933","7,637,721","144,657","1,164,555","8,946,933","110,651",-,"326,871","326,871",-,-,461,"66,545","66,545",-,-,"167,993","36,907","66,545","-138,355",-,-,-,-,-,"65,868","20,160,890","19,176,452","5,301,177","5,301,177","13,875,275","160,000","160,000",-,-,-,"166,110","166,110","166,110","71,305","457,762","457,762",-,-,"22,299","94,209",-,-,"25,580","25,580","360,566","2,605,233","1,830,555",45,0,45,"1,174,878","547,079","108,553",-,"774,678","2,288,317",-,"1,830,555",-,"1,830,555","2,454,427","1,830,555","623,872",-,"44,627","44,627",-
41,9/30/2012,"21,594,641","794,515","678,239",-,-,"678,239","116,276","116,276","116,276","39,301","12,211,545","12,211,545",-,"112,165",-,"132,347","8,090,845","8,192,369","7,010,998","143,606","1,037,765","8,192,369","101,524",-,"317,301","317,301","317,301",-,"1,880","68,270",-,-,-,-,-,-,-,-,-,-,-,-,"906,680","19,039,295","17,742,773","5,126,427","5,126,427","12,616,346",-,-,-,-,-,"508,170","508,170","508,170",-,"458,314","458,314",-,-,-,-,-,-,-,-,"330,038","2,555,346","1,784,924",45,0,45,"1,124,415","538,454","122,010",-,"770,422","2,243,238",-,"1,784,924",-,"1,784,924","2,751,408","1,784,924","966,484","966,484","44,511","44,511",-
42,6/30/2012,"21,289,772","1,411,725","1,411,725",-,-,"1,411,725",-,-,-,"39,301","11,753,263","11,753,263",-,-,-,"105,943","7,691,586","7,789,752","6,652,235","176,530","960,987","7,789,752","98,166",-,"368,425","368,425","368,425","16,738","3,711","64,773",-,-,-,-,-,-,-,-,-,-,-,-,"1,411,725","18,845,447","18,068,812","5,226,562","5,226,562","12,842,250",-,-,-,-,-,"5,880","5,880","5,880",-,"458,232","458,232",-,-,-,-,-,-,-,-,"312,523","2,444,325","1,715,360",44,0,44,"1,082,126","529,113","104,077",-,"728,965","2,173,592",-,"1,715,360",-,"1,715,360","2,179,472","1,715,360","464,112","464,112","44,403","44,403",-
43,3/31/2012,"20,818,337","850,624","850,624",-,-,"850,624",-,-,-,"39,189","12,549,482","12,549,482",-,-,-,"94,354","7,020,367","7,121,289","6,023,736","164,797","932,756","7,121,289","100,922",-,"338,544","338,544","338,544",-,"6,364","59,320",-,-,-,-,-,-,-,-,-,-,-,-,"850,624","18,475,634","16,716,882","4,879,282","4,879,282","11,837,600",-,-,-,-,-,"849,380","849,380","849,380",-,"601,835","601,835",-,-,-,-,-,-,-,-,"307,537","2,342,703","1,639,490",44,0,44,"1,034,523","515,614","89,309",-,"703,213","2,241,325",-,"1,639,490",-,"1,639,490","3,090,705","1,639,490","1,451,215","1,451,215","44,087","44,087",-
44,12/31/2011,"19,968,894","1,027,563","852,010",-,-,"852,010","175,553","175,553","175,553","39,189","11,627,871","11,540,486",-,"87,385",-,"97,693","6,880,135","6,970,082","5,898,700","161,137","910,245",-,"89,947",-,"107,184","107,184","107,184",-,"8,776","56,471","175,041",-,-,"142,437","32,604",-,"-118,570",-,-,-,0,0,"124,012","17,718,505","16,709,536","4,847,648","4,847,648","11,861,888",-,-,-,"114,472","114,472",0,0,0,"16,868","603,648","603,648",-,-,-,-,"7,975","7,975",-,-,"266,006","2,250,389","1,569,392",44,0,44,"999,733","484,216","85,399",-,"680,997","2,173,040",-,"1,569,392",-,"1,569,392","2,173,040","1,569,392","603,648",-,"43,508","43,508",-
45,9/30/2011,"19,195,363","2,041,972","1,742,144",-,-,"1,742,144","299,828","299,828",-,-,"10,591,349","10,591,349",-,-,-,-,"6,243,342","6,328,588","5,268,800","182,065","877,723","6,328,588","85,246",-,"265,242","265,242","265,242",-,-,"53,458",-,-,-,-,-,-,-,-,-,-,-,-,-,"17,003,035","16,139,222","4,976,446","4,976,446","11,162,776",-,-,-,-,-,0,0,0,-,"609,557","609,557",-,-,-,-,-,-,-,-,"254,256","2,192,328","1,536,098",43,0,43,"964,159","472,443","99,453",-,"656,230","2,145,655",-,"1,536,098",-,"1,536,098","2,145,655","1,536,098","609,557",-,"43,269","43,269",-
46,6/30/2011,"19,366,735","2,565,219","2,100,462",-,-,"2,100,462","464,757","464,757",-,-,"10,456,099","10,456,099",-,-,-,-,"5,896,491","5,978,646",-,"5,136,194","842,452","5,978,646","82,155",-,"399,474","399,474","399,474",-,-,"49,452",-,-,-,-,-,-,-,-,-,-,-,-,-,"17,350,684","16,278,474","5,594,529","5,594,529","10,683,945",-,-,-,-,-,0,0,0,-,"609,596","609,596",-,-,-,-,-,-,-,-,"462,614","2,016,051","1,436,893",43,0,43,"926,588","462,885","47,377",-,"579,158","2,046,489",-,"1,436,893",-,"1,436,893","2,046,489","1,436,893","609,596",-,"43,136","43,136",-
47,3/31/2011,"18,618,266","2,350,060","2,073,848",-,-,"2,073,848","276,212","276,212",-,-,"10,298,892","10,298,892",-,-,-,-,"5,569,119","5,651,170","4,664,663","196,092","790,415","5,651,170","82,051",-,"354,034","354,034","354,034",-,-,"46,161",-,-,-,-,-,-,-,-,-,-,-,-,-,"16,771,235","15,330,319","5,805,621","5,805,621","9,524,698",-,-,-,-,-,"35,415","35,415","35,415",-,"1,204,733","1,204,733",-,-,-,-,-,-,-,-,"200,768","1,847,031","1,313,574",43,0,43,"860,838","443,453","9,240",-,"533,457","2,518,307",-,"1,313,574",-,"1,313,574","2,553,722","1,313,574","1,240,148",-,"42,698","42,698",-
48,12/31/2010,"17,527,761","3,076,432","2,672,725",-,-,"2,672,725","403,707","403,707",-,-,"8,639,487","8,639,487",-,-,-,-,"5,439,110","5,521,737","4,594,777","554,527","372,433",-,"82,627",-,"328,187","328,187","328,187",-,-,"44,545","143,852",-,-,"112,826","31,026",-,"-99,307",-,-,-,-,-,-,"15,779,483","14,336,941","5,325,403","5,325,403","9,011,538",-,-,-,-,-,"37,245","37,245","37,245",-,"1,209,260","1,209,260",-,-,-,-,-,-,-,-,"196,037","1,748,278","1,274,350",42,0,42,"827,831","422,334","24,143",-,"473,928","2,483,610",-,"1,274,350",-,"1,274,350","2,520,855","1,274,350","1,246,505",-,"42,268","42,268",-
49,9/30/2010,"15,660,069","3,778,369","3,387,204",-,-,"3,387,204","391,165","391,165",-,-,"6,659,265","6,659,265",-,-,-,-,"4,784,836","4,859,205","4,008,103","182,808",-,"4,859,205","74,369",-,"395,682","395,682","395,682",-,-,"41,917",-,-,-,-,-,-,-,-,-,-,-,-,-,"13,963,773","12,414,945","4,965,864","4,965,864","7,449,081",-,-,-,-,-,"59,735","59,735","59,735",-,"1,225,810","1,225,810",-,-,-,-,-,-,-,-,"263,283","1,696,296","1,268,611",42,0,42,"810,379","410,590","47,600",-,"427,685","2,494,421",-,"1,268,611",-,"1,268,611","2,554,156","1,268,611","1,285,545",-,"41,965","41,965",-
50,6/30/2010,"14,903,986","4,190,343","4,146,737",-,-,"4,146,737","43,606","43,606",-,-,"5,954,598","5,954,598",-,-,-,-,"4,378,400","4,450,189","3,496,695","444,838",-,"4,450,189","71,789",-,"342,522","342,522","342,522",-,-,"38,123",-,-,-,-,-,-,-,-,-,-,-,-,-,"13,277,031","12,140,413","4,934,309","4,934,309","7,206,104",-,-,-,"45,419","45,419","44,735","44,735","44,735","11,834","869,810","869,810",-,-,-,-,-,-,-,-,"222,073","1,626,955","1,237,103",42,0,42,"772,592","404,521","59,948",-,"389,852","2,106,913",-,"1,237,103",-,"1,237,103","2,151,648","1,237,103","914,545",-,"41,886","41,886",-
51,3/31/2010,"14,125,249","4,691,703","4,614,434",-,-,"4,614,434","77,269","77,269",-,-,"4,939,084","4,939,084",-,-,-,-,"4,136,974","4,205,245","3,307,898","897,347",-,"4,205,245","68,271",-,"322,522","322,522","322,522",-,-,"34,966",-,-,-,-,-,-,-,-,-,-,-,-,-,"12,576,089","11,513,294","4,500,984","4,500,984","7,012,310",-,-,-,-,-,"39,895","39,895","39,895",-,"859,713","859,713",-,-,-,-,-,-,-,-,"163,187","1,549,160","1,173,480",42,-,42,"751,472","398,510","23,456",-,"375,680","2,033,193",-,"1,173,480",-,"1,173,480","2,073,088","1,173,480","899,608",-,"41,526","41,526",-
52,12/31/2009,"12,841,399","3,512,853","3,454,611",-,-,"3,454,611","58,242","58,242",-,-,"4,491,752","4,491,752",-,-,-,-,"4,475,644","4,548,094","3,603,639","442,628",-,"501,827","72,450",-,"329,414","329,414","329,414",-,-,"31,736","119,558","83,920",-,"9,234","26,404",-,"-87,822",0,0,-,-,-,-,"11,367,289","10,331,937","4,032,949","4,032,949","6,298,988",-,-,-,-,-,"38,755","38,755","38,755",-,"856,650","856,650",-,-,-,-,-,-,-,-,"139,947","1,474,110","1,128,343",41,0,41,"732,907","389,490","5,905",-,"345,767","1,984,993",-,"1,128,343",-,"1,128,343","2,023,748","1,128,343","895,405",-,"41,338","41,338",-
53,9/30/2009,"12,538,603","4,110,828","4,062,298",-,-,"4,062,298","48,530","48,530",-,-,"3,491,281","3,491,281",-,-,-,-,"4,569,104","4,655,817",-,-,-,"4,655,817","86,713",-,"336,668","336,668","336,668",-,-,"30,722",-,-,-,-,-,-,-,0,0,-,-,-,-,"11,145,831","10,055,632","3,632,695","3,632,695","6,422,937",-,-,-,-,-,"52,285","52,285","52,285",-,"866,748","866,748",-,-,-,-,-,-,-,-,"171,166","1,392,772","1,067,377","223,042","223,009",33,"726,455","92,367","25,513",-,"325,395","1,934,125","223,009","844,368",-,"1,067,377","1,763,401","844,368","919,033",-,"33,202","33,202",235
54,6/30/2009,"11,465,887","3,709,370","3,246,560",-,-,"3,246,560","462,810","462,810",-,-,"2,638,380","2,638,380",-,-,-,-,"4,733,780","4,844,253",-,-,-,"4,844,253","110,473",-,"354,161","354,161","354,161",-,-,"30,196",-,-,-,-,-,-,-,0,0,-,-,-,-,"10,140,677","8,994,583","3,443,357","3,443,357","5,551,226",-,-,-,-,-,"31,340","31,340","31,340",-,"909,641","909,641",-,-,-,-,-,-,-,-,"205,113","1,325,210","1,019,219","222,424","222,391",33,"705,847","86,478","4,470",-,"305,991","1,928,860","222,391","796,828",-,"1,019,219","1,737,809","796,828","940,981",-,"33,143","33,143",235
55,3/31/2009,"10,958,768","3,649,003","3,362,216",-,-,"3,362,216","286,787","286,787",-,-,"2,032,157","2,032,157",-,-,-,-,"4,893,059","5,003,069",-,-,-,"5,003,069","110,010",-,"355,208","355,208","355,208",-,-,"29,341",-,-,-,-,-,-,-,0,0,-,-,-,-,"9,666,371","8,482,324","3,253,494","3,253,494","5,228,830",-,-,-,-,-,"56,450","56,450","56,450",-,"964,175","964,175",-,-,-,-,-,-,-,-,"163,422","1,292,397","992,123","221,816","221,783",33,"701,708","71,761","-3,162",-,"300,274","1,956,298","221,783","770,340",-,"992,123","1,790,965","770,340","1,020,625",-,"33,143","33,143",235
56,12/31/2008,"10,020,892","2,438,810","1,791,396",-,-,"1,791,396","647,414","647,414",-,-,"1,786,100","1,786,100",-,-,-,-,"5,398,857","5,506,253","4,515,019","523,402",-,"467,832","107,396",-,"362,444","362,444","362,444",-,-,"30,589","104,604","69,558",-,"9,153","25,893",-,"-74,015","4,092","4,092",-,-,-,-,"8,711,785","7,473,472","3,053,507","3,053,507","4,419,965",-,-,-,-,-,"62,120","62,120","62,120",-,"1,000,640","1,000,640",-,-,-,-,-,-,-,-,"175,553","1,309,107","988,751","221,218","221,185",33,"727,450","45,872","-5,789",-,"320,356","1,989,391","221,185","767,566",-,"984,659","1,830,326","763,474","1,062,760",-,"33,143","33,143",235
57,9/30/2008,"8,070,945","752,598","373,510",-,-,"373,510","379,088","379,088",-,-,"1,779,978","1,779,978",-,-,-,-,"5,224,811","5,285,101",-,-,-,"5,285,101","60,290",-,"277,122","277,122","277,122",-,-,"32,344",-,-,-,-,-,-,-,"4,092",-,-,-,-,-,"7,015,295","5,432,609","2,201,328","2,201,328","3,231,281",-,-,-,-,-,"425,000","425,000","425,000",-,"981,946","981,946",-,-,-,-,-,-,-,-,"175,740","1,055,650","730,652",33,-,33,"725,737","23,816","-18,934",-,"324,998","1,712,598",-,"730,652",-,"726,560","2,137,598","726,560","1,406,946","1,033,436","33,143","33,143",-
58,6/30/2008,"7,309,871","630,865","305,142",-,-,"305,142","325,723","325,723",-,-,"1,787,996","1,787,996",-,-,-,-,"4,580,813","4,633,701",-,-,-,"4,633,701","52,888",-,"271,318","271,318","271,318",-,-,"34,787",-,-,-,-,-,-,-,"4,092",-,-,-,-,-,"6,333,369","4,863,580","1,944,375","1,944,375","2,919,205",-,-,-,-,-,"330,000","330,000","330,000",-,"975,878","975,878",-,-,-,-,-,-,-,-,"163,911","976,502","685,127",32,-,32,"698,729",-,"-13,634",-,"291,375","1,661,005",-,"685,127",-,"681,035","1,991,005","681,035","1,305,878","1,000,736","32,252","32,252",-
59,3/31/2008,"6,897,303","676,132","303,973",-,-,"303,973","372,159","372,159",-,-,"1,618,542","1,618,542",-,-,-,-,"4,299,602","4,349,238",-,-,-,"4,349,238","49,636",-,"262,210","262,210","262,210",-,-,"36,725",-,-,-,-,-,-,-,"4,092",-,-,-,-,-,"5,949,418","4,769,213","1,734,328","1,734,328","3,034,885",-,-,-,-,-,"120,000","120,000","120,000",-,"893,189","893,189",-,-,-,-,-,-,-,-,"167,016","947,885","675,156",32,-,32,"678,078",-,"-2,954",-,"272,729","1,568,345",-,"675,156",-,"671,064","1,688,345","671,064","1,013,189","709,216","31,880","31,880",-
60,12/31/2007,"6,692,456","684,063","325,399",-,-,"325,399","358,664","358,664",-,-,"1,602,574","1,602,574",-,-,-,-,"4,104,437","4,151,730",-,-,-,"4,151,730","47,293",-,"258,662","258,662","258,662",-,-,"38,628",-,-,-,-,-,-,-,"4,092",-,-,-,-,-,"5,775,700","4,611,203","1,384,344","1,384,344","3,226,859",-,-,-,-,-,"90,000","90,000","90,000",-,"875,254","875,254",-,-,-,-,-,-,-,-,"199,243","916,756","676,654",33,-,33,"682,911",-,"-6,290",-,"240,102","1,551,908",-,"676,654",-,"672,562","1,641,908","672,562","965,254","639,855","32,671","32,671",-
61,9/30/2007,"6,304,088","659,119","356,742",-,-,"356,742","302,377","302,377",-,-,"1,571,619","1,571,619",-,-,-,-,"3,774,043","3,818,268",-,-,-,"3,818,268","44,225",-,"256,199","256,199","256,199",-,-,"39,016",-,-,-,-,-,-,-,"4,092",-,-,-,-,-,"5,395,323","3,973,240","1,081,138","1,081,138","2,892,102",-,-,-,-,-,"370,000","370,000","370,000",-,"855,370","855,370",-,-,-,-,-,-,-,-,"196,713","908,765","672,634",33,-,33,"687,350",-,"-14,749",-,"236,131","1,528,004",-,"672,634",-,"668,542","1,898,004","668,542","1,225,370","868,628","33,189","33,189",-
62,6/30/2007,"6,605,080","1,006,279","350,301",-,-,"350,301","655,978","655,978",-,-,"1,593,957","1,593,957",-,-,-,-,"3,719,094","3,762,446",-,-,-,"3,762,446","43,352",-,"241,630","241,630","241,630",-,-,"40,028",-,-,-,-,-,-,-,"4,092",-,-,-,-,-,"5,718,998","4,406,489","1,274,059","1,274,059","3,132,430",-,-,-,-,-,"305,000","305,000","305,000",-,"838,116","838,116",-,-,-,-,-,-,-,-,"169,393","886,082","668,910",34,-,34,"690,350","3,851","-25,325",-,"217,172","1,507,026",-,"668,910",-,"664,818","1,812,026","664,818","1,143,116","792,815","34,321","34,321",-
63,3/31/2007,"5,847,856","564,874","309,933",-,-,"309,933","254,941","254,941",-,-,"1,657,539","1,657,539",-,-,-,-,"3,318,134","3,358,390",-,-,-,"3,358,390","40,256",-,"248,145","248,145","248,145",-,-,"37,868",-,-,-,-,-,-,-,"21,296",-,-,-,-,-,"4,999,398","3,875,199","1,011,800","1,011,800","2,863,399",-,-,-,-,-,"583,901","583,901","583,901",-,"353,151","353,151",-,-,-,-,-,-,-,-,"187,147","848,458","653,465",34,-,34,"668,486",-,"-15,055",-,"194,993","1,006,616",-,"653,465",-,"632,169","1,590,517","632,169","937,052","627,119","34,281","34,281",-
64,12/31/2006,"6,081,452","632,585","393,284",-,-,"393,284","239,301","239,301",-,-,"1,692,343","1,692,343",-,-,-,-,"3,439,655","3,482,402",-,-,-,"3,482,402","42,747",-,"258,267","258,267","258,267",-,-,"37,306",-,-,-,-,-,-,-,"21,296",-,-,-,-,-,"5,286,923","4,057,625","1,018,097","1,018,097","3,039,528","483,537",-,-,-,-,"200,000","200,000","200,000",-,"352,465","352,465",-,-,-,-,-,-,-,-,"193,296","794,529","628,514",34,-,34,"641,528","4,873","-17,921",-,"166,015","980,979",-,"628,514",-,"607,218","1,180,979","607,218","552,465","159,181","34,401","34,401",-
65,9/30/2006,"5,873,109","600,501","305,134",-,-,"305,134","295,367","295,367",-,-,"1,726,499","1,726,499",-,-,-,-,"3,279,966","3,319,515",-,-,-,"3,319,515","39,549",-,"208,664","208,664","208,664",-,-,"36,236",-,-,-,-,-,-,-,"21,243",-,-,-,-,-,"5,120,641","3,974,460","1,017,825","1,017,825","2,956,635","809,767",-,-,-,-,"2,669","2,669","2,669",-,"199,416","199,416",-,-,-,-,-,-,-,-,"134,329","752,468","595,778",34,-,34,"614,964",-,"-19,220",-,"156,690","795,194",-,"595,778",-,"574,535","797,863","574,535","202,085",-,"34,254","34,254",-
66,6/30/2006,"5,471,651","544,271","321,334",-,-,"321,334","222,937","222,937",-,-,"1,759,387","1,759,387",-,-,-,-,"2,912,719","2,950,626",-,-,-,"2,950,626","37,907",-,"206,742","206,742","206,742",-,-,"31,328",-,-,-,-,-,-,-,"17,204",-,-,-,-,-,"4,750,497","3,913,304","1,154,913","1,154,913","2,758,391","533,811",-,-,-,-,-,-,-,-,"197,847","197,847",-,-,-,-,-,-,-,-,"105,535","721,154","568,121",35,-,35,"596,128","8,876","-36,918",-,"153,033","765,968",-,"568,121",-,"550,917","765,968","550,917","197,847",-,"34,858","34,858",-
67,3/31/2006,"5,446,268","549,995","293,022",-,-,"293,022","256,973","256,973",-,-,"1,944,335","1,944,335",-,-,-,-,"2,721,998","2,757,980",-,-,-,"2,757,980","35,982",-,"167,380","167,380","167,380",-,-,"26,922",-,-,-,-,-,-,-,"35,638",-,-,-,-,-,"4,721,785","4,148,506","1,150,286","1,150,286","2,998,220","289,604",-,-,-,-,"2,574","2,574","2,574",-,"197,370","197,370",-,-,-,-,-,-,-,-,"83,731","724,483","586,118",35,-,35,"609,764","7,812","-31,493",-,"138,365","783,488",-,"586,118",-,"550,480","786,062","550,480","199,944",-,"35,446","35,446",-
68,12/31/2005,"5,541,715","462,098","286,446",-,-,"286,446","175,652","175,652",-,-,"2,037,270","2,037,270",-,-,-,-,"2,806,568","2,843,353",-,-,-,"2,843,353","36,785",-,"175,042","175,042","175,042",-,-,"25,099",-,-,-,-,-,-,-,"35,638",-,-,-,-,-,"4,852,958","4,252,730","1,318,452","1,318,452","2,934,278","279,464",-,-,-,-,-,-,-,-,"195,843","195,843",-,-,-,-,-,-,-,-,"124,921","688,757","569,301",35,-,35,"587,713","8,439","-26,886",-,"119,456","765,144",-,"569,301",-,"533,663","765,144","533,663","195,843",-,"35,103","35,103",-
