,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Securities Amortization,Other Non Interest Expense,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
108,3/31/1996,"22,200","20,300","28,200","21,100","21,100","4,300",-,"2,800",-,"7,900","7,900",-,-,-,"1,900",-,400,400,400,-,-,-,-,-,-,-,-,-,-,"1,500","-1,500","12,800","1,600",-,-,-,"7,800","7,800","7,800",-,-,-,-,"3,400",-,-,-,-,"7,800","3,100","4,700","4,700","4,700","4,700",-,-,-,"4,700",0.13,0.13,"36,154","36,154","18,800","4,700","4,700","2,800",300,"4,700",-,-,0,0
109,12/31/1995,"23,600","19,600","27,800","20,400","20,400","3,600",-,-,"-7,200","8,200","8,200",-,-,-,"4,000",-,400,400,400,-,-,-,-,-,-,-,-,-,-,"2,800","-2,600","11,500","1,500",-,-,-,"6,800","6,800","6,800",-,-,-,-,"3,200",-,-,-,-,"9,400","3,900","5,500","5,500","5,500","5,500",-,-,-,"5,500",-,-,-,-,"17,000","5,500","5,500",-,300,"5,500",-,-,0,0
110,9/30/1995,"23,000","17,900","25,200","19,200","19,200","2,100",-,-,"3,900","7,300","7,300",-,-,-,"5,100",-,300,300,300,-,-,-,-,-,-,-,-,-,-,"4,800","-3,300","11,900","2,500",-,-,-,"6,500","6,500","6,500",-,-,-,-,"2,900",-,-,-,-,"7,800","2,300","5,500","5,500","5,500","5,500",-,-,-,"5,500",0.15,0.15,"36,667","36,667","14,600","5,500","5,500",-,400,"5,500",-,-,0,0
111,6/30/1995,"20,900","18,400","24,300","20,000","20,000","2,400",-,-,"1,900","5,900","5,900",-,-,-,"2,500",-300,300,300,300,-,-,-,-,-,-,-,-,-,-,"2,500","-1,400","12,400","1,400",-,-,-,"6,800","6,800","6,800",-,-,-,-,"4,200",-,-,-,-,"7,000","3,000","4,000","4,000","4,000","4,000",-,-,-,"4,000",0.11,0.11,"36,364","36,364","17,000","4,000","4,000",-,700,"4,000",-,-,0,0
112,3/31/1995,"19,200","18,200","24,000","20,200","20,200","2,400",-,-,"1,400","5,800","5,800",-,-,-,"1,000",-,800,800,400,-,-,400,-,-,-,-400,-,-,-400,600,"-1,400","12,100","1,500",-,-,-,"7,100","7,100","7,100",-,-,-,-,"3,500",-,-,-,-,"5,700","2,400","3,300","3,300","3,300","3,300",-,-,-,"3,300",0.10,0.10,"33,000","33,000","16,800","3,300","3,540",-,500,"3,300",-400,-400,0,-160
113,12/31/1994,"18,100","17,100","21,600","18,600","18,600","2,400",-,-,-,"4,500",-,-,-,-,"1,000",-,"-1,400","-1,400",300,-,-,-,-,-,-,-,-,-,-,"1,100",-900,"11,400","1,500",-,-,-,"6,000","6,000","6,000",-,-,-,-,"3,900",-,-,-,-,"5,800","2,800","3,000","3,000","3,000","3,000",-,-,-,"3,000",-,-,-,-,"16,200","3,000","3,000",-,800,"3,000",-,-,0,0
114,9/30/1994,"16,000","15,200","19,100","16,300","16,300","2,600",-,200,-,"3,900",-,-,-,-,800,-,"1,000","1,000",400,-,-,600,-,-,-,-400,-,-,-400,200,-500,"11,800","1,000",-,-,-,"5,700","5,700","5,700",-,-,-,-,"5,100",-,-,-,-,"3,700","1,600","2,100","2,100","2,100","2,100",-,-,-,"2,100",0.06,0.06,"35,000","35,000","14,700","2,100","2,340",200,200,"2,100",-400,-400,0,-160
115,6/30/1994,"15,400","14,300","17,500","14,100","14,100","3,200",-,100,100,"3,200",-,-,-,-,"1,100",-,800,800,500,-,-,300,-,-,-,-,-,-,-,300,"-1,100","10,400",900,-,-,-,"5,300","5,300","5,300",-,-,-,-,"4,200",-,-,-,-,"3,900","1,700","2,200","2,200","2,200","2,200",-,-,-,"2,200",0.07,0.07,"31,429","31,429","13,200","2,200","2,200",100,300,"2,200",-,-,0,0
116,3/31/1994,"15,700","13,700","17,000","13,200","13,200","3,100",-,700,-,"3,300",-,-,-,-,"2,000",-,600,600,300,-,-,300,-,-,-,-,-,-,-,"1,400",-600,"12,000",900,-,-,-,"6,200","6,200","6,200",-,-,-,-,"4,900",-,-,-,-,"3,000","1,300","1,700","1,700","1,700","1,700",-,-,-,"1,700",0.06,0.06,"28,333","28,333","13,100","1,700","1,700",700,200,"1,700",-,-,0,0
117,12/31/1993,"13,600","12,300","15,800","12,600","12,600","2,000",-,"1,200",0,"3,500",-,-,-,-,"1,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-400,-100,"13,300",900,-,-,-,"5,400","5,400","5,400",-,-,-,-,"7,000",-,-,-,-,400,200,200,200,200,200,-,-,-,200,-,-,-,-,"12,200",200,200,"1,200",600,200,-,-,0,0
118,9/30/1993,"14,900","12,100","15,300","12,800","12,800","1,900",-,700,-100,"3,200",-,-,-,-,"2,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,800","-3,300","11,100",700,-,-,-,"5,100","5,100","5,100",-,-,-,-,"5,300",-,-,-,-,500,200,300,300,300,300,-,-,-,300,0.01,0.01,"30,000","30,000","8,800",300,300,700,400,300,-,-,0,0
119,6/30/1993,"14,100","13,500","16,800","14,500","14,500","1,900",-,500,-100,"3,300",-,-,-,-,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600,"-3,000","11,000",700,-,-,-,"4,300","4,300","4,300",-,-,-,-,"6,000",-,-,-,-,-,-,100,100,100,100,-,-,-,100,0.01,0.01,"33,333","33,333","10,500",100,100,500,200,100,-,-,0,0
120,3/31/1993,"17,100","13,000","16,700","14,200","14,200","2,000",-,500,-,"3,700",-,-,-,-,"4,100",-,300,300,300,-,-,-,-,-,-,-,-,-,-,"3,800","-3,400","12,100",700,-,-,-,"3,900","3,900","3,900",-,-,-,-,"7,500",-,-,-,-,"1,700",700,"1,000","1,000","1,000","1,000",-,-,-,"1,000",0.03,0.03,"33,333","33,333","9,600","1,000","1,000",500,300,"1,000",-,-,0,0
121,12/31/1992,"15,400","14,100","18,300","15,700","15,700","2,200",0,500,-,"4,200",-,-,-,-,"1,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,"-7,900","6,900",500,-,-,-,"3,300","3,100","3,100",-,-,-,-,"3,100",-,-,-,-,600,200,400,400,400,400,-,-,-,400,-,-,-,-,"6,200",400,400,500,200,400,-,-,0,0
122,9/30/1992,"13,900","13,500","18,000","15,600","15,600","2,300",-,100,-,"4,500",-,-,-,-,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400,"-23,700","6,100",500,-,-,-,"3,500","3,500","3,500",-,-,-,-,"2,100",-,-,-,-,"-15,700","-6,300","-9,400","-9,400","-9,400","-9,400",-,-,-,"-9,400",-0.30,-0.30,"31,333","31,333","-10,200","-9,400","-9,400",100,300,"-9,400",-,-,0,0
123,6/30/1992,"14,400","13,600","18,500","15,500","15,500","2,500",-,500,-,"4,900",-,-,-,-,800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,800,"-2,300","6,400",500,-,-,-,"3,300","3,300","3,300",-,-,-,-,"2,600",-,-,-,-,"5,800","2,300","3,500","3,500","3,500","3,500",-,-,-,"3,500",0.11,0.11,"31,818","31,818","11,300","3,500","3,500",500,300,"3,500",-,-,0,0
124,3/31/1992,"14,200","13,600","19,300","15,900","15,900","2,500",-,900,-,"5,700",-,-,-,-,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600,"-1,500","7,000",500,-,-,-,"3,500","3,500","3,500",-,-,-,-,"3,000",-,-,-,-,"5,700","2,300","3,400","3,400","3,400","3,400",-,-,-,"3,400",0.11,0.11,"30,909","30,909","12,100","3,400","3,400",900,300,"3,400",-,-,0,0
125,12/31/1991,"13,300","12,900","20,000","16,700","16,700","2,400",0,800,-,"7,100",-,-,-,-,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400,"-1,400","6,200",500,-,-,-,"3,300","3,000","3,000",-,-,-,-,"2,400",-,-,-,-,"5,800","2,400","3,400","3,400","3,400","3,400",-,-,-,"3,400",-,-,-,-,"11,500","3,400","3,400",800,"-1,400","3,400",-,-,0,0
126,9/30/1991,"12,800","12,000","19,700","16,300","16,300","1,900",-,"1,400",100,"7,700",-,-,-,-,800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,800,"-1,300","5,900",500,-,-,-,"3,000","3,000","3,000",-,-,-,-,"2,400",-,-,-,-,"5,700","2,500","3,200","3,200","3,200","3,200",-,-,-,"3,200",0.11,0.11,"29,091","29,091","10,700","3,200","3,200","1,400",-,"3,200",-,-,0,0
127,6/30/1991,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,900","2,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
128,3/31/1991,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,900","2,900",-,-,-,-,0.12,0.12,"24,496","24,496",-,-,-,-,-,-,-,-,-,-
129,12/31/1990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,700","2,700",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,9/30/1990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,600","2,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,6/30/1990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,500","2,500",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,3/31/1990,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,300","2,300",-,-,-,-,0.09,0.09,"23,760","23,760",-,-,-,-,-,-,-,-,-,-
133,12/31/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,100","2,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,9/30/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,900","1,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,6/30/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,600","1,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,3/31/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,500","1,500",-,-,-,-,0.07,0.07,"21,724","21,724",-,-,-,-,-,-,-,-,-,-
137,12/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,200","1,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,9/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,000","1,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,6/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,700,700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,3/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,600,600,-,-,-,-,0.05,0.05,"13,640","13,640",-,-,-,-,-,-,-,-,-,-
141,12/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,500,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,9/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,6/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,3/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,300,300,-,-,-,-,0.03,0.03,"12,992","12,992",-,-,-,-,-,-,-,-,-,-
145,12/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,9/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,6/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,3/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,-,-,-,-,0.02,0.02,"12,364","12,364",-,-,-,-,-,-,-,-,-,-
149,12/31/1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,9/30/1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
