,,Unnamed: 0,Date,Market Cap (intraday),Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5 yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA
PACW,74,PACW,12/31/2004,664.75M,,18.81,,,4.8,1.78,,
PACW,75,PACW,9/30/2004,636.61M,,19.07,,,4.9,1.76,,
PACW,76,PACW,6/30/2004,594.27M,,18.94,,,4.85,1.7,,
PACW,77,PACW,3/31/2004,577.92M,,18.42,,,4.89,1.67,,
PACW,78,PACW,12/31/2003,574.38M,,17.89,,,4.79,1.7,,
PACW,79,PACW,9/30/2003,531.23M,,17.63,,,4.44,1.6,,
PACW,80,PACW,6/30/2003,475.31M,,17.46,,,4.28,1.45,,
PACW,81,PACW,3/31/2003,443.92M,,16.81,,,4.53,1.38,,
PACW,82,PACW,12/31/2002,503.75M,,20.84,,,6.11,1.59,,
PACW,83,PACW,9/30/2002,440.63M,,20.52,,,3.83,1.41,,
PACW,84,PACW,6/30/2002,175.16M,,19.18,,,3.17,1.68,,
PACW,85,PACW,3/31/2002,198.28M,,21.38,,,3.53,3.59,,
PACW,86,PACW,12/31/2001,106.87M,,16.46,,,2.72,1.93,,
PACW,87,PACW,9/30/2001,105.79M,,19.61,,,3.31,2.73,,
PACW,88,PACW,6/30/2001,86.05M,,38.37,,,2.43,2.31,,
PACW,89,PACW,3/31/2001,94.76M,,44.68,,,3.64,3.41,,
PACW,90,PACW,12/31/2000,58.83M,,14.11,,,21.32,2.22,,
PACW,91,PACW,9/30/2000,61.11M,,14.7,,,22.22,2.42,,
PACW,92,PACW,6/30/2000,52.05M,,12.74,,,19.25,2.06,,
KEY,0,KEY,As of Date: 5/7/2023Current,9.05B,,5.47,6.27,4.82,1.28,0.77,,
KEY,1,KEY,3/31/2023,11.71B,,6.52,6.84,5.26,1.66,1.07,,
KEY,2,KEY,12/31/2022,16.25B,,7.99,7.85,,2.3,1.51,,
KEY,3,KEY,9/30/2022,14.95B,,7.03,6.73,,2.15,1.19,,
KEY,4,KEY,6/30/2022,16.07B,,7.0,7.75,,2.34,1.2,,
KEY,5,KEY,3/31/2022,20.87B,,8.54,10.39,,3.04,1.34,,
KEY,6,KEY,12/31/2021,21.48B,,9.07,11.86,0.93,3.22,1.38,,
KEY,7,KEY,9/30/2021,20.12B,,9.36,11.29,0.86,3.08,1.25,,
KEY,8,KEY,6/30/2021,19.83B,,11.8,10.57,1.15,2.97,1.26,,
KEY,9,KEY,3/31/2021,19.43B,,15.86,11.39,1.36,3.0,1.21,,
KEY,10,KEY,12/31/2020,16.01B,,14.39,12.12,2.75,2.55,1.01,,
KEY,11,KEY,9/30/2020,11.65B,,10.75,9.32,1.94,1.88,0.74,,
KEY,12,KEY,6/30/2020,11.89B,,9.02,13.62,1.89,1.97,0.77,,
KEY,13,KEY,3/31/2020,10.11B,,6.44,5.79,0.76,1.68,0.67,,
KEY,14,KEY,12/31/2019,19.78B,,12.65,10.65,1.72,3.31,1.3,,
KEY,15,KEY,9/30/2019,17.64B,,10.68,8.97,1.4,2.97,1.17,,
KEY,16,KEY,6/30/2019,17.90B,,10.44,9.83,1.28,3.02,1.23,,
KEY,17,KEY,3/31/2019,15.77B,,9.26,8.51,0.95,2.7,1.13,,
KEY,18,KEY,12/31/2018,15.07B,,10.34,,,2.52,1.1,,
KEY,19,KEY,9/30/2018,20.92B,,15.3,10.36,0.85,3.49,1.46,,
KEY,20,KEY,6/30/2018,20.74B,,15.89,11.43,0.91,3.47,1.49,,
KEY,21,KEY,3/31/2018,20.57B,,17.46,11.49,0.92,3.51,1.49,,
KEY,22,KEY,12/31/2017,21.69B,,17.54,13.23,1.47,3.66,1.52,,
KEY,23,KEY,9/30/2017,20.47B,,19.01,12.22,1.36,3.49,1.43,,
KEY,24,KEY,6/30/2017,20.48B,,22.05,13.99,1.55,3.6,1.47,,
KEY,25,KEY,3/31/2017,19.51B,,22.23,13.68,1.93,3.51,1.44,,
KEY,26,KEY,12/31/2016,19.74B,,21.0,14.1,2.66,3.71,1.43,,
KEY,27,KEY,9/30/2016,13.17B,,12.55,9.71,1.83,2.49,1.19,,
KEY,28,KEY,6/30/2016,9.31B,,10.94,10.02,1.89,2.27,0.86,,
KEY,29,KEY,3/31/2016,9.30B,,10.51,8.21,1.55,2.29,0.89,,
KEY,30,KEY,12/31/2015,11.02B,,12.44,11.1,2.29,2.77,1.06,,
KEY,31,KEY,9/30/2015,10.87B,,12.63,10.71,2.21,2.8,1.06,,
KEY,32,KEY,6/30/2015,12.67B,,14.44,12.21,2.52,3.3,1.23,,
KEY,33,KEY,3/31/2015,12.05B,,13.62,11.06,2.03,3.16,1.18,,
KEY,34,KEY,12/31/2014,11.95B,,13.63,12.95,2.38,3.16,1.17,,
KEY,35,KEY,9/30/2014,11.58B,,12.82,11.98,2.5,3.03,1.13,,
KEY,36,KEY,6/30/2014,12.56B,,14.62,12.44,2.59,3.3,1.24,,
KEY,37,KEY,3/31/2014,12.60B,,15.31,12.36,2.58,3.3,1.26,,
KEY,38,KEY,12/31/2013,11.95B,,15.08,12.64,2.53,3.06,1.21,,
KEY,39,KEY,9/30/2013,10.24B,,13.26,11.36,2.27,2.59,1.03,,
KEY,40,KEY,6/30/2013,10.16B,,12.55,11.25,2.47,2.55,1.0,,
KEY,41,KEY,3/31/2013,9.19B,,11.32,10.02,2.2,2.33,0.92,,
KEY,42,KEY,12/31/2012,7.79B,,9.57,9.35,2.92,1.97,0.78,,
KEY,43,KEY,9/30/2012,8.25B,,9.82,9.79,7.54,2.15,0.83,,
KEY,44,KEY,6/30/2012,7.38B,,8.41,8.9,3.02,1.91,0.75,,
KEY,45,KEY,3/31/2012,8.10B,,9.24,10.59,2.0,2.05,0.85,,
KEY,46,KEY,12/31/2011,7.33B,,7.39,10.04,3.14,1.73,0.76,,
KEY,47,KEY,9/30/2011,5.65B,,5.7,7.75,1.55,1.34,0.59,,
KEY,48,KEY,6/30/2011,7.95B,,8.5,10.92,2.02,1.8,0.84,,
KEY,49,KEY,3/31/2011,8.47B,,11.24,11.09,2.05,1.83,0.93,,
KEY,50,KEY,12/31/2010,7.79B,,18.83,17.12,3.61,1.81,0.93,,
KEY,51,KEY,9/30/2010,7.01B,,,,,1.58,0.83,,
KEY,52,KEY,6/30/2010,6.77B,,,,,1.64,0.84,,
KEY,53,KEY,3/31/2010,6.81B,,,,,1.45,0.86,,
KEY,54,KEY,12/31/2009,4.88B,,,,,0.91,0.61,,
KEY,55,KEY,9/30/2009,5.71B,,,,-1.45,0.93,0.69,,
KEY,56,KEY,6/30/2009,4.18B,,,,,0.61,0.51,,
KEY,57,KEY,3/31/2009,3.89B,,,,,0.93,0.56,,
KEY,58,KEY,12/31/2008,4.22B,,,,,0.93,0.57,,
KEY,59,KEY,9/30/2008,5.91B,,,,-0.85,1.17,0.74,,
KEY,60,KEY,6/30/2008,5.33B,,,,-0.78,1.0,0.66,,
KEY,61,KEY,3/31/2008,8.78B,,10.81,,-1.57,1.81,1.02,,
KEY,62,KEY,12/31/2007,9.12B,,9.85,,,1.9,1.18,,
KEY,63,KEY,9/30/2007,12.57B,,9.95,,,2.59,1.63,,
KEY,64,KEY,6/30/2007,13.40B,,10.93,,,2.82,1.74,,
KEY,65,KEY,3/31/2007,14.70B,,12.88,,,3.2,1.91,,
KEY,66,KEY,12/31/2006,15.18B,,13.02,,,3.11,1.91,,
KEY,67,KEY,9/30/2006,15.08B,,13.23,,,3.1,1.95,,
KEY,68,KEY,6/30/2006,14.37B,,12.61,,,2.95,1.86,,
KEY,69,KEY,3/31/2006,14.91B,,13.24,,,3.11,1.95,,
KEY,70,KEY,12/31/2005,13.39B,,13.02,,,2.97,1.78,,
KEY,71,KEY,9/30/2005,13.18B,,12.75,,,2.91,1.75,,
KEY,72,KEY,6/30/2005,13.53B,,13.42,,,3.0,1.84,,
KEY,73,KEY,3/31/2005,13.22B,,13.81,,,3.02,1.85,,
KEY,74,KEY,12/31/2004,13.82B,,14.74,,,3.21,1.94,,
KEY,75,KEY,9/30/2004,12.82B,,13.56,,,3.0,1.85,,
KEY,76,KEY,6/30/2004,12.17B,,13.23,,,2.83,1.78,,
KEY,77,KEY,3/31/2004,12.48B,,13.77,,,2.86,1.78,,
KEY,78,KEY,12/31/2003,12.25B,,13.87,,,2.79,1.76,,
KEY,79,KEY,9/30/2003,10.72B,,11.89,,,2.43,1.54,,
KEY,80,KEY,6/30/2003,10.47B,,11.65,,,2.41,1.5,,
KEY,81,KEY,3/31/2003,9.54B,,10.16,,,2.16,1.38,,
KEY,82,KEY,12/31/2002,10.66B,,11.07,,,2.4,1.56,,
KEY,83,KEY,9/30/2002,10.61B,,19.36,,,2.4,1.59,,
KEY,84,KEY,6/30/2002,11.64B,,65.0,,,2.6,1.82,,
KEY,85,KEY,3/31/2002,11.34B,,72.03,,,2.52,1.84,,
KEY,86,KEY,12/31/2001,10.32B,,65.78,,,2.3,1.68,,
KEY,87,KEY,9/30/2001,10.27B,,22.26,,,2.29,1.59,,
KEY,88,KEY,6/30/2001,11.07B,,13.16,,,2.45,1.65,,
KEY,89,KEY,3/31/2001,10.95B,,11.22,,,2.28,1.65,,
KEY,90,KEY,12/31/2000,11.85B,,12.33,,,2.43,1.82,,
KEY,91,KEY,9/30/2000,10.82B,,9.81,,,2.18,1.66,,
KEY,92,KEY,6/30/2000,7.60B,,6.83,,,1.52,1.17,,
KEY,93,KEY,3/31/2000,8.31B,,7.22,,,1.63,1.28,,
KEY,94,KEY,12/31/1999,9.81B,,9.03,,,1.97,1.54,,
KEY,95,KEY,9/30/1999,11.58B,,10.58,,,2.38,1.81,,
KEY,96,KEY,6/30/1999,14.41B,,13.33,,,3.04,2.31,,
KEY,97,KEY,3/31/1999,13.57B,,12.9,,,2.96,2.22,,
KEY,98,KEY,12/31/1998,14.51B,,14.38,,,3.32,2.35,,
KEY,99,KEY,9/30/1998,12.62B,,13.09,,,3.04,2.27,,
KEY,100,KEY,6/30/1998,15.72B,,16.37,,,3.73,2.85,,
KEY,101,KEY,3/31/1998,16.65B,,17.79,,,4.03,3.12,,
KEY,102,KEY,12/31/1997,15.51B,,17.1,,,3.84,2.99,,
KEY,103,KEY,9/30/1997,13.98B,,17.15,,,3.58,2.75,,
KEY,104,KEY,6/30/1997,12.20B,,15.74,,,3.28,2.53,,
KEY,105,KEY,3/31/1997,10.70B,,14.13,,,2.92,2.29,,
KEY,106,KEY,12/31/1996,11.28B,,14.99,,,3.09,2.31,,
KEY,107,KEY,9/30/1996,9.99B,,12.43,,,2.7,2.01,,
KEY,108,KEY,6/30/1996,8.95B,,11.26,,,2.49,1.8,,
KEY,109,KEY,3/31/1996,8.95B,,11.7,,,2.54,1.79,,
KEY,110,KEY,12/31/1995,8.47B,,11.22,,,2.48,1.72,,
KEY,111,KEY,9/30/1995,8.13B,,10.54,,,2.39,1.8,,
KEY,112,KEY,6/30/1995,7.19B,,9.65,,,2.19,1.59,,
KEY,113,KEY,3/31/1995,6.73B,,8.53,,,1.92,1.44,,
KEY,114,KEY,12/31/1994,6.01B,,8.12,,,1.58,1.32,,
KEY,115,KEY,9/30/1994,7.43B,,9.9,,,1.93,1.64,,
KEY,116,KEY,6/30/1994,7.79B,,10.7,,,1.96,1.75,,
KEY,117,KEY,3/31/1994,3.52B,,10.27,,,1.61,0.8,,
KEY,118,KEY,12/31/1993,3.49B,,10.4,,,1.74,1.71,,
KEY,119,KEY,9/30/1993,3.75B,,10.53,,,2.35,1.87,,
KEY,120,KEY,6/30/1993,4.11B,,12.03,,,2.66,2.12,,
KEY,121,KEY,3/31/1993,4.05B,,12.28,,,2.68,2.16,,
KEY,122,KEY,12/31/1992,3.75B,,13.39,,,2.47,2.07,,
KEY,123,KEY,9/30/1992,3.28B,,9.95,,,1.88,1.89,,
KEY,124,KEY,6/30/1992,3.38B,,11.03,,,1.97,2.01,,
KEY,125,KEY,3/31/1992,3.17B,,11.5,,,1.87,1.96,,
KEY,126,KEY,12/31/1991,1.63B,,10.06,,,1.78,1.46,,
KEY,127,KEY,9/30/1991,2.21B,,11.81,,,1.86,1.75,,
KEY,128,KEY,6/30/1991,1.97B,,9.32,,,1.62,1.63,,
KEY,129,KEY,3/31/1991,1.87B,,8.57,,,1.54,1.86,,
KEY,130,KEY,12/31/1990,1.06B,,6.95,,,1.25,1.05,,
KEY,131,KEY,9/30/1990,857.01M,,5.7,,,1.46,0.89,,
KEY,132,KEY,6/30/1990,1.07B,,7.1,,,1.85,1.12,,
KEY,133,KEY,3/31/1990,1.06B,,6.82,,,1.25,1.47,,
KEY,134,KEY,12/31/1989,742.17M,,7.42,,,,,,
KEY,135,KEY,9/30/1989,815.18M,,8.11,,,,,,
KEY,136,KEY,6/30/1989,838.25M,,7.57,,,,,,
KEY,137,KEY,3/31/1989,770.69M,,7.97,,,,,,
KEY,138,KEY,12/31/1988,737.42M,,8.15,,,,,,
KEY,139,KEY,9/30/1988,812.76M,,9.01,,,,,,
KEY,140,KEY,6/30/1988,812.76M,,9.38,,,,,,
KEY,141,KEY,3/31/1988,748.54M,,8.91,,,,,,
KEY,142,KEY,12/31/1987,716.46M,,8.64,,,,,,
KEY,143,KEY,9/30/1987,846.26M,,10.19,,,,,,
KEY,144,KEY,6/30/1987,753.08M,,9.31,,,,,,
KEY,145,KEY,3/31/1987,729.92M,,9.13,,,,,,
KEY,146,KEY,12/31/1986,667.21M,,8.21,,,,,,
KEY,147,KEY,9/30/1986,657.24M,,8.35,,,,,,
KEY,148,KEY,6/30/1986,763.52M,,10.16,,,,,,
KEY,149,KEY,3/31/1986,737.15M,,10.19,,,,,,
KEY,150,KEY,12/31/1985,597.73M,,8.88,,,,,,
KEY,151,KEY,9/30/1985,520.01M,,8.39,,,,,,
COF,0,COF,As of Date: 4/27/2023Current,37.21B,,5.43,6.68,6.68,1.12,0.71,,
COF,1,COF,3/31/2023,36.78B,,5.37,6.31,6.31,1.1,0.7,,
COF,2,COF,12/31/2022,35.48B,,4.57,5.34,,1.12,0.7,,
COF,3,COF,9/30/2022,35.21B,,4.02,4.83,,1.19,0.66,,
COF,4,COF,6/30/2022,39.99B,,4.08,5.06,,1.43,0.71,,
COF,5,COF,3/31/2022,52.38B,,4.87,6.57,,1.92,0.86,,
COF,6,COF,12/31/2021,60.05B,,5.41,7.61,0.39,2.21,0.94,,
COF,7,COF,9/30/2021,69.71B,,6.44,9.28,0.52,2.54,1.08,,
COF,8,COF,6/30/2021,69.01B,,10.1,9.66,0.62,2.5,1.13,,
COF,9,COF,3/31/2021,58.12B,,24.51,10.7,0.53,2.05,0.97,,
COF,10,COF,12/31/2020,45.37B,,47.99,11.63,,1.59,0.78,,
COF,11,COF,9/30/2020,32.87B,,,10.27,,1.18,0.59,,
COF,12,COF,6/30/2020,28.56B,,12.37,250.0,1.46,1.02,0.5,,
COF,13,COF,3/31/2020,22.96B,,4.58,4.42,0.57,0.83,0.4,,
COF,14,COF,12/31/2019,46.98B,,9.13,8.61,2.5,1.76,0.81,,
COF,15,COF,9/30/2019,42.37B,,7.86,7.46,2.02,1.56,0.76,,
COF,16,COF,6/30/2019,42.61B,,7.51,8.18,3.41,1.56,0.8,,
COF,17,COF,3/31/2019,38.34B,,6.9,7.36,36.8,1.43,0.74,,
COF,18,COF,12/31/2018,35.35B,,10.2,,,1.31,0.7,,
COF,19,COF,9/30/2018,45.42B,,14.32,8.42,0.35,1.65,0.9,,
COF,20,COF,6/30/2018,44.70B,,18.91,8.98,0.37,1.63,0.89,,
COF,21,COF,3/31/2018,46.58B,,25.48,9.95,0.44,1.72,0.96,,
COF,22,COF,12/31/2017,48.27B,,13.91,11.76,1.66,1.81,0.96,,
COF,23,COF,9/30/2017,40.95B,,12.31,9.98,1.41,1.59,0.83,,
COF,24,COF,6/30/2017,39.96B,,12.54,10.6,1.44,1.6,0.83,,
COF,25,COF,3/31/2017,41.84B,,12.51,10.95,1.49,1.73,0.88,,
COF,26,COF,12/31/2016,42.08B,,12.43,10.93,1.93,1.81,0.87,,
COF,27,COF,9/30/2016,35.14B,,10.15,8.95,1.59,1.55,0.73,,
COF,28,COF,6/30/2016,32.13B,,9.23,8.31,1.51,1.43,0.67,,
COF,29,COF,3/31/2016,35.66B,,9.9,8.26,2.95,1.62,0.75,,
COF,30,COF,12/31/2015,38.06B,,10.15,9.03,2.32,1.74,0.8,,
COF,31,COF,9/30/2015,38.79B,,10.27,9.07,2.32,1.78,0.83,,
COF,32,COF,6/30/2015,47.72B,,11.51,10.75,3.36,2.21,1.04,,
COF,33,COF,3/31/2015,43.19B,,10.4,9.71,2.21,2.02,0.96,,
COF,34,COF,12/31/2014,45.68B,,11.11,10.72,3.57,2.16,1.04,,
COF,35,COF,9/30/2014,45.59B,,11.09,10.56,3.52,2.16,1.04,,
COF,36,COF,6/30/2014,46.41B,,11.22,10.75,5.12,2.18,1.08,,
COF,37,COF,3/31/2014,44.21B,,10.5,10.16,4.84,2.03,1.06,,
COF,38,COF,12/31/2013,43.87B,,10.52,10.47,3.27,2.0,1.05,,
COF,39,COF,9/30/2013,40.00B,,9.24,9.54,2.89,1.78,0.97,,
COF,40,COF,6/30/2013,36.69B,,11.34,9.07,6.48,1.67,0.89,,
COF,41,COF,3/31/2013,32.09B,,8.4,7.51,4.42,1.5,0.81,,
COF,42,COF,12/31/2012,33.73B,,8.86,8.34,1.7,1.58,0.85,,
COF,43,COF,9/30/2012,33.11B,,9.78,8.16,1.67,1.57,0.89,,
COF,44,COF,6/30/2012,31.72B,,7.09,8.76,7.96,1.51,0.86,,
COF,45,COF,3/31/2012,30.97B,,7.93,8.18,0.87,1.57,1.09,,
COF,46,COF,12/31/2011,19.44B,,5.49,6.98,0.75,1.2,0.66,,
COF,47,COF,9/30/2011,18.21B,,5.15,6.55,0.64,1.13,0.62,,
COF,48,COF,6/30/2011,23.73B,,6.79,8.76,0.9,1.48,0.83,,
COF,49,COF,3/31/2011,23.84B,,7.08,9.39,0.95,1.49,0.87,,
COF,50,COF,12/31/2010,19.45B,,6.37,8.77,0.88,1.2,0.73,,
COF,51,COF,9/30/2010,18.07B,,6.49,,,1.15,0.69,,
COF,52,COF,6/30/2010,18.41B,,7.5,,,1.21,0.73,,
COF,53,COF,3/31/2010,18.90B,,14.09,,,1.28,0.78,,
COF,54,COF,12/31/2009,17.45B,,39.12,,,1.34,0.66,,
COF,55,COF,9/30/2009,16.26B,,,,,1.09,0.62,,
COF,56,COF,6/30/2009,9.95B,,,,,0.68,0.39,,
COF,57,COF,3/31/2009,4.80B,,,,,0.36,0.2,,
COF,58,COF,12/31/2008,12.49B,,227.79,,,0.87,0.53,,
COF,59,COF,9/30/2008,19.98B,,10.52,,,1.32,0.78,,
COF,60,COF,6/30/2008,14.28B,,6.36,,,0.98,0.57,,
COF,61,COF,3/31/2008,18.47B,,7.42,,,1.27,0.75,,
COF,62,COF,12/31/2007,17.62B,,7.22,,,1.29,0.73,,
COF,63,COF,9/30/2007,27.75B,,10.24,,,1.85,1.1,,
COF,64,COF,6/30/2007,32.60B,,12.29,,,2.16,1.25,,
COF,65,COF,3/31/2007,31.11B,,9.9,,,1.98,1.23,,
COF,66,COF,12/31/2006,31.49B,,10.33,,,1.99,1.89,,
COF,67,COF,9/30/2006,23.95B,,10.7,,,2.07,1.51,,
COF,68,COF,6/30/2006,25.97B,,11.63,,,2.25,1.63,,
COF,69,COF,3/31/2006,24.40B,,10.59,,,2.12,1.61,,
COF,70,COF,12/31/2005,25.99B,,13.13,,,2.33,2.35,,
COF,71,COF,9/30/2005,21.20B,,12.09,,,2.14,1.92,,
COF,72,COF,6/30/2005,21.08B,,11.85,,,2.15,2.02,,
COF,73,COF,3/31/2005,18.85B,,11.76,,,2.06,2.1,,
COF,74,COF,12/31/2004,20.79B,,13.56,,,2.35,2.48,,
COF,75,COF,9/30/2004,17.94B,,11.28,,,2.08,2.26,,
COF,76,COF,6/30/2004,16.51B,,11.75,,,1.96,2.29,,
COF,77,COF,3/31/2004,18.08B,,13.94,,,2.16,2.64,,
COF,78,COF,12/31/2003,14.41B,,12.46,,,1.75,2.38,,
COF,79,COF,9/30/2003,13.07B,,11.71,,,1.62,2.32,,
COF,80,COF,6/30/2003,11.17B,,10.33,,,1.36,2.1,,
COF,81,COF,3/31/2003,6.79B,,6.74,,,0.82,1.38,,
COF,82,COF,12/31/2002,6.72B,,7.56,,,0.83,1.45,,
COF,83,COF,9/30/2002,7.88B,,9.65,,,1.05,1.82,,
COF,84,COF,6/30/2002,13.51B,,19.82,,,2.1,3.67,,
COF,85,COF,3/31/2002,14.02B,,21.94,,,2.32,4.22,,
COF,86,COF,12/31/2001,11.97B,,18.97,,,2.0,3.6,,
COF,87,COF,9/30/2001,9.70B,,18.05,,,1.84,3.54,,
COF,88,COF,6/30/2001,12.63B,,25.1,,,2.53,5.16,,
COF,89,COF,3/31/2001,11.51B,,24.78,,,2.52,5.86,,
COF,90,COF,12/31/2000,12.99B,,31.49,,,3.26,7.32,,
COF,91,COF,9/30/2000,13.78B,,35.56,,,3.73,8.38,,
COF,92,COF,6/30/2000,8.75B,,22.65,,,2.38,5.32,,
COF,93,COF,3/31/2000,9.38B,,26.05,,,2.79,6.05,,
COF,94,COF,12/31/1999,9.62B,,28.02,,,2.97,6.35,,
COF,95,COF,9/30/1999,7.69B,,24.22,,,2.62,5.35,,
COF,96,COF,6/30/1999,10.99B,,37.63,,,4.22,7.83,,
COF,97,COF,3/31/1999,9.94B,,36.21,,,4.3,7.53,,
COF,98,COF,12/31/1998,7.56B,,29.04,,,3.66,5.95,,
COF,99,COF,9/30/1998,6.76B,,27.41,,,3.62,5.79,,
COF,100,COF,6/30/1998,8.15B,,35.28,,,4.73,7.62,,
COF,101,COF,3/31/1998,5.17B,,25.2,,,3.34,5.23,,
COF,102,COF,12/31/1997,3.55B,,19.35,,,2.52,3.97,,
COF,103,COF,9/30/1997,3.00B,,18.01,,,2.28,3.57,,
COF,104,COF,6/30/1997,2.51B,,16.0,,,1.99,3.06,,
COF,105,COF,3/31/1997,2.48B,,15.78,,,2.07,3.18,,
COF,106,COF,12/31/1996,2.39B,,15.65,,,2.16,3.22,,
COF,107,COF,9/30/1996,1.98B,,12.93,,,1.94,2.82,,
COF,108,COF,6/30/1996,1.89B,,13.57,,,2.27,3.0,,
COF,109,COF,3/31/1996,1.82B,,14.32,,,2.38,3.04,,
COF,110,COF,12/31/1995,1.58B,,13.72,,,2.8,2.82,,
COF,111,COF,9/30/1995,1.95B,,23.88,,,3.42,3.66,,
COF,112,COF,6/30/1995,1.31B,,16.06,,,2.3,2.46,,
COF,113,COF,3/31/1995,1.27B,,14.83,,,2.24,2.53,,
COF,114,COF,12/31/1994,1.06B,,,,,,,,
TD,0,TD,As of Date: 5/4/2023Current,112.71B,,10.26,9.59,,3.23,1.54,,
TD,1,TD,1/31/2023,125.79B,,9.78,10.31,,3.67,1.69,,
TD,2,TD,10/31/2022,116.64B,,11.04,9.78,,3.54,1.66,,
TD,3,TD,7/31/2022,117.15B,,10.34,9.3,,3.46,1.62,,
TD,4,TD,4/30/2022,131.42B,,11.61,11.22,,3.95,1.73,,
TD,5,TD,1/31/2022,144.92B,,13.23,12.61,,4.4,1.97,,
TD,6,TD,10/31/2021,132.39B,,10.55,11.67,,3.77,1.75,,
TD,7,TD,7/31/2021,121.14B,,10.65,11.05,,3.48,1.68,,
TD,8,TD,4/30/2021,125.18B,,12.81,12.45,,3.51,1.71,,
TD,9,TD,1/31/2021,102.52B,,11.29,12.38,,3.03,1.47,,
TD,10,TD,10/31/2020,79.99B,,11.41,10.38,,2.51,1.23,,
TD,11,TD,7/31/2020,80.06B,,10.42,10.18,,2.59,1.23,,
TD,12,TD,4/30/2020,75.59B,,8.8,9.65,,2.54,1.26,,
TD,13,TD,1/31/2020,100.08B,,11.68,10.57,,3.28,1.61,,
TD,14,TD,10/31/2019,103.53B,,11.95,10.64,,3.4,1.69,,
TD,15,TD,7/31/2019,106.74B,,12.39,10.46,,3.53,1.76,,
TD,16,TD,4/30/2019,103.84B,,12.69,11.26,,3.6,1.84,,
TD,17,TD,1/31/2019,103.06B,,12.32,10.65,,3.53,1.83,,
TD,18,TD,10/31/2018,101.89B,,12.44,10.55,,3.56,1.85,,
TD,19,TD,7/31/2018,108.16B,,13.65,11.38,,3.84,2.0,,
TD,20,TD,4/30/2018,103.56B,,13.31,11.63,,3.7,1.97,,
TD,21,TD,1/31/2018,111.81B,,13.64,12.61,,3.88,1.99,,
TD,22,TD,10/31/2017,105.33B,,13.81,12.42,,3.84,2.0,,
TD,23,TD,7/31/2017,95.33B,,12.7,11.27,,3.44,1.69,,
TD,24,TD,4/30/2017,87.62B,,13.32,12.22,,3.46,1.76,,
TD,25,TD,1/31/2017,95.49B,,14.53,13.16,,3.71,1.85,,
TD,26,TD,10/31/2016,84.27B,,13.74,11.93,,3.42,1.71,,
TD,27,TD,7/31/2016,80.17B,,13.05,11.25,,3.29,1.69,,
TD,28,TD,4/30/2016,82.31B,,13.02,10.98,,3.26,1.56,,
TD,29,TD,1/31/2016,70.31B,,12.62,10.26,,3.17,1.57,,
TD,30,TD,10/31/2015,75.59B,,12.95,11.19,,3.28,1.63,,
TD,31,TD,7/31/2015,75.19B,,12.85,10.91,,3.24,1.7,,
TD,32,TD,4/30/2015,85.77B,,13.34,11.51,1.4,3.46,1.76,,
TD,33,TD,1/31/2015,74.06B,,21.49,10.35,1.26,6.35,1.83,,
TD,34,TD,10/31/2014,91.45B,,23.6,11.86,1.44,6.97,2.01,,
TD,35,TD,7/31/2014,96.26B,,28.25,12.24,1.48,7.31,2.1,,
TD,36,TD,4/30/2014,88.80B,,28.21,11.53,1.4,6.96,1.97,,
TD,37,TD,1/31/2014,158.63B,,27.92,10.59,1.29,6.61,3.77,,
TD,38,TD,10/31/2013,83.89B,,13.97,11.4,1.38,3.83,1.92,,
TD,39,TD,7/31/2013,77.43B,,12.25,10.31,1.25,3.46,1.73,,
TD,40,TD,4/30/2013,75.39B,,11.72,9.83,1.19,3.33,1.7,,
TD,41,TD,1/31/2013,76.48B,,12.39,9.98,1.21,3.31,1.75,,
TD,42,TD,10/31/2012,74.60B,,12.03,10.3,1.25,3.22,1.69,,
TD,43,TD,7/31/2012,71.82B,,11.58,10.19,1.24,3.17,1.66,,
TD,44,TD,4/30/2012,77.44B,,12.61,10.55,1.27,3.37,1.84,,
TD,45,TD,1/31/2012,69.90B,,12.29,10.08,1.37,3.22,1.72,,
TD,46,TD,10/31/2011,68.29B,,11.68,10.68,3.56,3.08,1.55,,
TD,47,TD,7/31/2011,71.46B,,13.79,10.48,1.61,3.34,1.78,,
TD,48,TD,4/30/2011,76.10B,,15.39,11.35,1.36,3.67,1.92,,
TD,49,TD,1/31/2011,66.03B,,14.03,10.53,1.26,3.34,1.74,,
TD,50,TD,10/31/2010,62.53B,,14.42,,,3.34,1.71,,
TD,51,TD,7/31/2010,61.34B,,15.14,,,3.31,1.84,,
TD,52,TD,4/30/2010,65.28B,,15.35,,,3.35,1.85,,
TD,53,TD,1/31/2010,50.71B,,18.15,9.56,0.8,2.99,1.54,,
TD,54,TD,10/31/2009,48.76B,,16.58,,,3.13,1.55,,
TD,55,TD,7/31/2009,50.07B,,16.92,,,3.19,1.57,,
TD,56,TD,4/30/2009,33.53B,,11.9,8.19,0.96,2.38,1.1,,
TD,57,TD,1/31/2009,27.39B,,8.17,,,2.06,1.13,,
TD,58,TD,10/31/2008,38.16B,,11.58,,,2.92,1.54,,
TD,59,TD,7/31/2008,49.05B,,12.09,,,3.08,1.69,,
TD,60,TD,4/30/2008,52.77B,,15.82,,,3.33,1.81,,
TD,61,TD,1/31/2008,48.68B,,12.24,,,3.34,2.21,,
