,,Unnamed: 0,Breakdown,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow,Other Cash Adjustment Inside Change in Cash,Cash Flow from Discontinued Operation
EWBC,0,EWBC,ttm,"2,066,022","-4,582,892","2,114,210","3,481,784","281,269","249,587",-,-,"4,950,206","-5,201,143","-119,077","2,066,022",,
EWBC,1,EWBC,12/31/2022,"449,603","-332,562","1,194,624","3,481,784","48,187","142,441",-,-,"350,006","-675,233",-104,"449,603",,
EWBC,2,EWBC,9/30/2022,"687,365","-274,921","-129,593","2,163,353","44,572","62,089",-,-,"650,200","-500,404",-6,"687,365",,
EWBC,3,EWBC,6/30/2022,"643,169","-2,292,895","-282,408","1,902,053",-,"24,176",-,-,-,"-3,850,146","-100,370","643,169",,
EWBC,4,EWBC,3/31/2022,"285,885","-1,682,514","1,331,587","3,848,700",-,"20,881",-,-,-,"-175,360","-18,597","285,885",,
EWBC,5,EWBC,12/31/2021,"422,591","-1,299,318","-68,398","3,912,935","2,008","16,851",-,-,400,"-21,840",-194,"416,574",,
EWBC,6,EWBC,9/30/2021,"342,020","-2,215,437","730,672","4,852,901","23,250","18,605",-,-,0,-296,-254,"342,020",,
EWBC,7,EWBC,6/30/2021,"32,296","-1,218,540","2,697,496","5,997,805","114,202","22,548",-,-,-,"-405,298",-271,"33,859",,
EWBC,8,EWBC,3/31/2021,"371,515","-4,383,909","4,475,275","4,619,133",0,"29,680","-1,563",-,-,-315,"-14,983","369,952",,
EWBC,9,EWBC,12/31/2020,"262,711","-2,453,518","1,651,693","4,017,971","34,298","44,482",-396,-,100,"-1,432,826",-597,"262,315",,
EWBC,10,EWBC,9/30/2020,"159,698","-884,585","729,580","4,506,941","76,505","42,934",-414,-,100,"-1,390",-31,"159,284",,
EWBC,11,EWBC,6/30/2020,"179,213","-2,105,283","3,408,492","4,533,502","2,705","57,203",-930,-,"1,447,369","-9,131",-16,"178,283",,
EWBC,12,EWBC,3/31/2020,"91,703","-1,405,330","1,119,028","3,080,042","2,904","88,520",-916,-,0,"-100,288","-153,575","90,787",,
EWBC,13,EWBC,12/31/2019,"346,810","-702,358","591,739","3,261,149","42,222","105,047","-1,355","1,488",0,-227,-405,"345,455",,
EWBC,14,EWBC,9/30/2019,"99,018","-871,667","205,339","3,042,281","39,921","110,216","-4,090",1,0,-223,-61,"94,928",,
EWBC,15,EWBC,6/30/2019,"150,760","-878,470","578,514","3,621,614","75,850","105,647","-1,078",-,"1,200,000","-800,218",-133,"149,682",,
EWBC,16,EWBC,3/31/2019,"139,241","-118,681","749,370","3,785,325",303,"97,930","-3,336",-,"300,000","-282,217","-14,036","135,905",,
EWBC,17,EWBC,12/31/2018,"189,856","-1,178,277","1,767,461","3,001,377","14,808","86,604","-4,369","1,518",-,"-10,000",-,"185,487",,
EWBC,18,EWBC,9/30/2018,"258,449","-1,178,572","860,732","2,218,787","3,633","67,246","-1,806",0,-,"-5,000",-,"256,643",,
EWBC,19,EWBC,6/30/2018,"217,013","-435,245","228,201","2,297,471","57,347","55,958","-5,855",-,-,"-5,000",-215,"211,158",,
EWBC,20,EWBC,3/31/2018,"217,854","-1,040,318","944,414","2,314,938","10,084","43,218","-1,757",-,-,"-5,000","-14,946","216,097",,
EWBC,21,EWBC,12/31/2017,"31,923","-434,247","828,974","2,174,592","86,326","40,357","-2,156","1,272",-,"-5,000",-277,"29,767",,
EWBC,22,EWBC,9/30/2017,"284,730","-1,422,502","110,925","1,736,749","-2,999","34,993","-6,608",0,-,0,-404,"278,122",,
EWBC,23,EWBC,6/30/2017,"194,976","-431,303","548,090","2,752,476",-,"33,055","-3,799",-,-,"-5,000",-105,"191,177",,
EWBC,24,EWBC,3/31/2017,"185,277","-212,403","580,471","2,434,643",-,"30,361","-1,191",-,-,"-5,000","-12,154","184,086",,
EWBC,25,EWBC,12/31/2016,"224,252","-1,319,391","1,314,786","1,878,503","18,826","27,501",-,"1,020",-,"-5,000",-81,"224,252",,
EWBC,26,EWBC,9/30/2016,"146,301","-423,588","351,840","1,666,832","14,293","26,706",-,900,-,"-5,000",-50,"152,786",,
EWBC,27,EWBC,6/30/2016,"87,753","-380,207","-376,107","1,592,796",-,"25,735",-,"1,062",-,"-5,000",-40,"81,268",,
EWBC,28,EWBC,3/31/2016,"183,550","330,526","389,841","2,265,297",-,"24,309",-,0,-,"-705,000","-3,054","183,550",,
EWBC,29,EWBC,12/31/2015,"48,037","-1,950,885","1,390,581","1,360,887",-,"24,092",-,"1,066",-,"-5,000",-105,"41,482",,
EWBC,30,EWBC,9/30/2015,"132,127","-878,367","752,527","1,875,703",-,"26,703",-,0,-,"-5,000",-72,"132,127",,
EWBC,31,EWBC,6/30/2015,"163,922","-401,354","229,147","1,877,914",716,"28,329",-,936,-,"-5,000",-96,"165,663",,
EWBC,32,EWBC,3/31/2015,"125,538","-397,275","1,118,051","1,886,199","18,458","26,707","-1,741",833,-,"-5,000","-5,691","123,797",,
EWBC,33,EWBC,12/31/2014,"149,654","-386,534","161,012","1,039,885","41,223","27,161","-3,511","5,545",0,"-5,000","-2,794","146,143",,
EWBC,34,EWBC,9/30/2014,"195,733","-1,232,330","906,306","1,115,753","58,599","29,177","-2,483",42,-,"-5,000",-224,"193,250",,
EWBC,35,EWBC,6/30/2014,"11,043","-666,838","16,984","1,246,044","150,632","28,554",-,924,-,"-5,000",-234,"5,184",,
EWBC,36,EWBC,3/31/2014,"36,468","-74,191","1,026,758","1,884,855","70,723","27,803",-,283,-,"-25,310","-7,074","36,468",,
EWBC,37,EWBC,12/31/2013,"134,505","-632,250","71,182","895,820","24,572","27,526","-2,483",942,"50,000","-30,310","-13,833","132,022",,
EWBC,38,EWBC,9/30/2013,"133,604","-968,782","1,107,347","1,322,383","26,312","26,307","-75,649",962,-,0,0,"57,955",,
EWBC,39,EWBC,6/30/2013,"77,336","-975,928","211,941","1,050,214","90,380","29,451",-,708,-,0,"-112,992","67,360",,
EWBC,40,EWBC,3/31/2013,"80,400","-157,886","491,245","1,736,865","1,716","28,885",-,442,-,0,"-87,000","80,400",,
EWBC,41,EWBC,12/31/2012,"130,963","-1,180,519","556,290","1,323,106","-5,341","31,931","-4,454",685,-,"-71,432",0,"126,509",,
EWBC,42,EWBC,9/30/2012,"130,771","-925,955","182,385","1,816,372","3,010","30,891","-2,421",458,-,"-74,999","-50,000","128,350",,
EWBC,43,EWBC,6/30/2012,"-34,229","923,240","-95,245","2,429,614","162,307","39,798",-,"1,139",-,"-59,821","-48,972","-37,634",,
EWBC,44,EWBC,3/31/2012,"60,021","424,329","-279,230","1,635,854","23,422","34,140",-,"1,539",-,"-23,003","-100,978","60,021",,
EWBC,45,EWBC,12/31/2011,"55,864","143,854","125,598","1,431,185","63,737","40,735","-3,047","2,063",-,"-11,741",-,"52,817",,
EWBC,46,EWBC,9/30/2011,"-140,501","-374,903","22,715","1,105,888","250,401","42,415","-5,261",322,-,"-141,419",-,"-145,762",,
EWBC,47,EWBC,6/30/2011,"181,644","-486,106","409,971","1,598,498","9,305","46,275","-1,178","1,766",-,"-282,206",-,"180,466",,
EWBC,48,EWBC,3/31/2011,"158,310","-354,071","355,927","1,492,922","3,282","46,347","-1,021","1,575",-,"-423,413",-,"157,289",,
EWBC,49,EWBC,12/31/2010,"182,490","-215,371","241,586","1,333,949","36,329","46,964",-880,"1,927","-312,119","-24,073",-,"181,610",,
EWBC,50,EWBC,9/30/2010,"-61,938","-615,579","350,767","859,694","5,464","49,993","-7,698",726,"-20,171",-562,-,"-69,636",,
EWBC,51,EWBC,6/30/2010,"487,424","433,449","-915,664","1,185,944","16,882","55,353","-2,481","1,106","16,744","-841,987",-,"484,943",,
EWBC,52,EWBC,3/31/2010,"261,220","533,567","-449,193","1,180,735","1,946","54,396","-79,872",695,"355,641","-417,888",-419,"181,348",,
EWBC,53,EWBC,12/31/2009,"-35,411","1,831,183","-1,553,865","835,141","8,054","46,613",-,"500,550",-,"-1,831,899","-14,981","-35,157",,
EWBC,54,EWBC,9/30/2009,"26,572","140,718","-147,170","593,234",-7,"52,674",-73,"107,838",-,"-252,100","-5,690","26,499",,
EWBC,55,EWBC,6/30/2009,"121,218","-244,899","155,730","573,114","13,083","60,010",-166,375,-,"-40,998",-44,"121,052",,
EWBC,56,EWBC,3/31/2009,"40,526","-531,922","153,608","541,066",50,"71,370",-194,15,-,"-150,277",-35,"40,332",,
EWBC,57,EWBC,12/31/2008,"38,120","-397,133","710,392","878,853",-,-,-605,-,-,"-78,549",-,"37,515",,
EWBC,58,EWBC,9/30/2008,"41,603","118,259","-56,446","527,474",-,-,"-1,346",-,-,"-6,382",-,"40,257",,
EWBC,59,EWBC,6/30/2008,"30,398","76,984","51,657","424,058",-,-,-220,-,-,"-115,709",-,"30,178",,
EWBC,60,EWBC,3/31/2008,"72,300","69,208","-36,836","265,019",-,-,"-1,522",-,"-3,759","-155,000",-,"70,778",,
EWBC,61,EWBC,12/31/2007,"62,800","-275,063","205,328","160,347",-,-,"-1,124",-,"381,955",-,-,"61,676",,
EWBC,62,EWBC,9/30/2007,"99,850","-264,841","141,735","167,282",-,-,-,-,"293,500","-1,040",-,"99,876",,
EWBC,63,EWBC,6/30/2007,"6,085","-121,604","159,080","190,538",-,-,-508,-,"28,000","267,153",-,"5,577",,
EWBC,64,EWBC,3/31/2007,"54,794","142,611","-242,987","146,977",-,-,"-3,620",-,"20,000","-272,194",-,"51,174",,
EWBC,65,EWBC,12/31/2006,"43,696","23,691","-47,185","192,559",-,-,"-2,217",-,"-363,000","-3,081",-,"41,479",,
EWBC,66,EWBC,9/30/2006,"18,415","-729,878","746,511","172,357",-,-,"-1,765",-,"-48,386,546","48,643,360",-,"16,650",,
EWBC,67,EWBC,6/30/2006,"30,529","-727,979","701,033","137,309",-,-,"-1,550",-,"16,468,546","-15,969,733",-,"28,979",,
EWBC,68,EWBC,3/31/2006,"28,831","-83,891","37,594","133,726",-,-,"-3,129",-,"32,760,000","-32,679,000",-,"25,702",,
EWBC,69,EWBC,12/31/2005,"40,415","-324,326","298,269","151,192",-,-,"-8,789",-,0,"134,638",-,"31,626",,
EWBC,70,EWBC,9/30/2005,"55,337","-259,567","223,786","136,834",-,-,"-1,938",-,"45,000","-370,988",-,"53,399",,
EWBC,71,EWBC,6/30/2005,"15,465","-302,986","299,747","117,278",-,-,-716,-,"-34,347,600","34,324,353",-,"14,749",,
EWBC,72,EWBC,3/31/2005,"32,976","-334,527","313,528","105,052",-,-,"-1,120",-,"34,397,600","-34,332,938",-,"31,856",,
EWBC,73,EWBC,12/31/2004,"24,721","-469,460","427,183","93,075",-,-,-995,-,"30,015,000","-29,795,885",-,"23,726",,
EWBC,74,EWBC,9/30/2004,"38,245","-458,318","368,962","110,631",-,-,"-1,657",-,"24,919,690","-24,858,900",-,"36,588",,
EWBC,75,EWBC,6/30/2004,-335,"-496,740","276,392","161,742",-,-,"-1,265",-,"4,775,310","-4,675,300",-,"-1,600",,
EWBC,76,EWBC,3/31/2004,"24,854","-331,427","547,409","382,425",-,-,"-1,021",-,"5,725,000","-5,525,300",-,"23,833",,
EWBC,77,EWBC,12/31/2003,"19,444","-368,566","268,359","141,589",-,-,-773,-,"8,363,000","-8,214,300",-,"18,671",,
EWBC,78,EWBC,9/30/2003,"4,973","-155,422","140,886","222,352",-,-,"-1,734",-,-,"-3,042,400",-,"3,239",,
EWBC,79,EWBC,6/30/2003,"23,707","-121,750","61,743","231,915",-,-,-534,-,-,"1,083,700",-,"23,173",,
EWBC,80,EWBC,3/31/2003,"25,725","-97,009","44,227","268,215",-,-,-450,-,"1,084,000","-1,084,300",-,"25,275",,
EWBC,81,EWBC,12/31/2002,"30,910","-113,870","54,305","295,272",-,-,-179,-,-,"-7,349,500",-,"30,731",,
EWBC,82,EWBC,9/30/2002,"-18,988","3,272","182,690","323,927",-,-,-481,-,-,-300,-,"-19,469",,
EWBC,83,EWBC,6/30/2002,"26,458","-189,876","115,827","156,953",-,-,-494,-,-,-300,-,"25,964",,
EWBC,84,EWBC,3/31/2002,"-6,372","-97,147","83,729","204,544",-,-,-251,-,-,-600,-,"-6,623",,
EWBC,85,EWBC,12/31/2001,"16,600","-57,055","-8,805","224,334",-,-,"-1,295",-,"2,455,000","-2,420,000",-,"15,305",,
EWBC,86,EWBC,9/30/2001,"23,353","-95,419","164,657","273,594",-,-,"-1,333",-,"5,868,000","-5,868,000",-,"22,020",,
EWBC,87,EWBC,6/30/2001,"8,711","7,334","49,310","181,003",-,-,-853,-,-,-,-,"7,858",,
EWBC,88,EWBC,3/31/2001,"18,960","73,217","-39,577","115,648",-,-,"-1,468",-,-,-,-,"17,492",,
EWBC,89,EWBC,12/31/2000,"-16,603","101,868","-73,758","63,048",-,-,-,-,"3,482,050","-3,427,300",-,"-12,886",,
EWBC,90,EWBC,9/30/2000,"25,530","-26,263",-74,"51,541",-,-,"-1,072",-,"25,331,900","-25,420,682",-,"24,458",,
EWBC,91,EWBC,6/30/2000,"1,901","-27,761","33,286","52,348",-,-,"-1,726",-,"-19,669,900","19,663,150",-,175,,
EWBC,92,EWBC,3/31/2000,"12,365","-164,504","153,564","44,922",-,-,"-4,536",-,"7,588,000","-7,742,000",-,"7,829",,
EWBC,93,EWBC,12/31/1999,"4,700","-83,000","81,600","43,500",-,-,-300,-,"6,767,100","-6,686,400",-,"4,400",,
EWBC,94,EWBC,9/30/1999,"12,400","-8,600","-34,500","40,200",-,-,-400,-,"7,913,100","-8,011,700",-,"12,000",,
EWBC,95,EWBC,6/30/1999,"8,300","-114,300","96,000",0,-,-,-600,-,"2,434,600","-2,438,000",-,"7,700",,
EWBC,96,EWBC,3/31/1999,"14,200","-25,700","-68,700",0,-,-,-200,-,"2,695,300","-2,758,300",-,"14,000",,
MS,0,MS,ttm,"-6,397,000","-11,632,000","22,714,000","128,127,000","4,147,000","9,819,000","-3,078,000","994,000","72,460,000","-34,898,000","-10,871,000","-9,475,000",-,
MS,1,MS,3/31/2023,"-9,865,000","-1,041,000","-6,288,000","111,258,000","307,000","8,912,000","-719,000",-,"21,219,000","-15,201,000","-2,205,000","-10,584,000",-,
MS,2,MS,12/31/2022,"-13,996,000","898,000","25,975,000","128,127,000","1,342,000","5,480,000","-770,000",0,"18,177,000","-7,879,000","-1,745,000","-14,766,000",-,
MS,3,MS,9/30/2022,"-7,553,000","-4,161,000","-4,567,000","111,696,000","817,000","2,932,000","-857,000",-,"14,510,000","-7,505,000","-2,608,000","-8,410,000",-,
MS,4,MS,6/30/2022,"14,913,000","-8,527,000","-7,985,000","131,286,000","1,605,000","784,000","-799,000",-,"19,489,000","-8,420,000","-2,837,000","14,114,000",-,
MS,5,MS,3/31/2022,"239,000","158,000","9,291,000","136,086,000","383,000","623,000","-652,000",-,"20,284,000","-11,094,000","-3,681,000","-413,000",-,
MS,6,MS,12/31/2021,"349,000","-15,306,000","19,715,000","127,725,000","928,000","67,000","-650,000",-,"16,682,000","-13,425,000","-2,847,000","-301,000",-,
MS,7,MS,9/30/2021,"2,128,000","-15,147,000","11,783,000","123,863,000","1,270,000","355,000","-619,000",-,"24,491,000","-16,399,000","-3,628,000","1,509,000",-,
MS,8,MS,6/30/2021,"4,615,000","3,117,000","485,000","126,480,000","1,694,000","295,000","-514,000",-,"24,988,000","-20,526,000","-3,018,000","4,101,000",-,
MS,9,MS,3/31/2021,"26,879,000","-22,561,000","9,564,000","118,118,000","339,000","586,000","-525,000",-,"24,112,000","-19,774,000","-2,582,000","26,354,000",-,
MS,10,MS,12/31/2020,"-25,390,000","-460,000","34,859,000","105,654,000","916,000","373,000","-539,000",-,"18,557,000","-12,333,000","-50,000","-25,929,000",-,
MS,11,MS,9/30/2020,"-6,867,000","-3,820,000","-2,674,000","94,772,000","996,000","1,005,000","-123,000",-,"9,255,000","-13,519,000","-30,000","-6,990,000",-,
MS,12,MS,6/30/2020,"-16,810,000","-12,510,000","3,645,000","106,276,000","337,000","619,000","-428,000",-,"12,313,000","-9,665,000","-28,000","-17,238,000",-,
MS,13,MS,3/31/2020,"23,836,000","-21,108,000","47,954,000","131,509,000","342,000","2,123,000","-354,000",-,"20,601,000","-14,967,000","-1,782,000","23,482,000",-,
MS,14,MS,12/31/2019,"-136,000","-7,840,000","9,214,000","82,171,000","305,000","2,751,000","-366,000",-,"6,908,000","-10,157,000","-1,507,000","-502,000",-,
MS,15,MS,9/30/2019,"13,337,000","-7,899,000","-3,919,000","79,656,000","488,000","3,449,000","-452,000",-,"7,005,000","-11,878,000","-1,538,000","12,885,000",-,
MS,16,MS,6/30/2019,"10,531,000","-10,595,000","-1,397,000","79,580,000","870,000","3,415,000","-479,000",-,"8,601,000","-6,586,000","-1,264,000","10,052,000",-,
MS,17,MS,3/31/2019,"17,041,000","-7,227,000","-15,864,000","80,682,000","245,000","2,896,000","-529,000",-,"8,091,000","-11,927,000","-1,645,000","16,512,000",-,
MS,18,MS,12/31/2018,"-7,179,000","-8,815,000","10,843,000","87,196,000","368,000","3,159,000","-504,000",0,"5,826,000","-6,546,000","-1,186,000","-7,683,000",-,
MS,19,MS,9/30/2018,"14,565,000","-4,763,000","1,536,000","92,481,000","219,000","2,884,000","-453,000",0,"5,999,000","-5,254,000","-1,207,000","14,112,000",-,
MS,20,MS,6/30/2018,"-12,729,000","-2,381,000","11,463,000","81,589,000","540,000","2,527,000","-498,000",0,"12,864,000","-11,604,000","-1,305,000","-13,227,000",-,
MS,21,MS,3/31/2018,"12,648,000","-6,922,000","363,000","87,344,000","250,000","1,407,000","-410,000",0,"15,370,000","-11,377,000","-1,868,000","12,238,000",-,
MS,22,MS,12/31/2017,"1,608,000","-3,563,000","-1,272,000","80,395,000","423,000","1,955,000","-452,000",0,"10,082,000","-11,345,000","-1,284,000","1,156,000",-,
MS,23,MS,9/30/2017,"3,357,000","-11,523,000","10,168,000","48,191,000","235,000","1,500,000","-454,000",0,"11,812,000","-6,684,000","-1,299,000","2,903,000",-,
MS,24,MS,6/30/2017,"-7,859,000","4,863,000","4,643,000","44,659,000","470,000","1,185,000","-373,000",0,"15,270,000","-6,258,000","-548,000","-8,232,000",-,
MS,25,MS,3/31/2017,"-1,611,000","-2,168,000","2,722,000","42,854,000","262,000","737,000","-350,000","994,000","18,252,000","-11,538,000","-1,161,000","-1,961,000",-,
MS,26,MS,12/31/2016,"-5,367,000","-4,520,000","12,835,000","43,381,000","327,000","1,050,000","-335,000",0,"16,098,000","-7,488,000","-1,025,000","-5,702,000",-,
MS,27,MS,9/30/2016,"-8,452,000","-2,574,000","-2,895,000","42,552,000","164,000","702,000","-296,000",0,"6,900,000","-7,002,000","-1,279,000","-8,748,000",-,
MS,28,MS,6/30/2016,"12,128,000","-3,298,000","-6,404,000","56,133,000","218,000","469,000","-330,000",0,"7,445,000","-7,939,000","-653,000","11,798,000",-,
MS,29,MS,3/31/2016,"4,138,000","-9,116,000","3,888,000","53,638,000","122,000","613,000","-315,000",0,"13,183,000","-7,961,000","-976,000","3,823,000",-,
MS,30,MS,12/31/2015,"11,637,000","-12,597,000","1,703,000","54,083,000","136,000","1,216,000","-409,000",0,"4,023,000","-9,674,000","-638,000","11,228,000",-,
MS,31,MS,9/30/2015,"490,000","-64,000","6,958,000","53,518,000","199,000","429,000","-344,000",0,"7,250,000","-4,652,000","-662,000","146,000",-,
MS,32,MS,6/30/2015,"4,602,000","-4,429,000","5,753,000","46,359,000","223,000","447,000","-300,000",0,"11,570,000","-7,629,000","-634,000","4,302,000",-,
MS,33,MS,3/31/2015,"-13,055,000","-2,905,000","9,951,000","40,293,000","119,000","580,000","-320,000","1,493,000","11,339,000","-5,334,000","-839,000","-13,375,000",-,
MS,34,MS,12/31/2014,"-6,609,000","-11,561,000","10,189,000","46,984,000","266,000","1,459,000","-459,000",0,"10,211,000","-8,372,000","-286,000","-7,068,000",-,
MS,35,MS,9/30/2014,"1,865,000","346,000","13,797,000","55,826,000","246,000","954,000","-120,000","994,000","11,704,000","-3,389,000","-208,000","1,745,000",-,
MS,36,MS,6/30/2014,"548,000","-14,291,000","-1,362,000","40,885,000","246,000","556,000",-,-,"7,124,000","-12,556,000","-292,000","135,000",-,
MS,37,MS,3/31/2014,"5,327,000","-9,818,000","519,000","55,424,000","128,000","606,000",-,-,"7,701,000","-8,786,000","-672,000","5,327,000",-,
MS,38,MS,12/31/2013,"18,733,000","-10,472,000","-6,176,000","59,883,000","332,000","1,421,000","-372,000","842,000","3,173,000","-7,658,000","-240,000","18,361,000",-,
MS,39,MS,9/30/2013,"-1,582,000","-7,386,000","19,198,000","57,781,000","61,000","1,195,000","-361,000",-,"3,068,000","-8,126,000","-137,000","-1,943,000",-,
MS,40,MS,6/30/2013,"13,802,000","-3,359,000","-6,227,000","47,199,000","398,000","1,449,000","-320,000",-,"11,652,000","-10,940,000","-8,000","13,482,000",-,
MS,41,MS,3/31/2013,"4,600,000","-3,244,000","-4,162,000","42,902,000","139,000","728,000","-263,000",-,"10,046,000","-12,018,000","-306,000","4,337,000",-,
MS,42,MS,12/31/2012,"1,776,000","-2,054,000","10,712,000","46,904,000",-,-,"-447,000",-,"7,450,000","-525,000","-5,000","1,329,000",-,
MS,43,MS,9/30/2012,"6,906,000","-10,481,000","-2,070,000","36,586,000",-,-,"-429,000",-,"6,774,000","-11,300,000","-31,000","6,477,000",-,
MS,44,MS,6/30/2012,"8,435,000","2,817,000","-7,658,000","42,006,000",-,-,"-224,000",-,"4,102,000","-15,224,000","-8,000","8,211,000",-,
MS,45,MS,3/31/2012,"7,431,000","-2,696,000","-12,881,000","38,725,000",-,-,"-212,000",-,"5,320,000","-16,043,000","-183,000","7,219,000",-,
MS,46,MS,12/31/2011,"3,046,000","-3,789,000","-5,547,000","47,312,000",-,-,"-216,000",-,"2,662,000","-6,921,000","-6,000","2,830,000",-,
MS,47,MS,9/30/2011,"8,812,000","-3,135,000","-2,349,000","53,907,000",-,-,"-363,000",-,"7,467,000","-8,119,000","-28,000","8,449,000",-,
MS,48,MS,6/30/2011,"-3,852,000","2,343,000","-68,000","50,747,000",-,-,"-316,000",-,"8,311,000","-11,146,000","-10,000","-4,168,000",-,
MS,49,MS,3/31/2011,"-1,322,000","2,545,000","2,816,000","52,608,000",-,-,"-409,000",-,"14,285,000","-13,046,000","-273,000","-1,731,000",-,
MS,50,MS,12/31/2010,"21,095,000","-5,033,000","-1,457,000","47,615,000",-,-,"-401,000",0,"3,604,000","-7,130,000","-19,000","20,694,000",-,
MS,51,MS,9/30/2010,"-10,167,000","-4,510,000","10,106,000","33,115,000",-,-,"-364,000","5,579,000","15,162,000","-8,713,000","-23,000","-10,531,000",-,
MS,52,MS,6/30/2010,"8,285,000","-802,000","-6,071,000","36,347,000",-,-,"-298,000","1,000","5,057,000","-9,702,000","-13,000","7,987,000",-,
MS,53,MS,3/31/2010,"21,094,000","-18,812,000","1,585,000","35,478,000",-,-,"-138,000","1,000","8,700,000","-8,235,000","-262,000","20,956,000",-,
MS,54,MS,12/31/2009,"4,237,000","-570,000","-137,000","31,991,000",-,-,"-570,000","2,000","7,618,000","-4,629,000","-13,000","3,667,000",-,
MS,55,MS,9/30/2009,"-8,719,000","-728,000","2,383,000","28,610,000",-,-,"-428,000","6,224,000","7,537,000","5,592,000","-968,000","-9,147,000",-,
MS,56,MS,6/30/2009,"-8,948,000","-2,039,000","-3,410,000","35,006,000",-,-,"-752,000","10,000","9,372,000","-13,033,000","-10,005,000","-9,700,000",-,
MS,57,MS,3/31/2009,"-32,521,000","-1,135,000","4,188,000","48,541,000",-,-,"-1,127,000","19,000","19,433,000","-21,105,000","-14,000","-33,648,000",-,
MS,58,MS,11/30/2008,"68,165,000","-277,000","-10,471,000","78,654,000",-,-,"-277,000",-,"4,777,000","-24,862,000",-,"67,888,000",-,
MS,59,MS,8/31/2008,"15,920,000","467,000","-16,118,000","23,702,000",-,-,"-313,000",-,"4,509,000","-8,448,000",-,"15,607,000",-,
MS,60,MS,5/31/2008,"8,423,000","1,048,000","-6,577,000","23,782,000",-,-,"-475,000",-,"10,339,000","-12,480,000",-,"7,948,000",-,
MS,61,MS,2/29/2008,"-19,091,000","-509,000","14,622,000","20,965,000",-,-,"-335,000",-,"28,285,000","-10,330,000",-,"-19,426,000",-,
MS,62,MS,11/30/2007,"-19,351,000","-1,064,000","9,425,000","25,598,000",-,-,"-241,000",-,"20,114,000","-11,150,000",-,"-19,592,000",-,
MS,63,MS,8/31/2007,"12,163,000","-1,705,000","-5,656,000","36,588,000",-,-,"-621,000",-,"14,031,000","-7,810,000",-,"11,542,000",-,
MS,64,MS,5/31/2007,"15,260,000","-8,162,000","8,052,000","31,786,000",-,-,"-312,000",-,"18,556,000","-7,267,000",-,"14,948,000",-,
MS,65,MS,2/28/2007,"-30,165,000","-507,000","26,702,000","16,636,000",-,-,"-295,000",-,"21,839,000","-6,893,000",-,"-30,460,000",-,
MS,66,MS,11/30/2006,"-16,349,000","-2,454,000","20,863,000","20,606,000",-,-,-,-,"14,586,000","-5,755,000",-,"-16,349,000",-,
MS,67,MS,8/31/2006,"-2,853,000","-2,193,000","8,799,000","18,546,000",-,-,-,-,"7,570,000","-3,582,000",-,"-2,853,000",-,
MS,68,MS,5/31/2006,"-21,143,000","751,000","9,776,000","14,793,000",-,-,-,-,"13,600,000","-9,201,000",-,"-21,014,000",-,
MS,69,MS,2/28/2006,"-20,458,000","1,551,000","14,902,000","25,409,000",-,-,"-129,000",-,"12,093,000","-2,105,000",-,"-20,587,000",-,
MS,70,MS,11/30/2005,"-10,363,000","-2,308,000","14,404,000","29,414,000",-,-,"-124,000",-,"30,124,000","-2,165,000",-,"-10,487,000",-,
MS,71,MS,8/31/2005,"-15,217,000","-1,723,000","19,535,000","27,681,000",-,-,"-154,000",-,"7,407,000","-7,782,000",-,"-15,371,000",-,
MS,72,MS,5/31/2005,"-5,290,000","-1,189,000","-2,503,000","25,086,000",-,-,"-184,000",-,"3,164,000","-3,444,000",-,"-5,474,000",-,
MS,73,MS,2/28/2005,"-482,000","1,099,000","640,000","34,068,000",-,-,"-78,000",-,"12,604,000","-3,344,000",-,"-560,000",-,
MS,74,MS,11/30/2004,"12,352,000","-1,987,000","-23,797,000","32,811,000",-,-,"-276,000",-,"8,913,000","-1,181,000",-,"12,076,000",-,
MS,75,MS,8/31/2004,"6,599,000","-2,354,000","9,928,000","46,243,000",-,-,"-107,000",-,"7,629,000","-2,005,000",-,"6,492,000",-,
MS,76,MS,5/31/2004,"-24,780,000","-1,963,000","25,253,000","32,070,000",-,-,"-125,000",-,"7,540,000","-4,083,000",-,"-24,905,000",-,
MS,77,MS,2/29/2004,"-18,677,000","3,208,000","19,337,000","33,560,000",-,-,"-61,000",-,"13,519,000","-4,646,000",-,"-18,738,000",-,
MS,78,MS,11/30/2003,"4,425,000","-1,325,000","2,320,000","29,692,000",-,-,"-80,000",-,"5,304,000","-2,475,000",-,"4,345,000",-,
MS,79,MS,8/31/2003,"1,752,000","-280,000","-5,258,000","24,272,000",-,-,"-141,000",-,"1,810,000","-2,101,000",-,"1,611,000",-,
MS,80,MS,5/31/2003,"12,062,000","2,047,000","-15,360,000","28,058,000",-,-,"-175,000",-,"8,076,000","-4,258,000",-,"11,887,000",-,
MS,81,MS,2/28/2003,"-15,884,000","1,321,000","14,660,000","29,309,000",-,-,"-207,000",-,"8,296,000","-4,207,000",-,"-16,091,000",-,
MS,82,MS,11/30/2002,"-7,907,000","-2,091,000","11,245,000","29,212,000",-,-,"-267,000",-,"705,000","-538,000",-,"-8,174,000",-,
