,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Deferred Charges,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
71,9/30/2005,"1,485","1,485","5,550",-698,-,-,-,695,695,-,-,727,-,-,-,"-4,789",-,-,-,-,-,-,"-41,313","-41,313",-,"2,122",-8,"2,130",-,-,-,-,"-4,429",-,-,"-39,006","38,938","38,938","-79,519","-68,368","35,000","-103,368","-11,151",-,146,-,-,-,-,"-1,532",-,-,-,-,"36,767",-890,"37,657",-,-,"-4,429",-,"35,000","-103,368",-,"-2,944"
72,6/30/2005,"7,478","7,478","5,262",-535,-,-,-,758,758,-,-,"1,703",-,-,-,290,-,-,-,-,-,-,"-54,268","-54,268",-,"-6,652","-12,933","6,281",-,-,-,-,"-2,339",-,-,"-45,277","50,144","50,144","75,777","48,001","220,000","-171,999","27,776",-,122,-,-,-,-,"-1,564",-,-,-,-,"37,657","3,354","34,303",-,-,"-2,339",-,"220,000","-171,999",-,"5,139"
73,3/31/2005,"7,942","7,942","4,535",-559,-,-,-,808,808,-,-,"1,224",-,-,-,"1,934",-,-,-,-,-,-,"-50,988","-50,988",-,"-19,054","-26,060","7,006",-,-,-,-,-787,-,-,"-31,147","45,638","45,638","36,236","43,578","140,000","-96,422","-7,342",-,413,-,-,-,-,"-1,327",-,-,-,-,"34,303","2,592","31,711",-,-,-787,-,"140,000","-96,422",-,"7,155"
74,12/31/2004,"4,897","4,897","4,448",-590,-,-,-,757,757,-,-,707,-,-,-,-425,-,-,-,-,-,-,"-67,075","-67,075",-,"-7,316","-13,375","6,059",-,-,-,-,"-1,865",-,-,"-57,894","52,309","52,309","24,501","2,370","155,000","-152,630",-,-,153,-,-,-,-,"-1,298",-,-,-,-,"31,711","-9,869","41,580",-,-,"-1,865",-,"155,000","-152,630",-,"3,032"
75,9/30/2004,"6,166","6,166","2,116",-340,-,-,-,697,697,-,-,"4,208",-,-,-,-515,-,-,-,-,-,-,"-83,569","-83,569",-,"-4,155","-16,292","12,137",-,-,-,-,"-3,651",-,-,"-75,763","83,822","83,822","-86,363","-56,132","90,000","-146,132",-,-,26,-,-,-,-,"-1,057",-,-,-,-,"41,580","6,419","35,161",-,-,"-3,651",-,"90,000","-146,132",-,"2,515"
76,6/30/2004,"4,655","4,655","3,346",-748,-,-,-,754,754,-,-,"4,643",-,-,-,"-3,340",-,-,-,-,-,-,"-77,647","-77,647",-,"-10,644","-19,762","9,118",-,-,-,-,"-2,294",-,-,"-64,709","77,162","77,162","36,075","31,927","69,000","-37,073","4,148",-,69,-,-,-,-,"-1,053",-,-,-,-,"35,161","4,170","30,991",-,-,"-2,294",-,"69,000","-37,073",-,"2,361"
77,3/31/2004,"6,377","6,377","2,866",-529,-,-,-,763,763,-,-,"1,443",-,-,-,"1,834",-,-,-,-,-,-,"-82,201","-82,201",-,"-12,898","-22,571","9,673",-,-,-,-,"-1,807",-,-,"-67,496","46,768","46,768","47,806","21,723","46,583","-24,860","26,083",-,121,-,-,-,-,"-1,036",-,-,-,-,"30,991","-29,056","60,047",-,-,"-1,807",-,"46,583","-24,860",-,"4,570"
78,12/31/2003,"7,605","7,605","2,975",-,-,-,-,537,537,-,-,"2,358",-,-,-,"-1,543",-,-,-,-,-,-,"-80,566","-80,566",-,"-9,767","-15,445","5,678",-,-,-,-,"-2,527",-,-,"-68,272","99,593","99,593","-8,893","7,566","40,003","-32,437","-16,459",-,24,-,-,-,-,-991,-,-,-,-,"60,047","26,632","33,415",-,-,"-2,527",-,"40,003","-32,437",-,"5,078"
79,9/30/2003,"14,819","14,819","3,062",-,-,-,-,616,616,-,-,"15,973",-,-,-,"-1,554",-,-,-,-,-,-,"-62,485","-62,485",-,"-8,363","-12,777","4,414",-,-,-,-,"-2,925",-,-,"-51,197","40,800","40,800","14,584","21,125","65,652","-44,527","-6,541",-,45,-,-,-,-,-836,-,-,-,-,"33,415","-6,866","40,281",-,-,"-2,925",-,"65,652","-44,527",-,"11,894"
80,6/30/2003,"-2,562","-2,562","2,933",-,-,-,-,838,838,-,-,"-6,967",-,-,-,634,-,-,-,-,-,-,"-37,083","-37,083",-,"-8,978","-15,867","6,889",-,-,-,-,"-4,441",-,-,"-23,664","43,949","43,949","37,428","27,928","41,000","-13,072","9,500",-,0,-,-,-,-,-851,-,-,-,-,"40,281","4,304","35,977",-,-,"-4,441",-,"41,000","-13,072",-,"-7,003"
81,3/31/2003,"10,121","10,121","2,810",-,-,-,-,712,712,-,-,"7,413",-,-,-,-814,-,-,-,-,-,-,"-56,660","-56,660",-,"3,131","-2,000","5,131",-,-,-,-,"-5,371",-,-,"-54,420","34,642","34,642","-9,617","-3,117","1,500","-4,617","-6,500",-,358,-,-,-,-,-793,-,-,-,-,"35,977","-11,897","47,874",-,-,"-5,371",-,"1,500","-4,617",-,"4,750"
82,12/31/2002,"-3,303","-3,303","2,915",-,-,-,-,631,631,-,-,"-5,157",-,-,-,"-3,019",-,-,-,-,-,-,"-43,518","-43,518",-,"-1,033","-4,809","3,776",-,-,-,-,"-5,384",-,-,"-58,491","59,457","59,457","17,315",-,-,-,"1,290",-,25,-,-,-,-,-782,-,-,-,-,"47,874","12,636","35,238",-,-,"-5,384",-,-,-,-,"-8,687"
83,9/30/2002,"-2,920","-2,920","2,734",-,-,-,-,669,669,-,-,"-7,849",-,-,-,"2,853",-,-,-,-,-,-,"-35,726","-35,726",-,-471,"-6,149","5,678",-,-,-,-,"-2,368",-,-,"-32,887","19,816","19,816","7,036",-,-,-,"7,036",-,"-2,300",-,-,-,-,-631,-,-,-,-,"35,238","-18,830","54,068",-,-,"-2,368",-,-,-,-,"-5,288"
84,6/30/2002,"1,319","1,319","2,350",-,-,-,-,670,670,-,-,"1,468",-,-,-,"-3,169",-,-,-,-,-,-,"-40,708","-40,708",-,"-6,459","-8,058","1,599",-,-,-,-,"-2,637",-,-,"-31,612","65,731","65,731","12,000",-,-,-,-,-,40,-,-,-,-,-648,-,-,-,-,"54,068","26,342","27,726",-,-,"-2,637",-,-,-,-,"-1,318"
85,3/31/2002,"9,746","9,746","1,514",-,-,-,-,398,398,-,-,705,-,-,-,"7,129",-,-,-,-,-,-,"-51,161","-51,161",-,"-5,882","-10,882","5,000",-,-,-,-,"-1,720",-,-,"-43,559","34,943","34,943",-326,-326,"5,264","-5,590",-,-,21,-,-,-,-,-424,-,-,-,-,"27,726","-6,472","34,198",-,-,"-1,720",-,"5,264","-5,590",-,"8,026"
86,12/31/2001,"-7,737","-7,737","1,472",-,-,-,-,461.369,461.369,-,-,"-2,804",-,-,-,"-5,795",-,-,-,-,-,-,"-40,889","-40,889",-,-651.424,"-2,681","2,030",-,-,-,-,"-1,039",-,-,"-39,198","36,329","36,329","13,050","13,050","18,314","-5,264",0,-,-3.213,-,-,-,-,-422.142,-,-,-,-,"34,198","-12,297","46,496",-,-,"-1,039",-,"18,314","-5,264",-,"-8,776"
87,9/30/2001,"1,252","1,252","1,351",-,-,-,-,369.364,369.364,-,-,565,-,-,-,"-1,033",-,-,-,-,-,-,"-40,002","-40,002",-,"-1,831","-7,831","6,000",-,-,-,-,-628.388,-,-,"-37,543","45,801","45,801",0,0,0,0,0,-,"3,114",-,-,-,-,-371.504,-,-,-,-,"46,496","7,051","39,445",-,-,-628.388,-,0,0,-,623.158
88,6/30/2001,"1,831","1,831","1,202",-,-,-,-,329.724,329.724,-,-,502,-,-,-,-203.213,-,-,-,-,-,-,"-42,913","-42,913",-,"-9,961","-19,961","10,000",-,-,-,-,"-2,149",-,-,"-30,803","57,023","57,023","-4,000","-4,000",0,"-4,000",0,-,-,-,-,-,-,-262.102,-,-,-,-,"39,445","15,940","23,505",-,-,"-2,149",-,0,"-4,000",-,-318.541
89,3/31/2001,"3,215","3,215","1,091",-,-,-,-,312.543,312.543,-,-,522,-,-,-,"1,289",-,-,-,-,-,-,"-31,247","-31,247",-,"-3,160","-18,160","15,000",-,-,-,-,-174.905,-,-,"-27,913","25,232","25,232","5,388","11,588","16,852","-5,264","-6,200",-,-,-,-,-,-,-251.252,-,-,-,-,"23,505","-2,801","26,305",-,-,-174.905,-,"16,852","-5,264",-,"3,040"
90,12/31/2000,864.722,864.722,"1,051",-,-,-,-,329.207,329.207,-,-,53.491,-,-,-,-930.938,-,-,-,-,-,-,"-42,556","-42,556",-,"-4,851","-4,851",-,-,-,-,-,-209.345,-,-,"-37,496","46,956","46,956","15,200","11,000","11,000",0,"4,200",-,-,-,-,-,-,-,-,-,-,-,"26,305","5,265","21,041",-,-,-209.345,-,"11,000",0,-,655.377
91,9/30/2000,"1,325","1,325",947.116,-,-,-,-,318.798,318.798,-,-,434,-,-,-,-375.135,-,-,-,-,-,-,"-34,244","-34,244",-,"-7,158",-,-,-,-,-,-,-820.679,-,-,"-26,265","31,606","31,606",0,0,"5,000","-5,000",0,-,-,-,-,-,-,-,-,-,-,-,"21,041","-1,313","22,353",-,-,-820.679,-,"5,000","-5,000",-,504.1
92,6/30/2000,"1,153","1,153",823.324,-,-,-,-,334.917,334.917,-,-,595,-,-,-,-600.015,-,-,-,-,-,-,"-28,070","-28,070",-,"-6,455",-,-,-,-,-,-,-580.217,-,-,"-21,035","24,426","24,426","11,000","5,000","15,000","-10,000",-,-,-,-,-,-,-,-,-,-,-,-,"22,353","-2,491","24,845",-,-,-580.217,-,"15,000","-10,000",-,573.009
93,3/31/2000,969.081,969.081,526.613,-,-,-,-,249.464,249.464,-,-,487,-,-,-,-293.996,-,-,-,-,-,-,"-43,874","-43,874",-,"-1,372","-1,372",-,-,-,-,-,"-1,924",-,-,"-40,578","47,195","47,195","5,000","5,000","25,000","-20,000",-,-,-,-,-,-,-,-,-,-,-,-,"24,845","4,290","20,554",-,-,"-1,924",-,"25,000","-20,000",-,-954.814
