,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Gross Accounts Receivable,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Accumulated Depreciation,Goodwill And Other Intangible Assets,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Adjustments,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
69,12/31/2005,"1,869,990","209,704","49,101",-,"49,101",-,"160,603","160,603",-,-,-,-,-,"13,910","13,910",-,-,"1,529,218","1,550,210",-,-,-,-,"1,550,210","20,992","8,366","8,366","8,366","53,028",-,-,-,-,-,-,-,"25,856",-,-,-,"29,908","1,728,246","1,507,772","1,319,010","1,319,010","188,762","25,809",-,-,-,-,-,"186,399","186,399",-,"8,266","141,744","141,744","136,583",-,"136,583","8,040",-,"-2,879",-,-,"328,143",-,"141,744","115,888","328,143","115,888","186,399","137,298","16,915","16,915",-
70,9/30/2005,"1,824,483","50,677","36,767",-,"36,767",-,"13,910","13,910",-,-,-,-,-,"162,784","162,784",-,-,"1,495,176","1,515,702",-,-,-,-,"1,515,702","20,526","8,019","8,019","8,019","51,347",-,-,-,-,-,-,-,"25,955",-,-,-,"30,525","1,685,152","1,457,484","1,284,821","1,284,821","172,663","31,414",-,-,-,-,-,"188,434","188,434",-,"7,820","139,331","139,331","136,150",-,"136,150","4,338",-,"-1,157",-,-,"327,765",-,"139,331","113,376","327,765","113,376","188,434","151,667","16,896","16,896",-
71,6/30/2005,"1,780,615","51,567","37,657",-,"37,657",-,"13,910","13,910",-,-,-,-,-,"163,724","163,724",-,-,"1,452,726","1,472,736",-,-,-,-,"1,472,736","20,010","7,520","7,520","7,520","47,602",-,-,-,-,-,-,-,"26,055",-,-,-,"31,421","1,644,647","1,337,641","1,168,452","1,168,452","169,189","42,565",-,-,-,-,-,"256,802","256,802",-,"7,639","135,968","135,968","135,828",-,"135,828",320,-,-180,-,-,"392,770",-,"135,968","109,913","392,770","109,913","256,802","219,145","16,859","16,859",-
72,3/31/2005,"1,721,469","46,662","34,303",-,"34,303",-,"12,359","12,359",-,-,-,-,-,"156,536","156,536",-,-,"1,409,405","1,428,939",-,-,-,-,"1,428,939","19,534","7,282","7,282","7,282","45,897",-,-,-,-,-,-,-,"26,154",-,-,-,"29,533","1,591,301","1,361,832","1,227,169","1,227,169","134,663","14,789",-,-,"66,700","66,700","66,700","142,101","142,101",-,"5,879","130,168","130,168","124,843",-,"124,843","7,485",-,"-2,160",-,-,"272,269",-,"130,168","104,014","338,969","104,014","208,801","174,498","16,831","16,831",-
73,12/31/2004,"1,672,606","43,950","31,711",-,"31,711",-,"12,239","12,239",-,-,-,-,-,"139,801","139,801",-,-,"1,380,286","1,399,537",-,-,-,-,"1,399,537","19,251","6,395","6,395","6,395","45,784",-,-,-,-,-,-,-,"26,262",-,-,-,"30,128","1,543,532","1,351,516","1,202,412","1,202,412","149,104","22,131",-,-,-,-,-,"165,223","165,223",-,"4,662","129,074","129,074","124,389",-,"124,389","4,277",-,408,-,-,"294,297",-,"129,074","102,812","294,297","102,812","165,223","133,512","16,781","16,781",-
74,9/30/2004,"1,616,994","51,924","38,258",-,"38,258",-,"13,666","13,666",-,-,-,-,-,"135,414","135,414",-,-,"1,344,359","1,362,959",-,-,-,-,"1,362,959","18,600","6,352","6,352","6,352","44,558",-,-,-,-,-,-,-,"26,369",-,-,-,"8,018","1,490,178","1,322,563","1,173,220","1,173,220","149,343",-,-,-,-,-,-,"162,854","162,854",-,"4,761","126,816","126,816","124,114",-,"124,114","1,152",-,"1,550",-,-,"289,670",-,"126,816","100,447","289,670","100,447","162,854","124,596","16,760","16,760",-
75,6/30/2004,"1,525,977","44,848","35,161",-,"35,161",-,"9,687","9,687",-,-,-,-,-,"128,441","128,441",-,-,"1,272,464","1,290,371",-,-,-,-,"1,290,371","17,907","5,785","5,785","5,785","41,553",-,-,-,-,-,-,-,"26,477",-,-,-,"6,409","1,403,387","1,151,347","1,007,996","1,007,996","143,351","30,231",-,-,"50,000","50,000","50,000","168,985","168,985",-,"2,824","122,590","122,590","124,088",-,"124,088",93,-,"-1,591",-,-,"291,575",-,"122,590","96,113","341,575","96,113","218,985","183,824","16,753","16,753",-
76,3/31/2004,"1,456,428","39,889","30,991",-,"30,991",-,"8,898","8,898",-,-,-,-,-,"123,183","123,183",-,-,"1,211,650","1,228,608",-,-,-,-,"1,228,608","16,958","5,404","5,404","5,404","39,894",-,-,-,-,-,-,-,"26,584",-,-,-,"9,824","1,331,565","1,109,276","985,336","985,336","123,940","26,083",-,-,-,-,-,"187,058","187,058",-,"9,148","124,863","124,863","114,689",-,"114,689","7,130",-,"3,044",-,-,"311,921",-,"124,863","98,279","311,921","98,279","187,058","156,067","16,726","16,726",-
77,12/31/2003,"1,401,111","68,840","41,633",-,"41,633",-,"27,207","27,207",-,-,-,-,-,"109,673","109,673",-,-,"1,145,068","1,161,161",-,-,-,-,"1,161,161","16,093","5,095","5,095","5,095","38,713",-,-,-,-,-,-,-,"26,702",-,-,-,"7,020","1,279,211","1,109,399","969,842","969,842","139,557",-,-,-,-,-,-,"165,335","165,335",-,"4,477","121,900","121,900","114,568",-,"114,568","5,300",-,"2,032",-,-,"287,235",-,"121,900","95,198","287,235","95,198","165,335","123,702","16,714","16,714",-
78,9/30/2003,"1,299,062","40,454","33,415",-,"33,415",-,"7,039","7,039",-,-,-,-,-,"101,316","101,316",-,-,"1,082,432","1,097,573",-,-,-,-,"1,097,573","15,141","4,841","4,841","4,841","36,838",-,-,-,-,-,-,-,"26,820",-,-,-,"6,361","1,178,775","999,946","874,183","874,183","125,763","16,459",-,-,-,-,-,"157,769","157,769",-,"4,601","120,287","120,287","114,531",-,"114,531","3,329",-,"2,427",-,-,"278,056",-,"120,287","93,467","278,056","93,467","157,769","124,354","16,709","16,709",-
79,6/30/2003,"1,257,612","47,249","40,281",-,"40,281",-,"6,968","6,968",-,-,-,-,-,"94,773","94,773",-,-,"1,043,930","1,058,443",-,-,-,-,"1,058,443","14,513","4,613","4,613","4,613","34,367",-,-,-,-,-,-,-,"26,937",-,-,-,"5,743","1,138,924","972,939","853,911","853,911","119,028","23,000",-,-,-,-,-,"136,644","136,644",-,"6,341","118,688","118,688","114,486",-,"114,486","1,103",-,"3,099",-,-,"255,332",-,"118,688","91,751","255,332","91,751","136,644","96,363","16,702","16,702",-
80,3/31/2003,"1,209,504","41,368","35,977",-,"35,977",-,"5,391","5,391",-,-,-,-,-,"86,681","86,681",-,-,"1,013,299","1,027,462",-,-,-,-,"1,027,462","14,163","4,687","4,687","4,687","30,617",-,-,-,-,-,-,-,"27,055",-,-,-,"5,797","1,093,351","965,567","855,311","855,311","110,256","13,500",-,-,-,-,-,"108,716","108,716",-,"5,568","116,153","116,153","105,559",-,"105,559","7,948",-,"2,646",-,-,"224,869",-,"116,153","89,098","224,869","89,098","108,716","72,739","16,701","16,701",-
81,12/31/2002,"1,176,583","53,265","47,874",-,"47,874",-,"5,391","5,391",-,-,-,-,-,"90,170","90,170",-,-,"966,292","979,764",-,-,-,-,"979,764","13,472","4,411","4,411","4,411","25,751",-,-,-,-,-,-,-,"27,186",-,-,-,"9,508","1,062,609","920,873","817,843","817,843","103,030","20,000",-,-,-,-,-,"111,833","111,833",-,"9,903","113,974","113,974","105,201",-,"105,201","5,931",-,"2,842",-,-,"225,807",-,"113,974","86,788","225,807","86,788","111,833","63,959","16,546","16,546",-
82,9/30/2002,"1,114,836","40,398","35,238",-,"35,238",-,"5,160","5,160",-,-,-,-,-,"89,470","89,470",-,-,"925,360","938,285",-,-,-,-,"938,285","12,925","4,588","4,588","4,588","20,868",-,-,-,-,-,-,-,"27,317",-,-,-,"6,835","1,002,965","877,974","787,037","787,037","90,937","12,200",-,-,"97,309","97,309","97,309","5,009","5,009",-,"10,473","111,871","111,871","105,169",-,"105,169","3,805",-,"2,897",-,-,"116,880",-,"111,871","84,554","214,189","84,554","102,318","67,080","16,539","16,539",-
83,6/30/2002,"1,088,099","58,928","36,868",-,"36,868",-,"22,060","22,060",-,-,-,-,-,"87,555","87,555",-,-,"884,058","896,488",-,-,-,-,"896,488","12,430","4,851","4,851","4,851","18,979",-,-,-,-,-,-,-,"27,447",-,-,-,"6,281","977,158","862,264","779,051","779,051","83,213",-,-,-,"102,400","102,400","102,400","5,081","5,081",-,"7,413","110,941","110,941","107,469",-,"107,469","1,702",-,"1,770",-,-,"116,022",-,"110,941","83,494","218,422","83,494","107,481","70,613","16,780","16,780",-
84,3/31/2002,"708,523","31,508","25,226",-,"25,226",-,"6,282","6,282",-,-,-,-,-,"69,533","69,533",-,-,"585,419","593,593",-,-,-,-,"593,593","8,174","3,432","3,432","3,432","16,181",-,-,-,-,-,-,-,-,-,-,-,"2,450","641,343","561,864","498,569","498,569","63,295",-,-,-,"75,312","75,312","75,312",-,-,-,"4,167","67,180","67,180","66,625",-,"66,625",-,-,555,-,-,-,-,"67,180","67,180","142,492","67,180","75,312","50,086","11,582","11,582",-
85,12/31/2001,"670,203","37,462","29,680",-,"29,680",-,"7,782","7,782",-,-,-,-,-,"64,834","64,834",-,-,"542,565","550,264",-,-,-,-,"550,264","7,699","3,247","3,247","3,247","14,850",-,-,-,-,-,-,-,-,-,-,-,"7,245","603,701","526,192","465,363","465,363","60,829",-,-,-,"75,638","75,638","75,638",-,-,-,"1,871","66,502","66,502","62,334",-,"62,334","3,180",-,988,-,-,-,-,"66,502","66,502","142,140","66,502","75,638","45,958","11,573","11,573",-
86,9/30/2001,"633,799","41,625","30,996",-,"30,996",-,"10,629","10,629",-,-,-,-,-,"72,921","72,921",-,-,"499,492","506,669",-,-,-,-,"506,669","7,177","3,567","3,567","3,567","14,233",-,-,-,-,-,-,-,-,-,-,-,"1,962","567,970","502,488","443,538","443,538","58,950",-,-,-,"62,588","62,588","62,588",-,-,-,"2,894","65,828","65,828","62,334",-,"62,334","2,133",-,"1,361",-,-,-,-,"65,828","65,828","128,416","65,828","62,588","31,592","11,573","11,573",-
87,6/30/2001,"586,378","42,575","24,945",-,"24,945",-,"17,629","17,629",-,-,-,-,-,"62,491","62,491",-,-,"461,934","468,587",-,-,-,-,"468,587","6,653","3,372","3,372","3,372","13,944",-,-,-,-,-,-,-,-,-,-,-,"2,063","525,441","459,430","403,971","403,971","55,459",-,-,-,"62,588","62,588","62,588",-,-,-,"3,423","60,938","60,938","59,220",-,"59,220","1,154",-,563.471,-,-,-,-,"60,938","60,938","123,526","60,938","62,588","37,643","11,115","11,115",-
88,3/31/2001,"528,257","26,634","23,505",-,"23,505",-,"3,129","3,129",-,-,-,-,-,"51,818","51,818",-,-,"432,212","438,455",-,-,-,-,"438,455","6,243","3,259","3,259","3,259","12,117",-,-,-,-,-,-,-,-,-,-,-,"2,217","488,923","418,712","373,214","373,214","45,498",-,-,-,"66,588","66,588","66,588",-,-,-,"3,623","39,335","39,335","38,653",-,"38,653",210.704,-,471.07,-,-,-,-,"39,335","39,335","105,923","39,335","66,588","43,083","8,062","8,062",-
89,12/31/2000,"499,813","28,855","26,305",-,"26,305",-,"2,550","2,550",-,-,-,-,-,"48,669","48,669",-,-,"404,822","410,676",-,-,-,-,"410,676","5,854","3,271","3,271","3,271","12,264",-,-,-,-,-,-,-,-,-,-,-,"1,933","461,684","398,617","347,871","347,871","50,746","6,200",-,-,"55,000","55,000","55,000",-,-,-,"1,867","38,128","38,128","36,890",-,"36,890","1,136",-,101.198,-,-,-,-,"38,128","38,128","93,128","38,128","55,000","28,695","8,062","8,062",-
90,9/30/2000,"451,313","23,353","21,041",-,"21,041",-,"2,312","2,312",-,-,-,-,-,"43,542","43,542",-,-,"367,741","373,223",-,-,-,-,"373,223","5,481","2,826","2,826","2,826","12,398",-,-,-,-,-,-,-,-,-,-,-,"1,454","414,322","366,617","321,480","321,480","45,138","45,000",-,-,-,-,-,"1,000","1,000",-,"1,705","36,991","36,991","36,883",-,"36,883",336.243,-,-228.449,-,-,"37,991",-,"36,991","36,991","37,991","36,991","1,000",-,"8,060","8,060",-
91,6/30/2000,"418,334","24,665","22,353",-,"22,353",-,"2,312","2,312",-,-,-,-,-,"36,059","36,059",-,-,"341,910","346,955",-,-,-,-,"346,955","5,045","2,431","2,431","2,431","11,906",-,-,-,-,-,-,-,-,-,-,-,"1,362","382,498","335,011","295,589","295,589","39,422","6,000",-,-,-,-,-,"40,000","40,000",-,"1,487","35,836","35,836","36,883",-,"36,883",-610.873,-,-435.787,-,-,"75,836",-,"35,836","35,836","75,836","35,836","40,000","17,647","8,060","8,060",-
92,3/31/2000,"392,709","27,157","23,345",-,"23,345",-,"3,812","3,812",-,-,-,-,-,"29,582","29,582",-,-,"321,471","325,953",-,-,-,-,"325,953","4,482","2,098","2,098","2,098","11,667",-,-,-,-,-,-,-,-,-,-,-,736.185,"357,707","321,585","285,394","285,394","36,191",-,-,-,-,-,-,"35,000","35,000",-,"1,122","35,002","35,002","36,883",-,"36,883","-1,434",-,-446.628,-,-,"70,002",-,"35,002","35,002","70,002","35,002","35,000","11,655","8,060","8,060",-
