,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Credit Card,Other Customer Services,Fees & Commission Expense,Dividend Income,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Impairment of Capital Assets,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
72,6/30/2005,"18,856","15,487","25,357","23,565","23,565","1,790",-,2,"9,870","7,011",-,"2,859","3,369",-,"1,871","1,871","1,155",716,-,-,-,-,536,-,-,536,962,"-1,125","9,962","1,469",-,-,-,"5,818","5,430","5,430",-,-,388,"2,675",-,-,"7,769","2,507","5,262","5,262","5,262","5,262",-,"5,262",0.20,0.19,"19,166","19,602","14,362","5,262","4,899",-,758,"5,262",536,536,0,172.9633
73,3/31/2005,"17,517","14,844","23,198","21,559","21,559","1,501",129,9,"8,354","6,325",-,"2,029","2,673",-,"1,439","1,439",-,715,-,724,-,-,559,-,-,559,675,-900,"9,962","1,545",-,-,-,"5,796","5,405","5,405",-,-,391,"2,621",-,-,"6,655","2,120","4,535","4,535","4,535","4,535",-,"4,535",0.15,0.15,"16,831","16,831","13,944","4,535","4,154",129,808,"4,535",559,559,0,178.0736
74,12/31/2004,"17,172","14,440","22,044","20,510","20,510","1,043",-,-,"7,604","5,604",-,-,"2,732",-,"1,477","1,477",-,690,-,-,-,-,-,-,-,-,-952,"-1,325","9,278","1,312",-,-,-,"5,264","4,921","4,921",-,-,343,"2,702",-,-,"6,569","2,121","4,448","4,448","4,448","4,448",-,"4,448",-,-,-,-,"13,115","4,448","4,448",-,757,"4,448",-,-,0,0
75,9/30/2004,"15,880","13,619","20,344","18,838","18,838","1,506",-,-,"6,725","4,835",-,"1,890","2,261",-,"1,479","1,479",795,684,-,-,-,-,-,-,-,-,782,"-3,900","8,933","1,364",-,-,-,"5,245","4,950","4,950",-,-,295,"2,324",-,-,"3,047",931,"2,116","2,116","2,116","2,116",-,"2,116",0.11,0.11,"19,163","19,163","9,719","2,116","2,116",-,697,"2,116",-,-,0,0
76,6/30/2004,"15,321","12,570","18,636","17,241","17,241","1,395",-,-,"6,066","4,229",-,"1,837","2,751",-,"1,561","1,561",729,832,-,-,-,-,-,-,-,-,"1,190","-1,440","8,933","1,370",-,-,-,"5,135","4,848","4,848",-,-,287,"2,428",-,-,"4,948","1,602","3,346","3,346","3,346","3,346",-,"3,346",0.20,0.19,"16,746","17,199","11,130","3,346","3,346",-,754,"3,346",-,-,0,0
77,3/31/2004,"13,690","11,392","17,305","15,994","15,994","1,311",-,-,"5,913","4,404",-,"1,509","2,298",-,"1,389","1,389",651,738,-,-,-,-,-,-,-,-,909,"-1,225","8,257","1,376",-,-,-,"4,773","4,487","4,487",-,-,286,"2,108",-,-,"4,208","1,342","2,866","2,866","2,866","2,866",-,"2,866",0.17,0.16,"17,343","17,885","10,167","2,866","2,866",-,763,"2,866",-,-,0,0
78,12/31/2003,"13,413","11,263","16,768","15,513","15,513","1,255",-,-,"5,505","3,906",-,"1,599","2,150",-,"1,338","1,338",-,674,-,-,-,-,-,-,-,-,812,"-1,200","7,850","-1,275",-,-,-,"4,448","4,254","4,254",-,-,194,"4,677",-,-,"4,363","1,388","2,975","2,975","2,975","2,975",-,"2,975",-,-,-,-,"10,063","2,975","2,975",-,537,"2,975",-,-,0,0
79,9/30/2003,"13,722","10,936","16,373","15,228","15,228","1,145",-,-,"5,437","4,072",-,"1,365","2,786",-,"1,268","1,268",648,620,-,-,-,-,-,-,-,-,"1,518","-1,040","8,110","1,308",-,-,-,"4,688","4,418","4,418",-,-,270,"2,114",-,-,"4,572","1,509","3,063","3,063","3,063","3,063",-,"3,063",0.19,0.18,"16,531","16,990","9,896","3,063","3,063",-,616,"3,063",-,-,0,0
80,6/30/2003,"12,688","10,287","15,885","14,766","14,766","1,119",-,-,"5,598","4,458",-,"1,140","2,401",-,"1,255","1,255",652,603,-,-,-,-,-,-,-,-,"1,146",-870,"7,423","1,157",-,-,-,"4,365","4,109","4,109",-,-,256,"1,901",-,-,"4,395","1,463","2,932","2,932","2,932","2,932",-,"2,932",0.18,0.18,"16,728","16,728","9,417","2,932","2,932",-,838,"2,932",-,-,0,0
81,3/31/2003,"11,914","9,608","15,408","14,267","14,267","1,141",-,-,"5,800","4,627",-,"1,173","2,306",-,"1,183","1,183",600,583,-,-,-,-,986,-,-,986,137,-995,"6,681","1,152",-,-,-,"3,791","3,590","3,590",-,-,201,"1,738",-,-,"4,238","1,428","2,810","2,810","2,810","2,810",-,"2,810",0.16,0.16,"17,329","17,854","8,613","2,810","2,156",-,712,"2,810",986,986,0,332.2341
82,12/31/2002,"12,488","9,904","15,919","14,753","14,753","1,166",-,-,"6,015","4,821",-,"1,194","2,584",-,"1,385","1,385",-,753,-,-,-,-,-,-,-,-,"1,199",-990,"7,152","1,098",-,-,-,"4,134","3,854","3,854",-,-,280,"1,920",-,-,"4,346","1,431","2,915","2,915","2,915","2,915",-,"2,915",-,-,-,-,"8,914","2,915","2,915",-,631,"2,915",-,-,0,0
83,9/30/2002,"11,543","9,474","15,810","14,559","14,559","1,251",-,-,"6,336","5,135",-,"1,201","2,069",-,"1,230","1,230",609,621,-,-,-,-,-,-,-,-,839,-705,"6,758","1,099",-,-,-,"3,746","3,580","3,580",-,-,166,"1,913",-,-,"4,080","1,345","2,735","2,735","2,735","2,735",-,"2,735",0.08,0.08,"35,026","35,601","8,769","2,735","2,735",-,669,"2,735",-,-,0,0
84,6/30/2002,"10,515","8,814","15,000","13,815","13,815","1,185",-,-,"6,186","4,964",-,"1,222","1,701",-,"1,132","1,132",551,581,-,-,-,-,430,-,-,430,139,-921,"6,099","1,039",-,-,-,"3,399","3,239","3,239",-,-,160,"1,661",-,-,"3,495","1,145","2,350","2,350","2,350","2,350",-,"2,350",0.14,0.14,"16,991","16,991","7,893","2,350","2,061",-,670,"2,350",430,430,0,140.8727
85,3/31/2002,"7,127","6,157","10,522","9,560","9,560",962,-,-,"4,365","3,353",-,"1,012",970,-,619,619,456,163,-,-,-,-,212,-,-,212,139,-705,"4,178",790,-,-,-,"2,276","2,160","2,160",-,-,116,"1,112",-,-,"2,244",730,"1,514","1,514","1,514","1,514",-,"1,514",0.12,0.12,"12,228","12,228","5,452","1,514","1,371",-,398,"1,514",212,212,0,68.9661
86,12/31/2001,"7,150","6,056","10,658","9,688","9,688",969.663,-,-,"4,601","3,613",-,988.061,"1,094",-,914.989,914.989,-,152.309,-,-,-,-,362.354,-,-,362.354,-183.462,-696,"4,266",815.25,-,-,-,"2,414","2,221","2,221",-,-,193.236,"1,036",-,-,"2,189",716.65,"1,472","1,472","1,472","1,472",-,"1,472",-,-,-,-,"5,360","1,472","1,228",-,461.369,"1,472",362.354,362.354,0,118.657
87,9/30/2001,"6,599","5,675","11,108","9,998","9,998","1,111",-,-,"5,433","4,503",-,930.153,923.652,-,616.965,616.965,447.242,169.723,-,-,-,-,221.743,-,-,221.743,84.944,-565,"4,031",697.096,-,-,-,"2,328","2,231","2,231",-,-,97.493,"1,005",-,-,"2,003",652.5,"1,351","1,351","1,351","1,351",-,"1,351",0.12,0.11,"11,327","11,780","5,110","1,351","1,201",-,369.364,"1,351",221.743,221.743,0,72.2321
88,6/30/2001,"6,033","5,195","10,639","9,735","9,735",903.477,-,-,"5,444","4,446",-,997.323,837.409,-,545.309,545.309,388.357,156.952,-,-,-,-,220.433,-,-,220.433,71.667,-502,"3,746",635.887,-,-,-,"2,163","2,041","2,041",-,-,122.216,947.501,-,-,"1,784",582,"1,202","1,202","1,202","1,202",-,"1,202",0.06,0.06,"18,971","19,152","4,693","1,202","1,054",-,329.724,"1,202",220.433,220.433,0,71.906
89,3/31/2001,"5,659","4,831","10,280","9,482","9,482",798.193,-,-,"5,449","4,446",-,"1,002",828.058,-,493.737,493.737,313.721,180.016,-,-,-,-,266.47,-,-,266.47,67.851,-522,"3,500",661.767,-,-,-,"1,991","1,866","1,866",-,-,124.055,847.895,-,-,"1,637",545.85,"1,091","1,091","1,091","1,091",-,"1,091",0.13,0.13,"8,171","8,453","4,309","1,091",913.7668,-,312.543,"1,091",266.47,266.47,0,88.8398
90,12/31/2000,"5,265","4,665","9,838","9,059","9,059",673.485,-,-,"5,173","4,394",-,779.077,600.448,-,604.33,604.33,-,149.736,-,-,-,-,131.082,-,-,131.082,-134.964,-415,"3,272",-624.829,-,-,-,"1,829","1,701","1,701",-,-,127.705,"2,067",-,-,"1,579",527.096,"1,051","1,051","1,051","1,051",-,"1,051",-,-,-,-,"4,250","1,051",964.1408,-,329.207,"1,051",131.082,131.082,0,43.7698
91,9/30/2000,"4,846","4,318","9,026","8,310","8,310",716.415,-,-,"4,708","4,119",-,588.422,527.841,-,382.589,382.589,249.786,132.803,-,-,-,-,95.246,-,-,95.246,50.006,-434,"3,293",596.73,-,-,-,"1,904","1,810","1,810",-,-,93.3,792.636,-,-,"1,119",172.167,947.116,947.116,947.116,947.116,-,947.116,0.12,0.12,"8,182","8,195","3,884",947.116,866.5206,-,318.798,947.116,95.246,95.246,0,14.6506
92,6/30/2000,"4,597","4,079","8,368","7,808","7,808",559.395,-,-,"4,289","3,643",-,645.555,517.732,-,373.017,373.017,238.196,134.821,-,-,-,-,95.86,-,-,95.86,48.855,-595,"3,178",603.662,-,-,-,"1,780","1,705","1,705",-,-,75.001,794.538,-,-,-,-,823.324,823.324,823.324,823.324,-,823.324,0.10,0.10,"8,040","8,040","3,484",823.324,765.808,-,334.917,823.324,95.86,95.86,0,38.344
93,3/31/2000,"3,943","3,537","7,106","6,611","6,611",495.285,-,-,"3,569","3,056",-,512.525,405.65,-,314.325,314.325,200.959,113.366,-,-,-,-,39.321,-,-,39.321,52.004,-487,"2,929",518.26,-,-,-,"1,718","1,648","1,648",-,-,69.753,693.23,-,-,-,-,526.613,526.613,526.613,526.613,-,526.613,0.07,0.07,"7,993","7,993","3,050",526.613,503.0204,-,249.464,526.613,39.321,39.321,0,15.7284
