,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Intangibles Purchase And Sale,Sale of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Dividends Received CFI,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
63,9/30/2007,"15,621","15,621","11,083",-,-,-,-,-,-,-,-,-,-,"1,996",-,-,-,-,-,-,-,"2,542",-,-,-,"-283,933","-283,933",-,-,"-114,278","-148,793","34,515",-,-,-,-,-,"-10,329",-,-,-,-,"1,157",-,-,-,"-160,483","238,920","238,920",-,"277,917","277,917","293,840",-,-,-,"-15,210",-,-,-,-,-,-,-,-,-,-,"166,527","-29,392","195,919",-,-,"-10,329",-,"293,840",-,-,"5,292"
64,6/30/2007,"1,576","1,576","7,946",-,-,-,-,-,-,-,-,-,-,"5,300",-,-,-,-,-,-,-,"-11,670",-,-,-,"-124,632","-124,632",-,-,"-61,927","-152,813","90,886",-,-,-,-,-,"-7,057",-,-,-,-,-764,-,-,-,"-54,884","22,518","22,518",-,"54,270","54,270","54,270",-,-,-,"1,547",-,-,-,-,-,-,-,-,-,-,"195,919","-100,538","296,457",-,-,"-7,057",-,"54,270",-,-,"-5,481"
65,3/31/2007,"19,261","19,261","11,403",-,-,-,-,-,-,-,-,-,-,"1,313",-,-,-,-,-,-,-,"6,545",-,-,-,"-28,059","-28,059",-,-,"-26,332","-52,706","26,374",-,-,-,-,-,"-9,261",-,-,-,-,"46,793",-,-,-,"-39,259","40,375","40,375",-,"-7,103","-7,103","-7,103",-,-,-,"1,018",-,-,-,-,-,-,-,-,-,-,"296,457","31,577","264,880",-,-,"-9,261",-,"-7,103",-,-,"10,000"
66,12/31/2006,"19,210","19,210","9,008",-,-,-,-,-,"2,208","2,208",-,"3,898","3,898","1,588",-,-,-,-,-,-,-,"-1,928",-,-,-,"-112,629","-112,629",-,-,"13,217","-182,286","195,503",-,-,-,-,-,"-7,780",-,-,-,-,"-9,219",-,-,-,"-108,847","151,229","151,229",-,457,457,457,-,-,-,619,-,-,-,-,-,-,-,-,-,9,"264,880","57,810","207,070",-,-,"-7,780",-,457,-,-,"11,430"
67,9/30/2006,"10,474","10,474","11,566",-,-,-,-,-,"2,410","2,410",-,"-1,503","-1,503","1,821",-,-,-,-,-,-,-,"-3,820",-,-,-,"-122,082","-122,082",-,-,"39,867","-1,912","41,779",-,-,-,-,-,"-12,511",-,-,-,-,-93,-,-,-,"-149,345","94,340","94,340",-,"32,602","32,602","32,602",-,-,-,"9,809",-,-,-,-,-,-,-,-,-,9,"207,070","-17,268","224,338",-,-,"-12,511",-,"32,602",-,-,"-2,037"
68,6/30/2006,408,408,"10,877",-,-,-,-,-,"1,603","1,603",-,"2,644","2,644","3,623",-,-,-,-,-,-,-,"-18,339",-,-,-,"-203,072","-203,072",-,-,"67,901","-1,166","69,067",-,-,-,-,-,"-7,566",-,-,-,-,-,-,-,-,"-266,754","63,716","63,716",-,"67,646","67,646","67,646",-,-,-,599,-,-,-,-,-,-,-,-,-,35,"224,338","-138,948","363,286",-,-,"-7,566",-,"67,646",-,-,"-7,158"
69,3/31/2006,"13,672","13,672","8,438",-,-,-,-,-,"1,513","1,513",-,"-2,071","-2,071",19,-,-,-,-,-,-,-,"5,773",-,-,-,"11,566","11,566",-,-,"121,111","-20,384","141,495",-,-,-,-,-,"-7,315",-,-,-,-,-,-,-,-,"-102,230","163,712","163,712",-,"21,280","21,280","21,280",-,-,-,763,-,-,-,-,-,-,-,-,-,45,"363,286","188,950","174,336",-,-,"-7,315",-,"21,280",-,-,"6,357"
70,12/31/2005,"13,069","13,069","8,442",-,-,-,-,-,997,997,-,"-2,133","-2,133","1,442",-,-,-,-,-,-,-,"4,252",-,-,-,"-209,070","-209,070",-,-,"-20,677","-54,500","33,823",-,-,-,-,-,"-12,471",-,-,-,-,-,-,-,-,"-175,922","75,720","75,720",-,"29,360","29,360",-,"29,360",-,-,46,-,-,-,-,-,-,-,-,-,-,"174,336","-120,281","294,617",-,-,"-12,471",-,-,"29,360",-,598
71,9/30/2005,"6,664","6,664","7,749",0,-,-,0,-,920,920,-,267,267,"1,230",-,-,-,-,-,-,-,"-3,502",-,-,-,"-211,494","-211,494",-,-,"-21,106","-69,302","48,196",-,-,-,-,-,"-2,001",-,-,-,-,-,-,-,-,"-188,387","194,066","194,066",-,"-49,514","-49,514",-,"-49,514",-,-,"85,636",-,-,-,-,-,-,-,-,-,-,"294,617","-10,764","305,381",-,-,"-2,001",-,-,"-49,514",-,"4,663"
72,6/30/2005,"3,221","3,221","6,553",0,-,-,0,-,"1,624","1,624",-,-284,-284,"1,133",-,-,-,-,-,-,-,"-5,805",-,-,-,"-92,298","-92,298",-,-,"36,727","-11,445","48,172",-,-,-,-,-,"-7,531",-,-,-,-,-,-,-,-,"-121,494","197,929","197,929",-,"26,207","26,207",-,"26,207",-,-,857,-,-,-,-,-,-,-,-,-,-,"305,381","108,852","196,529",-,-,"-7,531",-,-,"26,207",-,"-4,310"
73,3/31/2005,"11,405","11,405","5,321",-69,-,-,-69,-,"1,461","1,461",-,-8,-8,"1,444",-,-,-,-,-,-,-,"3,256",-,-,-,"-87,101","-87,101",-,-,"56,915","-13,233","70,148",-,-,-,-,-,-753,-,-,-,-,-,-,-,-,"-143,263","156,828","156,828",-,"-106,377","-106,377",-,"-106,377",-,-,552,-,-,-,-,-,-,-,-,-,-,"196,529","81,132","115,397",-,-,-753,-,-,"-106,377",-,"10,652"
