,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Properties,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Line of Credit,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Unrealized Gain Loss,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
10,9/30/2020,"33,335,500","1,418,700","1,418,700","1,418,700",-,"1,254,842","66,843","66,843",-,-,-,-,"8,600",-,"175,500","4,701,100","4,701,100","498,513","3,975,225",-,"25,703,500","26,014,000","20,800","13,648,600","36,100","12,308,500","1,849,834","310,500",-,-,-,-,-,-,"199,700","199,700",-,-,-,-,-,-,"199,700",-,"299,000","299,000",-,"46,645","46,645",-,"829,400","30,111,500","28,843,400","15,830,400","15,830,400","13,013,000","19,700",-,"19,700",-,"541,000","541,000","541,000","10,000","10,000",-,"10,000","707,400","628,800",-,"78,600","540,991","3,224,000","3,224,000","1,312,400",-,"1,312,400","1,833,000","1,383,537","71,098","78,600",-,-,-,-,"3,852,800",-,"3,224,000","78,600","2,925,000","3,852,800","2,925,000","707,400",-,"102,994","100,825",-,"2,168"
11,6/30/2020,"31,906,400","1,518,500","1,518,500","189,888",-,"1,518,500","66,661","66,661",-,-,-,-,"9,400",-,"174,900","4,193,800","4,193,800","471,731","3,516,922",-,"24,718,900","25,029,400","20,200","12,756,800","48,700","12,203,700","1,898,658","310,500",-,-,-,-,-,-,"198,100","198,100",-,-,-,-,-,-,"198,100",-,"296,900","296,900",-,"34,072","34,072",-,"795,900","28,804,000","27,544,600","15,308,600","15,308,600","12,236,000","25,400",-,"25,400",-,"529,400","529,400","529,400","10,000","10,000",-,"10,000","704,600","627,700",-,"76,900","529,327","3,102,400","3,102,400","1,306,300",-,"1,306,300","1,722,400","1,376,859","70,583","73,700",-,-,-,-,"3,730,100",-,"3,102,400","76,900","2,805,500","3,730,100","2,805,500","704,600",-,"103,003","100,849",-,"2,154"
12,3/31/2020,"29,158,200","415,700","415,700","152,368",-,"415,700","66,709","66,709",-,-,-,-,"10,600",-,"175,000","4,355,300","4,355,300","480,794","3,676,651","416,272","22,930,900","23,166,200","20,900","11,204,300","60,200","11,880,800","1,896,518","235,300",-,-,-,-,-,-,"198,200","198,200",-,-,-,-,-,-,"198,200",-,"297,200","297,200",-,"27,518","27,518",-,"775,300","26,158,600","24,830,700","14,944,200","14,944,200","9,886,500","23,000","308,000","23,000",-,"528,300","528,300","528,300",-,-,-,-,"776,600","697,900",-,"78,700","528,307","2,999,600","2,999,600","1,300,300",-,"1,300,300","1,661,800","1,370,544","70,186","37,500",-,-,-,-,"3,697,500",-,"2,999,600","78,700","2,702,400","3,697,500","2,702,400","776,600","282,200","103,296","101,153",-,"2,143"
13,12/31/2019,"26,821,900","434,600","434,600","185,977",-,"434,600","66,509","66,509",-,-,-,-,"13,900",-,"174,000","4,036,600","4,036,600","485,107","3,346,310","409,365","20,955,500","21,123,300","21,800","9,382,000","57,100","11,662,400",-,"167,800",-,-,-,-,-,-,"198,400","198,400",-,"32,954","91,574","53,621","10,449","28,477","198,400","-91,237","297,600","297,600","7,713","18,025","18,025",-,"711,300","23,805,200","22,796,500","14,258,600","14,258,600","8,537,900","16,700",0,"16,700",-,"520,300","520,300","520,300",0,0,-,0,"471,700","393,600",-,"78,100","520,357","3,016,700","3,016,700","1,311,400",-,"1,311,400","1,680,300","1,374,141","62,728","25,000",-,-,-,-,"3,410,300",-,"3,016,700","78,100","2,719,100","3,410,300","2,719,100","471,700",-,"104,528","102,524",-,"2,004"
14,9/30/2019,"26,324,200","872,100","872,100","244,319",-,"872,100","66,375","66,375",-,-,-,-,"15,500",-,"173,100","4,148,100","4,148,100","442,396","3,512,828","338,565","19,987,800","20,152,800","21,800","8,707,800","74,000","11,349,200",-,"165,000",-,-,-,-,-,-,"199,500","199,500",-,-,-,-,-,-,"199,500",-,"298,000","298,000","8,099","3,672","3,672",-,"630,100","23,401,200","22,440,800","13,685,100","13,685,100","8,755,700","15,000",0,"15,000",-,"476,700","476,700","476,700",0,0,-,0,"468,700","388,900",-,"79,800","476,727","2,923,000","2,923,000","1,305,500",-,"1,305,500","1,581,900","1,368,191","62,665","35,600",-,-,-,-,"3,311,900",-,"2,923,000","79,800","2,625,000","3,311,900","2,625,000","468,700",-,"104,642","102,639",-,"2,003"
15,6/30/2019,"25,314,800","1,067,700","1,067,700","181,045",-,"1,067,700","66,217","66,217","90,000","90,000","90,000",-,"17,700",-,"172,100","3,870,100","3,870,100","435,997","3,253,094","321,543","19,089,900","19,250,300",-,"8,454,200","66,000","10,730,100",-,"160,400",-,-,-,-,-,-,"194,200","194,200",-,-,-,-,-,-,"194,200",-,"298,400","298,400","8,486","9,319","9,319",-,"604,700","22,463,500","21,439,900","12,762,600","12,762,600","8,677,300","13,900",0,"13,900",-,"546,300","546,300","546,300",0,0,-,0,"463,400","387,200",-,"76,200","546,278","2,851,300","2,851,300","1,310,900",-,"1,310,900","1,514,000","1,372,037","61,134","26,400",-,-,-,-,"3,238,500",-,"2,851,300","76,200","2,552,900","3,238,500","2,552,900","463,400",-,"105,624","103,654",-,"1,969"
16,3/31/2019,"23,792,800","785,600","785,600","160,329",-,"785,600","66,287","66,287","290,000","290,000","290,000",-,"17,700",-,"171,100","3,739,400","3,739,400","310,865","3,244,247","331,972","17,961,700","18,116,700",-,"7,723,700","58,400","10,334,600",-,"155,000",-,-,-,-,-,-,"192,600","192,600",-,-,-,-,-,-,"192,600",-,"298,800","298,800","8,873","22,309","22,309",-,"625,900","21,072,200","20,208,700","12,529,400","12,529,400","7,679,300","15,100",0,"15,100",-,"396,600","396,600","396,600",0,0,-,0,"451,800","374,000",-,"77,800","396,599","2,720,600","2,720,600","1,329,600",-,"1,329,600","1,399,200","1,390,569","60,983","-8,200",-,-,-,-,"3,094,600",-,"2,720,600","77,800","2,421,800","3,094,600","2,421,800","451,800",-,"106,449","104,483",-,"1,966"
17,12/31/2018,"23,109,500","498,600","498,600","498,600",-,"318,519","66,132","66,132",-,-,-,-,"17,900",-,"170,100","3,761,100","3,761,100","302,905","3,276,988","342,381","17,557,900","17,710,600",-,"7,762,600","70,100","9,877,900",-,"152,700",-,-,-,-,-,-,"119,500","119,500",-,"32,954","89,930","42,729","6,302","25,919","119,500","-78,360","299,200","299,200","9,260","31,990","31,990",-,"685,200","20,495,800","19,177,400","11,721,300","11,721,300","7,456,100","22,400","256,000","22,400",-,"444,500","444,500","444,500","235,000","235,000",-,"235,000","851,500","851,500",-,-,"444,436","2,613,700","2,613,700","1,364,600",-,"1,364,600","1,282,700","1,417,724","53,083","-33,600",-,-,-,-,"3,465,200",-,"2,613,700",-,"2,314,500","3,465,200","2,314,500","851,500","352,900","106,742","104,949",-,"1,793"
18,9/30/2018,"22,176,100","700,500","700,500","700,500",-,"482,019","65,993","65,993","70,000","70,000","70,000",-,"20,000",-,"169,200","3,633,700","3,633,700","288,290","3,107,076","295,116","16,582,800","16,732,800",0,"7,487,700","69,200","9,175,900",-,"150,000",-,-,-,-,-,-,"119,200","119,200",-,-,-,-,-,-,"119,200",-,"299,500","299,500","9,658","43,483","43,483",-,"651,200","19,687,700","18,908,600","10,893,900","10,893,900","8,014,700","20,900",-,"20,900",-,"399,100","399,100","399,100",0,0,-,0,"359,100","359,100",-,-,"399,123","2,488,400","2,488,400","1,392,600",-,"1,392,600","1,166,200","1,444,555","52,035","-70,400",-,-,-,-,"2,847,500",-,"2,488,400",-,"2,188,900","2,847,500","2,188,900","359,100",-,"107,633","105,861",-,"1,772"
19,6/30/2018,"21,367,500","506,800","506,800","506,800",-,"335,520","65,955","65,955",-,-,-,-,"27,500",-,"168,700","3,688,700","3,688,700","280,186","3,199,015","304,112","15,991,200","16,138,300",0,"7,278,400","55,200","8,804,700",-,"147,100",-,-,-,-,-,-,"115,400","115,400",-,-,-,-,-,-,"115,400",-,"300,000","300,000","10,056","39,097","39,097",-,"569,200","18,975,800","18,087,500","10,139,600","10,139,600","7,947,900","18,000",-,"18,000",-,"434,200","434,200","434,200","75,000","75,000",-,"75,000","436,100","436,100",-,-,"434,159","2,391,700","2,391,700","1,387,900",-,"1,387,900","1,055,100","1,438,857","50,971","-51,300",-,-,-,-,"2,827,800",-,"2,391,700",-,"2,091,700","2,827,800","2,091,700","436,100",-,"107,629","105,876",-,"1,753"
20,3/31/2018,"20,760,700","439,400","439,400","439,400",-,"289,634","66,519","66,519",-,-,-,-,"30,200",-,"168,600","3,734,300","3,734,300","262,304","3,405,462","288,911","15,415,700","15,560,400",0,"6,944,400","50,500","8,565,500",-,"144,700",-,-,-,-,-,-,"116,700","116,700",-,-,-,-,-,-,"116,700",-,"300,400","300,400","10,455","27,374","27,374",-,"555,400","18,467,000","17,354,500","9,852,500","9,852,500","7,502,000","21,700",-,"21,700",-,"426,900","426,900","426,900",-,-,-,-,"663,900","663,900",-,-,"426,819","2,293,700","2,293,700","1,385,000",-,"1,385,000","950,400","1,431,460","46,469","-41,700",-,-,-,-,"2,957,600",-,"2,293,700",-,"1,993,300","2,957,600","1,993,300","663,900","224,500","107,612","105,861",-,"1,751"
21,12/31/2017,"20,329,100","416,800","416,800","416,800",-,"235,577","65,785","65,785",-,-,-,-,"28,500",-,"167,800","3,820,400","3,820,400","255,050","3,499,519","267,023","14,953,900","15,093,900",0,"6,841,400","48,800","8,203,700",-,"140,000",-,-,-,-,-,-,"118,700","118,700",-,"32,953","89,411","37,098","1,415","23,707","118,700","-65,865","300,700","300,700","10,853","5,780","5,780",-,"522,300","18,099,900","16,972,500","9,538,500","9,538,500","7,434,000","26,000",-,"26,000",-,"334,500","334,500","334,500","390,000","390,000",-,"390,000","766,900","766,900",-,-,"333,933","2,229,200","2,229,200","1,384,400",-,"1,384,400","847,900","1,424,540","40,173","-3,100",-,-,-,-,"2,996,100",-,"2,229,200",-,"1,928,500","2,996,100","1,928,500","766,900","350,100","107,058","105,487",-,"1,570"
