,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Unrealized Gain Loss On Investment Securities,Change in working capital,Change in Receivables,Change in Prepaid Assets,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
79,9/30/2003,"26,319","26,319","19,547","-2,811",-,-,-179,-,-,"15,662","15,662",-,-,-,"1,675","1,675","11,550",-,-,-,-,-,-,"-19,304",-,-,"2,767","2,767","2,767","2,767",-,-,-,"-22,071","-24,792","-24,792",-,-,"173,341","-775,671","949,012",-,-,-,-,-,"-94,774",-,-,-,-,-,"-103,359","-21,907","-21,907",-,"-23,557",-,-,-,"-27,244",-,-,0,-,-,-,"-2,869",-,-,-,"790,166","-20,380","810,546",-,-,-,"-94,774",-,-,-,-,"-68,455"
80,6/30/2003,"17,150","17,150","20,772","-11,542",-,-,"-1,105",-,-,"15,967","15,967",-,-,-,"3,388","3,388","8,567",-,-,-,-,-,-,"-20,002",-,-,"-14,924","-14,924","-14,924","-14,924",-,-,-,"-5,078","-81,035","-81,035",-,-,"191,955","-583,675","775,630",-,-,-,-,-,"-20,179",-,-,-,-,-,"-252,811","120,853","120,853",-,"61,127",-,-,-,"61,127",-,-,"-3,371",-,-,-,"-2,879",-,-,-,"810,546","56,968","753,578",-,-,-,"-20,179",-,-,-,-,"-3,029"
81,3/31/2003,"42,835","42,835","18,294",975,-,-,975,-,-,"15,867","15,867",-,-,-,"2,143","2,143","8,673",-,-,-,-,-,-,"-3,117",-,-,"12,337","12,337","12,337","12,337",-,-,-,"-15,454","-228,291","-228,291",-,-,"-129,026","-705,331","576,305",-,-,-,-,-,"-17,720",-,-,-,-,-,"-81,545","127,377","127,377",-,"-24,223",-,-,-,"-24,223",-,-,-281,-,-,-,"-2,879",-,-,-,"753,578","-58,079","811,657",-,-,-,"-17,720",-,-,-,-,"25,115"
82,12/31/2002,"55,136","55,136","24,310",657,-,-,635,-,-,"9,256","9,256",-,-,-,"-2,132","-2,132","13,806",-,-,-,-,-,-,"9,239",-,-,"5,014","5,014","5,014","5,014",-,-,-,"4,225","-134,167","-134,167",-,-,"-43,491","-1,005,684","962,193",-,-,-,-,-,"-19,027",-,-,-,-,-,"-71,649","89,238","89,238",-,"-36,370",0,-,0,"-36,370",-,-,-285,-,-,-,"-2,617",-,-,-,"811,657","10,207","801,450",-,-,-,"-19,027",-,-,0,-,"36,109"
83,9/30/2002,"44,173","44,173","22,118",639,-,-,360,-,-,"42,184","42,184",-,-,-,0,0,"24,584",-,-,-,-,-,-,"-45,352",-,-,"-1,304","-1,304","-1,304","-1,304",-,-,-,"-44,048","-267,288","-267,288",-,-,"-152,960","-961,802","808,842",-,-,-,-,-,"-30,953",-,-,-,-,-,"-83,375","210,025","210,025",-,"-8,555",0,-,0,"-8,555",-,-,-444,-,-,-,"-2,621",-,-,-,"801,450","-13,090","814,540",-,-,-,"-30,953",-,-,0,-,"13,220"
84,6/30/2002,"17,700","17,700","23,130",396,-,-,396,-,-,"-4,663","-4,663",-,-,-,"1,456","1,456","-4,443",-,-,-,-,-,-,"1,824",-,-,"-13,157","-13,157","-13,157","-13,157",-,-,-,"14,981","-21,443","-21,443",-,-,"187,874","-563,986","751,860",-,-,-,-,-,"-12,414",-,-,-,-,-,"-196,903","108,526","108,526",-,"-81,030",-,-,-,"-51,030",-,-,-25,-,-,-,"-2,620",-,-,-,"814,540","104,783","709,757",-,-,-,"-12,414",-,-,-,-,"5,286"
85,3/31/2002,"48,393","48,393","23,198",-611,-,-,-310,-,-,"18,200","18,200",-,-,-,"2,084","2,084","6,125",-,-,-,-,-,-,-603,-,-,"14,164","14,164","14,164","14,164",-,-,-,"-14,767","47,291","47,291",-,-,"114,965","-326,096","441,061",-,-,-,-,-,"-18,871",-,-,-,-,-,"-48,803","-144,914","-144,914",-,"-53,408",-,-,-,"-53,408",-,-,-260,-,-,-,"-2,620",-,-,-,"709,757","-49,230","758,987",-,-,-,"-18,871",-,-,-,-,"29,522"
86,12/31/2001,"21,289","21,289","21,317","1,557",-,-,-1,-,-,"18,665","18,665",-,-,-,"-2,859","-2,859","5,001",-,-,-,-,-,-,"-22,392",-,-,"-15,883","-15,883","-15,883","-15,883",-,-,-,"-6,509","-251,542","-251,542",-,-,"-190,352","-1,399,633","1,209,281",-,-,-,-,-,"-17,484",-,-,-,-,-,"-43,706","297,646","297,646",-,"35,030","100,000","100,000",-,"-64,970",-,-,-648,-,-,-,"-2,622",-,-,-,"758,987","67,393","691,594",-,-,-,"-17,484",-,"100,000",-,-,"3,805"
87,9/30/2001,"92,612","92,612","20,756",-150,-,-,-150,-,-,"13,153","13,153",-,-,-,11,11,"48,364",-,-,-,-,-,-,"10,478",-,-,"11,819","11,819","11,819","11,819",-,-,-,"-1,341","-299,552","-299,552",-,-,"-185,051","301,923","-486,974",-,-,-,-,-,"-20,956",-,-,-,-,-,"-93,545","189,172","189,172",-,"28,386","30,000","30,000",-,"-1,614",-,-,"-1,706",-,-,-,"-2,626",-,-,-,"691,594","-17,768","709,362",-,-,-,"-20,956",-,"30,000",-,-,"71,656"
88,6/30/2001,"214,711","214,711","22,004","-3,447",-,-,"-1,587",-,-,"13,524","13,524",-,-,-,-63,-63,"187,216",-,-,-,-,-,-,"-4,523",-,-,"-10,769","-10,769","-10,769","-10,769",-,-,-,"6,246","-360,629","-360,629",-,-,"-178,010","-595,691","417,681",-,-,-,-,-,"-23,300",-,-,-,-,-,"-159,319","165,200","165,200",-,"8,937",0,0,-,"8,937",-,-,-324,-,-,-,"-2,630",-,-,-,"709,362","19,282","690,080",-,-,-,"-23,300",-,0,-,-,"191,411"
89,3/31/2001,"14,785","14,785","22,859","-5,449",-,-,"-5,451",-,-,"10,655","10,655",-,-,-,"2,235","2,235","-19,117",-,-,-,-,-,-,"3,602",-,-,"15,787","15,787","15,787","15,787",-,-,-,"-12,185","-462,555","-462,555",-,-,"-491,554","-857,264","365,710",-,-,-,-,-,"-18,183",-,-,-,-,-,"47,182","381,920","381,920",-,"36,342",522,522,-,"35,820",-,-,-817,-,-,-,"-2,628",-,-,-,"690,080","-65,850","755,930",-,-,-,"-18,183",-,522,-,-,"-3,398"
90,12/31/2000,"52,161","52,161","23,988","-3,852",-,-,458,-,-,"9,312","9,312",-,-,-,"1,812","1,812","14,498",-,-,-,-,-,-,"6,403",-,-,"-8,174","-8,174","-8,174","-8,174",-,-,-,"14,577","-74,391","-74,391",-,-,"-65,572","-286,086","220,514",-,-,-,-,-,"-28,861",-,-,-,-,-,"20,042","248,263","248,263",-,-301,-,-,-,"-1,501",-,-,-777,-,-,-,"-2,617",-,-,-,"755,930","226,033","529,897",-,-,-,"-28,861",-,-,-,-,"23,300"
91,9/30/2000,"25,360","25,360","33,355","-2,246",-,-,"-2,246",-,-,"10,556","10,556",-,-,-,385,385,"-25,288",-,-,-,-,-,-,"8,598",-,-,"8,865","8,865","8,865","8,865",-,-,-,-267,"-393,879","-393,879",-,-,"-314,099","-383,481","69,382",-,-,-,-,-,"-21,066",-,-,-,-,-,"-58,714","369,918","369,918",-,"70,324",-,-,-,"70,324",-,-,-49,-,-,-,"-2,635",-,-,-,"529,897","1,399","528,498",-,-,-,"-21,066",-,-,-,-,"4,294"
92,6/30/2000,"27,698","27,698","21,454",193,-,-,-,-,-,"9,347","9,347",-,-,-,-176,-176,"6,446",-,-,-,-,-,-,"-9,566",-,-,"-11,803","-11,803","-11,803","-11,803",-,-,-,"2,237","13,181","13,181",-,-,"205,878","-183,294","389,172",-,-,-,-,-,"-16,618",-,-,-,-,-,"-176,079","40,624","40,624",-,"-25,321",-,-,-,"-25,321",-,-,"-1,928",-,-,-,"-2,641",-,-,-,"528,498","81,503","446,995",-,-,-,"-16,618",-,-,-,-,"11,080"
93,3/31/2000,"50,056","50,056","19,514",10,-,-,-,-,-,"11,441","11,441",-,-,-,"-1,505","-1,505","6,020",-,-,-,-,-,-,"14,576",-,-,"11,944","11,944","11,944","11,944",-,-,-,"2,632","-329,531","-329,531",-,-,"-227,339","-541,975","314,636",-,-,-,-,-,"-17,701",-,-,-,-,-,"-84,491","134,865","134,865",-,"18,018",-,-,-,"18,018",-,-,"-2,752",-,-,-,"-2,653",-,-,-,"446,995","-144,610","591,605",-,-,-,"-17,701",-,-,-,-,"32,355"
94,12/31/1999,"53,500","53,500","19,300","3,100",-,-,-900,-,-,"14,000","14,000",-,-,-,600,600,"50,000",-,-,-,-,-,-,"-33,500",-,-,"-29,500","-29,500","-29,500","-29,500",-,-,-,"-4,000","-80,100","-80,100",-,-,"-500,600","-725,000","224,400",-,-,-,-,-,"-53,600",-,-,-,-,-,"474,100","156,400","156,400",-,"12,200",-,-,-,"12,200",-,-,-,-,-,-,"-2,600",-,-,-,"591,600","129,900","461,800",-,-,-,"-53,600",-,-,-,-,-100
95,9/30/1999,"27,900","27,900","23,100","-4,500",-,-,0,-,-,"13,700","13,700",-,-,-,"-1,400","-1,400","-34,900",-,-,-,-,-,-,"31,900",-,-,"28,800","28,800","28,800","28,800",-,-,-,"3,100","-59,700","-59,700",-,-,"258,100","-94,000","352,100",-,-,-,-,-,"-83,300",-,-,-,-,-,"-234,500","39,900","39,900",-,"36,500",-,-,-,"36,500",-,-,-,-,-,-,"-2,700",-,200,-,"461,800","8,100",0,-,-,-,"-83,300",-,-,-,-,"-55,400"
96,6/30/1999,"49,400","49,400","20,400",-400,-,-,0,-,-,"13,900","13,900",-,-,-,-500,-500,"28,600",-,-,-,-,-,-,"-12,600",-,-,"-15,900","-15,900","-15,900","-15,900",-,-,-,"3,300",-900,-900,-,-,"173,600","-76,900","250,500",-,-,-,-,-,"-16,100",-,-,-,-,-,"-158,400","-78,500","-78,500",-,"-67,100",-,-,-,"-67,100",-,-,-,-,-,-,"-2,600",-,-200,-,0,"-29,900",0,"29,900",-,-,"-16,100",-,-,-,-,"33,300"
97,3/31/1999,"57,500","57,500","19,000","-2,400",-,-,-800,-,-,"13,700","13,700",-,-,-,"-2,200","-2,200","35,400",-,-,-,-,-,-,"-6,000",-,-,"9,900","9,900","9,900","9,900",-,-,-,"-15,900","-156,300","-156,300",-,-,"-60,800","-474,600","413,800",-,-,-,-,-,"-20,800",-,-,-,-,-,"-74,700","79,500","79,500",-,"15,400",-,-,-,"15,400",-,-,-,-,-,-,"-2,700",-,100,-100,0,"-19,400","503,000","-483,600",-,-,"-20,800",-,-,-,-,"36,700"
98,12/31/1998,"246,800","246,800","19,700","-2,900",-,-,-,-,-,"13,000","13,000",-,-,-,"-10,800","-10,800","135,200",-,-,-,-,-,-,"92,600",-,-,800,800,800,800,-,-,-,"91,800","-591,200","-591,200",-,-,"-271,800","-412,200","140,400",-,-,-,-,-,"-26,400",-,-,-,-,-,"-293,000","411,900","411,900",-,"33,200","1,000","1,000",-,"32,200",-,-,"-74,300",-,-,-,"-2,700",-,-,-,0,"67,500",0,"-67,500",-,-,"-26,400",-,"1,000",-,-,"220,400"
99,9/30/1998,"-39,900","-39,900","18,100",-,-,-,-,-,-,"17,100","17,100",-,-,-,500,500,"-73,100",-,-,-,-,-,-,800,-,-,-800,-800,-800,-800,-,-,-,"1,600","32,700","32,700",-,-,"221,600","-13,700","235,300",-,-,-,-,-,"-20,300",-,-,-,-,-,"-168,600","-43,300","-43,300",-,"-245,900","-233,200","-83,200",-,"-12,700",-,-,0,-,-,-,"-2,600",-,-200,-,0,"-50,400",0,"50,400",-,-,"-20,300",-,"-83,200",-,-,"-60,200"
100,6/30/1998,"-50,500","-50,500","17,500",-,-,-,-,-,-,"7,300","7,300",-,-,-,"2,300","2,300","-36,000",-,-,-,-,-,-,"-42,700",-,-,"-9,300","-9,300","-9,300","-9,300",-,-,-,"-33,400","111,700","111,700",-,-,"410,000","136,900","273,100",-,-,-,-,-,"-16,800",-,-,-,-,-,"-281,500","-17,700","-17,700",-,"292,900","233,200","83,200",-,"59,700",-,-,-,-,-,-,"-2,700",-,-,-,0,"43,400",0,"-43,400",-,-,"-16,800",-,"83,200",-,-,"-67,300"
101,3/31/1998,"28,900","28,900","15,700","-1,100",-,-,-,-,-,"11,300","11,300",-,-,-,"1,700","1,700","46,600",-,-,-,-,-,-,"-45,300",-,-,"10,400","10,400","10,400","10,400",-,-,-,"-55,700","-130,500","-130,500",-,-,"-198,700","-602,400","403,700",-,-,-,-,-,"-29,300",-,-,-,-,-,"97,500","37,300","37,300",-,"42,100","150,000","150,000",-,"-107,900",-,-,-,-,-,-,"-2,700",-,-,-,0,"-64,300","506,800","-442,500",-,-,"-29,300",-,"150,000",-,-,-400
102,12/31/1997,"-61,900","-61,900","17,400",-,-,-,-,-,-,"2,100","2,100",-,-,-,"2,300","2,300","-101,000",-,-,-,-,-,-,"17,300",-,-,"1,200","1,200","1,200","1,200",-,-,-,"16,100","-215,300","-215,300",-,-,"-65,500","-166,000","100,500",-,-,-,-,-,"-20,400",-,-,-,-,-,"-129,400","332,200","332,200",-,"53,900",-,-,-,"53,900",-,-,-500,-,-,-,"-2,900",-,0,-,0,"55,000",0,"-55,000",-,-,"-20,400",-,-,-,-,"-82,300"
103,9/30/1997,"34,100","34,100","19,000",-,-,-,-,-,-,"9,500","9,500",-,-,-,-600,-600,"-1,500",-,-,-,-,-,-,"7,700",-,-,-900,-900,-900,-900,-,-,-,"8,600","-227,600","-227,600",-,-,"-23,000","-109,000","86,000",-,-,-,-,-,"-20,200",-,-,-,-,-,"-184,400","182,200","182,200",-,"50,700",-,-,-,"50,700",-,-,-100,-,-,-,"-2,800",-,-200,-,0,"-11,400",0,"11,400",-,-,"-20,200",-,-,-,-,"13,900"
104,6/30/1997,"53,300","53,300","17,600",-,-,-,-,-,-,"8,500","8,500",-,-,-,"1,600","1,600","26,700",-,-,-,-,-,-,"-1,100",-,-,"-10,000","-10,000","-10,000","-10,000",-,-,-,"8,900","-172,900","-172,900",-,-,"-201,500","-351,900","150,400",-,-,-,-,-,"-16,700",-,-,-,-,-,"45,300","230,800","230,800",-,"149,900",-,-,-,"149,900",-,-,-300,-,-,-,"-2,800",-,0,0,0,"111,200",0,"-111,200",-,-,"-16,700",-,-,-,-,"36,600"
105,3/31/1997,"6,100","6,100","16,600",-,-,-,-,-,-,"8,200","8,200",-,-,-,"-1,800","-1,800","-13,700",-,-,-,-,-,-,"-3,200",-,-,"9,600","9,600","9,600","9,600",-,-,-,"-12,800","3,600","3,600",-,-,"22,600","-190,800","213,400",-,-,-,-,-,"-11,700",-,-,-,-,-,"-7,300","-94,900","-94,900",-,"-48,700",-,-,-,"-48,700",-,-,"-1,200",-,-,-,"-2,900",-,100,100,0,"-85,100","437,000","-351,900",-,-,"-11,700",-,-,-,-,"-5,600"
106,12/31/1996,"59,200","59,200","19,900",-,-,-,-,-,-,"8,400","8,400",-,-,-,200,200,"36,500",-,-,-,-,-,-,"-5,800",-,-,"-1,000","-1,000","-1,000","-1,000",-,-,-,"-4,800","-245,900","-245,900",-,-,"-180,700","-367,500","186,800",-,-,-,-,-,"-13,300",-,-,-,-,-,"-51,900","201,400","201,400",-,"59,800",-,-,-,"59,800",-,-,"-1,100",-,-,-,"-2,900",-,-,-,0,"14,700",0,"-14,700",-,-,"-13,300",-,-,-,-,"45,900"
107,9/30/1996,"11,500","11,500","12,400",-,-,-,-,-,-,"8,800","8,800",-,-,-,-600,-600,"-25,000",-,-,-,-,-,-,"15,900",-,-,"1,600","1,600","1,600","1,600",-,-,-,"14,300","-155,000","-155,000",-,-,"-180,200","-381,300","201,100",-,-,-,-,-,"-9,600",-,-,-,-,-,"34,800","165,100","165,100",-,"-7,300",-,-,-,"-7,300",-,-,"-1,200",-,-,-,"-2,600",-,-,-,0,"21,600",0,"-21,600",-,-,"-9,600",-,-,-,-,"1,900"
108,6/30/1996,"5,900","5,900","16,400",-,-,-,-,-,-,"13,600","13,600",-,-,-,-700,-700,"-17,900",-,-,-,-,-,-,"-5,500",-,-,-,-,-,-,-,-,-,-,"72,900","72,900",-,-,"164,100","-77,900","242,000",-,-,-,-,-,"-9,800",-,-,-,-,-,"-81,400","-106,700","-106,700",-,"4,000",-,-,-,"4,000",-,-,"3,600",-,-,-,"-2,500",-,-,-,0,"-27,900",0,"27,900",-,-,"-9,800",-,-,-,-,"-3,900"
109,3/31/1996,"15,700","15,700","16,800",-,-,-,-,-,-,"6,000","6,000",-,-,-,-700,-700,"3,800",-,-,-,-,-,-,"-10,200",-,-,-,-,-,-,-,-,-,-,"-104,900","-104,900",-,-,"-67,900","-328,400","260,500",-,-,-,-,-,"-9,500",-,-,-,-,-,"-27,500","69,200","69,200",-,"-74,100",-,-,-,"-74,100",-,-,"-1,600",-,-,-,"-2,600",-,-,-,0,"-20,000","448,600","-428,600",-,-,"-9,500",-,-,-,-,"6,200"
110,12/31/1995,"22,700","22,700","16,300",-,-,-,-,-,-,"10,700","10,700",-,-,-,-,-,"-7,700",-,-,-,-,-,-,"4,900",-,-,"-1,100","-1,100","-1,100","-1,100",-,-,-,"6,000","-249,400","-249,400",-,-,"-206,400","-407,600","201,200",-,-,-,-,-,"-6,600",-,-,-,-,-,"-36,400","191,700","191,700",-,"32,800",-,-,-,"33,000",-,-,"1,300",-,-,-,"-2,400",-,-,-,0,"-35,000",0,"35,000",-,-,"-6,600",-,-,-,-,"16,100"
111,9/30/1995,"25,700","25,700","15,800",-,-,-,-,-,-,"10,800","10,800",-,-,-,-,-,"-10,200",-,-,-,-,-,-,"9,500",-,-,"3,900","3,900","3,900","3,900",-,-,-,"5,600","-169,500","-169,500",-,-,"-106,200","-321,500","215,300",-,-,-,-,-,"-7,900",-,-,-,-,-,"-55,400","224,500","224,500",-,"29,700",-,-,-,"18,400",-,-,-200,-,-,-,"-2,100",-,-,-,0,"80,700",0,"-80,700",-,-,"-7,900",-,-,-,-,"17,800"
112,6/30/1995,"11,900","11,900","12,600",-,-,-,-,-,-,"10,600","10,600",-,-,-,400,400,"-6,300",-,-,-,-,-,-,"-5,400",-,-,"-6,200","-6,200","-6,200","-6,200",-,-,-,800,"-141,600","-141,600",-,-,"-182,100","-361,000","178,900",-,-,-,-,-,"-8,300",-,-,-,-,-,"48,800","162,200","162,200",-,"59,100",-700,-,-700,"59,800",-,-,600,-,-,-,"-2,200",-,300,-,0,"32,500",0,"-32,500",-,-,"-8,300",-,-,-700,-,"3,600"
113,3/31/1995,"40,500","40,500","12,200",-,-,-,-,-,-,"10,300","10,300",-,-,-,-200,-200,"7,900",-,-,-,-,-,-,"10,300",-,-,"6,600","6,600","6,600","6,600",-,-,-,"3,700","-142,500","-142,500",-,-,"-32,400","-263,100","230,700",-,-,-,-,-,"-8,300",-,-,-,-,-,"-101,800","16,700","16,700",-,"-51,600","-10,600",-,"-10,600","-41,000",-,-,-200,-,-,-,"-2,100",-,-200,-,0,"-85,300","455,700","-370,400",-,-,"-8,300",-,-,"-10,600",-,"32,200"
114,12/31/1994,"42,600","42,600","13,000",-,-,-,-,-,-,"11,400","11,400",-,-,-,"-1,000","-1,000","1,700",-,-,-,-,-,-,"17,500",-,-,"-5,800","-5,800","-5,800","-5,800",-,-,-,"23,300","-73,300","-73,300",-,-,"120,900","-17,500","138,400",-,-,-,-,-,"-4,300",-,-,-,-,-,"-189,900","107,700","107,700",-,"41,000","-12,400",-,"-12,400","53,400",-,-,-,-,-,-,"-2,200",-,-,-,0,"77,100",0,"-77,100",-,-,"-4,300",-,-,"-12,400",-,"38,300"
115,9/30/1994,"30,900","30,900","13,600",-,-,-,-,-,-,"26,300","26,300",-,-,-,0,0,"3,100",-,-,-,-,-,-,"2,100",-,-,900,900,900,900,-,-,-,"1,200","-70,300","-70,300",-,-,"39,700","-66,800","106,500",-,-,-,-,-,"-4,600",-,-,-,-,-,"-105,400","40,500","40,500",-,"5,800","-2,900",-,"-1,900","8,700",-,-,-,-,-,-,"-1,700",-,-200,-,0,"1,100",0,"-1,100",-,-,"-4,600",-,-,"-1,900",-,"26,300"
116,6/30/1994,400,400,"13,400",-,-,-,-,-,-,"-1,900","-1,900",-,-,-,-700,-700,"-27,000",-,-,-,-,-,-,"2,400",-,-,-,-,-,-,-,-,-,-,"79,600","79,600",-,-,"145,700","24,200","121,500",-,-,-,-,-,"-2,200",-,-,-,-,-,"-63,900","-79,100","-79,100",-,"-8,000","-9,500",0,"-9,500","1,500",-,-,-400,-,-,-,"-1,700",-,"-1,600",-,0,900,0,-900,-,-,"-2,200",-,0,"-9,500",-,"-1,800"
117,3/31/1994,"93,700","93,700","11,000",-,-,-,-,-,-,"11,500","11,500",-,-,-,100,100,"70,800",-,-,-,-,-,-,300,-,-,-,-,-,-,-,-,-,-,"-73,800","-73,800",-,-,"78,700","-147,500","226,200",-,-,-,-,-,"-9,200",-,-,-,-,-,"-143,300","-36,100","-36,100",-,"-17,200","-1,000","1,000","-2,000","-16,200",-,-,"3,900",-,-,-,"-1,700",-,"-3,600",-,0,"-16,200","392,900","-376,700",-,-,"-9,200",-,"1,000","-2,000",-,"84,500"
118,12/31/1993,"160,900","160,900","13,400",-,-,-,-,-,-,"10,700","10,700",-,-,-,"-1,100","-1,100","136,800",-,-,-,-,-,-,"1,100",-,-,-,-,-,-,-,-,-,-,"-234,800","-234,800",-,-,"-228,300","-510,900","282,600",-,-,-,-,-,"-7,300",-,-,-,-,-,800,"146,400","146,400",-,"-22,600",900,0,900,"-23,500",-,-,600,-,-,-,"-1,700",-,"9,400",-,0,"72,500",0,"-72,500",-,-,"-7,300",-,0,900,-,"153,600"
119,9/30/1993,"-172,400","-172,400","12,500",-,-,-,-,-,-,"15,400","15,400",-,-,-,"-1,000","-1,000","-191,300",-,-,-,-,-,-,"-1,000",-,-,-,-,-,-,-,-,-,-,"19,900","19,900",-,-,"-152,100","-296,000","143,900",-,-,-,-,-,"-8,900",-,-,-,-,-,"180,900","119,300","119,300",-,"44,100",-400,0,-400,"44,500",-,-,"1,300",-,-,-,"-1,500",-,"-14,000",-,0,"-33,200",0,"33,200",-,-,"-8,900",-,0,-400,-,"-181,300"
120,6/30/1993,"74,400","74,400","15,000","3,700",-,-,"3,700",-,-,"3,900","3,900",-,-,-,"-1,500","-1,500","62,800",-,-,-,-,-,-,"-9,500",-,-,"-6,900","-6,900","-6,900","-6,900",-,-,-,"-2,600","-74,600","-74,600",-,-,"68,000","-148,400","216,400",-,-,-,-,-,"-10,800",-,-,-,-,-,"-131,800","70,300","70,300",-,"1,100",500,-,-300,600,-,-,"4,900",-,-,-,"-1,500",-,100,-,0,"70,100",0,"-70,100",-,-,"-10,800",-,-,-300,-,"63,600"
121,3/31/1993,"-16,500","-16,500","14,700","3,300",-,-,"3,300",-,-,"3,800","3,800",-,-,-,"-1,200","-1,200","-42,700",-,-,-,-,-,-,"5,600",-,-,"5,200","5,200","5,200","5,200",-,-,-,400,"52,800","52,800",-,-,"68,800","-90,400","159,200",-,-,-,-,-,"-7,400",-,-,-,-,-,"-8,600","-119,200","-119,200",-,"11,800",-700,-,-700,"12,500",-,-,-400,-,-,-,"-1,400",-,"5,800",-,0,"-82,900","366,300","-283,400",-,-,"-7,400",-,-,-700,-,"-23,900"
122,12/31/1992,"38,600","38,600","12,000","9,100",-,-,"9,100",-,-,"3,100","3,100",-,-,-,"-1,600","-1,600","11,200",-,-,-,-,-,-,"4,800",-,-,-,-,-,-,-,-,-,-,"-70,900","-70,900",-,-,"-17,700","-182,500","164,800",-,-,-,-,-,"-4,600",-,-,-,-,-,"-48,600","53,500","53,500",-,"-32,200",-500,-,-500,"-31,700",-,-,"1,900",-,-,-,"-1,400",-,100,-,0,"21,200",0,"-21,200",-,-,"-4,600",-,-,-500,-,"34,000"
123,9/30/1992,"91,400","91,400","14,000","3,700",-,-,"1,300",-,-,"3,200","3,200",-,-,-,-500,-500,"77,400",-,-,-,-,-,-,"-6,400",-,-,-,-,-,-,-,-,-,-,"-151,700","-151,700",-,-,"-83,600","-210,100","126,500",-,-,-,-,-,"-3,900",-,-,-,-,-,"-64,200","56,000","56,000",-,"2,600",-400,-,-400,"3,000",-,-,500,-,-,-,"-1,200",-,-200,-,0,"-4,300",0,"4,300",-,-,"-3,900",-,-,-400,-,"87,500"
124,6/30/1992,"9,100","9,100","13,400","-1,600",-,-,800,-,-,"2,400","2,400",-,-,-,"-1,500","-1,500","-47,500",-,-,-,-,-,-,"43,900",-,-,"-5,400","-5,400","-5,400","-5,400",-,-,-,"49,300","70,200","70,200",-,-,"65,300","-117,600","182,900",-,-,-,-,-,"-6,000",-,-,-,-,-,"10,900","-65,900","-65,900",-,"9,000",-200,-,-200,"9,200",-,-,"1,100",-,-,-,"-1,200",-,300,-,0,"13,400",0,"-13,400",-,-,"-6,000",-,-,-200,-,"3,100"
125,3/31/1992,"-32,100","-32,100","12,400","-4,500",-,-,"-4,500",-,-,"4,000","4,000",-,-,-,"-1,200","-1,200","4,500",-,-,-,-,-,-,"-47,300",-,-,"3,000","3,000","3,000","3,000",-,-,-,"-50,300","94,800","94,800",-,-,"128,600","-25,900","154,500",-,-,-,-,-,-800,-,-,-,-,-,"-33,000","-129,300","-129,300",-,"-62,600",-400,-,-400,"-62,200",-,-,300,-,-,-,"-1,200",-,"6,300",-,0,"-66,600","402,600","-336,000",-,-,-800,-,-,-400,-,"-32,900"
126,12/31/1991,"-14,700","-14,700","8,100",-,-,-,-,-,-,"6,500","6,500",-,-,-,"1,000","1,000","-26,300",-,-,-,-,-,-,"-4,000",-,-,"-1,800","-1,800","-1,800","-1,800",-,-,-,"-2,200","27,900","27,900",-,-,"43,900","-120,900","164,800",-,-,-,-,-,600,-,-,-,-,-,"-16,600","22,400","22,400",-,"10,600","4,900",-,"4,900","5,700",-,-,100,-,-,-,-900,-,"3,100",-,0,"35,700",0,"-35,700",-,-,-,-,-,"4,900",-,"-14,100"
