,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Defined Pension Benefit,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Other Payable,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
71,6/30/2005,"14,023,066","1,314,442","680,415",-,-,"680,415","634,027","634,027",-,-,-,-,-,"2,644,335","2,644,335",-,-,"9,174,737","9,300,984",-,-,-,-,"9,300,984","126,247",-,-,-,-,"609,766",-,-,-,-,-,-,-,-,-,-,-,-,"279,786","12,888,824","11,758,089","9,124,880","9,124,880","2,633,209",-,-,-,-,-,-,"621,708","621,708",-,"621,708","409,964","409,964",-,-,"99,063","1,134,242","1,134,242","10,435",-,"10,435","976,955","143,766","3,086",-,"1,544,206",-,"1,134,242",-,"1,134,242","2,165,914","1,134,242","1,031,672","351,257","10,434","10,434",-,-
72,3/31/2005,"13,592,675","1,241,819","599,358",-,-,"599,358","642,461","642,461",-,-,-,-,-,"2,187,374","2,187,374",-,-,"9,279,032","9,404,742",-,-,-,-,"9,404,742","125,710",-,-,-,-,"605,724",-,-,-,-,-,-,-,-,-,-,-,-,"278,726","12,490,107","11,629,382","9,068,339","9,068,339","2,561,043",-,-,-,-,-,-,"465,000","465,000",-,"465,000","285,312","285,312",-,-,"110,413","1,102,568","1,102,568","10,435",-,"10,435","949,749","143,766","-1,382",-,"1,387,880",-,"1,102,568",-,"1,102,568","1,852,880","1,102,568","750,312","150,954","10,434","10,434",-,-
73,12/31/2004,"13,258,740","1,063,426","679,683",-,-,"679,683","383,743","383,743",-,-,-,-,-,"2,125,524","2,125,524",-,-,"9,223,555","9,354,387",-,-,-,-,"9,354,387","130,832",-,-,-,-,"568,365",-,-,-,-,-,-,-,"114,672",-,-,-,-,"163,198","12,172,430","11,350,798","8,907,739","8,907,739","2,443,059",-,-,-,-,-,-,"447,686","447,686",-,"447,686","285,943","285,943",-,-,"88,003","1,086,310","1,086,310","10,435",-,"10,435","927,621","143,766","4,488",-,"1,372,253",-,"1,086,310",-,"971,638","1,819,939","971,638","733,629","53,946","10,434","10,434",-,-
74,9/30/2004,"13,019,099","1,135,025","666,482",-,-,"666,482","468,543","468,543",-,-,-,-,-,"2,027,837","2,027,837",-,-,"9,023,002","9,150,859",-,-,-,-,"9,150,859","127,857",-,-,-,-,"562,488",-,-,-,-,-,-,-,-,-,-,-,-,"270,747","11,951,085","11,124,996","8,682,181","8,682,181","2,442,815",-,-,-,-,-,-,"457,617","457,617",-,"457,617","286,437","286,437",-,-,"82,035","1,068,014","1,068,014","10,435",-,"10,435","905,718","143,766","8,095",-,"1,354,451",-,"1,068,014",-,"1,068,014","1,812,068","1,068,014","744,054","77,572","10,434","10,434",-,-
75,6/30/2004,"12,830,029","1,107,377","707,336",-,-,"707,336","400,041","400,041",-,-,-,-,-,"2,038,227","2,038,227",-,-,"8,862,738","8,988,095",-,-,-,-,"8,988,095","125,357",-,-,-,-,"553,870",-,-,-,-,-,-,-,-,-,-,-,-,"267,817","11,783,546","10,962,062","8,542,346","8,542,346","2,419,716",-,-,-,-,-,-,"437,403","437,403",-,"437,403","286,657","286,657",-,-,"97,424","1,046,483","1,046,483","10,435",-,"10,435","891,720","143,766",562,-,"1,333,140",-,"1,046,483",-,"1,046,483","1,770,543","1,046,483","724,060","16,724","10,434","10,434",-,-
76,3/31/2004,"12,706,955","1,261,870","639,658",-,-,"639,658","622,212","622,212",-,-,-,-,-,"2,150,738","2,150,738",-,-,"8,495,030","8,616,987",-,-,-,-,"8,616,987","121,957",-,-,-,-,"542,340",-,-,-,-,-,-,-,-,-,-,-,-,"256,977","11,659,872","10,795,536","8,570,139","8,570,139","2,225,397",-,-,-,-,-,-,"467,895","467,895",-,"467,895","289,118","289,118",-,-,"107,323","1,047,083","1,047,083","10,437",-,"10,437","878,931","143,766","13,949",-,"1,336,201",-,"1,047,083",-,"1,047,083","1,804,096","1,047,083","757,013","117,355","10,436","10,436",-,-
77,12/31/2003,"12,559,908","1,084,573","790,168",-,-,"790,168","294,405","294,405",-,-,-,-,-,"2,469,447","2,469,447",-,-,"8,207,241","8,326,598",-,-,-,-,"8,326,598","119,357",-,-,-,-,"539,616",-,-,-,-,-,-,-,-,-,-,-,-,"259,031","11,530,603","10,711,332","8,532,435","8,532,435","2,178,897",-,-,-,-,-,-,"430,191","430,191",-,"430,191","289,277","289,277",-,-,"99,803","1,029,305","1,029,305","10,437",-,"10,437","864,470","143,766","10,632",-,"1,318,582",-,"1,029,305",-,"1,029,305","1,748,773","1,029,305","719,468",-,"10,436","10,436",-,-
78,9/30/2003,"12,387,636","1,058,802","790,166",-,-,"790,166","268,636","268,636",-,-,-,-,-,"2,646,829","2,646,829",-,-,"7,908,755","8,026,502",-,-,-,-,"8,026,502","117,747",-,-,-,-,"534,339",-,-,-,-,-,-,-,-,-,-,-,-,"238,911","11,371,958","10,563,135","8,436,261","8,436,261","2,126,874",-,-,-,-,-,-,"472,631","472,631",-,"472,631","256,752","256,752",-,-,"79,440","1,015,678","1,015,678","10,437",-,"10,437","850,766","143,766","10,709",-,"1,272,430",-,"1,015,678",-,"1,015,678","1,745,061","1,015,678","729,383",-,"10,436","10,436",-,-
79,6/30/2003,"12,394,744","1,428,942","810,546",-,-,"810,546","618,396","618,396",-,-,-,-,-,"2,475,821","2,475,821",-,-,"7,741,838","7,857,220",-,-,-,-,"7,857,220","115,382",-,-,-,-,"519,096",-,-,-,-,-,-,-,-,-,-,-,-,"229,047","11,394,955","10,558,616","8,405,927","8,405,927","2,152,689",-,-,-,-,-,-,"499,564","499,564",-,"499,564","253,376","253,376",-,-,"83,399","999,789","999,789","10,437",-,"10,437","834,088","143,766","11,498",-,"1,253,165",-,"999,789",-,"999,789","1,752,729","999,789","752,940",-,"10,428","10,428",-,-
80,3/31/2003,"12,388,741","1,678,833","753,578",-,-,"753,578","925,255","925,255",-,-,-,-,-,"2,362,130","2,362,130",-,-,"7,591,110","7,704,492",-,-,-,-,"7,704,492","113,382",-,-,-,-,"509,733",-,-,-,-,-,-,-,-,-,-,-,-,"246,935","11,405,106","10,594,380","8,601,583","8,601,583","1,992,797",-,-,-,-,-,-,"438,427","438,427",-,"438,427","253,386","253,386",-,-,"118,913","983,635","983,635","10,470",-,"10,470","819,533","143,766","9,866",-,"1,237,021",-,"983,635",-,"983,635","1,675,448","983,635","691,813",-,"10,483","10,483",-,-
81,12/31/2002,"12,231,890","1,435,227","811,657",-,-,"811,657","623,570","623,570",-,-,-,-,-,"2,539,236","2,539,236",-,-,"7,507,730","7,620,263",-,-,-,-,"7,620,263","112,533",-,-,-,-,"507,267",-,-,-,-,-,-,-,-,-,-,-,-,"242,430","11,264,599","10,439,620","8,582,044","8,582,044","1,857,576",-,-,-,-,-,-,"462,627","462,627",-,"462,627","253,409","253,409",-,-,"108,943","967,291","967,291","10,472",-,"10,472","804,397","143,766","8,656",-,"1,220,700",-,"967,291",-,"967,291","1,683,327","967,291","716,036",-,"10,471","10,471",-,-
82,9/30/2002,"12,082,183","1,424,632","801,450",-,-,"801,450","623,182","623,182",-,-,-,-,-,"2,502,026","2,502,026",-,-,"7,410,257","7,521,834",-,-,-,-,"7,521,834","111,577",-,-,-,-,"502,966",-,-,-,-,-,-,-,-,-,-,-,-,"242,302","11,137,281","10,286,825","8,456,370","8,456,370","1,830,455",-,-,-,-,-,-,"498,988","498,988",-,"498,988","253,418","253,418",-,-,"98,050","944,902","944,902","10,475",-,"10,475","782,986","143,766","7,675",-,"1,198,320",-,"944,902",-,"944,902","1,697,308","944,902","752,406",-,"10,489","10,489",-,-
83,6/30/2002,"11,864,461","1,353,485","814,540",-,-,"814,540","538,945","538,945",-,-,-,-,-,"2,464,779","2,464,779",-,-,"7,324,190","7,434,662",-,-,-,-,"7,434,662","110,472",-,-,-,-,"489,811",-,-,-,-,-,-,-,-,-,-,-,-,"232,196","10,937,583","10,065,180","8,360,049","8,360,049","1,705,131",-,-,-,-,-,-,"506,982","506,982",-,"506,982","253,979","253,979",-,-,"111,442","926,878","926,878","10,480",-,"10,480","763,928","143,766","8,704",-,"1,180,857",-,"926,878",-,"926,878","1,687,839","926,878","760,961",-,"10,510","10,510",-,-
84,3/31/2002,"11,746,352","1,307,737","709,757",-,-,"709,757","597,980","597,980",-,-,-,-,-,"2,576,383","2,576,383",-,-,"7,139,396","7,248,088",-,-,-,-,"7,248,088","108,692",-,-,-,-,"481,981",-,-,-,-,-,-,-,-,-,-,-,-,"240,855","10,840,071","9,872,979","8,257,544","8,257,544","1,615,435",-,-,-,-,-,-,"558,003","558,003",-,"558,003","283,988","283,988",-,-,"125,101","906,281","906,281","10,480",-,"10,480","743,443","143,766","8,592",-,"1,190,269",-,"906,281",-,"906,281","1,748,272","906,281","841,991","132,234","10,481","10,481",-,-
85,12/31/2001,"11,864,991","1,260,896","758,987",-,-,"758,987","501,909","501,909",-,-,-,-,-,"2,791,296","2,791,296",-,-,"7,089,090","7,196,177",-,-,-,-,"7,196,177","107,087",-,-,-,-,"483,084",-,-,-,-,-,-,-,-,-,-,-,-,"240,625","10,979,948","9,961,605","8,311,504","8,311,504","1,650,101",-,-,-,-,-,-,"611,390","611,390",-,"611,390","284,009","284,009",-,-,"122,944","885,043","885,043","10,483",-,"10,483","723,122","143,766","7,672",-,"1,169,052",-,"885,043",-,"885,043","1,780,442","885,043","895,399","136,412","10,481","10,481",-,-
86,9/30/2001,"11,522,525","1,317,170","691,594",-,-,"691,594","625,576","625,576",-,-,-,-,-,"2,482,123","2,482,123",-,-,"7,003,809","7,109,584",-,-,-,-,"7,109,584","105,775",-,-,-,-,"477,218",-,-,-,-,-,-,-,-,-,-,-,-,"242,205","10,656,562","9,645,226","8,147,620","8,147,620","1,497,606",-,-,-,-,-,-,"676,351","676,351",-,"676,351","184,018","184,018",-,-,"150,967","865,963","865,963","10,491",-,"10,491","705,067","143,766","6,639",-,"1,049,981",-,"865,963",-,"865,963","1,726,332","865,963","860,369","168,775","10,503","10,503",-,-
87,6/30/2001,"11,289,166","1,645,756","709,362",-,-,"709,362","936,394","936,394",-,-,-,-,-,"1,987,085","1,987,085",-,-,"6,953,044","7,058,069",-,-,-,-,"7,058,069","105,025",-,-,-,-,"466,550",-,-,-,-,-,-,-,-,-,-,-,-,"236,731","10,439,869","9,480,108","7,975,426","7,975,426","1,504,682",-,-,-,-,-,-,"677,154","677,154",-,"677,154","154,829","154,829",-,-,"127,778","849,297","849,297","10,510",-,"10,510","688,624","143,766","6,397",-,"1,004,126",-,"849,297",-,"849,297","1,681,280","849,297","831,983","122,621","10,510","10,510",-,-
88,3/31/2001,"11,145,917","1,567,005","690,080",-,-,"690,080","876,925","876,925",-,-,-,-,-,"1,868,886","1,868,886",-,-,"7,020,710","7,124,535",-,-,-,-,"7,124,535","103,825",-,-,-,-,"453,793",-,-,-,-,-,-,-,-,-,-,-,-,"235,523","10,315,782","9,365,356","7,907,900","7,907,900","1,457,456",-,-,-,-,-,-,"668,209","668,209",-,"668,209","154,837","154,837",-,-,"127,380","830,135","830,135","10,513",-,"10,513","669,571","143,766","6,285",-,"984,972",-,"830,135",-,"830,135","1,653,181","830,135","823,046","132,966","10,513","10,513",-,-
89,12/31/2000,"10,691,617","1,187,312","755,930",-,-,"755,930","431,382","431,382",-,-,-,-,-,"1,816,720","1,816,720",-,-,"7,007,037","7,109,692",-,-,-,-,"7,109,692","102,655",-,-,-,-,"444,731",-,-,-,-,-,-,-,-,-,-,-,-,"235,817","9,880,889","8,971,868","7,597,988","7,597,988","1,373,880",-,-,-,-,-,-,"632,372","632,372",-,"632,372","154,332","154,332",-,-,"122,317","810,728","810,728","10,522",-,"10,522","650,148","143,766","6,292",-,"965,060",-,"810,728",-,"810,728","1,597,432","810,728","786,704","30,774","10,523","10,523",-,-
90,9/30/2000,"10,361,296","980,343","529,897",-,-,"529,897","450,446","450,446",-,-,-,-,-,"1,730,439","1,730,439",-,-,"6,996,208","7,097,773",-,-,-,-,"7,097,773","101,565",-,-,-,-,"427,245",-,-,-,-,-,-,-,-,-,-,-,-,"227,061","9,571,955","8,668,642","7,281,236","7,281,236","1,387,406",-,-,-,-,-,-,"632,318","632,318",-,"632,318","154,687","154,687",-,-,"116,308","789,341","789,341","10,533",-,"10,533","629,543","143,766","5,499",-,"944,028",-,"789,341",-,"789,341","1,576,346","789,341","787,005","257,108","10,534","10,534",-,-
91,6/30/2000,"9,943,877","2,053,441","528,498",-,-,"528,498","1,524,943","1,524,943",-,-,-,-,-,"339,755","339,755",-,-,"6,906,309","7,006,824",-,-,-,-,"7,006,824","100,515",-,-,-,-,"414,726",-,-,-,-,-,-,-,-,-,-,-,-,"229,646","9,184,892","8,366,364","6,910,124","6,910,124","1,456,240",-,-,-,-,-,-,"562,920","562,920",-,"562,920","153,761","153,761",-,-,"101,847","758,985","758,985","10,534",-,"10,534","598,871","143,766","5,814",-,"912,746",-,"758,985",-,"758,985","1,475,666","758,985","716,681","188,183","10,535","10,535",-,-
92,3/31/2000,"9,880,732","968,436","446,995",-,-,"446,995","521,441","521,441",-,-,-,-,-,"1,547,214","1,547,214",-,-,"6,728,505","6,828,095",-,-,-,-,"6,828,095","99,590",-,-,-,-,"406,731",-,-,-,-,-,-,-,-,-,-,-,-,"229,846","9,139,596","8,295,850","6,913,100","6,913,100","1,382,750",-,-,-,-,-,-,"587,087","587,087",-,"587,087","154,915","154,915",-,-,"101,744","741,136","741,136","10,567",-,"10,567","581,953","143,766","4,850",-,"896,051",-,"741,136",-,"741,136","1,483,138","741,136","742,002","295,007","10,567","10,567",-,-
93,12/31/1999,"9,717,100","1,065,000","591,600",-,-,"591,600","473,400","473,400",-,-,-,-,-,"1,371,900","1,371,900",-,-,"6,652,300","6,751,000",-,-,-,-,"6,751,000","98,700",-,-,-,-,"397,400",-,-,-,-,-,-,-,-,-,-,-,-,"230,500","8,988,300","8,173,600","6,830,200","6,830,200","1,343,400",-,-,-,-,-,-,"568,300","568,300",-,"568,300","155,700","155,700",-,-,"90,700","728,800","728,800","10,600",-,"10,600","567,800","143,800","6,600",-,"884,500",-,"728,800",-,"728,800","1,452,800","728,800","724,000","132,400","10,610","10,610",-,-
94,9/30/1999,"9,577,700","461,800","461,800",-,-,"461,800",-,-,-,-,-,-,-,"2,015,700","2,015,700",-,-,"6,476,800","6,574,800",-,-,-,-,"6,574,800","98,000",-,-,-,-,"387,000",-,-,-,-,-,-,-,-,-,-,-,-,"236,400","8,864,600","8,062,100","6,742,500","6,742,500","1,319,600",-,-,-,-,-,-,"554,900","554,900",-,"554,900","156,800","156,800",-,-,"90,800","713,100","713,100","10,600",-,"10,600","551,800","143,800","6,800",100,"869,900",-,"713,100",-,"713,100","1,424,800","713,100","711,700","249,900","10,626","10,626",-,-
95,6/30/1999,"9,628,500","748,800","453,600",-,-,"453,600","295,200","295,200",-,-,-,-,-,"1,975,500","1,975,500",-,-,"6,279,600","6,376,400",-,-,-,-,"6,376,400","96,800",-,-,-,-,"382,500",-,-,-,-,-,-,-,-,-,-,-,-,"242,100","8,935,900","8,170,400","6,847,400","6,847,400","1,323,000",-,-,-,-,-,-,"518,400","518,400",-,"518,400","156,900","156,900",-,-,"90,200","692,600","692,600",-,-,-,"531,400",-,"6,800","154,400","849,500",-,"692,600",-,"692,600","1,367,900","692,600","675,300","221,700","10,626","10,626",-,-
96,3/31/1999,"9,702,200","833,600","483,600",-,-,"483,600","350,000","350,000",-,-,-,-,-,"2,099,900","2,099,900",-,-,"6,148,500","6,244,800",-,-,-,-,"6,244,800","96,300",-,-,-,-,"374,100",-,-,-,-,-,-,-,-,-,-,-,-,"246,100","9,025,900","8,179,100","6,877,900","6,877,900","1,301,200",-,-,-,-,-,-,"584,800","584,800",-,"584,800","157,500","157,500",-,-,"104,500","676,300","676,300",-,-,-,"513,700",-,"8,200","154,400","833,800",-,"676,300",-,"676,300","1,418,600","676,300","742,300","258,700","10,626","10,626",-,-
97,12/31/1998,"9,605,800","735,700","503,000",-,-,"503,000","232,700","232,700",-,-,-,-,-,"2,160,300","2,160,300",-,-,"6,099,500","6,195,600",-,-,-,-,"6,195,600","96,100",-,-,-,-,"367,100",-,-,-,-,-,-,-,-,-,-,-,-,"243,200","8,945,100","8,112,400","6,815,700","6,815,700","1,296,700",-,-,-,-,-,-,"568,100","568,100",-,"568,100","158,800","158,800",-,-,"105,800","660,700","660,700",-,-,-,"497,300",-,"9,000","154,400","819,500",-,"660,700",-,"660,700","1,387,600","660,700","726,900","223,900","10,626","10,626",-,-
98,9/30/1998,"9,194,800","445,500","435,500",-,-,"435,500","10,000","10,000",-,-,-,-,-,"2,115,300","2,115,300",-,-,"6,038,300","6,132,400",-,-,-,-,"6,132,400","94,100",-,-,-,-,"327,200",-,-,-,-,-,-,-,-,-,-,-,-,"268,500","8,551,100","7,771,100","6,566,500","6,566,500","1,204,600",-,-,-,-,-,-,"534,900","534,900",-,"534,900","158,800","158,800",-,-,"86,300","643,700","643,700",-,-,-,"480,300",-,"9,000","154,400","802,500",-,"643,700",-,"643,700","1,337,400","643,700","693,700","258,200","10,625","10,625",-,-
99,6/30/1998,"9,224,800","485,900","485,900",-,-,"485,900",-,-,-,-,-,-,-,"2,348,800","2,348,800",-,-,"5,796,100","5,886,300",-,-,-,-,"5,886,300","90,200",-,-,-,-,"315,100",-,-,-,-,-,-,-,-,-,-,-,-,"278,900","8,596,100","7,798,900","6,585,300","6,585,300","1,213,600",-,-,-,-,-,-,"547,100","547,100",-,"547,100","159,500","159,500",-,-,"90,600","628,700","628,700",-,-,-,"464,800",-,"9,500","154,400","788,200",-,"628,700",-,"628,700","1,335,300","628,700","706,600","220,700","10,625","10,625",-,-
100,3/31/1998,"9,252,000","677,500","442,500",-,-,"442,500","235,000","235,000",-,-,-,-,-,"2,526,400","2,526,400",-,-,"5,476,800","5,562,800",-,-,-,-,"5,562,800","86,000",-,-,-,-,"305,000",-,-,-,-,-,-,-,-,-,-,-,-,"266,300","8,637,000","7,873,500","6,680,200","6,680,200","1,193,300",-,-,-,-,-,-,"486,600","486,600",-,"486,600","160,200","160,200",-,-,"116,700","615,000","615,000",-,-,-,"449,900",-,"10,700","154,400","775,200",-,"615,000",-,"615,000","1,261,800","615,000","646,800","204,300","10,627","10,627",-,-
101,12/31/1997,"8,951,100","588,600","506,800",-,-,"506,800","81,800","81,800",-,-,-,-,-,"2,483,300","2,483,300",-,-,"5,361,400","5,445,800",-,-,-,-,"5,445,800","84,400",-,-,-,-,"278,500",-,-,-,-,-,-,-,-,-,-,-,-,"239,300","8,349,500","7,579,600","6,448,100","6,448,100","1,131,500",-,-,-,-,-,-,"593,800","593,800",-,"593,800","10,900","10,900",-,-,"165,200","601,600","601,600",-,-,-,"437,800",-,"9,500","154,300","612,500",-,"601,600",-,"601,600","1,206,300","601,600","604,700","97,900","10,627","10,627",-,-
102,9/30/1997,"8,595,600","521,800","451,800",-,-,"451,800","70,000","70,000",-,-,-,-,-,"2,432,400","2,432,400",-,-,"5,124,800","5,208,200",-,-,-,-,"5,208,200","83,400",-,-,-,-,"264,100",-,-,-,-,-,-,-,-,-,-,-,-,"252,500","7,933,100","7,297,900","6,193,300","6,193,300","1,104,600",-,-,-,-,-,-,"539,400","539,400",-,"539,400","11,400","11,400",-,-,"84,400","662,500","662,500",-,-,-,"496,700",-,"10,700","155,100","673,900",-,"662,500",-,"662,500","1,213,300","662,500","550,800","99,000","11,390","11,390",-,-
103,6/30/1997,"8,352,000","662,300","463,100",-,-,"463,100","199,200","199,200",-,-,-,-,-,"2,271,300","2,271,300",-,-,"4,914,900","4,996,800",-,-,-,-,"4,996,800","81,900",-,-,-,-,"249,000",-,-,-,-,-,-,-,-,-,-,-,-,"254,500","7,707,800","7,127,300","6,001,600","6,001,600","1,125,700",-,-,-,-,-,-,"488,000","488,000",-,"488,000","12,200","12,200",-,-,"80,300","644,200","644,200",-,-,-,"480,700",-,"8,400","155,100","656,400",-,"644,200",-,"644,200","1,144,400","644,200","500,200","37,100","11,392","11,392",-,-
104,3/31/1997,"7,975,600","558,900","351,900",-,-,"351,900","207,000","207,000",-,-,-,-,-,"2,063,500","2,063,500",-,-,"4,873,700","4,955,200",-,-,-,-,"4,955,200","81,500",-,-,-,-,"236,500",-,-,-,-,-,-,-,-,-,-,-,-,"243,000","7,346,300","6,911,800","5,867,600","5,867,600","1,044,200",-,-,-,-,-,-,"343,400","343,400",-,"343,400","6,800","6,800",-,-,"84,300","629,300","629,300",-,-,-,"466,200",-,"7,900","155,200","636,100",-,"629,300",-,"629,300","979,500","629,300","350,200",-,"11,396","11,396",-,-
105,12/31/1996,"8,055,600","593,000","437,000",-,-,"437,000","156,000","156,000",-,-,-,-,-,"2,138,800","2,138,800",-,-,"4,849,100","4,930,500",-,-,-,-,"4,930,500","81,400",-,-,-,-,"229,500",-,-,-,-,-,-,-,-,-,-,-,-,"245,200","7,440,100","6,954,100","5,866,600","5,866,600","1,087,500",-,-,-,-,-,-,"392,000","392,000",-,"392,000","6,900","6,900",-,-,"87,100","615,500","615,500",-,-,-,"453,600",-,"6,700","155,200","622,400",-,"615,500",-,"615,500","1,014,400","615,500","398,900",-,"11,396","11,396",-,-
106,9/30/1996,"7,826,100","625,900","422,300",-,-,"422,300","203,600","203,600",-,-,-,-,-,"1,912,400","1,912,400",-,-,"4,833,600","4,914,800",-,-,-,-,"4,914,800","81,200",-,-,-,-,"222,100",-,-,-,-,-,-,-,-,-,-,-,-,"232,100","7,233,100","6,808,400","5,724,200","5,724,200","1,084,200",-,-,-,-,-,-,"332,400","332,400",-,"332,400","6,700","6,700",-,-,"85,600","593,000","593,000",-,-,-,"437,800",-,-,"155,200","599,700",-,"593,000",-,"593,000","932,100","593,000","339,100",-,"11,428","11,428",-,-
107,6/30/1996,"7,631,300","450,700","400,700",-,-,"400,700","50,000","50,000",-,-,-,-,-,"1,888,500","1,888,500",-,-,"4,840,700","4,921,700",-,-,-,-,"4,921,700","81,000",-,-,-,-,"217,600",-,-,-,-,-,-,-,-,-,-,-,-,"233,800","7,047,000","6,632,200","5,645,400","5,645,400","986,800",-,-,-,-,-,-,"338,500","338,500",-,"338,500","7,900","7,900",-,-,"68,400","584,300","584,300",-,-,-,"429,300",-,-,"155,000","592,200",-,"584,300",-,"584,300","930,700","584,300","346,400",-,"11,449","11,449",-,-
108,3/31/1996,"7,736,200","518,800","428,600",-,-,"428,600","90,200","90,200",-,-,-,-,-,"2,005,600","2,005,600",-,-,"4,756,600","4,837,000",-,-,-,-,"4,837,000","80,400",-,-,-,-,"213,800",-,-,-,-,-,-,-,-,-,-,-,-,"241,400","7,165,900","6,743,900","5,787,100","5,787,100","956,800",-,-,-,-,-,-,"326,800","326,800",-,"326,800","15,600","15,600",-,-,"79,600","570,300","570,300",-,-,-,"417,400",-,-,"152,900","585,900",-,"570,300",-,"570,300","912,700","570,300","342,400",-,"11,449","11,449",-,-
109,12/31/1995,"7,384,000","489,000","448,600",-,-,"448,600","40,400","40,400",-,-,-,-,-,"1,983,100","1,983,100",-,-,"4,502,200","4,580,700",-,-,-,-,"4,580,700","78,500",-,-,-,-,"208,200",-,-,-,-,-,-,-,-,-,-,-,-,"201,500","6,863,200","6,388,000","5,444,600","5,444,600","943,400",-,-,-,-,-,-,"376,500","376,500",-,"376,500","23,000","23,000",-,-,"75,700","520,800","520,800",-,-,-,"403,200",-,-,"117,600","543,800",-,"520,800",-,"520,800","920,300","520,800","399,500",-,-,-,-,-
110,9/30/1995,"7,168,800","561,300","483,600",-,-,"483,600","77,700","77,700",-,-,-,-,-,"1,744,200","1,744,200",-,-,"4,462,100","4,540,100",-,-,-,-,"4,540,100","78,000",-,-,-,-,"206,300",-,-,-,-,-,-,-,-,-,-,-,-,"194,900","6,662,900","6,228,000","5,282,100","5,282,100","945,900",-,-,-,-,-,-,"343,100","343,100",-,"343,100","23,600","23,600",-,-,"68,200","505,900","505,900",-,-,-,"389,400",-,-,"116,500","529,500",-,"505,900",-,"505,900","872,600","505,900","366,700",-,-,-,-,-
111,6/30/1995,"6,913,500","569,300","402,900",-,-,"402,900","166,400","166,400",-,-,-,-,-,"1,554,200","1,554,200",-,-,"4,403,300","4,480,200",-,-,-,-,"4,480,200","76,900",-,-,-,-,"203,700",-,-,-,-,-,-,-,-,-,-,-,-,"183,000","6,421,200","6,030,800","5,108,900","5,108,900","921,900",-,-,-,-,-,-,"311,200","311,200",-,"311,200","25,800","25,800",-,-,"53,400","492,300","492,300",-,-,-,"376,700",-,-,"115,600","518,100",-,"492,300",-,"492,300","829,300","492,300","337,000",-,-,-,-,-
112,3/31/1995,"6,532,100","566,800","370,400",-,-,"370,400","196,400","196,400",-,-,-,-,-,"1,323,700","1,323,700",-,-,"4,289,100","4,363,000",-,-,-,-,"4,363,000","73,900",-,-,-,-,"196,200",-,-,-,-,-,-,-,-,-,-,-,-,"156,300","6,055,100","5,723,600","4,863,800","4,863,800","859,800",-,-,-,-,-,-,"251,300","251,300",-,"251,300","26,400","26,400",-,-,"53,800","477,000","477,000",-,-,-,"366,300",-,-,"110,700","503,400",-,"477,000",-,"477,000","754,700","477,000","277,700",-,"11,405","11,405",-,-
113,12/31/1994,"6,333,300","462,500","455,700",-,-,"455,700","6,800","6,800",-,-,-,-,-,"1,459,000","1,459,000",-,-,"4,076,100","4,148,100",-,-,-,-,"4,148,100","72,000",-,-,-,-,"188,800",-,-,-,-,-,-,-,-,-,-,-,-,"146,900","5,883,900","5,517,600","4,659,100","4,659,100","858,500",-,-,-,-,-,-,"290,900","290,900",-,"290,900","34,500","34,500",-,-,"40,900","449,400","449,400",-,-,-,"356,600",-,-,"92,800","483,900",-,"449,400",-,"449,400","774,800","449,400","325,400",-,"10,188","10,188",-,-
