,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,Customer Acceptances,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Non Current Deferred Liabilities,Non Current Deferred Revenue,Preferred Securities Outside Stock Equity,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
24,3/31/2017,"337,536,000","110,782,000","85,006,000","5,366,000",-,"79,640,000",-,-,-,"25,776,000","25,776,000","469,000","129,000","4,806,000","121,773,000","4,912,000","1,027,000","40,254,000","75,580,000","1,113,000","2,945,000","60,704,000","60,868,000","16,231,000","16,023,000","5,534,000","60,868,000","164,000",-,"551,000","551,000",-,"2,788,000","1,396,000","1,307,000","20,904,000","17,355,000","3,549,000",-,"21,515,000","297,705,000","221,291,000","141,520,000","141,520,000","79,771,000","11,149,000","26,596,000","26,596,000","21,306,000","5,290,000","5,290,000","21,306,000",-,"2,543,000","2,543,000","2,543,000","1,022,000","2,816,000","2,404,000","27,368,000","27,368,000",-,-,-,"159,000",-,"5,942,000","39,831,000","39,138,000","3,555,000","3,542,000","13,000","23,300,000","26,248,000","10,441,000","-3,524,000",-,-,-,"693,000","66,506,000","3,542,000","35,596,000","18,234,000","65,507,000","14,692,000","29,911,000",-,"1,345,247","1,039,877","23,300","305,370"
25,12/31/2016,"333,469,000","103,750,000","77,949,000","4,822,000",-,"73,127,000",-,-,-,"25,801,000","25,801,000","466,000","340,000","4,789,000","121,691,000","6,712,000","252,000","40,905,000","73,822,000","1,106,000","4,264,000","64,289,000","64,458,000","17,306,000","15,654,000","5,508,000","64,458,000","169,000",-,"568,000","568,000",-,"2,884,000","1,274,000","1,303,000","20,914,000","17,316,000","3,598,000",-,"20,954,000","293,889,000","221,490,000","143,148,000","143,148,000","78,342,000","9,989,000","26,854,000","26,854,000","20,987,000","5,867,000","5,867,000","20,987,000",-,"754,000","754,000",-,"754,000","4,671,000","4,401,000","25,217,000","25,217,000",-,-,-,"151,000",-,"5,668,000","39,580,000","38,811,000","3,555,000","3,542,000","13,000","22,621,000","25,962,000","9,562,000","-3,765,000",-,-,-,"769,000","64,028,000","3,542,000","35,269,000","17,897,000","60,486,000","14,355,000","25,217,000",-,"1,333,706","1,047,488","23,300","286,218"
26,9/30/2016,"374,114,000","134,583,000","99,732,000","4,957,000",-,"94,775,000",-,-,-,"34,851,000","34,851,000",-,"249,000","4,770,000","125,347,000","6,213,000","136,000","40,728,000","78,270,000","3,516,000","4,186,000","65,849,000","65,997,000","17,411,000","15,128,000","5,641,000","65,997,000","148,000",-,"522,000","522,000",-,"2,623,000","1,248,000","1,338,000","21,120,000","17,449,000","3,671,000",-,"25,355,000","333,741,000","261,378,000","155,746,000","155,746,000","105,632,000","8,052,000","26,849,000","26,849,000","21,162,000","5,687,000","5,687,000","21,162,000",-,"993,000","993,000",-,"993,000","4,373,000","4,285,000","25,367,000","25,367,000",-,-,-,"178,000",-,"7,722,000","40,373,000","39,695,000","3,555,000","3,542,000","13,000","22,002,000","25,637,000","8,714,000","-2,785,000",-,-,-,"678,000","65,062,000","3,542,000","36,153,000","18,575,000","61,520,000","15,033,000","25,367,000",-,"1,325,168","1,057,337","23,300","267,831"
27,6/30/2016,"372,351,000","135,252,000","107,192,000","5,809,000",-,"101,383,000",-,-,-,"28,060,000","28,060,000",-,"205,000","4,742,000","125,831,000","8,107,000","124,000","41,053,000","76,547,000","3,553,000","6,774,000","64,355,000","64,513,000","16,867,000","14,536,000","5,500,000","64,513,000","158,000",-,"540,000","540,000",-,"2,854,000","1,264,000","1,399,000","21,239,000","17,501,000","3,738,000",-,"23,735,000","333,054,000","259,678,000","160,643,000","160,643,000","99,035,000","7,611,000","26,557,000","26,557,000","21,172,000","5,385,000","5,385,000","21,172,000",-,"1,098,000","1,098,000",-,"1,098,000","6,409,000","6,773,000","24,671,000","24,671,000",-,-,-,"172,000",-,"8,128,000","39,297,000","38,559,000","2,565,000","2,552,000","13,000","21,233,000","25,563,000","8,250,000","-2,552,000",-,-,-,"738,000","63,230,000","2,552,000","36,007,000","17,320,000","60,678,000","14,768,000","24,671,000",-,"1,323,941","1,067,674","23,300","256,267"
28,3/31/2016,"372,870,000","141,920,000","115,016,000","3,928,000",-,"111,088,000",-,-,-,"26,904,000","26,904,000",-,"234,000","4,722,000","125,837,000","7,712,000","114,000","41,717,000","76,294,000","3,328,000","5,303,000","61,499,000","61,661,000","15,234,000","13,975,000","5,388,000","61,661,000","162,000",-,"545,000","545,000",-,"3,136,000","1,285,000","1,377,000","21,385,000","17,604,000","3,781,000",-,"20,307,000","333,585,000","257,342,000","164,337,000","164,337,000","93,005,000","14,803,000","27,296,000","27,296,000","22,008,000","5,288,000","5,288,000","22,008,000",-,"828,000","828,000",-,"828,000","5,528,000","5,715,000","22,514,000","22,514,000",-,-,-,"169,000",-,"6,102,000","39,285,000","38,459,000","2,565,000","2,552,000","13,000","20,593,000","25,432,000","7,741,000","-2,390,000",-,-,-,"826,000","60,973,000","2,552,000","35,907,000","17,074,000","58,421,000","14,522,000","22,514,000",-,"1,320,884","1,077,083","23,300","243,801"
29,12/31/2015,"393,780,000","159,259,000","134,886,000","6,537,000",-,"128,349,000",-,-,-,"24,373,000","24,373,000",-,"258,000","4,704,000","127,948,000","8,596,000","173,000","43,312,000","75,867,000","3,329,000","4,685,000","63,546,000","63,703,000","18,241,000","13,347,000","5,000,000","63,703,000","157,000",-,"562,000","562,000",-,"3,396,000","1,191,000","1,379,000","21,460,000","17,618,000","3,842,000",-,"19,626,000","354,805,000","279,610,000","183,333,000","183,333,000","96,277,000","15,002,000","27,886,000","27,886,000","21,900,000","5,986,000","5,986,000","21,900,000",-,"523,000","523,000",-,"523,000","4,730,000","4,319,000","22,070,000","22,070,000",-,-,-,"200,000",-,"5,507,000","38,975,000","38,037,000","2,565,000","2,552,000","13,000","19,974,000","25,262,000","7,164,000","-2,600,000",-,-,-,"938,000","60,107,000","2,552,000","35,485,000","16,577,000","57,555,000","14,025,000","22,070,000",-,"1,312,941","1,085,343","23,300","227,598"
30,9/30/2015,"377,371,000","139,563,000","110,662,000","8,234,000",-,"102,428,000",-,-,-,"28,901,000","28,901,000",-,"298,000","4,666,000","129,047,000","8,732,000","210,000","43,423,000","76,682,000","3,037,000","790,000","63,128,000","63,309,000","18,094,000","12,663,000","4,802,000","63,309,000","181,000",-,"530,000","530,000",-,"3,258,000","1,123,000","1,361,000","21,593,000","17,679,000","3,914,000",-,"22,149,000","338,172,000","266,768,000","165,657,000","165,657,000","101,111,000","8,824,000","28,693,000","28,693,000","22,236,000","6,457,000","6,457,000","22,236,000",-,0,0,0,"648,000","5,828,000","4,874,000","22,078,000","22,078,000",-,-,-,"247,000",-,"5,981,000","39,199,000","38,170,000","2,565,000","2,552,000","13,000","19,525,000","25,168,000","6,733,000","-2,355,000",-,-,-,"1,029,000","60,248,000","2,552,000","35,618,000","16,577,000","57,696,000","14,025,000","22,078,000",-,"1,310,437","1,092,953","23,300","217,484"
31,6/30/2015,"396,525,000","155,870,000","131,940,000","8,354,000",-,"123,586,000",-,-,-,"23,930,000","23,930,000",-,"299,000","4,632,000","132,833,000","9,580,000","219,000","43,426,000","79,608,000","3,182,000","641,000","62,955,000","63,138,000","17,744,000","12,220,000","4,584,000","63,138,000","183,000",-,"574,000","574,000",-,"3,543,000","1,080,000","1,412,000","21,807,000","17,807,000","4,000,000",-,"21,074,000","357,101,000","285,701,000","170,891,000","170,891,000","114,810,000","10,020,000","28,572,000","28,572,000","22,050,000","6,522,000","6,522,000","22,050,000",-,0,0,0,"706,000","6,188,000","5,334,000","21,081,000","21,081,000",-,-,-,"244,000",-,"5,539,000","39,424,000","38,270,000","2,565,000","2,552,000","13,000","18,895,000","25,078,000","6,043,000","-2,225,000",-,-,-,"1,154,000","59,351,000","2,552,000","35,718,000","16,463,000","56,799,000","13,911,000","21,081,000",-,"1,308,181","1,106,518","23,300","201,663"
32,3/31/2015,"399,088,000","144,076,000","115,808,000","7,167,000",-,"108,641,000",-,-,-,"28,268,000","28,268,000",-,"304,000","4,618,000","146,884,000","17,357,000","573,000","41,237,000","87,717,000","3,170,000","6,676,000","62,136,000","62,326,000","16,638,000","11,649,000","4,243,000","62,326,000","190,000",-,"557,000","557,000",-,"3,611,000","1,050,000","1,410,000","21,710,000","17,663,000","4,047,000",-,"22,315,000","360,208,000","281,259,000","169,637,000","169,637,000","111,622,000","7,919,000","28,217,000","28,217,000","21,959,000","6,258,000","6,258,000","21,959,000",-,0,0,0,"869,000","13,926,000","7,307,000","21,270,000","21,270,000",-,-,-,"215,000",-,"7,617,000","38,880,000","37,328,000","1,575,000","1,562,000","13,000","18,257,000","24,887,000","5,209,000","-2,182,000",-,-,-,"1,552,000","58,598,000","1,562,000","35,766,000","15,618,000","57,036,000","14,056,000","21,270,000",-,"1,303,799","1,121,512","23,300","182,288"
33,12/31/2014,"385,303,000","143,449,000","123,147,000","6,970,000",-,"116,177,000",-,-,-,"20,302,000","20,302,000",-,"247,000","4,598,000","138,426,000","18,559,000","604,000","20,933,000","98,330,000","3,287,000","6,311,000","58,941,000","59,132,000","14,961,000","11,184,000","3,752,000","59,132,000","191,000",-,"607,000","607,000",-,"4,313,000","1,159,000","1,394,000","21,996,000","17,869,000","4,127,000",-,"20,490,000","346,002,000","265,869,000","161,629,000","161,629,000","104,240,000","11,469,000","27,486,000","27,486,000","21,181,000","6,305,000","6,305,000","21,181,000",-,0,0,0,"786,000","15,094,000","7,220,000","21,050,000","21,050,000","89,000",-,-,"229,000",-,"5,034,000","39,301,000","38,039,000","1,575,000","1,562,000","13,000","18,281,000","24,626,000","4,809,000","-1,634,000",-,-,-,"1,262,000","59,089,000","1,562,000","36,477,000","16,043,000","57,527,000","14,481,000","21,050,000",-,"1,290,223","1,118,228","23,300","171,995"
34,9/30/2014,"386,296,000","146,443,000","129,068,000","6,410,000",-,"122,658,000",-,-,-,"17,375,000","17,375,000",-,"54,000","4,558,000","136,871,000","20,436,000","739,000","20,137,000","95,559,000","2,792,000","777,000","57,336,000","57,527,000","16,132,000","10,825,000","3,665,000","57,527,000","191,000",-,"565,000","565,000",-,"3,688,000","1,700,000","1,351,000","22,207,000","17,992,000","4,215,000",-,"21,523,000","346,698,000","264,896,000","163,791,000","163,791,000","101,105,000","9,687,000","26,637,000","26,637,000","20,155,000","6,482,000","6,482,000","20,155,000",-,0,0,0,"852,000","15,864,000",-,"22,435,000","22,435,000",-,-,-,"246,000",-,"7,179,000","39,598,000","38,451,000","1,575,000","1,562,000","13,000","17,670,000","24,499,000","4,377,000","-916,000",-,-,-,"1,147,000","60,886,000","1,562,000","36,889,000","16,244,000","59,324,000","14,682,000","22,435,000",-,"1,286,671","1,125,710","23,300","160,961"
35,6/30/2014,"400,740,000","168,351,000","153,289,000","6,173,000",-,"147,116,000",-,-,-,"15,062,000","15,062,000",-,"143,000","4,529,000","126,074,000","20,258,000","1,026,000","19,102,000","85,688,000","3,350,000","769,000","59,061,000","59,248,000","16,778,000","10,403,000","3,535,000","59,248,000","187,000",-,"624,000","624,000",-,"4,282,000","1,724,000","1,590,000","22,510,000","18,196,000","4,314,000",-,"22,530,000","361,266,000","282,439,000","172,869,000","172,869,000","109,570,000","10,301,000","23,675,000","23,675,000","17,242,000","6,433,000","6,433,000","17,242,000",-,"27,000","27,000","27,000","1,458,000","15,967,000",-,"21,785,000","21,785,000",-,-,-,"239,000",-,"7,072,000","39,474,000","38,326,000","1,575,000","1,562,000","13,000","16,796,000","24,303,000","3,946,000","-402,000",-,-,-,"1,148,000","60,111,000","1,562,000","36,764,000","15,816,000","58,576,000","14,254,000","21,812,000",-,"1,281,585","1,131,596","23,300","149,989"
36,3/31/2014,"368,241,000","143,712,000","131,489,000","6,092,000",-,"125,397,000",-,-,-,"12,223,000","12,223,000",-,"244,000","4,509,000","121,725,000","21,092,000","1,191,000","19,226,000","80,216,000","3,238,000","1,000,000","53,838,000","54,036,000","15,535,000","10,004,000","3,491,000","54,036,000","198,000",-,"533,000","533,000",-,"4,479,000","1,765,000","1,613,000","22,480,000","18,100,000","4,380,000",-,"24,340,000","329,272,000","252,227,000","163,176,000","163,176,000","89,051,000","9,935,000","23,093,000","23,093,000","16,822,000","6,271,000","6,271,000","16,822,000",-,"27,000","27,000","27,000","1,305,000","16,542,000",-,"21,921,000","21,921,000",-,-,-,"212,000",-,"5,527,000","38,969,000","37,986,000","1,575,000","1,562,000","13,000","16,439,000","24,176,000","3,515,000","-689,000",-,-,-,"983,000","59,907,000","1,562,000","36,424,000","15,506,000","58,372,000","13,944,000","21,948,000",-,"1,277,740","1,140,373","23,300","137,367"
37,12/31/2013,"374,310,000","155,280,000","146,119,000","6,460,000",-,"139,659,000",-,-,-,"9,161,000","9,161,000",-,"379,000","4,482,000","122,422,000","22,495,000","875,000","19,743,000","79,309,000","2,996,000","4,482,000","51,447,000","51,657,000","16,006,000","9,818,000","3,395,000","51,657,000","210,000",-,"621,000","621,000",-,"4,784,000","1,660,000","1,655,000","22,525,000","18,073,000","4,452,000",-,"20,360,000","335,776,000","261,129,000","165,654,000","165,654,000","95,475,000","9,648,000","22,692,000","22,692,000","15,707,000","6,985,000","6,985,000","15,707,000",-,"96,000","96,000","96,000","663,000","17,030,000","5,833,000","20,527,000","20,527,000","134,000",-,-,"230,000",-,"4,654,000","38,534,000","37,521,000","1,575,000","1,562,000","13,000","15,976,000","24,002,000","3,140,000","-892,000",-,-,-,"1,013,000","58,048,000","1,562,000","35,959,000","14,996,000","56,582,000","13,434,000","20,623,000",-,"1,268,036","1,142,250","23,300","125,786"
38,9/30/2013,"371,952,000","153,404,000","144,213,000","7,304,000",-,"136,909,000",-,-,-,"9,191,000","9,191,000",-,"211,000","4,424,000","121,249,000","22,826,000","966,000","20,358,000","77,099,000","3,021,000","1,187,000","49,932,000","50,138,000","14,319,000","9,444,000","3,420,000","50,138,000","206,000",-,"545,000","545,000",-,"4,631,000","908,000","1,569,000","22,552,000","18,025,000","4,527,000",-,"22,701,000","333,969,000","255,560,000","168,257,000","168,257,000","87,303,000","9,737,000","21,760,000","21,760,000","15,293,000","6,467,000","6,467,000","15,293,000",-,"1,851,000","1,851,000","1,851,000","844,000","19,402,000",-,"19,733,000","19,733,000",-,-,-,"203,000",-,"5,926,000","37,983,000","36,959,000","1,575,000","1,562,000","13,000","15,639,000","23,903,000","2,819,000","-1,339,000",-,-,-,"1,024,000","56,692,000","1,562,000","35,397,000","14,407,000","56,981,000","12,845,000","21,584,000",-,"1,264,234","1,148,522","23,300","115,713"
39,6/30/2013,"359,822,000","136,213,000","126,235,000","6,940,000",-,"119,295,000",-,-,-,"9,978,000","9,978,000",-,"320,000","4,397,000","127,062,000","21,002,000","705,000","13,785,000","91,570,000","2,958,000","1,234,000","50,095,000","50,307,000","14,583,000","9,264,000","3,598,000","50,307,000","212,000",-,"614,000","614,000",-,"5,231,000","954,000","1,595,000","22,507,000","17,919,000","4,588,000",-,"21,736,000","322,891,000","244,882,000","161,934,000","161,934,000","82,948,000","12,600,000","22,607,000","22,607,000","15,267,000","7,340,000","7,340,000","15,267,000",-,"111,000","111,000","111,000","1,060,000","17,441,000",-,"19,541,000","19,541,000",-,-,-,"189,000",-,"5,709,000","36,931,000","35,882,000","1,575,000","1,562,000","13,000","14,859,000","23,796,000","2,697,000","-1,651,000",-,-,-,"1,049,000","55,423,000","1,562,000","34,320,000","13,375,000","53,972,000","11,813,000","19,652,000",-,"1,262,295","1,150,477","23,300","111,818"
40,3/31/2013,"355,942,000","130,457,000","123,453,000","4,440,000",-,"119,013,000",-,-,-,"7,004,000","7,004,000",-,"421,000","4,376,000","130,017,000","22,625,000","836,000","11,678,000","94,878,000","2,784,000","1,135,000","48,987,000","49,224,000","15,264,000","8,991,000","3,444,000","49,224,000","237,000",-,"537,000","537,000",-,"5,369,000","1,011,000","1,624,000","22,616,000","17,920,000","4,696,000",-,"21,704,000","319,268,000","239,672,000","158,757,000","158,757,000","80,915,000","8,602,000","22,562,000","22,562,000","14,986,000","7,576,000","7,576,000","14,986,000",-,"78,000","78,000","78,000","789,000","18,675,000",-,"20,643,000","20,643,000",-,-,-,"178,000",-,"9,036,000","36,674,000","35,690,000","1,081,000","1,068,000","13,000","14,202,000","23,688,000","2,366,000","-915,000",-,-,-,"984,000","56,333,000","1,068,000","34,622,000","13,074,000","55,343,000","12,006,000","20,721,000",-,"1,260,549","1,160,647","23,300","99,902"
41,12/31/2012,"358,990,000","145,340,000","138,747,000","4,727,000",-,"134,020,000",-,-,-,"6,593,000","6,593,000",-,"376,000","4,360,000","117,381,000","16,037,000","520,000","8,205,000","92,619,000","2,664,000","5,291,000","44,009,000","44,275,000","12,705,000","8,864,000","3,372,000","19,334,000","266,000",-,"10,301,000","4,848,000",-,"5,453,000","927,000","1,659,000","24,001,000","18,075,000","5,926,000",-,"2,681,000","321,548,000","246,095,000","153,076,000","153,076,000","93,019,000","7,427,000","23,411,000","23,411,000","16,095,000","7,316,000","7,316,000","16,095,000",-,"338,000","338,000","338,000","1,501,000","11,932,000","6,396,000","19,910,000","19,910,000","121,000",-,-,"178,000",-,"5,918,000","37,442,000","36,431,000","1,081,000","1,068,000","13,000","14,622,000","23,485,000","2,114,000","-643,000",-,-,-,"1,011,000","56,341,000","1,068,000","35,363,000","12,430,000","55,611,000","11,362,000","20,248,000",-,"1,254,182","1,163,490","23,300","90,692"
42,9/30/2012,"339,944,000","124,440,000","118,687,000","4,991,000",-,"113,696,000",-,-,-,"5,753,000","5,753,000",-,-,-,"124,409,000","20,011,000","548,000","8,702,000","95,148,000",-,-,"45,550,000","45,889,000","5,347,000","30,626,000","9,916,000","45,889,000","339,000",-,"545,000","545,000","545,000",-,-,"1,690,000","22,866,000","17,984,000","4,882,000",-,"20,444,000","302,805,000","222,949,000","144,159,000","144,159,000","78,790,000","12,450,000","20,265,000","20,265,000","13,675,000","6,590,000","6,590,000","13,675,000","6,590,000","1,278,000","1,278,000","1,278,000","1,139,000","17,772,000",-,"20,655,000","20,655,000",-,-,-,"140,000",-,"7,436,000","37,139,000","36,218,000","1,049,000","1,036,000","13,000","14,153,000","23,429,000","1,942,000","-471,000",-,-,-,"921,000","56,873,000","1,036,000","35,182,000","13,352,000","57,115,000","12,316,000","21,933,000",-,"1,252,278","1,168,607","22,000","83,671"
43,6/30/2012,"330,283,000","129,051,000","120,508,000",-,-,"120,508,000",-,-,-,"8,543,000","8,543,000",-,-,-,"110,642,000","17,308,000","84,540,000","8,794,000",-,-,-,"45,069,000","45,431,000","10,345,000","27,170,000","7,916,000","45,431,000","362,000",-,"628,000","628,000","628,000",-,-,"1,711,000","22,871,000","17,909,000","4,962,000",-,"20,311,000","294,898,000","221,144,000","144,211,000","144,211,000","76,933,000","9,162,000","19,274,000","13,305,000","13,305,000",-,-,-,"5,969,000","1,564,000","1,564,000","1,564,000",-,"16,692,000",-,"20,910,000","20,910,000",-,-,-,-,-,"6,152,000","35,385,000","34,533,000","512,000","500,000","12,000","13,588,000","23,366,000","1,653,000","-1,280,000",-,-,-,"852,000","55,443,000","500,000","34,033,000","11,662,000","56,507,000","11,162,000","22,474,000",-,"1,251,527","1,181,298",5.001,"70,229"
44,3/31/2012,"300,169,000","106,654,000","101,217,000",-,-,"101,217,000",-,-,-,"5,437,000","5,437,000",-,-,-,"105,522,000","17,329,000","83,374,000","4,819,000",-,-,-,"42,642,000","43,028,000","16,154,000","18,713,000","7,312,000","43,028,000","386,000",-,"599,000","599,000","599,000",-,-,"1,715,000","23,074,000","18,002,000","5,072,000",-,"19,963,000","265,340,000","192,462,000","127,435,000","127,435,000","65,027,000","8,285,000","18,778,000","12,959,000","12,959,000",-,-,-,"5,819,000","1,070,000","1,070,000","1,070,000",-,"16,926,000",-,"22,398,000","22,398,000",-,-,-,-,-,"5,421,000","34,829,000","34,000,000","12,000",-,"12,000","13,277,000","23,304,000","1,364,000","-1,229,000",-,-,-,"829,000","56,398,000",-,"34,000,000","10,926,000","57,468,000","10,926,000","23,468,000",-,"1,250,564","1,192,716",-,"57,848"
45,12/31/2011,"325,266,000","135,249,000","130,739,000","4,175,000",-,"130,739,000",-,-,-,"4,510,000","4,510,000",-,"321,000","4,216,000","100,600,000","18,612,000","78,467,000","3,521,000","78,467,000","2,677,000","7,258,000","43,585,000","43,979,000","12,424,000","7,342,000","3,372,000","43,979,000","394,000",-,"660,000","660,000","660,000","5,116,000","928,000","1,681,000","23,056,000","17,904,000","5,152,000",0,"20,435,000","291,065,000","219,094,000","123,759,000","123,759,000","95,335,000","6,267,000","18,906,000","12,671,000","12,671,000","6,235,000","6,235,000",-,"6,235,000","10,000","10,000","10,000","2,277,000","18,124,000","7,116,000","22,107,000","22,107,000","103,000",-,-,"114,000",-,"6,557,000","34,201,000","33,417,000","12,000",-,"12,000","12,812,000","23,185,000","965,000","-1,627,000",-,-,-,"784,000","55,524,000",-,"33,417,000","10,361,000","55,534,000","10,361,000","22,117,000",-,"1,249,061","1,209,675",-,"39,387"
46,9/30/2011,"322,187,000","132,088,000","127,446,000",-,-,"127,446,000",-,-,-,"4,642,000","4,642,000",-,-,-,"97,629,000","21,044,000","72,572,000","4,013,000",-,-,-,"44,920,000","45,312,000","15,504,000","20,827,000","8,981,000",-,"392,000",-,"645,000","645,000","645,000",-,-,"1,705,000","23,425,000","18,045,000","5,380,000",0,"21,775,000","287,658,000","210,890,000","129,069,000","129,069,000","81,821,000","6,768,000","19,421,000","19,421,000","13,097,000","6,324,000","6,324,000",-,-,"44,000","44,000","44,000",-,"18,586,000",-,"23,960,000","23,960,000",-,-,-,-,-,"7,989,000","34,529,000","33,695,000","12,000",-,"12,000","12,464,000","23,117,000","894,000","-1,004,000",-,-,-,"834,000","57,655,000",-,"33,695,000","10,270,000","57,699,000","10,270,000","24,004,000",-,"1,248,379","1,212,632",-,"35,747"
47,6/30/2011,"304,706,000","127,319,000","122,270,000",-,-,"122,270,000",-,-,-,"5,049,000","5,049,000",-,-,-,"87,989,000","19,432,000","64,475,000","4,082,000",-,-,-,"41,706,000","42,147,000","13,293,000","22,036,000","6,818,000","42,147,000","441,000",-,"628,000","628,000","628,000",-,-,"1,729,000","23,705,000","18,191,000","5,514,000",0,"21,630,000","269,983,000","197,953,000","129,311,000","129,311,000","68,642,000","7,572,000","17,565,000","11,512,000","11,512,000","6,053,000","6,053,000",-,"6,053,000","36,000","36,000","36,000",-,"18,963,000",-,"19,341,000","19,341,000",-,-,-,-,-,"8,553,000","34,723,000","33,851,000","12,000",-,"12,000","11,977,000","23,038,000","425,000","-751,000",-,-,-,"872,000","53,192,000",-,"33,851,000","10,146,000","53,228,000","10,146,000","19,377,000",-,"1,247,744","1,232,691",-,"15,053"
48,3/31/2011,"266,444,000","92,209,000","87,453,000",-,-,"87,453,000",-,-,-,"4,756,000","4,756,000",-,-,-,"88,153,000","21,845,000","62,751,000","3,557,000",-,-,-,"39,545,000","40,012,000","3,093,000","29,550,000","7,369,000",-,"467,000",-,"546,000","546,000","546,000",-,-,"1,662,000","23,773,000","18,156,000","5,617,000",0,"20,556,000","232,304,000","162,496,000","122,391,000","122,391,000","40,105,000","5,435,000","16,240,000","16,240,000","10,550,000","5,690,000","5,690,000",-,-,"13,000","13,000","13,000",-,"21,249,000",-,"18,376,000","18,376,000",-,-,-,-,-,"8,495,000","34,140,000","33,258,000","12,000",-,"12,000","11,405,000","22,996,000","152,000","-1,003,000",-,-,-,"882,000","51,634,000",-,"33,258,000","9,485,000","51,647,000","9,485,000","18,389,000",-,"1,246,960","1,241,724",-,"5,236"
49,12/31/2010,"247,259,000","77,593,000","72,424,000","3,675,000",-,"68,749,000",-,-,-,"5,169,000","5,169,000",-,"424,000","4,071,000","87,349,000","20,397,000","645,000","3,655,000","62,652,000","2,818,000","4,645,000","37,310,000","37,808,000","10,851,000","6,506,000","3,671,000","37,808,000","498,000",-,"508,000","508,000","508,000","5,976,000","1,566,000","1,693,000","23,738,000","18,042,000","5,696,000","278,000","18,790,000","214,102,000","145,339,000","106,636,000","106,636,000","38,703,000","5,602,000","16,126,000","16,126,000","9,962,000","6,164,000","6,164,000",-,-,"10,000","10,000","10,000","2,858,000","20,472,000","5,185,000","19,375,000","19,375,000","73,000",-,-,"92,000",0,"7,178,000","33,157,000","32,354,000","12,000",-,"12,000","10,898,000","22,885,000","86,000","-1,355,000",-,-,-,"803,000","51,729,000",-,"32,354,000","8,616,000","51,739,000","8,616,000","19,385,000",-,"1,244,609","1,241,530",-,"3,079"
50,9/30/2010,"254,157,000","84,486,000","79,751,000",-,-,"79,751,000",-,-,-,"4,735,000","4,735,000",-,-,-,"86,109,000","24,009,000","58,238,000","3,862,000",-,-,-,"37,333,000","37,867,000",-,-,-,"37,867,000","534,000",-,"580,000","580,000","580,000",-,-,"1,677,000","23,891,000","18,073,000","5,818,000","310,000","19,771,000","221,307,000","148,981,000","111,734,000","111,734,000","37,247,000","3,301,000","16,435,000","10,895,000",-,-,-,-,"5,540,000","9,000","9,000","9,000",-,"23,499,000",-,"18,940,000","18,940,000",-,-,-,-,0,"10,142,000","32,850,000","32,153,000","12,000",-,"12,000","10,386,000","22,808,000","84,000","-969,000",-,-,-,"697,000","51,093,000",-,"32,153,000","8,262,000","51,102,000","8,262,000","18,949,000",-,"1,243,449","1,240,454",-,"2,994"
