,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
119,9/30/1993,"711,000","376,000","628,000","509,000","509,000","88,000","6,000","25,000",-,"252,000","170,000","23,000","31,000","28,000",-,"335,000",-,"268,000","268,000",-,"110,000","158,000",-,-,-,-,"12,000","12,000",-,"55,000","-55,000","405,000","69,000",-,-,-,"202,000","202,000","202,000",-,-,-,-,-,-,-,"134,000",-,-,-,-,-,"251,000","100,000","145,000","151,000","151,000","151,000",-,-,-,"6,000","145,000",0.20,0.19,"725,000","763,158",-,"321,000","151,000","151,000","31,000","57,000","151,000",-,-,0,0
120,6/30/1993,"655,000","329,000","561,000","461,000","461,000","70,000","6,000","24,000",-,"232,000","158,000","19,000","28,000","27,000",-,"326,000",-,"253,000","253,000",-,"107,000","146,000",-,-,-,-,"13,000","13,000",-,"60,000","-75,000","369,000","60,000",-,-,-,"183,000","183,000","183,000",-,-,-,-,-,-,-,"126,000",-,-,-,-,-,"211,000","81,000","123,000","130,000","130,000","130,000",-,-,-,"7,000","123,000",0.19,0.18,"647,368","683,333",-,"254,000","130,000","130,000","30,000","39,000","130,000",-,-,0,0
121,3/31/1993,"641,000","321,000","561,000","464,000","464,000","63,000","8,000","26,000",-,"240,000","168,000","22,000","29,000","21,000",-,"320,000",-,"251,000","251,000",-,"107,000","144,000",-,-,-,-,"26,000","26,000",-,"43,000","-90,000","352,000","59,000",-,-,-,"183,000","183,000","183,000",-,-,-,-,-,-,-,"110,000",-,-,-,-,-,"199,000","74,000","117,000","125,000","125,000","125,000",-,-,-,"8,000","117,000",0.19,0.18,"615,789","650,000",-,"231,000","125,000","125,000","34,000","42,000","125,000",-,-,0,0
122,12/31/1992,"605,000","327,000","596,000","472,000","472,000","87,000","19,000","18,000",-,"269,000","191,000","26,000","26,000","26,000",-,"278,000",-,"248,000","248,000",-,"98,000","150,000",-,-,-,-,"-14,000","-14,000",-,"44,000","-93,000","353,000","60,000",-,-,-,"176,000","176,000","176,000",-,-,-,-,-,-,-,"117,000",-,-,-,-,-,"159,000","54,000","97,000","105,000","105,000","105,000",-,-,-,"8,000","97,000",-,-,-,-,-,"234,000","105,000","105,000","37,000","46,000","105,000",-,-,0,0
123,9/30/1992,"604,000","307,000","603,000","467,000","467,000","94,000","22,000","20,000",-,"296,000","213,000","27,000","26,000","30,000",-,"297,000",-,"242,000","242,000",-,"98,000","144,000",-,-,-,-,"27,000","27,000",-,"28,000","-95,000","361,000","59,000",-,-,-,"168,000","168,000","168,000",-,-,-,-,-,-,-,"134,000",-,-,-,-,-,"148,000","50,000","98,000","98,000","98,000","98,000",-,-,-,-,"98,000",0.14,0.14,"700,000","700,000",-,"212,000","98,000","98,000","42,000","42,000","98,000",-,-,0,0
124,6/30/1992,"564,000","292,000","612,000","491,000","491,000","84,000","19,000","18,000",-,"320,000","244,000","20,000","20,000","36,000",-,"272,000",-,"231,000","231,000",-,"95,000","136,000",-,-,-,-,"14,000","14,000",-,"27,000","-106,000","326,000","58,000",-,-,-,"163,000","163,000","163,000",-,-,-,-,-,-,-,"105,000",-,-,-,-,-,"132,000","45,000","87,000","87,000","87,000","87,000",-,-,-,-,"87,000",0.14,0.14,"621,429","621,429",-,"186,000","87,000","87,000","37,000","41,000","87,000",-,-,0,0
125,3/31/1992,"585,000","299,000","640,000","513,000","513,000","88,000","17,000","22,000",-,"341,000","266,000","12,000","21,000","42,000",-,"286,000",-,"223,000","223,000",-,"95,000","128,000",-,-,-,-,"15,000","15,000",-,"48,000","-133,000","331,000","59,000",-,-,-,"161,000","161,000","161,000",-,-,-,-,-,-,-,"111,000",-,-,-,-,-,"121,000","41,000","72,000","80,000","80,000","80,000",-,-,-,"8,000","72,000",0.13,0.13,"553,846","553,846",-,"166,000","80,000","80,000","39,000","36,000","80,000",-,-,0,0
126,12/31/1991,"575,800","280,700","692,100","563,700","563,700","82,800","18,100","27,500",-,"411,400","329,400","16,500","21,200","44,300",-,"295,100",-,"223,900","223,900","137,400","86,500",-,-,-,-,-,"37,400","37,400",-,"33,800","-134,700","333,500","64,600",-,-,-,"145,600","145,600","145,600",-,-,-,-,-,-,-,"123,300",-,-,-,-,-,"107,600","41,700","65,900","65,900","65,900","65,900",-,-,-,-,"65,900",-,-,-,-,-,"146,000","65,900","65,900","45,600","40,300","65,900",-,-,0,0
127,9/30/1991,"567,700","297,300","761,800","637,900","637,900","75,400","17,200","31,200",100,"464,500","390,200","19,700","18,900","35,800",-100,"270,400",-,"207,700","207,700","120,400","87,300",-,-,-,-,-,"26,600","26,600",-,"36,100","-141,000","333,100","63,900",-,-,-,"146,300","146,300","146,300",-,-,-,-,-,-,-,"122,900",-,-,-,-,-,"93,600","34,800","58,800","58,800","58,800","58,800",-,-,-,-,"58,800",0.09,0.09,"653,333","653,333",-,"156,300","58,800","58,800","48,400","39,900","58,800",-,-,0,0
128,6/30/1991,"531,300","289,000","793,600","675,100","675,100","62,900","19,100","36,600",-100,"504,600","427,100","25,300","16,500","35,700",-,"242,300",-,"208,200","208,200","120,900","87,300",-,-,-,-,-,"1,100","1,100",-,"33,000","-127,100","308,900","62,500",-,-,-,"148,300","148,300","148,300",-,-,-,-,-,-,-,"98,100",-,-,-,-,-,"95,300","34,700","60,600","60,600","60,600","60,600",-,-,-,-,"60,600",0.10,0.10,"606,000","606,000",-,"161,900","60,600","60,600","55,700","37,800","60,600",-,-,0,0
129,3/31/1991,"559,100","331,000","940,600","803,400","803,400","69,800","32,600","34,700",100,"609,600","504,300","32,500","18,500","54,300",-,"228,100",-,"193,300","193,300","104,300","89,000",-,-,-,-,-,"14,900","14,900",-,"19,900","-343,200","335,400","63,100",-,-,-,"153,700","153,700","153,700",-,-,-,-,-,-,-,"118,600",-,-,-,-,-,"-119,500","-56,200","-63,300","-63,300","-63,300","-63,300",-,-,-,-,"-63,300",-0.13,-0.13,"486,923","486,923",-,"-12,200","-63,300","-63,300","67,300","37,000","-63,300",-,-,0,0
130,12/31/1990,"566,600","327,300","1,062,000","903,500","903,500","72,900","42,800","42,700",-,"734,700","601,900","35,400","19,000","78,400",0,"239,300",-,"169,200","169,200","101,500","67,700",-,-,-,-,-,"17,500","17,500",-,"52,600","-153,000","350,800","69,900",-,-,-,"158,300","158,300","158,300",-,-,-,-,-,-,-,"122,600",-,-,-,-,-,"62,800","-2,200","65,000","65,000","65,000","65,000",-,-,-,-,"65,000",-,-,-,-,-,"174,300","65,000","65,000","85,500","37,300","65,000",-,-,0,0
131,9/30/1990,"551,700","330,900","1,125,800","961,400","961,400","83,500","37,900","43,000",-,"794,900","583,300","41,900","19,200","150,600",-100,"220,800",-,"198,900","198,900","110,200","88,700",-,-,-,-,-,"14,700","14,700",-,"7,200","-112,500","343,100","66,700",-,-,-,"175,100","175,100","175,100",-,-,-,-,-,-,-,"101,300",-,-,-,-,-,"96,200","25,600","70,600","70,600","70,600","70,600",-,-,-,-,"70,600",0.12,0.12,"588,333","588,333",-,"218,400","70,600","70,600","80,900","38,600","70,600",-,-,0,0
132,6/30/1990,"570,800","327,900","1,119,400","963,300","963,300","80,200","39,800","36,100",-,"791,500","568,300","50,300","19,400","153,500",-,"242,900",-,"215,100","215,100","114,600","100,500",-,-,-,-,-,"4,300","4,300",-,"23,500","-94,000","370,000","64,400",-,-,-,"173,800","173,800","173,800",-,-,-,-,-,-,-,"131,800",-,-,-,-,-,"106,800","36,400","70,400","70,400","70,400","70,400",-,-,-,-,"70,400",0.12,0.12,"586,667","586,667",-,"233,900","70,400","70,400","75,900","38,300","70,400",-,-,0,0
133,3/31/1990,"565,500","332,900","1,090,300","931,100","931,100","85,500","44,800","28,800",100,"757,400","559,500","47,100","20,700","130,100",-,"232,600",-,"205,500","205,500","106,000","99,500",-,-,-,-,-,"5,100","5,100",-,"22,000","-63,500","335,600","64,800",-,-,-,"172,300","172,300","172,300",-,-,-,-,-,-,-,"98,500",-,-,-,-,-,"166,400","64,100","102,300","102,300","102,300","102,300",-,-,-,-,"102,300",0.18,0.18,"568,333","568,333",-,"269,400","102,300","102,300","73,600","34,400","102,300",-,-,0,0
134,12/31/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"106,600","106,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,9/30/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-271,300","-271,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,6/30/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"114,300","114,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,3/31/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"101,100","101,100",-,-,-,-,-,0.19,0.18,"516,480","516,480",-,-,-,-,-,-,-,-,-,-,-
138,12/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"54,700","54,700",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,9/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"54,200","54,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,6/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"49,700","49,700",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,3/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"54,400","54,400",-,-,-,-,-,0.20,0.19,"264,888","264,888",-,-,-,-,-,-,-,-,-,-,-
142,12/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"45,800","45,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,9/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"45,200","45,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,6/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-34,900","-34,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,3/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"47,300","47,300",-,-,-,-,-,0.18,0.17,"262,352","262,352",-,-,-,-,-,-,-,-,-,-,-
146,12/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"38,400","38,400",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,9/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"37,900","37,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,6/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"37,800","37,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,3/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"41,100","41,100",-,-,-,-,-,0.17,0.15,"239,952","239,952",-,-,-,-,-,-,-,-,-,-,-
150,12/31/1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"33,600","33,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,9/30/1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"32,700","32,700",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
