,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Other Customer Services,Fees & Commission Expense,Dividend Income,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Securities Amortization,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
72,6/30/2005,"72,924","64,960","93,769","87,334","87,334","5,639",-,796,-,"28,809","19,394",60,"9,355",-,-,"7,964",-,"4,271","4,271",-,-,-,-,-,-,"1,285","1,285",-,-,"2,408","-4,500","28,401","3,432",-,-,-,"12,485","12,485","12,485",-,-,-,-,-,-,-,"12,484",-,-,-,-,-,-,-,"40,023","14,560","25,463","25,463","25,463","25,463",-,-,-,"25,463",0.49,0.47,"52,338","53,878","60,460","25,463","25,463",796,"2,399","25,463",-,-,0,0
73,3/31/2005,"68,722","62,222","84,756","78,896","78,896","5,299",-,561,-,"22,534","16,291",42,"6,201",-,-,"6,500",-,"4,647","4,647",-,-,-,-,-,-,448,448,-,-,"1,405","-4,370","27,718","3,258",-,-,-,"12,854","12,854","12,854",-,-,-,-,-,-,-,"11,606",-,-,-,-,-,-,-,"36,634","13,115","23,519","23,519","23,519","23,519",-,-,-,"23,519",0.45,0.44,"52,245","53,963","57,852","23,519","23,519",561,"2,405","23,519",-,-,0,0
74,12/31/2004,"68,076","59,251","76,763","72,490","72,490","3,838",-,435,-,"17,512","12,346",30,"5,136",-,-,"8,825",-,"4,543","4,543",-,-,-,-,-,-,"3,176",781,-,"2,395","1,106","-5,000","27,304","3,464",-,-,-,"11,443","11,443","11,443",-,-,-,-,-,-,-,"12,397",-,-,-,-,-,-,-,"35,772","13,123","22,649","22,649","22,649","22,649",-,-,-,"22,649",-,-,-,-,"54,251","22,649","21,133",435,"2,491","22,649","2,395","2,395",0,878.6085
75,9/30/2004,"60,011","52,835","66,815","62,655","62,655","3,648",-,512,-,"13,980","9,785",18,"4,177",-,-,"7,176",-,"4,225","4,225",-,-,-,-,-,-,"1,605",678,-,927,"1,346","-5,000","23,210","3,146",-,-,-,"9,386","9,386","9,386",-,-,-,-,-,-,-,"10,678",-,-,-,-,-,-,-,"31,801","11,402","20,399","20,399","20,399","20,399",-,-,-,"20,399",0.40,0.39,"51,210","52,884","47,835","20,399","19,804",512,"3,027","20,399",927,927,0,332.3686
76,6/30/2004,"52,372","45,004","56,347","52,402","52,402","3,697",-,248,-,"11,343","8,364",7,"2,972",-,-,"7,368",-,"5,888","5,888",-,-,-,-,-,-,-159,-391,-,232,"1,639","-3,000","21,646","2,854",-,-,-,"9,139","9,139","9,139",-,-,-,-,-,-,-,"9,653",-,-,-,-,-,-,-,"27,726","9,697","18,029","18,029","18,029","18,029",-,-,-,"18,029",0.36,0.35,"50,063","51,675","42,004","18,029","17,878",248,"3,059","18,029",232,232,0,81.1406
77,3/31/2004,"50,540","42,083","52,145","47,838","47,838","4,053",-,254,-,"10,062","7,401",694,"1,967",-,-,"8,457",-,"5,061","5,061",-,-,-,-,-,-,"1,219","1,194",-,25,"2,177","-3,750","20,756","2,694",-,-,-,"9,168","9,168","9,168",-,-,-,-,-,-,-,"8,894",-,-,-,-,-,-,-,"26,034","9,089","16,945","16,945","16,945","16,945",-,-,-,"16,945",0.34,0.34,"49,138","50,694","38,333","16,945","16,929",254,"2,880","16,945",25,25,0,8.728
78,12/31/2003,"47,934","39,810","48,191","43,682","43,682","4,348",-,-,-,"8,381","6,739",22,"1,620",-,-,"8,124",-,"4,615","4,615",-,-,-,-,-,-,212,566,-,-,"3,297","-2,300","21,084","2,845",-,-,-,"8,265","8,265","8,265",-,-,-,-,-,-,-,"9,974",-,-,-,-,-,-,-,"24,550","8,143","16,407","16,407","16,407","16,407",-,-,-,"16,407",-,-,-,-,"37,510","16,407","16,407",-,"3,335","16,407",-,-,0,0
79,9/30/2003,"46,654","37,461","45,427","41,287","41,287","4,040",-,-,100,"7,966","6,637",10,"1,319",-,-,"9,193",-,"4,920","4,920",-,-,-,-,-,-,570,398,-,172,"3,703","-2,000","19,843","2,631",-,-,-,"7,970","7,970","7,970",-,-,-,-,-,-,-,"9,242",-,-,-,-,-,-,-,"24,811","8,669","16,142","16,142","16,142","16,142",-,-,-,"16,142",0.34,0.33,"48,138","49,600","35,461","16,142","16,030",-,"3,240","16,142",172,172,0,60.0971
80,6/30/2003,"43,663","34,981","43,873","39,114","39,114","4,648",-,111,-,"8,892","7,686",640,566,-,-,"8,682",-,"3,082","3,082",-,-,-,-,-,-,721,640,-,81,"4,879","-2,010","19,310","2,548",-,-,-,"7,887","7,887","7,887",-,-,-,-,-,-,-,"8,875",-,-,-,-,-,-,-,"22,343","7,658","14,685","14,685","14,685","14,685",-,-,-,"14,685",0.30,0.30,"47,936","49,204","32,971","14,685","14,632",111,"2,837","14,685",81,81,0,27.7625
81,3/31/2003,"37,839","31,059","41,052","35,827","35,827","5,103",-,122,-,"9,993","8,884",577,532,-,-,"6,780",-,"4,296","4,296",-,-,-,-,-,-,906,347,-,559,"1,578","-2,490","17,393","2,290",-,-,-,"7,722","7,722","7,722",-,-,-,-,-,-,-,"7,381",-,-,-,-,-,-,-,"17,956","6,198","11,758","11,758","11,758","11,758",-,-,-,"11,758",0.24,0.24,"47,782","49,082","28,569","11,758","11,392",122,"2,727","11,758",559,559,0,192.954
82,12/31/2002,"36,795","28,865","40,450","35,759","35,759","4,575",-,116,-,"11,585","10,377","-2,422","3,630",-,-,"7,930",-,"4,828","4,828",-,-,-,-,-,-,-748,0,-,-,"3,850","-2,550","16,317","2,421",-,-,-,"6,287","6,287","6,287",-,-,-,-,-,-,-,"7,609",-,-,-,-,-,-,-,"17,928","5,293","12,635","12,635","12,635","12,635",0,-,-,"12,635",-,-,-,-,"26,315","12,635","12,635",116,"3,463","12,635",-,-,0,0
83,9/30/2002,"37,764","31,218","43,605","39,239","39,239","4,241",-,125,-,"12,387","11,155",666,566,-,-,"6,546",-,"4,656","4,656",-,-,-,-,-,-,494,-,-,494,"1,396","-2,550","16,277","2,698",-,-,-,"6,774","6,774","6,774",-,-,-,-,-,-,-,"6,805",-,-,-,-,-,-,-,"18,937","6,051","12,886","12,886","12,886","12,886",-,-,-,"12,886",0.14,0.13,"94,708","99,276","28,668","12,886","12,550",125,"2,340","12,886",494,494,0,157.8494
84,6/30/2002,"35,321","29,593","42,056","37,888","37,888","4,037",-,131,-,"12,463","10,953",944,566,-,-,"5,728",-,"4,342","4,342",-,-,-,-,-,-,54,13,-,41,"1,332","-2,550","15,968","2,555",-,-,-,"6,402","6,402","6,402",-,-,-,-,-,-,-,"7,011",-,-,-,-,-,-,-,"16,803","4,554","12,249","12,249","12,249","12,249",-,-,-,"12,249",0.13,0.12,"94,096","99,196","27,043","12,249","12,219",131,"2,648","12,249",41,41,0,11.1119
85,3/31/2002,"32,816","27,558","40,102","36,092","36,092","3,869",-,141,-,"12,544","11,090",592,862,-,-,"5,258",-,"4,143","4,143",-,-,-,-,-,-,-,-,-,-,"1,115","-2,550","15,118","2,587",-,-,-,"6,298","6,298","6,298",-,-,-,-,-,-,-,"6,233",-,-,-,-,-,-,-,"15,148","4,217","11,719","11,719","11,719","10,931",788,-,-,"11,719",0.12,0.11,"93,528","97,876","25,008","10,931","10,931",141,"1,999","10,931",-,-,0,0
86,12/31/2001,"31,954","26,551","42,391","37,012","37,012","5,273",-,106,-,"15,840","14,099","-1,681","3,422",-,-,"5,403",-,"4,049","4,049",-,-,-,-,-,-,-906,0,-,-,"2,260","-2,500","16,559","2,511",-,-,-,"6,837","6,837","6,837",-,-,-,-,-,-,-,"7,211",-,-,-,-,-,-,-,"12,895","3,393","9,502","9,502","9,502","9,502",0,-,-,"9,502",-,-,-,-,"24,051","9,502","9,502",106,"2,140","9,502",-,-,0,0
87,9/30/2001,"29,471","24,820","44,391","37,995","37,995","6,276",-,120,-,"19,571","18,001",592,978,-,-,"4,651",-,"3,176","3,176",-,-,-,-,-,-,535,387,-,148,940,"-1,500","15,269","2,614",-,-,-,"6,003","6,003","6,003",-,-,-,-,-,-,-,"6,652",-,-,-,-,-,-,-,"12,702","2,921","9,781","9,781","9,781","9,781",-,-,-,"9,781",0.21,0.20,"45,928","48,076","23,320","9,781","9,667",120,"2,331","9,781",148,148,0,34.0346
88,6/30/2001,"29,589","24,460","46,546","39,581","39,581","6,790",-,175,-,"22,086","20,194",988,904,-,-,"5,129",-,"3,500","3,500",-,-,-,-,-,-,589,166,-,423,"1,040","-1,500","14,903","2,406",-,-,-,"5,871","5,871","5,871",-,-,-,-,-,-,-,"6,626",-,-,-,-,-,-,-,"13,186","3,497","9,689","9,689","9,689","9,689",-,-,-,"9,689",0.21,0.20,"45,656","47,646","22,960","9,689","9,378",175,"2,375","9,689",423,423,0,112.1819
89,3/31/2001,"29,927","23,519","49,370","40,892","40,892","8,229",-,249,-,"25,851","21,652","1,157","3,042",-,-,"6,408",-,"3,080","3,080",-,-,-,-,-,-,"1,906","1,906",-,-,"1,422",-717,"15,393","2,368",-,-,-,"6,425","6,425","6,425",-,-,-,-,-,-,-,"6,600",-,-,-,-,-,-,-,"13,817","3,919","9,811","9,811","9,811","9,898",-87,-,-,"9,811",0.21,0.20,"46,082","48,210","22,802","9,898","9,898",249,"2,607","9,898",-,-,0,0
90,12/31/2000,"26,020","22,574","48,430","39,822","39,822","8,394",-,214,-,"25,856","20,528",-156,"5,484",-,-,"3,446",-,"2,744","2,744",-,-,-,-,-,-,"-1,421",-142,-,-,"2,123",-300,"13,799","1,965",-,-,-,"5,535","5,535","5,535",-,-,-,-,-,-,-,"6,299",-,-,-,-,-,-,-,"11,921","2,309","9,612","9,612","9,612","9,612",-,-,-,"9,612",-,-,-,-,"22,274","9,612","9,612",214,"2,324","9,612",-,-,0,0
91,9/30/2000,"26,238","22,578","47,289","38,119","38,119","8,738",-,432,-,"24,711","19,301","1,129","4,281",-,-,"3,660",-,"2,697","2,697",-,-,-,-,-,-,314,-60,-,374,649,"-1,300","12,250","1,892",-,-,-,"5,080","5,080","5,080",-,-,-,-,-,-,-,"5,278",-,-,-,-,-,-,-,"12,688","3,910","8,778","8,778","8,778","8,778",-,-,-,"8,778",0.20,0.19,"44,812","46,712","21,278","8,778","8,519",432,"2,164","8,778",374,374,0,115.2538
92,6/30/2000,"25,820","22,351","46,120","37,667","37,667","7,869",-,584,-,"23,769","17,709",886,"5,174",-,-,"3,469",-,"2,770","2,770",-,-,-,-,-,-,-14,-14,-,-,713,"-1,400","12,177","1,926",-,-,-,"5,078","5,078","5,078",-,-,-,-,-,-,-,"5,173",-,-,-,-,-,-,-,"12,243","3,879","8,364","8,364","8,364","8,364",-,-,-,"8,364",0.18,0.18,"44,726","45,644","20,951","8,364","8,364",584,"2,287","8,364",-,-,0,0
93,3/31/2000,"26,377","21,984","44,241","35,376","35,376","8,481",-,384,-,"22,257","15,109",205,"6,943",-,-,"4,393",-,"2,827","2,827",-,-,-,-,-,-,"1,227",322,-,905,339,"-1,400","11,734","1,780",-,-,-,"4,593","4,593","4,593",-,-,-,-,-,-,-,"5,361",-,-,-,-,-,-,-,"13,243","4,530","8,713","8,713","8,713","8,713",-,-,-,"8,713",0.20,0.19,"44,662","45,354","20,584","8,713","8,118",384,"1,976","8,713",905,905,0,309.5711
94,12/31/1999,"23,300","19,700","39,500","30,900","30,900","8,200",-,400,-,"19,800","13,300",500,"6,100",-,-,"3,600",-,"2,700","2,700",-,-,-,-,-,-,-500,-100,-,-400,"1,400","-1,400","10,500","1,300",-,-,-,"4,600","4,600","4,600",-,-,-,-,-,-,-,"4,600",-,-,-,-,-,-,-,"11,400","3,500","7,900","7,900","7,900","7,900",-,-,-,"7,900",-,-,-,-,"18,300","7,900","8,177",400,"2,100","7,900",-400,-400,0,-122.807
95,9/30/1999,"22,100","18,600","37,800","28,600","28,600","8,900",-,400,-100,"19,200","13,000",100,"6,200",-,-100,"3,500",-,"2,400","2,400",-,-,-,-,-,-,800,800,-,-,300,"-1,300","10,600","1,600",-,-,-,"4,800","4,800","4,800",-,-,-,-,-,-,-,"4,200",-,-,-,-,-,-,-,"10,200","3,200","7,000","7,000","7,000","7,000",-,-,-,"7,000",0.08,0.08,"44,798","44,798","17,300","7,000","7,000",400,900,"7,000",-,-,0,0
96,6/30/1999,"21,500","17,300","36,000","25,800","25,800","9,900",-,400,-100,"18,700","11,800",200,"6,700",-,-,"4,200",-,"2,500","2,500",-,-,-,-,-,-,"1,400",700,-,700,300,"-1,500","9,600","1,300",-,-,-,"4,500","4,500","4,500",-,-,-,-,-,-,-,"3,800",-,-,-,-,-,-,-,"10,500","3,400","7,100","7,100","7,100","7,100",-,-,-,"7,100",0.08,0.08,"44,936","44,936","15,800","7,100","6,627",400,400,"7,100",700,700,0,226.6667
97,3/31/1999,"19,500","16,200","34,700","23,300","23,300","11,000",-,400,-,"18,500","11,500",300,"6,600",-,100,"3,300",-,"2,200","2,200",-,-,-,-,-,-,800,400,-,400,300,"-1,200","8,800","1,400",-,-,-,"4,700","4,700","4,700",-,-,-,-,-,-,-,"2,700",-,-,-,-,-,-,-,"9,500","3,500","6,000","6,000","6,000","6,000",-,-,-,"6,000",0.07,0.07,"46,100","46,100","15,000","6,000","5,747",400,700,"6,000",400,400,0,147.3684
98,12/31/1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,500","6,500","6,500","6,500",-,-,-,"6,500",-,-,-,-,-,"6,500","6,500",-,-,"6,500",-,-,0,0
99,9/30/1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,700","4,700","4,700","4,700",-,-,-,"4,700",0.05,0.05,"47,550","47,550",-,"4,700","4,700",-,-,"4,700",-,-,0,0
100,6/30/1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,800","3,800","3,800","3,800",-,-,-,"3,800",0.04,0.04,"47,550","47,550",-,"3,800","3,800",-,-,"3,800",-,-,0,0
101,3/31/1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,000","3,000","3,000","3,000",-,-,-,"3,000",0.03,0.03,"47,550","47,550",-,"3,000","3,000",-,-,"3,000",-,-,0,0
