,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Other Working Capital,Dividend Received CFO,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Dividends Received CFI,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
72,3/31/2005,"32,976","32,976","23,519",-541,-,-,-541,-,"2,405","2,405",544,544,"5,095",-,-,-,-,-,"1,954",-,-,-,-,-,-,"-334,527","-334,527",-,-,-,"-23,860","-59,868","36,008",-,-,-,-,-,"-1,120",-,-,-,-,-,-,"-309,547","313,528","313,528",-,"96,162","64,662","34,397,600","-34,332,938","31,500",-,-,383,-,-,-,-,"-2,625",-,-,-,-,"105,052","11,977",-,"93,075",-,-,-,"-1,120",-,"34,397,600","-34,332,938",-,"31,856"
73,12/31/2004,"24,721","24,721","22,649","-3,299",-,-,"-3,299",-,"2,491","2,491","2,705","2,705","6,455",-,-,-,-,-,"-6,280",-,-,-,-,-,-,"-469,460","-469,460",-,-,-,"-385,650","-466,638","80,988",-,-,-,-,-,-995,-,-,-,-,-,-,"-99,275","427,183","427,183",-,"219,115","219,115","30,015,000","-29,795,885",0,-,-,"1,522",-,-,-,-,"-2,618",-,-,-,-,"93,075","-17,556",-,"110,631",-,-,-,-995,-,"30,015,000","-29,795,885",-,"23,726"
74,9/30/2004,"38,245","38,245","20,399","-1,627",-,-,"-1,627",-,"3,027","3,027",-327,-327,"8,437",-,-,-,-,-,"8,336",-,-,-,-,-,-,"-458,318","-458,318",-,-,-,"357,187","259,953","97,234",-,-,-,-,-,"-1,657",-,-,-,-,-,-,"-813,848","368,962","368,962",-,"60,790","60,790","24,919,690","-24,858,900",0,-,-,"13,002",-,-,-,-,"-2,516",-,-,-,-,"110,631","-51,111",-,"161,742",-,-,-,"-1,657",-,"24,919,690","-24,858,900",-,"36,588"
75,6/30/2004,-335,-335,"18,029",45,-,-,45,-,"3,059","3,059","-2,903","-2,903","4,022",-,-,-,-,-,"-22,587",-,-,-,-,-,-,"-496,740","-496,740",-,-,-,"-64,875","-164,299","99,424",-,-,-,-,-,"-1,265",-,-,-,-,-,-,"-430,600","276,392","276,392",-,"100,010","100,010","4,775,310","-4,675,300",0,-,-,"1,679",-,-,-,-,"-2,512",-,-,-,-,"161,742","-220,683",-,"382,425",-,-,-,"-1,265",-,"4,775,310","-4,675,300",-,"-1,600"
76,3/31/2004,"24,854","24,854","16,945","-1,978",-,-,"-1,978",-,"2,880","2,880","-1,463","-1,463","4,683",-,-,-,-,-,"3,787",-,-,-,-,-,-,"-331,427","-331,427",-,-,-,"41,692","-124,552","166,244",-,-,-,-,-,"-1,021",-,-,-,-,-,-,"-372,098","547,409","547,409",-,"187,700","199,700","5,725,000","-5,525,300","-12,000",-,-,"29,625",-,-,-,-,"-2,443",-,-,-,-,"382,425","240,836",-,"141,589",-,-,-,"-1,021",-,"5,725,000","-5,525,300",-,"23,833"
77,12/31/2003,"19,444","19,444","16,407","-1,968",-,-,"-1,968",-,"3,335","3,335",452,452,"2,854",-,-,-,-,-,"-1,636",-,-,-,-,-,-,"-368,566","-368,566",-,-,-,"-40,593","-107,161","66,568",-,-,-,-,-,-773,-,-,-,-,-,-,"-330,913","268,359","268,359",-,"160,700","148,700","8,363,000","-8,214,300",-,-,-,"4,213",-,-,-,-,"-2,428",-,-,-,-757,"141,589","-80,763",-,"222,352",-,-,-,-773,-,"8,363,000","-8,214,300",-,"18,671"
78,9/30/2003,"4,973","4,973","16,142","-2,750",-,-,"-2,750",-,"3,240","3,240",16,16,"-19,808",-,-,-,-,-,"8,133",-,-,-,-,-,-,"-155,422","-155,422",-,-,-,"-3,296","-53,060","49,764",-,-,-,-,-,"-1,734",-,-,-,-,-,-,"-150,392","140,886","140,886",-,"9,600","105,600",-,"-3,042,400",-,-,-,"1,620",-,-,-,-,"-2,408",-,-,-,-,"222,352","-9,563",-,"231,915",-,-,-,"-1,734",-,-,"-3,042,400",-,"3,239"
79,6/30/2003,"23,707","23,707","14,685","-2,308",-,-,"-2,308",-,"2,837","2,837","-1,849","-1,849","15,025",-,-,-,-,-,"-4,683",-,-,-,-,-,-,"-121,750","-121,750",-,-,-,"67,830","-21,125","88,955",-,-,-,-,-,-534,-,-,-,-,-,-,"-189,046","61,743","61,743",-,"95,700",-300,-,"1,083,700",-,-,-,"1,573",-,-,-,-,"-2,399",-,-,-,-,"231,915","-36,300",-,"268,215",-,-,-,-534,-,-,"1,083,700",-,"23,173"
80,3/31/2003,"25,725","25,725","11,758",-816,-,-,-816,-,"2,727","2,727","-1,857","-1,857","14,673",-,-,-,-,-,-760,-,-,-,-,-,-,"-97,009","-97,009",-,-,-,"46,418","-51,309","97,727",-,-,-,-,-,-450,-,-,-,-,-,-,"-142,977","44,227","44,227",-,-300,-300,"1,084,000","-1,084,300",-,-,-,416,-,-,-,-,"-2,388",-,-,-,-,"268,215","-27,057",-,"295,272",-,-,-,-450,-,"1,084,000","-1,084,300",-,"25,275"
81,12/31/2002,"30,910","30,910","12,635",-,-,-,-,-,"3,463","3,463","-2,046","-2,046","4,047",-,-,-,-,-,"11,505",-,-,-,-,-,-,"-113,870","-113,870",-,-,-,"-314,411","-120,000","-194,411",-,-,-,-,-,-179,-,-,-,-,-,-,"200,720","54,305","54,305",-,"-20,300","-70,300",-,"-7,349,500",-,-,-,819,-,-,-,-,"-1,612",-,-,-,-,"295,272","-28,655",-,"323,927",-,-,-,-179,-,-,"-7,349,500",-,"30,731"
82,9/30/2002,"-18,988","-18,988","12,886",-656,-,-,-656,-,"2,340","2,340",-659,-659,"-5,079",-,-,-,-,-,"-27,820",-,-,-,-,-,-,"3,272","3,272",-,-,-,"-108,983","-148,120","39,137",-,-,-,-,-,-481,-,-,-,-,-,-,"112,736","182,690","182,690",-,"-5,300",-300,-,-300,"-5,000",-,-,"2,444",-,-,-,-,"-1,597",-,-,-,-,"323,927","166,974",-,"156,953",-,-,-,-481,-,-,-300,-,"-19,469"
83,6/30/2002,"26,458","26,458","12,249",-643,-,-,-643,-,"2,648","2,648","-1,740","-1,740","11,982",-,-,-,-,-,"1,962",-,-,-,-,-,-,"-189,876","-189,876",-,-,-,"105,409","-50,585",-,-,-,-,-,-,-494,-,-,-,-,-,-,"-294,791","115,827","115,827",-,"-5,300",-300,-,-300,"-5,000",-,-,"1,041",-,-,-,-,"-1,593",-,-,-,-,"156,953","-47,591",-,"204,544",-,-,-,-494,-,-,-300,-,"25,964"
84,3/31/2002,"-6,372","-6,372","11,719",-7,-,-,-7,-,"1,999","1,999","-1,074","-1,074","-3,503",-,-,-,-,-,"-15,506",-,-,-,-,-,-,"-97,147","-97,147",-,-,-,"-132,583","-132,583",-,-,-,-,-,-,-251,-,-,-,-,-,-,"35,687","83,729","83,729",-,"-40,600",-600,-,-600,"-40,000",-,-,"1,749",-,-,-,-,"-1,579",-,-,-,-,"204,544","-19,790",-,"224,334",-,-,-,-251,-,-,-600,-,"-6,623"
85,12/31/2001,"16,600","16,600","9,502","13,431",-,-,"13,397",-,"2,140","2,140",47,47,"-14,343",-,-,-,-,-,"5,823",-,-,-,-,-,-,"-57,055","-57,055",-,-,-,"-214,710","-80,104","-134,606",-,-,-,-,-,"-1,295",-,-,-,-,-,-,"158,950","-8,805","-8,805",-,"35,000","35,000","2,455,000","-2,420,000",0,-,-,-687,-,-,-,-,-702,-,-,-,-,"224,334","-49,260",-,"273,594",-,-,-,"-1,295",-,"2,455,000","-2,420,000",-,"15,305"
86,9/30/2001,"23,353","23,353","9,781","-1,365",-,-,"-1,365",-,"2,331","2,331","1,143","1,143","5,991",-,-,-,-,-,"5,472",-,-,-,-,-,-,"-95,419","-95,419",-,-,-,"11,671","-86,230","97,901",-,-,-,-,-,"-1,333",-,-,-,-,-,-,"-105,757","164,657","164,657",-,"-7,000",0,"5,868,000","-5,868,000","-7,000",-,-,"4,477",-,-,-,-,-694,-,-,-,-,"273,594","92,591",-,"181,003",-,-,-,"-1,333",-,"5,868,000","-5,868,000",-,"22,020"
87,6/30/2001,"8,711","8,711","9,689",-701,-,-,-701,-,"2,375","2,375","-1,044","-1,044","-4,155",-,-,-,-,-,"2,547",-,-,-,-,-,-,"7,334","7,334",-,-,-,"89,454",-,"119,426",-,-,-,-,-,-853,-,-,-,-,-,-,"-60,869","49,310","49,310",-,"-28,000",-,-,-,"171,000",-,-,448,-,-,-,-,-691,-,-,-,-,"181,003","65,355",-,"115,648",-,-,-,-853,-,-,-,-,"7,858"
88,3/31/2001,"18,960","18,960","9,811","-2,011",-,-,"-2,011",-,"2,607","2,607","2,003","2,003","9,120",-,-,-,-,-,"-2,570",-,-,-,-,-,-,"73,217","73,217",-,-,-,"93,505",-,"93,505",-,-,-,-,-,"-1,468",-,-,"20,398",-,-,-,"-39,218","-39,577","-39,577",-,"-202,000",-,-,-,"-202,000",-,-,"-5,210",-,-,-,-,-695,-,-,-,-,"115,648","52,600",-,"63,048",-,-,-,"-1,468",-,-,-,-,"17,492"
89,12/31/2000,"-16,603","-16,603","9,612",433,-,-,433,-,"2,324","2,324","1,703","1,703",637,-,-,-,-,-,"-31,312",-,-,-,-,-,-,"101,868","101,868",-,-,-,"78,639","51,972","26,667",-,-,-,-,-,"3,717",-,-,"25,754",-,-,-,"-6,242","-73,758","-73,758",-,"34,000","54,750","3,482,050","-3,427,300","-20,750",-,-,"-6,968",-,-,-,-,-685,-,-,-,-,"63,048","11,507",-,"51,541",-,-,-,-,-,"3,482,050","-3,427,300",-,"-12,886"
90,9/30/2000,"25,530","25,530","8,778",-521,-,-,-521,-,"2,164","2,164",-787,-787,"1,606",-,-,-,-,-,"14,290",-,-,-,-,-,-,"-26,263","-26,263",-,-,-,"20,300","-3,209","23,509",-,-,-,-,-,"-1,072",-,-,382,-,-,-,"-45,873",-74,-74,-,"-68,032","-88,782","25,331,900","-25,420,682","20,750",-,-,"3,228",-,-,-,-,-672,-,-,-,-,"51,541",-807,-,"52,348",-,-,-,"-1,072",-,"25,331,900","-25,420,682",-,"24,458"
91,6/30/2000,"1,901","1,901","8,364",-55,-,-,-55,-,"2,287","2,287",-,-,839,-,-,-,-,-,"-7,824",-,-,-,-,-,-,"-27,761","-27,761",-,-,-,"-3,398","-28,826","25,428",-,-,-,-,-,"-1,726",-,-,-,-,-,-,"2,950","33,286","33,286",-,"-15,500","-6,750","-19,669,900","19,663,150","-8,750",-,-,280,-,-,-,-,-674,-,-,-,-500,"52,348","7,426",-,"44,922",-,-,-,"-1,726",-,"-19,669,900","19,663,150",-,175
92,3/31/2000,"12,365","12,365","8,713","-1,194",-,-,"-1,194",-,"1,976","1,976",-,-,"1,608",-,-,-,-,-,"1,262",-,-,-,-,-,-,"-164,504","-164,504",-,-,-,"14,911","-66,131","81,042",-,-,-,-,-,"-4,536",-,-,-,-,-,-,"-174,879","153,564","153,564",-,"-107,850","-154,000","7,588,000","-7,742,000","46,150",-,-,-33,-,-,-,-,-673,-,-,-,-750,"44,922","1,425",-,"43,497",-,-,-,"-4,536",-,"7,588,000","-7,742,000",-,"7,829"
93,12/31/1999,"4,700","4,700","7,900",-900,-,-,-,-,"2,100","2,100",0,0,"-1,700",-,-,-,-,-,"-2,700",-,-,-,-,-,-,"-83,000","-83,000",-,-,-,"24,900","-1,000","25,900",-,-,-,-,-,-300,-,-,-,-,-,-,"-107,600","81,600","81,600",-,"47,700","80,700","6,767,100","-6,686,400","-33,000",-,-,"-1,000",-,-,-,-,-600,-,-,-,-,"43,500","3,300",-,"40,200",-,-,-,-300,-,"6,767,100","-6,686,400",-,"4,400"
94,9/30/1999,"12,400","12,400","7,000",700,-,-,700,-,900,900,"-1,000","-1,000","2,600",-,-,-,-,-,"2,200",-,-,-,-,-,-,"-8,600","-8,600",-,-,-,"205,000","76,400","128,600",-,-,-,-,-,-400,-,-,-,-,-,-,"-213,200","-34,500","-34,500",-,"-65,000","-98,600","7,913,100","-8,011,700","33,600",-,-,-600,-,-,-,-,-700,-,-,-,-,"40,200","-30,800",-,0,-,-,-,-400,-,"7,913,100","-8,011,700",-,"12,000"
95,6/30/1999,"8,300","8,300","7,100","-1,300",-,-,"-1,300",-,400,400,-,-,"6,900",-,-,-,-,-,"-3,300",-,-,-,-,-,-,"-114,300","-114,300",-,-,-,"-101,800","-233,000","131,200",-,-,-,-,-,-600,-,-,-,-,-,-,"-11,900","96,000","96,000",-,"-23,600","-3,400","2,434,600","-2,438,000","-20,200",-,-,"-5,900",-,-,-,-,-700,-,-,-,200,0,"-9,900",-,0,"9,900",-,-,-600,-,"2,434,600","-2,438,000",-,"7,700"
96,3/31/1999,"14,200","14,200","6,000","-1,400",-,-,"-1,400",-,700,700,-,-,"5,400",-,-,-,-,-,"3,500",-,-,-,-,-,-,"-25,700","-25,700",-,-,-,"46,100","-263,000","309,100",-,-,-,-,-,-200,-,-,-,-,-,-,"-71,600","-68,700","-68,700",-,"-75,800","-63,000","2,695,300","-2,758,300","-12,800",-,-,"-7,000",-,-,-,-,-700,-,-,-,-100,0,"-80,200",-,"161,100","-80,900",-,-,-200,-,"2,695,300","-2,758,300",-,"14,000"
