,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Federal Home Loan Bank Stock,Customer Acceptances,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Other Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Current Capital Lease Obligation,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Liabilities of Discontinued Operations,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
83,6/30/2002,"3,037,902","89,024","79,953",-,-,"79,953",-,-,-,"9,071","9,071",-,-,-,-,-,-,-,"429,324","429,324",-,-,-,"2,381,597","2,413,648",-,-,-,-,"2,413,648","32,051",-,"56,987","56,987","56,987",-,"26,399",-,-,-,-,-,-,-,"20,601",-,-,-,-,-,"33,970","2,766,542","2,663,812","2,064,601","2,064,601","599,211",-,-,-,"22,795","22,795","22,795",-,-,-,-,"59,000","59,000",-,"59,000",-,"20,750","20,750",-,-,-,185,"271,360","271,360",26,-,26,"156,561","150,059","35,955",669,-,-,"292,110",-,"271,360",-,"250,759","351,110","250,759","79,750",-,"47,213","47,213",-,-
84,3/31/2002,"2,903,220","213,663","204,544",-,-,"204,544",-,-,-,"9,119","9,119",-,-,-,-,-,-,-,"320,443","320,443",-,-,-,"2,232,446","2,261,601",-,-,-,-,"2,261,601","29,155",-,"54,155","54,155","54,155",-,"26,863",-,-,-,-,-,-,-,-,-,-,-,-,-,"55,650","2,646,601","2,542,133","1,972,361","1,972,361","569,772","64,000",-,-,411,411,-,-,-,-,-,-,-,-,-,-,"20,750","20,750",-,-,-,"19,307","256,619","256,619",26,-,26,"145,905","148,491","35,946","-1,857",-,-,"277,369",-,"256,619",-,"256,619","277,369","256,619","20,750",-,"47,197","47,197",-,-
85,12/31/2001,"2,825,303","233,318","224,334",-,-,"224,334",-,-,-,"8,984","8,984",-,-,-,-,-,-,-,"323,099","323,099",-,-,-,"2,132,838","2,160,395",-,-,-,-,"2,160,395","27,557",-,"53,795","53,795","53,795",-,"27,568",-,-,-,-,-,-,-,-,-,-,-,-,-,"54,685","2,580,888","2,417,974","1,888,609","1,888,609","529,365","104,000",-,-,"1,469","1,469",-,-,-,-,-,-,-,-,-,-,"20,750","20,750",-,-,-,"36,695","244,415","244,415",26,-,26,"135,765","145,312","35,945",-743,-,-,"265,165",-,"244,415",-,"244,415","265,165","244,415","20,750",-,"46,752","46,752",-,-
86,9/30/2001,"2,818,274","282,460","273,594",-,-,"273,594",-,-,-,"8,866","8,866",-,-,-,-,-,-,-,"351,446","351,446",-,-,-,"2,048,782","2,074,795",-,-,-,-,"2,074,795","26,013",-,"57,890","57,890","57,890",-,"27,294",-,-,-,-,-,-,-,"20,283",-,-,-,-,-,"30,119","2,582,351","2,460,391","1,990,297","1,990,297","470,094",-,-,-,-,-,-,-,-,-,-,"20,750","20,750",-,"20,750",-,"69,900","69,900",-,-,-,"31,310","235,923","235,923",26,-,26,"126,965","143,659","33,766",-961,-,-,"305,823",-,"235,923",-,"215,640","326,573","215,640","90,650",-,"46,698","46,698",-,-
87,6/30/2001,"2,629,751","189,710","181,003",-,-,"181,003",-,-,-,"8,707","8,707",-,-,-,-,-,-,-,"357,464","357,464",-,-,-,"1,948,281","1,974,108",-,-,-,-,"1,974,108","25,827",-,"51,920","51,920","51,920",-,"27,622",-,-,-,-,-,-,-,"20,429",-,-,-,-,-,"34,325","2,412,561","2,292,516","1,913,711","1,913,711","378,805",-,-,-,-,-,-,-,-,-,-,"7,000","7,000",-,"7,000",-,"69,900","69,900",-,-,-,"43,145","217,190","217,190",25,-,25,"117,878","133,728","30,132","-4,309",-,-,"287,090",-,"217,190",-,"196,761","294,090","196,761","76,900",-,"46,170","46,170",-,-
88,3/31/2001,"2,566,459","130,863","115,748",-,-,"115,748",-,-,-,"15,115","15,115",-,-,-,-,-,-,-,"439,814","439,814",-,-,-,"1,862,244","1,887,800",-,-,-,-,"1,887,800","25,556",-,"50,497","50,497","50,497",-,"28,391",-,-,-,-,-,-,-,"20,795",-,-,-,-,-,"33,855","2,358,866","2,214,964","1,888,204","1,888,204","326,760",-,-,-,-,-,-,-,-,-,-,"45,000","45,000",-,"45,000",-,"79,750","79,750",-,-,-,"19,152","207,593","207,593",25,-,25,"108,880","133,166","30,120","-4,358",-,-,"287,343",-,"207,593",-,"186,798","332,343","186,798","124,750","9,002","45,321","45,321",-,-
89,12/31/2000,"2,485,971","77,893","63,048",-,-,"63,048",-,-,-,"14,845","14,845",-,-,-,-,-,-,-,"488,290","488,290",-,-,-,"1,789,988","1,813,836",-,-,-,-,"1,813,836","23,848",-,"47,993","47,993","47,993",-,"26,630",-,-,-,-,-,-,-,"16,497",-,-,-,-,-,"38,680","2,299,822","1,948,562","1,747,106","1,747,106","201,456",-,-,-,-,-,-,-,-,-,-,"38,000","38,000",-,"38,000",-,"288,750","288,750",-,-,-,"24,510","186,149","186,149",25,-,25,"99,764","118,039","23,060","-8,619",-,-,"474,899",-,"186,149",-,"169,652","512,899","169,652","326,750","263,702","45,321","45,321",-,-
90,9/30/2000,"2,386,525","70,395","51,541",-,-,"51,541",-,-,-,"18,854","18,854",-,-,-,-,-,-,-,"477,697","477,697",-,-,-,"1,704,010","1,728,689",-,-,-,-,"1,728,689","24,679",-,"45,079","45,079","45,079",-,"26,993",-,-,-,-,-,-,-,"16,712",-,-,-,-,-,"45,639","2,208,479","1,877,232","1,877,232","1,877,232",-,-,-,-,-,-,-,-,-,-,-,"38,000","38,000",-,"38,000",-,"254,750","254,750",-,-,-,"38,497","178,046","178,046",24,-,24,"90,837","115,782","14,770","-13,827",-,-,"432,796",-,"178,046",-,"161,334","470,796","161,334","292,750","241,209","45,580","45,580",-,-
91,6/30/2000,"2,358,401","73,782","52,448",-,"52,348",100,-,-,-,"21,334","21,334",-,-,-,-,-,-,-,"490,407","490,407",-,-,-,"1,657,149","1,681,729",-,-,-,-,"1,681,729","24,580",-,"42,917","42,917","42,917",-,"27,074",-,-,-,-,-,-,-,"16,703",-,-,-,-,-,"50,369","2,194,609","1,813,078","1,813,078","1,813,078",-,-,-,-,-,-,-,-,-,-,-,"38,000","38,000",-,"38,000",-,"321,533","321,533",-,-,-,"21,998","163,792","163,792",24,-,24,"82,731","111,646","14,734","-15,875",-,-,"485,325",-,"163,792",-,"147,089","523,325","147,089","359,533","307,085","44,904","44,904",-,-
92,3/31/2000,"2,318,403","73,572","45,022",-,"44,922",100,-,-,-,"28,550","28,550",-,-,-,-,-,-,-,"480,547","480,547",-,-,-,"1,635,526","1,659,538",-,-,-,-,"1,659,538","24,012",-,"36,042","36,042","36,042",-,"26,058",-,-,-,-,-,-,-,"16,763",-,-,-,-,-,"49,895","2,161,904","1,763,400","1,763,400","1,763,400",-,-,-,-,-,-,-,-,-,-,-,"374,750","374,750",-,"374,750",-,782,782,-,-,-,"22,972","156,499","156,499",24,-,24,"75,041","111,355","14,721","-15,200",-,-,"157,281",-,"156,499",-,"139,736","532,031","139,736","375,532","330,510","44,843","44,843",-,-
93,12/31/1999,"2,152,600","70,500","43,500",-,-,"43,500",-,-,-,"27,000","27,000",-,-,-,-,-,-,-,"496,400","496,400",-,-,-,"1,486,600","1,507,400",-,-,-,-,"1,507,400","20,800",-,"30,500","30,500","30,500",-,"22,600",-,-,-,-,-,-,-,"6,800",-,-,-,-,-,"39,200","2,002,500","1,500,500","1,371,900","1,371,900","128,600",-,-,-,-,-,-,-,-,-,-,"468,600","468,600",-,"468,600",-,"15,500","15,500",-,-,-,"17,900","150,100","150,100",-,-,-,"67,000","111,300","14,700","-13,600",100,-,"165,600",-,"150,100",-,"143,300","634,200","143,300","484,100","440,600","44,846","44,846",-,-
94,9/30/1999,"2,067,600","67,900","40,200",-,-,"40,200",-,-,-,"27,700","27,700",-,-,-,-,-,-,-,"526,700","526,700",-,-,-,"1,375,100","1,395,600",-,-,-,-,"1,395,600","20,500",-,"29,900","29,900","29,900",-,"23,000",-,-,-,-,-,-,-,"6,900",-,-,-,-,-,"38,100","1,919,100","1,465,700","1,465,700","1,465,700",-,-,-,-,-,-,-,-,-,-,-,"36,000","36,000",-,"36,000",-,"400,500","400,500",-,-,-,"16,900","148,500","146,400",-,-,-,"59,800","96,500",-,"-9,900",-,"2,100","546,900",-,"146,400",-,"139,500","582,900","139,500","436,500","396,300","44,798","44,798",-,-
95,6/30/1999,"2,097,300","98,300","71,000",-,-,"71,000",-,-,-,"27,300","27,300",-,-,-,-,-,-,-,"582,500","582,500",-,-,-,"1,324,500","1,344,500",-,-,-,-,"1,344,500","20,000",-,"29,000","29,000","29,000",-,"23,000",-,-,-,-,-,-,-,"7,000",-,-,-,-,-,"33,000","1,951,400","1,433,900","1,433,900","1,433,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"498,000","498,000",-,-,-,"19,500","145,900","145,900",-,-,-,"53,400",-,-,-,"92,500",-,"643,900",-,"145,900",-,"138,900","643,900","138,900","498,000","427,000","44,936","44,936",-,-
96,3/31/1999,"2,001,100","114,300","81,000",-,-,"81,000",-,-,-,"33,300","33,300",-,-,-,-,-,-,-,"637,100","637,100",-,-,-,"1,167,700","1,185,300",-,-,-,-,"1,185,300","17,600",-,"27,800","27,800","27,800",-,"23,100",-,-,-,-,-,-,-,"3,500",-,-,-,-,-,"27,600","1,852,200","1,307,800","1,307,800","1,307,800",-,"21,100",-,-,"1,100","1,100",-,"1,100","1,100",-,-,"4,000","4,000",-,"4,000",-,"500,000","500,000",-,-,-,"18,200","148,900","148,900",-,-,-,"47,000",-,-,"-1,100","103,000",-,"648,900",-,"148,900",-,"145,400","652,900","145,400","504,000","423,000","46,100","46,100",-,-
97,12/31/1998,"2,058,200","194,000","161,100",-,-,"161,100",-,-,-,"32,900","32,900",-,-,-,-,-,-,-,"682,400","682,400",-,-,-,"1,100,600","1,117,100",-,-,-,-,"1,117,100","16,500",-,"28,300","28,300","28,300",-,"23,400",-,-,-,-,-,-,-,"3,600",-,-,-,-,-,"25,900","1,907,400","1,292,900","1,292,900","1,292,900",-,"33,000",-,-,-,-,-,-,-,-,-,"291,000","291,000",-,"291,000",-,"273,800","273,800",-,-,-,"16,700","150,800","150,800",-,-,-,"41,700",-,-,-900,"110,000",-,"424,600",-,"150,800",-,"147,200","715,600","147,200","564,800","403,700","47,550","47,550",-,-
