,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
72,6/30/2005,"5,888,881","1,609,738","11,444,912",-,-,-,-,-,-,"9,835,174",-,-,-,-,-,"4,279,143",-,"2,347,293","2,347,293",-,"846,578",-,"1,500,715",-,-,-,"90,026","90,026",-,-,"1,841,824","-75,160","4,287,403","297,335",-,"2,634,717","2,634,717","2,634,717",-,-,-,"1,355,351",-,"-115,630","115,630",-,-,"1,410,688","465,825","944,864","944,864","944,864","944,864",-,-,-,-,"944,864",1.58,1.47,"597,102","642,290","1,534,578","944,864","1,022,312",-,"316,195","944,864","-115,630","-115,630",0,"-38,182"
73,3/31/2005,"6,580,298","1,442,574","8,903,845",-,-,-,-,-,-,"7,461,271",-,-,-,-,-,"5,137,724",-,"2,332,804","2,332,804",-,"808,459",-,"1,524,346",-,-,-,"110,314","110,314",-,-,"2,694,605","-94,114","4,536,008","284,658",-,"2,997,006","2,997,006","2,997,006",-,-,-,"1,254,345",-,"-168,172",-,-,-,"1,782,003","679,630","1,102,373","1,102,373","1,102,373","1,102,373",-,-,-,-,"1,102,373",1.83,1.62,"602,123","655,422","1,348,460","1,102,373","1,206,407",-,"489,087","1,102,373","-168,172","-168,172",0,"-64,138"
74,12/31/2004,"5,300,161","1,168,068","7,141,904",-,-,-,-,-,-,"5,973,836",-,-,-,-,-,"4,132,093","43,579","2,439,209","2,439,209",-,"866,332",-,"1,572,877",-,-,-,"-276,072","-22,755",-,-,"1,537,357","-10,714","4,571,562","394,179",-,"2,734,086","2,734,086","2,583,791","150,295",-,-,"1,443,297",-,-,-,-,-,"298,883","105,026","193,857","193,857","193,857","193,857",-,-,-,-,"193,857",-,-,-,-,"1,157,354","193,857","629,925",-,"406,948","193,857","-672,319","-672,319",0,"-236,250"
75,9/30/2004,"5,055,075","1,158,019","6,636,093",-,-,-,-,-,-,"5,478,074",-,-,-,-,-,"3,897,056","20,909","2,288,696","2,288,696",-,"772,817",-,"1,515,879",-,-,-,"92,481","38,601",-,"53,880","1,494,971","-82,831","3,966,216","328,910",-,"2,357,856","2,357,856","2,326,493","31,363",-,-,"1,279,450",-,-,-,-,-,"1,005,225","325,693","679,532","679,532","679,532","679,532",-,-,-,-,"679,532",1.10,0.99,"617,572","659,670","1,075,189","679,532","643,109",-,"482,483","679,532","53,880","53,880",0,"17,457"
76,6/30/2004,"5,389,628","1,457,676","7,490,878",-,-,-,-,-,-,"6,033,203",-,-,-,-,-,"3,931,953","28,694","2,365,238","2,365,238",-,"769,830",-,"1,595,409",-,-,-,"189,383","152,490",-,"36,893","1,348,637","-154,950","4,074,605","360,730",-,"2,515,269","2,515,269","2,486,575","28,694",-,-,"1,198,606",-,-,-,-,-,"1,160,074","411,560","748,514","748,514","748,514","748,514",-,-,-,-,"748,514",1.02,0.90,"644,736","695,460","1,302,726","748,514","724,710",-,"256,391","748,514","36,893","36,893",0,"13,088"
77,3/31/2004,"6,145,890","1,391,997","6,719,733",-,-,-,-,-,-,"5,327,736",-,-,-,-,-,"4,753,893","30,843","2,400,079","2,400,079",-,"797,050",-,"1,603,029",-,-,-,"228,076","64,933",-,"163,144","2,094,894","-122,561","4,464,130","349,825",-,"2,862,725","2,862,725","2,812,402","50,323",-,-,"1,251,580",-,-,-,-,-,"1,559,199","619,297","939,902","939,902","939,902","939,902",-,-,-,-,"939,902",1.40,1.30,"670,871","725,071","1,269,436","939,902","841,557",-,"629,037","939,902","163,144","163,144",0,"64,799"
78,12/31/2003,"5,183,832","1,250,848","6,126,074",-,-,-,-,-,-,"4,875,225",-,-,-,-,-,"3,932,984","28,747","2,342,097","2,342,097",-,"866,311",-,"1,475,786",-,-,-,"-3,535,937","-4,104,692",-,-,"5,519,707","-217,826","4,405,123","360,273",-,"2,523,076","2,523,076","2,515,584","7,492",-,-,"1,521,774",-,"113,512",581.82,-,-,"672,743","238,266","434,362","434,362","434,362","434,478",-115.9,-,-,-,"434,362",-,-,-,-,"1,033,022","434,478","-6,150",-,"629,392","434,478","682,267","682,267",0,"241,639"
79,9/30/2003,"5,157,394","1,611,042","7,009,492",-,-,-,-,-,-,"5,398,450",-,-,-,-,-,"3,546,352","29,167","2,377,102","2,377,102",-,"800,374",-,"1,576,728",-,-,-,"1,146,945","1,007,974",-,"138,972","-6,863","-174,144","4,228,343","333,704",-,"2,619,016","2,619,016","2,582,129","36,888",-,-,"1,275,623",-,-,-,-,-,"754,050","329,414","575,617","575,617","575,617","424,636","150,982",-,-,-,"575,617",0.84,0.78,"689,498","715,909","1,436,899","424,636","341,253",-,"445,152","424,636","138,972","138,972",0,"55,589"
80,6/30/2003,"5,893,435","1,668,691","7,494,336",-,-,-,-,-,-,"5,825,644",-,-,-,-,-,"4,224,744","25,204","2,284,021","2,284,021",-,"770,901",-,"1,513,121",-,-,-,"1,666,084","1,727,791",-,"-61,707","249,435","-338,953","4,492,430","338,953",-,"2,833,299","2,833,299","2,795,927","37,372",-,-,"1,320,178",-,"26,942","-26,942",-,-,"1,088,995","517,990","571,005","571,005","571,005","571,005",-,-,-,-,"571,005",0.75,0.72,"757,336","791,656","1,329,738","571,005","591,864",-,"435,160","571,005","-34,764","-34,764",0,"-13,906"
81,3/31/2003,"4,979,875","1,302,401","6,881,765",-,-,-,-,-,-,"5,579,364",-,-,-,-,-,"3,677,475","29,288","2,305,515","2,305,515",-,"827,386",-,"1,478,129",-,-,-,"739,522","1,383,858",-,"-644,336","603,150","-378,913","4,255,913","407,286",-,"2,602,971","2,602,971","2,574,598","28,373",-,-,"1,245,655",-,"-111,660","-1,830",-,"113,491","233,389","452,134","-218,745","-218,745","-218,745","-218,745",-,-,-,-,"-218,745",-0.29,-0.29,"755,525","755,525","923,487","-218,745","234,853",-,"1,556,840","-218,745","-755,996","-755,996",0,"-302,399"
82,12/31/2002,"5,446,741","1,429,017","7,081,423",-,-,-,-,-,-,"5,652,407",-,-,-,-,-,"4,017,725","33,382","2,693,005","2,693,005",-,"971,115",-,"1,721,890",-,-,-,"-2,061,869","-2,729,212",-,-,"4,240,422","-483,605","4,740,105","391,765",-,"2,644,948","2,644,948","2,613,533","31,415",-,-,"1,703,392",-,"2,721,092","-21,340",-,-,"2,943,111","3,047,699","-104,831","-104,831","-104,831","-104,588",-242.9,-,-,-,"-104,831",-,-,-,-,"945,411","-104,588","-2,137,649",-,-,"-104,588","3,388,435","3,388,435",0,"1,355,374"
83,9/30/2002,"5,458,237","1,709,370","9,468,371",-,-,-,-,-,-,"7,759,001",-,-,-,-,-,"3,748,867","24,304","2,509,371","2,509,371",-,"1,046,078",-,"1,463,294",-,-,-,"673,419","938,736",-,"-265,317","541,773","-752,406","4,886,085","361,520",-,"2,966,081","2,966,081","2,939,752","26,329",-,-,"1,558,484",-,"-129,620",-,-,-,"-310,887","-12,152","-298,735","-298,735","-298,735","-298,735",-,-,-,-,"-298,735",-0.38,-0.38,"791,888","792,123","956,964","-298,735","80,765",-,-,"-298,735","-394,937","-394,937",0,"-15,437"
84,6/30/2002,"8,123,262","2,330,279","9,223,476",-,-,-,-,-,-,"6,893,197",-,-,-,-,-,"5,792,983","54,356","3,007,721","3,007,721",-,"1,071,022",-,"1,936,698",-,-,-,"1,575,329","1,908,514",-,"-333,185","1,155,577","-586,848","5,052,125","384,521",-,"2,994,635","2,994,635","2,945,312","49,323",-,-,"1,672,969",-,"-2,130,972","264,736",-,"1,866,236","353,317","149,983","203,333","203,333","203,333","203,333",-,-,-,-,"203,333",0.26,0.25,"791,084","791,084","1,743,431","203,333","1,681,827",-,-,"203,333","-2,464,157","-2,464,157",0,"-985,663"
85,3/31/2002,"7,540,056","1,723,245","10,038,875",-,-,-,-,-,-,"8,315,630",-,-,-,-,-,"5,816,811","633,310","2,631,906","2,631,906",-,"840,971",-,"1,790,935",-,-,-,"2,366,880","2,434,571",-,"-67,691","184,715","-269,615","5,661,926","383,198",-,"3,522,211","3,522,211","2,868,250","653,961",-,-,"1,756,516",-,"-339,601","339,601",-,-,"1,268,914","709,031","596,596","596,596","596,596","559,882","36,714",-,-,-,"596,596",0.74,0.73,"791,084","791,084","1,453,629","559,882","804,257",-,-,"559,882","-407,291","-407,291",0,"-162,917"
86,12/31/2001,"6,728,249","3,195,897","17,965,530",-,-,-,-,-,-,"14,769,633",-,-,-,-,-,"3,532,352","2,380,725","2,071,678","2,071,678",-,"-5,130,337",-,-,-,"-1,383,075",-,"-1,761,525","-1,761,525",-,-,"2,224,548","-415,809","8,574,367",-,-,"5,594,126","5,594,126","2,586,543",-,-,-,"-1,309,724",-,-,-,-,-,"-2,173,039","448,322","-2,828,161","-2,828,161","-2,828,161","-2,621,361",-,-,-,-,"-2,828,161",-,-,-,-,"2,780,088","-2,621,361","-2,621,361",-,-,"-2,621,361",-,-,0,0
87,9/30/2001,"8,976,991","2,291,998","15,188,875",-,-,-,-,-,-,"12,896,877",-,-,-,-,-,"6,684,993","144,896","3,518,129","3,518,129",-,"3,518,129",-,-,-,"-236,005",-,"1,169,051","1,169,051",-,-,"2,088,923","-210,758","7,637,797",-,-,"4,421,536","4,421,536","4,421,536",-,-,-,"3,216,261",-,"-25,247","25,247",-,-,"1,102,091","391,879","710,212","710,212","710,212","710,212",-,-,-,-,"710,212",-0.01,-0.01,"877,410","890,503","2,081,239","710,212","726,482",-,-,"710,212","-25,247","-25,247",0,"-8,977"
88,6/30/2001,"7,276,094","1,540,169","10,827,073",-,-,-,-,-,-,"9,286,904",-,-,-,-,-,"5,735,925","109,424","2,696,767","2,696,767",-,"2,696,767",-,-,-,"1,204,838",-,"805,971","805,971",-,-,"918,925","-238,850","5,417,066",-,-,"3,189,763","3,189,763","3,189,763",-,-,-,"2,227,304",-,"-29,415","29,415",-,-,"1,593,116","201,199","1,391,918","1,391,918","1,391,918","1,391,918",-,-,-,-,"1,391,918",1.04,1.04,"934,167","946,162","1,301,320","1,391,918","1,417,618",-,-,"1,391,918","-29,415","-29,415",0,"-3,715"
89,3/31/2001,"7,466,879","1,778,535","10,897,236",-,-,-,-,-,-,"9,118,701",-,-,-,-,-,"5,688,344","98,173","2,745,428","2,745,428",-,"2,745,428",-,-,-,"124,429",-,"1,413,239","1,413,239",-,-,"1,307,075","-183,790","5,796,791",-,-,"3,535,380","3,535,380","3,535,380",-,-,-,"2,261,411",-,"-37,671","37,671",-,-,"1,446,344","420,090","1,026,253","1,026,253","1,026,253","1,026,253",-,-,-,-,"1,026,253",0.48,0.47,"894,639","906,127","1,594,745","1,026,253","1,052,983",-,-,"1,026,253","-37,671","-37,671",0,"-10,942"
