,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Trust Fees by Commissions,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Loss on Extinguishment of Debt,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
72,5/31/2005,"4,927,000","845,000","4,867,000",-,-,-,-,-,-,"4,022,000",-,-,-,-,-,"4,082,000",-,-,-,-,-,"796,000",-,-,"2,562,000","2,562,000","724,000",-,"3,683,000","186,000",-,-,"2,497,000","2,403,000","2,403,000",-,-,"94,000",-,-,-,-,-,"1,000,000",-,-,-,-,-,-,-,"1,244,000","379,000","865,000","865,000","865,000","865,000",-,"865,000",1.78,1.71,"485,400","506,200","845,000","865,000","865,000",-,"230,000","865,000",-,-,0,0
73,2/28/2005,"6,515,000","727,000","4,176,000",-,-,-,-,-,-,"3,449,000",-,-,-,-,-,"5,788,000",-,-,-,-,-,"873,000",-,-,"4,141,000","4,141,000","774,000",-,"4,370,000","148,000",-,-,"3,285,000","3,203,000","3,203,000",-,-,"82,000",-,-,-,-,-,"937,000",-,-,-,-,-,-,-,"2,145,000","633,000","1,512,000","1,512,000","1,512,000","1,512,000",-,"1,512,000",3.06,2.94,"494,300","515,100","727,000","1,512,000","1,512,000",-,"198,000","1,512,000",-,-,0,0
74,11/30/2004,"4,634,000","933,000","3,754,000",-,-,-,-,-,-,"2,821,000",-,-,-,-,-,"3,701,000",-,-,-,-,-,"750,000",-,-,"2,332,000","2,332,000","619,000",-,"2,920,000","163,000",-,-,"1,777,000","1,617,000","1,617,000",-,-,"160,000",-,-,-,-,-,"980,000",-,-,-,-,-,-,-,"1,714,000","520,000","1,194,000","1,194,000","1,194,000","1,194,000",-,"1,194,000",-,-,-,-,"933,000","1,194,000","1,194,000",-,"157,000","1,194,000",-,-,0,0
75,8/31/2004,"4,647,000","749,000","2,905,000",-,-,-,-,-,-,"2,156,000",-,-,-,-,-,"3,898,000",-,-,-,-,-,"854,000",-,-,"2,424,000","2,424,000","620,000",-,"3,354,000","157,000",-,-,"2,345,000","2,269,000","2,269,000",-,-,"76,000",-,-,-,-,-,"852,000",-,-,-,-,-,-,-,"1,293,000","414,000","879,000","879,000","879,000","879,000",-,"879,000",1.80,1.74,"489,200","505,000","749,000","879,000","879,000",-,"148,000","879,000",-,-,0,0
76,5/31/2004,"5,638,000","672,000","2,710,000",-,-,-,-,-,-,"2,038,000",-,-,-,-,-,"4,966,000",-,-,-,-,-,"928,000",-,-,"3,409,000","3,409,000","629,000",-,"3,898,000","156,000",-,-,"2,832,000","2,756,000","2,756,000",-,-,"76,000",-,-,-,-,-,"910,000",-,-,-,-,-,-,-,"1,740,000","553,000","1,187,000","1,187,000","1,187,000","1,187,000",-,"1,187,000",2.43,2.31,"487,900","513,500","672,000","1,187,000","1,187,000",-,"152,000","1,187,000",-,-,0,0
77,2/29/2004,"6,032,000","672,000","2,545,000",-,-,-,-,-,-,"1,873,000",-,-,-,-,-,"5,360,000",-,-,-,-,-,"754,000",-,-,"3,819,000","3,819,000","787,000",-,"4,103,000","170,000",-,-,"3,026,000","2,964,000","2,964,000",-,-,"62,000",-,-,-,-,-,"907,000",-,-,-,-,-,-,-,"1,929,000","636,000","1,293,000","1,293,000","1,293,000","1,293,000",-,"1,293,000",2.63,2.50,"492,000","517,100","672,000","1,293,000","1,293,000",-,"167,000","1,293,000",-,-,0,0
78,11/30/2003,"4,058,000","640,000","2,411,000",-,-,-,-,-,-,"1,771,000",-,-,-,-,-,"3,418,000",-,-,-,-,-,"-2,012,000",-,-,"5,287,000","5,287,000","143,000",-,"2,638,000","171,000",-,-,"1,494,000","1,411,000","1,411,000",-,-,"83,000",-,-,-,-,-,"973,000",-,-,-,-,-,-,-,"1,409,000","438,000","971,000","971,000","971,000","971,000",-,"971,000",-,-,-,-,"640,000","971,000","971,000",-,"337,000","971,000",-,-,0,0
79,8/31/2003,"3,793,000","919,000","2,841,000",-,-,-,-,-,-,"1,922,000",-,-,-,-,-,"2,874,000",-,-,-,-,-,"592,000",-,-,"1,169,000","1,169,000","1,113,000",-,"2,813,000","151,000",-,-,"1,958,000","1,896,000","1,896,000",-,-,"62,000",-,-,-,-,-,"704,000",-,-,-,-,-,-,-,"980,000","303,000","677,000","677,000","677,000","677,000",-,"677,000",1.39,1.32,"488,500","511,700","919,000","677,000","677,000",-,"170,000","677,000",-,-,0,0
80,5/31/2003,"3,985,000","867,000","2,867,000",-,-,-,-,-,-,"2,000,000",-,-,-,-,-,"3,118,000",-,-,-,-,-,"556,000",-,-,"1,526,000","1,526,000","1,036,000",-,"2,947,000","177,000",-,-,"2,056,000","1,992,000","1,992,000",-,-,"64,000",-,-,-,-,-,"714,000",-,-,-,-,-,-,-,"1,038,000","343,000","695,000","695,000","695,000","695,000",-,"695,000",1.43,1.36,"485,800","510,200","867,000","695,000","695,000",-,"185,000","695,000",-,-,0,0
81,2/28/2003,"4,187,000","725,000","2,632,000",-,-,-,-,-,-,"1,907,000",-,-,-,-,-,"3,462,000",-,-,-,-,-,"626,000",-,-,"1,773,000","1,773,000","1,063,000",-,"3,169,000","223,000",-,-,"2,149,000","2,094,000","2,094,000",-,-,"55,000",-,-,-,-,-,"797,000",-,-,-,-,-,-,-,"1,018,000","356,000","662,000","662,000","662,000","662,000",-,"662,000",1.35,1.29,"489,300","512,000","725,000","662,000","662,000",-,"189,000","662,000",-,-,0,0
82,11/30/2002,"2,888,000","620,000","2,780,000",-,-,-,-,-,-,"2,160,000",-,-,-,-,-,"2,268,000",-,-,-,-,-,"449,000",-,-,"679,000","679,000","1,140,000",-,"2,169,000","180,000",-,-,"1,270,000","1,195,000","1,195,000",-,-,"75,000",-,-,-,-,-,"719,000",-,-,-,-,-,-,-,"719,000","214,000","505,000","505,000","505,000","505,000",-,"505,000",-,-,-,-,"620,000","505,000","505,000",-,"199,000","505,000",-,-,0,0
83,8/31/2002,"3,649,000","696,000","2,919,000",-,-,-,-,-,-,"2,223,000",-,-,-,-,-,"2,953,000",-,-,-,-,-,"593,000",-,-,"1,107,000","1,107,000","1,253,000",-,"2,855,000","172,000",-,-,"1,899,000","1,824,000","1,824,000",-,-,"75,000",-,-,-,-,-,"784,000",-,-,-,-,-,-,-,"794,000","272,000","522,000","522,000","522,000","522,000",-,"522,000",1.05,1.00,"494,900","520,400","696,000","522,000","522,000",-,"192,000","522,000",-,-,0,0
84,5/31/2002,"3,851,000","673,000","3,056,000",-,-,-,-,-,-,"2,383,000",-,-,-,-,-,"3,178,000",-,-,-,-,-,"705,000",-,-,"1,074,000","1,074,000","1,399,000",-,"2,950,000","144,000",-,-,"2,012,000","1,926,000","1,926,000",-,-,"86,000",-,-,-,-,-,"794,000",-,-,-,-,-,-,-,"901,000","338,000","563,000","563,000","563,000","563,000",-,"563,000",1.13,1.06,"496,800","531,000","673,000","563,000","563,000",-,"185,000","563,000",-,-,0,0
85,2/28/2002,"3,598,000","412,000","2,514,000",-,-,-,-,-,-,"2,102,000",-,-,-,-,-,"3,186,000",-,-,-,-,-,"825,000",-,-,"1,203,000","1,203,000","1,158,000",-,"2,759,000","141,000",-,-,"1,869,000","1,799,000","1,799,000",-,-,"70,000",-,-,-,-,-,"749,000",-,-,-,-,-,-,-,"839,000","315,000","524,000","524,000","524,000","524,000",-,"524,000",1.05,0.98,"500,200","534,400","412,000","524,000","524,000",-,"168,000","524,000",-,-,0,0
86,11/30/2001,"3,427,000","494,000","3,185,000",-,-,-,-,-,-,"2,691,000",-,-,-,-,-,"2,933,000",-,-,-,-,-,"682,000",-,-,"1,126,000","1,126,000","1,125,000",-,"2,703,000","138,000",-,-,"1,722,000","1,632,000","1,632,000",-,-,"90,000",-,-,-,-,-,"843,000",-,-,-,-,-,-,-,"724,000","227,000","497,000","497,000","497,000","497,000",-,"497,000",-,-,-,-,"494,000","497,000","497,000",-,"242,000","497,000",-,-,0,0
87,8/31/2001,"3,661,000","265,000","3,964,000",-,-,-,-,-,-,"3,699,000",-,-,-,-,-,"3,396,000",-,-,-,-,-,"1,080,000",-,-,"1,267,000","1,267,000","1,049,000",-,"2,894,000","142,000",-,-,"1,884,000","1,794,000","1,794,000",-,-,"90,000",-,-,-,-,-,"868,000",-,-,-,-,-,-,-,"767,000","299,000","468,000","468,000","468,000","468,000",-,"468,000",0.92,0.87,"508,100","539,700","265,000","468,000","468,000",-,"226,000","468,000",-,-,0,0
88,5/31/2001,"3,990,000","166,000","4,334,000",-,-,-,-,-,-,"4,168,000",-,-,-,-,-,"3,824,000",-,-,-,-,-,"784,000",-,-,"1,795,000","1,795,000","1,245,000",-,"3,044,000","151,000",-,-,"2,009,000","1,907,000","1,907,000",-,-,"102,000",-,-,-,-,-,"884,000",-,-,-,-,-,-,-,"946,000","369,000","577,000","577,000","577,000","577,000",-,"577,000",1.12,1.06,"513,800","545,800","166,000","577,000","577,000",-,"209,000","577,000",-,-,0,0
89,2/28/2001,"4,733,000","368,000","5,137,000",-,-,-,-,-,-,"4,769,000",-,-,-,-,-,"4,365,000",-,-,-,-,-,"1,131,000",-,-,"2,066,000","2,066,000","1,168,000",-,"3,474,000","160,000",-,-,"2,491,000","2,367,000","2,367,000",-,-,"124,000",-,-,-,-,-,"823,000",-,-,-,-,-,-,-,"1,259,000","491,000","768,000","768,000","768,000","768,000",-,"768,000",1.49,1.40,"515,400","548,600","368,000","768,000","768,000",-,"196,000","768,000",-,-,0,0
90,11/30/2000,"3,415,000","243,000","4,817,000",-,-,-,-,-,-,"4,574,000",-,-,-,-,-,"3,172,000",-,-,-,-,-,"1,208,000",-,-,"985,000","985,000","979,000",-,"2,505,000","128,000",-,-,"1,349,000","1,186,000","1,186,000",-,-,"163,000",-,-,-,-,-,"1,028,000",-,-,-,-,-,-,-,"910,000","309,000","601,000","601,000","601,000","601,000",-,"601,000",-,-,-,-,"243,000","601,000","601,000",-,"164,000","601,000",-,-,0,0
91,8/31/2000,"4,527,000","227,000","4,551,000",-,-,-,-,-,-,"4,324,000",-,-,-,-,-,"4,300,000",-,-,-,-,-,"1,316,000",-,-,"2,112,000","2,112,000","872,000",-,"3,154,000","116,000",-,-,"2,389,000","2,263,000","2,263,000",-,-,"126,000",-,-,-,-,-,"649,000",-,-,-,-,-,-,-,"1,373,000","549,000","824,000","824,000","824,000","824,000",-,"824,000",1.71,1.62,"481,253","508,895","227,000","824,000","824,000",-,"119,000","824,000",-,-,0,0
92,5/31/2000,"4,155,000","293,000","4,334,000",-,-,-,-,-,-,"4,041,000",-,-,-,-,-,"3,862,000",-,-,-,-,-,"1,585,000",-,-,"942,000","942,000","1,335,000",-,"2,897,000","101,000",-,-,"2,188,000","2,077,000","2,077,000",-,-,"111,000",-,-,-,-,-,"608,000",-,-,-,-,-,-,-,"1,258,000","503,000","755,000","755,000","755,000","755,000",-,"755,000",1.56,1.48,"484,380","510,263","293,000","755,000","755,000",-,"102,000","755,000",-,-,0,0
93,2/29/2000,"4,493,000","223,000","3,694,000",-,-,-,-,-,-,"3,471,000",-,-,-,-,-,"4,270,000",-,-,-,-,-,"1,230,000",-,-,"2,096,000","2,096,000","944,000",-,"3,014,000","95,000",-,-,"2,353,000","2,247,000","2,247,000",-,-,"106,000",-,-,-,-,-,"566,000",-,-,-,-,-,-,-,"1,479,000","592,000","887,000","887,000","887,000","887,000",-,"887,000",1.83,1.76,"484,576","505,387","223,000","887,000","887,000",-,"101,000","887,000",-,-,0,0
94,11/30/1999,"3,473,000","214,000","3,453,000",-,-,-,-,-,-,"3,239,000",-,-,-,-,-,"3,259,000",-,-,-,-,-,"1,305,000",-,-,"1,218,000","1,218,000","736,000",-,"2,264,000","93,000",-,-,"1,644,000","1,527,000","1,527,000",-,-,"117,000",-,-,-,-,-,"527,000",-,-,-,-,-,-,-,"1,209,000","486,000","723,000","723,000","723,000","723,000",-,"723,000",-,-,-,-,"214,000","723,000","723,000",-,"108,000","723,000",-,-,0,0
95,8/31/1999,"3,408,000","206,000","3,238,000",-,-,-,-,-,-,"3,032,000",-,-,-,-,-,"3,202,000",-,-,-,-,-,"1,150,000",-,-,"1,423,000","1,423,000","629,000",-,"2,326,000","76,000",-,-,"1,796,000","1,704,000","1,704,000",-,-,"92,000",-,-,-,-,-,"454,000",-,-,-,-,-,-,-,"1,082,000","444,000","638,000","638,000","638,000","638,000",-,"638,000",1.34,1.32,"476,119","483,333","206,000","638,000","638,000",-,"71,000","638,000",-,-,0,0
96,5/31/1999,"3,469,000","132,000","3,018,000",-,-,-,-,-,-,"2,886,000",-,"2,886,000",-,-,-,"3,337,000",-,-,-,-,-,"1,002,000",-,-,"616,000","616,000","1,719,000",-,"4,956,000","67,000",-,-,"2,031,000","1,953,000","1,953,000",-,-,"78,000",-,-,-,-,-,"2,858,000",-,-,-,-,-,-,-,"-1,487,000","-1,827,000","340,000","340,000","340,000","340,000",-,"340,000",0.72,0.71,"472,222","478,873","132,000","340,000","340,000",-,"61,000","340,000",-,-,0,0
97,2/28/1999,"152,000","152,000","3,013,000",-,-,-,-,-,-,"2,861,000",-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,"1,807,000",-,-,-,"1,275,000","1,275,000","1,275,000",-,-,-,-,-,-,-,-,"532,000",-,-,-,-,-,-,-,"1,188,000","181,000","1,007,000","1,007,000","1,007,000","1,007,000",-,"1,007,000",2.26,2.26,"444,686","444,686","152,000","1,007,000","1,007,000",-,"97,000","1,007,000",-,-,0,0
