,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Cash & Cash Equivalents,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Security Agree to be Resold,Security Borrowed,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Depositsby Bank,Customer Accounts,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Securities Loaned,Payables And Accrued Expenses,Payables,Accounts Payable,Total Tax Payable,Income Tax Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Capital Lease Obligation,Employee Benefits,Non Current Pension And Other Post-Retirement Benefit Plans,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
23,6/30/2017,"906,518,000","226,441,000","110,888,000",-,"110,888,000",-,-,"115,553,000","115,553,000","115,553,000","178,301,000",-,"327,740,000",-,"327,740,000",-,-,"242,000",-,"53,952,000","54,669,000",-,"25,890,000","13,539,000","11,058,000","4,182,000","717,000","101,784,000","59,343,000","42,441,000","13,978,000","22,188,000","22,188,000","-8,210,000","4,080,000","3,668,000","412,000",-,-,-,"819,843,000","125,544,000","125,544,000","78,134,000","47,410,000","83,635,000","83,635,000","12,005,000","205,863,000","201,172,000","199,562,000","1,610,000","1,610,000","4,691,000","53,053,000","53,053,000",-,-,"53,053,000",-,-,"216,014,000","216,014,000",-,"5,228,000",-,-,"118,501,000","86,675,000","86,675,000","11,212,000","11,203,000","9,000","92,225,000","53,187,000","71,642,000","-1,615,000",-,-,"3,308,000",-,"302,689,000","11,203,000","75,472,000",-,"82,595,000","344,539,000","71,392,000","269,067,000","158,179,000","881,817","388,213","254,998","493,604"
24,3/31/2017,"894,069,000","240,313,000","123,035,000",-,"123,035,000",-,-,"117,278,000","117,278,000","117,278,000","187,446,000",-,"308,871,000",-,"308,871,000",-,-,"221,000",-,"50,385,000","50,927,000",-,"25,151,000","13,156,000","8,878,000","3,742,000","542,000","89,394,000","54,460,000","34,934,000","13,372,000","21,292,000","21,292,000","-7,920,000","4,067,000","3,664,000","403,000",-,-,-,"807,152,000","127,929,000","127,929,000","79,287,000","48,642,000","88,533,000","88,533,000","9,698,000","202,439,000","197,882,000","196,258,000","1,624,000","1,624,000","4,557,000","47,121,000","47,121,000",-,-,"47,121,000",-,-,"211,248,000","211,248,000",-,"3,714,000",-,-,"116,470,000","86,917,000","86,917,000","11,212,000","11,203,000","9,000","90,904,000","53,185,000","70,169,000","-1,370,000",-,-,"3,155,000",-,"298,165,000","11,203,000","75,714,000",-,"82,850,000","334,083,000","71,647,000","258,369,000","135,334,000","881,753","394,792","254,998","486,962"
25,12/31/2016,"860,165,000","238,636,000","121,711,000",-,"121,711,000",-,-,"116,925,000","116,925,000","116,925,000","184,600,000",-,"295,952,000",-,"295,952,000",-,-,"219,000",-,"49,672,000","50,181,000",-,"24,837,000","13,828,000","8,626,000","2,890,000","509,000","74,921,000","47,780,000","27,141,000","12,070,000","19,750,000","19,750,000","-7,680,000","4,095,000","3,666,000","429,000",-,-,-,"773,272,000","124,098,000","124,098,000","73,174,000","50,924,000","71,816,000","71,816,000","7,524,000","194,469,000","190,249,000","188,455,000","1,794,000","1,794,000","4,220,000","52,383,000","52,383,000",-,-,"52,383,000",-,-,"198,075,000","198,075,000",-,"7,258,000",-,-,"117,649,000","86,893,000","86,893,000","11,212,000","11,203,000","9,000","89,039,000","52,638,000","68,694,000","-1,216,000",-,-,"3,914,000",-,"284,968,000","11,203,000","75,690,000",-,"82,798,000","326,148,000","71,595,000","250,458,000","128,747,000","873,608","392,632","254,998","480,976"
26,9/30/2016,"879,987,000","248,281,000","99,535,000",-,"99,535,000","54,526,000",-,"94,220,000","94,220,000","94,220,000","185,468,000",-,"292,420,000",-,"292,420,000",-,-,"213,000",-,"49,064,000","49,555,000",-,"24,936,000","14,374,000","7,798,000","2,447,000","491,000","89,090,000","53,855,000","35,235,000","11,347,000","19,507,000","19,507,000","-8,160,000","4,104,000","3,669,000","435,000",-,-,-,"792,877,000","124,550,000","124,550,000","69,838,000","54,712,000","73,905,000","73,905,000","5,256,000","210,446,000","206,014,000","204,487,000","1,527,000","1,527,000","4,432,000","58,013,000","58,013,000",-,0,"58,013,000",-,-,"198,460,000","198,460,000",-,"6,655,000",-,-,"115,592,000","87,110,000","87,110,000","11,212,000","11,203,000","9,000","87,160,000","52,541,000","67,195,000","-582,000",-,-,"3,974,000",-,"285,570,000","11,203,000","75,907,000",-,"83,006,000","332,380,000","71,803,000","256,473,000","156,938,000","872,613","399,212","225,998","473,401"
27,6/30/2016,"896,843,000","275,088,000","103,293,000",-,"103,293,000","64,620,000",-,"107,175,000","107,175,000","107,175,000","190,615,000",-,"279,992,000",-,"279,992,000",-,-,"224,000",-,"48,212,000","48,724,000",-,"23,010,000","14,637,000","7,982,000","3,095,000","512,000","87,816,000","51,710,000","36,106,000","10,751,000","18,731,000","18,731,000","-7,980,000","4,145,000","3,669,000","476,000",-,-,-,"810,329,000","123,708,000","123,708,000","65,562,000","58,146,000","77,530,000","77,530,000","3,972,000","223,837,000","219,389,000","217,936,000","1,453,000","1,453,000","4,448,000","59,519,000","59,519,000",-,0,"59,519,000",-,-,"193,160,000","193,160,000",-,"5,254,000",-,-,"123,349,000","86,514,000","86,514,000","11,212,000","11,203,000","9,000","85,339,000","52,480,000","65,921,000","-551,000",-,-,"3,955,000",-,"279,674,000","11,203,000","75,311,000",-,"82,369,000","327,990,000","71,166,000","252,679,000","149,386,000","872,169","406,592","225,998","465,578"
28,3/31/2016,"878,036,000","265,969,000","79,169,000",-,"79,169,000","58,287,000",-,"128,513,000","128,513,000","128,513,000","180,603,000",-,"286,902,000",-,"286,902,000",-,-,"237,000",-,"47,924,000","48,413,000",-,"23,096,000","14,183,000","7,251,000","3,883,000","489,000","81,653,000","49,399,000","32,254,000","10,612,000","18,562,000","18,562,000","-7,950,000","4,136,000","3,659,000","477,000",-,-,-,"791,199,000","104,866,000","104,866,000","50,974,000","53,892,000","77,617,000","77,617,000","4,427,000","219,577,000","212,151,000","210,938,000","1,213,000","1,213,000","7,426,000","61,840,000","61,840,000",-,"133,000","61,707,000",-,-,"191,714,000","191,714,000",-,"3,758,000",-,-,"127,400,000","86,837,000","86,837,000","11,212,000","11,203,000","9,000","83,990,000","52,471,000","64,178,000","-478,000",-,-,"3,820,000",-,"278,551,000","11,203,000","75,634,000",-,"82,701,000","329,188,000","71,498,000","253,554,000","174,385,000","872,017","417,572","225,998","454,444"
29,12/31/2015,"861,395,000","252,848,000","75,105,000",-,"75,105,000","56,838,000",-,"120,905,000","120,905,000","120,905,000","172,099,000",-,"293,940,000",-,"293,940,000",-,-,"258,000",-,"45,407,000","45,821,000",-,"20,740,000","13,961,000","7,587,000","3,533,000","414,000","82,739,000","46,430,000","36,309,000","9,956,000","17,726,000","17,726,000","-7,770,000","4,148,000","3,657,000","491,000",-,-,-,"774,667,000","97,519,000","97,519,000","47,353,000","50,166,000","86,069,000","86,069,000","3,614,000","219,997,000","211,642,000","210,362,000","1,280,000","1,280,000","8,355,000","57,020,000","57,020,000",-,"208,000","56,812,000",-,-,"186,443,000","186,443,000",-,"8,298,000",-,-,"115,707,000","86,728,000","86,728,000","11,209,000","11,200,000","9,000","83,386,000","51,340,000","62,640,000","-718,000",-,-,"4,151,000",-,"273,171,000","11,200,000","75,528,000",-,"82,580,000","318,991,000","71,380,000","243,463,000","168,358,000","863,977","419,481","225,998","444,496"
30,9/30/2015,"880,559,000","250,646,000","65,575,000",-,"65,575,000","58,168,000",-,"126,903,000","126,903,000","126,903,000","173,315,000",-,"290,487,000",-,"290,487,000",-,-,"276,000",-,"42,189,000","42,522,000",-,"19,806,000","13,707,000","3,931,000","5,078,000","333,000","107,807,000","52,016,000","55,791,000","11,671,000","19,971,000","19,971,000","-8,300,000","4,168,000","3,652,000","516,000",-,-,-,"792,856,000","91,458,000","91,458,000","42,269,000","49,189,000","89,481,000","89,481,000","3,519,000","230,559,000","224,248,000","222,778,000","1,470,000","1,470,000","6,311,000","55,511,000","55,511,000",0,"342,000","55,169,000",-,-,"188,280,000","188,280,000",-,"8,202,000",-,-,"125,846,000","87,703,000","87,703,000","11,209,000","11,200,000","9,000","83,105,000","51,281,000","60,992,000","-911,000",-,-,"4,011,000",-,"275,983,000","11,200,000","76,503,000",-,"83,535,000","320,294,000","72,335,000","243,791,000","178,216,000","863,547","427,904","225,998","435,642"
31,6/30/2015,"859,879,000","219,804,000","60,845,000",-,"60,845,000","35,340,000",-,"123,619,000","123,619,000","123,619,000","177,978,000",-,"303,463,000",-,"303,463,000",-,-,"287,000",-,"38,397,000","38,671,000",-,"18,843,000","13,084,000","2,890,000","3,854,000","274,000","104,184,000","56,349,000","47,835,000","11,600,000","19,830,000","19,830,000","-8,230,000","4,166,000","3,645,000","521,000",-,-,-,"772,225,000","89,064,000","89,064,000","41,632,000","47,432,000","87,642,000","87,642,000","7,262,000","213,787,000","207,692,000","206,112,000","1,580,000","1,580,000","6,095,000","58,625,000","58,625,000","20,000","294,000","58,311,000",-,-,"183,157,000","183,157,000",-,"7,732,000",-,-,"124,956,000","87,654,000","87,654,000","11,209,000","11,200,000","9,000","82,072,000","51,210,000","59,940,000","-908,000",-,-,"4,011,000",-,"270,811,000","11,200,000","76,454,000",-,"83,488,000","318,236,000","72,288,000","241,782,000","180,937,000","863,047","432,768","225,998","430,278"
32,3/31/2015,"865,458,000","218,677,000","63,129,000",-,"63,129,000","42,323,000",-,"113,225,000","113,225,000","113,225,000","166,673,000",-,"325,938,000",-,"325,938,000",-,-,"350,000",-,"32,619,000","32,847,000",-,"16,648,000","11,540,000","2,432,000","2,227,000","228,000","106,815,000","58,590,000","48,225,000","10,200,000","18,800,000","18,800,000","-8,600,000","4,186,000","3,645,000","541,000",-,-,-,"780,331,000","86,071,000","86,071,000","41,463,000","44,608,000","85,833,000","85,833,000","6,736,000","229,763,000","224,900,000","223,287,000","1,613,000","1,613,000","4,863,000","58,701,000","58,701,000","33,000","567,000","58,101,000",-,-,"174,375,000","174,375,000",-,"5,624,000",-,-,"133,228,000","85,127,000","85,127,000","9,209,000","9,200,000","9,000","81,455,000","51,008,000","59,698,000","-771,000",-,-,"3,924,000",-,"259,502,000","9,200,000","75,927,000",-,"80,941,000","309,003,000","71,741,000","233,076,000","169,947,000","861,211","432,093","225,998","429,118"
33,12/31/2014,"856,240,000","237,254,000","57,600,000",-,"57,600,000","51,716,000",-,"127,938,000","127,938,000","127,938,000","160,722,000",-,"312,248,000",-,"312,248,000",-,-,"360,000",-,"28,938,000","29,166,000",-,"15,044,000","11,289,000","1,705,000","1,128,000","228,000","103,214,000","63,808,000","39,406,000","9,344,000","18,324,000","18,324,000","-8,980,000","4,160,000","3,645,000","515,000",-,-,-,"773,443,000","83,008,000","83,008,000","41,409,000","41,599,000","88,215,000","88,215,000","5,570,000","219,856,000","215,105,000","213,572,000","1,533,000","1,533,000","4,751,000","60,100,000","60,100,000","338,000","617,000","59,145,000",-,-,"175,663,000","175,663,000",-,"8,544,000",-,-,"132,487,000","82,797,000","82,797,000","9,209,000","9,200,000","9,000","78,984,000","50,049,000","58,468,000","-743,000",-,-,"3,766,000",-,"258,460,000","9,200,000","73,597,000",-,"78,637,000","309,360,000","69,437,000","235,763,000","178,163,000","852,785","430,259","225,998","422,526"
34,9/30/2014,"868,933,000","224,009,000","54,150,000",-,"54,150,000","44,190,000",-,"125,669,000","125,669,000","125,669,000","172,372,000",-,"325,326,000",-,"325,326,000",-,-,"391,000",-,-,-,-,-,-,-,-,-,"133,767,000","97,626,000","36,141,000","8,682,000","17,762,000","17,762,000","-9,080,000","4,386,000",-,-,-,-,-,"786,658,000","77,951,000",-,-,-,"96,660,000","96,660,000","6,337,000","225,118,000","220,749,000","219,347,000","1,402,000","1,402,000","4,369,000","67,139,000","67,139,000",-,-,"67,139,000",-,-,"172,979,000","172,979,000",-,"8,060,000",-,-,"132,414,000","82,275,000","82,275,000","9,209,000","9,200,000","9,000","77,227,000","50,016,000","57,221,000","-643,000",-,-,"3,687,000",-,"255,254,000","9,200,000","73,075,000",-,"77,889,000","313,193,000","68,689,000","240,118,000","185,968,000","851,632","435,734","225,998","415,898"
35,6/30/2014,"859,914,000","206,754,000","56,983,000",-,"56,983,000","40,668,000",-,"109,103,000","109,103,000","109,103,000","164,719,000",-,"345,806,000",-,"345,806,000",-,-,"405,000",-,-,-,-,-,-,-,-,-,"128,877,000","91,011,000","37,866,000","8,884,000","18,394,000","18,394,000","-9,510,000","4,469,000",-,-,-,-,-,"778,285,000","73,750,000",-,-,-,"106,966,000","106,966,000","9,440,000","218,128,000","212,858,000","211,516,000","1,342,000","1,342,000","5,270,000","64,494,000","64,494,000",-,-,"64,494,000",-,-,"174,010,000","174,010,000",-,"7,122,000",-,-,"124,375,000","81,629,000","81,629,000","9,208,000","9,200,000","8,000","75,340,000","49,942,000","55,975,000","-595,000",-,-,"3,709,000",-,"255,639,000","9,200,000","72,429,000",-,"77,160,000","310,933,000","67,960,000","238,504,000","181,521,000","849,565","440,735","225,998","408,831"
36,3/31/2014,"915,665,000","254,071,000","58,858,000",-,"58,858,000","60,180,000",-,"135,033,000","135,033,000","135,033,000","190,735,000",-,"332,533,000",-,"332,533,000",-,-,"397,000",-,-,-,-,-,-,-,-,-,"124,499,000","86,589,000","37,910,000","8,944,000","18,234,000","18,234,000","-9,290,000","4,486,000",-,-,-,-,-,"836,566,000","71,457,000",-,-,-,"138,744,000","138,744,000","18,342,000","234,894,000","229,792,000","228,414,000","1,378,000","1,378,000","5,102,000","64,504,000","64,504,000",-,-,"64,504,000",-,-,"172,958,000","172,958,000",-,"4,906,000",-,-,"130,761,000","79,099,000","79,099,000","7,208,000","7,200,000","8,000","73,646,000","49,959,000","54,726,000","-560,000",-,-,"3,572,000",-,"252,057,000","7,200,000","71,899,000",-,"74,613,000","309,361,000","67,413,000","237,462,000","178,604,000","849,104","448,032","197,998","401,072"
37,12/31/2013,"911,507,000","272,536,000","61,133,000",-,"61,133,000","49,671,000",-,"161,732,000","161,732,000","161,732,000","164,566,000",-,"339,121,000",-,"339,121,000",-,-,"417,000",-,-,-,-,-,-,-,-,-,"121,295,000","88,935,000","32,360,000","9,196,000","18,236,000","18,236,000","-9,040,000","4,376,000","3,705,000","671,000",-,-,-,"833,040,000","70,807,000",-,-,-,"164,782,000","164,782,000","18,745,000","211,922,000","206,739,000","204,765,000","1,974,000","1,974,000","5,183,000","61,982,000","61,982,000","292,000","1,011,000","60,679,000",-,-,"168,966,000","168,966,000",-,"8,084,000",-,-,"127,752,000","78,467,000","78,467,000","7,208,000","7,200,000","8,000","71,961,000","48,998,000","53,015,000","-524,000",-,-,"3,839,000",-,"247,433,000","7,200,000","71,267,000",-,"74,091,000","302,215,000","66,891,000","230,948,000","169,815,000","837,219","446,359","197,998","390,860"
38,9/30/2013,"923,223,000","289,221,000","65,478,000",-,"65,478,000","53,875,000",-,"169,868,000","169,868,000","169,868,000","175,095,000",-,"324,257,000",-,"324,257,000",-,-,"422,000",-,-,-,-,-,-,-,-,-,"121,049,000","74,131,000","46,918,000","8,721,000","14,701,000","14,701,000","-5,980,000","4,458,000",-,-,-,-,-,"845,607,000","71,570,000",-,-,-,"157,781,000","157,781,000","19,034,000","222,509,000","204,181,000","201,873,000","2,308,000","2,308,000","18,328,000","58,499,000","58,499,000",-,-,"58,499,000",-,-,"176,848,000","176,848,000",-,"7,800,000",-,-,"131,566,000","77,616,000","77,616,000","7,208,000","7,200,000","8,000","69,975,000","48,930,000","51,598,000","-600,000",-,-,"3,701,000",-,"254,464,000","7,200,000","70,416,000",-,"73,158,000","305,763,000","65,958,000","235,347,000","169,869,000","823,766","441,499","197,998","382,267"
39,6/30/2013,"938,456,000","277,883,000","72,398,000",-,"72,398,000","51,930,000",-,"153,555,000","153,555,000","153,555,000","174,798,000",-,"356,161,000",-,"356,161,000",-,-,"374,000",-,-,-,-,-,-,-,-,-,"116,695,000","74,104,000","42,591,000","8,051,000","14,021,000","14,021,000","-5,970,000","4,494,000",-,-,-,-,-,"860,413,000","69,395,000",-,-,-,"158,957,000","158,957,000","20,319,000","227,241,000","212,137,000","209,272,000","2,865,000","2,865,000","15,104,000","61,460,000","61,460,000",-,-,"61,460,000",-,-,"170,611,000","170,611,000",-,"7,103,000",-,-,"145,327,000","78,043,000","78,043,000","7,208,000","7,200,000","8,000","68,783,000","48,762,000","49,949,000","-583,000",-,-,"3,822,000",-,"248,654,000","7,200,000","70,843,000",-,"73,549,000","302,914,000","66,349,000","232,071,000","159,673,000","822,547","450,481","157,998","372,067"
40,3/31/2013,"959,223,000","262,883,000","63,333,000",-,"63,333,000","41,044,000",-,"158,506,000","158,506,000","158,506,000","172,041,000",-,"387,393,000",-,"387,393,000",-,-,"455,000",-,-,-,-,-,-,-,-,-,"123,808,000","77,917,000","45,891,000","7,960,000","14,030,000","14,030,000","-6,070,000","4,683,000",-,-,-,-,-,"881,995,000","72,685,000",-,-,-,"155,356,000","155,356,000","20,669,000","225,334,000","206,613,000","203,527,000","3,086,000","3,086,000","18,721,000","40,980,000","40,980,000",-,-,"40,980,000",-,-,"197,469,000","197,469,000",-,"5,143,000",-,-,"164,359,000","77,228,000","77,228,000","6,208,000","6,200,000","8,000","67,164,000","48,732,000","48,347,000","-208,000",-,-,"3,679,000",-,"274,697,000","6,200,000","71,028,000",-,"72,545,000","309,477,000","66,345,000","238,449,000","175,116,000","822,358","460,782","157,998","361,576"
41,12/31/2012,"938,555,000","263,674,000","72,669,000",-,"72,669,000","49,671,000",-,"141,334,000","141,334,000","141,334,000","136,893,000",-,"407,011,000",-,"407,011,000",-,-,"453,000",-,-,-,-,-,-,-,-,-,"117,208,000","72,874,000","44,334,000","8,217,000","17,267,000","17,267,000","-9,050,000","5,099,000","3,702,000","1,397,000",-,-,-,"862,839,000","70,124,000",-,-,-,"171,807,000","171,807,000","13,765,000","216,200,000","197,209,000","194,485,000","2,724,000","2,724,000","18,991,000","67,349,000","67,349,000","260,000","884,000","66,205,000",-,-,"177,630,000","177,630,000",-,"8,538,000",-,-,"137,426,000","75,716,000","75,716,000","6,208,000","6,200,000","8,000","65,223,000","48,030,000","46,850,000","-193,000",-,-,"3,298,000",-,"253,346,000","6,200,000","69,516,000",-,"70,617,000","314,495,000","64,417,000","244,979,000","172,310,000","816,807","465,148","157,998","351,659"
42,9/30/2012,"949,207,000","264,597,000","63,639,000",-,"63,639,000","53,597,000","53,597,000","147,361,000","147,361,000","147,361,000","165,250,000",-,"415,293,000",-,"415,293,000",-,-,"518,000",-,-,-,-,-,-,-,-,-,"84,357,000","84,357,000",-,"8,470,000",-,-,-,"5,296,000","3,763,000","1,533,000","5,426,000","5,426,000",-,"874,181,000","61,526,000","61,526,000",-,"61,526,000","310,365,000","310,365,000","13,640,000","212,192,000","207,554,000","205,451,000","2,103,000","2,103,000","4,638,000","47,271,000","47,271,000",-,-,"47,271,000",-,-,"197,271,000","197,271,000",-,"8,214,000","8,214,000",-,"23,702,000","75,026,000","73,687,000","5,358,000","5,350,000","8,000","62,638,000","47,298,000","45,334,000","-382,000",-,-,"4,109,000","1,339,000","270,958,000","5,350,000","68,337,000",-,"68,391,000","312,879,000","63,041,000","244,542,000","180,903,000","810,459","471,431","123,998","339,029"
43,6/30/2012,"948,638,000","282,942,000","58,913,000",-,"58,913,000","56,685,000","56,685,000","167,344,000","167,344,000","167,344,000","167,516,000",-,"387,196,000",-,"387,196,000",-,-,"672,000",-,-,-,-,-,-,-,-,-,"90,539,000",-,-,"8,616,000",-,-,-,"5,400,000","3,779,000","1,621,000","5,757,000","5,757,000",-,"875,783,000","57,320,000","57,320,000",-,"57,320,000","310,390,000","310,390,000","9,448,000","228,080,000","223,837,000","221,684,000","2,153,000","2,153,000","4,243,000","33,192,000","33,192,000",-,-,"33,192,000",-,-,"195,928,000","195,928,000",-,"6,332,000","6,332,000",-,"35,093,000","72,855,000","72,855,000","4,858,000","4,850,000","8,000","61,412,000","47,055,000","44,092,000","-506,000",-,-,"4,128,000",-,"268,783,000","4,850,000","68,005,000",-,"67,455,000","297,125,000","62,605,000","229,120,000","170,207,000","808,307","480,991","123,998","327,316"
44,3/31/2012,"950,932,000","291,287,000","57,138,000",-,"57,138,000","53,099,000","53,099,000","181,050,000","181,050,000","181,050,000","169,092,000",-,"385,506,000",-,"385,506,000",-,-,"667,000",-,-,-,-,-,-,-,-,-,"90,413,000","85,605,000","4,808,000","8,597,000",-,-,-,"5,370,000","3,782,000","1,588,000",-,-,-,"879,276,000","50,874,000","50,874,000",-,"50,874,000","324,343,000","324,343,000","8,121,000","210,305,000","210,305,000","210,305,000",-,-,-,"48,721,000","48,721,000",-,-,"48,721,000",-,-,"204,731,000","204,731,000",-,-,-,-,"32,181,000","71,656,000","71,656,000","3,108,000","3,100,000","8,000","60,723,000","47,035,000","42,592,000","-507,000",-,-,"3,889,000",-,"276,387,000","3,100,000","68,556,000",-,"66,286,000","322,008,000","63,186,000","253,452,000","196,314,000","808,213","495,211","123,998","313,002"
45,12/31/2011,"923,225,000","308,061,000","56,008,000",-,"56,008,000","64,264,000",-,"187,789,000","187,789,000","187,789,000","153,341,000",-,"364,206,000",-,"364,206,000",-,-,"664,000",-,-,-,-,-,-,-,-,-,"82,788,000","60,261,000","22,527,000","8,697,000","17,337,000","17,337,000","-8,640,000","5,468,000","3,802,000","1,666,000",-,-,-,"852,846,000","46,109,000","46,109,000",-,"46,109,000","164,502,000","164,502,000","7,182,000","202,933,000","198,825,000","198,292,000","533,000","533,000","4,108,000","78,223,000","78,223,000","1,328,000","1,491,000","75,404,000",-,-,"182,814,000","182,814,000",-,"6,006,000","6,006,000",-,"165,077,000","70,379,000","70,379,000","3,108,000","3,100,000","8,000","58,834,000","45,553,000","42,281,000","-516,000",-,-,"5,681,000",-,"253,193,000","3,100,000","67,279,000",-,"64,911,000","328,316,000","61,811,000","261,037,000","205,029,000","795,555","485,468","123,998","310,088"
46,9/30/2011,"948,909,000","307,480,000","44,203,000",-,"44,203,000","77,423,000","77,423,000","185,854,000","185,854,000","185,854,000","156,929,000","66,281,000","371,459,000","371,459,000",-,-,-,"661,000",-,-,-,-,-,-,-,-,-,"31,156,000","25,563,000","5,593,000","9,484,000",-,-,-,"5,459,000","3,643,000","1,816,000",-,-,-,"878,821,000","41,799,000","41,799,000",-,"41,799,000","305,625,000","305,625,000","8,689,000","219,319,000","219,319,000","219,319,000",-,-,-,"54,629,000","54,629,000",-,-,"54,629,000",-,-,"217,672,000","217,672,000",-,-,-,-,"31,088,000","70,088,000","70,088,000","3,108,000","3,100,000","8,000","58,043,000","45,337,000","41,372,000","-314,000",-,-,"5,286,000",-,"287,760,000","3,100,000","66,988,000",-,"64,629,000","339,289,000","61,529,000","272,301,000","228,098,000","793,477","492,623","123,998","300,854"
47,6/30/2011,"936,910,000","269,209,000","45,433,000",-,"45,433,000","61,491,000","61,491,000","162,285,000","162,285,000","162,285,000","175,472,000",-,"370,605,000",-,"370,605,000",-,-,"1,140,000",-,-,-,-,-,-,-,-,-,"105,554,000","100,637,000","4,917,000","9,743,000",-,-,-,"5,187,000","3,323,000","1,864,000",-,-,-,"864,554,000","39,004,000","39,004,000",-,"39,004,000","305,089,000","305,089,000","14,474,000","209,794,000","209,794,000","209,794,000",-,-,-,"56,554,000","56,554,000",-,-,"56,554,000",-,-,"209,730,000","209,730,000",-,-,-,-,"29,909,000","72,356,000","72,356,000","3,108,000","3,100,000","8,000","58,659,000","44,955,000","39,219,000","-347,000",-,-,"5,200,000",-,"282,086,000","3,100,000","69,256,000",-,"67,169,000","335,540,000","64,069,000","266,284,000","220,851,000","790,706","507,856","123,998","282,850"
48,3/31/2011,"933,289,000","258,289,000","42,683,000",-,"42,683,000","53,512,000","53,512,000","162,094,000","162,094,000","162,094,000","184,217,000",-,"374,806,000",-,"374,806,000",-,-,"1,165,000",-,-,-,-,-,-,-,-,-,"99,390,000","94,369,000","5,021,000","10,184,000",-,-,-,"5,238,000","3,322,000","1,916,000",-,-,-,"860,820,000","38,727,000","38,727,000",-,"38,727,000","316,473,000","316,473,000","12,222,000","193,396,000","193,396,000","193,396,000",-,-,-,"53,746,000","53,746,000",-,-,"53,746,000",-,-,"210,707,000","210,707,000",-,-,-,-,"35,549,000","72,469,000","72,469,000","3,108,000","3,100,000","8,000","57,803,000","44,852,000","37,723,000","-330,000",-,-,"4,759,000",-,"283,176,000","3,100,000","69,369,000",-,"67,231,000","333,822,000","64,131,000","264,453,000","221,770,000","790,022","517,917","123,998","272,104"
49,12/31/2010,"911,332,000","281,874,000","39,788,000",-,"39,788,000","53,731,000","53,731,000","188,355,000","188,355,000","188,355,000","166,306,000",-,"356,953,000",-,"356,953,000",-,-,"1,445,000",-,-,-,-,-,-,-,-,-,"88,126,000","67,703,000","20,423,000","11,106,000","18,976,000","18,976,000","-7,870,000","5,522,000","3,495,000","2,027,000",-,-,-,"833,976,000","38,569,000","38,569,000",-,"38,569,000","162,345,000","162,345,000","11,212,000","197,196,000","192,546,000","190,504,000","2,042,000","2,042,000","4,650,000","72,371,000","72,371,000","3,265,000","1,306,000","67,800,000",-,-,"189,773,000","189,773,000",-,"9,540,000",-,-,"152,970,000","77,356,000","77,356,000","6,965,000","6,957,000","8,000","57,163,000","42,103,000","36,295,000","-286,000",-,-,"7,706,000",-,"267,129,000","6,957,000","70,399,000",-,"71,834,000","332,543,000","64,877,000","262,144,000","222,356,000","770,949","507,531","123,998","263,418"
50,9/30/2010,"908,679,000","266,430,000","88,321,000",-,"88,321,000",-,-,"178,109,000","178,109,000","178,109,000","184,068,000",-,"351,795,000","351,795,000",-,-,-,-,-,-,-,-,-,-,-,-,-,"77,315,000","61,391,000","15,924,000",-,-,-,-,-,-,-,-,-,"29,071,000","833,022,000","38,444,000","38,444,000",-,"38,444,000",-,-,"12,041,000","189,852,000","189,852,000","189,852,000",-,-,-,"43,949,000","43,949,000",-,-,"43,949,000","155,217,000",-,"185,120,000","185,120,000",-,-,-,-,"208,399,000","75,657,000","75,657,000","6,965,000","6,957,000","8,000","55,136,000","41,785,000","35,202,000","-284,000",-,-,"7,257,000",-,"260,777,000","6,957,000","68,700,000",-,"75,657,000","297,769,000","68,700,000","229,069,000","140,748,000","768,252","511,518","123,998","256,734"
