,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
76,5/31/2004,"2,460,000","2,460,000","1,187,000",-,"152,000","152,000",-,-,-,-,-,"5,062,000",-,-,"-3,941,000",-,-,-,-,-,-,-,-,"133,000","133,000",-,-,-,-,-,"-71,000",-,-,-,-,"110,000","-1,502,000","-1,502,000","-1,281,000","3,629,000","6,724,000","-3,095,000","-4,910,000",-,-,"-279,000",-,-,-,-,-,"-123,000",-,-,"181,000","8,041,000","1,091,000",-,"6,950,000",-,-,"-71,000",-,"6,724,000","-3,095,000",-,"2,389,000"
77,2/29/2004,"-14,832,000","-14,832,000","1,293,000",-,"167,000","167,000",-,-,-,-,-,"-3,623,000",-,-,"-12,669,000",-,-,-,-,-,-,-,-,"-455,000","-455,000",-,-,-,-,-,"-157,000",-,-,"-94,000",-,"-204,000","15,150,000","15,150,000","15,524,000","12,560,000","15,289,000","-2,729,000","2,964,000",-,-,"-306,000",-,-,-,-,-,"-125,000",-,-,"57,000","6,950,000","-137,000",-,"7,087,000",-,-,"-157,000",-,"15,289,000","-2,729,000",-,"-14,989,000"
78,11/30/2003,"1,210,000","1,210,000","971,000",-,"337,000","337,000",-,-,-,-,-,"935,000",-,-,"-24,067,000",-,-,-,-,-,-,-,-,"-308,000","-308,000",-,-,-,-,-,"-220,000",-,-,"-401,000",-,-,"-456,000","-456,000","-343,000","2,892,000","5,605,000","-2,713,000","-3,235,000",-,-,"-80,000",-,-,-,-,-,"-119,000",-,-,"86,000","7,087,000","446,000",-,"6,641,000",-,-,"-220,000",-,"5,605,000","-2,713,000",-,"990,000"
79,8/31/2003,"-3,703,000","-3,703,000","677,000",-,"170,000","170,000",-,-,-,-,-,"-13,471,000",-,-,"31,862,000",-,-,-,-,-,-,-,-,"-786,000","-786,000",-,-,-,-,-,"-116,000",-,-,-,-,-,"3,922,000","3,922,000","4,099,000","6,838,000","7,610,000","-772,000","-2,739,000",-,-,"-204,000",-,-,-,-,-,"-118,000",-,-,-,"6,641,000","-567,000",-,"7,208,000",-,-,"-116,000",-,"7,610,000","-772,000",-,"-3,819,000"
80,5/31/2003,"-5,032,000","-5,032,000","695,000",-,"185,000","185,000",-,-,-,-,-,"26,698,000",-,-,"-32,610,000",-,-,-,-,-,-,-,-,"-52,000","-52,000",-,-,-,-,-,"-143,000",-,-,-,-,"91,000","7,704,000","7,704,000","8,017,000","7,334,000","8,970,000","-1,636,000","683,000",-,-,"-257,000",-,-,-,-,-,"-56,000",-,-,-,"7,208,000","2,620,000",-,"4,588,000",-,-,"-143,000",-,"8,970,000","-1,636,000",-,"-5,175,000"
81,2/28/2003,"-8,130,000","-8,130,000","662,000",-,"189,000","189,000",-,-,-,-,-,"-12,653,000",-,-,"3,672,000",-,-,-,-,-,-,-,-,"-1,515,000","-1,515,000",-,-,-,-,-,"-113,000",-,-,-,-,"-1,402,000","9,411,000","9,411,000","9,723,000","3,703,000","6,053,000","-2,350,000","6,020,000",-,-,"-255,000",-,-,-,-,-,"-57,000",-,-,-,"4,588,000","-234,000",-,"4,822,000",-,-,"-113,000",-,"6,053,000","-2,350,000",-,"-8,243,000"
82,11/30/2002,"9,047,000","9,047,000","505,000",-,"199,000","199,000",-,-,-,-,-,"-18,000",-,-,"8,131,000",-,-,-,-,-,-,-,-,"-159,000","-159,000",-,-,-,-,-,"-178,000",-,-,0,-,"19,000","-7,755,000","-7,755,000","-7,315,000","-4,460,000","2,759,000","-7,219,000","-2,855,000",-,-,"-383,000",-,-,-,-,-,"-57,000",-,-,-,"4,822,000","1,133,000",-,"3,689,000",-,-,"-178,000",-,"2,759,000","-7,219,000",-,"8,869,000"
83,8/31/2002,"-16,237,000","-16,237,000","522,000",-,"192,000","192,000",-,-,-,-,-,"503,000",-,-,"-17,454,000",-,-,-,-,-,-,-,-,"-584,000","-584,000",-,-,-,-,-,"-523,000",-,-,-,-,"7,000","14,208,000","14,208,000","14,666,000","2,824,000","2,915,000","-91,000","11,842,000",-,-,"-400,000",-,-,-,-,-,"-58,000",-,-,-,"3,689,000","-2,613,000",-,"6,302,000",-,-,"-523,000",-,"2,915,000","-91,000",-,"-16,760,000"
84,5/31/2002,"854,000","854,000","563,000",-,"185,000","185,000",-,-,-,-,-,"631,000",-,-,"-525,000",-,-,-,-,-,-,-,-,"-177,000","-177,000",-,-,-,-,-,"-101,000",-,-,-,-,"-76,000","-1,352,000","-1,352,000","-2,610,000","879,000",-,"-6,187,000","-3,489,000",-,-,"-349,000",-,-,-,-,-,"-56,000",-,-,-,"6,302,000","-675,000",-,"6,977,000",-,-,"-101,000",-,-,"-6,187,000",-,"753,000"
85,2/28/2002,"-3,741,000","-3,741,000","524,000",-,"168,000","168,000",-,-,-,-,-,"-2,037,000",-,-,"-2,396,000",-,-,-,-,-,-,-,-,"-183,000","-183,000",-,-,-,-,-,"-206,000",-,-,-,-,"23,000","3,992,000","3,992,000","5,995,000","5,139,000",-,"5,139,000","856,000",-,-,"-283,000",-,-,-,-,-,"-57,000",-,-,"-1,663,000","6,977,000","68,000",-,"6,909,000",-,-,"-206,000",-,-,"5,139,000",-,"-3,947,000"
86,11/30/2001,"-10,113,000","-10,113,000","497,000",-,"242,000","242,000",-,-,-,-,-,"2,500,000",-,-,"-13,404,000",-,-,-,-,-,-,-,-,"-214,000","-214,000",-,-,-,-,-,"-234,000",-,-,"-43,000",-,"63,000","12,605,000","12,605,000","12,948,000","1,800,000","1,800,000",0,"11,148,000",-,-,"-286,000",-,-,-,-,-,"-57,000",-,-,-,"6,909,000","2,278,000",-,"4,631,000",-,-,"-234,000",-,"1,800,000",0,-,"-10,347,000"
87,8/31/2001,"10,039,000","10,039,000","468,000",-,"226,000","226,000",-,-,-,-,-,"339,000",-,-,"9,006,000",-,-,-,-,-,-,-,-,"-777,000","-777,000",-,-,-,-,-,"-291,000",-,-,"-187,000",-,"-299,000","-8,237,000","-8,237,000","-7,661,000","1,117,000","1,261,000",-,"-8,778,000",-,-,"-518,000",-,-,-,-,-,"-58,000",-,-,-,"4,631,000","1,025,000",-,"3,606,000",-,-,"-291,000",-,"1,261,000",-,-,"9,748,000"
88,5/31/2001,"-11,654,000","-11,654,000","577,000",-,"209,000","209,000",-,-,-,-,-,"345,000",-,-,"-12,785,000",-,-,-,-,-,-,-,-,"-390,000","-390,000",-,-,-,-,-,"-347,000",-,-,-,-,"41,000","10,866,000","10,866,000","11,185,000","2,136,000","2,136,000",-,"9,049,000",-,-,"-261,000",-,-,-,-,-,"-58,000",-,-,-,"3,606,000","-1,178,000",-,"4,784,000",-,-,"-347,000",-,"2,136,000",-,-,"-12,001,000"
89,2/28/2001,"-3,448,000","-3,448,000","768,000",-,"196,000","196,000",-,-,-,-,-,"-2,395,000",-,-,"-2,017,000",-,-,-,-,-,-,-,-,"-528,000","-528,000",-,-,-,-,-,"-498,000",-,-,-,-,"-30,000","4,890,000","4,890,000","5,321,000","1,497,000","1,497,000",-,"3,824,000",-,-,"-373,000",-,-,-,-,-,"-58,000",-,-,-,"4,784,000","914,000",-,"3,870,000",-,-,"-498,000",-,"1,497,000",-,-,"-3,946,000"
90,11/30/2000,"16,160,000","16,160,000","601,000",-,"164,000","164,000",-,-,-,-,-,"1,162,000",-,-,"14,585,000",-,-,-,-,-,-,-,-,"-2,548,000","-2,548,000",-,-,-,-,-,"-2,550,000",-,-,-,-,"2,000","-12,778,000","-12,778,000","-12,142,000","2,448,000","2,903,000","-455,000","-14,590,000",-,-,"-582,000",-,-,-,-,-,"-54,000",-,-,-,"3,870,000","834,000",-,"3,036,000",-,-,"-2,550,000",-,"2,903,000","-455,000",-,"13,610,000"
91,8/31/2000,"4,730,000","4,730,000","824,000",-,"119,000","119,000",-,-,-,-,-,"15,731,000",-,-,"-11,944,000",-,-,-,-,-,-,-,-,"-695,000","-695,000",-,-,-,-,-,"-407,000",-,-,-,-,"-288,000","-4,981,000","-4,981,000","-4,916,000","4,967,000","4,986,000","-19,000","-9,883,000",-,-,"-10,000",-,-,-,-,-,"-55,000",-,-,-,"3,036,000","-946,000",-,"3,982,000",-,-,"-407,000",-,"4,986,000","-19,000",-,"4,323,000"
92,5/31/2000,"-4,838,000","-4,838,000","755,000",-,"102,000","102,000",-,-,-,-,-,"-13,600,000",-,-,"7,905,000",-,-,-,-,-,-,-,-,"-172,000","-172,000",-,-,-,-,-,"-291,000",-,-,-,-,"119,000","6,160,000","6,160,000","6,269,000","2,875,000","3,165,000","-290,000","3,394,000",-,-,-,-,-,-,-,-,"-54,000",-,-,-,"3,982,000","1,150,000",-,"2,832,000",-,-,"-291,000",-,"3,165,000","-290,000",-,"-5,129,000"
93,2/29/2000,"-4,917,000","-4,917,000","887,000",-,"101,000","101,000",-,-,-,-,-,"-1,081,000",-,-,"-4,824,000",-,-,-,-,-,-,-,-,"-241,000","-241,000",-,-,-,-,-,"-292,000",-,-,-,-,"51,000","4,935,000","4,935,000","4,989,000","4,988,000","5,006,000","-18,000","1,000",-,-,-,-,-,-,-,-,"-54,000",-,-,-,"2,832,000","-223,000",-,"3,055,000",-,-,"-292,000",-,"5,006,000","-18,000",-,"-5,209,000"
94,11/30/1999,"-7,282,000","-7,282,000","723,000",-,"108,000","108,000",-,-,-,"1,000","1,000","-15,327,000",-,-,"7,213,000",-,-,-,-,-,-,-,-,"-405,000","-405,000",-,-,-,-,-,"-475,000",-,-,-,-,"70,000","8,842,000","8,842,000","6,060,000","1,721,000","1,902,000","-181,000","4,339,000",-,-,"-6,000",-,-,-,-,-,"-54,000",-,-,"2,842,000","3,055,000","1,155,000",-,"1,900,000",-,-,"-475,000",-,"1,902,000","-181,000",-,"-7,757,000"
95,8/31/1999,"-3,821,000","-3,821,000","638,000",-,"71,000","71,000",-,-,-,"751,000","751,000","-4,629,000",-,-,"-652,000",-,-,-,-,-,-,-,-,"-196,000","-196,000",-,-,-,-,-,"-172,000",-,-,-,-,"-24,000","2,375,000","2,375,000","5,270,000","1,827,000","2,098,000","-271,000","3,443,000",-,-,0,-,-,-,-,-,-,-,-,"-2,842,000","1,900,000","-1,642,000",-,0,-,-,"-172,000",-,"2,098,000","-271,000",-,"-3,993,000"
96,5/31/1999,"917,000","917,000","340,000",-,"61,000","61,000",-,-,-,-,-,"12,539,000",-,-,"-9,884,000",-,-,-,-,-,-,-,-,"-8,000","-8,000",-,-,-,-,-,"-93,000",-,-,-,-,-,"-712,000","-712,000","689,000","5,979,000","2,532,000","3,447,000","-5,290,000",-,-,-,-,-,-,-,-,-,-,-,"-4,040,000",0,"197,000",-,"3,345,000",-,-,"-93,000",-,"2,532,000","3,447,000",-,"824,000"
97,2/28/1999,"-2,403,000","-2,403,000","1,007,000",-,"97,000","97,000",-,-,-,-,-,"-4,293,000",-,-,"786,000","260,000","-5,440,000","-5,440,000",-,-,-,-,"5,966,000","-45,000","-45,000","58,000",-,-,-,-,"-103,000",-,-,-,-,-,"2,957,000","2,957,000","3,287,000","720,000","4,468,000","-3,748,000","2,567,000",-,-,-,-,-,-,-,-,0,-,-,"-330,000","3,345,000","509,000",-,"2,836,000",-,-,"-103,000",-,"4,468,000","-3,748,000",-,"-2,506,000"
