,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Other Receivables,Net PPE,Gross PPE,Other Properties,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Preferred Securities Outside Stock Equity,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Unrealized Gain Loss,Minimum Pension Liabilities,Other Equity Adjustments,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
94,9/30/1999,"2,027,700","28,600","28,600","28,600",-,-,-,-,-,-,"189,000","189,000",-,-,"1,761,600","1,771,400",-,-,-,-,"1,771,400","7,400","-2,400",-,-,-,"10,000",-,-,-,-,-,-,-,"38,500","1,887,200","1,133,400","1,096,200","1,096,200","37,200",-,-,-,-,-,-,"699,300","699,300","699,300",-,-,-,-,-,"54,500","140,500","140,500",-,-,-,"149,400",-,-,100,-,-,-,"-9,000",-,-,"140,500",-,"140,500","839,800","140,500","699,300","670,700","84,948","84,948",-,-
95,6/30/1999,"1,875,000","21,100","21,100","21,100",-,-,-,-,-,-,"175,000","175,000",-,-,"1,641,000","1,648,400",-,-,-,-,"1,648,400","7,400",-,-,-,-,"10,000",-,-,-,-,-,-,-,"27,900","1,730,400","1,105,700","1,069,500","1,069,500","36,200",-,-,-,-,-,-,"559,000","559,000","559,000",-,-,-,-,-,"65,700","144,600","144,600",-,-,-,"148,100",-,-,-,-,-,-,"-3,500",-,-,"144,600",-,"144,600","703,600","144,600","559,000","537,900","86,028","86,028",-,-
96,3/31/1999,"1,764,200","29,300","29,300","29,300",-,-,-,-,-,-,"168,400","168,400",-,-,"1,528,200","1,535,600",-,-,-,-,"1,535,600","7,400",-,-,-,-,"10,200",-,-,-,-,-,-,-,"28,100","1,620,100","1,107,500","1,072,300","1,072,300","35,200",-,-,-,"1,800","1,800",-,"453,700","453,700","453,700",-,-,-,-,-,"57,100","144,100","144,100",-,-,-,"148,200",-,-,-,-,-,-,"-4,100",-,-,"144,100",-,"144,100","597,800","144,100","453,700","424,400","86,328","86,328",-,-
97,12/31/1998,"1,746,900","46,600","46,600","46,600",-,-,-,-,-,-,"176,600","176,600",-,-,"1,486,500","1,495,900",-,-,-,-,"1,495,900","9,400",-,-,-,-,"10,400",-,-,-,-,-,-,-,"26,800","1,597,500","1,102,300","1,066,800","1,066,800","35,500",-,-,-,"1,600","1,600",-,"439,100","439,100","439,100",-,-,-,-,-,"54,500","149,400","149,400",-,-,-,"165,400",-,-,-,-,-,-,"-16,000",-,-,"149,400",-,"149,400","588,500","149,400","439,100","392,500","85,000","85,000",-,-
98,9/30/1998,"1,706,600","22,500","22,500","22,500",-,-,-,-,-,-,"162,200","162,200",-,-,"1,482,100","1,492,600",-,-,-,-,"1,492,600","9,400","-1,100",-,-,-,"10,300",-,-,-,-,-,-,-,"29,500","1,558,700","1,074,600","1,043,600","1,043,600","31,000",-,-,-,700,700,-,"445,500","445,500","445,500",-,-,-,-,-,"37,900","147,900","147,900",-,-,-,"162,900",-,-,-200,-,-,-,"-14,800",-,-,"147,900",-,"147,900","593,400","147,900","445,500","423,000","85,672","85,672",-,-
99,6/30/1998,"1,715,200","54,100","54,100","54,100",-,-,-,-,-,-,"161,900","161,900",-,-,"1,460,700","1,471,300",-,-,-,-,"1,471,300","9,400","-1,200",-,-,-,"10,400",-,-,-,-,-,-,-,"28,100","1,545,600","1,035,300","1,004,300","1,004,300","31,000",-,-,-,"1,500","1,500",-,"424,000","424,000","424,000",-,-,-,-,-,"84,800","169,600","169,600",-,-,-,"160,400",-,-,-,-,-,-,"9,200",-,-,"169,600",-,"169,600","593,600","169,600","424,000","369,900","89,640","89,640",-,-
100,3/31/1998,"1,622,500","28,300","28,300","28,300",-,-,-,-,-,-,"152,100","152,100",-,-,"1,404,400","1,414,800",-,-,-,-,"1,414,800","9,400","-1,000",-,-,-,"10,600",-,-,-,-,-,-,-,"27,100","1,453,000","1,048,100","1,017,700","1,017,700","30,400",-,-,-,"2,100","2,100",-,"351,700","351,700","351,700",-,-,-,-,-,"51,100","169,500","169,500",-,-,-,"162,800",-,-,-,-,-,-,"6,700",-,-,"169,500",-,"169,500","521,200","169,500","351,700","323,400","89,528","89,528",-,-
101,12/31/1997,"1,603,300","22,800","22,800","22,800",-,-,-,-,-,-,"147,300","147,300",-,-,"1,395,000","1,404,400",-,-,-,-,"1,404,400","9,400",-,-,-,-,"10,800",-,-,-,-,-,-,-,"27,400","1,432,800","1,069,200","1,040,000","1,040,000","29,200",-,-,-,"1,900","1,900",-,"309,700","309,700","309,700",-,-,-,-,-,"52,000","170,500","170,500",-,-,-,"166,200",-,-,-,-,-,-,"4,300",-,-,"170,500",-,"170,500","480,200","170,500","309,700","286,900","89,472","89,472",-,-
102,9/30/1997,"1,541,000","21,900","21,900","21,900",-,-,-,-,-,-,"134,200","134,200",-,-,"1,348,200","1,359,200",-,-,-,-,"1,359,200","9,400","-1,600",-,-,-,"11,000",-,-,-,-,-,-,-,"25,700","1,368,200","1,051,500","1,025,000","1,025,000","26,500",-,-,-,"1,400","1,400",-,-,-,-,"292,800","292,800",-,-,-,"22,500","172,800","172,800",-,-,-,"-96,600",-,-,-,-,-,-,"269,400","465,600",-,"172,800",-,"172,800","465,600","172,800","292,800","270,900","90,646","90,646",-,-
103,6/30/1997,"1,466,900","27,100","27,100","27,100",-,-,-,-,-,-,"132,700","132,700",-,-,"1,271,400","1,282,200",-,-,-,-,"1,282,200","9,400","-1,400",-,-,-,"11,000",-,-,-,-,-,-,-,"24,700","1,293,000","1,031,200","1,005,400","1,005,400","25,800",-,-,-,900,900,-,"217,000","217,000","217,000",-,-,-,-,-,"43,900","173,900","173,900",-,-,-,"161,600",-,-,-,-,-,-,"12,300",-,-,"173,900",-,"173,900","390,900","173,900","217,000","189,900","91,627","91,627",-,-
104,3/31/1997,"1,373,300","19,600","19,600","19,600",-,-,-,-,-,-,"145,900","145,900",-,-,"1,172,400","1,182,800",-,-,-,-,"1,182,800","9,400","-1,000",-,-,-,"11,100",-,-,-,-,-,-,-,"24,300","1,167,600","1,022,600","998,400","998,400","24,200",-,-,-,"2,000","2,000",-,"106,000","106,000","106,000",-,-,-,-,-,"37,000","205,700","205,700",-,-,-,"159,300",-,-,-,-,-,-,"46,400",-,-,"205,700",-,"205,700","311,700","205,700","106,000","86,400","101,377","101,377",-,-
105,12/31/1996,"1,358,700","21,000","21,000","21,000",-,-,-,-,-,-,"160,200","160,200",-,-,"1,146,200","1,155,600",-,-,-,-,"1,155,600","9,400",-,-,-,-,"11,100",-,-,-,-,-,-,-,"20,200","1,147,300","1,023,900","998,900","998,900","25,000",-,-,-,"1,200","1,200",-,"81,400","81,400","81,400",-,-,-,-,-,"40,800","211,400","211,400",-,-,-,"154,900",-,-,-,-,-,-,"56,500",-,-,"211,400",-,"211,400","292,800","211,400","81,400","60,400","102,745","102,745",-,-
106,9/30/1996,"1,325,900","19,700","19,700","19,700",-,-,-,-,-,-,"157,700","157,700",-,-,"1,114,700","1,125,300",-,-,-,-,"1,125,300","9,400","-1,200",-,-,-,"11,100",-,-,-,-,-,-,-,"22,700","1,119,200","1,004,300","981,300","981,300","23,000",-,-,-,-,-,-,"86,100","86,100","86,100",-,-,-,-,-,"28,800","206,700","206,700",-,-,-,"152,200",-,-,-,-,-,-,"54,500",-,-,"206,700",-,"206,700","292,800","206,700","86,100","66,400","82,977","82,977",-,-
107,6/30/1996,"1,302,300","24,100","24,100","24,100",-,-,-,-,-,-,"162,200","162,200",-,-,"1,083,200","1,093,700",-,-,-,-,"1,093,700","9,400","-1,100",-,-,-,"10,500",-,-,-,-,-,-,-,"22,300","1,086,300","977,100","954,300","954,300","22,800",-,-,-,-,-,-,"72,700","72,700","72,700",-,-,-,-,-,"36,500","216,000","216,000",-,-,-,"149,300",-,-,-,-,-,-,"66,700",-,-,"216,000",-,"216,000","288,700","216,000","72,700","48,600","93,135","93,135",-,-
108,3/31/1996,"1,259,500","23,800","23,800","23,800",-,-,-,-,-,-,"166,900","166,900",-,-,"1,031,300","1,043,800",-,-,-,-,"1,043,800","11,400","-1,100",-,-,-,"10,400",-,-,-,-,-,-,-,"27,100","1,045,700","946,200","923,800","923,800","22,400",-,-,-,"4,000","4,000",-,-,-,-,"59,600","59,600",-,-,-,"35,900","213,800","213,800",-,-,-,"144,800",-,-,-,-,-,-,"69,000","273,400",-,"213,800",-,"213,800","273,400","213,800","59,600","35,800","109,706","109,706",-,-
109,12/31/1995,"1,240,900","39,000","39,000","39,000",-,-,-,-,-,-,"170,900","170,900",-,-,"994,800","1,006,200",-,-,-,-,"1,006,200","11,400",-,-,-,-,"10,500",-,-,-,-,-,-,-,"25,700","1,023,300","932,200","909,400","909,400","22,800",-,-,-,"2,000","2,000",-,-,-,-,"46,100","46,100",-,-,-,"43,000","217,600","217,600",-,-,-,"141,000",-,-,-,-,-,-,"76,600","263,700",-,"217,600",-,"217,600","263,700","217,600","46,100","7,100","102,446","102,446",-,-
110,9/30/1995,"1,180,500","15,000","15,000","15,000",-,-,-,-,-,-,"174,900","174,900",-,-,"954,500","966,500",-,-,-,-,"966,500","11,400",-600,-,-,-,"10,700",-,-,-,-,-,-,-,"25,400","968,400","943,000","909,000","909,000","34,000",-,-,-,500,500,-,"6,600","6,600","6,600",-,-,-,-,-,"18,300","212,100","212,100",-,-,-,"136,400",-,-,-,-,-,-,"75,700",-,-,"212,100",-,"212,100","218,700","212,100","6,600",-,"113,123","113,123",-,-
111,6/30/1995,"1,168,700","11,000","11,000","11,000",-,-,-,-,-,-,"178,700","178,700",-,-,"943,800","956,000",-,-,-,-,"956,000","11,400",-800,-,-,-,"10,600",-,-,-,-,-,-,-,"24,600","962,100","916,000","894,600","894,600","21,400",-,-,-,"1,200","1,200",-,-,-,-,"24,500","24,500",-,-,-,"20,400","206,600","206,600",-,-,-,"131,600",-,-,-,-,-,-,"75,000","231,100",-,"206,600",-,"206,600","231,100","206,600","24,500","13,500","113,231","113,231",-,-
112,3/31/1995,"1,180,400","14,700","14,700","14,700",-,-,-,-,-,-,"181,800","181,800",-,-,"946,200","958,700",-,-,-,-,"958,700","11,300","-1,200",-,-,-,"10,700",-,-,-,-,-,-,-,"27,000","971,600","866,300","848,300","848,300","18,000",-,-,-,"4,800","4,800",-,-,-,-,"75,600","75,600",-,-,-,"24,900","208,800","208,800",-,-,-,"127,000",-,-,-,-,-,-,"81,800","284,400",-,"208,800",-,"208,800","284,400","208,800","75,600","60,900","117,411","117,411",-,-
113,12/31/1994,"1,170,800","12,000","12,000","12,000",-,-,-,-,-,-,"186,500","186,500",-,-,"937,600","948,900",-,-,-,-,"948,900","11,300",-,-,-,-,"10,800",-,-,-,-,-,-,-,"23,900","965,500","850,800","821,700","821,700","29,100",-,-,-,"2,200","2,200",-,-,-,-,"83,300","83,300",-,-,-,"29,200","205,300","205,300",-,-,-,"122,600",-,-,-,-,-,-,"82,700","288,600",-,"205,300",-,"205,300","288,600","205,300","83,300","71,300","118,358","118,358",-,-
114,9/30/1994,"1,150,300","19,100","19,100","19,100",-,-,-,-,-,-,"190,700","190,700",-,-,"908,300","921,100",-,-,-,-,"921,100","11,000","-1,800","9,200",-,-,"11,000",-,-,-,-,-,-,-,"12,000","943,000","839,300","808,400","808,400","30,900",-,-,-,"6,600","6,600",-,-,-,-,"83,400","83,400",-,-,-,"13,700","207,300","207,300",-,-,-,"117,600",-,-,-,-,-,-,"89,700","290,700",-,"207,300",-,"207,300","290,700","207,300","83,400","64,300","123,584","123,584",-,-
115,6/30/1994,"1,087,800","19,500","19,500","19,500",-,-,-,-,-,-,"195,800","195,800",-,-,"841,900","854,300",-,-,-,-,"854,300","10,700","-1,700","8,500",-,-,"11,100",-,-,-,-,-,-,-,"11,000","885,300","838,400","820,900","820,900","17,500",-,-,-,"6,800","6,800",-,-,-,-,"16,000","16,000",-,-,-,"24,100","202,500","202,500",-,-,-,"113,400",-,-,-,-,-,-,"89,100","218,500",-,"202,500",-,"202,500","218,500","202,500","16,000",-,"123,529","123,529",-,-
116,3/31/1994,"1,067,700","30,800","30,800","30,800",-,-,-,-,-,-,"202,800","202,800",-,-,"803,300","813,700",-,-,-,-,"813,700","10,400",-,-,-,-,"11,300",-,-,-,-,-,-,-,"19,500","869,600","826,600","809,900","809,900","16,700",-,-,-,"9,100","9,100",-,-,-,-,"16,400","16,400",-,-,-,"17,500","198,100","198,100",-,-,-,"108,700",-,-,-,-,-,-,"89,400","214,500",-,"198,100",-,"198,100","214,500","198,100","16,400",-,"123,477","123,477",-,-
117,12/31/1993,"1,089,700","55,000","55,000","55,000",-,-,-,-,-,-,"223,500","223,500",-,-,"779,000","789,300",-,-,-,-,"789,300","10,300",-,-,-,-,"11,400",-,-,-,-,-,-,-,"20,800","896,900","827,200","809,900","809,900","17,300",-,-,-,"6,000","6,000",-,-,-,-,"10,800","10,800",-,-,-,"52,900","192,800","192,800",-,-,-,"104,500",-,-,-,-,-,-,"88,300","203,600",-,"192,800",-,"192,800","203,600","192,800","10,800",-,"123,529","123,529",-,-
