,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Other Customer Services,Investment Banking Profit,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income from Tax Loss Carryforward,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
66,12/31/2006,"161,846","140,805","367,623","296,948","296,948","70,675",-,-,-,"226,818","105,111",-,"121,848",35,"21,041",-,"10,131","10,131",-,-,-,-,"-5,481","-6,174",-,-,"-7,236",-,"51,981","14,841","96,328","96,328","42,169",-,-,-,-,-,-,"-77,059",-,-,-,-,-,-,-,-,"84,945","31,824","53,121","53,121","53,121","53,121",-,-,"53,121",-,-,-,-,"140,805","53,121","53,121",-,"9,129","53,121",-,-,0,0
67,9/30/2006,"163,314","139,847","361,297","288,839","288,839","72,458",-,-,-,"221,450","105,844",-,"115,575",31,"23,467",-,"10,437","10,437",-,-,-,-,-,-,-,-,"13,030",-,"71,477","15,875","34,478","34,478","34,478",-,-,-,-,-,-,"21,124",-,-,-,-,-,-,-,-,"91,837","29,360","62,477","62,477","62,477","62,477",-,-,"62,477",0.21,0.21,"297,510","297,510","139,847","62,477","62,477",-,"9,170","62,477",-,-,0,0
68,6/30/2006,"167,675","139,428","347,557","272,469","272,469","75,088",-,-,-,"208,129","94,799",-,"113,330",-,"28,247",-,"14,356","14,356",-,-,-,-,-,-,-,-,"13,891",-,"93,192","13,959","45,641","45,641","45,641",-,-,-,-,-,-,"33,592",-,-,-,-,-,-,-,-,"74,483","23,871","50,612","50,612","50,612","50,612",-,-,"50,612",0.18,0.18,"281,178","281,178","139,428","50,612","50,612",-,"8,309","50,612",-,-,0,0
69,3/31/2006,"156,074","128,740","319,477","247,465","247,465","72,012",-,-,-,"190,737","77,499",-,"113,184",54,"27,334",-,"16,484","16,484",-,-,-,-,"2,823","2,823",-,-,"8,027",-,"58,625","12,060","29,541","29,541","29,541",-,-,-,-,-,-,"17,024",-,-,-,-,-,-,-,-,"97,449","31,074","66,375","66,375","66,375","66,375",-,-,"66,375",0.25,0.25,"265,500","265,500","128,740","66,375","66,375",-,"6,726","66,375",-,-,0,0
70,12/31/2005,"154,785","128,676","294,259","222,804","222,804","71,455",-,-,-,"165,583","62,249",-,-,56,"26,109",-,"12,239","12,239",-,-,-,-,"-6,110",0,-,-,"19,980",-,"94,352","11,021","26,274","26,274","61,497",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"65,423","28,507","36,916","36,916","36,916","36,916",-,-,"36,916",-,-,-,-,"128,676","36,916","36,916",-,"-9,681","36,916",-,-,0,0
71,9/30/2005,"168,502","135,440","287,872","215,251","215,251","72,621",-,-,-,"152,432","56,433",-,"95,939",60,"33,062",-,"19,779","19,779",-,-,"19,779",-,83,83,-,0,"13,200",0,"51,989","10,886","38,173","38,173","26,057",-,"12,116","2,930","2,930","2,930","2,930",-,"-1,181",-,-,-,-,-,-,-,"115,332","37,717","77,615","77,615","77,615","77,615",-,-,"77,615",0.30,0.30,"258,717","258,717","135,440","77,615","78,410",-,"6,274","77,615","-1,181","-1,181",0,-386.2222
72,6/30/2005,"179,017","149,131","291,129","207,826","207,826","83,303",-,-,-,"141,998","47,477",-,"94,521",-,"29,886",-,"11,049","11,049",-,-,-,-,"2,868","2,868",-,-,"15,969",-,"52,246","11,085","25,159","25,159","25,159",-,-,-,-,-,-,"16,002",-,-,-,-,-,-,-,-,"126,771","40,299","86,472","86,472","86,472","86,472",-,-,"86,472",0.33,0.33,"262,036","262,036","149,131","86,472","86,472",-,"6,282","86,472",-,-,0,0
73,3/31/2005,"190,764","158,756","282,394","188,292","188,292","94,102",-,-,-,"123,638","36,548",-,"87,090",-,"32,008",-,"12,911","12,911",-,-,-,-,"6,158",48,-,"6,110","12,939",-,"53,576","11,388","25,401","25,401","25,401",-,-,-,-,-,-,"16,787",-,-,-,-,-,-,-,-,"137,188","46,106","91,082","91,082","91,082","91,082",-,-,"91,082",0.35,0.35,"260,234","260,234","158,756","91,082","87,025",-,"6,322","91,082","6,110","6,110",0,"2,053"
74,12/31/2004,"178,548","160,521","269,513","173,077","173,077","96,436",-,-,-,"108,992","26,733",-,-,52,"18,027",-,"12,379","12,379",-,-,-,-,484,484,-,-,"5,164",-,"54,337","10,427","25,769","25,769","25,769",-,-,-,-,-,-,"18,141",-,-,-,-,-,-,-,-,"124,211","40,735","83,476","83,476","83,476","83,476",-,-,"83,476",-,-,-,-,"160,521","83,476","83,476",-,"-65,192","83,476",-,-,0,0
75,9/30/2004,"198,502","171,993","277,598","167,713","167,713","109,885",-,-,-,"105,605","25,959",-,"79,580",66,"26,509",-,"13,915","13,915",-,-,-,-,412,412,-,-,"12,182",-,"50,317","10,834","23,254","23,254","23,254",-,-,-,-,-,-,"16,229",-,-,-,-,-,-,-,-,"148,185","49,353","98,832","98,832","98,832","98,832",-,-,"98,832",0.38,0.38,"259,124","262,473","171,993","98,832","98,832",-,"6,178","98,832",-,-,0,0
76,6/30/2004,"108,982","235,227","329,200","160,822","160,822","168,378",-,-,-,"93,973","19,235",-,"74,667",71,"-126,245",-,"18,213","18,213",-,-,-,-,"-157,215","-157,215",-,-,"12,757",-,"50,615","9,771","23,499","23,499","23,499",-,-,-,-,-,-,"17,345",-,-,-,-,-,-,-,-,"58,367","15,612","42,755","42,755","42,755","42,755",-,-,"42,755",0.16,0.16,"267,219","267,219","235,227","42,755","42,755",-,"6,163","42,755",-,-,0,0
77,3/31/2004,"251,008","213,516","295,848","156,199","156,199","139,649",-,-,-,"82,332","18,229",-,"64,059",44,"37,492",-,"13,745","13,745",-,-,-,-,"9,944","9,944",-,-,"13,803",-,"49,803","9,537","25,296","25,296","25,296",-,-,-,-,-,-,"14,970",-,-,-,-,-,-,-,-,"201,205","71,182","130,023","130,023","130,023","130,023",-,-,"130,023",0.50,0.48,"260,046","270,881","213,516","130,023","130,023",-,"6,134","130,023",-,-,0,0
78,12/31/2003,"246,358","172,813","251,785","139,528","139,528","112,257",-,-,-,"78,972","19,455",-,-,34,"73,545",-,"19,097","19,097",-,-,-,-,"43,308","5,695",-,-,"11,140",-,"68,643","9,014","21,121","21,121","21,121",-,-,-,-,-,-,"38,508",-,-,-,-,-,-,-,-,"177,715","65,650","112,065","112,065","112,065","112,065",-,-,"112,065",-,-,-,-,"172,813","112,065","112,065",-,-339,"112,065",-,-,0,0
79,9/30/2003,"145,826","115,505","168,490","108,178","108,178","60,312",-,-,-,"52,985","11,895",-,"41,089",1,"30,321",-,"17,195","17,195",-,-,-,-,"5,478","5,478",-,-,"7,648",-,"36,763","6,246","27,787","27,787","27,787",-,-,-,-,-,-,"2,730",-,-,-,-,-,-,-,-,"109,063","36,878","72,185","72,185","72,185","72,185",-,-,"72,185",0.41,0.40,"174,990","181,593","115,505","72,185","72,185",-,"8,379","72,185",-,-,0,0
80,6/30/2003,"142,034","108,355","162,310","105,710","105,710","56,600",-,-,-,"53,955","14,108",-,"39,847",-,"33,679",-,"14,723","14,723",-,-,-,-,"10,581","10,581",-,-,"8,375",-,"35,435","5,443","27,418","27,418","27,418",-,-,-,-,-,-,"2,574",-,-,-,-,-,-,-,-,"106,599","34,847","71,752","71,752","71,752","71,752",-,-,"71,752",0.41,0.40,"177,161","180,504","108,355","71,752","71,752",-,"13,583","71,752",-,-,0,0
81,3/31/2003,"134,742","108,300","166,574","103,256","103,256","63,318",-,-,-,"58,274","18,738","39,536",-,-,"26,442",-,"11,639","11,639",-,-,-,-,"6,485","6,485",-,-,"8,318",-,"35,439","6,076","18,726","18,726","18,726",-,-,-,-,-,-,"10,637",-,-,-,-,-,-,-,-,"99,303","31,935","67,368","67,368","67,368","67,368",-,-,"67,368",0.38,0.37,"178,745","181,454","108,300","67,368","67,368",-,"10,004","67,368",-,-,0,0
82,12/31/2002,"126,338","95,900","151,727","97,416","97,416","54,311",-,-,-,"55,827","20,476",-,-,2,"30,438",-,"14,644","14,644",-,-,-,-,-,-,-,-,"27,479",-,"33,725","5,518","-6,873","-6,873","-6,873",-,-,-,-,-,-,"35,080",-,-,-,-,-,-,-,-,"92,613","28,191","64,422","64,422","64,422","64,422",-,-,"64,422",-,-,-,-,"95,900","64,422","64,422",-,"5,954","64,422",-,-,0,0
83,9/30/2002,"122,463","98,857","154,346","99,862","99,862","54,484",-,-,-,"55,489","21,359",-,"34,127",3,"23,606",-,"10,816","10,816",-,-,-,-,"3,903","3,903",-,-,"8,887",-,"35,349","6,043","26,730","26,730","26,730",-,-,-,-,-,-,"2,576",-,-,-,-,-,-,-,-,"87,114","26,756","60,358","60,358","60,358","60,358",-,-,"60,358",0.33,0.33,"184,996","184,996","98,857","60,358","60,358",-,"4,272","60,358",-,-,0,0
84,6/30/2002,"123,416","95,435","152,303","105,677","105,677","46,626",-,-,-,"56,868","25,044",-,"31,819",5,"27,981",-,"10,822","10,822",-,-,-,-,"6,253","6,253",-,-,"10,906",-,"34,824","5,575","26,179","26,179","26,179",-,-,-,-,-,-,"3,070",-,-,-,-,-,-,-,-,"88,592","30,463","58,129","58,129","58,129","58,129",-,-,"58,129",0.32,0.32,"181,290","181,290","95,435","58,129","58,129",-,"6,312","58,129",-,-,0,0
85,3/31/2002,"102,857","83,062","141,130","100,452","100,452","40,678",-,-,-,"58,068","28,966","29,097",-,5,"19,795",-,"11,161","11,161",-,-,-,-,-,-,-,-,"8,634",-,"35,162","6,093","16,487","16,487","16,487",-,-,-,-,-,-,"12,582",-,-,-,-,-,-,-,-,"67,695","21,374","46,321","46,321","46,321","46,321",-,-,"46,321",0.26,0.26,"175,201","175,201","83,062","46,321","46,321",-,"7,096","46,321",-,-,0,0
86,12/31/2001,"94,026","75,043","139,617","102,137","102,137","37,480",-,-,-,"64,574","38,522",-,-,49,"18,983",-,"10,534","10,534",-,-,-,-,-,-,-,-,"8,449",-,"29,009","6,233","9,942","9,942","9,942",-,-,-,-,-,-,"12,834",-,-,-,-,-,-,-,-,"65,017","22,496","19,253","19,253","19,253","42,521",-,-,"19,253",-,-,-,-,"75,043","42,521","42,521",-,"2,815","42,521",-,-,0,0
87,9/30/2001,"91,462","59,439","121,014","90,180","90,180","30,834",-,-,-,"61,575","39,970",-,"21,604",1,"32,023",-,"8,805","8,805",-,-,-,-,-,-,-,-,"23,218",-,"52,224","5,321","35,656","35,656","35,656",-,-,-,-,-,-,"11,247",-,-,-,-,-,-,-,-,"39,238","23,631","34,903","34,903","34,903","15,607","19,296",-,"34,903",0.10,0.10,"107,447","109,349","59,439","15,607","15,607",-,"2,877","15,607",-,-,0,0
88,6/30/2001,"47,331","36,203","78,316","63,099","63,099","15,217",-,-,-,"42,113","29,994",-,"12,111",8,"11,128",-,"7,789","7,789",-,-,-,-,-,-,-,-,"3,339",-,"19,048","3,716","7,828","7,828","7,828",-,-,-,-,-,-,"7,504",-,-,-,-,-,-,-,-,"28,283","9,588","18,695","18,695","18,695","18,695",-,-,"18,695",0.18,0.17,"106,066","108,371","36,203","18,695","18,695",-,"3,663","18,695",-,-,0,0
89,3/31/2001,"63,611","35,130","84,358","70,509","70,509","13,849",-,-,-,"49,228","33,255","15,969",-,4,"28,481",-,"7,933","7,933",-,-,-,-,-,-,-,-,"20,548",-,"20,902","3,372","9,714","9,714","9,714",-,-,-,-,-,-,"7,816",-,-,-,-,-,-,-,-,"42,709","15,065","27,644","27,644","27,644","27,644",-,-,"27,644",0.26,0.25,"108,402","111,687","35,130","27,644","27,644",-,"3,700","27,644",-,-,0,0
90,12/31/2000,"42,062","24,041","59,880","47,234","47,234","12,646",-,-,-,"35,839","19,875","15,950",-,14,"18,021",-,"3,059","3,059",-,-,-,-,-,-,-,-,"14,962",-,"32,981","1,761","34,008","34,008","34,008",-,-,-,-,-,-,"-2,788",-,-,-,-,-,-,-,-,"9,081","7,753",763,763,763,"1,328",-,-,763,-,-,-,-,"24,041","1,328","1,328",-,"5,060","1,328",-,-,0,0
91,9/30/2000,"17,542","16,278","40,623","36,663","36,663","3,960",-,-,-,"24,345","11,655","12,684",-,6,"1,264",-,545,545,-,-,-,-,-,-,-,-,719,-,"5,684",768,"3,500","3,500","3,500",-,-,-,-,-,-,"1,416",-,-,-,-,-,-,-,-,"11,858","4,073","8,419","8,419","8,419","7,785",634,-,"8,419",0.11,0.11,"74,832","74,832","16,278","7,785","7,785",-,352,"7,785",-,-,0,0
92,6/30/2000,"17,568","16,319","38,062","34,604","34,604","3,458",-,-,-,"21,743","10,431","11,312",-,-,"1,249",-,490,490,-,-,-,-,-,-,-,-,759,-,"5,520",681,"3,430","3,430","3,430",-,-,-,-,-,-,"1,409",-,-,-,-,-,-,-,-,"12,048","4,278","7,770","7,770","7,770","7,770",-,-,"7,770",0.11,0.11,"70,405","71,151","16,319","7,770","7,770",-,873,"7,770",-,-,0,0
93,3/31/2000,"17,554","16,443","36,269","33,126","33,126","3,143",-,-,-,"19,826","10,469","9,357",-,-,"1,111",-,501,501,-,-,-,-,-,-,-,-,610,-,"5,638",744,"3,488","3,488","3,488",-,-,-,-,-,-,"1,406",-,-,-,-,-,-,-,-,"11,916","4,322","7,594","7,594","7,594","7,594",-,-,"7,594",0.11,0.11,"72,320","72,320","16,443","7,594","7,594",-,478,"7,594",-,-,0,0
94,12/31/1999,"18,100","17,300","38,200","35,200","35,200","3,000",-,-,-,"20,900","11,000","9,900",-,-,800,-,500,500,-,-,-,-,-,-,-,-,300,400,"6,400",700,"4,200","4,200","4,200",-,-,-,-,-,-,"1,500",-,-,-,-,-,-,-,-,"12,100","4,900","7,200","7,200","7,200","7,200",-,-,"7,200",-,-,-,-,"17,700","7,200","7,200",-,300,"7,200",-,-,0,0
95,9/30/1999,"18,200","17,600","36,900","33,900","33,900","2,900",-,-,100,"19,300","11,000","8,300",-,-,600,-,500,500,-,-,-,-,-,-,-,-,100,-,"3,500",500,"1,700","1,700","1,700",-,-,-,-,-,-,"1,300",-,-,-,-,-,-,-,-,"14,600","5,800","8,800","8,800","8,800","8,800",-,-,"8,800",0.12,0.12,"75,661","75,661","17,600","8,800","8,800",-,800,"8,800",-,-,0,0
96,6/30/1999,"18,000","17,500","34,700","32,000","32,000","2,700",-,-,-,"17,200","10,800","6,400",-,-,500,-,500,500,-,-,-,-,-,-,-,-,-,-,"5,800",600,"3,900","3,900","3,900",-,-,-,-,-,-,"1,300",-,-,-,-,-,-,-,-,"12,100","4,700","7,400","7,400","7,400","7,400",-,-,"7,400",0.10,0.10,"73,050","75,859","17,500","7,400","7,400",-,-,"7,400",-,-,0,0
97,3/31/1999,"17,200","16,600","33,400","30,500","30,500","2,900",-,-,-,"16,800","11,100","5,700",-,-,600,-,500,500,-,-,-,-,-,-,-,-,100,"2,000","5,600",600,"3,700","3,700","3,700",-,-,-,-,-,-,"1,300",-,-,-,-,-,-,-,-,"13,600","5,400","8,200","8,200","8,200","8,200",-,-,"8,200",0.11,0.11,"75,364","75,364","18,600","8,200","8,200",-,-,"8,200",-,-,0,0
98,12/31/1998,"17,700","17,200","34,500","31,800","31,800","2,700",-,-,-,"17,300","11,500","5,800",-,-,500,-,400,400,-,-,-,-,-,-,-,-,100,-,"5,900",500,"4,300","4,300","4,300",-,-,-,-,-,-,"1,100",-,-,-,-,-,-,-,-,"11,800","4,700","7,100","7,100","7,100","7,100",-,-,"7,100",-,-,-,-,"17,200","7,100","7,100",-,400,"7,100",-,-,0,0
99,9/30/1998,"17,900","17,300","34,100","31,500","31,500","2,600",-,-,-,"16,800","11,000","5,800",-,-,600,-,500,500,-,-,-,-,-,-,-,-,100,-,"6,700",700,"4,600","4,600","4,600",-,-,-,-,-,-,"1,400",-,-,-,-,-,-,-,-,"11,300","4,300","7,000","7,000","7,000","7,000",-,-,"7,000",0.09,0.09,"77,739","81,118","17,300","7,000","7,000",-,200,"7,000",-,-,0,0
100,6/30/1998,"18,400","17,500","33,200","30,600","30,600","2,600",-,-,-,"15,700","10,700","5,000",-,-,900,-,800,800,-,-,-,-,-,-,-,-,100,-,"6,700",600,"4,900","4,900","4,900",-,-,-,-,-,-,"1,200",-,-,-,-,-,-,-,-,"11,600","5,000","6,600","6,600","6,600","6,600",-,-,"6,600",0.09,0.08,"76,483","83,767","17,500","6,600","6,600",-,100,"6,600",-,-,0,0
101,3/31/1998,"17,100","16,500","32,500","30,000","30,000","2,500",-,-,-,"16,000","11,200","4,700",-,100,600,-,400,400,-,-,-,-,-,-,-,-,200,-,"6,700",700,"4,700","4,700","4,700",-,-,-,-,-,-,"1,300",-,-,-,-,-,-,-,-,"10,500","4,200","6,300","6,300","6,300","6,300",-,-,"6,300",0.08,0.08,"76,326","79,959","16,500","6,300","6,300",-,600,"6,300",-,-,0,0
102,12/31/1997,"17,200","16,100","31,700","29,600","29,600","2,200",-,100,-200,"15,600","11,600",-,-,-,"1,100",-,-,-,-,-,-,-,-,-,-,-,"2,000",-,"7,100",600,"5,000","5,000","5,000",-,-,-,-,-,-,"1,500",-,-,-,-,-,-,-,-,"10,200","4,800","5,400","5,400","5,400","5,400",-,-,"5,400",-,-,-,-,"16,100","5,400","5,400",100,0,"5,400",-,-,0,0
103,9/30/1997,"15,900","15,600","30,400","28,300","28,300","2,100",-,100,-100,"14,800","11,300",-,"3,500",-,300,-,300,300,-,-,-,-,-,-,-,-,-,-,"6,800",700,"4,700","4,700","4,700",-,-,-,-,-,-,"1,400",-,-,-,-,-,-,-,-,"9,200","3,800","5,400","5,400","5,400","5,400",-,-,"5,400",0.06,0.06,"84,663","84,663","15,600","5,400","5,400",100,400,"5,400",-,-,0,0
104,6/30/1997,"16,000","15,500","28,500","26,300","26,300","2,200",-,-,-,"13,000","10,900","2,100",-,-,500,-,300,300,-,-,-,-,-,-,-,-,200,-,"6,700",600,"4,700","4,700","4,700",-,-,-,-,-,-,"1,400",-,-,-,-,-,-,-,-,"9,300","4,000","5,300","5,300","5,300","5,300",-,-,"5,300",0.06,0.06,"83,096","83,096","15,500","5,300","5,300",-,500,"5,300",-,-,0,0
105,3/31/1997,"15,500","15,200","27,100","24,700","24,700","2,400",-,-,-,"11,900","10,700",-,"1,200",-,300,-,300,300,300,-,-,-,-,-,-,-,-,-,"6,500",700,"4,500","4,500","4,500",-,-,-,-,-,-,"1,300",-,-,-,-,-,-,-,-,"8,900","1,800","7,100","7,100","7,100","7,100",-,-,"7,100",0.08,0.08,"94,619","94,619","15,200","7,100","7,100",-,400,"7,100",-,-,0,0
106,12/31/1996,"15,600","14,800","26,700","24,100","24,100","1,900",-,-,-,"11,900","11,000",800,-,-,800,-,-,-,-,-,-,-,-,-,-,-,"2,100",0,"6,600",700,"4,900","4,900","4,900",-,-,-,-,-,-,"1,000",-,-,-,-,-,-,-,-,"9,200","5,400","3,800","3,800","3,800","3,800",-,-,"3,800",-,-,-,-,"14,800","3,800","3,800",-,700,"3,800",-,-,0,0
107,9/30/1996,"15,000","14,400","26,000","23,600","23,600","2,400",-,-,-,"11,600","10,600","1,000",-,-,600,-,500,500,-,-,-,-,-,-,-,-,100,-,"5,700",700,"3,800","3,800","3,800",-,-,-,-,-,-,"1,200",-,-,-,-,-,-,-,-,"9,300","3,700","5,600","5,600","5,600","5,600",-,-,"5,600",0.06,0.06,"99,504","99,504","14,400","5,600","5,600",-,300,"5,600",-,-,0,0
108,6/30/1996,"14,900","14,400","25,100","22,600","22,600","2,500",-,-,-,"10,700","9,800",800,-,100,500,-,400,400,-,-,-,-,-,-,-,-,100,"2,000","5,500",600,"3,800","3,800","3,800",-,-,-,-,-,-,"1,100",-,-,-,-,-,-,-,-,"11,400","5,100","6,300","6,300","6,300","6,300",-,-,"6,300",0.08,0.06,"76,326","98,774","16,400","6,300","6,300",-,200,"6,300",-,-,0,0
109,3/31/1996,"14,300","13,800","24,500","21,700","21,700","2,800",-,-,-,"10,700","9,800",-,800,100,500,-,400,400,400,-,-,-,-,-,-,-,100,-,"5,500",600,"3,800","3,800","3,800",-,-,-,-,-,-,"1,100",-,-,-,-,-,-,-,-,"8,900","3,600","5,300","5,300","5,300","5,300",-,-,"5,300",0.05,0.05,"108,662","108,662","13,800","5,300","5,300",-,200,"5,300",-,-,0,0
110,12/31/1995,"13,500","13,100","23,300","20,700","20,700","2,800",-,-,-200,"10,200","10,100",100,-,0,400,-,400,400,-,-,-,-,-,-,-,-,0,0,"5,400",600,"8,000","8,000","8,000",-,-,-,-,-,-,"-3,200",-,-,-,-,-,-,-,-,"8,300","3,000","5,300","5,300","5,300","5,300",-,-,"5,300",-,-,-,-,"13,100","5,300","5,300",-,-200,"5,300",-,-,0,0
111,9/30/1995,"13,100","12,700","22,900","20,100","20,100","2,900",-,-,-100,"10,200","10,200",-,-,-,400,-,300,300,300,-,-,-,-,-,-,-,100,-,"5,200",600,"3,400","3,400","3,400",-,-,-,-,-,-,"1,200",-,-,-,-,-,-,-,-,"8,000","2,800","5,200","5,200","5,200","5,200",-,-,"5,200",0.05,0.05,"106,612","106,612","12,700","5,200","5,200",-,200,"5,200",-,-,0,0
112,6/30/1995,"14,400","12,800","22,600","19,700","19,700","2,900",-,-,-,"9,800","8,400",-,800,600,"1,600",-,300,300,-,300,-,-,-,-,-,-,"1,300",-100,"6,500",600,"3,200","3,200","3,200",-,-,-,-,-,-,"2,700",-,-,-,-,-,-,-,-,"7,900","2,900","5,000","5,000","5,000","5,000",-,-,"5,000",0.05,0.05,"102,512","102,512","12,700","5,000","5,000",-,400,"5,000",-,-,0,0
113,3/31/1995,"13,700","13,200","22,500","19,600","19,600","2,800",200,-,-100,"9,300","8,000",-,"1,300",-,500,-,300,300,-,300,-,-,-,-,-,-,200,-100,"5,800",600,"3,200","3,200","3,200",-,-,-,-,-,-,"2,000",-,-,-,-,-,-,-,-,"7,700","3,000","4,700","4,700","4,700","4,700",-,-,"4,700",0.05,0.05,"104,391","104,391","13,100","4,700","4,700",200,500,"4,700",-,-,0,0
114,12/31/1994,"13,900","13,400","22,000","19,000","19,000","3,400",-,-,200,"8,600","7,400",-,-,-,500,-,-,-,-,-,-,-,-,-,-,-,"-1,300",-300,"5,000",600,"7,300","7,300","7,300",-,-,-,-,-,-,"-2,900",-,-,-,-,-,-,-,-,"8,500","3,200","5,300","5,300","5,300","5,300",-,-,"5,300",-,-,-,-,"13,100","5,300","5,300",-,100,"5,300",-,-,0,0
115,9/30/1994,"14,100","13,600","20,900","18,000","18,000","2,800",100,-,-,"7,300","6,700",-,600,-,500,-,-,-,-,-,-,-,-,-,-,-,500,-300,"5,700",600,"2,700","2,700","2,700",-,-,-,-,-,-,"2,400",-,-,-,-,-,-,-,-,"8,100","3,500","4,600","4,600","4,600","4,600",-,-,"4,600",0.04,0.04,"111,458","111,458","13,300","4,600","4,600",100,0,"4,600",-,-,0,0
116,6/30/1994,"14,600","14,000","20,400","17,300","17,300","2,900",100,-,100,"6,400","6,400",-,-,-,600,-,-,-,-,-,-,-,-,-,-,-,600,-300,"6,200",700,"4,800","4,800","4,800",-,-,-,-,-,-,700,-,-,-,-,-,-,-,-,"8,100","3,400","4,700","4,700","4,700","4,700",-,-,"4,700",0.04,0.04,"113,881","113,881","13,700","4,700","4,700",100,800,"4,700",-,-,0,0
117,3/31/1994,"14,000","13,600","19,800","16,600","16,600","2,900",300,-,-,"6,200","6,200",-,-,-,400,-,-,-,-,-,-,-,-,-,-,-,400,-300,"6,100",700,"4,600","4,600","4,600",-,-,-,-,-,-,800,-,-,-,-,-,-,-,-,"7,700","3,500","4,200","4,200","4,200","4,200",-,-,"4,200",0.04,0.04,"111,943","111,943","13,300","4,200","4,200",300,200,"4,200",-,-,0,0
118,12/31/1993,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,100","3,100","3,100","3,100",-,-,"3,100",-,-,-,-,-,"3,100","3,100",-,-,"3,100",-,-,0,0
119,9/30/1993,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,000","3,000","3,000","3,000",-,-,"3,000",0.00,0.00,"123,862","123,862",-,"3,000","3,000",-,-,"3,000",-,-,0,0
120,6/30/1993,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,000","3,000","3,000","3,000",-,-,"3,000",0.00,0.00,"123,862","123,862",-,"3,000","3,000",-,-,"3,000",-,-,0,0
121,3/31/1993,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,000","3,000","3,000","3,000",-,-,"3,000",0.00,0.00,"123,862","123,862",-,"3,000","3,000",-,-,"3,000",-,-,0,0
