,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Sale of PPE,Gain Loss On Investment Securities,Pension And Employee Benefit Expense,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Amortization of Securities,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Deferred Charges,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
77,3/31/2004,"22,708","22,708","130,023","-10,278",-,-,"-9,944",-,-,"6,134","6,134",-,-,-,"1,383","1,383","15,246",-,-,-,-,"-119,800",-,-,-,-,-,-,-,-,-,"-2,925,937","-2,925,937","-2,504,604","-3,793,221","1,288,617",-,-,-,"-4,154",-,-,-,-,"-417,179","2,784,445","2,784,445","2,732,914","2,732,914","2,732,914",-,-,-,"417,772",-,-,-,-,"-122,811",-,-,-,"58,549",-,"168,287","-118,784","287,071",-,-,-,"-4,154",-,"2,732,914",-,-,"18,554"
78,12/31/2003,"-1,492,367","-1,492,367","112,065","-43,956",-,-,"-5,695",-,-,-339,-339,-,-,-,"-212,728","-212,728","-1,286,795",-,-,-,-,"-60,614",-,-,-,-,-,-,-,-,-,"-8,656,510","-8,656,510","-4,003,835","-7,315,149","3,311,314",-,-,-,"-80,773",-,-,-,-,"-4,571,902","10,299,034","10,299,034","3,392,069","3,392,069","3,392,069",-,-,-,"1,506,948",-,-,-,-,"-50,466",-,-,-,"-301,228",-,"287,071","150,157","136,914",-,-,-,"-80,773",-,"3,392,069",-,-,"-1,573,140"
79,9/30/2003,"67,345","67,345","72,186","-7,605",-,-,"-5,478",-,-,"8,379","8,379",-,-,-,"5,214","5,214","2,466",-,-,-,-,"-13,295",-,-,-,-,-,-,-,-,-,"-479,774","-479,774","-399,954","-2,546,342","2,146,388",-,-,-,"-2,971",-,-,-,-,"-76,849","434,250","434,250","677,511","677,511","677,511",-,-,-,"-34,961",-,-,-,-,"-36,423",-,-,-,"9,959",-,"136,914","21,821","115,093",-,-,-,"-2,971",-,"677,511",-,-,"64,374"
80,6/30/2003,"-7,117","-7,117","71,752","-10,581",-,-,"-10,581",-,-,"13,583","13,583",-,-,-,"-7,623","-7,623","9,539",-,-,-,-,"-83,787",-,-,-,-,-,-,-,-,-,"-409,629","-409,629","-301,784","-1,901,595","1,599,811",-,-,-,"-1,148",-,-,-,-,"-106,697","359,660","359,660","553,376","553,376","553,376",-,-,-,"-36,677",-,-,-,-,"-48,419",-,-,-,-,-,"115,093","-57,086","172,179",-,-,-,"-1,148",-,"553,376",-,-,"-8,265"
81,3/31/2003,"79,920","79,920","67,368","-6,485",-,-,"-6,485",-,-,"10,004","10,004",-,-,-,"7,276","7,276","1,655",-,-,-,-,102,-,-,-,-,-,-,-,-,-,"-627,379","-627,379","-374,432","-1,549,954","1,175,522",-,-,-,"-1,005",-,-,-,-,"-251,942","621,993","621,993","715,988","715,988","715,988",-,-,-,"-23,316",-,-,-,-,"-28,583",-,-,-,-,-,"172,179","74,534","97,645",-,-,-,"-1,005",-,"715,988",-,-,"78,915"
82,12/31/2002,"-17,170","-17,170","64,422","-11,022",-,-,"-5,301",-,-,"5,954","5,954",-,-,-,"3,617","3,617","2,418",-,-,-,-,"-82,559",-,-,-,-,-,-,-,-,-,"-1,292,352","-1,292,352","-1,230,205","-2,234,501","1,004,296",-,-,-,-629,-,-,-,-,"-61,518","1,263,934","1,263,934","1,141,171","1,141,171","1,141,171",-,-,-,"44,831",-,-,-,-,"-11,603",-,-,-,-,-,"97,645","-45,588","143,233",-,-,-,-629,-,"1,141,171",-,-,"-17,799"
83,9/30/2002,"67,089","67,089","60,358","-4,745",-,-,"-3,902",-,-,"4,272","4,272",-,-,-,"1,338","1,338","1,517",-,-,-,-,"4,349",-,-,-,-,-,-,-,-,-,"206,613","206,613","213,164","-476,135","689,299",-,-,-,"-9,964",-,-,-,-,"3,413","-273,447","-273,447","-94,831","-94,831","-94,831",-,-,-,"-18,720",-,-,-,-,"-20,741",-,-,-,-,-,"143,233",255,"142,978",-,-,-,"-9,964",-,"-94,831",-,-,"57,125"
84,6/30/2002,"32,500","32,500","58,129","-6,254",-,-,"-6,254",-,-,"6,312","6,312",-,-,-,"23,822","23,822","35,291",-,-,-,-,"-84,800",-,-,-,-,-,-,-,-,-,"-916,433","-916,433","-450,359","-979,125","528,766",-,-,-,-710,-,-,-,-,"-465,364","860,558","860,558","846,449","846,449","846,449",-,-,-,"144,979",-,-,-,-,"-29,481",-,-,-,"-13,869",-,"142,978","-23,375","166,353",-,-,-,-710,-,"846,449",-,-,"31,790"
85,3/31/2002,"5,961","5,961","46,321","-1,529",-,-,"-1,529",-,-,"7,096","7,096",-,-,-,"2,111","2,111","-27,329",-,-,-,-,"-20,709",-,-,-,-,-,-,-,-,-,"-108,361","-108,361","24,145","-527,674","551,819",-,-,-,-977,-,-,-,-,"-131,529","90,138","90,138","192,452","192,452","192,452",-,-,-,"8,803",-,-,-,-,"-59,819",-,-,-,"27,032",-,"166,353","-12,262","178,615",-,-,-,-977,-,"192,452",-,-,"4,984"
86,12/31/2001,"92,083","92,083","42,521",-,-,-,-,-,-,"2,815","2,815",-,-,-,"-6,476","-6,476","-506,109",-,-,-,-,"598,660",-,-,-,-,-,-,-,-,-,"-982,607","-982,607","-288,649","83,565","-372,214",-,-,-,"1,200",-,-,-,-,"-695,158","862,860","862,860","279,953","279,953","279,953",-,-,-,"677,475",-,-,-,-,"-21,647",-,-,-,"-12,386",-,"178,615","-27,664","206,279",-,-,-,-,-,"279,953",-,-,"93,283"
87,9/30/2001,"-563,821","-563,821","15,607",-,-,-,-,-,-,"2,877","2,877",-,-,-,"-10,527","-10,527","13,679",-,-,-,-,"-589,429",-,-,-,-,-,-,-,-,-,"-3,055,254","-3,055,254","-1,623,694","-2,329,561","705,867",-,-,-,"-34,176",-,-,-,-,"-1,397,384","3,594,252","3,594,252","1,188,580","1,188,580","1,188,580",-,-,-,"-30,277",-,-,-,-,"-16,613",-,-,-,"16,064",-,"206,279","-24,823","231,102",-,-,-,"-34,176",-,"1,188,580",-,-,"-597,997"
88,6/30/2001,"57,694","57,694","18,695","7,131",-,-,-277,-,-,"3,663","3,663",-,-,-,"5,814","5,814","-2,343",-,-,-,-,"24,734",-,-,-,-,-,-,-,-,-,"-293,801","-293,801","-208,297","-531,343","323,046",-,-,-,-681,-,-,-,-,"-84,823","-163,155","-163,155","5,073","5,073",-,-,-,-,"-2,561",-,-,-,-,"-14,191",-,-,-,"-12,301",-,"231,102","-399,262","630,364",-,-,-,-681,-,-,-,-,"57,013"
89,3/31/2001,"-11,811","-11,811","27,644","-11,103",-,-,"-3,695",-,-,"3,700","3,700",-,-,-,"13,153","13,153","-10,870",-,-,-,-,"-34,335",-,-,-,-,-,-,-,-,-,"471,551","471,551","52,684","-88,264","140,948",-,-,-,-173,-,-,-,-,"419,040","-87,091","-87,091","-4,283","-4,283",-,"-4,283",-,-,"-27,237",-,-,-,-,"-31,019",-,-,-,"18,828",-,"630,364","372,649","257,715",-,-,-,-173,-,-,"-4,283",-,"-11,984"
90,12/31/2000,"-106,497","-106,497","1,328",-,-,-,-,-,-,"5,060","5,060",-,-,-,"-36,241","-36,241","-82,532",-,-,-,-,"20,213",-,-,-,-,-,-,-,-,-,"-1,952,272","-1,952,272","-127,724","-743,103","615,379",-,-,-,"-30,484",-,-,-,-,"-1,794,064","2,282,011","2,282,011","159,544",-,-,-,-,-,"-10,789",-,-,-,-,"-6,556",-,-,-,"-4,784",-,"257,715","223,242","34,473",-,-,-,"-30,484",-,-,-,-,"-136,981"
91,9/30/2000,"-18,662","-18,662","7,785",-,-,-,-,-,-,352,352,-,-,-,-46,-46,981,-,-,-,-,"-27,734",-,-,-,-,-,-,-,-,-,"-95,975","-95,975","-11,233","-11,348",115,-,-,-,-31,-,-,-,-,"-84,711","125,861","125,861","76,646",-,-,-,"76,646",-,"-16,017",-,-,-,-,"-5,446",-,-,-,"-2,163",-,"34,473","11,224","23,249",-,-,-,-31,-,-,-,-,"-18,693"
92,6/30/2000,"34,441","34,441","7,770",-,-,-,-,-,-,873,873,-,-,-,-89,-89,"1,590",-,-,-,-,"24,265",-,-,-,-,-,-,-,-,-,"-71,770","-71,770","-8,642",-,97,-,-,-,-39,-,-,-,-,"-63,089","27,245","27,245","57,161",-,-,-,"57,161",-,"-1,775",-,-,-,-,"-7,719",-,-,-,"-6,938",-,"23,249","-10,084","33,333",-,-,-,-39,-,-,-,-,"34,402"
93,3/31/2000,"-12,398","-12,398","7,594",-32,-,-,-,-,-,478,478,-,-,-,-488,-488,"1,852",-,-,-,-,"-21,802",-,-,-,-,-,-,-,-,-,"-79,625","-79,625",173,-,173,-,-,-,-38,-,-,-,-,"-79,760","88,132","88,132","107,776",-,-,-,"107,776",-,"-2,968",-,-,-,-,"-8,787",-,-,-,"14,888",-,"33,333","-3,891","37,224",-,-,-,-38,-,-,-,-,"-12,436"
94,12/31/1999,"-9,700","-9,700","7,200",-100,-,-,0,-,-,300,300,-,-,-,-200,-200,"1,900",-,-,-,-,"-18,800",-,-,-,-,-,-,-,-,-,"149,900","149,900","-10,700","-11,200",500,-,-,-,-300,-,-,-,-,"160,900","-137,600","-137,600","-63,000",-,-,-,"-63,000",-,"-6,600",-,-,-,-,"-6,000",-,-,-,"-4,600",0,"37,200","2,600","34,600",0,-,-,-300,-,-,-,-,"-10,000"
95,9/30/1999,"3,000","3,000","8,800",-,-,-,-,-,-,800,800,-,-,-,0,0,"2,700",-,-,-,-,"-9,200",-,-,-,-,-,-,-,-,-,"-135,400","-135,400","-14,100","-27,000","12,900",-,-,-,-200,-,-,-,-,"-121,100","145,900","145,900","140,300",-,-,-,"140,300",-,"-8,000",-,-,-,-,"-7,500",-,-,-,"-6,600",-,"34,600","13,600",0,"21,000",-,-,-200,-,-,-,-,"2,800"
96,6/30/1999,"22,500","22,500","7,500",-,-,-,-,-,-,-,-,-,-,-,-200,-200,"4,100",-,-,-,-,"9,800",-,-,-,-,-,-,-,-,-,"-119,900","-119,900","-5,700","-10,300","4,600",-,-,-,-,-,-,-,-,"-114,100","89,200","89,200","105,400",-,-,-,"105,400",-,"-2,400",-,-,-,-,"-7,600",-,-,-,"-4,400",-,0,"-8,200",0,"8,200",-,-,-,-,-,-,-,"22,400"
97,3/31/1999,"-2,800","-2,800","8,200",-100,-,-,-,-,-,-,-,-,-,-,800,800,"-1,300",-,-,-,-,"-10,400","1,700","1,700","1,700","1,700",-,-,-,-,"-12,100","-31,500","-31,500","7,600","-6,300","13,900",-,-,-,-,-,-,-,-,"-39,100","17,000","17,000","14,600",-,-,-,"14,600",-,"9,800",-,-,-,-,"-25,400",-,-,-,"12,800",-,0,"-17,300","46,600","-29,300",-,-,-,-,-,-,-,"-2,800"
98,12/31/1998,"33,000","33,000","7,100",0,-,-,0,-,-,400,400,-,-,-,-100,-100,"3,100",-,-,-,-,"22,500",-,-,-,-,-,-,-,-,-,"-19,000","-19,000","-14,100","-92,000","77,900",-,-,-,-300,-,-,-,-,"-4,600","10,000","10,000","-6,500",-,-,-,"-6,500",-,"-4,500",-,-,-,-,"-4,700",-,-,-,"-1,900",-,0,"24,000",0,"-24,000",-,-,-300,-,-,-,-,"32,700"
99,9/30/1998,"-34,700","-34,700","6,900",0,-,-,0,-,-,200,200,-,-,-,-200,-200,"2,900",-,-,-,-,"-44,500",-,-,-,-,-,-,-,-,-,"-22,200","-22,200","-1,100","-46,400","45,300",-,-,-,-100,-,-,-,-,"-21,000","25,300","25,300","21,600",-,-,-,"21,600",-,"-26,700",-,-,-,-,"-4,400",-,-,-,"-4,500",-,0,"-31,600",0,"31,600",-,-,-100,-,-,-,-,"-34,800"
100,6/30/1998,"45,200","45,200","6,600",0,-,-,0,-,-,100,100,-,-,-,-600,-600,"6,100",-,-,-,-,"33,000",-,-,-,-,-,-,-,-,-,"-66,300","-66,300","-9,500","-23,900","14,400",-,-,-,0,-,-,-,-,"-56,800","46,900","46,900","72,200",-,-,-,"72,200",-,-500,-,-,-,-,"-8,700",-,-,-,"-3,400",-,0,"25,800",0,"-25,800",-,-,-,-,-,-,-,"45,200"
101,3/31/1998,"-1,600","-1,600","6,300",-100,-,-,-100,-,-,600,600,-,-,-,500,500,"1,200",-,-,-,-,"-10,100","3,100","3,100","3,100","3,100",-,-,-,-,"-13,200","-14,000","-14,000","-4,700","-35,600","30,900",-,-,-,-100,-,-,-,-,"-9,200","21,200","21,200","42,100",-,-,-,"42,100",-,"-2,100",-,-,-,-,"-10,000",-,-,-,"12,300",-,0,"5,600","22,700","-28,300",-,-,-100,-,-,-,-,"-1,700"
102,12/31/1997,"26,000","26,000","5,400",-,-,-,-,-,-,0,0,-,-,-,300,300,"4,700",-,-,-,-,"15,600",-,-,-,-,-,-,-,-,-,"-59,200","-59,200","-12,800","-42,400","29,600",-,-,-,-100,-,-,-,-,"-46,300","34,000","34,000","32,400",-,-,-,-,-,"-9,800",-,-,-,-,"-3,100",-,-,-,"3,300",-,0,800,0,-800,-,-,-100,-,-,-,-,"25,900"
103,9/30/1997,"2,500","2,500","5,400",-,-,-,-,-,-,400,400,-,-,-,-100,-100,"1,600",-,-,-,-,"-4,800",-,-,-,-,-,-,-,-,-,"-78,700","-78,700","-1,600","-17,500","15,900",-,-,-,-200,-,-,-,-,"-76,900","71,200","71,200","60,300",-,-,-,-,-,"-5,000",-,-,-,-,"-3,100",-,-,-,"-7,800",-,0,"-5,100",0,"5,100",-,-,-200,-,-,-,-,"2,300"
104,6/30/1997,"15,500","15,500","5,400",-,-,-,-,-,-,500,500,-,-,-,-200,-200,"1,300",-,-,-,-,"8,500",-,-,-,-,-,-,-,-,-,"-86,100","-86,100","13,200","-6,300","19,500",-,-,-,-100,-,-,-,-,"-99,200","78,000","78,000","111,000",-,-,-,-,-,"-35,500",-,-,-,-,"-3,000",-,-,-,"-3,000",-,0,"7,500",0,"-7,500",-,-,-100,-,-,-,-,"15,400"
105,3/31/1997,"-9,100","-9,100","7,100",-,-,-,-,-,-,400,400,-,-,-,"-2,200","-2,200","1,300",-,-,-,-,"-15,700",-,-,-,-,-,-,-,-,-,"-12,400","-12,400","14,200","-17,300","31,500",-,-,-,-300,-,-,-,-,"-26,300","20,000","20,000","24,600","24,600","24,600",-,-,-,"-11,500",-,-,-,-,"-2,700",-,-,-,"10,900",-,0,"-1,500","21,000","-19,500",-,-,-300,-,"24,600",-,-,"-9,400"
106,12/31/1996,"26,300","26,300","3,800",-,-,-,-,-,-,700,700,-,-,-,"1,700","1,700",500,-,-,-,-,"19,500",-,-,-,-,-,-,-,-,-,"-34,800","-34,800","-2,600","-29,100","26,500",-,-,-,-200,-,-,-,-,"-32,000","9,900","9,900","-4,700",-,-,-,"-4,700",-,300,-,-,-,-,"-1,100",-,-,-,"-4,300",-,0,"1,400",0,"-1,400",-,-,-200,-,-,-,-,"26,100"
107,9/30/1996,"-1,200","-1,200","5,600",-,-,-,-,-,-,300,300,-,-,-,-300,-300,"1,400",-,-,-,-,"-8,200",-,-,-,-,-,-,-,-,-,"-27,800","-27,800","4,300","-24,900","29,200",-,-,-,-800,-,-,-,-,"-31,300","24,700","24,700","13,400",-,-,-,"13,400",-,"-13,400",-,-,-,-,"-2,700",-,-,-,200,-,0,"-4,400",0,"4,400",-,-,-800,-,-,-,-,"-2,000"
108,6/30/1996,"11,900","11,900","6,200",-,-,-,-,-,-,200,200,-,-,-,"1,200","1,200",-700,-,-,-,-,"5,000",-,-,-,-,-,-,-,-,-,"-45,800","-45,800","4,500","-18,200","22,700",-,-,-,-200,-,-,-,-,"-50,100","34,100","34,100","13,100",-,-,-,-,-,"-3,600",-,-,-,-,"-1,800",-,-,-,"-4,500",-,0,300,0,-300,-,-,-200,-,-,-,-,"11,700"
109,3/31/1996,"-8,200","-8,200","5,300",-,-,-,-,-,-,200,200,-,-,-,-100,-100,"1,200",-,-,-,-,"-14,800",-,-,-,-,-,-,-,-,-,"-32,400","-32,400","3,900","-23,800","27,700",-,-,-,-100,-,-,-,-,"-36,200","25,400","25,400","13,500","13,500","13,500",-,-,-,"-8,900",-,-,-,-,"-1,400",-,-,-,"8,200",-,0,"-15,200","39,000","-23,800",-,-,-100,-,"13,500",-,-,"-8,300"
110,12/31/1995,"24,200","24,200","5,300",-,-,-,-,-,-,-200,-200,-,-,-,-200,-200,"1,200",-,-,-,-,"18,100",-,-,-,-,-,-,-,-,-,"-36,000","-36,000","7,200","-14,200","21,400",-,-,-,0,-,-,-,-,"-43,200","35,900","35,900","39,600",-,-,-,-,-,100,-,-,-,-,-800,-,-,-,-,-200,0,"23,900",0,"-23,900",-,-,-,-,-,-,-,"24,200"
111,9/30/1995,"7,000","7,000","5,200",-,-,-,-,-,-,200,200,-,-,-,-400,-400,900,-,-,-,-,"1,100",-,-,-,-,-,-,-,-,-,"-9,100","-9,100",900,"-11,100","12,000",-,-,-,-300,-,-,-,-,"-9,700","6,100","6,100","-5,100",-,-,-,-,-,-300,-,-,-,-,-600,-,-,-,-,-,0,"4,100",0,"-4,100",-,-,-300,-,-,-,-,"6,700"
112,6/30/1995,"6,300","6,300","5,000",-,-,-,-,-,-,400,400,-,-,-,-,-,"1,600",-,-,-,-,-800,-,-,-,-,-,-,-,-,-,"5,500","5,500","3,200","-15,900","19,100",-,-,-,-,-,-,-,-,"2,400","-15,400","-15,400","-53,100","-53,100",-,"-53,100",-,-,"-7,700",-,-,-,-,-200,-,-,-,0,-,0,"-3,700",0,"3,700",-,-,-,-,-,"-53,100",-,"6,200"
113,3/31/1995,"-7,500","-7,500","4,700",-,-,-,-,-,-,500,500,-,-,-,-,-,"1,200",-,-,-,-,"-13,900",-,-,-,-,-,-,-,-,-,"-3,900","-3,900","4,800","-16,300","21,100",-,-,-,-,-,-,-,-,"-8,700","14,000","14,000","-18,600","-18,600",-,"-18,600",-,-,"-1,500",-,-,-,-,-300,-,-,-,-100,100,0,"2,700","12,000","-14,700",-,-,-,-,-,"-18,600",-,"-7,500"
114,12/31/1994,"11,700","11,700","5,300",-,-,-,-,-,-,100,100,-,-,-,"-2,000","-2,000",-900,-,-,-,-,"9,300",-,-,-,-,-,-,-,-,-,"-21,500","-21,500","4,100","-11,700","15,800",-,-,-,0,-,-,-,-,"-25,600","2,700","2,700","-1,200","-1,200","-1,200",-,-,-,-,-,-,-,-,-,-,-,-,-100,-,0,"-7,000",0,"7,000",-,-,-,-,"-1,200",-,-,"11,700"
115,9/30/1994,"-3,100","-3,100","4,600",-,-,-,-,-,-,0,0,-,-,-,"1,200","1,200","1,200",-,-,-,-,"-10,200",-,-,-,-,-,-,-,-,-,"-64,600","-64,600","5,000","-10,800","15,800",-,-,-,0,-,-,-,-,"-69,600","67,300","67,300","66,800","66,800","66,800",-,-,-,-,-,-,-,-,-,-,-,-,-300,-200,0,-600,0,600,-,-,-,-,"66,800",-,-,"-3,100"
116,6/30/1994,"9,700","9,700","4,700",-,-,-,-,-,-,800,800,-,-,-,-500,-500,"2,400",-,-,-,-,"2,300",-,-,-,-,-,-,-,-,-,"-31,100","-31,100","7,000","-19,800","26,800",-,-,-,-,-,-,-,-,"-38,000","9,900","9,900","10,400","10,400","10,400",-,-,-,-,-,-,-,-,-,-,-,-,-,200,0,"-11,300",0,"11,300",-,-,-,-,"10,400",-,-,"9,600"
117,3/31/1994,"-24,700","-24,700","4,200",-,-,-,-,-,-,200,200,-,-,-,-300,-300,"1,800",-,-,-,-,"-30,600",-,-,-,-,-,-,-,-,-,"-4,300","-4,300","20,300","-25,200","45,500",-,-,-,-,-,-,-,-,"-24,600","5,000","5,000","5,600","5,600","5,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-100,0,"-24,100","55,000","-30,900",-,-,-,-,"5,600",-,-,"-24,700"
