,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Fees & Commission Expense,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
118,12/31/1993,"1,045,100","619,100","965,900","771,000","771,000","194,900",-,"346,800","203,500","50,900","92,400",-,"426,000",-,"165,800","165,800","50,000","46,100",-,-,"69,700",-,"140,100",-,"33,800","22,300",-,"11,500","86,300","-40,500","750,400","105,000",-,-,-,"382,000","382,000","382,000",-,-,-,-,-,-,-,-,"263,400",-,-,-,-,-,"254,200","79,200","168,100","175,000","175,000","175,000",-,-,"6,900","168,100",-,-,-,-,-,"578,600","175,000","167,083","55,800","175,000","11,500","11,500",0,"3,583"
119,9/30/1993,"961,000","593,900","933,100","736,200","736,200","196,900",-,"339,200","192,900","58,800","87,500",-,"367,100",-,"161,500","161,500","48,200","43,200",-,-,"70,100",-,"122,300",-,"20,600",-800,-,"21,400","62,700","-23,000","711,400","92,100",-,-,-,"370,100","370,100","370,100",-,-,-,-,-,-,-,-,"249,200",-,-,-,-,-,"226,600","59,300","160,400","167,300","167,300","167,300",-,-,"6,900","160,400",0.14,0.14,"1,145,714","1,188,148",-,"570,900","167,300","151,500","51,700","167,300","21,400","21,400",0,"5,600"
120,6/30/1993,"994,400","583,000","919,200","711,300","711,300","207,900",-,"336,200","190,400","59,900","85,900",-,"411,400",-,"221,000","221,000","46,300","44,300",-,-,"130,400",-,"132,100",-,"26,700","5,800",-,"20,900","31,600","-39,400","725,300","89,500",-,-,-,"344,800","344,800","344,800",-,-,-,-,-,-,-,-,"291,000",-,-,-,-,-,"229,700","68,600","154,200","161,100","161,100","161,100",-,-,"6,900","154,200",0.13,0.13,"1,186,154","1,186,154",-,"543,600","161,100","146,442","47,300","161,100","20,900","20,900",0,"6,242"
121,3/31/1993,"918,100","580,100","915,900","699,500","699,500","216,400",-,"335,800","190,700","64,700","80,400",-,"338,000",-,"157,400","157,400","45,700","46,200",-,-,"65,500",-,"77,800",-,"28,500","22,800",-,"5,700","74,300","-37,200","653,700","84,800",-,-,-,"319,600","319,600","319,600",-,-,-,-,-,-,-,-,"249,300",-,-,-,-,-,"227,200","77,000","143,300","150,200","150,200","150,200",-,-,"6,900","143,300",0.12,0.12,"1,146,400","1,194,167",-,"542,900","150,200","146,432","40,000","150,200","5,700","5,700",0,"1,932"
122,12/31/1992,"848,600","550,300","870,900","608,700","608,700","262,200",-,"320,600","178,800","64,100","77,700",-,"298,300",-,"145,200","145,200","42,500","45,900",-,-,"56,800",-,"66,000",-,"12,500",-100,-,"12,600","74,600","-48,300","620,900","197,500",-,-,-,"296,200","296,200","296,200",-,-,-,-,-,-,-,-,"127,200",-,-,-,-,-,"179,400","45,200","55,600","62,500","62,500","134,200",-,-,"6,900","55,600",-,-,-,-,-,"502,000","134,200","124,775","192,300","134,200","12,600","12,600",0,"3,175"
123,9/30/1992,"849,200","503,600","834,000","662,800","662,800","171,200",-,"330,400","197,300","55,900","77,200",-,"345,600",-,"146,200","146,200","40,600","36,800",-,-,"68,800",-,"83,300",-,"10,300",900,-,"9,400","105,800","-39,700","616,000","86,800",-,-,-,"276,100","276,100","276,100",-,-,-,-,-,-,-,-,"253,100",-,-,-,-,-,"193,500","59,600","126,900","133,900","133,900","133,900",-,-,"7,000","126,900",0.12,0.12,"1,103,478","1,103,478",-,"463,900","133,900","127,395","40,700","133,900","9,400","9,400",0,"2,895"
124,6/30/1992,"771,000","482,300","853,500","613,200","613,200","240,300",-,"371,200","220,300","74,900","76,000",-,"288,700",-,"142,500","142,500","39,100","35,000",-,-,"68,400",-,"56,200",-,500,"3,100",-,"-2,600","89,500","-41,900","563,500","79,300",-,-,-,"256,200","256,200","256,200",-,-,-,-,-,-,-,-,"228,000",-,-,-,-,-,"165,600","37,700","121,000","127,900","127,900","127,900",-,-,"6,900","121,000",0.11,0.11,"1,100,000","1,100,000",-,"440,400","127,900","129,908","39,300","127,900","-2,600","-2,600",0,-591.9082
125,3/31/1992,"742,900","472,800","867,000","610,500","610,500","256,500",-,"394,200","243,300","74,700","76,200",-,"270,100",-,"152,900","152,900","39,200","38,000",-,-,"75,700",-,"67,700",-,"10,100","5,000",-,"5,100","39,400","-47,000","534,800","73,800",-,-,-,"258,600","258,600","258,600",-,-,-,-,-,-,-,-,"202,400",-,-,-,-,-,"161,100","38,700","115,400","122,400","122,400","122,400",-,-,"7,000","115,400",0.10,0.10,"1,099,048","1,099,048",-,"425,800","122,400","118,525","38,400","122,400","5,100","5,100",0,"1,225"
126,12/31/1991,"686,400","435,400","858,300","624,800","624,800","233,500",-,"422,900","268,700","73,800","80,400",-,"251,000",-,"139,600","139,600","36,900","32,500",-,-,"70,200",-,"46,600",-,"6,600","8,000",-,"-1,400","58,200","-60,900","498,500","174,700",-,-,-,"234,200","234,200","234,200",-,-,-,-,-,-,-,-,"89,600",-,-,-,-,-,"127,000","18,100","101,200","108,900","108,900","108,900",-,-,"7,700","101,200",-,-,-,-,-,"374,500","108,900","110,100","38,700","108,900","-1,400","-1,400",0,-199.5276
127,9/30/1991,"657,700","414,000","857,500","636,300","636,300","221,200",-,"443,500","292,100","74,300","77,100",-,"243,700",-,"140,000","140,000","37,100","31,800",-,-,"71,100",-,"47,300",-,"4,600","4,400",-,200,"51,800","-81,300","454,600","35,400",-,-,-,"224,500","224,500","224,500",-,-,-,-,-,-,-,-,"194,700",-,-,-,-,-,"121,800","17,700","101,200","104,100","104,100","104,100",-,-,"2,900","101,200",0.10,0.10,"1,065,263","1,065,263",-,"332,700","104,100","103,929","37,800","104,100",200,200,0,29.064
128,6/30/1991,"640,300","400,100","850,800","640,100","640,100","210,700",-,"450,700","303,900","72,500","74,300",-,"240,200",-,"134,800","134,800","36,400","31,400",-,-,"67,000",-,"47,400",-,"-6,600","-2,300",-,"-4,300","64,600","-86,900","445,200","35,600",-,-,-,"223,300","223,300","223,300",-,-,-,-,-,-,-,-,"186,300",-,-,-,-,-,"108,200","10,200","94,300","98,000","98,000","98,000",-,-,"3,700","94,300",0.10,0.10,"992,632","992,632",-,"313,200","98,000","101,895","40,800","98,000","-4,300","-4,300",0,-405.3604
129,3/31/1991,"543,700","328,700","746,200","572,800","572,800","173,400",-,"417,500","264,400","81,200","71,900",-,"215,000",-,"111,200","111,200","26,200","25,000",-,-,"60,000",-,"43,900",-,"5,000","4,100",-,900,"54,900","-79,900","356,200","28,000",-,-,-,"181,700","181,700","181,700",-,-,-,-,-,-,-,-,"146,500",-,-,-,-,-,"107,600","30,600","74,000","77,000","77,000","77,000",-,-,"3,000","74,000",0.09,0.09,"822,222","822,222",-,"248,800","77,000","76,356","31,800","77,000",900,900,0,255.948
130,12/31/1990,"492,700","294,900","703,400","554,500","554,500","148,900",-,"408,500","247,600","96,500","64,400",-,"197,800",-,"100,200","100,200","24,600","23,400",-,-,"52,200",-,"33,400",-,"7,100","1,300",-,"5,800","57,100","-65,700","336,100","26,400",-,-,-,"165,500","165,500","165,500",-,-,-,-,-,-,-,-,"144,200",-,-,-,-,-,"90,900","20,200","70,600","70,700","70,700","70,700",-,-,100,"70,600",-,-,-,-,-,"229,200","70,700","66,189","25,600","70,700","5,800","5,800",0,"1,289"
131,9/30/1990,"476,700","284,700","687,500","554,100","554,100","133,400",-,"402,800","242,200","97,700","62,900",-,"192,000",-,"89,000","89,000","23,200","23,100",-,-,"42,700",-,"40,500",-,"2,100","1,900",-,200,"60,400","-62,700","315,400","25,400",-,-,-,"166,500","166,500","166,500",-,-,-,-,-,-,-,-,"123,500",-,-,-,-,-,"98,600","27,100","71,500","71,500","71,500","71,500",-,-,-,"71,500",0.09,0.09,"794,444","794,444",-,"222,000","71,500","71,355","24,700","71,500",200,200,0,54.9696
132,6/30/1990,"454,900","290,700","708,600","564,500","564,500","144,100",-,"417,900","241,000","113,100","63,800",-,"164,200",-,"79,800","79,800","22,900","21,100",-,-,"35,800",-,"31,800",-,"2,900","1,000",-,"1,900","49,700","-59,500","301,400","24,100",-,-,-,"159,100","159,100","159,100",-,-,-,-,-,-,-,-,"118,200",-,-,-,-,-,"94,000","24,000","70,000","70,000","70,000","70,000",-,-,-,"70,000",0.09,0.09,"823,529","823,529",-,"231,200","70,000","68,585","25,500","70,000","1,900","1,900",0,485.1064
133,3/31/1990,"407,300","264,300","638,900","521,200","521,200","117,700",-,"374,600","215,200","96,400","63,000",-,"143,000",-,"75,400","75,400","21,000","20,800",-,-,"33,600",-,"24,900",-,"2,500",100,-,"2,400","40,200","-53,000","268,400","22,500",-,-,-,"142,500","142,500","142,500",-,-,-,-,-,-,-,-,"103,400",-,-,-,-,-,"85,900","23,100","62,800","62,800","62,800","62,800",-,-,-,"62,800",0.09,0.09,"738,824","738,824",-,"211,300","62,800","61,045","18,900","62,800","2,400","2,400",0,645.4016
134,12/31/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"61,100","61,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,9/30/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"60,100","60,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,6/30/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"58,800","58,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,3/31/1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"57,000","57,000",-,-,-,-,0.07,0.07,"710,880","710,880",-,-,-,-,-,-,-,-,-,-
138,12/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"55,900","55,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,9/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"53,900","53,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,6/30/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"51,300","51,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,3/31/1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"50,100","50,100",-,-,-,-,0.07,0.07,"706,880","706,880",-,-,-,-,-,-,-,-,-,-
142,12/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"48,700","48,700",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,9/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"48,600","48,600",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,6/30/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-157,800","-157,800",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,3/31/1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"30,700","30,700",-,-,-,-,0.04,0.04,"727,680","727,680",-,-,-,-,-,-,-,-,-,-
146,12/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"33,200","33,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,9/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"32,300","32,300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,6/30/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"29,100","29,100",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,3/31/1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"27,100","27,100",-,-,-,-,0.04,0.04,"726,112","726,112",-,-,-,-,-,-,-,-,-,-
150,12/31/1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"22,200","22,200",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,9/30/1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"26,900","26,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
