,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,Foreclosed Assets,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Non Current Deferred Liabilities,Non Current Deferred Taxes Liabilities,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
23,6/30/2017,"1,930,871,000","284,954,000","20,248,000","20,248,000",-,-,"264,706,000","264,706,000","192,000","781,000","19,430,000","493,201,000","83,607,000",-,"140,392,000","269,202,000","27,416,000","13,273,000","952,139,000","963,212,000","24,963,000","331,113,000","132,209,000","474,927,000",-,"11,073,000",-,"19,174,000","47,254,000",-,"19,174,000","8,403,000","8,403,000",-,-,-,-,"8,403,000",-,"40,761,000","26,573,000","14,188,000",-,-,-,"118,966,000","1,724,726,000","1,305,830,000","933,064,000","933,064,000","372,766,000","78,683,000","73,035,000","73,035,000","95,356,000","95,356,000","11,000","95,356,000","11,636,000","238,869,000","238,869,000",-,"3,320,000",-,-,-,"206,145,000","205,230,000","34,921,000","25,785,000","9,136,000","139,524,000","60,689,000","25,675,000","-2,110,000",-,-,"-2,119,000","915,000","444,099,000","25,785,000","179,445,000","3,320,000","164,469,000","513,670,000","138,684,000","334,225,000","313,977,000","5,481,811","4,966,770","459,280","515,041"
24,3/31/2017,"1,951,564,000","328,445,000","19,698,000","19,698,000",-,-,"308,747,000","308,747,000","191,000","905,000","19,368,000","487,886,000","80,326,000",-,"108,030,000","299,530,000","27,436,000","12,564,000","946,156,000","957,324,000","18,075,000","329,252,000","134,435,000","475,562,000",-,"11,168,000",-,"19,156,000","37,056,000",-,"19,156,000","8,320,000","8,320,000",-,-,-,-,"8,320,000",-,"41,276,000","26,666,000","14,610,000",-,-,-,"107,761,000","1,749,075,000","1,325,444,000","959,664,000","959,664,000","365,780,000","76,366,000","59,831,000","59,831,000","94,871,000","94,871,000","10,000","94,871,000","12,461,000","256,468,000","256,468,000",-,"3,258,000",-,-,-,"202,489,000","201,500,000","34,637,000","25,501,000","9,136,000","136,032,000","60,585,000","24,030,000","-3,178,000",-,-,"-2,546,000","989,000","457,968,000","25,501,000","175,999,000","3,258,000","160,224,000","527,338,000","134,723,000","351,339,000","331,641,000","5,481,811","4,996,735","431,680","485,077"
25,12/31/2016,"1,930,115,000","286,767,000","20,729,000","20,729,000",-,-,"266,038,000","266,038,000","196,000","978,000","19,325,000","482,344,000","74,397,000","301,946,000","99,583,000","308,364,000","27,380,000","14,498,000","963,285,000","974,704,000","26,389,000","330,840,000","139,252,000","478,223,000",-,"11,419,000",-,"19,289,000","36,395,000",-,"19,289,000","8,333,000","8,333,000","1,726,000","8,584,000","6,606,000","2,199,000","8,333,000","-10,852,000","41,058,000","26,693,000","14,365,000",-,-,-,"114,541,000","1,729,618,000","1,306,079,000","930,112,000","930,112,000","375,967,000","78,124,000","57,189,000","57,189,000","96,781,000","96,781,000","120,000","96,781,000","14,492,000","255,077,000","255,077,000","77,154,000","7,000",-,-,-,"200,497,000","199,581,000","33,687,000","24,551,000","9,136,000","133,075,000","60,234,000","22,713,000","-3,137,000",-,-,"-1,565,000","916,000","454,658,000","24,551,000","175,030,000","7,000","158,523,000","526,888,000","133,972,000","351,858,000","331,129,000","5,481,811","5,016,109","431,880","465,702"
26,9/30/2016,"1,942,124,000","317,612,000","19,287,000","19,287,000",-,-,"298,325,000","298,325,000","265,000","1,020,000","19,303,000","476,778,000","85,946,000",-,"99,241,000","291,591,000","26,331,000",-,"958,478,000","970,061,000","27,606,000","324,020,000","138,078,000","480,357,000",-,"11,583,000",-,"18,871,000","36,529,000",-,"18,871,000","8,322,000","8,322,000",-,-,-,-,"8,322,000",-,"38,476,000","26,688,000","11,788,000",-,-,-,"123,587,000","1,738,166,000","1,275,894,000","899,758,000","899,758,000","376,136,000","108,468,000","82,769,000","82,769,000","124,668,000","124,668,000","123,000","124,668,000",-,"254,835,000","254,835,000",-,"4,493,000",-,-,-,"203,958,000","203,028,000","33,730,000","24,594,000","9,136,000","130,288,000","60,685,000","22,247,000","2,184,000",-,-,"-1,612,000","930,000","457,863,000","24,594,000","178,434,000","4,493,000","164,552,000","557,937,000","139,958,000","379,503,000","360,216,000","5,481,811","5,023,889","431,680","457,922"
27,6/30/2016,"1,889,235,000","315,928,000","20,407,000","20,407,000",-,-,"295,521,000","295,521,000","222,000","1,117,000","19,281,000","433,519,000","80,093,000",-,"100,420,000","253,006,000","25,099,000",-,"950,670,000","962,334,000","24,150,000","323,858,000","135,685,000","478,641,000",-,"11,664,000",-,"18,973,000","40,297,000",-,"18,973,000","8,289,000","8,289,000",-,-,-,-,"8,289,000",-,"38,712,000","26,963,000","11,749,000",-,-,-,"123,144,000","1,686,574,000","1,245,473,000","883,539,000","883,539,000","361,934,000","104,812,000","76,916,000","76,916,000","120,258,000","120,258,000","154,000","120,258,000",-,"243,927,000","243,927,000",-,"4,578,000",-,-,-,"202,661,000","201,745,000","33,966,000","24,830,000","9,136,000","127,076,000","60,691,000","21,068,000","2,948,000",-,-,"-1,868,000","916,000","445,672,000","24,830,000","176,915,000","4,578,000","163,033,000","541,100,000","138,203,000","364,185,000","343,778,000","5,481,811","5,048,494","431,680","433,318"
28,3/31/2016,"1,849,182,000","319,631,000","19,084,000","19,084,000",-,-,"300,547,000","300,547,000","240,000","1,279,000","19,238,000","408,057,000","73,158,000",-,"79,348,000","255,551,000","24,512,000",-,"934,955,000","946,576,000","18,321,000","321,547,000","132,995,000","473,713,000",-,"11,621,000",-,"19,003,000","40,776,000",-,"19,003,000","8,349,000","8,349,000",-,-,-,-,"8,349,000",-,"39,695,000","27,003,000","12,692,000",-,-,-,"119,492,000","1,650,678,000","1,241,490,000","892,602,000","892,602,000","348,888,000","92,875,000","73,597,000","73,597,000","107,703,000","107,703,000","519,000","107,703,000",-,"227,888,000","227,888,000",-,-,-,-,-,"198,504,000","197,496,000","33,187,000","24,051,000","9,136,000","123,891,000","60,602,000","19,687,000","1,774,000",-,-,"-2,271,000","1,008,000","425,384,000","24,051,000","173,445,000",-,"157,801,000","509,036,000","133,750,000","335,591,000","316,507,000","5,481,811","5,075,903","385,680","405,909"
29,12/31/2015,"1,787,632,000","289,241,000","19,111,000","19,111,000",-,-,"270,130,000","270,130,000","273,000","1,425,000","19,199,000","424,757,000","77,202,000",-,"80,197,000","267,358,000","23,747,000",-,"912,529,000","924,074,000","19,882,000","299,892,000","133,103,000","471,197,000",-,"11,545,000",-,"12,367,000","31,316,000",-,"12,367,000","8,704,000","8,704,000","1,743,000","8,479,000","7,289,000","2,131,000","8,704,000","-11,017,000","39,252,000","25,529,000","13,723,000",-,-,-,"100,782,000","1,593,607,000","1,223,312,000","871,733,000","871,733,000","351,579,000","82,948,000","73,231,000","73,231,000","97,528,000","97,528,000","334,000","97,528,000",-,"199,536,000","199,536,000","37,102,000","8,000",-,-,-,"194,025,000","193,132,000","31,350,000","22,214,000","9,136,000","121,000,000","60,714,000","18,867,000","297,000",-,-,"-1,362,000","893,000","392,668,000","22,214,000","170,918,000","8,000","153,880,000","467,982,000","131,666,000","297,064,000","277,953,000","5,481,811","5,092,129","345,680","389,683"
30,9/30/2015,"1,751,265,000","272,206,000","17,395,000","17,395,000",-,-,"254,811,000","254,811,000","317,000","1,767,000","19,165,000","418,968,000","73,894,000",-,"78,668,000","266,406,000","22,330,000",-,"901,702,000","913,361,000","22,270,000","292,234,000","129,992,000","468,865,000",-,"11,659,000",-,"12,142,000","32,685,000",-,"12,142,000","8,800,000","8,800,000",-,-,-,-,"8,800,000",-,"38,739,000","25,684,000","13,055,000",-,-,-,"98,708,000","1,557,222,000","1,202,179,000","862,418,000","862,418,000","339,761,000","74,652,000","81,700,000","81,700,000","88,069,000","88,069,000","393,000","88,069,000",-,"185,274,000","185,274,000",-,-,-,-,-,"194,043,000","193,051,000","31,560,000","22,424,000","9,136,000","117,593,000","60,998,000","17,899,000","2,389,000",-,-,"-1,590,000","992,000","378,325,000","22,424,000","170,627,000",-,"154,312,000","443,970,000","131,888,000","273,343,000","255,948,000","5,481,811","5,108,474","345,680","373,338"
31,6/30/2015,"1,720,617,000","251,934,000","19,687,000","19,687,000",-,-,"232,247,000","232,247,000","220,000","1,958,000","19,109,000","421,005,000","80,236,000",-,"80,102,000","260,667,000","22,295,000",-,"890,572,000","902,326,000","26,068,000","284,817,000","126,405,000","465,036,000",-,"11,754,000",-,"12,201,000","29,002,000",-,"12,201,000","8,692,000","8,692,000",-,-,-,-,"8,692,000",-,"39,628,000","25,705,000","13,923,000",-,-,-,"96,585,000","1,529,941,000","1,185,828,000","842,246,000","842,246,000","343,582,000","71,439,000","81,399,000","81,399,000","82,963,000","82,963,000","621,000","82,963,000",-,"179,751,000","179,751,000",-,-,-,-,-,"190,676,000","189,558,000","30,785,000","21,649,000","9,136,000","114,093,000","60,154,000","15,707,000","2,068,000",-,-,"-1,835,000","1,118,000","369,309,000","21,649,000","167,909,000",-,"149,930,000","430,623,000","128,281,000","262,714,000","243,027,000","5,481,811","5,145,235","305,680","336,576"
32,3/31/2015,"1,737,737,000","311,110,000","19,793,000","19,793,000",-,-,"291,317,000","291,317,000","222,000","2,329,000","19,050,000","404,014,000","79,278,000",-,"67,133,000","257,603,000","22,046,000",-,"860,960,000","873,136,000","24,287,000","271,088,000","122,880,000","454,881,000",-,"12,176,000",-,"12,382,000","35,695,000",-,"12,382,000","8,696,000","8,696,000",-,-,-,-,"8,696,000",-,"38,696,000","25,705,000","12,991,000",-,-,-,"101,879,000","1,547,773,000","1,196,663,000","860,805,000","860,805,000","335,858,000","64,400,000","90,121,000","90,121,000","77,697,000","77,697,000","3,552,000","77,697,000",-,"183,292,000","183,292,000",-,-,-,-,-,"189,964,000","188,796,000","31,134,000","21,998,000","9,136,000","110,676,000","59,980,000","14,556,000","3,777,000",-,-,"-2,215,000","1,168,000","372,088,000","21,998,000","166,798,000",-,"150,100,000","427,787,000","128,102,000","260,989,000","241,196,000","5,481,811","5,162,942","305,680","318,870"
33,12/31/2014,"1,687,155,000","278,000,000","19,571,000","19,571,000",-,-,"258,429,000","258,429,000","201,000","2,609,000","18,982,000","391,180,000","78,255,000",-,"55,483,000","257,442,000","21,955,000",-,"858,183,000","870,502,000","20,258,000","271,795,000","122,622,000","455,827,000",-,"12,319,000",-,"12,307,000","32,022,000",-,"12,307,000","8,743,000","8,743,000","1,748,000","8,155,000","7,215,000","2,009,000","8,743,000","-10,463,000","39,685,000","25,705,000","13,980,000",-,-,-,"99,057,000","1,501,893,000","1,168,310,000","846,347,000","846,347,000","321,963,000","51,052,000","86,122,000","86,122,000","63,518,000","63,518,000","2,456,000","63,518,000",-,"183,943,000","183,943,000","34,125,000","9,000",-,-,-,"185,262,000","184,394,000","28,349,000","19,213,000","9,136,000","107,040,000","60,537,000","13,690,000","3,518,000",-,-,"-1,360,000","868,000","368,337,000","19,213,000","165,181,000","9,000","144,709,000","412,642,000","125,496,000","247,461,000","227,890,000","5,481,811","5,170,349","305,680","311,462"
34,9/30/2014,"1,636,855,000","279,964,000","18,032,000","18,032,000",-,-,"261,932,000","261,932,000","292,000","4,308,000","18,899,000","356,764,000","67,755,000",-,"40,758,000","248,251,000","20,887,000",-,"843,997,000","856,678,000","29,470,000","259,720,000","118,230,000","449,258,000",-,"12,681,000",-,"11,675,000","31,624,000",-,"11,675,000","8,768,000","8,768,000",-,-,-,-,"8,768,000",-,"40,960,000","25,705,000","15,255,000",-,-,-,"94,727,000","1,453,865,000","1,130,625,000","816,834,000","816,834,000","313,791,000","48,164,000","75,727,000","75,727,000","62,927,000","62,927,000","4,365,000","62,927,000",-,"184,586,000","184,586,000",-,-,-,-,-,"182,990,000","182,481,000","28,515,000","19,379,000","9,136,000","103,494,000","60,100,000","11,206,000","3,118,000",-,-,"-1,540,000","509,000","367,067,000","19,379,000","163,102,000",-,"141,521,000","410,615,000","122,142,000","247,513,000","229,481,000","5,481,811","5,215,008","305,680","266,803"
35,6/30/2014,"1,598,874,000","259,354,000","20,635,000","20,635,000",-,-,"238,719,000","238,719,000","234,000","4,107,000","18,837,000","350,743,000","71,674,000",-,"30,108,000","248,961,000","20,491,000",-,"834,759,000","847,860,000","30,826,000","254,022,000","114,979,000","448,033,000",-,"13,101,000",-,"11,908,000","27,644,000",-,"11,908,000","8,977,000","8,977,000",-,-,-,-,"8,977,000",-,"40,801,000","25,705,000","15,096,000",-,-,-,"92,332,000","1,417,325,000","1,118,577,000","810,478,000","810,478,000","308,099,000","45,379,000","69,021,000","69,021,000","61,849,000","61,849,000","4,261,000","61,849,000",-,"167,878,000","167,878,000",-,-,-,-,-,"181,549,000","180,859,000","27,885,000","18,749,000","9,136,000","99,926,000","59,926,000","9,271,000","4,117,000",-,-,"-1,724,000","690,000","348,737,000","18,749,000","162,110,000",-,"140,058,000","391,837,000","121,309,000","229,727,000","209,092,000","5,481,811","5,249,895","273,680","231,917"
36,3/31/2014,"1,546,707,000","242,512,000","19,731,000","19,731,000",-,-,"222,781,000","222,781,000","221,000","4,115,000","18,795,000","334,080,000","63,753,000",-,"17,662,000","252,665,000","20,762,000",-,"817,231,000","830,926,000","16,324,000","244,856,000","121,719,000","448,027,000",-,"13,695,000",-,"11,841,000","27,252,000",-,"11,841,000","9,020,000","9,020,000",-,-,-,-,"9,020,000",-,"41,809,000","25,637,000","16,172,000",-,-,-,"90,214,000","1,370,238,000","1,094,576,000","799,713,000","799,713,000","294,863,000","39,254,000","65,179,000","65,179,000","57,061,000","57,061,000","6,070,000","57,061,000",-,"153,422,000","153,422,000",-,-,-,-,-,"176,469,000","175,654,000","26,315,000","17,179,000","9,136,000","96,368,000","60,618,000","8,206,000","2,752,000",-,-,"-2,193,000","815,000","329,076,000","17,179,000","158,475,000",-,"133,845,000","368,958,000","116,666,000","210,483,000","190,752,000","5,481,811","5,265,727","273,680","216,085"
37,12/31/2013,"1,527,015,000","233,712,000","19,919,000","19,919,000",-,-,"213,793,000","213,793,000","279,000","3,937,000","18,738,000","327,166,000","62,813,000",-,"12,346,000","252,007,000","20,355,000",-,"816,159,000","830,661,000","16,896,000","244,875,000","120,632,000","448,258,000",-,"14,502,000",-,"12,034,000","26,441,000",-,"12,034,000","9,156,000","9,156,000","1,759,000","7,931,000","7,517,000","1,939,000","9,156,000","-10,072,000","42,446,000","25,637,000","16,809,000",-,-,-,"86,342,000","1,356,007,000","1,079,177,000","791,060,000","791,060,000","288,117,000","36,263,000","69,949,000","69,949,000","53,883,000","53,883,000","5,162,000","53,883,000",-,"152,998,000","152,998,000","19,160,000","11,000",-,-,-,"171,008,000","170,142,000","25,403,000","16,267,000","9,136,000","92,361,000","60,296,000","8,104,000","1,386,000",-,-,"-1,200,000","866,000","323,140,000","16,267,000","153,875,000","11,000","127,696,000","360,756,000","111,429,000","206,881,000","186,962,000","5,481,811","5,257,163","273,680","224,649"
38,9/30/2013,"1,488,055,000","200,964,000","18,928,000","18,928,000",-,-,"182,036,000","182,036,000","352,000","3,802,000","18,694,000","319,602,000","60,203,000",-,-,"259,399,000","19,740,000",-,"811,077,000","826,236,000","25,599,000","238,404,000","117,681,000","444,552,000",-,"15,159,000",-,"11,688,000","32,936,000",-,"11,688,000","9,120,000","9,120,000",-,-,-,-,"9,120,000",-,"41,342,000","25,637,000","15,705,000",-,-,-,"94,262,000","1,319,242,000","1,041,871,000","761,960,000","761,960,000","279,911,000","36,881,000","72,308,000","72,308,000","53,851,000","53,851,000","16,970,000","53,851,000",-,"151,212,000","151,212,000",-,-,-,-,-,"168,813,000","167,165,000","24,685,000","15,549,000","9,136,000","88,625,000","60,188,000","7,290,000","2,289,000",-,-,"-1,332,000","1,648,000","318,377,000","15,549,000","151,616,000",-,"125,823,000","356,679,000","110,274,000","205,063,000","186,135,000","5,481,811","5,273,736","240,080","208,076"
39,6/30/2013,"1,440,563,000","166,604,000","17,939,000","17,939,000",-,-,"148,665,000","148,665,000","353,000","3,140,000","18,692,000","308,058,000","58,619,000",-,-,"249,439,000","17,786,000",-,"813,039,000","829,183,000","38,975,000","230,591,000","115,602,000","444,015,000",-,"16,144,000",-,"11,766,000","31,037,000",-,"11,766,000","9,190,000","9,190,000",-,-,-,-,"9,190,000",-,"40,998,000","25,637,000","15,361,000",-,-,-,"90,908,000","1,276,786,000","1,021,585,000","743,937,000","743,937,000","277,648,000","38,486,000","74,843,000","74,843,000","56,983,000","56,983,000","18,497,000","56,983,000",-,"123,375,000","123,375,000",-,-,-,-,-,"163,777,000","162,421,000","23,124,000","13,988,000","9,136,000","84,923,000","59,945,000","5,858,000","1,797,000",-,-,"-1,510,000","1,356,000","285,796,000","13,988,000","148,433,000",-,"121,423,000","328,791,000","107,435,000","180,358,000","162,419,000","5,481,811","5,302,157","171,080","179,655"
40,3/31/2013,"1,436,634,000","160,021,000","16,217,000","16,217,000",-,-,"143,804,000","143,804,000","275,000","3,350,000","18,721,000","310,434,000","62,274,000",-,-,"248,160,000","18,179,000",-,"817,749,000","834,460,000","46,896,000","226,543,000","113,402,000","447,619,000",-,"16,711,000",-,"12,402,000","29,385,000",-,"12,402,000","9,263,000","9,263,000",-,-,-,-,"9,263,000",-,"38,879,000","25,637,000","13,242,000",-,-,-,"87,886,000","1,273,239,000","1,010,733,000","731,824,000","731,824,000","278,909,000","38,430,000","75,622,000","75,622,000","60,693,000","60,693,000","22,263,000","60,693,000",-,"126,191,000","126,191,000",-,-,-,-,-,"163,395,000","162,086,000","23,548,000","14,412,000","9,136,000","81,264,000","60,136,000","6,036,000","5,145,000",-,-,"-1,971,000","1,309,000","288,277,000","14,412,000","147,674,000",-,"123,207,000","334,558,000","108,795,000","186,884,000","170,667,000","5,481,811","5,288,773","171,080","193,039"
41,12/31/2012,"1,422,968,000","159,173,000","21,860,000","21,860,000",-,-,"137,313,000","137,313,000","282,000","4,023,000","18,649,000","292,681,000","57,482,000",-,-,"235,199,000","17,722,000",-,"817,349,000","834,409,000","47,259,000","225,530,000","113,011,000","448,609,000",-,"17,060,000",-,"12,424,000","30,834,000",-,"12,424,000","9,428,000","9,428,000","1,832,000","7,670,000","7,194,000","1,839,000","9,428,000","-9,229,000","38,335,000","25,637,000","12,698,000",-,-,-,"93,578,000","1,264,057,000","1,002,835,000","714,628,000","714,628,000","288,207,000","34,973,000","76,668,000","76,668,000","57,175,000","57,175,000","22,202,000","57,175,000",-,"127,379,000","127,379,000","2,218,000","12,000",-,-,-,"158,911,000","157,554,000","22,019,000","12,883,000","9,136,000","77,679,000","59,802,000","6,610,000","5,650,000",-,-,"-986,000","1,357,000","284,933,000","12,883,000","144,671,000","12,000","119,219,000","329,225,000","106,336,000","184,554,000","162,694,000","5,481,811","5,266,314","146,080","215,497"
42,9/30/2012,"1,374,715,000","117,428,000","16,986,000",-,-,"16,986,000","100,442,000","100,442,000",-,-,-,"289,942,000","60,592,000","229,350,000",-,-,-,-,"765,543,000","782,928,000","298,000","178,191,000","342,337,000","134,600,000","127,502,000","17,385,000",-,-,-,-,-,"9,165,000",-,-,-,-,-,-,-,"37,737,000","25,637,000","12,100,000",-,-,"50,337,000","104,563,000","1,218,656,000","952,239,000","683,248,000","683,248,000","268,991,000",-,"83,659,000","83,659,000","51,957,000","51,957,000",-,"51,957,000",-,"130,801,000","130,801,000",-,-,-,-,-,"156,059,000","154,679,000","21,388,000","12,283,000","9,105,000","73,994,000","59,089,000","5,186,000","6,435,000",-,-,"-1,041,000","1,380,000","285,480,000","12,283,000","142,396,000",-,"116,942,000","325,154,000","104,659,000","182,758,000","165,772,000","5,463,057","5,289,625","10,583","173,432"
43,6/30/2012,"1,336,204,000","91,446,000","16,811,000",-,-,"16,811,000","74,635,000","74,635,000",-,-,-,"291,265,000","64,419,000","226,846,000",-,-,-,-,"757,732,000","776,052,000","853,000","177,646,000","421,147,000","135,989,000","775,199,000","18,320,000",-,-,-,-,-,"9,317,000",-,-,-,-,-,-,-,"38,617,000","25,406,000","13,211,000",-,-,"50,462,000","97,365,000","1,186,767,000","928,933,000","674,934,000","674,934,000","253,999,000",-,"76,827,000","76,827,000","56,023,000","56,023,000",-,"56,023,000",-,"124,984,000","124,984,000",-,-,-,-,-,"149,437,000","148,070,000","20,748,000","11,694,000","9,054,000","70,456,000","58,091,000","4,638,000","4,629,000",-,-,"-1,216,000","1,367,000","273,054,000","11,694,000","136,376,000",-,"109,453,000","317,383,000","97,759,000","181,007,000","164,196,000","5,432,625","5,275,733","9,592","156,892"
44,3/31/2012,"1,333,799,000","91,143,000","17,000,000",-,-,"17,000,000","74,143,000","74,143,000",-,-,-,"305,962,000","75,696,000","230,266,000",-,-,-,-,"792,076,000","810,928,000","44,407,000","345,749,000","420,772,000",-,-,"18,852,000",-,-,-,-,-,"9,291,000",-,-,-,-,-,-,-,"39,792,000","25,140,000","14,652,000",-,-,-,"95,535,000","1,186,950,000","930,267,000","675,254,000","675,254,000","255,013,000",-,"75,967,000","75,967,000","50,964,000","50,964,000",-,"50,964,000",-,"129,752,000","129,752,000",-,-,-,-,-,"146,849,000","145,516,000","21,109,000","12,101,000","9,008,000","67,239,000","57,569,000","2,958,000","4,216,000",-,-,"-1,659,000","1,333,000","275,268,000","12,101,000","133,415,000",-,"105,724,000","314,131,000","93,623,000","180,716,000","163,716,000","5,405,043","5,301,501","9,592","103,542"
45,12/31/2011,"1,313,867,000","63,807,000","19,440,000","19,440,000",-,"19,440,000","44,367,000","44,367,000","225,000","4,661,000","20,146,000","300,427,000","77,814,000","222,613,000",-,"222,613,000","16,808,000",-,"786,837,000","806,209,000","49,695,000","206,976,000","109,296,000","440,242,000",-,"19,372,000",-,"13,117,000","31,235,000","31,235,000","13,117,000","9,531,000","9,531,000","1,825,000","7,441,000","7,195,000","1,725,000","9,531,000","-8,802,000","39,126,000","25,115,000","14,011,000",-,-,-,"101,022,000","1,172,180,000","920,070,000","676,067,000","676,067,000","244,003,000","31,038,000","77,665,000","77,665,000","49,091,000","49,091,000","18,053,000","49,091,000",-,"125,354,000","125,354,000","2,601,000","116,000",-,-,-,"141,687,000","140,241,000","20,362,000","11,431,000","8,931,000","64,385,000","55,957,000","2,744,000","3,207,000",-,-,"-926,000","1,446,000","265,595,000","11,431,000","128,810,000","116,000","101,115,000","303,255,000","89,684,000","174,445,000","155,005,000","5,358,522","5,262,612","10,451","95,910"
46,9/30/2011,"1,304,945,000","108,118,000","18,314,000",-,-,"18,314,000","89,804,000","89,804,000",-,-,-,"264,962,000","57,786,000","207,176,000",-,-,-,-,"740,810,000","760,849,000","743,000","339,834,000","420,272,000",-,"760,106,000","20,039,000",-,-,-,-,-,"9,607,000",-,-,-,-,-,-,-,"38,807,000","25,038,000","13,769,000",-,-,-,"142,641,000","1,165,701,000","895,428,000","665,565,000","665,565,000","229,863,000",-,"86,284,000","86,284,000","50,775,000","50,775,000",-,"50,775,000",-,"133,214,000","133,214,000",-,-,-,-,-,"139,244,000","137,768,000","20,468,000","11,566,000","8,902,000","61,135,000","55,495,000","2,087,000","3,828,000",-,-,"-1,071,000","1,476,000","270,982,000","11,566,000","126,202,000",-,"98,961,000","310,191,000","87,395,000","183,989,000","165,675,000","5,341,554","5,272,221","9,592","69,333"
47,6/30/2011,"1,259,734,000","112,465,000","24,059,000",-,-,"24,059,000","88,406,000","88,406,000",-,-,-,"241,068,000","54,770,000","186,298,000",-,-,-,-,"763,794,000","784,687,000","1,512,000","330,689,000","421,232,000","31,254,000","751,921,000","20,893,000",-,-,-,-,-,"9,613,000",-,-,-,-,-,-,-,"40,976,000","24,776,000","16,200,000",-,-,-,"91,818,000","1,121,818,000","853,635,000","651,492,000","651,492,000","202,143,000",-,"71,430,000","71,430,000","53,881,000","53,881,000",-,"53,881,000",-,"142,872,000","142,872,000",-,-,-,-,-,"137,916,000","136,401,000","20,606,000","11,730,000","8,876,000","57,942,000","55,226,000","1,546,000","5,422,000",-,-,"-1,249,000","1,515,000","279,273,000","11,730,000","124,671,000",-,"95,425,000","321,424,000","83,695,000","196,753,000","172,694,000","5,325,394","5,278,172","10,750","47,222"
48,3/31/2011,"1,244,666,000","110,019,000","16,978,000",-,-,"16,978,000","93,041,000","93,041,000",-,-,-,"225,796,000","57,890,000","167,906,000",-,-,-,-,"763,721,000","785,704,000","1,428,000","323,222,000","427,933,000","33,121,000","751,155,000","21,983,000",-,-,-,-,-,"9,545,000",-,-,-,-,-,-,-,"41,848,000","24,777,000","17,071,000",-,-,-,"93,737,000","1,109,723,000","837,662,000","646,703,000","646,703,000","190,959,000",-,"68,721,000","68,721,000","54,737,000","54,737,000",-,"54,737,000",-,"148,603,000","148,603,000",-,-,-,-,-,"134,943,000","133,471,000","20,751,000","11,897,000","8,854,000","54,855,000","54,815,000","541,000","5,021,000",-,-,"-1,430,000","1,472,000","282,074,000","11,897,000","121,574,000",-,"91,623,000","324,914,000","79,726,000","203,340,000","186,362,000","5,312,697","5,300,878","10,917","11,819"
49,12/31/2010,"1,258,128,000","96,681,000","16,044,000","16,044,000",-,"16,044,000","80,637,000","80,637,000","229,000","6,009,000","19,845,000","224,068,000","51,414,000","172,654,000",-,"172,654,000","16,423,000",-,"774,204,000","797,226,000","53,053,000","184,196,000","108,825,000","451,152,000","757,267,000","23,022,000",-,"13,094,000","28,658,000",-,"13,094,000","9,644,000","9,644,000","1,825,000","7,440,000","6,689,000","1,683,000","9,644,000","-8,141,000","40,656,000","24,770,000","15,886,000",-,-,-,"99,781,000","1,130,239,000","847,942,000","656,686,000","656,686,000","191,256,000","37,947,000","69,913,000","69,913,000","55,401,000","55,401,000","17,454,000","55,401,000",-,"156,983,000","156,983,000","7,915,000","26,000",-,-,-,"127,889,000","126,408,000","17,476,000","8,689,000","8,787,000","51,918,000","53,426,000","487,000","4,738,000",-,-,"-663,000","1,481,000","283,391,000","8,689,000","117,719,000","26,000","85,752,000","330,103,000","77,063,000","212,384,000","196,340,000","5,272,415","5,262,283","10,185","10,131"
