,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Stock based compensation,Excess Tax Benefit from Stock Based Compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Account Payable,Change in Accrued Expense,Change in Deferred Charges,Change in Loans,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Sale of PPE,Net Business Purchase And Sale,Purchase of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Proceeds from Stock Option Exercised,Net Other Financing Charges,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
124,6/30/1992,"67,300","67,300","127,900","-12,800","-5,700","39,300","39,300","10,600","10,600","40,200",-,-,-,-,"-137,900",-,-,-,-,-,-,-,-,-,-,"471,600","471,600",-,"1,080,200","-763,900","1,844,100",-,-,-,-,-,"-27,800",-,-,-,"-580,800","-442,500","-442,500","206,900","574,100","674,900","-100,800","-367,200",-,-,"-14,200",-,-,-,-,-,"-41,900",-,-,-,700,0,"96,400",0,"-96,400",-,-,"-27,800",-,"674,900","-100,800",-,"39,500"
125,3/31/1992,"-373,500","-373,500","122,400","-9,000","-10,100","38,400","38,400","-5,400","-5,400","-553,300",-,-,-,-,"33,400",-,-,-,-,-,-,-,-,-,-,"-707,200","-707,200",-,"-1,173,900","-2,886,900","1,713,000",-,-,-,-,-,"-23,700",-,-,-,"490,400","836,900","836,900","1,280,500","-76,600","1,100","-77,700","1,357,100",-,-,"-11,400",-,-,-,-,-,"-42,000",-,-,-,600,0,"-243,800","3,035,200","-2,791,400",-,-,"-23,700",-,"1,100","-77,700",-,"-397,200"
126,12/31/1991,"-432,900","-432,900","108,900","67,000","59,300","38,700","38,700","84,500","84,500","-566,900",-,-,-,-,"-165,100",-,-,-,-,-,-,-,-,-,-,"-588,500","-588,500",-,"-679,700","-2,489,600","1,809,900",-,-,-,-,-,"-18,400",-,-,-,"109,600","816,700","816,700","-148,400","-58,600","350,000","-408,600","-89,800",-,-,"5,300",-,-,"30,400",-,-,"-40,200",-,-,-,"-34,000",0,"-204,700",0,"204,700",-,-,"-18,400",-,"350,000","-408,600",-,"-451,300"
127,9/30/1991,"494,400","494,400","104,100","56,900","50,500","37,800","37,800","-46,100","-46,100","19,200",-,-,-,-,"322,500",-,-,-,-,-,-,-,-,-,-,"172,900","172,900",-,"-192,400","-2,570,700","2,378,300",-,-,-,-,-,"-15,800",-,-,-,"381,100","-230,900","-230,900","-275,400","344,100","375,000","-30,900","-619,500",-,-,"6,700",-,-,"225,400",-,-,"-32,700",-,-,-,"1,800",0,"436,400",0,"-436,400",-,-,"-15,800",-,"375,000","-30,900",-,"478,600"
128,6/30/1991,"-808,000","-808,000","108,500","-55,700","-57,800","40,800","40,800","-5,500","-5,500","-679,600",-,-,-,-,"-216,500",-,-,-,-,-,-,-,-,-,-,"-264,700","-264,700",-,"-803,100","-2,502,800","1,699,700",-,-,-,-,-,"-24,000",-,-,-,"562,400","216,400","216,400","860,200","19,700","180,000","-160,300","840,500",-,-,"17,600",-,-,-,-,-,"-30,600",-,-,-,"2,500",0,"-856,300",0,"-996,400",-,-,"-24,000",-,"180,000","-160,300",-,"-832,000"
129,3/31/1991,"501,600","501,600","77,000","-34,200","-33,500","31,800","31,800","-4,800","-4,800","384,200",-,-,-,-,"47,600",-,-,-,-,-,-,-,-,-,-,"-767,500","-767,500",-,"-837,200","-1,954,700","1,117,500",-,-,-,-,-,"-19,900",-,-,-,"89,600","-868,300","-868,300","-187,400","306,000","375,000","-69,000","-493,400",-,-,"192,800",-,-,-,-,-,"-26,300",-,-,-,"2,800",0,"-1,134,200","2,703,600","-1,569,400",-,-,"-19,900",-,"375,000","-69,000",-,"481,700"
130,12/31/1990,"-164,400","-164,400","70,700","10,100","7,500","25,600","25,600","3,600","3,600","-201,000",-,-,-,-,"-73,400",-,-,-,-,-,-,-,-,-,-,"-22,800","-22,800",-,"803,400","-1,425,800","2,229,200",-,-,-,-,-,"-23,500",-,-,-,"-802,700","1,281,100","1,281,100","132,700","-36,400","107,500","-143,900","169,100",-,-,900,-,-,"111,300",-,-,"-23,300",-,-,-,"3,200",0,"1,093,900",0,"-1,093,900",-,-,"-23,500",-,"107,500","-143,900",-,"-187,900"
131,9/30/1990,"64,400","64,400","71,500","12,800","12,700","24,700","24,700","-15,200","-15,200","-16,900",-,-,-,-,"-12,500",-,-,-,-,-,-,-,-,-,-,"236,800","236,800",-,"273,300","75,000","198,300",-,-,-,-,-,"-26,000",-,-,-,"-10,500","-361,000","-361,000","-479,900","5,600","95,800","-90,200","-485,500",-,-,"-33,000",-,-,0,-,-,"-21,000",-,-,-,"3,200",0,"-59,800",0,"59,800",-,-,"-26,000",-,"95,800","-90,200",-,"38,400"
132,6/30/1990,"-532,600","-532,600","75,600","-52,000","-52,300","25,500","25,500","-1,700","-1,700","-477,000",-,-,-,-,"-103,000",-,-,-,-,-,-,-,-,-,-,"356,700","356,700",-,"-8,100","-543,600","535,500",-,-,-,-,-,"-26,600",-,-,-,"391,400","219,500","219,500","56,900","54,000",-,"-5,200","2,900",-,-,"-12,800",-,-,-,-,-,"-22,700",-,-,-,"2,300",0,"43,600",0,"-241,700",-,-,"-26,600",-,-,"-5,200",-,"-559,200"
133,3/31/1990,"355,500","355,500","62,800","-12,800","-12,500","18,900","18,900","-2,900","-2,900","263,500",-,-,-,-,"26,000",-,-,-,-,-,-,-,-,-,-,"-978,700","-978,700",-,"-684,000","-1,116,900","432,900",-,-,-,-,-,"-15,900",-,-,-,"-278,800","527,900","527,900","753,700","-9,500",-,"-9,500","763,200",-,-,"4,700",-,-,-,-,-,"-19,300",-,-,-,800,0,"-95,300","1,523,100","-1,427,800",-,-,"-15,900",-,-,"-9,500",-,"339,600"
