,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Other Customer Services,Fees & Commission Expense,Dividend Income,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Write Off,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
79,9/30/2003,"29,943","25,066","27,990","25,179","25,179","2,510",2,299,-,"2,924","2,158",54,712,-,"4,877",-,"3,323","3,323","2,219","1,104",-,-,135,-,-,135,"1,419",-,"17,020","3,384",-,-,-,"8,082","8,082","8,082",-,-,-,-,-,-,-,-,"5,554",-,-,-,-,-,-,-,-,"12,923","5,182","7,741","7,741","7,741","7,741",-,-,-,"7,741",0.50,0.49,"15,402","15,897","25,066","7,741","7,660",301,"2,751","7,741",135,135,0,54
80,6/30/2003,"30,541","24,455","27,619","25,356","25,356","2,046",6,211,-,"3,164","2,519",11,-,634,"6,086",-,"3,163","3,163","2,279",884,-,-,"1,756","1,756",-,-,"1,167",-180,"15,869","2,908",-,-,-,"8,050","8,050","8,050",-,-,-,-,-,-,-,-,"4,911",-,-,-,-,-,-,-,-,"14,492","5,849","8,643","8,643","8,643","8,643",-,-,-,"8,643",0.56,0.55,"15,370","15,785","24,275","8,643","8,643",217,"2,186","8,643",-,-,0,0
81,3/31/2003,"28,517","24,459","27,998","25,611","25,611","2,317",3,67,-,"3,539","2,881",22,636,-,"4,058",-,"3,198","3,198","2,134","1,064",-,-,138,-,-,138,722,-120,"16,200","3,116",-,-,-,"8,009","8,009","8,009",-,-,-,-,-,-,-,-,"5,075",-,-,-,-,-,-,-,-,"12,197","4,964","7,233","7,233","7,233","7,233",-,-,-,"7,233",0.47,0.46,"15,330","15,776","24,339","7,233","7,150",70,"2,218","7,233",138,138,0,55.2
82,12/31/2002,"30,644","25,675","30,011","27,499","27,499","2,209",46,257,-,"4,336","3,636",46,654,-,"4,969",-,"3,233","3,233","2,190","1,043",-,-,"1,030",-,-,-578,706,-,"20,058","3,188",-,-,-,"9,775","9,775","9,775",-,-,-,-,-,-,-,-,"7,095",-,-,-,-,-,-,-,-,"10,586","4,178","6,408","6,408","6,408","6,408",-,-,-,"6,408",-,-,-,-,"25,675","6,408","6,758",303,"2,901","6,408",-578,-578,0,-228.1205
83,9/30/2002,"21,278","18,703","22,325","19,801","19,801","2,291",3,230,-,"3,622","2,848",87,687,-,"2,575",-,"2,092","2,092","1,546",546,-,-,54,-,-,54,429,-,"13,762","2,530",-,-,-,"6,906","6,906","6,906",-,-,-,-,-,-,-,-,"4,326",-,-,-,-,-,-,-,-,"7,516","3,034","4,482","4,482","4,482","4,482",-,-,-,"4,482",0.38,0.37,"11,792","12,235","18,703","4,482","4,450",233,"1,265","4,482",54,54,0,21.6
84,6/30/2002,"17,582","14,518","17,661","15,507","15,507","1,946",3,205,-,"3,143","2,529",32,10,572,"3,064",-,"1,724","1,724","1,229",495,-,-,-,-,-,-,"1,340",-,"11,191","1,967",-,-,-,"5,362","5,362","5,362",-,-,-,-,-,-,-,-,"3,862",-,-,-,-,-,-,-,-,"6,391","2,531","3,860","3,860","3,860","3,860",-,-,-,"3,860",0.51,0.49,"7,542","7,953","14,518","3,860","3,860",208,"1,130","3,860",-,-,0,0
85,3/31/2002,"12,853","10,913","13,901","11,805","11,805","1,855",2,239,-,"2,988","2,449",7,532,-,"1,940",-,"1,548","1,548","1,118",430,-,-,64,-,-,64,328,-,"9,217","1,720",-,-,-,"4,871","4,714","4,714",-,-,157,-,-,-,-,-,"2,626",-,-,-,-,-,-,-,-,"3,636","1,474","2,162","2,162","2,162","2,162",-,-,-,"2,162",0.33,0.32,"6,491","6,774","10,913","2,162","2,124",241,721,"2,162",64,64,0,25.6
86,12/31/2001,"9,670","7,909","10,651","8,347","8,347","1,850",-4,458,-,"2,742","2,340",127,927,-,"1,761",-,237,237,875,-638,-,-,145,-,-,145,"1,379",0,"7,358","1,556",-,-,-,"3,883","3,740","3,740",-,-,143,-,-,-,-,-,"1,919",-,-,-,-,-,-,-,-,"2,312",918,"1,394","1,394","1,394","1,394",-,-,-,"1,394",-,-,-,-,"7,909","1,394","1,307",454,551,"1,394",145,145,0,57.5735
87,9/30/2001,"8,990","7,792","10,431","8,057","8,057","1,511",1,862,-,"2,639","2,308",101,11,219,"1,198",-,987,987,567,420,-,-,130,-,-,130,81,-,"6,034","1,108",-,-,-,"3,146","3,036","3,036",-,-,110,-,-,-,-,-,"1,780",-,-,-,-,-,-,-,-,"2,956","1,304","1,652","1,652","1,652","1,652",-,-,-,"1,652",0.36,0.34,"4,604","4,845","7,792","1,652","1,574",863,449,"1,652",130,130,0,52
88,6/30/2001,"8,773","7,673","10,527","7,986","7,986","1,396",7,"1,138",-,"2,854","2,511",112,13,218,"1,100",-,946,946,567,379,-,-,64,-,-,64,90,-325,"5,922","1,053",-,-,-,"3,134","3,036","3,036",-,-,98,-,-,-,-,-,"1,735",-,-,-,-,-,-,-,-,"2,526","1,039","1,487","1,487","1,487","1,487",-,-,-,"1,487",0.33,0.31,"4,547","4,794","7,348","1,487","1,449","1,145",473,"1,487",64,64,0,25.6
89,3/31/2001,"9,607","8,489","11,505","8,662","8,662","1,578",10,"1,255",-,"3,016","2,701",89,11,215,"1,118",-,904,904,551,353,-,-,105,-,-,105,109,-314,"6,601","1,086",-,-,-,"3,612","3,473","3,473",-,-,139,-,-,-,-,-,"1,903",-,-,-,-,-,-,-,-,"2,692","1,115","1,577","1,577","1,577","1,577",-,-,-,"1,577",0.36,0.34,"4,401","4,618","8,175","1,577","1,514","1,265",479,"1,577",105,105,0,42
90,12/31/2000,"5,964","5,317","7,603","6,290","6,290",860,45,408,-,"2,286","2,042",-,329,-,647,-,664,664,287,377,-,-,99,-,-,99,-116,-340,"7,421",590,-,-,-,"1,678","1,553","1,553",-,-,125,-,-,-,-,-,"5,153",-,-,-,-,-,-,-,-,"1,764",791,973,973,973,973,-,-,-,973,-,-,-,-,"4,977",973,"-1,223",453,507,973,"3,660","3,660",0,"1,464"
91,9/30/2000,"5,848","5,303","7,393","6,137","6,137",658,45,553,-,"2,090","2,014",32,44,-,545,-,327,327,303,24,-,-,36,-,-,36,182,-180,"3,651",614,-,-,-,"1,905","1,791","1,791",-,-,114,-,-,-,-,-,"1,132",-,-,-,-,-,-,-,-,"2,017",887,"1,130","1,130","1,130","1,130",-,-,-,"1,130",0.29,0.28,"3,902","4,103","5,123","1,130","1,108",598,199,"1,130",36,36,0,14.4
92,6/30/2000,"6,239","5,323","7,268","5,978","5,978",703,62,525,-,"1,945","1,930",15,-,-,916,-,700,700,285,415,-,-,124,-,-,124,92,-,"3,962",613,-,-,-,"1,763","1,668","1,668",-,-,95,-,-,-,-,-,"1,586","-3,561",-,-,-,-,-,-,-,"-1,284",207,"-1,491","-1,491","-1,491","-1,491",-,-,-,"-1,491",-0.38,-0.38,"3,884","4,083","5,323","-1,491",571.2,587,216,"-1,491","-3,437","-3,437",0,"-1,375"
93,3/31/2000,581,"4,964","6,567",-,-,55,-,-,"6,512","1,603",-,-,-,-,"-4,383",-,-,-,-,-,-,-,-,-,-,-,"-4,383",0,"3,335",-,-,-,-,"1,678","1,678","1,678",-,-,-,-,-,-,-,-,"1,657",-,-,-,-,-,-,-,-,"2,210",918,"1,292","1,292","1,292","1,292",-,-,-,"1,292",0.33,0.32,"3,878","4,097","4,964","1,292","1,292",-,276,"1,292",-,-,0,0
