,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Liabilities of Discontinued Operations,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Treasury Shares Number
51,6/30/2010,"5,153,682","413,386","413,386",-,-,"413,386",-,-,-,"48,555",-,"52,310","65,382","708,982","708,982",-,-,-,"3,649,474","3,737,937",-,"280,936",-,-,"3,737,937","88,463","-82,703","15,535","15,535","15,535",-,-,"21,677",-,-,-,-,-,-,-,"28,448",-,"28,448",-,-,"214,023","4,667,097","4,221,939","2,826,429","2,826,429","1,395,510",-,-,"40,457",-,-,-,-,-,-,"404,701","404,701",-,-,"486,585","486,585",369,0,369,"-602,854","1,083,079","2,550","8,541",-,-,"891,286",-,"486,585","458,137","891,286","458,137","404,701",-,"36,855","36,716",139.076
52,3/31/2010,"5,203,217","518,721","518,721",-,-,"518,721",-,-,-,"50,429",-,"55,046","66,547","439,241","439,241",-,-,-,"3,759,340","3,845,503",-,-,-,-,"3,845,503","86,163",-,"16,164","16,164","16,164",-,-,"22,050",-,-,-,-,-,-,-,"30,872",-,"30,872",-,-,"260,971","4,728,373","4,154,237","2,765,591","2,765,591","1,388,646",-,-,"37,836",-,-,-,-,-,-,"536,300","536,300",-,-,"474,844","474,844",369,-,369,"-605,559","1,081,382","2,469","1,121",-,-,"1,011,144",-,"474,844","443,972","1,011,144","443,972","536,300","17,579","36,866","36,731",135.275
53,12/31/2009,"5,324,079","211,048","211,048",-,-,"211,048",-,-,0,"50,429",-,"70,943","66,149","423,700","423,700",-,-,-,"4,210,352","4,329,069",-,-,-,-,"4,329,069","118,717",-,"18,205","18,205","18,205",-,-,"22,546",-,-,-,-,-,-,-,"33,296",-,"33,296",-,-,"217,411","4,817,306","4,094,569","2,791,595","2,791,595","1,302,974",-,-,"50,176",-,-,-,-,-,-,"672,561","672,561",-,-,"506,773","506,773",351,-,351,"-545,026","1,053,584","2,032",-104,-,-,"1,179,334",-,"506,773","473,477","1,179,334","473,477","672,561","461,513","35,128","35,015",113.13
54,9/30/2009,"5,479,598","298,809","298,809",-,-,"298,809",-,-,0,"50,429",-,-,"65,646","362,056","362,056",-,-,-,"4,374,422","4,488,997",-,-,-,-,"4,488,997","114,575",-,"107,718","18,695","18,695","107,718",-,"89,106",-,-,-,-,-,-,-,"35,651",-,"35,651",-,-,"95,761","4,962,049","4,047,587","2,776,390","2,776,390","1,271,197",-,-,"49,195",-,-,-,-,-,-,"865,267","865,267",-,-,"517,549","517,549",351,0,351,"-537,246","1,052,827",-,"2,803","-1,186",-,"1,382,816",-,"517,549","481,898","1,382,816","481,898","865,267","566,458","35,083","35,023",60.433
55,6/30/2009,"4,476,236","181,665","181,665",-,-,"181,665",-,-,0,-,-,"46,583","66,593","199,068","199,068",-,-,-,"3,832,244","3,904,366",-,-,-,-,"3,904,366","72,122",-,"15,269","15,269","15,269",-,-,"23,611",-,-,-,-,-,-,-,"35,417",-,"35,417",-,-,"91,055","4,012,139","3,253,311","2,025,420","2,025,420","1,227,891",-,-,"43,931",-,-,-,-,-,-,"714,897","714,897",-,-,"464,097","464,097",323,0,323,"-539,971","1,003,026",-,"1,705",-986,-,"1,178,994",-,"464,097","428,680","1,178,994","428,680","714,897","533,232","32,358","32,310",47.657
56,3/31/2009,"4,496,070","213,767","213,767",-,-,"213,767",-,-,-,-,-,"47,673","66,198","174,888","174,888",-,-,-,"3,852,924","3,924,285",-,-,-,-,"3,924,285","71,361",-,"14,939","14,939","14,939",-,-,"24,202",-,-,-,-,-,-,-,"37,675",-,"37,675",-,-,"63,804","4,027,064","3,400,816","2,176,932","2,176,932","1,223,884",-,-,"46,302",-,-,-,-,-,-,"579,946","579,946",-,-,"469,006","469,006",323,0,323,"-534,231","1,001,743",903,-,"2,074",-,"1,048,952",-,"469,006","431,331","1,048,952","431,331","579,946","366,179","32,353","32,310",42.83
57,12/31/2008,"4,495,502","193,652","159,705",-,"100,925","58,780","33,947","33,947",-,-,-,-,-,"121,577","121,577",-,-,-,"3,924,372","3,987,891",-,-,-,-,"3,987,891","63,519",-,"15,976","15,976","15,976",-,-,"24,675",-,-,-,-,-,-,-,"39,922",-,-,-,-,"175,328","4,119,776","3,475,215","2,309,730","2,309,730","1,165,485",-,-,"64,567","64,567","64,567",-,-,-,-,"579,994","579,994",-,-,"375,726","375,726",285,-,285,"-535,676","909,922",257,"1,452",-,-,"955,720",-,"375,726","335,804","955,720","335,804","579,994","420,289","32,346","32,334",12.36
58,9/30/2008,"4,363,217","163,953","124,995",-,"124,692",303,"38,958","38,958",-,-,-,-,-,"97,572","97,572",-,-,-,"3,873,246","3,934,321",-,-,-,-,"3,934,321","61,075",-,"14,780","14,780","14,780",-,-,"25,471",-,-,-,-,-,-,-,"36,497",-,-,-,-,"151,698","3,986,930","3,193,072","1,974,586","1,974,586","1,218,486",-,-,"43,115","43,115","43,115",-,-,-,-,"750,743","750,743",-,-,"376,287","376,287",282,-,282,"-545,297","921,589",150,-137,-,-,"1,127,030",-,"376,287","339,790","1,127,030","339,790","750,743","625,748","28,159","28,151",8.365
59,6/30/2008,"4,343,324","161,059","118,115",-,"117,862",253,"42,944","42,944",-,-,-,-,-,"109,460","109,460",-,-,-,"3,845,279","3,905,056",-,-,-,-,"3,905,056","59,777",-,"14,978","14,978","14,978",-,-,"25,718",-,-,-,-,-,-,-,"38,771",-,-,-,-,"148,059","3,968,580","3,192,213","1,953,115","1,953,115","1,239,098",-,-,"44,960","44,960","44,960",-,-,-,-,"731,407","731,407",-,-,"374,744","374,744",282,-,282,"-554,848","929,416",-,-106,-,-,"1,106,151",-,"374,744","335,973","1,106,151","335,973","731,407","613,292","28,185","28,185",-
60,3/31/2008,"4,892,716","162,707","129,939",-,"129,653",286,"32,768","32,768",-,-,-,-,-,"117,696","117,696",-,-,-,"3,906,117","3,975,524",-,-,-,-,"3,975,524","60,199","-9,208","16,594","16,594","16,594",-,-,"25,702",-,-,-,-,-,-,-,"528,171",-,-,-,-,"135,729","4,034,403","3,319,144","2,041,842","2,041,842","1,277,302",-,-,"45,286","45,286","45,286",-,-,-,-,"669,973","669,973",-,-,"858,313","858,313",-,-,-,"-80,333","937,559",-,"1,087",-,-,"1,528,286",-,"858,313","330,142","1,528,286","330,142","669,973","540,034","28,148","28,148",-
61,12/31/2007,"5,179,040","128,432","99,783",-,"99,363",420,"28,649","28,649",-,-,-,-,-,"106,888","106,888",-,-,-,"3,960,226","4,022,291",-,-,-,-,"4,022,291","52,557","-9,508","18,555","18,555","18,555",-,-,"26,327",-,-,-,-,-,-,-,"805,775",-,-,-,-,"132,837","4,040,688","3,245,146","2,033,200","2,033,200","1,211,946",-,-,"45,054","45,054","45,054",-,-,-,-,"750,488","750,488",-,-,"1,138,352","1,138,352",-,-,-,"201,220","936,608",-,524,-,-,"1,888,840",-,"1,138,352","332,577","1,888,840","332,577","750,488","650,705","28,002","28,002",-
62,9/30/2007,"5,085,376","177,496","125,117",-,"124,755",362,"52,379","52,379",-,-,-,-,-,"70,656","70,656",-,-,-,"3,856,581","3,907,149",-,-,-,-,"3,907,149","50,568",-,"19,569","19,569","19,569",-,-,"26,733",-,-,-,-,-,-,-,"810,583",-,-,-,-,"123,758","3,902,604","3,442,325","2,125,048","2,125,048","1,317,277",-,-,"46,683","46,683","46,683",-,-,-,-,"413,596","413,596",-,-,"1,182,772","1,182,772",-,-,-,"193,094","989,677",-,1,-,-,"1,596,368",-,"1,182,772","372,189","1,596,368","372,189","413,596","288,479","27,967","27,967",-
63,6/30/2007,"5,143,775","160,373","133,149",-,"132,727",422,"27,224","27,224",-,-,-,-,-,"82,724","82,724",-,-,-,"3,906,020","3,967,654",-,-,-,-,"3,967,654","52,431","-9,203","18,687","18,687","18,687",-,-,"36,841",-,-,-,-,-,-,-,"816,955",-,-,-,-,"122,175","3,918,669","3,410,752","1,956,489","1,956,489","1,454,263",-,-,"66,542","66,542","66,542",-,-,-,-,"441,375","441,375",-,-,"1,225,106","1,225,106",-,-,-,"180,510","1,044,941",-,-345,-,-,"1,666,481",-,"1,225,106","408,151","1,666,481","408,151","441,375","308,226","29,419","29,419",-
64,3/31/2007,"5,332,760","379,793","129,505",-,"129,001",504,"250,288","250,288",-,-,-,-,-,"82,875","82,875",-,-,-,"3,903,692","3,964,376",-,-,-,-,"3,964,376","50,352","-10,332","20,355","20,355","20,355",-,-,"37,125",-,-,-,-,-,-,-,"787,668",-,-,-,-,"121,252","4,150,503","3,679,022","2,154,127","2,154,127","1,524,895",-,-,"57,378","57,378","57,378",-,-,-,-,"414,103","414,103",-,-,"1,182,257","1,182,257",-,-,-,"167,483","1,014,776",-,-2,-,-,"1,596,360",-,"1,182,257","394,589","1,596,360","394,589","414,103","284,598","28,847","28,847",-
65,12/31/2006,"5,553,323","180,158","129,411",-,"128,910",501,"50,747","50,747",-,-,-,-,-,"91,381","91,381",-,-,-,"4,309,954","4,375,730",-,-,-,-,"4,375,730","52,908","-12,868","21,388","21,388","21,388",-,-,"37,102",-,-,-,-,-,-,-,"788,510",-,-,-,-,"124,830","4,384,995","3,685,733","2,114,372","2,114,372","1,571,361",-,-,"51,043","51,043","51,043",-,-,-,-,"648,219","648,219",-,-,"1,168,328","1,168,328",-,-,-,"148,367","1,020,132",-,-171,-,-,"1,816,547",-,"1,168,328","379,818","1,816,547","379,818","648,219","518,808","28,825","28,825",-
66,9/30/2006,"4,601,474","158,490","116,344",-,"116,057",287,"42,146","42,146",-,-,-,-,-,"203,306","203,306",-,-,-,"3,498,652","3,542,595",-,-,-,-,"3,542,595","43,943",-,"17,153","17,153","17,153",-,-,"29,334",-,-,-,-,-,-,-,"586,975",-,-,-,-,"107,564","3,706,997","3,021,854","1,667,128","1,667,128","1,354,726",-,-,"41,841","41,841","41,841",-,-,-,-,"643,302","643,302",-,-,"894,477","894,477",-,-,-,"135,084","760,870",-,"-1,477",-,-,"1,537,779",-,"894,477","307,502","1,537,779","307,502","643,302","526,958","24,986","24,986",-
67,6/30/2006,"4,557,634","152,683","138,683",-,"138,396",287,"14,000","14,000",-,-,-,-,-,"269,913","269,913",-,-,-,"3,391,578","3,435,026",-,-,-,-,"3,435,026","43,448",-,"16,797","16,797","16,797",-,-,"28,902",-,-,-,-,-,-,-,"591,509",-,-,-,-,"106,252","3,682,304","3,179,504","1,685,639","1,685,639","1,493,865",-,-,"48,798","48,798","48,798",-,-,-,-,"454,002","454,002",-,-,"875,330","875,330",-,-,-,"121,478","756,637",-,"-2,786",1,-,"1,329,332",-,"875,330","283,821","1,329,332","283,821","454,002","315,319","24,232","24,232",-
68,3/31/2006,"3,670,270","150,471","112,074",-,"110,334","1,740","38,397","38,397",-,-,-,-,-,"202,131","202,131",-,-,-,"2,791,693","2,823,194",-,-,-,-,"2,823,194","31,501",-,"14,156","14,156","14,156",-,-,"20,660",-,-,-,-,-,-,-,"400,219",-,-,-,-,"90,940","3,036,025","2,644,288","1,447,109","1,447,109","1,197,179",-,-,"34,783","34,783","34,783",-,-,-,-,"356,954","356,954",-,-,"634,245","634,245","522,168",-,"522,168","114,757",-,-,"-2,680",-,-,"991,199",-,"634,245","234,026","991,199","234,026","356,954","244,880","20,104","20,104",-
69,12/31/2005,"3,226,411","132,105","100,752",-,"100,662",90,"31,353","31,353",-,-,-,-,-,"212,601","212,601",-,-,-,"2,440,525","2,467,828",-,-,-,-,"2,467,828","27,303",-,"12,006","12,006","12,006",-,-,"19,063",-,-,-,-,-,-,-,"323,188",-,-,-,-,"86,923","2,725,633","2,405,361","1,225,553","1,225,553","1,179,808",-,-,"38,318","38,318","38,318",-,-,-,-,"281,954","281,954",-,-,"500,778","500,778","410,419",-,"410,419","102,325",-,-,"-11,966",-,-,"782,732",-,"500,778","177,590","782,732","177,590","281,954","181,202","18,347","18,347",-
70,9/30/2005,"3,129,534","185,926","106,726",-,"106,674",52,"79,200","79,200",-,-,-,-,-,"252,677","252,677",-,-,-,"2,274,132","2,303,373",-,-,-,-,"2,303,373","29,241",-,"10,920","10,920","10,920",-,-,"18,990",-,-,-,-,-,-,-,"298,182",-,-,-,-,"88,707","2,677,439","2,410,296","1,292,488","1,292,488","1,117,808",-,-,"34,489","34,489","34,489",-,-,-,-,"232,654","232,654",-,-,"452,095","452,095","372,421",-,"372,421","91,511",-,-,"-11,837",-,-,"684,749",-,"452,095","153,913","684,749","153,913","232,654","125,928","17,523","17,523",-
71,6/30/2005,"2,843,203","129,931","90,172",-,"90,078",94,"39,759","39,759",-,-,-,-,-,"214,411","214,411",-,-,-,"2,133,428","2,162,222",-,-,-,-,"2,162,222","28,794",-,"9,290","9,290","9,290",-,-,"14,933",-,-,-,-,-,-,-,"254,920",-,-,-,-,"86,290","2,449,967","2,186,459","1,145,092","1,145,092","1,041,367",-,-,"29,754","29,754","29,754",-,-,-,-,"233,754","233,754",-,-,"393,236","393,236","322,784",-,"322,784","82,534",-,-,"-12,082",-,-,"626,990",-,"393,236","138,316","626,990","138,316","233,754","143,582","16,047","16,047",-
72,3/31/2005,"2,810,835","113,785","82,337",-,"82,152",185,"31,448","31,448",-,-,-,-,-,"230,354","230,354",-,-,-,"2,100,269","2,128,333",-,-,-,-,"2,128,333","28,064",-,"9,882","9,882","9,882",-,-,"14,945",-,-,-,-,-,-,-,"256,141",-,-,-,-,"85,459","2,427,868","2,163,572","1,188,519","1,188,519","975,053",-,-,"27,842","27,842","27,842",-,-,-,-,"236,454","236,454",-,-,"382,967","382,967","321,210",-,"321,210","74,707",-,-,"-12,950",-,-,"619,421",-,"382,967","126,826","619,421","126,826","236,454","154,117","15,809","15,809",-
73,12/31/2004,"3,046,854","344,095","73,283",-,"72,581",702,"270,812","270,812",-,-,-,-,-,"245,395","245,395",-,-,-,"2,091,489","2,118,171",-,-,-,-,"2,118,171","26,682",-,"9,058","9,058","9,058",-,-,"14,919",-,-,-,-,-,-,-,"256,955",-,-,-,-,"84,943","2,672,978","2,432,390","1,490,674","1,490,674","941,716",-,-,"28,934","28,934","28,934",-,-,-,-,"211,654","211,654",-,-,"373,876","373,876","318,880",-,"318,880","67,911",-,-,"-12,915",-,-,"585,530",-,"373,876","116,921","585,530","116,921","211,654","138,371","15,568","15,568",-
74,9/30/2004,"2,793,360","130,368","92,368",-,"91,061","1,307","38,000","38,000",-,-,-,-,-,"264,237","264,237",-,-,-,"2,026,351","2,055,701",-,-,-,-,"2,055,701","29,350",-,"8,979","8,979","8,979",-,-,"14,637",-,-,-,-,-,-,-,"259,765",-,-,-,-,"89,023","2,432,322","2,133,896","1,171,509","1,171,509","962,387",-,-,"31,272","31,272","31,272","145,500","145,500",-,"145,500","121,654","121,654",-,-,"361,038","361,038","315,369",-,"315,369","60,893",-,-,"-15,224",-,-,"482,692",-,"361,038","101,273","628,192","101,273","267,154","174,786","15,568","15,568",-
75,6/30/2004,"2,721,810","145,446","118,104",-,"115,809","2,295","27,342","27,342",-,-,-,-,-,"281,244","281,244",-,-,-,"1,919,752","1,950,101",-,-,-,-,"1,950,101","30,349",-,"8,088","8,088","8,088",-,-,"15,028",-,-,-,-,-,-,-,"270,153",-,-,-,-,"82,099","2,372,610","2,151,306","1,198,403","1,198,403","952,903",-,-,"30,050","30,050","30,050","69,600","69,600",-,"69,600","121,654","121,654",-,-,"349,200","349,200","314,162",-,"314,162","54,733",-,-,"-19,695",-,-,"470,854",-,"349,200","79,047","540,454","79,047","191,254","73,150","15,527","15,527",-
76,3/31/2004,"2,475,509","122,290","98,408",-,"98,049",359,"23,882","23,882",-,-,-,-,-,"318,642","318,642",-,-,-,"1,687,547","1,715,605",-,-,-,-,"1,715,605","28,058",-,"8,111","8,111","8,111",-,-,"13,995",-,-,-,-,-,-,-,"246,697",-,-,-,-,"78,227","2,130,324","1,970,794","1,126,127","1,126,127","844,667",-,-,"27,076","27,076","27,076","10,800","10,800",-,"10,800","121,654","121,654",-,-,"345,185","345,185","309,020",-,"309,020","49,308",-,-,"-13,143",-,-,"466,839",-,"345,185","98,488","477,639","98,488","132,454","34,046","15,456","15,456",-
77,12/31/2003,"2,422,327","119,541","102,279",-,"101,968",311,"17,262","17,262",-,-,-,-,-,"417,656","417,656",-,-,-,"1,570,085","1,595,837",-,-,-,-,"1,595,837","25,752",-,"7,432","7,432","7,432",-,-,"14,004",-,-,-,-,-,-,-,"221,956",-,-,-,-,"71,653","2,084,764","1,949,669","1,135,304","1,135,304","814,365",-,-,"21,597","21,597","21,597",-,-,-,-,"113,498","113,498",-,-,"337,563","337,563","308,336",-,"308,336","44,706",-,-,"-15,479",-,-,"451,061",-,"337,563","115,607","451,061","115,607","113,498","11,219","15,893","15,893",-
78,9/30/2003,"2,408,430","139,280","94,292",-,"93,925",367,"44,988","44,988",-,-,-,-,-,"429,395","429,395",-,-,-,"1,520,896","1,546,664",-,-,-,-,"1,546,664","25,768",-,"7,488","7,488","7,488",-,-,"14,513",-,-,-,-,-,-,-,"222,716",-,-,-,-,"74,142","2,077,226","1,971,418","1,194,180","1,194,180","777,238",-,-,"33,808","33,808","33,808","14,000","14,000",-,"14,000","58,000","58,000",-,-,"331,204","331,204","307,501",-,"307,501","39,159",-,-,"-15,456",-,-,"389,204",-,"331,204","108,488","403,204","108,488","72,000",-,"15,858","15,858",-
79,6/30/2003,"2,162,965","174,845","82,345",-,"80,661","1,684","92,500","92,500",-,-,-,-,-,"294,364","294,364",-,-,-,"1,408,542","1,435,858",-,-,-,-,"1,435,858","27,316",-,"6,571","6,571","6,571",-,-,"14,060",-,-,-,-,-,-,-,"194,947",-,-,-,-,"69,636","1,834,931","1,782,884","1,087,331","1,087,331","695,553",-,-,"14,047","14,047","14,047",-,-,-,-,"38,000","38,000",-,-,"328,034","328,034","292,684",-,"292,684","34,308",-,-,"1,042",-,-,"366,034",-,"328,034","133,087","366,034","133,087","38,000",-,"15,377","15,377",-
80,3/31/2003,"2,140,599","113,965","81,349",-,"81,024",325,"32,616","32,616",-,-,-,-,-,"313,165","313,165",-,-,-,"1,450,324","1,479,174",-,-,-,-,"1,479,174","24,738","-4,112","8,395","8,395","8,395",-,-,"14,210",-,-,-,-,-,-,-,"195,521",-,-,-,-,"45,019","1,818,645","1,765,360","1,089,242","1,089,242","676,118",-,-,"15,285","15,285","15,285",-,-,-,-,"38,000","38,000",-,-,"321,954","321,954","292,463",-,"292,463","27,970",-,-,"1,521",-,-,"359,954",-,"321,954","126,433","359,954","126,433","38,000",-,"15,355","15,355",-
81,12/31/2002,"2,115,877","132,398","98,707",-,"97,666","1,041","33,691","33,691",-,-,-,-,-,"318,867","318,867",-,-,-,"1,400,102","1,424,396",-,-,-,-,"1,424,396","24,294",-,"6,961","6,961","6,961",-,-,"13,397",-,-,-,-,-,-,-,"188,050",-,-,-,-,"56,102","1,799,585","1,738,621","1,081,178","1,081,178","657,443",-,-,"21,741","21,741","21,741",-,-,-,-,"39,223","39,223",-,-,"316,292","316,292","291,803",-,"291,803","23,039",-,-,"1,450",-,-,"355,515",-,"316,292","128,242","355,515","128,242","39,223",-,"15,297","15,297",-
82,9/30/2002,"2,161,088","126,888","110,513",-,"109,756",757,"16,375","16,375",-,-,-,-,-,"289,456","289,456",-,-,-,"1,481,025","1,510,365",-,-,-,-,"1,510,365","24,024","-5,316",-,-,-,-,-,"13,820",-,-,-,-,-,-,-,"182,856",-,-,-,-,"67,043","1,848,729","1,769,991","1,145,727","1,145,727","624,264",-,-,"29,336","29,336","29,336","11,402","11,402",-,"11,402","38,000","38,000",-,-,"312,359","312,359","291,153",-,"291,153","18,923",-,-,"2,283",-,-,"350,359",-,"312,359","129,503","361,761","129,503","49,402",-,"15,226","15,226",-
83,6/30/2002,"1,211,508","87,570","77,905",-,"77,615",290,"9,665","9,665",-,-,-,-,-,"158,136","158,136",-,-,-,"868,630","883,818",-,-,-,-,"883,818","13,136","-2,052",-,-,-,-,-,"10,494",-,-,-,-,-,-,-,"49,146",-,-,-,-,"37,532","1,064,759","1,050,257","629,717","629,717","420,540",-,-,"12,314","12,314","12,314","1,534","1,534",-,"1,534",654,654,-,-,"146,749","108,749","91,036",-,"91,036","16,161",-,-,"1,552",-,"38,000","109,403",-,"108,749","59,603","110,937","59,603","2,188",-,"7,547","7,547",-
84,3/31/2002,"1,199,817","160,248","81,894",-,"81,504",390,"78,354","78,354",-,-,-,-,-,"156,182","156,182",-,-,-,"785,151","800,129",-,-,-,-,"800,129","13,563","-1,415",-,-,-,-,-,"10,381",-,-,-,-,-,-,-,"45,775",-,-,-,-,"42,080","1,095,491","1,046,032","653,980","653,980","392,052",-,-,"17,086","17,086","17,086","3,719","3,719",-,"3,719","28,654","28,654",-,-,"104,326","104,326","90,933",-,"90,933","13,432",-,-,-39,-,-,"132,980",-,"104,326","58,551","136,699","58,551","32,373",-,"7,539","7,539",-
85,12/31/2001,"770,217","107,030","68,703",-,"68,513",190,"38,327","38,327",-,-,-,-,-,"126,456","126,456",-,-,-,"490,531","501,740",-,-,-,-,"501,740","11,209",-,"2,769","2,769","2,769",-,-,"5,914",-,-,-,-,-,-,-,"9,793",-,-,-,-,"27,724","714,920","677,167","401,551","401,551","275,616",-,-,"8,651","8,651","8,651",-,-,-,-,"29,102","29,102",-,-,"55,297","55,297","43,137",-,"43,137","11,852",-,-,308,-,-,"84,399",-,"55,297","45,504","84,399","45,504","29,102",-,"5,277","5,277",-
86,9/30/2001,"671,828","154,061","49,022",-,"48,737",285,"105,039","105,039",-,-,-,-,-,"108,703","108,703",-,-,-,"378,996","389,244",-,-,-,-,"389,244","10,248",-,-,-,-,-,-,"5,409",-,-,-,-,-,-,-,"4,151",-,-,-,-,"20,508","630,854","608,168","379,668","379,668","228,500","8,000",-,"6,299","6,299","6,299","7,716","7,716",-,"7,716",671,671,-,-,"40,974","40,974","28,847",-,"28,847","10,920",-,-,"1,207",-,-,"41,645",-,"40,974","36,823","49,361","36,823","8,387",-,"4,610","4,610",-
87,6/30/2001,"619,670","131,772","56,909",-,"56,624",285,"74,863","74,863",-,-,-,-,-,"98,737","98,737",-,-,-,"366,078","376,502",-,-,-,-,"376,502","10,424",-,-,-,-,-,-,"6,227",-,-,-,-,-,-,-,"4,227",-,-,-,-,"12,629","580,939","558,297","344,149","344,149","214,148","8,000",-,"6,960","6,960","6,960","7,009","7,009",-,"7,009",673,673,-,-,"38,731","38,731","28,690",-,"28,690","9,682",-,-,359,-,-,"39,404",-,"38,731","34,504","46,413","34,504","7,682",-,"4,577","4,577",-
88,3/31/2001,"607,246","142,979","35,831",-,"35,546",285,"107,148","107,148",-,-,-,-,-,"91,772","91,772",-,-,-,"348,178","359,393",-,-,-,-,"359,393","11,215",-,-,-,-,-,-,"6,134",-,-,-,-,-,-,-,"4,300",-,-,-,-,"13,883","570,074","548,165","328,626","328,626","219,539","8,000",-,"6,736","6,736","6,736","6,500","6,500",-,"6,500",673,673,-,-,"37,172","37,172","28,266",-,"28,266","8,605",-,-,301,-,-,"37,845",-,"37,172","32,872","44,345","32,872","7,173",-,"4,512","4,512",-
89,12/31/2000,"358,287","54,063","36,247",-,"35,752",495,"17,816","17,816",-,-,-,-,-,"45,400","45,400",-,-,-,"246,622","250,552",-,-,-,-,"250,552","3,930",-,"2,278","2,278","2,278",-,-,"6,058",-,-,-,-,-,-,-,-,-,-,-,-,"3,866","330,515","316,938","202,896","202,896","114,042","8,000",-,"3,888","3,888","3,888",-,-,-,-,"1,689","1,689",-,-,"27,772","27,772","20,402",-,"20,402","7,432",-,-,-62,-,-,"29,461",-,"27,772","27,772","29,461","27,772","1,689",-,"3,971","3,971",-
90,9/30/2000,"356,091","59,972","31,232",-,"28,868","2,364","28,740","28,740",-,-,-,-,-,"48,460","48,460",-,-,-,"235,101","239,601",-,-,-,-,"239,601","3,914",-586,-,-,-,-,-,"5,325",-,-,-,-,-,-,-,-,-,-,-,-,"7,233","329,647","315,973","208,412","208,412","107,561",-,-,"4,157","4,157","4,157","1,517","1,517",-,"1,517","8,000","8,000",-,-,"26,444","26,444","20,029",-,"20,029","6,815",-,-,-400,-,-,"34,444",-,"26,444","26,444","35,961","26,444","9,517",-,"3,958","3,958",-
91,6/30/2000,"341,678","64,016","32,847",-,"28,899","3,948","31,169","31,169",-,-,-,-,-,"44,660","44,660",-,-,-,"219,853","224,412",-,-,-,-,"224,412","3,987",-572,-,-,-,-,-,"5,184",-,-,-,-,-,-,-,-,-,-,-,-,"7,965","316,387","310,343","204,282","204,282","106,061",-,-,"3,572","3,572","3,572","2,472","2,472",-,"2,472",-,-,-,-,"25,291","25,291","19,849",-,"19,849","6,038",-,-,-596,-,-,-,-,"25,291","25,291","27,763","25,291","2,472",-,"3,892","3,892",-
