,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Restricted Cash And Investments,Restricted Investments,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Available for Sale Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Prepaid Assets,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Construction in Progress,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Deferred Tax Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
37,12/31/2013,"672,060","105,191","100,096","100,096",-,-,-,-,"5,095","5,095","5,095","3,170",916.205,916.205,"12,083","117,746",-,"117,746",515.456,"411,156","419,438","48,787",882.667,"358,497","11,272","7,659",-623.67,"2,011","2,011",-,"1,114","13,684","22,035","4,755","8,094","6,040",-,"3,145",-,"-8,351",-,-,-,"4,266","4,266","672,060","606,750","602,633","415,057","415,057","187,577",-,"4,702","4,702","4,702",-,-,-,-,-,-,-,-,"4,117","65,310","65,310","23,758",0,"23,758","38,984","2,537",-762.947,-,-,-,"65,310",-,"65,310",-,"65,310",-,-,"7,930","7,930",-
38,9/30/2013,"659,192","99,808","84,313","84,313",-,-,-,-,"15,495","15,495","15,495",-,916.205,916.205,-,"117,142",-,"117,142",-,"405,545","413,856","44,994",884.357,"356,887","11,091","7,669",-642.525,"23,173","23,173",-,-,"12,608",-,-,-,-,-,-,-,-,-,-,-,-,-,"659,192","595,813","591,642",-,-,-,-,"4,171","4,171","4,171",-,-,-,-,-,-,-,-,"4,171","63,379","63,379","23,758",0,"23,758","38,070","2,483",-933.036,-,-,-,"63,379",-,"63,379",-,"63,379",-,-,"7,930","7,930",-
39,6/30/2013,"644,230","105,717","102,217","102,217",-,-,-,-,"3,500","3,500","3,500",-,"1,827","1,827",-,"119,328",-,"119,328",-,"382,512","390,647","35,232",919.064,"344,904","9,592","7,570",-564.231,"22,245","22,245",-,-,"12,600",-,-,-,-,-,-,-,-,-,-,-,-,-,"644,230","580,773","577,129",-,-,-,-,"3,644","3,644","3,644",-,-,-,-,-,-,-,-,"3,644","63,457","63,457","23,758",0,"23,758","36,565","2,430",703.111,-,-,-,"63,457",-,"63,457",-,"63,457",-,-,"7,925","7,925",-
40,3/31/2013,"648,418","117,868","96,098","96,098",-,-,-,-,"21,770","21,770","21,770",-,970.632,970.632,-,"114,579",-,"114,579",-,"381,632","389,992","34,922",924.782,"344,316","9,829","7,743",-616.742,"20,451","20,451",-,-,"12,917",-,-,-,-,-,-,-,-,-,-,-,-,-,"648,418","584,320","580,215",-,-,-,-,"4,105","4,105","4,105",-,-,-,-,-,-,-,-,"4,105","64,098","64,098","23,758",0,"23,758","35,191","2,378","2,771",-,-,-,"64,098",-,"64,098",-,"64,098",-,-,"7,915","7,915",-
41,12/31/2012,"660,480","141,335","130,800","130,800",-,-,-,-,"10,535","10,535","10,535","3,130",0,0,"11,680","103,866",-,"103,866",575.09,"382,411","390,986","36,529","1,096","341,734","11,628","7,975",-599.851,"1,654","1,654",-,"1,077","13,182","22,891","4,699","5,871","8,082",-,"4,239",-,"-9,708",-,-,-,"1,670","1,670","660,480","597,261","586,993","411,404","411,404","175,588",-,"3,619","3,619","3,619",-,-,-,-,-,-,-,-,"10,268","63,219","63,219","30,423","6,750","23,673","33,959","2,342","3,245",-,-,"6,750","63,219",-,"63,219",-,"63,219",-,-,"7,908","7,908",6.75
42,9/30/2012,"627,817","107,412","93,642",-,-,"93,642",-,-,"13,770","13,770","13,770",-,-,0,-,"106,332","106,332",-,-,"380,761","388,714","317,286","27,884",-,"388,714","7,953",-552.858,"20,761","20,761","20,761",-,"13,104",-,-,-,-,-,-,-,-,-,-,-,-,-,"247,056","565,742","553,333",-,-,-,-,"5,659","5,659","5,659",-,-,-,-,-,-,-,-,"12,409","62,075","62,075","6,750","6,750",-,"32,554","25,967","3,554",-,-,"6,750","62,075",-,"62,075",-,"62,075",-,-,"7,909","7,909",6.75
43,6/30/2012,"596,417","71,878","64,638",-,-,"64,638",-,-,"7,240","7,240","7,240",-,-,0,-,"108,247","108,247",-,-,"381,958","390,515","326,112","33,990","30,412",-,"8,008",-549.314,"21,105","21,105","21,105",-,"13,229",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"529,482","526,407",-,-,-,-,"3,075","3,075","3,075",-,-,-,-,-,-,-,-,-,"66,935","66,935","6,750","6,750",-,"31,159","25,846","3,180",-,-,"6,750","60,185",-,"66,935",-,"60,185",-,-,"7,891","7,891",6.75
44,3/31/2012,"593,513","69,448","65,338",-,-,"65,338",-,-,"4,110","4,110","4,110",-,-,0,-,"105,085","105,085",-,-,"384,219","392,584","330,884","23,899",-,"37,801","7,792",-572.568,"21,468","21,468","21,468",-,"13,293",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"521,920","518,727",-,-,-,-,"3,193","3,193","3,193",-,-,-,-,-,-,-,-,-,"71,592","71,592","13,500","13,500",-,"29,922","25,748","2,422",-,-,"13,500","58,092",-,"71,592",-,"58,092",-,-,"7,884","7,884",13.5
45,12/31/2011,"612,172","101,085","73,190",-,-,"73,190",-,-,"27,895","27,895","27,895",-,-,244.375,-,"89,695","89,695",-,-,"386,958","396,202","330,877","25,084",-,"40,241","8,609",-634.433,"20,690","20,690","20,690",-,"13,499","22,154",-,"5,357","8,105",-,"3,993","4,699","-8,655",-,-,-,-,-,-,"541,770","536,204","406,061","406,061","130,143",-,"2,566","2,566","2,566",-,-,-,-,"3,000","3,000","3,000",-,-,"70,402","70,402","13,500","13,500",-,"28,630","25,582","2,690",-,"73,402","13,500","56,902",-,"70,402","59,902","56,902","3,000",-,"7,718","7,718",13.5
46,9/30/2011,"583,955","80,828","74,468",-,-,"74,468",-,-,"6,360","6,360","6,360",-,-,244.375,-,"86,800","86,800",-,-,"381,818","391,379","321,434","25,485",-,"44,460","8,857",-703.983,"20,872","20,872","20,872",-,"13,393",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"514,391","505,505",-,-,-,-,"2,886","2,886","2,886",-,-,-,-,"6,000","6,000","6,000",-,-,"69,564","69,564","13,500","13,500",-,"27,661","25,301","3,101",-,"75,564","13,500","56,064",-,"69,564","62,064","56,064","6,000",-,"7,718","7,718",13.5
47,6/30/2011,"572,262","77,290","67,245",-,-,"67,245",-,-,"10,045","10,045","10,045",-,-,244.375,-,"78,862","78,862",-,-,"381,930","390,521","350,530","39,990",-,"390,521","8,591",-736.008,"21,876","21,876","21,876",-,"12,796",-,-,-,-,-,-,-,-,-,-,-,-,-,"190,332","518,128","496,212",-,-,-,-,"2,416","2,416","2,416",-,-,-,-,"6,000","6,000","6,000",-,"21,916","54,134","54,134","67,634","13,097","67,634","26,210","26,118","2,209","-13,500","73,634","13,097","54,134",-,"54,134","60,537","54,134","6,000",-,"7,714","7,714",13.5
48,3/31/2011,"562,769","68,681","40,546",-,-,"40,546",-,-,"28,135","28,135","28,135",-,-,559.008,-,"73,672","73,672",-,-,"385,764","395,243","320,290","28,234","27,181","19,538","8,765",-714.017,"24,066","24,066","24,066",-,"10,027",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"496,990","485,641",-,-,-,-,"3,349",-,-,-,-,-,-,"8,000","8,000","8,000",-,-,"65,779","65,779","13,056","13,056",-,"24,972","26,106","1,647",-,"73,779","13,056","52,724",-,"65,779","60,724","52,724","8,000",-,"7,714","7,714",13.5
49,12/31/2010,"552,396","68,937","28,092",-,-,"28,092",-,-,"40,845","40,845","40,845",-,-,778.174,-,"53,268","53,268",-,-,"376,231","385,219","333,634","23,086","28,498",-,"8,255",-733.012,"24,033","24,033","24,033",-,"29,149","36,807","22,999","3,595","6,577",-,"3,637",-,"-7,658",-,-,-,-,-,-,"487,739","476,739","374,317","374,317","102,422",-,"3,000",-,-,"3,000",-,-,-,"8,000","8,000","8,000",-,-,"64,658","64,658","13,014","13,014",-,"24,016","26,084","1,544",-,"72,658","13,014","51,644",-,"64,658","59,644","51,644","8,000",-,"7,702","7,702",13.5
50,9/30/2010,"534,879","46,492","36,322",-,-,"36,322",-,-,"10,170","10,170","10,170",-,-,"1,143",-,"55,023","55,023",-,-,"400,460","408,971","325,922","22,786","60,263",-,"7,700",-811.334,"21,426","21,426","21,426",-,"10,335",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"470,774","448,904",-,-,-,-,"3,370",-,-,"3,370",-,-,-,"18,500","18,500","18,500",-,-,"64,105","64,105","12,972","12,972",-,"22,727","26,071","2,335",-,"82,605","12,972","51,133",-,"64,105","69,633","51,133","18,500",-,"7,702","7,702",13.5
51,6/30/2010,"519,203","30,089","21,589",-,-,"21,589",-,-,"8,500","8,500","8,500",-,-,"1,812",-,"52,244","52,244",-,-,"402,653","411,067","319,518","22,849","68,701",-,"7,614",-799.553,"22,013","22,013","22,013",-,"10,392",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"456,720","435,756",-,-,-,-,"2,464",-,-,"2,464",-,-,-,"18,500","18,500","18,500",-,-,"62,484","62,484","12,931","12,931",-,"21,796","25,977","1,780",-,"80,984","12,931","49,553",-,"62,484","68,053","49,553","18,500",-,"7,682","7,682",13.5
52,3/31/2010,"520,275","30,461","23,946",-,-,"23,946",-,-,"6,515","6,515","6,515",-,-,"2,456",-,"50,991","50,991",-,-,"403,503","411,013","314,194","21,527","75,293",-,"6,762",-747.725,"22,410","22,410","22,410",-,"10,454",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"458,872","431,624",-,-,-,-,"2,948",-,-,"2,948",-,-,-,"24,300","24,300","24,300",-,-,"61,404","61,404","12,889","12,889",-,"20,968","25,953","1,594",-,"85,704","12,889","48,515",-,"61,404","72,815","48,515","24,300",354.104,"7,682","7,682",13.5
53,12/31/2009,"524,722","21,649","20,004",-,-,"20,004",-,-,"1,645","1,645","1,645",-,-,"2,150",-,"50,765","50,765",-,-,"417,796","425,627","321,547","21,468",-,"82,612","7,020",-811.103,"22,195","22,195","22,195",-,"10,167","16,866",-,"3,215","6,022",-,"3,604","4,024","-6,698",-,-,-,-,-,-,"464,029","429,210","359,563","359,563","69,647",-,"2,619",-,-,"2,619",-,-,-,"32,200","32,200","32,200",-,-,"60,692","60,692","12,847","12,847",-,"20,231","25,931","1,683",-,"92,892","12,847","47,845",-,"60,692","80,045","47,845","32,200","12,196","7,682","7,682",13.5
54,9/30/2009,"521,179","15,091","9,601",-,-,"9,601",-,-,"5,490","5,490","5,490",-,-,"1,991",-,"53,565","53,565",-,-,"418,122","424,518",-,-,-,"424,518","6,396",-,"22,040","22,040","22,040",-,"10,370",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"461,116","431,533",-,-,-,-,"2,583",-,-,"2,583",-,-,-,"27,000","27,000","27,000",-,-,"60,063","60,063","12,806","12,806",-,"19,706","25,915","1,637",-,"87,063","12,806","47,258",-,"60,063","74,258","47,258","27,000","17,399","7,682","7,682",10
55,6/30/2009,"525,606","17,087","12,207",-,-,"12,207",-,-,"4,880","4,880","4,880",-,-,"2,813",-,"54,400","54,400",-,-,"417,815","423,515",-,-,-,"423,515","5,701",-,"22,871","22,871","22,871",-,"10,620",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"466,976","419,941",-,-,-,-,"2,935",-,-,"2,935",-,-,-,"44,100","44,100","44,100",-,-,"58,630","58,630","12,764","12,764",-,"19,037","25,829","1,000",-,"102,730","12,764","45,866",-,"58,630","89,966","45,866","44,100","31,893","7,662","7,662",13.5
56,3/31/2009,"523,747","11,135","11,135",-,-,"11,135",-,-,-,-,-,-,-,"3,267",-,"52,494","52,494",-,-,"422,877","422,877",-,-,-,-,-,-,"23,137","23,137","23,137",-,"10,837",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"464,960","410,089",-,-,-,-,"2,871",-,-,"2,871",-,-,-,"52,000","52,000","52,000",-,-,"58,786","58,786","12,722","12,722",-,"19,293","25,813",959.087,-,"110,786","12,722","46,064",-,"58,786","98,064","46,064","52,000","40,865","7,662","7,662",13.5
57,12/31/2008,"508,203","14,392","9,073",-,-,"9,073",-,-,"5,319","5,319",-,-,-,-,-,"42,294","42,294",-,-,"421,573","427,142",-,-,-,"427,142","5,569",-,"1,886","1,886","1,886",-,"11,094",-,-,-,-,-,-,-,-,-,-,-,-,-,"16,963","450,217","378,248","313,972","313,972","64,277",-,"2,968","2,968","2,968",-,-,-,-,"69,000","69,000",-,-,-,"57,986","57,986","12,681","12,681",-,"19,227","25,789",290.23,-,"126,986","12,681","45,305",-,"57,986","114,305","45,305","69,000","59,927","7,662","7,662",13.5
58,9/30/2008,"490,111","10,639","10,264",-,-,"10,264",-,-,375,375,-,-,-,-,-,"32,900","32,900",-,-,"411,032","411,032",-,-,-,-,-,-,"20,931","20,931","20,931",-,"10,245",-,-,-,-,-,-,-,-,-,-,-,-,-,"4,365","445,960","365,230","365,230","365,230",-,-,"2,730","2,730","2,730",-,-,-,-,"78,000","78,000",-,-,-,"44,151","44,151",-,-,-,"19,149","24,923",79.961,-1,"122,151",-,"44,151",-,"44,151","122,151","44,151","78,000","67,736","7,658","7,658",-
59,6/30/2008,"476,095","12,076","11,331",-,-,"11,331",-,-,745,745,-,-,-,-,-,"34,652","34,652",-,-,"395,235","395,235",-,-,-,-,-,-,"20,100","20,100","20,100",-,"10,484",-,-,-,-,-,-,-,-,-,-,-,-,-,"3,547","432,360","358,159","358,159","358,159",-,-,"2,801","2,801","2,801",-,-,-,-,"71,400","71,400",-,-,-,"43,735","43,735",-,-,-,"18,982","23,019","1,733",-,"115,135",-,"43,735",-,"43,735","115,135","43,735","71,400","60,069","7,658","7,658",-
60,12/31/2007,"454,403","14,203","14,203",-,"3,805","10,398",-,-,-,-,-,-,-,-,-,"33,373","33,373",-,-,"382,264","382,264",-,-,-,-,-,-,-,-,-,-,"10,109",-,-,-,-,-,-,-,-,-,-,-,-,-,"14,455","411,763","377,348",-,-,-,-,"3,416",-,-,"3,416",-,-,-,"62,000","31,000","31,000","31,000","-31,000","42,640","42,640","22,843",0,"22,843","18,002","1,748",46.193,-,"73,640",-,"42,640","31,000","42,640","73,640","42,640","62,000","16,797","7,608","7,608",-
61,9/30/2007,"453,883","15,339","10,069",-,"9,951",118,-,-,"5,270","5,270",-,-,-,-,-,"34,479","34,479",-,-,"380,122","384,879",-,-,-,"384,879","4,757",-,"2,096","2,096","2,096",-,"10,250",-,-,-,-,-,-,-,-,-,-,-,-,-,"11,597","412,421","386,212","369,405","369,405","16,807",-,"2,812","2,812","2,812",-,-,-,-,"23,000","23,000",-,-,397,"41,462","41,462",-,-,-,"17,051","24,562",-151,-,"64,462",-,"41,462",-,"41,462","64,462","41,462","23,000","12,931","7,608","7,608",-
62,6/30/2007,"441,334","10,414","9,794",-,"9,650",144,-,-,620,620,-,-,-,-,-,"35,015","35,015",-,-,"370,969","375,569",-,-,-,"375,569","4,600",-,"2,096","2,096","2,096",-,"9,336",-,-,-,-,-,-,-,-,-,-,-,-,-,"13,504","402,047","364,181","345,062","345,062","19,119","5,400","2,812","2,812","2,812",-,-,-,-,"29,350","29,350",-,-,304,"39,287","39,287",-,-,-,"17,483","22,193",-389,-,"68,637",-,"39,287",-,"39,287","68,637","39,287","29,350","19,556",-,-,-
63,3/31/2007,"452,521","12,680","8,090",-,-,"8,090",-,-,"4,590","4,590",-,-,-,-,-,"35,425","35,425",-,-,"381,841","386,320",-,-,-,"386,320","4,479",-,"2,096","2,096","2,096",-,"9,100",-,-,-,-,-,-,-,-,-,-,-,-,-,"11,379","416,856","352,121","300,962","300,962","51,159",-,"2,812","2,812","2,812",-,"58,125","58,125","58,125","3,000","3,000",-,-,798,"35,665","35,665",-,-,-,"16,480","19,329",-144,-,"38,665",-,"35,665",-,"35,665","96,790","35,665","61,125","53,035",-,-,-
64,12/31/2006,"455,213","27,819","25,179",-,-,"25,179",-,-,"2,640","2,640",-,-,-,-,-,"36,249","36,249",-,-,"372,819","378,393",-,-,-,"378,393","4,341","-1,233","12,813","12,813","12,813",-,"5,513",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"420,789","378,530","378,530","378,530",-,-,"8,659","8,659","8,659",-,-,-,-,"33,600","33,600",-,-,-,"34,424","34,424",-,-,-,"15,479","19,150",-204.772,-,"68,024",-,"34,424",-,"34,424","68,024","34,424","33,600","8,421",-,-,-
65,9/30/2006,"428,691","13,548","13,548",-,-,"13,548",-,-,-,-,-,-,-,-,-,"37,970","37,970",-,-,"358,263","362,559",-,-,-,"362,559","4,296",-,-,-,-,-,"5,487",-,-,-,-,-,-,-,-,-,-,-,-,-,"13,423","395,666","372,038","318,445","318,445","53,593",-,"2,921","2,921","2,921",-,"20,000","20,000","20,000",-,-,-,-,707,"33,025","33,025","19,062",-,"19,062","14,324",-,-361,-,-,-,"33,025",-,"33,025","53,025","33,025","20,000","6,452",-,-,-
66,6/30/2006,"409,103","16,581","16,581",-,-,"16,581",-,-,-,-,-,-,-,-,-,"38,547","38,547",-,-,"336,204","340,361",-,-,-,"340,361","4,157",-,"1,631","1,631","1,631",-,"5,617",-,-,-,-,-,-,-,-,-,-,-,-,-,"10,523","376,172","365,079","316,606","316,606","48,473",-,"2,435","2,435","2,435",-,"8,000","8,000","8,000",-,-,-,-,658,"32,931","32,931","18,920",-,"18,920","14,674",-,-663,-,-,-,"32,931",-,"32,931","40,931","32,931","8,000",-,-,-,-
67,3/31/2006,"402,461","14,735","12,735",-,-,"12,735",-,-,"2,000","2,000",-,-,-,-,-,"38,644","38,644",-,-,"331,836","335,635",-,-,-,"335,635","3,799",-,"1,670","1,670","1,670",-,"4,305",-,-,-,-,-,-,-,-,-,-,-,-,-,"11,271","370,646","353,425","307,629","307,629","45,796",-,"1,861","1,861","1,861",-,"15,000","15,000","15,000",-,-,-,-,360,"31,815","31,815","18,776",-,"18,776","13,835",-,-796,-,-,-,"31,815",-,"31,815","46,815","31,815","15,000","2,265",-,-,-
68,12/31/2005,"382,122","20,501","20,501",-,-,"20,501",-,-,-,-,-,-,-,-,-,"33,049","33,049",-,-,"312,787","318,108",-,-,-,"318,108","3,976","-1,345","11,915","11,915","11,915",-,"3,870",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"351,084","329,080","329,080","329,080",-,-,"3,005","3,005","3,005",-,"7,500","7,500","7,500","11,500","11,500",-,-,-,"31,038","31,038","17,199",-,"17,199","12,997","1,213",-370.769,-,"42,538",-,"31,038",-,"31,038","50,038","31,038","19,000",-,-,-,-
69,9/30/2005,"351,635","13,547","13,547",-,"13,515",32,-,-,-,-,-,-,-,-,-,"35,147","35,147",-,-,"287,623","291,144",-,-,-,"291,144","3,521",-,"1,391","1,391","1,391",-,"3,711",-,-,-,-,-,-,-,-,-,-,-,-,-,"10,216","321,529","284,477","244,564","244,564","39,913",-,"1,420","1,420","1,420",-,"32,500","32,500","32,500","2,000","2,000",-,-,"1,132","30,106","30,106","18,109",-,"18,109","11,920",649,-572,-,"32,106",-,"30,106",-,"30,106","64,606","30,106","34,500","20,953",-,-,-
70,6/30/2005,"336,624","12,784","10,784",-,"10,703",81,-,-,"2,000","2,000",-,-,-,-,-,"35,163","35,163",-,-,"273,700","277,115",-,-,-,"277,115","3,415",-,"1,290","1,290","1,290",-,"3,811",-,-,-,-,-,-,-,-,-,-,-,-,-,"9,876","306,572","281,965","246,093","246,093","35,872",-,"1,112","1,112","1,112",-,"20,500","20,500","20,500","2,000","2,000",-,-,995,"30,052","30,052","17,893",-,"17,893","11,959",649,-449,-,"32,052",-,"30,052",-,"30,052","52,552","30,052","22,500","11,716",-,-,-
71,3/31/2005,"329,772","22,790","11,790",-,"11,704",86,"11,000",-,-,-,-,-,-,-,-,"35,535","35,535",-,-,"257,952","261,220",-,-,-,"261,220","3,268",-,"1,178","1,178","1,178",-,"3,613",-,-,-,-,-,-,-,-,-,-,-,-,-,"8,704","300,945","285,825","256,008","256,008","29,817",-,722,722,722,-,"8,500","8,500","8,500","5,000","5,000",-,-,898,"28,827","28,827","17,847",-,"17,847","11,062",649,-731,-,"33,827",-,"28,827",-,"28,827","42,327","28,827","13,500","1,710",-,-,-
72,12/31/2004,"313,063","12,298","7,298",-,-,"7,298",-,-,"5,000","5,000",-,-,-,-,-,"33,284","33,284",-,-,"254,035","258,495",-,-,-,"258,495","3,272","-1,188","10,364","10,364","10,364",-,"3,082",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"284,818","249,043","249,043","249,043",-,"16,500","1,275","1,275","1,275",-,"8,500","8,500","8,500","9,500","9,500",-,-,-,"28,245","28,245","16,874",-,"16,874","10,228","1,077",66.818,-,"37,745",-,"28,245",-,"28,245","46,245","28,245","18,000","10,702",-,-,-
73,9/30/2004,"297,934","8,211","8,211",-,"7,650",561,-,-,-,-,-,-,-,-,-,"35,706","35,706",-,-,"240,567","243,436",-,-,-,"243,436","2,869",-,"1,058","1,058","1,058",-,"2,796",-,-,-,-,-,-,-,-,-,-,-,-,-,"9,596","270,598","228,322","203,049","203,049","25,273",-,396,396,396,-,"31,000","31,000","31,000","10,000","10,000",-,-,880,"27,336","27,336","17,782",-,"17,782","9,309",649,-404,-,"37,336",-,"27,336",-,"27,336","68,336","27,336","41,000","32,789",-,-,-
74,6/30/2004,"277,718","12,733","8,733",-,"8,042",691,-,-,"4,000","4,000",-,-,-,-,-,"35,142","35,142",-,-,"217,805","220,473",-,-,-,"220,473","2,668",-,992,992,992,-,"2,740",-,-,-,-,-,-,-,-,-,-,-,-,-,"8,306","250,830","214,223","194,156","194,156","20,067",-,293,293,293,-,"24,500","24,500","24,500","11,000","11,000",-,-,814,"26,888","26,888","17,742",-,"17,742","9,321",649,-824,-,"37,888",-,"26,888",-,"26,888","62,388","26,888","35,500","26,767",-,-,-
75,3/31/2004,"251,988","7,482","7,482",-,"6,408","1,074",-,-,-,-,-,-,-,-,-,"33,465","33,465",-,-,"200,432","202,785",-,-,-,"202,785","2,353",-,992,992,992,-,"2,741",-,-,-,-,-,-,-,-,-,-,-,-,-,"6,876","225,395","201,318","180,027","180,027","21,291",-,299,299,299,-,"5,000","5,000","5,000","18,000","18,000",-,-,778,"26,593","26,593","17,605",-,"17,605","8,472",649,-133,-,"44,593",-,"26,593",-,"26,593","49,593","26,593","23,000","15,518",-,-,-
76,12/31/2003,"240,498","16,630","12,630",-,"11,630","1,000",-,-,"4,000","4,000",-,-,-,-,-,"28,690","28,690",-,-,"184,319","187,548",-,-,-,"187,548","2,338",-890.892,"8,100","8,100","8,100",-,"2,759",-,-,-,-,-,-,-,-,-,-,-,-,-,-,"222,500","199,629","199,629","199,629",-,-,870.636,870.636,870.636,-,"22,000","22,000","22,000",-,-,-,-,-,"17,998","17,998","8,828",-,"8,828","7,864","1,024",281.439,-,-,-,"17,998",-,"17,998","39,998","17,998","22,000","9,370",-,-,-
77,9/30/2003,"222,477","11,748","7,248",-,"6,215","1,033",-,-,"4,500","4,500",-,-,-,-,-,"30,324","30,324",-,-,"169,374","171,380",-,-,-,"171,380","2,006",-,921,921,921,-,"2,844",-,-,-,-,-,-,-,-,-,-,-,-,-,"7,266","205,258","176,801","157,126","157,126","19,675",-,396,396,396,-,-,-,-,"27,500","27,500",-,-,561,"17,219","17,219","9,733",-,"9,733","7,171",649,-334,-,"44,719",-,"17,219",-,"17,219","44,719","17,219","27,500","20,252","7,608","7,608",-
78,6/30/2003,"214,180","15,571","8,871",-,"7,609","1,262",-,-,"6,700","6,700",-,-,-,-,-,"35,616","35,616",-,-,"152,928","154,790",-,-,-,"154,790","1,862",-,843,843,843,-,"2,884",-,-,-,-,-,-,-,-,-,-,-,-,-,"6,338","196,594","172,700","156,087","156,087","16,613",-,468,468,468,-,-,-,-,"23,000","23,000",-,-,426,"17,586","17,586","9,649",-,"9,649","7,202",649,86,-,"40,586",-,"17,586",-,"17,586","40,586","17,586","23,000","14,129","7,608","7,608",-
79,3/31/2003,"204,719","11,108","8,708",-,"5,920","2,788",-,-,"2,400","2,400",-,-,-,-,-,"39,913","39,913",-,-,"143,506","145,343",-,-,-,"145,343","1,837",-,919,919,919,-,"2,840",-,-,-,-,-,-,-,-,-,-,-,-,-,"6,433","187,892","171,665","156,056","156,056","15,609",-,473,473,473,-,-,-,-,"15,500","15,500",-,-,254,"16,827","16,827","9,611",-,"9,611","6,704",649,-137,-,"32,327",-,"16,827",-,"16,827","32,327","16,827","15,500","6,792","7,608","7,608",-
