,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Credit Card,Other Customer Services,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Other Non Interest Expense,Special Income Charges,Restructuring & Mergers Acquisition,Write Off,Other Special Charges,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
63,9/30/2007,"5,362","4,890","8,128","7,632","7,632",410,1,54,31,"3,238","2,987",243,8,-,472,-,307,307,268,-,39,-,-,-,165,-160,"3,522",558,-,"2,121","2,121","2,121",-,-,843,-,-,-,-,"1,680",667,"1,013","1,013","1,013","1,013",-,"1,013",0.14,0.14,"7,103","7,103","4,730","1,013","1,013",55,-,"1,013",-,-,0,0
64,6/30/2007,"5,205","4,691","8,127","7,621","7,621",408,-,59,39,"3,436","2,848",579,9,-,514,-,306,306,275,-,31,-,-,-,208,-116,"3,456",553,-,"2,075","2,075","2,075",-,-,828,-,-,-,-,"1,633",630,"1,003","1,003","1,003","1,003",-,"1,003",0.14,0.14,"7,103","7,103","4,575","1,003","1,003",59,-,"1,003",-,-,0,0
65,3/31/2007,"5,141","4,632","7,958","7,512","7,512",386,2,27,31,"3,326","2,738",568,20,-,509,-,278,278,265,-,13,-,-,-,231,-170,"3,319",494,-,"2,078","2,078","2,078",-,-,747,-,-,-,-,"1,652",650,"1,002","1,002","1,002","1,002",-,"1,002",0.14,0.14,"7,103","7,103","4,462","1,002","1,002",29,-,"1,002",-,-,0,0
66,12/31/2006,"5,021","4,423","7,676","7,340","7,340",402.746,0.479,25.106,-,"3,253","2,907",313.933,32.259,-,597.789,-,477.218,477.218,235.545,-,241.673,-,-,-,120.571,26,"3,176",479.52,-,"1,925","1,925","1,925",-,-,771.623,-,-,-,-,"1,871",716.5,"1,155","1,155","1,155","1,155",-,"1,155",-,-,-,-,"4,449","1,155","1,155",25.585,-,"1,155",-,-,0,0
67,9/30/2006,"4,850","4,447","7,479","7,004","7,004",396,1,48,30,"3,032","2,860",160,12,-,403,-,241,241,240,-,1,-,-,-,162,-146,"3,075",449,-,"1,903","1,903","1,903",-,-,723,-,-,-,-,"1,629",632,997,997,997,997,-,997,0.14,0.14,"7,103","7,103","4,301",997,997,49,-,997,-,-,0,0
68,6/30/2006,"4,644","4,269","7,031","6,577","6,577",401,-,18,35,"2,762","2,646",112,4,-,375,-,212,212,211,-,1,-,-,-,163,-327,"2,914",434,-,"1,912","1,912","1,912",-,-,568,-,-,-,-,"1,403",532,871,871,871,871,-,871,0.12,0.12,"7,004","7,350","3,942",871,871,18,-,871,-,-,0,0
69,3/31/2006,"4,507","4,194","6,509","6,025","6,025",423,1,33,27,"2,315","2,222",85,8,-,313,-,181,181,179,-,2,-,-,-,132,-117,"3,019",387,-,"1,845","1,845","1,845",-,-,787,-,-,-,-,"1,371",532,839,839,839,839,-,839,0.12,0.12,"7,103","7,103","4,077",839,839,34,-,839,-,-,0,0
70,12/31/2005,"4,471","4,074","5,953","5,644","5,644",357.104,-,28.793,-,"1,879","1,654",222.424,2.538,-,397.303,-,459.101,459.101,467.101,-,-,-,-,-,-61.798,-286,"2,424",316.472,-,"1,605","1,605","1,605",-,-,502.477,-,-,-,-,"1,762",684,"1,078","1,078","1,078","1,078",-,"1,078",-,-,-,-,"3,788","1,078","1,078",26.793,-,"1,078",-,-,0,0
71,9/30/2005,"4,341","4,011","5,638","5,203","5,203",395,1,17,22,"1,627","1,471",150,6,-,330,-,180,180,178,-,2,-,-,-,150,-107,"2,401",298,-,"1,437","1,437","1,437",-,-,666,-,-,-,-,"1,833",709,"1,124","1,124","1,124","1,124",-,"1,124",0.16,0.15,"6,911","7,337","3,904","1,124","1,124",18,-,"1,124",-,-,0,0
72,6/30/2005,"3,857","3,567","4,999","4,655","4,655",293,1,21,29,"1,432","1,345",84,3,-,290,-,144,144,141,-,3,-,-,-,146,-148,"2,243",286,-,"1,396","1,396","1,396",-,-,561,-,-,-,-,"1,466",570,896,896,896,896,-,896,0.13,0.12,"6,911","7,337","3,419",896,896,22,-,896,-,-,0,0
73,3/31/2005,"3,807","3,509","4,855","4,383","4,383",367,-,81,24,"1,346","1,248",98,-,-,298,-,148,148,145,-,3,-,-,-,150,-164,"2,274",273,-,"1,367","1,367","1,367",-,-,634,-,-,-,-,"1,369",532,837,837,837,837,-,837,0.12,0.11,"6,894","7,314","3,345",837,837,81,-,837,-,-,0,0
74,12/31/2004,"3,804","3,409","4,499","4,269","4,269",281.271,2.366,7.463,-,"1,090",911.779,175.303,3.151,-,395.11,-,101.17,101.17,135.17,-,-,-,-,-,293.94,-239.5,"2,064",257.952,-,"1,210","1,210","1,210",-,-,595.313,-,-,-,-,"1,501",582.3,918.324,918.324,918.324,918.324,-,918.324,-,-,-,-,"3,169",918.324,918.324,9.829,-,918.324,-,-,0,0
75,9/30/2004,"3,635","3,323","4,230","3,838","3,838",363,2,5,22,907,767,138,2,-,312,-,157,157,143,-,14,-,-,-,155,-200,"2,007",203,-,"1,228","1,228","1,228",-,-,576,-,-,-,-,"1,428",552,876,876,876,876,-,876,0.13,0.12,"6,881","7,192","3,123",876,876,7,-,876,-,-,0,0
76,6/30/2004,"3,597","3,192","3,997","3,613","3,613",357,4,1,22,805,669,131,5,-,405,-,146,146,134,-,12,-,-,-,259,-310,"1,893",199,-,"1,175","1,175","1,175",-,-,519,-,-,-,-,"1,394",544,850,850,850,850,-,850,0.12,0.12,"6,819","7,141","2,882",850,850,5,-,850,-,-,0,0
77,3/31/2004,"3,152","2,812","3,620","3,264","3,264",326,5,8,17,808,698,110,-,-,340,-,142,142,134,-,8,-,-,-,198,-188,"1,976",195,-,"1,302","1,302","1,302",-,-,479,-,-,-,-,988,381,607,607,607,607,-,607,0.10,0.10,"6,019","6,342","2,624",607,607,13,-,607,-,-,0,0
78,12/31/2003,"3,155","2,730","3,529","3,254","3,254",314.076,4.625,3.138,-,799.557,663.316,-,-0.002,-,425.041,-,137.28,137.28,137.28,-,-,-0.318,-0.318,-,288.079,-180,"1,837",224.451,-,"1,126","1,126","1,126",-,-,486.86,-,-,-,-,"1,138",444,693.706,693.706,693.706,693.706,-,693.706,-,-,-,-,"2,550",693.706,693.706,7.763,-,693.706,-,-,0,0
79,9/30/2003,"3,010","2,434","3,234","2,888","2,888",316,6,7,17,800,652,147,1,-,576,-,132,132,132,-,-,57,57,-,387,-175,"1,762",204,-,"1,062","1,062","1,062",-,-,496,-,-,-,-,"1,073",416,657,657,657,657,-,657,0.12,0.12,"5,591","5,591","2,259",657,657,13,-,657,-,-,0,0
80,6/30/2003,"2,670","2,218","3,100","2,730","2,730",337,7,9,17,882,734,148,-,-,452,-,124,124,124,-,-,-,-,-,328,-150,"1,709",195,-,"1,035","1,035","1,035",-,-,479,-,-,-,-,811,312,499,499,499,499,-,499,0.09,0.09,"5,591","5,591","2,068",499,499,16,-,499,-,-,0,0
81,3/31/2003,"2,437","2,156","3,020","2,673","2,673",326,7,1,13,864,732,131,1,-,281,-,116,116,116,-,-,-,-,-,165,-150,"1,529",155,-,934,934,934,-,-,440,-,-,-,-,758,290,468,468,468,468,-,468,0.08,0.08,"5,591","5,591","2,006",468,468,8,-,468,-,-,0,0
82,3/31/2002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,401,401,401,401,-,401,0.07,0.07,"5,524","5,524",-,401,401,-,-,401,-,-,0,0
