,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Asset Impairment Charge,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Loans,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Capital Expenditure Reported,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Intangibles Purchase And Sale,Purchase of Intangibles,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
102,12/31/1997,"53,400","53,400","46,300",-,-,"16,600","16,600",-,-,-,"4,100","4,100","-12,600",-,-,-,-,-,-,-,-,"-298,600","-298,600",-,-,-,-,"33,700","-66,700","100,400",-,-,-,-,-,"-5,800",-,-,-,-,-,-,"-326,500","250,800","250,800","301,200",-100,-,-100,"301,300",-,0,-,-,-,-,"-5,300",-,-,"253,400",-,0,"5,500",0,"-5,500",-,-,"-5,800",-,-,-100,-,"47,600"
103,9/30/1997,"108,200","108,200","45,800",-,-,"8,700","8,700",-,-,-,"-6,300","-6,300","60,000",-,-,-,-,-,-,-,-,"-326,000","-326,000",-,-,-,-,"17,900","-77,400","95,300",-,-,-,-,-,"-1,800",-,-,-,-,-,-,"-342,100","153,700","153,700","157,300",0,-,0,"157,300",-,"-19,100",-,0,-,-,"-5,200",-,-,"2,900",-,0,"-64,000",0,"64,000",-,-,"-1,800",-,-,0,-,"106,400"
104,6/30/1997,"42,500","42,500","42,800",-,-,"8,700","8,700",-,-,-,"-4,100","-4,100","-4,900",-,-,-,-,-,-,-,-,"-203,900","-203,900",-,-,-,-,"-44,100","-206,400","162,300",-,-,-,-,-,"-3,700",-,-,-,-,-,-,"-156,100","209,100","209,100","-512,700",0,-,0,"-512,700",-,"-19,200",-,"100,000",-,-,"-5,300",-,-,"-5,700",-,0,"47,700",0,"-47,700",-,-,"-3,700",-,-,0,-,"38,800"
105,3/31/1997,"155,300","155,300","41,300",-,-,"8,400","8,400",-,-,-,"-1,000","-1,000","106,600",-,-,-,-,-,-,-,-,"-190,000","-190,000",-,-,-,-,"-131,900","-335,800","203,900",-,-,-,-,-,"-2,000",-,-,-,-,-,-,"-56,100","-17,600","-17,600","-23,900",-100,-,-100,"-23,800",-,"-29,500",-,"150,000",-,-,"-5,400",-,-,"3,600",-,0,"-52,300","450,000","-397,700",-,-,"-2,000",-,-,-100,-,"153,300"
106,12/31/1996,"64,000","64,000","40,400",-,-,"7,000","7,000",-,-,-,-,-,"28,000",-,-,-,-,-,-,-,-,"-86,100","-86,100",-,-,-,-,"204,500","-38,300","242,800",-,-,-,-,-,"-8,500",-,-,-,-,-,-,"-282,100","49,800","49,800","112,900","-10,200",-,"-10,200","123,100",-,"-16,700",-,-,-,-,"-4,700",-,-,"-1,300",-,0,"27,800",0,"-27,800",-,-,"-8,500",-,-,"-10,200",-,"55,500"
107,9/30/1996,"92,800","92,800","35,900",-,-,"8,000","8,000",-,-,-,-,-,"47,200",-,-,"-4,500",-,-,-,-,-,"-290,600","-290,600",-,-,-,-,"139,800","-54,000","193,800",-,-,-,-,-,"-4,900",-,-,-,-,-,-,"-425,500","220,700","220,700","-118,700","-2,100",-,"-2,100","-116,600",-,"-21,200",-,-,-,-,"-4,700",-,-,"4,700",-,0,"22,800",0,"-22,800",-,-,"-4,900",-,-,"-2,100",-,"87,900"
108,6/30/1996,"52,400","52,400","38,600",-,-,"7,600","7,600",-,-,-,"-1,700","-1,700","5,900",-,-,-,-,-,-,-,-,"76,500","76,500",-,-,-,-,"281,800","-44,300","326,100",-,-,-,-,-,"-3,200",-,-,-,-,-,-,"-202,100","-155,300","-155,300","-613,100",-200,-,-200,"-612,900",-,"-14,500",-,-,-,-,"-4,800",-,-,"3,700",-,0,"-26,400",0,"26,400",-,-,"-3,200",-,-,-200,-,"49,200"
109,3/31/1996,"25,000","25,000","36,200",-,-,"7,400","7,400",-,-,-,"-4,500","-4,500","-14,100",-,-,-,-,-,-,-,-,"-627,300","-627,300",-,-,-,-,"-346,700","-453,800","107,100",-,-,-,-,-,"-3,700",-,-,-,-,-,-,"-276,900","664,000","664,000","458,700","-2,400",-,"-2,400","461,100",-,"-28,400",-,-,-,-,"-5,300",-,-,"-9,500",-,0,"61,700","364,100","-425,800",-,-,"-3,700",-,-,"-2,400",-,"21,300"
110,12/31/1995,"73,100","73,100","36,800","-13,400","-1,300","11,400","11,400",-,-,-,"2,100","2,100","36,200",-,-,-,-,-,-,-,-,"-176,100","-176,100",-,-,-,-,"195,900","15,200","180,700",-,-,-,-,-,"-7,000",-,-,-,-,-,-,"-365,000","157,100","157,100","-128,600","-3,400",0,"-3,400","-125,200",-,"-3,300",-,-,-,-,"-5,400",-,-,"-4,400",-,0,"54,100",0,"-54,100",-,-,"-7,000",-,0,"-3,400",-,"66,100"
111,9/30/1995,"43,500","43,500","35,600","29,200","28,900","4,900","4,900",-,-,-,"-2,000","-2,000","-24,200",-,-,-,-,-,-,-,-,"-23,800","-23,800",-,-,-,-,"199,600","-230,800","430,400",-,-,-,-,-,"-4,600",-,-,-,-,-,-,"-218,800","-18,100","-18,100","-224,500","100,000",-,0,"-324,500",-,"-11,400",-,-,-,-,"-4,800",-,-,"3,200",-,0,"1,500",0,"-1,500",-,-,"-4,600",-,-,0,-,"38,900"
112,6/30/1995,"-26,900","-26,900","31,400","1,300","1,400","4,700","4,700",-,-,-,"-2,500","-2,500","-61,800",-,-,-,-,-,-,-,-,"-387,500","-387,500",-,-,-,-,"-77,300","-187,500","110,200",-,-,-,-,-,"-3,200",-,-,-,-,-,-,"-307,000","288,200","288,200","479,200",-,-,-,"479,300",-,"-10,700",-,-,-,-,"-4,700",-,-,"3,400",0,0,"-126,200",0,"126,200",-,-,"-3,200",-,-,-,-,"-30,100"
113,3/31/1995,"18,800","18,800","27,200","-31,500","-31,300","4,800","4,800",-,-,-,"-5,000","-5,000","23,300",-,-,-,-,-,-,-,-,"-595,300","-595,300",-,-,-,-,"-225,300","-314,400","89,100",-,-,-,-,-,"-2,700",-,-,-,-,-,-,"-367,300","630,300","630,300","-154,200",-,-,-,"-154,200",-,"-12,000",-,-,-,-,"-4,900",-,-,"1,000",100,0,"53,900","380,900","-434,800",-,-,"-2,700",-,-,-,-,"16,100"
114,12/31/1994,"62,500","62,500","31,900",-,-,"4,300","4,300",-,-,-,"17,400","17,400","154,800",-,-,-,-,-,-,-,-,"15,700","15,700",-,-,-,-,"611,200","474,900","136,300",-,-,-,-,-,"-3,300",-,-,-,-,-,-,"-592,200","-357,700","-357,700","-755,700",0,-,0,"-755,700",-,"-4,300",-,-,-,-,"-4,800",-,-,"2,500",-,0,"-279,500",0,"279,500",-,-,"-3,300",-,-,0,-,"59,200"
115,9/30/1994,"68,600","68,600","29,100",-,-,"4,400","4,400",-,-,-,"-4,700","-4,700","16,800",-,-,"23,000",-,-,-,-,-,"216,200","216,200",-,-,-,-,"-409,800","-538,100","128,300",-,-,-,-,-,"-1,500",-,-,-,-,-,-,"627,500","-61,100","-61,100","-122,400",0,-,0,"-122,400",-,"-17,600",-,-,-,-,"-4,900",-,-,"-2,800",-,0,"223,600",0,"-223,600",-,-,"-1,500",-,-,0,-,"67,100"
116,6/30/1994,"39,700","39,700","28,700",-,-,"4,600","4,600",-,-,-,"-5,100","-5,100","-112,500",-,-,"120,500",-,-,-,-,-,"-444,400","-444,400",-,-,-,-,"139,200","-17,500","156,700",-,-,-,-,-,900,-,-,-,-,-,-,"-584,500","-61,700","-61,700","12,100",-,-,-,"12,200",-,"-15,800",-,-,-,-,"-4,300",-,-,-500,200,0,"-466,200",0,"466,200",-,-,-,-,-,-,-,"40,600"
117,3/31/1994,"166,400","166,400","27,600","-3,500","-1,400","4,300","4,300",-,-,-,"-10,500","-10,500","146,400",-,-,"2,100",-,-,-,-,-,"189,100","189,100",-,-,-,-,"240,300","-16,400","256,700",-,-,-,-,-,"-3,000",-,-,-,-,-,-,"-48,200","22,300","22,300","58,100",-,-,-,"58,100",-,"-6,300",-,-,-,-,"-4,300",-,-,"-1,100",-100,0,"377,700","525,200","-902,900",-,-,"-3,000",-,-,-,-,"163,400"
118,12/31/1993,"23,200","23,200","26,600",-,-,"4,100","4,100",-,-,-,"-3,100","-3,100","-47,200",-,-,-,-,-,-,-,-,"104,100","104,100",-,-,-,-,"257,700","-289,200","546,900",-,-,-,-,-,"-6,600",-,-,-,-,-,-,"-147,000","-592,500","-592,500","-400,200",0,-,0,"-400,200",-,-,-,-,-,-,"-4,400",-,-,"-3,500",-,0,"-465,300",0,"465,300",-,-,"-6,600",-,-,0,-,"16,600"
119,9/30/1993,"110,500","110,500","25,900",-,-,"4,100","4,100",-,-,-,"-9,300","-9,300","80,300",-,-,-,-,-,-,-,-,"43,600","43,600",-,-,-,-,"107,800","-235,800","343,600",-,-,-,-,-,"-5,900",-,-,-,-,-,-,"-58,300","434,000","434,000","504,500",-,-,-,"504,600",-,-,-,-,-,-,"-4,300",-,-,"-13,300",-,0,"588,200",0,"-588,200",-,-,"-5,900",-,-,-,-,"104,600"
120,6/30/1993,"-109,200","-109,200","25,200",-,-,"3,900","3,900",-,-,-,"-4,100","-4,100","-65,500",-,-,"-68,700",-,-,-,-,-,"-1,001,800","-1,001,800",-,-,-,-,"-1,014,800","-1,295,800","281,000",-,-,-,-,-,"-5,400",-,-,-,-,-,-,"18,400","22,200","22,200","222,600",-,-,-,"222,600",-,-,-,-,-,-,"-4,400",-,-,400,-,0,"-1,088,700",0,"1,088,700",-,-,"-5,400",-,-,-,-,"-114,600"
121,3/31/1993,"160,300","160,300","24,300",-,-,"4,100","4,100",-,-,-,"-7,200","-7,200","79,900",-,-,"59,200",-,-,-,-,-,"-39,200","-39,200",-,-,-,-,"-8,200","-190,600","182,400",-,-,-,-,-,"-4,400",-,-,-,-,-,-,"-26,600","793,100","793,100","1,082,000",-,-,-,"1,082,000",-,-,-,-,-,-,"-3,600",-,-,"3,500",-100,0,"914,100","577,000","-1,491,100",-,-,"-4,400",-,-,-,-,"155,900"
122,12/31/1992,"17,400","17,400","21,600",-,-,"27,100","27,100",-,-,-,"-2,800","-2,800","-206,300",-,-,-,-,-,-,-,-,"56,200","56,200",-,-,-,-,"168,900","-204,300","373,200",-,-,-,-,-,"-5,000",-,-,-,-,-,-,"-107,700","-687,200","-687,200","-576,600","73,600",-,"-1,400","-650,200",-,-,-,-,-,-,"-3,600",-,-,"-26,100",-,0,"-613,600",0,"613,600",-,-,"-5,000",-,-,"-1,400",-,"12,400"
123,9/30/1992,"181,800","181,800","21,000",-,-,"3,400","3,400",-,-,-,"-7,100","-7,100","147,800",-,-,-,-,-,-,-,-,"195,500","195,500",-,-,-,-,"146,100","-147,300","293,400",-,-,-,-,-,"-19,200",-,-,-,-,-,-,"68,600","184,800","184,800","421,400",0,-,0,"421,400",-,-,-,-,-,-,"-3,600",-,-,"45,800",-,0,"562,200",0,"-562,200",-,-,"-19,200",-,-,0,-,"162,600"
124,6/30/1992,"147,500","147,500","27,800",-,-,"2,700","2,700",-,-,-,"-8,600","-8,600","90,600",-,-,-,-,-,-,-,-,"199,900","199,900",-,-,-,-,"402,200","-487,300","889,500",-,-,-,-,-,"-3,400",-,-,-,-,-,-,"-198,900","-270,200","-270,200","-231,600",-,-,-,"-231,400",-,-,-,-,-,-,"-3,600",-,-,"-2,300",-,0,"77,100",0,"-77,100",-,-,"-3,400",-,-,-,-,"144,100"
125,3/31/1992,"-29,400","-29,400","27,500","-51,700","-51,700","2,900","2,900",-,-,-,"-9,400","-9,400","1,300",-,-,-,-,-,-,-,-,"443,300","443,300",-,-,-,-,"321,200","-62,300","383,500",-,-,-,-,-,"-4,700",-,-,-,-,-,-,"126,800","-199,200","-199,200","121,900",-,-,-,"121,900",-,-,-,-,-,-,"-3,600",-,-,"-9,000",-,0,"214,700","336,500","-551,200",-,-,"-4,700",-,-,-,-,"-34,100"
126,12/31/1991,"21,000","21,000","18,200","-164,500",-,"2,600","2,600",-,-,-,"-1,300","-1,300","8,000",-,-,-,-,-,-,-,-,"-426,700","-426,700",-,-,-,-,"-384,600","-707,500","322,900",-,-,-,-,-,"-12,900",-,-,-,-,-,-,"-29,200","375,400","375,400","553,800",-800,-,-800,"554,600",-,-,-,0,-,-,"-3,200",-,-,"6,300",-,0,"-30,200",0,"30,200",-,-,"-12,900",-,-,-800,-,"8,100"
127,9/30/1991,"36,200","36,200","17,400","30,100","30,100","2,700","2,700",-,-,-,-400,-400,"-1,400",-,-,-,-,-,-,-,-,"720,100","720,100",-,-,-,-,"399,500","-206,300","605,800",-,-,-,-,-,"-7,800",-,-,-,-,-,-,"328,400","-897,000","-897,000","-450,800",0,-,0,"-450,800",-,-,-,0,-,-,"-3,300",-,-,"-1,400",-,0,"-140,800",0,"140,800",-,-,"-7,800",-,-,0,-,"28,400"
128,6/30/1991,"37,600","37,600","16,300","4,300","4,300","2,100","2,100",-,-,-,"3,000","3,000","12,100",-,-,-200,-,-,-,-,-,"181,700","181,700",-,-,-,-,"-149,400","-208,900","59,500",-,-,-,-,-,"-4,800",-,-,-,-,-,-,"335,900","89,200","89,200","174,700",-,-,-,"174,800",-,-,-,0,-,-,"-3,200",-,-,"8,100",-,0,"308,500",0,"-308,500",-,-,"-4,800",-,-,-,-,"32,800"
129,3/31/1991,"164,900","164,900","15,300","122,300","122,300","2,200","2,200",-,-,-,"2,000","2,000","10,700",-,-,"12,400",-,-,-,-,-,"122,500","122,500",-,-,-,-,"143,800","-192,500","336,300",-,-,-,-,-,"-3,400",-,-,-,-,-,-,"-17,900","-389,700","-389,700","-228,000",-,-,-,"-228,000",-,-,-,"40,000",-,-,"-2,500",-,-,"-31,900",-,0,"-102,300","301,300","-199,000",-,-,"-3,400",-,-,-,-,"161,500"
130,12/31/1990,"-72,900","-72,900","12,900",-,-,"2,000","2,000",-,-,-,"1,000","1,000","9,600",-,-,"-23,600",-,-,-,-,-,"298,800","298,800",-,-,-,-,"-385,300","-411,300","26,000",-,-,-,-,-,"-1,700",-,-,-,-,-,-,"685,800","-152,100","-152,100","-227,100",-800,-,-800,"-226,300",-,0,-,-,-,-,"-2,300",-,-,"41,900",-,0,"73,800",0,"-73,800",-,-,"-1,700",-,-,-800,-,"-74,600"
131,9/30/1990,"8,200","8,200","14,400","-27,600","-27,600","2,600","2,600",-,-,-,"2,100","2,100","7,500",-,-,"9,200",-,-,-,-,-,"-135,800","-135,800",-,-,-,-,"-81,200","-102,700","21,500",-,-,-,-,-,"-2,000",-,-,-,-,-,-,"-52,600","80,300","80,300","210,000",-200,-,-200,"210,200",-,0,-,-,-,-,"-2,000",-,-,"-8,700",-,0,"-47,300",0,"47,300",-,-,"-2,000",-,-,-200,-,"6,200"
132,6/30/1990,"49,400","49,400","13,800","21,000","21,000","1,800","1,800",-,-,-,"3,300","3,300","6,600",-,-,"2,900",-,-,-,-,-,"-64,000","-64,000",-,-,-,-,"135,700","-58,500","194,200",-,-,-,-,-,"-2,000",-,-,-,-,-,-,"-197,700","22,100","22,100","153,500",-,-,-,"162,400",-,"-1,000",-,-,-,-,"-2,000",-,-,"-13,800",-,0,"7,500",0,"-7,500",-,-,"-2,000",-,-,-,-,"47,400"
133,3/31/1990,"99,000","99,000","12,800","81,400","81,400","1,700","1,700",-,-,-,"3,000","3,000","5,300",-,-,"-5,200",-,-,-,-,-,"144,500","144,500",-,-,-,-,"52,800","-54,200","107,000",-,-,-,-,-,"-1,800",-,-,-,-,-,-,"93,500","-269,700","-269,700","-75,600",-,-,-,"-75,600",-,"-15,600",-,-,-,-,"-2,000",-,-,"-7,500",-,0,"-26,200","293,600","-267,400",-,-,"-1,800",-,-,-,-,"97,200"
134,12/31/1989,"82,800","82,800","12,500",-,-,"1,600","1,600",-,-,-,"4,200","4,200","-66,900",-,-,"14,700",-,-,-,-,-,"-131,800","-131,800",-,-,-,-,"-250,400","926,900","-1,177,300",-,-,-,-,-,"-1,900",-,-,-,-,-,-,"120,500","19,700","19,700","-9,900",-300,-,-300,"-9,600",-,"-7,600",-,-,-,-,"-2,000",-,-,"2,600",0,0,"-29,300",0,"29,300",-,-,"-1,900",-,-,-300,-,"80,900"
135,9/30/1989,"-24,400","-24,400","12,900","-47,100","-47,100","1,800","1,800",-,-,-,"3,000","3,000","3,200",-,-,"1,800",-,-,-,-,-,"-127,300","-127,300",-,-,-,-,"-20,300","-466,600","446,300",-,-,-,-,-,-700,-,-,-,-,-,-,"-106,300","189,300","189,300","163,200",-100,-,-100,"163,300",-,"-3,600",-,-,-,-,"-2,100",-,-,"4,900",-,0,"37,700",0,"-37,700",-,-,-700,-,-,-100,-,"-25,100"
