,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Net Loan,Gross Loan,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Deferred Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Accounts Payable,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Non Current Deferred Liabilities,Non Current Deferred Revenue,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number,Treasury Shares Number
125,12/31/1991,"9,171,100","336,500","336,500",-,-,"336,500",-,-,-,-,"2,629,000","43,000","2,586,000",-,-,"5,946,300","6,206,700",-,-,-,"6,206,700","100,300","-160,100","170,500","170,500","170,500",-,"88,800",-,-,-,-,-,-,-,-,-,-,-,-,"8,635,300","7,474,300","7,474,300","7,474,300",-,"492,900",-,-,"129,100","129,100","129,100",-,"529,500","529,500","529,500","9,500","8,600",-,900,-,-,-,"535,800","535,800","40,000","40,000",-,"426,400",-,-,-,"69,400","544,400","40,000","495,800",900,"535,800","1,033,900","495,800","539,000","201,600","67,210","67,210",-,-
126,9/30/1991,"8,805,400","1,950,700","407,100",-,"366,700","40,400","1,543,600","1,543,600",-,-,"591,600","69,700","521,900",-,-,"6,003,900","6,273,300",-,-,-,"6,273,300","101,800","-167,600","170,700","170,700","170,700",-,"88,600",-,-,-,-,-,-,-,-,-,-,-,-100,"8,284,900","7,655,800","7,006,300","7,006,300","649,500","392,000",-,-,"151,000","151,000","151,000",-,"75,800","75,800","75,800","10,300","9,400",-,900,-,-,-,"520,500","520,500","40,000","40,000",-,"411,500",-,-,-,"69,000","529,900","40,000","480,500",900,"520,500","565,700","480,500","86,100",-,"67,210","67,210",-,-
127,6/30/1991,"9,665,500","2,249,600","970,000",-,"507,500","462,500","1,279,600","1,279,600",-,-,"862,900","556,700","306,200",-,-,"6,309,200","6,534,600",-,-,-,"6,534,600","89,800","-135,600",-,-,-,-,"76,400",-,-,-,-,-,-,-,-,-,-,-,"167,400","9,159,900","8,097,200","7,466,600","7,466,600","630,600","582,200",-,-,-,-,-,-,"336,400","336,400","336,400","10,200","9,300",-,900,-,-,"133,900","505,600","505,600","40,000","40,000",-,"397,400",-,-,-,"68,200","514,900","40,000","465,600",900,"505,600","811,300","465,600","346,600",-,"67,210","67,210",-,-
128,3/31/1991,"7,390,800","1,592,800","317,500",-,"199,100","118,400","1,275,300","1,275,300",-,-,"292,600","3,000","289,600",-,-,"5,289,100","5,492,600",-,-,-,"5,492,600","79,700","-123,800",-,-,-,-,"66,700",-,-,-,-,-,-,-,-,-,-,-,"149,600","6,900,300","6,033,800","5,525,100","5,525,100","508,700","593,100",-,-,-,-,-,-,"150,700","150,700","150,700","3,200","2,200",-,"1,000",-,-,"119,500","490,500","490,500","40,000","40,000",-,"384,300",-,-,-,"66,200","492,700","40,000","450,500","1,000","490,500","603,400","450,500","153,900",-,"67,210","67,210",-,-
129,12/31/1990,"7,715,400","704,700","704,700",-,"301,300","403,400",-,-,-,-,"1,548,500","125,300","1,423,200",-,-,"5,297,900","5,502,100",-,-,-,"5,502,100","75,000","-129,200",-,-,-,-,"65,600",-,-,-,-,-,-,-,-,-,-,-,"98,700","7,278,200","6,201,000","5,578,500","5,578,500","622,500","545,700",-,-,-,-,-,-,"426,100","426,100","426,100","3,200","2,200",-,"1,000",-,-,"102,200","437,200","437,200",-,-,-,"371,400",-,-,-,"65,800","439,400",-,"437,200","1,000","437,200","865,500","437,200","429,300",-,"67,210","67,210",-,-
130,9/30/1990,"7,922,200","2,203,000","1,174,700",-,"227,600","947,100","1,028,300","1,028,300",-,-,"139,300","52,700","86,600",-,-,"5,389,100","5,589,000",-,-,-,"5,589,000","70,600","-129,300",-,-,-,-,"65,800",-,-,-,-,-,-,-,-,-,-,-,"125,000","7,496,500","6,189,700","5,639,700","5,639,700","550,000","1,034,500",-,-,-,-,-,-,"163,700","163,700","163,700","4,000","3,000",-,"1,000",-,-,"104,600","425,700","425,700",-,-,-,"360,800",-,-,-,"64,900","428,700",-,"425,700","1,000","425,700","592,400","425,700","167,700",-,"67,210","67,210",-,-
131,6/30/1990,"6,569,100","1,380,800","424,900",-,"274,800","150,100","955,900","955,900",-,-,"116,700","25,100","91,600",-,-,"4,856,500","5,049,400",-,-,-,"5,049,400","65,800","-127,100",-,-,-,-,"66,400",-,-,-,-,-,-,-,-,-,-,-,"148,700","6,156,200","5,065,800","4,523,600","4,523,600","542,200","722,400",-,-,-,-,-,-,"265,400","265,400","265,400","4,100","3,100",-,"1,000",-,-,"98,500","412,900","412,900",-,-,-,"348,400",-,-,-,"64,500","416,000",-,"412,900","1,000","412,900","681,400","412,900","269,500",-,"67,210","67,210",-,-
132,3/31/1990,"6,526,000","1,511,000","456,700",-,"267,400","189,300","1,054,300","1,054,300",-,-,"141,900","46,100","95,800",-,-,"4,693,500","4,879,000",-,-,-,"4,879,000","61,600","-123,900",-,-,-,-,"66,300",-,-,-,-,-,-,-,-,-,-,-,"113,300","6,124,100","5,180,200","4,685,100","4,685,100","495,100","734,100",-,-,-,-,-,-,"91,400","91,400","91,400","13,100","12,000",-,"1,100",-,-,"105,300","401,900","401,900",-,-,-,"336,500",-,-,-,"65,400","413,900",-,"401,900","1,100","401,900","505,300","401,900","104,500",-,"67,210","67,210",-,-
133,12/31/1989,"6,233,800","541,000","541,000",-,"293,600","247,400",-,-,-,-,"1,209,300","72,600","1,136,700",-,-,"4,315,600","4,498,800",-,-,-,"4,498,800","58,000","-125,200",-,-,-,-,"61,800",-,-,-,-,-,-,-,-,-,-,-,"106,100","5,827,500","4,870,600","4,348,600","4,348,600","522,000","768,400",-,-,-,-,-,-,"66,200","66,200","66,200","13,100","12,000",-,"1,100",-,-,"109,200","406,300","406,300",-,-,-,"325,800",-,-,-,"80,500","418,300",-,"406,300","1,100","406,300","484,500","406,300","79,300",-,"67,210","67,210",-,-
134,9/30/1989,"6,194,200","1,628,500","580,300",-,"322,800","257,500","1,048,200","1,048,200",-,-,"225,400","122,500","102,900",-,-,"4,174,700","4,359,200",-,-,-,"4,359,200","56,500","-128,000","104,100","104,100","104,100",-,"61,500",-,-,-,-,-,-,-,-,-,-,-,-,"5,781,800","4,834,000","4,341,800","4,341,800","492,200","723,000",-,-,-,-,-,-,"121,300","121,300","121,300","13,300","12,200",-,"1,100",-,-,"90,200","412,400","412,400",-,-,-,"324,800",-,-,-,"87,600","424,600",-,"412,400","1,100","412,400","545,900","412,400","134,600",-,"67,210","67,210",-,-
135,6/30/1989,"5,977,300","1,563,600","622,900",-,"285,200","337,700","940,700","940,700",-,-,"184,700","75,400","109,300",-,-,"4,053,500","4,231,500",-,-,-,"4,231,500","123,100","-54,900","113,000","113,000","113,000",-,"62,500",-,-,-,-,-,-,-,-,-,-,-,-,"5,573,400","4,806,800","4,324,600","4,324,600","482,200","367,700",-,-,-,-,-,-,"313,300","313,300","313,300","13,500","12,300",-,"1,200",-,-,"72,100","403,900","403,900",-,-,-,"314,000",-,-,-,"89,900","416,200",-,"403,900","1,200","403,900","729,500","403,900","326,800",-,"67,210","67,210",-,-
