,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Other Customer Services,Fees & Commission Expense,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Special Income Charges,Gain on Sale of Business,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
68,6/30/2006,"2,906,995","1,197,082","1,897,157","1,616,937","1,616,937","167,804",-,"112,416","700,075","416,232",-,"283,843",-,-,"1,709,913","413,398","413,398",-,-,-,-,-,-,-,-,"1,296,515","-362,445","1,680,897","52,753",-,-,-,"893,160","536,465","536,465",-,-,"356,695",-,-,-,-,"734,984",-,-,-,-,-,-,"863,653","311,066","552,587","552,587","552,587","552,587",-,-,-,"552,587",1.84,1.78,"300,319","310,442","834,637","552,587","552,587",-,"129,226","552,587",-,-,0,0
69,3/31/2006,"3,065,128","1,206,877","1,878,582","1,612,622","1,612,622","165,100",-,"100,860","671,705","403,609",-,"268,096",-,-,"1,858,251","435,731","435,731",-,-,-,-,-,-,-,-,"1,422,520","-170,270","1,573,479","49,377",-,-,-,"839,915","516,144","516,144",-,-,"323,771",-,-,-,-,"684,187",-,-,-,-,-,-,"1,321,379","438,040","883,339","883,339","883,339","883,339",-,-,-,"883,339",2.95,2.86,"299,437","308,860","1,036,607","883,339","883,339",-,"124,994","883,339",-,-,0,0
70,12/31/2005,"2,702,513","1,036,999","1,634,098","1,408,545","1,408,545","119,189",-,"106,364","597,099","344,063",-,"253,036",-,-,"1,665,514","313,833","313,833",-,-,-,-,-,-,-,-,"1,351,681","-565,674","1,689,186","-202,419",-,-,-,"907,225","459,788","459,788",-,-,"447,437",-,-,-,-,"984,380",-,-,-,-,-,-,"447,653","167,335","280,318","280,318","280,318","280,318",-,-,-,"280,318",-,-,-,-,"471,325","280,318","280,318",-,"119,103","280,318",-,-,0,0
71,9/30/2005,"2,504,835","910,219","1,404,615","1,228,160","1,228,160","87,978",-,"88,477","494,396","285,611",-,"208,785",-,-,"1,594,616","381,381","381,381",-,-,-,-,-,-,-,-,"1,213,235","-374,167","1,365,638","126,292",-,-,-,"758,056","414,348","414,348",-,-,"343,708",-,-,-,-,"481,290",-,-,-,-,-,-,"765,030","273,881","491,149","491,149","491,149","491,149",-,-,-,"491,149",1.88,1.81,"261,249","271,353","536,052","491,149","491,149",-,"110,021","491,149",-,-,0,0
72,6/30/2005,"2,454,499","872,503","1,351,900","1,190,098","1,190,098","91,245",-,"70,557","479,397","279,438",-,"199,959",-,-,"1,581,996","360,410","360,410",-,-,-,-,-,-,-,-,"1,221,586","-291,600","1,335,617","123,870",-,-,-,"719,135","442,101","442,101",-,-,"277,034",-,-,-,-,"492,612",-,-,-,-,-,-,"827,282","296,164","531,118","531,118","531,118","531,118",-,-,-,"531,118",2.10,2.03,"252,913","261,634","580,903","531,118","531,118",-,"106,661","531,118",-,-,0,0
73,3/31/2005,"2,376,500","860,521","1,336,268","1,184,036","1,184,036","90,164",-,"62,068","475,747","264,025",-,"211,722",-,-,"1,515,979","401,186","401,186",-,-,-,-,-,-,-,-,"1,114,793","-259,631","1,327,832","17,901",-,-,-,"745,260","433,501","433,501",-,-,"311,759",-,-,-,-,"564,671",-,-,-,-,-,-,"789,037","282,475","506,562","506,562","506,562","506,562",-,-,-,"506,562",2.08,1.99,"243,539","254,554","600,890","506,562","506,562",-,"89,855","506,562",-,-,0,0
74,12/31/2004,"2,306,139","784,564","1,249,330","1,097,041","1,097,041","88,085",-,"64,204","464,766","267,706",-,"197,060",-,-,"1,521,575","4,017,856","4,017,856",-,-,-,-,-,-,-,-,"-2,496,281","-467,133","1,556,527","148,821",-,-,-,"893,788","382,646","382,646",-,-,"511,142",-,-,-,-,"513,918",-,-,-,-,-,-,"282,479","87,351","195,128","195,128","195,128","195,128",-,-,-,"195,128",-,-,-,-,"317,431","195,128","195,128",-,"91,473","195,128",-,-,0,0
75,9/30/2004,"2,314,759","775,375","1,228,413","1,083,286","1,083,286","84,492",-,"60,635","453,038","257,349",-,"195,689",-,-,"1,539,384","385,648","385,648",-,-,-,-,-,-,-,-,"1,153,736","-267,795","1,311,984","135,597",-,-,-,"733,641","415,988","415,988",-,-,"317,653",-,-,-,-,"442,746",-,-,-,-,-,-,"734,980","244,819","490,161","490,161","490,161","490,161",-,-,-,"490,161",2.07,1.97,"236,793","248,813","507,580","490,161","490,161",-,"92,978","490,161",-,-,0,0
76,6/30/2004,"2,107,081","711,017","1,151,946","1,019,076","1,019,076","76,081",-,"56,789","440,929","244,978",-,"195,951",-,-,"1,396,064","368,469","368,469",-,-,-,-,-,-,-,-,"1,027,595","-242,256","1,228,812","145,076",-,-,-,"673,533","419,695","419,695",-,-,"253,838",-,-,-,-,"410,203",-,-,-,-,-,-,"636,013","228,626","407,387","407,387","407,387","407,387",-,-,-,"407,387",1.74,1.65,"234,130","246,901","468,761","407,387","407,387",-,"101,118","407,387",-,-,0,0
77,3/31/2004,"2,175,156","732,022","1,164,731","1,035,017","1,035,017","63,716",-,"65,998","432,709","239,512",-,"193,197",-,-,"1,443,134","354,493","354,493",-,-,-,-,-,-,-,-,"1,088,641","-243,668","1,224,896","127,040",-,-,-,"679,539","424,392","424,392",-,-,"255,147",-,-,-,-,"418,317",-,-,-,-,-,-,"706,592","255,786","450,806","450,806","450,806","450,806",-,-,-,"450,806",1.94,1.84,"232,374","245,003","488,354","450,806","450,806",-,"96,283","450,806",-,-,0,0
78,12/31/2003,"2,101,592","664,101","1,087,783","969,571","969,571","52,328",-,"65,884","423,682","237,624","62,649","123,409",-,-,"1,437,491","380,926","380,926",-,-,-,-,-,-,-,-,"1,056,565","-390,405","1,292,644","135,449",-,-,-,"702,201","412,056","412,056",-,-,"290,145",-,-,-,-,"454,994",-,-,-,-,-,-,"418,543","154,861","263,682","263,682","263,682","263,682",-,0,-,"263,682",-,-,-,-,"273,696","263,682","263,682",-,"100,889","263,682",-,-,0,0
79,9/30/2003,"2,067,129","703,921","1,103,025","989,318","989,318","49,440",-,"64,267","399,104","224,078","60,037","114,989",-,-,"1,363,208","405,063","405,063",-,-,-,-,-,-,-,-,"958,145","-364,144","1,240,597","135,958",-,-,-,"703,679","387,653","387,653",-,-,"316,026",-,-,-,-,"400,960",-,-,-,-,-,-,"462,388","171,084","276,267","276,267","276,267","291,304",-,"-15,037",-,"276,267",1.23,1.17,"224,607","236,126","339,777","291,304","291,304",-,"96,962","291,304",-,-,0,0
80,6/30/2003,"1,992,885","682,263","1,070,280","960,124","960,124","47,895",-,"62,261","388,017","220,640","61,226","106,151",-,-,"1,310,622","402,970","402,970",-,-,-,-,-,-,-,-,"907,652","-387,097","1,150,568","42,755",-,-,-,"643,812","373,257","373,257",-,-,"270,555",-,-,-,-,"464,001",-,-,-,-,-,-,"455,220","168,431","286,789","286,789","286,789","286,789",-,-,-,"286,789",1.28,1.23,"223,567","232,655","295,166","286,789","286,789",-,"93,249","286,789",-,-,0,0
81,3/31/2003,"2,039,407","734,804","1,106,566","1,028,891","1,028,891","42,931",-,"34,744","371,762","209,308","104,097","58,357",-,-,"1,304,603","441,226","441,226",-,-,-,-,-,-,-,-,"863,377","-375,851","1,172,914","43,574",-,-,-,"639,145","397,449","397,449",-,-,"241,696",-,-,-,-,"490,195",-,-,-,-,-,-,"490,642","181,538","309,104","309,104","309,104","309,104",-,-,-,"309,104",1.38,1.35,"223,524","228,491","358,953","309,104","309,104",-,"92,916","309,104",-,-,0,0
82,12/31/2002,"2,051,354","731,032","1,113,664","1,031,675","1,031,675","50,283",-,"31,706","382,632","215,144","59,014","108,474",-,-,"1,320,322","304,634","304,634",-,-,-,-,-,-,-,-,"1,015,688","-543,758","1,121,020","142,896",-,-,-,"591,447","380,600","380,600",-,-,"210,847",-,-,-,-,"386,677",-,-,-,-,-,-,"386,576","146,899","239,677","239,677","239,677","239,677",-,-,-,"239,677",-,-,-,-,"187,274","239,677","239,677",-,"-39,906","239,677",-,-,0,0
83,9/30/2002,"2,242,607","722,429","1,108,079","1,022,810","1,022,810","45,965",-,"39,304","385,650","215,470","59,716","110,464",-,-,"1,520,178","586,708","586,708",-,-,-,-,-,-,-,-,"933,470","-674,111","1,151,020","175,581",-,-,-,"602,984","417,189","417,189",-,-,"185,795",-,-,-,-,"372,455",-,-,-,-,-,-,"417,476","158,641","258,835","258,835","258,835","258,835",-,-,-,"258,835",1.17,1.13,"221,226","229,058","48,318","258,835","258,835",-,"47,300","258,835",-,-,0,0
84,6/30/2002,"1,999,163","629,577","999,826","925,257","925,257","45,815",-,"28,754","370,249","203,112","57,450","109,687",-,-,"1,369,586","513,886","513,886",-,-,-,-,-,-,-,-,"855,700","-501,780","1,153,646","127,119",-,-,-,"699,809","379,363","379,363",-,-,"320,446",-,-,-,-,"326,718",-,-,-,-,-,-,"343,737","130,620","213,117","213,117","213,117","213,117",-,-,-,"213,117",0.97,0.92,"219,961","231,684","127,797","213,117","213,117",-,"23,239","213,117",-,-,0,0
85,3/31/2002,"1,810,357","584,107","907,230","836,955","836,955","42,344",-,"27,931","323,123","178,163","51,056","93,904",-,-,"1,226,250","502,007","502,007",-,-,-,-,-,-,-,-,"724,243","-347,212","1,159,895","33,381",-,-,-,"734,271","380,735","380,735",-,-,"353,536",-,-,-,-,"392,243",-,-,-,-,-,-,"303,250","115,235","188,015","188,015","188,015","188,015",-,-,-,"188,015",0.86,0.83,"218,622","226,524","236,895","188,015","188,015",-,"93,439","188,015",-,-,0,0
86,12/31/2001,"1,667,031","489,780","804,618","736,677","736,677","38,980",-,"28,961","314,838","176,619","42,084","96,135",-,-,"1,177,251","356,551","356,551",-,-,-,-,-,-,-,-,"820,700","-305,889","1,074,567","126,602",-,-,-,"675,953","374,793","374,793",-,-,"301,160",-,-,-,-,"272,012",-,-,-,-,-,-,"286,575","108,894","177,681","177,681","177,681","177,681",-,-,-,"177,681",-,-,-,-,"183,891","177,681","177,681",-,"95,947","177,681",-,-,0,0
87,9/30/2001,"1,572,011","427,821","722,690","667,335","667,335","37,032",-,"18,323","294,869","161,411","43,233","90,225",-,-,"1,144,190","428,855","428,855",-,-,-,-,-,-,-,-,"715,335","-230,433","1,074,897","109,648",-,-,-,"631,397","349,487","349,487",-,-,"281,910",-,-,-,-,"333,852",-,-,-,-,-,-,"266,681","101,337","165,344","165,344","165,344","165,344",-,-,-,"165,344",0.78,0.75,"209,076","221,183","197,388","165,344","165,344",-,"160,149","165,344",-,-,0,0
88,6/30/2001,"1,443,746","370,070","657,216","620,866","620,866","33,942",-,"2,408","287,146","155,479","43,825","87,842",-,-,"1,073,676","407,412","407,412",-,-,-,-,-,-,-,-,"666,264","-202,900","990,316","106,129",-,-,-,"610,785","342,076","342,076",-,-,"268,709",-,-,-,-,"273,402",-,-,-,-,-,-,"250,530","95,203","155,327","155,327","155,327","155,327",-,-,-,"155,327",0.74,0.70,"209,901","221,896","167,170","155,327","155,327",-,"5,347","155,327",-,-,0,0
89,3/31/2001,"1,400,495","375,719","649,873","617,889","617,889","28,234",-,"3,750","274,154","146,961","43,900","83,293",-,-,"1,024,776","406,134","406,134",-,-,-,-,-,-,-,-,"618,642","-250,614","918,247","104,905",-,-,-,"556,916","325,716","325,716",-,-,"231,200",-,-,-,-,"256,426",-,-,-,-,-,-,"231,634","88,021","143,613","143,613","143,613","143,613",-,-,-,"143,613",0.70,0.66,"205,161","217,595","125,105","143,613","143,613",-,"76,119","143,613",-,-,0,0
90,12/31/2000,"1,330,640","458,560","706,235","679,079","679,079","25,608",-,"1,548","247,675","118,072","57,699","71,904",-,-,"872,080","-356,502","-356,502",-,-,-,-,-,-,-,-,"1,228,582","-247,226","876,516","105,575",-,-,-,"547,203","287,742","287,742",-,-,"259,461",-,-,-,-,"223,738",-,-,-,-,-,-,"206,898","78,621","128,277","128,277","128,277","128,277",-,-,-,"128,277",-,-,-,-,"211,334","128,277","128,277",-,"70,250","128,277",-,-,0,0
91,9/30/2000,"1,209,339","412,870","631,713","606,872","606,872","23,367",-,"1,474","218,843","90,197","55,967","72,679",-,-,"796,469","731,430","731,430",-,-,-,-,-,-,-,-,"65,039","-193,409","818,957","97,046",-,-,-,"497,359","264,171","264,171",-,-,"233,188",-,-,-,-,"224,552",-,-,-,-,-,-,"196,973","74,850","122,123","122,123","122,123","122,123",-,-,-,"122,123",0.62,0.58,"196,973","210,557","219,461","122,123","122,123",-,"118,730","122,123",-,-,0,0
92,6/30/2000,"1,074,765","363,958","536,507","511,886","511,886","22,845",-,"1,776","172,549","63,619","46,914","62,016",-,-,"710,807","374,706","374,706",-,-,-,-,-,-,-,-,"336,101","-151,010","742,264","85,417",-,-,-,"448,178","236,618","236,618",-,-,"211,560",-,-,-,-,"208,669",-,-,-,-,-,-,"181,491","68,966","112,525","112,525","112,525","112,525",-,-,-,"112,525",0.57,0.54,"197,412","208,380","212,948","112,525","112,525",-,"2,409","112,525",-,-,0,0
93,3/31/2000,"1,008,557","353,497","515,447","488,937","488,937","24,734",-,"1,776","161,950","52,120","41,454","68,376",-,-,"655,060","341,232","341,232",-,-,-,-,-,-,-,-,"313,828","-126,525","709,920","77,566",-,-,-,"436,774","234,836","234,836",-,-,"201,938",-,-,-,-,"195,580",-,-,-,-,-,-,"172,112","65,403","106,709","106,709","106,709","106,709",-,-,-,"106,709",0.54,0.51,"197,609","209,233","226,972","106,709","106,709",-,"53,434","106,709",-,-,0,0
94,12/31/1999,"945,300","290,600","450,600","417,400","417,400",-,"102,500","-69,300","160,000","49,400","38,000","72,600",-,-,"654,700","608,000","608,000",-,-,-,-,-,-,-,-,"46,700","-120,000","676,000","77,500",-,-,-,"409,900","207,500","207,500",-,-,"202,400",-,-,-,-,"188,600",-,-,-,-,-,-,"149,200","51,300","97,900","97,900","97,900","97,900",-,-,-,"97,900",-,-,-,-,"170,600","97,900","97,900","102,500","50,100","97,900",-,-,0,0
95,9/30/1999,"899,100","278,000","412,000","386,700","386,700",-,600,"24,700","134,000","38,000","19,000","77,000",-,-,"621,100","587,100","587,100",-,-,-,-,-,-,-,-,"34,000","-114,100","631,200","67,200",-,-,-,"374,200","199,000","199,000",-,-,"175,200",-,-,-,-,"189,800",-,-,-,-,-,-,"153,800","58,400","95,400","95,400","95,400","95,400",-,-,-,"95,400",0.48,0.45,"198,671","211,916","163,900","95,400","95,400",600,"46,200","95,400",-,-,0,0
96,6/30/1999,"823,200","251,200","377,800","353,200","353,200",-,800,"23,800","126,600","26,400","19,500","80,700",-,-,"572,000","538,500","538,500",-,-,-,-,-,-,-,-,"33,500","-74,300","607,800","58,700",-,-,-,"372,700","194,500","194,500",-,-,"178,200",-,-,-,-,"176,400",-,-,-,-,-,-,"141,100","53,600","87,500","87,500","87,500","87,500",-,-,-,"87,500",0.44,0.41,"198,864","213,415","176,900","87,500","87,500",800,"40,400","87,500",-,-,0,0
97,3/31/1999,"757,400","232,800","353,100","325,100","325,100",-,"1,500","26,500","120,300","23,900","23,800","72,500",-,100,"524,600","494,400","494,400",-,-,-,-,-,-,-,-,"30,200","-74,600","550,000","50,600",-,-,-,"355,300","179,200","179,200",-,-,"176,100",-,-,-,-,"144,100",-,-,-,-,-,-,"132,900","50,500","82,400","82,400","82,400","82,400",-,-,-,"82,400",0.42,0.39,"197,046","197,046","158,200","82,400","82,400","1,500","35,900","82,400",-,-,0,0
98,12/31/1998,"639,700","183,200","299,000","269,000","269,000",-,"4,400","25,600","115,800","23,900","27,400","64,500",-,-,"456,500","969,500","969,500",-,-,-,-,-,-,-,-,"-513,000","-54,600","467,900","42,200",-,-,-,"297,900","138,900","138,900",-,-,"159,000",-,-,-,-,"127,800",-,-,-,-,-,-,"117,100","44,500","72,600","72,600","72,600","72,600",-,-,-,"72,600",-,-,-,-,"128,600","72,600","72,600","4,400","38,400","72,600",-,-,0,0
99,9/30/1998,"564,100","177,100","283,200","259,300","259,300",-,"1,000","22,900","106,100","15,800","24,800","65,500",-,-,"387,000","146,600","146,600",-,-,-,-,-,-,-,-,"240,400","-67,600","383,500","38,500",-,-,-,"242,600","116,100","116,100",-,-,"126,500",-,-,-,-,"102,400",-,-,-,-,-,-,"112,900","42,900","70,000","70,000","70,000","70,000",-,-,-,"70,000",0.36,0.33,"194,444","212,121","109,500","70,000","70,000","1,000","34,200","70,000",-,-,0,0
100,6/30/1998,"498,700","169,700","271,400","245,100","245,100",-,"2,100","24,200","101,700","13,600","20,400","67,700",-,-,"329,000","283,600","283,600",-,-,-,-,-,-,-,-,"45,400","-59,000","331,800","43,500",-,-,-,"199,200","113,400","113,400",-,-,"85,800",-,-,-,-,"89,100",-,-,-,-,-,-,"107,900","41,000","66,900","66,900","66,900","66,900",-,-,-,"66,900",0.34,0.32,"196,765","209,063","110,700","66,900","66,900","2,100","19,300","66,900",-,-,0,0
101,3/31/1998,"480,700","164,800","258,000","229,600","229,600",-,"5,100","23,300","93,200","14,100","16,100","63,000",-,-,"315,900","282,000","282,000",-,-,-,-,-,-,-,-,"33,900","-85,900","288,900","33,200",-,-,-,"183,000","108,000","108,000",-,-,"75,000",-,-,-,-,"72,700",-,-,-,-,-,-,"106,000","40,300","65,700","65,700","65,700","65,700",-,-,-,"65,700",0.33,0.32,"199,091","205,313","78,900","65,700","65,700","5,100","16,300","65,700",-,-,0,0
102,12/31/1997,"430,600","114,500","203,600","176,400","176,400",-,"4,400","22,800","89,100","13,800","13,000","62,200",-,-,"316,100","779,900","779,900",-,-,-,-,-,-,-,-,"-463,800","-94,300","242,400","38,800",-,-,-,"76,200","76,200","76,200",-,-,-,-,-,-,-,"127,400",-,-,-,-,-,-,"93,900","35,700","58,200","58,200","58,200","58,200",-,-,-,"58,200",-,-,-,-,"20,200","58,200","58,200","4,400","19,400","58,200",-,-,0,0
103,9/30/1997,"378,100","97,200","179,000","153,400","153,400",-,"3,800","21,800","81,800","9,100","9,200","63,600",-,-100,"280,900","75,800","75,800",-,-,-,-,-,-,-,-,"205,100","-72,500","226,000","29,900",-,-,-,"73,200","73,200","73,200",-,-,-,-,-,-,-,"122,900",-,-,-,-,-,-,"79,500","30,200","49,300","49,300","49,300","49,300",-,-,-,"49,300",0.25,0.24,"197,200","205,417","24,700","49,300","49,300","3,800","3,300","49,300",-,-,0,0
104,6/30/1997,"312,300","83,300","166,900","143,500","143,500",-,"2,600","20,800","83,600","8,600","10,500","64,500",-,-,"229,000","205,800","205,800",-,-,-,-,-,-,-,-,"23,200","-46,800","202,100","25,800",-,-,-,"69,300","69,300","69,300",-,-,-,-,-,-,-,"107,000",-,-,-,-,-,-,"63,500","24,100","39,400","39,400","39,400","39,400",-,-,-,"39,400",0.20,0.19,"197,000","207,368","36,500","39,400","39,400","2,600","12,800","39,400",-,-,0,0
105,3/31/1997,"331,300","88,200","168,600","146,500","146,500",-,"5,700","16,400","80,400","10,400","6,500","63,400",-,100,"243,100","223,700","223,700",-,-,-,-,-,-,-,-,"19,400","-49,200","213,500","25,900",-,-,-,"70,600","70,600","70,600",-,-,-,-,-,-,-,"117,000",-,-,-,-,-,-,"68,500","26,000","42,500","42,500","42,500","42,500",-,-,-,"42,500",0.21,0.21,"202,381","202,381","39,000","42,500","42,500","5,700","11,100","42,500",-,-,0,0
106,12/31/1996,"328,500","113,600","201,400","184,000","184,000",-,"5,000","12,400","87,800","16,200","7,000","64,600",-,-,"214,900","537,200","537,200",-,-,-,-,-,-,-,-,"-322,300","-63,000","200,600","25,400",-,-,-,"63,700","63,700","63,700",-,-,-,-,-,-,-,"111,500",-,-,-,-,-,-,"65,000","24,700","40,300","40,300","40,300","40,300",-,-,-,"40,300",-,-,-,-,"50,600","40,300","40,300","5,000","10,700","40,300",-,-,0,0
107,9/30/1996,"313,400","106,700","188,300","170,600","170,600",-,"3,900","13,800","81,600","16,600","7,500","57,500",-,-,"206,700","73,000","73,000",-,-,-,-,-,-,-,-,"133,700","-53,900","196,800","21,200",-,-,-,"57,600","57,600","57,600",-,-,-,-,-,-,-,"118,000",-,-,-,-,-,-,"62,600","23,800","38,800","38,800","38,800","38,800",-,-,-,"38,800",0.19,0.19,"204,211","204,211","52,800","38,800","38,800","3,900","9,600","38,800",-,-,0,0
108,6/30/1996,"245,100","74,500","137,800","123,400","123,400",-,"4,500","9,900","63,300","11,000","1,500","46,700","4,100",-,"170,600","42,000","42,000",-,-,-,-,-,-,-,-,"128,600","-25,100","159,300","19,300",-,-,-,"49,700","49,700","49,700",-,-,-,-,-,-,-,"90,300",-,-,-,-,-,-,"60,600","22,400","38,200","38,200","38,200","38,200",-,-,-,"38,200",0.19,0.19,"201,053","201,053","49,400","38,200","38,200","4,500","11,300","38,200",-,-,0,0
109,3/31/1996,"241,900","70,800","133,100","114,100","114,100",-,"8,000","11,000","62,300","12,500","2,100","41,400","6,300",-,"171,100","26,600","26,600",-,-,-,-,-,-,-,-,"144,500","-25,300","156,500","16,500",-,-,-,"44,300","44,300","44,300",-,-,-,-,-,-,-,"95,700",-,-,-,-,-,-,"60,300","22,300","38,000","38,000","38,000","38,000",-,-,-,"38,000",0.19,0.19,"200,000","200,000","45,500","38,000","38,000","8,000","10,300","38,000",-,-,0,0
110,12/31/1995,"216,200","65,000","134,900","115,900","115,900",-,"7,500","11,500","69,900","13,200","-70,900","133,600","13,600",-,"151,200","435,200","435,200",-,-,-,-,-,-,-,-,"-284,000","-21,400","135,700","45,900",-,-,-,"37,700","37,700","37,700",-,-,-,-,-,-,-,"52,100",-,-,-,-,-,-,"59,100","21,300","37,800","37,800","37,800","37,800",-,-,-,"37,800",-,-,-,-,"43,600","37,800","37,800","7,500","10,700","37,800",-,-,0,0
111,9/30/1995,"196,600","59,700","129,000","114,100","114,100",-,"6,000","8,900","69,300","14,400","40,100",-,"12,800","2,000","136,900","23,600","23,600",-,-,-,-,-,-,-,-,"113,300","-18,700","124,800","11,300",-,-,-,"36,600","36,600","36,600",-,-,-,-,-,-,-,"76,900",-,-,-,-,-,-,"53,000","19,100","33,900","33,900","33,900","33,900",-,-,-,"33,900",0.17,0.17,"199,412","199,412","41,000","33,900","33,900","6,000","9,800","33,900",-,-,0,0
112,6/30/1995,"180,000","45,200","104,400","90,700","90,700",-,"5,300","8,400","59,200","12,200","33,100",-,"11,000","2,900","134,800","20,100","20,100",-,-,-,-,-,-,-,-,"114,700","-17,300","116,400","3,200",-,-,-,"31,300","31,300","31,300",-,-,-,-,-,-,-,"81,900",-,-,-,-,-,-,"46,300","16,700","29,600","29,600","29,600","29,600",-,-,-,"29,600",0.15,0.15,"197,333","197,333","27,900","29,600","29,600","5,300","8,500","29,600",-,-,0,0
113,3/31/1995,"168,200","38,100","89,100","77,000","77,000",-,"8,000","4,100","51,000","9,700","17,900",200,"8,500","14,700","130,100","17,100","17,100",-,-,-,-,-,-,-,-,"113,000","-8,600","120,400","3,400",-,-,-,"30,100","30,100","30,100",-,-,-,-,-,-,-,"86,900",-,-,-,-,-,-,"39,200","14,100","25,100","25,100","25,100","25,100",-,-,-,"25,100",0.13,0.13,"193,077","193,077","29,500","25,100","25,100","8,000","8,400","25,100",-,-,0,0
114,12/31/1994,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"26,500","26,500","26,500","26,500",-,-,-,"26,500",-,-,-,-,-,"26,500","26,500",-,-,"26,500",-,-,0,0
115,9/30/1994,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,000","-1,000","-1,000","-1,000",-,-,-,"-1,000",-0.01,-0.01,"199,143","199,143",-,"-1,000","-1,000",-,-,"-1,000",-,-,0,0
116,6/30/1994,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"34,600","34,600","34,600","34,600",-,-,-,"34,600",0.17,0.17,"203,529","203,529",-,"34,600","34,600",-,-,"34,600",-,-,0,0
117,3/31/1994,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"35,100","35,100","35,100","35,100",-,-,-,"35,100",0.18,0.18,"195,000","195,000",-,"35,100","35,100",-,-,"35,100",-,-,0,0
