,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Payables And Accrued Expenses,Payables,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
10,9/30/2020,"78,357,000","4,236,000","1,432,000","576,000",-,"856,000","2,804,000","2,804,000",-,"2,804,000","10,000","6,000",-,"534,000","16,282,000","198,000","830,000","592,000","14,662,000",-,"53,662,000","54,515,000","89,000","23,059,000","565,000","30,802,000",-,"853,000",-,"319,000","319,000","1,187,000",-,-,-,-,-,-,-,"1,016,000",-,-,"1,649,000","70,689,000","67,094,000","35,756,000","35,756,000","31,338,000","1,252,000","1,252,000",-,-,-,-,-,-,-,-,"1,347,000","1,347,000",-,"4,000","64,000","932,000","7,668,000","7,668,000","3,246,000","566,000","2,680,000","4,090,000",-,-,"332,000",-,-,"9,015,000","566,000","7,102,000","4,000","6,652,000","8,449,000","6,086,000","1,347,000",-,"164,009","164,009","13,230"
11,6/30/2020,"76,447,000","2,415,000","2,149,000","570,000",-,"1,579,000","266,000","266,000",-,"266,000","10,000","5,000","5,000","530,000","15,862,000","160,000","813,000","688,000","14,201,000",-,"54,050,000","54,910,000","105,000","23,301,000","578,000","30,926,000","55,129,000","860,000",-,"324,000","324,000","1,173,000",-,-,-,-,-,-,-,"1,014,000",-,-,"1,604,000","68,872,000","65,684,000","34,970,000","34,970,000","30,714,000","860,000","860,000",-,-,-,-,-,-,-,-,"1,353,000","1,353,000",-,"4,000","54,000","921,000","7,575,000","7,575,000","3,241,000","566,000","2,675,000","3,979,000",-,-,"355,000",-,-,"8,928,000","566,000","7,009,000","4,000","6,561,000","8,362,000","5,995,000","1,353,000",-,"163,978","163,978","13,230"
12,3/31/2020,"71,467,000","2,505,000","1,955,000","730,000",-,"1,225,000","550,000","550,000",-,"550,000","98,000","6,000","6,000","527,000","15,892,000","160,000","916,000","585,000","14,231,000",-,"49,006,000","49,736,000","140,000","18,016,000","640,000","30,940,000",-,"730,000",-,"331,000","331,000","1,144,000",-,-,-,-,-,-,-,"1,014,000",-,-,"1,569,000","63,995,000","57,518,000","33,138,000","33,138,000","24,380,000","3,765,000","3,765,000",-,-,-,-,-,-,-,-,"1,795,000","1,795,000",-,"4,000","47,000","870,000","7,472,000","7,472,000","3,234,000","566,000","2,668,000","3,979,000",-,-,"259,000",-,-,"9,267,000","566,000","6,906,000","4,000","6,458,000","8,701,000","5,892,000","1,795,000",-,"163,852","163,852","13,230"
13,12/31/2019,"69,172,000","1,932,000","1,448,000","705,000",-,"743,000","484,000","484,000",-,"484,000","50,000","8,000","8,000","525,000","15,397,000","182,000","898,000","592,000","13,725,000",-,"48,009,000","48,504,000","129,000","17,153,000","657,000","30,565,000",-,"495,000",-,"334,000","334,000","1,142,000","2,095,000","235,000","747,000","949,000","164,000",-,"-953,000","1,014,000","1,014,000","1,000","1,336,000","61,819,000","57,085,000","33,509,000","33,509,000","23,576,000","2,053,000","2,053,000","581,000",-,-,"1,000,000","1,000,000",-,-,"1,000,000","1,723,000","1,723,000",-,"4,000","59,000","899,000","7,353,000","7,353,000","3,301,000","566,000","2,735,000","4,009,000",-,-,"43,000",-,-,"9,076,000","566,000","6,787,000","4,000","6,339,000","8,510,000","5,773,000","1,723,000","275,000","165,057","165,057","13,230"
14,9/30/2019,"70,361,000","2,449,000","1,945,000","796,000",-,"1,149,000","504,000","504,000",-,"504,000","136,000","4,000","4,000","525,000","15,953,000","280,000","982,000","658,000","14,033,000",-,"48,134,000","48,644,000","141,000","17,031,000","659,000","30,813,000",-,"510,000",-,"332,000","332,000","1,146,000",-,-,-,-,-,-,-,"1,014,000",-,-,"1,329,000","62,852,000","56,139,000","32,369,000","32,369,000","23,770,000","4,579,000","4,579,000",-,-,-,-,-,-,-,-,"1,242,000","1,242,000",-,"4,000","62,000","830,000","7,509,000","7,509,000","3,568,000","566,000","3,002,000","3,892,000",-,-,"49,000",-,-,"8,751,000","566,000","6,943,000","4,000","6,495,000","8,185,000","5,929,000","1,242,000",-,"170,373","170,373","13,230"
15,6/30/2019,"70,065,000","1,792,000","1,172,000","538,000",-,"634,000","620,000","620,000",-,"620,000","208,000","5,000","5,000","522,000","16,571,000","148,000","1,056,000","695,000","14,672,000",-,"47,882,000","48,385,000","105,000","16,942,000","670,000","30,668,000",-,"503,000",-,"337,000","337,000","1,133,000",-,-,-,-,-,-,-,"1,014,000",-,-,"1,331,000","62,466,000","54,332,000","31,385,000","31,385,000","22,947,000","6,023,000","6,023,000",-,-,-,-,-,-,-,-,"1,236,000","1,236,000",-,-,"60,000","815,000","7,599,000","7,599,000","3,837,000","566,000","3,271,000","3,737,000",-,-,"25,000",-,-,"8,835,000","566,000","7,033,000",-,"6,585,000","8,269,000","6,019,000","1,236,000","64,000","176,935","176,935","13,230"
16,3/31/2019,"69,195,000","1,676,000","1,238,000","536,000",-,"702,000","438,000","438,000",-,"438,000","140,000","6,000","6,000","518,000","16,977,000","316,000","993,000","764,000","14,904,000",-,"46,866,000","47,363,000","69,000","16,532,000","664,000","30,098,000",-,"497,000",-,"312,000","312,000","1,125,000",-,-,-,-,-,-,-,"1,014,000",-,-,"1,219,000","61,607,000","54,535,000","31,276,000","31,276,000","23,259,000","4,944,000","4,944,000",-,-,-,-,-,-,-,-,"1,228,000","1,228,000",-,-,"59,000","841,000","7,588,000","7,588,000","566,000","566,000",-,"3,603,000","3,541,000",-,"-122,000",-,-,"8,816,000","566,000","7,022,000",-,"6,574,000","8,250,000","6,008,000","1,228,000",-,"182,513","182,513","13,230"
17,12/31/2018,"68,746,000","2,694,000","1,233,000","614,000",-,"619,000","1,461,000","1,461,000",-,"1,461,000","190,000","4,000","4,000","516,000","16,663,000","106,000","1,046,000","774,000","14,737,000",-,"45,985,000","46,480,000","93,000","16,174,000","671,000","29,542,000",-,"495,000",-,"327,000","327,000","1,124,000","1,995,000","238,000","736,000","876,000","145,000",-,"-871,000","1,015,000","1,014,000","1,000","934,000","61,168,000","54,101,000","30,456,000","30,456,000","23,645,000","5,653,000","5,653,000","612,000",-,-,"4,500,000","4,500,000",-,-,"4,500,000","724,000","724,000",-,-,"57,000","633,000","7,578,000","7,578,000","566,000","566,000",-,"3,456,000","3,806,000",-,"-250,000",-,-,"8,302,000","566,000","7,012,000",-,"6,563,000","7,736,000","5,997,000","724,000","3,991,000","187,554","187,554","13,230"
18,9/30/2018,"66,731,000","1,667,000","1,107,000","517,000",-,"590,000","560,000","560,000",-,"560,000",-,"4,000","4,000",-,"16,579,000","176,000","1,027,000","751,000","14,625,000",-,"45,059,000","45,539,000","61,000","15,659,000","657,000","29,162,000",-,"480,000",-,"332,000","332,000","1,111,000",-,-,-,-,-,-,-,"1,015,000",-,-,"964,000","59,178,000","53,785,000","29,718,000","29,718,000","24,067,000","3,780,000","3,780,000",-,-,-,-,-,-,-,-,"879,000","879,000",-,-,"58,000","676,000","7,553,000","7,553,000","566,000","566,000",-,"3,296,000","4,052,000",-,"-361,000",-,-,"8,432,000","566,000","6,987,000",-,"6,538,000","7,866,000","5,972,000","879,000",-,"192,169","192,169","13,230"
19,6/30/2018,"66,457,000","1,724,000","1,166,000","468,000",-,"698,000","558,000","558,000",-,"558,000",-,"5,000","5,000",-,"16,766,000","207,000","1,054,000","878,000","14,627,000",-,"44,466,000","44,956,000","84,000","15,522,000","665,000","28,685,000",-,"490,000",-,"358,000","358,000","1,099,000",-,-,-,-,-,-,-,"1,015,000",-,-,"1,024,000","58,836,000","53,580,000","29,573,000","29,573,000","24,007,000","4,158,000","4,158,000",-,-,-,-,-,-,-,-,"383,000","383,000",-,"1,000","58,000","657,000","7,621,000","7,621,000","4,797,000","566,000","4,231,000","3,139,000",-,-,"-315,000",-,-,"8,004,000","566,000","7,055,000","1,000","6,606,000","7,438,000","6,040,000","383,000",-,"195,392","195,392","13,230"
20,3/31/2018,"66,481,000","1,883,000","1,187,000","470,000",-,"717,000","696,000","696,000",-,"696,000",-,"5,000","5,000",-,"16,880,000","143,000","1,073,000","768,000","14,896,000",-,"44,329,000","44,802,000","90,000","15,424,000","662,000","28,626,000",-,"473,000",-,"371,000","371,000","1,098,000",-,-,-,-,-,-,-,"1,016,000",-,-,"899,000","58,837,000","52,963,000","29,054,000","29,054,000","23,909,000","4,867,000","4,867,000",-,-,-,-,-,-,-,-,"383,000","383,000",-,"1,000","51,000","573,000","7,644,000","7,644,000","4,912,000","566,000","4,346,000","2,999,000",-,-,"-267,000",-,-,"8,027,000","566,000","7,078,000","1,000","6,628,000","7,461,000","6,062,000","383,000",-,"197,050","197,050","13,230"
21,12/31/2017,"66,288,000","1,844,000","1,330,000","548,000",-,"782,000","514,000","514,000",-,"514,000","154,000","4,000","4,000","506,000","17,108,000","148,000","1,029,000","770,000","15,161,000",-,"43,942,000","44,460,000","44,000","15,274,000","694,000","28,448,000",-,"518,000",-,"364,000","364,000","1,094,000","1,941,000","234,000","720,000","852,000","135,000",-,"-847,000","1,016,000","1,014,000","2,000","916,000","58,609,000","52,621,000","28,735,000","28,735,000","23,886,000","4,976,000","4,976,000","449,000",-,-,"3,600,000","3,600,000",-,-,"3,600,000","383,000","383,000",-,"1,000","58,000","571,000","7,679,000","7,679,000","5,011,000","566,000","4,445,000","2,782,000",-,-,"-114,000",-,-,"8,062,000","566,000","7,113,000","1,000","6,663,000","7,496,000","6,097,000","383,000","2,652,000","197,532","197,532","13,230"
22,9/30/2017,"65,564,000","1,773,000","1,306,000","541,000",-,"765,000","467,000","467,000",-,"467,000",-,"3,000","3,000",-,"17,052,000","56,000","1,008,000","746,000","15,242,000",-,"43,343,000","43,884,000","71,000","15,114,000","678,000","28,021,000",-,"541,000",-,"343,000","343,000","1,083,000",-,-,-,-,-,-,-,"1,017,000","1,014,000","3,000","950,000","57,803,000","52,099,000","28,088,000","28,088,000","24,011,000","4,624,000","4,624,000",-,-,-,-,-,-,-,-,"383,000","383,000",-,"1,000","59,000","638,000","7,761,000","7,761,000","5,118,000","566,000","4,552,000","2,700,000",-,-,"-57,000",-,-,"8,144,000","566,000","7,195,000","1,000","6,744,000","7,578,000","6,178,000","383,000",-,"199,712","199,712","13,230"
23,6/30/2017,"65,446,000","2,075,000","1,648,000","481,000",-,"1,167,000","427,000","427,000",-,"427,000",-,"4,000","4,000",-,"17,189,000","61,000","1,012,000","775,000","15,341,000",-,"42,805,000","43,349,000","53,000","14,721,000","666,000","27,909,000",-,"544,000",-,"387,000","387,000","1,069,000",-,-,-,-,-,-,-,"1,019,000","1,014,000","5,000","898,000","57,697,000","52,378,000","28,206,000","28,206,000","24,172,000","4,342,000","4,342,000",-,-,-,-,-,-,-,-,"383,000","383,000",-,"1,000","63,000","531,000","7,749,000","7,749,000","5,226,000","566,000","4,660,000","2,572,000",-,-,"-49,000",-,-,"8,132,000","566,000","7,183,000","1,000","6,730,000","7,566,000","6,164,000","383,000",-,"202,131","202,131","13,230"
24,3/31/2017,"65,463,000","2,690,000","2,327,000","566,000",-,"1,761,000","363,000","363,000",-,"363,000",-,"3,000","3,000",-,"17,434,000","40,000","973,000","815,000","15,606,000",-,"41,922,000","42,466,000","128,000","14,179,000","640,000","27,519,000",-,"544,000",-,"404,000","404,000","1,047,000",-,-,-,-,-,-,-,"1,021,000","1,014,000","7,000","942,000","57,733,000","53,475,000","29,065,000","29,065,000","24,410,000","3,137,000","3,137,000",-,-,-,-,-,-,-,-,"383,000","383,000",-,"1,000","60,000","678,000","7,730,000","7,730,000","5,406,000","710,000","4,696,000","2,435,000",-,-,"-111,000",-,-,"8,113,000","710,000","7,020,000","1,000","6,709,000","7,403,000","5,999,000","383,000",-,"202,595","202,595","18,980"
25,12/31/2016,"63,239,165","2,716,513","2,148,179","737,327",-,"1,410,852","568,334","568,334",-,"568,334",-,"4,255","4,255",-,"15,239,308","114,803","884,407","867,904","13,372,194",-,"41,830,412","42,397,934","171,934","14,230,000","671,000","27,325,000",265,"567,522",-,"423,000","423,000","1,019,508","1,864,924","229,398","683,450","812,508","139,568",-,"-845,416","1,022,549","1,014,129","8,420","983,620","55,604,859","53,235,830","29,120,718","29,120,718","24,115,112","827,269","827,269","221,706",-,-,"500,000","500,000",-,-,"500,000","534,850","534,850",-,740,"64,911","941,999","7,634,306","7,634,306","5,434,316","709,601","4,724,715","2,321,571",-,-,"-121,581",-,-,"8,169,156","709,601","6,924,705",740,"6,611,757","7,459,555","5,902,156","534,850",-,"203,085","203,085","18,980"
26,9/30/2016,"61,038,860","3,717,931","2,042,286","553,152",-,"1,489,134","1,675,645","1,675,645",-,"1,675,645",-,"8,358","8,358",-,"12,075,476","108,004","894,110","715,279","10,358,083",-,"41,664,102","42,261,287","160,287","14,296,000","647,000","27,158,000",-280,"597,185",-,"439,000","439,000","986,553",-,-,-,-,-,-,-,"1,024,458","1,014,129","10,329","1,122,982","53,359,553","50,848,661","28,137,883","28,137,883","22,710,778","1,115,561","1,115,561",-,-,-,-,-,-,-,-,"570,385","570,385",-,784,"61,615","763,331","7,679,307","7,679,307","5,457,513","709,601","4,747,912","2,211,793",-,-,"10,001",-,-,"8,249,692","709,601","6,969,706",784,"6,654,849","7,540,091","5,945,248","570,385",-,"203,850","203,850","18,980"
27,6/30/2016,"59,642,992","3,335,690","2,715,221","560,262",-,"2,154,959","620,469","620,469",-,"620,469",-,"8,354","8,354",-,"11,159,834","118,775","850,578","713,392","9,477,089",-,"41,613,167","42,221,512","146,512","14,513,000","649,000","26,913,000",575,"608,345",-,"426,000","426,000","955,540",-,-,-,-,-,-,-,"1,026,410","1,014,129","12,281","1,117,997","52,016,609","50,270,921","27,994,321","27,994,321","22,276,600","270,255","270,255",-,-,-,-,-,-,-,-,"698,712","698,712",-,827,"64,780","711,941","7,626,383","7,626,383","5,492,662","709,601","4,783,061","2,110,069",-,-,"23,652",-,-,"8,325,095","709,601","6,916,782",827,"6,599,973","7,615,494","5,890,372","698,712",-,"205,104","205,104","18,980"
28,3/31/2016,"59,179,913","5,144,105","3,556,893","517,803",-,"3,039,090","1,587,212","1,587,212",-,"1,587,212",-,"10,411","10,411",-,"10,255,182","65,838","855,813","631,646","8,701,885",-,"40,477,870","41,089,764","108,764","14,286,000","627,000","26,068,000",185,"611,894",-,"437,000","437,000","925,430",-,-,-,-,-,-,-,"1,028,388","1,014,129","14,259","901,527","51,554,176","49,887,857","28,015,583","28,015,583","21,872,274","232,188","232,188",-,-,-,-,-,-,-,-,"802,448","802,448",-,869,"69,026","562,657","7,625,737","7,625,737","5,606,120","828,490","4,777,630","2,031,270",-,-,"-11,653",-,-,"8,428,185","828,490","6,797,247",869,"6,597,349","7,599,695","5,768,859","802,448",-,"204,544","204,544","20,317"
29,12/31/2015,"59,669,525","7,526,201","6,906,443","798,319",-,"6,108,124","619,758","619,758",-,"619,758",-,"7,092","7,092",-,"9,085,076","48,168","848,144","545,648","7,643,116",-,"39,751,832","40,357,880","149,880","13,887,000","631,000","25,690,000",-458,"606,048",-,"442,000","442,000","905,462","1,722,504","229,693","598,643","755,403","138,765",-,"-817,042","1,030,401","1,014,129","16,272","921,461","52,162,006","50,374,091","28,097,427","28,097,427","22,276,664","346,987","346,987","235,724",-,-,0,0,-,-,0,"817,348","817,348",-,912,"74,838","548,742","7,507,519","7,507,519","5,595,221","828,490","4,766,731","1,966,910",-,-,"-54,612",-,-,"8,324,867","828,490","6,679,029",912,"6,477,118","7,496,377","5,648,628","817,348",-,"204,417","204,417","20,317"
30,9/30/2015,"58,410,927","8,486,873","7,161,372","602,694",-,"6,558,678","1,325,501","1,325,501",-,"1,325,501",-,"12,799","12,799",-,"7,468,925","73,521","851,225","544,168","6,000,011",-,"39,228,682","39,825,122","139,122","13,635,000","621,000","25,430,000",123,"596,440",-,"427,000","427,000","873,800",-,-,-,-,-,-,-,"1,032,675","1,014,129","18,546","880,173","50,772,832","48,920,147","27,348,125","27,348,125","21,572,022","272,391","272,391",-,-,-,-,-,-,-,-,"944,752","944,752",-,950,"81,389","554,153","7,638,095","7,638,095","5,760,447","1,004,159","4,756,288","1,894,623",-,-,"-16,975",-,-,"8,582,847","1,004,159","6,633,936",950,"6,605,420","7,578,688","5,601,261","944,752",-,"204,279","204,279",-
31,6/30/2015,"58,365,459","9,823,795","8,419,549","758,238",-,"7,661,311","1,404,246","1,404,246",-,"1,404,246",-,"13,269","13,269",-,"6,161,246","74,519","863,443","570,869","4,652,415",-,"39,165,073","39,774,448","152,448","13,700,000","611,000","25,311,000",-16,"609,375",-,"402,000","402,000","856,577",-,-,-,-,-,-,-,"1,034,972","1,014,129","20,843","908,527","50,835,284","48,937,124","27,379,540","27,379,540","21,557,584","227,124","227,124",-,-,-,-,-,-,-,-,"1,050,938","1,050,938",-,987,"79,961","540,137","7,530,175","7,530,175","5,742,304","1,004,032","4,738,272","1,823,043",-,-,"-35,172",-,-,"8,581,113","1,004,032","6,526,143",987,"6,495,203","7,577,081","5,491,171","1,050,938",-,"203,741","203,741",-
32,3/31/2015,"57,555,931","9,031,972","7,512,620","720,858",-,"6,791,762","1,519,352","1,519,352",-,"1,519,352",-,"17,256","17,256",-,"5,982,969","71,392","870,125","590,950","4,450,502",-,"39,281,933","39,901,946","128,946","13,819,000","610,000","25,344,000",114,"620,013",-,"407,000","407,000","844,900",-,-,-,-,-,-,-,"1,037,291","1,014,129","23,162","952,610","50,101,633","48,123,360","27,268,730","27,268,730","20,854,630","203,597","203,597",-,-,-,-,-,-,-,-,"1,089,321","1,089,321","22,009","1,025","82,287","603,068","7,454,298","7,454,298","5,732,588","1,004,032","4,728,556","1,836,619",-,-,"-114,909",-,-,"8,543,619","1,004,032","6,450,266","1,025","6,417,007","7,539,587","5,412,975","1,089,321",-,"203,193","203,193",-
33,12/31/2014,"57,204,843","9,406,330","8,020,039","845,905",-,"7,174,134","1,386,291","1,386,291",-,"1,386,291",-,"18,916","18,916",-,"5,428,051","70,601","865,950","647,252","3,844,248",-,"39,182,841","39,787,504","132,504","13,684,000","614,000","25,357,000",16,"604,663",-,"409,000","409,000","829,809","1,616,900","233,300","551,603","698,373","133,624",-,"-787,091","1,039,649","1,014,129","25,520","890,247","49,828,868","47,847,238","27,318,951","27,318,951","20,528,287","244,223","244,223","142,830",-,-,"1,200","1,200",-,-,"1,200","1,092,282","1,092,282","22,156","1,062","81,076","564,049","7,375,975","7,375,975","5,727,866","1,004,011","4,723,855","1,776,150",-,-,"-128,041",-,-,"8,468,257","1,004,011","6,371,964","1,062","6,336,326","7,464,246","5,332,315","1,092,282",-,"203,015","203,015","20,313"
34,9/30/2014,"55,458,870","8,409,400","8,053,556","588,691",-,"7,464,865","355,844","355,844",-,"355,844",-,"27,418","27,418",-,"5,084,328","55,419","855,743","609,758","3,563,408",-,"38,833,862","39,444,139","109,139","13,415,000","579,000","25,151,000","190,000","610,277",-,"405,000","405,000","811,127",-,-,-,-,-,-,-,"1,042,289","1,014,129","28,160","845,446","48,136,711","46,265,336","26,494,931","26,494,931","19,770,405","191,798","191,798",-,-,-,-,-,-,-,-,"1,113,677","1,113,677","22,302",605,"79,377","486,523","7,322,159","7,322,159","5,721,301","1,004,006","4,717,295","1,711,785",-,-,"-110,927",-,-,"8,435,836","1,004,006","6,318,153",605,"6,279,870","7,431,830","5,275,864","1,113,677",-,"202,898","202,898",-
35,6/30/2014,"55,111,275","8,249,019","7,770,484","1,384,131",-,"6,386,353","478,535","478,535",-,"478,535",-,"27,725","27,725",-,"4,989,463","56,572","854,978","615,104","3,462,809",-,"38,703,467","39,379,374","164,374","13,327,000","572,000","25,065,000","251,000","675,907",-,"415,000","415,000","803,214",-,-,-,-,-,-,-,"1,044,955","1,014,129","30,826","878,432","48,411,185","45,670,614","26,060,624","26,060,624","19,609,990","258,401","258,401",-,-,-,-,-,-,-,-,"1,933,136","1,933,136",-,-,"95,472","453,562","6,700,090","6,700,090","5,196,142","1,004,006","4,192,136","1,640,785",-,-,"-136,837",-,-,"8,633,226","1,004,006","5,696,084",-,"5,655,135","7,629,220","4,651,129","1,933,136",-,"185,113","185,113",-
36,3/31/2014,"56,080,844","9,879,103","9,499,156","1,341,319",-,"8,157,837","379,947","379,947",-,"379,947",-,"39,248","39,248",-,"4,934,431","56,172","848,775","606,279","3,423,205",-,"38,198,391","38,935,344","126,344","12,994,000","547,000","24,983,000","285,000","736,953",-,"389,000","389,000","785,519",-,-,-,-,-,-,-,"1,047,691","1,014,129","33,562","807,461","49,494,628","46,532,086","27,274,197","27,274,197","19,257,889","279,837","279,837",-,-,-,-,-,-,-,-,"2,158,701","2,158,701",-,-,"88,693","435,311","6,586,216","6,586,216","5,189,483","1,003,970","4,185,513","1,542,195",-,-,"-145,462",-,0,"8,744,917","1,003,970","5,582,246",-,"5,538,525","7,740,947","4,534,555","2,158,701",-,"184,895","184,895","20,312"
37,12/31/2013,"56,031,127","9,632,379","9,350,131","1,175,083",-,"8,175,048","282,248","282,248",-,"282,248",-,"46,105","46,105",-,"5,181,068","34,559","855,642","588,981","3,701,886",-,"38,080,037","38,826,328","171,328","12,930,000","554,000","24,821,000","350,000","746,291",-,"388,000","388,000","726,372","1,487,882","185,119","509,151","664,556","129,056",-,"-761,510","1,050,573","1,014,129","36,444","926,593","49,566,564","46,361,880","27,603,127","27,603,127","18,758,753","340,348","266,742","73,606",-,-,0,0,0,0,0,"2,273,575","2,273,575","22,736",639,"89,705","501,056","6,464,563","6,464,563","5,182,994","1,003,970","4,179,024","1,473,670",-,-,"-192,101",-,0,"8,738,138","1,003,970","5,460,593",639,"5,413,990","7,734,168","4,410,020","2,273,575",-,"184,678","184,678","20,312"
38,9/30/2013,"55,188,312","9,754,791","9,545,721","1,365,082",-,"8,180,639","209,070","209,070",-,"209,070",-,"66,381","66,381",-,"5,001,365","38,278","851,349","777,849","3,333,889",-,"37,215,287","38,012,810","114,810","12,353,000","540,000","24,630,000","375,000","797,523",-,"375,000","375,000","720,365",-,-,-,-,-,-,-,"1,053,796","1,014,129","39,667","1,001,327","48,855,503","45,669,366","27,103,229","27,103,229","18,566,137","273,774","252,591","21,183",-,-,0,0,-,-,0,"2,304,301","2,304,301",-,-,"84,147","523,915","6,332,809","6,332,809","5,176,857","1,003,970","4,172,887","1,540,455",-,-,"-384,503",-,0,"8,637,110","1,003,970","5,328,839",-,"5,279,013","7,633,140","4,275,043","2,304,301",-,"184,600","184,600","20,312"
39,6/30/2013,"54,904,540","9,584,906","9,363,107","1,183,097",-,"8,180,010","221,799","221,799",-,"221,799",-,"80,789","80,789",-,"4,856,090","26,385","852,939","783,371","3,193,395",-,"37,150,707","37,964,619","164,619","12,353,000","527,000","24,488,000","432,000","813,912",-,"388,000","388,000","717,299",-,-,-,-,-,-,-,"1,057,368","1,014,129","43,239","1,069,381","48,044,208","45,016,055","27,212,105","27,212,105","17,803,950","256,615","240,816","15,799",-,-,0,0,-,-,0,"2,173,176","2,173,176",-,-,"104,082","494,280","6,860,332","6,860,332","5,896,487","1,728,659","4,167,828","1,338,401",-,-,"-374,556",-,0,"9,033,508","1,728,659","5,131,673",-,"5,802,964","7,304,849","4,074,305","2,173,176",-,"184,437","184,437",-
40,3/31/2013,"54,110,564","9,054,262","6,714,085","928,817",-,"5,785,268","2,340,177","2,340,177",-,"2,340,177",-,"89,904","89,904",-,"4,907,691","28,301","855,388","736,158","3,287,844",-,"36,691,778","37,533,559","161,559","11,988,000","501,000","24,405,000","478,000","841,781",-,"390,000","390,000","706,746",-,-,-,-,-,-,-,"1,061,129","1,014,129","47,000","1,209,054","47,759,911","44,490,195","27,179,045","27,179,045","17,311,150","326,769","325,107","1,662",-,-,0,0,-,-,0,"2,352,569","2,352,569",-,-,"100,455","489,923","6,350,653","6,355,405","5,472,177","1,301,289","4,170,888","1,290,131",-,-,"-406,903",-,"-4,752","8,707,974","1,301,289","5,054,116",-,"5,294,276","7,406,685","3,992,987","2,352,569",-,"184,246","184,246",-
41,12/31/2012,"55,511,918","10,596,239","7,820,885","1,841,907",-,"5,978,978","2,775,354","2,775,354",-,"2,775,354",-,"98,151","98,151",-,"4,731,971","28,290","855,462","756,909","3,091,310",-,"36,597,564","37,493,651","251,651","11,751,000","523,000","24,440,000","528,000","896,087",-,"423,000","423,000","708,882","1,426,334","184,762","497,449","622,170","121,953",-,"-717,452","1,064,947","1,014,129","50,818","1,291,164","49,463,277","46,133,073","27,663,615","27,663,615","18,469,458","347,213","320,478","26,735",-,-,"5,409","5,409","4,951",0,"5,409","2,337,113","2,337,113","23,300",682,"106,809","533,660","6,048,641","6,052,069","5,294,411","1,128,302","4,166,109","1,203,815",-,-,"-446,157",-,"-3,428","8,389,182","1,128,302","4,923,767",682,"4,987,122","7,266,289","3,858,820","2,342,522",-,"184,199","184,199","40,084"
42,9/30/2012,"53,087,001","8,540,675","6,580,381",-,-,"6,580,381","1,960,294","1,960,294",-,-,-,-,"118,190",-,"3,881,893","13,963","3,127,192","740,738",-,"874,903","36,465,718","37,391,059","220,240","19,291,733","7,194,788","10,095,732","588,566","925,341",-,-,-,"709,188",-,-,-,-,-,-,-,"1,070,163","1,015,129","55,034","1,426,271","47,168,746","43,772,537","26,476,626","26,476,626","17,295,911","451,214",-,-,-,-,"6,608","6,608",-,-,"6,608","2,326,659","2,326,659",-,-,-,"611,728","5,918,255","5,921,117","5,285,378","1,123,377","4,162,001","1,170,477",-,-,"-534,738",-,"-2,862","8,247,776","1,123,377","4,797,740",-,"4,850,954","7,131,007","3,727,577","2,333,267",-,"184,156","184,156",-
