,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Federal Funds Sold,Security Agree to be Resold,Federal Home Loan Bank Stock,Foreclosed Assets,Other Real Estate Owned,Bank Owned Life Insurance,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Long Term Equity Investment,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Other Receivables,Net PPE,Gross PPE,Land And Improvements,Buildings And Improvements,Machinery Furniture Equipment,Leases,Other Properties,Accumulated Depreciation,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Federal Funds Purchased,Financial Instruments Sold Under Agreements To Repurchase,Current Debt And Capital Lease Obligation,Current Debt,Current Notes Payable,Commercial Paper,Other Current Borrowings,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Treasury Stock,Gains Losses Not Affecting Retained Earnings,Other Equity Interest,Minority Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
20,12/31/2002,"26,565,689","1,630,058","1,088,986",-,"1,087,296","1,690","541,072","541,072",-,-,-,-,-,-,"3,635,951","331,610","3,304,341",-,-,-,"18,760,250","19,132,505",-,-,-,-,"19,132,505","279,593","-92,662",-,-,"393,630",-,-,-,-,-,-,-,"812,951",-,-,"1,332,849","24,169,169","20,131,980","15,014,522","15,014,522","5,117,458","1,884,822",-,-,"15,554","15,554",-,-,"15,554","1,601,769","1,601,769",-,-,-,"535,044","2,396,520","2,373,843","1,034,888",-,"1,034,888","1,292,741",-,-,"46,214",-,"22,677","3,975,612",-,"2,373,843",-,"1,560,892","3,991,166","1,560,892","1,617,323","528,337","90,718","90,718",-
21,12/31/2001,"24,304,164","1,261,189","981,389",-,"978,609","2,780","279,800","279,800",-,-,-,-,-,-,"3,466,357","102,896","3,363,461",-,-,-,"17,050,355","17,413,444",-,-,-,-,"17,413,444","260,483","-102,606",-,-,"368,076",-,-,-,-,-,-,-,"879,911",-,-,"1,278,276","22,006,973","17,841,690","13,361,021","13,361,021","4,480,669","2,224,992",-,-,"181,266","181,266",-,-,"181,266","1,330,800","1,330,800",-,-,-,"428,225","2,297,191","2,280,869","1,111,214",-,"1,111,214","1,109,704",-,-,"59,951",-,"16,322","3,611,669",-,"2,280,869",-,"1,400,958","3,792,935","1,400,958","1,512,066","530,677","91,745","91,745",-
22,12/31/2000,"21,939,443","1,575,319","1,068,489",-,"1,047,252","21,237","506,830","506,830",-,-,-,-,-,-,"4,188,309","280,410","3,907,899",-,-,-,"14,182,498","14,458,158",-,-,-,-,"14,458,158","195,535","-80,125",-,-,"324,512",-,-,-,-,-,-,-,"641,440",-,-,"1,027,365","20,120,742","15,069,983","11,484,311","11,484,311","3,585,672","2,687,947",-,-,"1,290,960","1,290,960",-,-,"1,290,960","761,565","761,565",-,-,-,"310,287","1,818,701","1,778,844","907,604",-,"907,604","874,884",-,-,"-3,644",-,"39,857","2,540,409",-,"1,778,844",-,"1,137,404","3,831,369","1,137,404","2,052,525","984,036","87,100","87,100",-
23,12/31/1999,"20,280,900","1,423,500","915,700",-,"898,300","17,400","507,800","507,800",-,-,-,-,-,-,"4,437,100","327,800","4,109,300",-,-,-,"12,586,500","12,853,100",-,-,-,-,"12,853,100","204,100","-62,500",-,-,"287,400",-,-,-,-,-,-,-,"666,200",-,-,"880,200","18,581,900","14,061,900","10,785,800","10,785,800","3,276,100","2,429,700",-,-,"1,038,000","1,038,000",-,-,"1,038,000","804,800","804,800",-,-,-,"247,500","1,699,000","1,659,800","888,200",-,"888,200","775,800",-,-,"-4,200",-,"39,200","2,464,600",-,"1,659,800",-,"993,600","3,502,600","993,600","1,842,800","927,100","85,593","85,593",-
24,12/31/1998,"16,648,900","1,476,600","894,900",-,"864,400","30,500","581,700","581,700",-,-,-,-,-,-,"3,680,400","191,900","3,488,500",-,-,-,"10,427,900","10,681,600",-,-,-,-,"10,681,600","205,600","-48,100",-,-,"231,100",-,-,-,-,-,-,-,"271,600",-,-,"561,300","15,600,400","13,321,100","10,150,700","10,150,700","3,170,400","1,299,500",-,-,"150,000","150,000",-,-,"150,000","510,500","510,500",-,-,-,"319,300","1,048,500","1,013,700",-,-,-,"693,800",-,-,-,"319,900","34,800","1,524,200",-,"1,013,700",-,"742,100","1,674,200","742,100","660,500",-,"78,636","78,636",-
25,12/31/1997,"9,521,800","1,091,600","688,700",-,"626,800","61,900","402,900","402,900",-,-,-,-,-,-,"3,061,400","83,700","2,977,700",-,-,-,"4,791,200","4,914,500",-,-,-,-,"4,914,500","80,500","-42,800",-,-,"136,000",-,-,-,-,-,-,-,-,-,-,"441,600","8,866,300","6,854,400","5,071,700","5,071,700","1,782,700","1,315,900",-,-,"59,900","59,900",-,-,"59,900","469,200","469,200",-,-,-,"166,900","655,500","655,500",-,-,-,"530,600",-,-,"2,700","122,200",-,"1,124,700",-,"655,500",-,"655,500","1,184,600","655,500","529,100",-,"63,962","63,962",-
26,12/31/1996,"6,485,000","1,017,700","452,000",-,"404,300","47,700","565,700","565,700",-,-,-,-,-,-,"1,809,800","34,100","1,775,700",-,-,-,"3,382,600","3,491,100",-,-,-,-,"3,491,100","70,000","-38,500",-,-,"93,000",-,-,-,-,-,-,-,-,-,-,"181,900","5,977,500","4,552,000","3,392,200","3,392,200","1,159,800","1,003,600",-,-,"13,500","13,500",-,-,"13,500","325,300","325,300",-,-,-,"83,100","507,500","507,500",-,-,-,"429,500",-,-,"-1,800","79,800",-,"832,800",-,"507,500",-,"507,500","846,300","507,500","338,800",-,"58,920","58,920",-
27,12/31/1995,"5,620,600","1,105,400","452,700",-,"418,100","34,600","652,700","652,700",-,-,-,-,-,-,"1,540,500","63,700","1,476,800",-,-,-,"2,739,400","2,838,000",-,-,-,-,"2,838,000","67,600","-31,000",-,-,"82,600",-,-,-,-,-,-,-,-,-,-,"152,700","5,192,100","4,097,200","3,098,600","3,098,600","998,600","865,300",-,-,"14,900","14,900",-,-,"14,900","142,400","142,400",-,-,-,"72,300","428,500","428,500",-,-,-,"353,200",-,-,"1,900","73,400",-,"570,900",-,"428,500",-,"428,500","585,800","428,500","157,300",-,"58,224","58,224",-
28,12/31/1994,"4,934,100","720,300","336,600",-,"316,900","19,700","383,700","383,700",-,-,-,-,-,-,"1,663,400","316,900","1,346,500",-,-,-,"2,324,300","2,416,100",-,-,-,-,"2,416,100","67,000","-24,800",-,-,"76,200",-,-,-,-,-,-,-,-,-,-,"149,900","4,568,300","3,705,900","2,820,100","2,820,100","885,800","606,000",-,-,"25,700","25,700",-,-,"25,700","159,800","159,800",-,-,-,"70,900","365,800","365,800",-,-,-,"292,400",-,-,"-5,900","79,300",-,"525,600",-,"365,800",-,"365,800","551,300","365,800","185,500",-,"58,240","58,240",-
29,12/31/1993,"4,365,600","882,600","328,800",-,"303,800","25,000","553,800","553,800",-,-,-,-,-,-,"1,145,000","98,300","1,046,700",-,-,-,"2,165,400","2,250,500",-,-,-,-,"2,250,500","65,300","-19,800",-,-,"65,100",-,-,-,-,-,-,-,-,-,-,"107,500","4,075,200","3,024,100","2,298,300","2,298,300","725,800","641,800",-,-,"136,100","136,100",-,-,"136,100","207,700","207,700",-,-,-,"65,500","290,400","290,400",-,-,-,"233,300",-,-,400,"56,700",-,"498,100",-,"290,400",-,"290,400","634,200","290,400","343,800","15,000","50,980","50,980",-
