,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Leases,Interest Income from Securities,Interest Income from Deposits,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Dividend Income,Foreign Exchange Trading Gains,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Insurance & Claims,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Loss on Extinguishment of Debt,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Net Income Extraordinary,Net Income from Tax Loss Carryforward,Minority Interests,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
56,6/30/2009,"1,118,466","493,688","637,696","591,407","586,672","4,735","46,289",-,-,"144,008","117,526","3,661","22,821",-,-,"624,778","100,874","100,874","51,833","8,750",-,-,"40,291","2,684","16,311","462,497","-10,876","7,040","473,373","45,096","-762,654","353,392","51,521","26,651","24,870","9,497","225,631","219,953","202,420","42,329","17,533","5,678","7,078","7,078","7,078","7,078","69,162","2,535","-108,046",-,"41,969",-,"66,077","41,969","-103,091","-34,239","-40,672","-67,643","-68,852","-68,852",-,-,-,"1,209","-26,971","-40,672",-0.35,-0.35,"115,908","115,908","-268,966","-67,643","-311,636",-,"7,078","-67,643","365,327","365,327",0,"121,334"
57,3/31/2009,"409,423","474,775","639,702","587,201","582,608","4,593","52,501",-,-,"164,927","137,232","6,020","21,675",-,-,"-65,352","98,180","98,180","52,788","7,165",-,-,"38,227","8,408","13,204","-194,345","-200,196","5,851",-,"9,201","-297,624","320,988","53,326","28,327","24,999","8,543","233,890","226,742","204,161","14,171","8,410","7,148","6,886","6,886","6,886","6,886","18,343","2,763","-771,882",-,"716,665",-,"55,217","82,673","-978,308","-151,727","-852,327","-826,041","-826,581","-826,581",-,-,-,540,"26,286","-852,327",-7.47,-7.47,"114,106","114,106","177,151","-826,041","-173,871",-,"36,396","-826,041","-771,882","-771,882",0,"-119,712"
58,12/31/2008,"426,152","508,442","725,200","648,252","643,253","4,999","76,948",-,-,"216,758","173,523","24,968","18,267",-,-,"-82,290","132,022","132,022","220,310","8,910",-,-,"-97,198",-,-,"-350,471","-374,850",-,-,"89,797","-285,189","396,636","55,967",-,-,-,"258,252","248,174","190,861",-,-,"10,078",-,-,-,-,"3,738",-,"-355,335",636,-,-,"354,699",-,"-614,552","-126,512","-498,084","-482,976","-484,496","-488,040",-,-,-,"1,520","15,108","-498,084",-,-,-,-,"223,253","-482,976","-200,790",-,"38,375","-482,976","-355,335","-355,335",0,"-73,149"
59,9/30/2008,"581,613","492,003","735,652","671,108","665,593","5,515","64,544",-,-,"243,649","165,557","47,518","30,574",-,-,"89,610","108,987","108,987","53,695","8,865",-,-,"46,427",-,-,"13,106","13,106",-,-,"-32,483","-156,606","369,653","54,833",-,-,-,"215,777","208,995","208,995",-,-,"6,782",-,-,-,-,"99,043",-,"-2,623",384,-,-,"2,239",-,"48,974","11,214","33,351","37,760","41,517","37,760",-,-,-,"-3,757","4,409","33,351",0.31,0.31,"108,407","108,497","335,397","37,760","39,782",-,"37,647","37,760","-2,623","-2,623",0,-600.611
60,6/30/2008,"557,115","484,743","722,932","651,577","645,810","5,767","71,355",-,-,"238,189","163,604","43,255","31,330",-,-,"72,372","103,713","103,713","51,067","10,284",-,-,"42,362",-,-,"-45,761","-45,761",-,-,"14,420","-114,192","354,136","52,974",-,-,-,"208,811","201,291","201,291",-,-,"7,520",-,-,-,-,"92,351",-,-281,281,-,-,-,-,"94,235","22,037","69,744","72,198","66,469","72,198",-,-,-,"5,729","2,454","69,744",0.65,0.65,"106,595","106,712","370,551","72,198","72,413",-,"35,565","72,198",-281,-281,0,-65.7123
61,3/31/2008,"643,447","486,458","790,115","697,274","691,456","5,818","92,841",-,-,"303,657","210,209","63,134","30,314",-,-,"156,989","101,259","101,259","49,585","9,693",-,-,"41,981",-,-,"14,424","14,424",-,-,"41,306","-92,282","349,796","50,537",-,-,-,"215,705","209,354","209,354",-,-,"6,351",-,-,-,-,"83,554",-,"-46,296",307,-,-,"45,989",-,"156,645","49,896","104,296","106,749","105,177","106,749",-,-,-,"1,572","2,453","104,296",0.97,0.97,"106,514","106,687","394,176","106,749","138,298",-,"28,614","106,749","-46,296","-46,296",0,"-14,747"
62,12/31/2007,"458,651","478,885","827,519","721,075","715,293","5,782","106,444",-,-,"348,634","244,624","67,601","36,409",-,-,"-20,234","92,705","92,705","244,945","10,151",-,-,"34,424",-,-,"-100,933","-139,436",-,-,"-66,001","-71,818","350,354","52,229",-,-,-,"233,975","227,653","191,141",-,-,"6,322",-,-,-,-,"-24,574",-,-776,687,-,-,-,-,"42,522","-11,035","42,198","45,541","46,738","53,557",-,-,-,"-1,197","3,343","42,198",-,-,-,-,"407,067","45,541","46,045",-,"31,000","45,541",-776,-776,0,-271.6
63,9/30/2007,"622,460","476,637","817,742","733,754","728,293","5,461","83,988",-,-,"341,105","243,367","59,034","38,704",-,-,"145,823","110,803","110,803","46,919","9,040",-,-,"54,844",-,-,"11,130","11,130",-,-,"23,890","-55,354","351,349","51,199",-,-,-,"211,112","204,488","204,488",-,-,"6,624",-,-,-,-,"89,038",-,-682,682,-,-,-,-,"207,585","71,853","131,962","135,732","143,222","135,732",-,-,-,"-7,490","3,770","131,962",1.24,1.22,"106,814","107,880","421,283","135,732","136,178",-,"31,326","135,732",-682,-682,0,-236.0659
64,6/30/2007,"610,688","469,347","789,614","706,578","701,344","5,234","83,036",-,-,"320,267","237,740","43,369","39,158",-,-,"141,341","104,152","104,152","45,116","9,125",-,-,"49,911",-,-,"11,384","11,384",-,-,"25,805","-17,763","346,121","50,606",-,-,-,"206,185","198,668","198,668",-,-,"7,517",-,-,-,-,"89,330",-,"-1,491","1,491",-,-,-,-,"245,279","86,065","155,607","159,214","159,248","159,214",-,-,-,-34,"3,607","155,607",1.44,1.43,"107,803","109,124","451,584","159,214","160,182",-,"32,480","159,214","-1,491","-1,491",0,-523.1712
65,3/31/2007,"602,497","457,083","770,451","683,658","678,452","5,206","86,793",-,-,"313,368","225,988","48,692","38,688",-,-,"145,414","96,754","96,754","43,385","8,216",-,-,"45,153",-,-,"20,614","20,614",-,-,"28,046","-9,111","351,979","49,856",-,-,-,"212,044","205,587","205,587",-,-,"6,457",-,-,-,-,"90,079",-,-,-,-,-,-,-,"242,112","88,854","149,655","153,258","152,553","153,258",-,-,-,705,"3,603","149,655",1.38,1.36,"108,414","110,107","447,972","153,258","153,258",-,"30,167","153,258",-,-,0,0
66,12/31/2006,"598,920","459,039","761,707","658,389","653,415","4,974","103,318",-,-,"302,668","214,130","45,914","42,624",-,-,"139,881","94,921","94,921","210,025","11,954",-,-,"93,959",-,-,"98,690","44,497",-,-,"-112,149","-27,923","330,914","47,793",-,-,-,"229,803","222,703","189,627",-,-,"7,100",-,-,-,-,"-29,816",-,"-10,764","2,199",-,-,-,-,"238,438","80,081","150,343","146,508","149,238","158,357",-,-,-,"-2,730",-,"150,343",-,-,-,-,"431,116","146,508","153,657",-,"33,974","146,508","-10,764","-10,764",0,"-3,615"
67,9/30/2006,"591,840","446,511","731,743","647,575","642,885","4,690","84,168",-,-,"285,232","196,045","46,968","42,219",-,-,"145,329","92,251","92,251","41,991","5,549",-,-,"44,711",-,-,"13,180","13,180",-,-,"39,898","-14,363","327,479","46,168",-,-,-,"197,120","190,554","190,554",-,-,"6,566",-,-,-,-,"84,191",-,"-2,549","2,549",-,-,-,-,"237,464","83,790","153,674","153,674","163,659","153,674",-,-,-,"-9,985",-,"153,674",1.45,1.42,"106,285","108,061","432,148","153,674","155,324",-,"35,442","153,674","-2,549","-2,549",0,-899.4235
68,6/30/2006,"574,086","436,327","686,601","599,690","595,194","4,496","86,911",-,-,"250,274","164,555","43,475","42,244",-,-,"137,759","90,438","90,438","41,414","5,312",-,-,"43,712",-,-,"-1,764","-1,764",-,-,"49,085","-17,022","324,370","47,286",-,-,-,"192,457","185,643","185,643",-,-,"6,814",-,-,-,-,"84,627",-,"-8,906","8,906",-,-,-,-,"224,131","78,821","145,310","145,310","144,967","145,310",-,-,-,343,-,"145,310",1.37,1.35,"106,001","107,883","419,305","145,310","151,084",-,"32,343","145,310","-8,906","-8,906",0,"-3,132"
69,3/31/2006,"552,778","422,847","638,070","550,960","546,830","4,130","87,110",-,-,"215,223","146,108","27,978","41,137",-,-,"129,931","84,665","84,665","40,038","4,356",-,-,"40,271",-,-,"16,269",801,-,"15,468","28,997","-14,512","325,898","47,211",-,-,-,"192,199","186,053","186,053",-,-,"6,146",-,-,-,-,"86,488",-,-,-,-,-,-,-,"212,891","75,258","137,633","137,633","137,110","137,633",-,-,-,523,-,"137,633",1.30,1.28,"105,472","107,725","408,335","137,633","127,633",-,"32,012","137,633","15,468","15,468",0,"5,468"
70,12/31/2005,"492,865","374,819","548,402","465,570","461,560","4,010","82,832",-,-,"173,583","114,833",-,"-33,399",-,-,"118,046","71,837","71,837","34,375","4,284",-,-,"33,178",-,-,"18,323","18,323",-,-,"27,886","-10,116","279,356","40,420",-,-,-,"161,003","154,942","154,942",-,-,"6,061",-,-,-,-,"77,933",-,"-5,454","5,454",-,-,-,-,"197,246","69,139","128,107","128,107","128,800","128,107",-,-,-,-693,-,"128,107",-,-,-,-,"364,703","128,107","131,649",-,"29,391","128,107","-5,454","-5,454",0,"-1,912"
71,9/30/2005,"451,901","340,652","483,277","412,761","408,781","3,980","70,516",-,-,"142,625","91,075",-,"51,550",-,-,"111,249","65,033","65,033","32,233","3,817",-,-,"28,983",-,-,"1,089","1,089",-,-,"45,127","-12,107","248,265","36,027",-,-,-,"148,465","142,590","142,590",-,-,"5,875",-,-,-,-,"63,773",-,-207,207,-,-,-,-,"191,170","68,200","122,970","122,970","123,122","122,970",-,-,-,-152,-,"122,970",1.37,1.34,"89,980","91,605","328,545","122,970","123,103",-,"24,779","122,970",-207,-207,0,-73.8474
72,6/30/2005,"437,480","330,928","455,736","386,874","382,851","4,023","68,862",-,-,"124,808","73,793",-,"51,015",-,-,"106,552","64,142","64,142","31,406","4,531",-,-,"28,205",-,-,"-2,778","-2,778",-,-,"45,188","-11,417","242,666","34,764",-,-,-,"143,579","138,244","138,244",-,-,"5,335",-,-,-,-,"64,323",-,-,-,-,-,-,-,"185,140","66,330","118,810","118,810","117,067","118,810",-,-,-,"1,743",-,"118,810",1.32,1.30,"89,846","91,610","319,511","118,810","118,810",-,"23,950","118,810",-,-,0,0
73,3/31/2005,"417,947","314,951","422,841","356,604","352,538","4,066","66,237",-,-,"107,890","60,623",-,"47,267",-,-,"102,996","60,614","60,614","30,782","3,405",-,-,"26,427",-,-,-54,-54,-,-,"42,436","-9,383","239,335","34,568",-,-,-,"142,219","138,126","138,126",-,-,"4,093",-,-,-,-,"62,548",-,-,-,-,-,-,-,"169,983","59,749","110,234","110,234","109,480","110,234",-,-,-,754,-,"110,234",1.23,1.20,"89,877","91,494","305,568","110,234","110,234",-,"22,547","110,234",-,-,0,0
74,12/31/2004,"408,331","313,290","408,217","342,624","338,437","4,187","65,593",-,-,"94,927","52,553",-,"42,374",-,-,"95,041","58,435","58,435","32,023","4,387",-,-,"22,025",-,-,"-7,153","-7,153",-,-,"43,759","-13,159","238,067","34,964",-,-,-,"142,992","138,062","138,062",-,-,"4,930",-,-,-,-,"60,111",-,-105,632,-,-,-527,-,"157,622","52,641","104,981","104,981","104,359","104,981",-,-,-,622,-,"104,981",-,-,-,-,"300,131","104,981","105,051",-,"10,815","104,981",-105,-105,0,-35.0668
75,9/30/2004,"404,271","294,778","383,059","320,735","316,522","4,213","62,324",-,-,"88,281","48,740",-,"39,541",-,-,"109,493","60,678","60,678","33,486","3,718",-,-,"23,474",-,-,"4,584","4,584",-,-,"44,231","-9,363","231,511","35,346",-,-,-,"138,398","133,609","133,609",-,-,"4,789",-,-,-,-,"57,767",-,"-1,904",370,-,-,"1,534",-,"160,635","58,140","102,495","102,495","103,353","102,495",-,-,-,-858,-,"102,495",1.14,1.13,"89,617","90,957","285,415","102,495","103,710",-,"34,729","102,495","-1,904","-1,904",0,-689.131
76,6/30/2004,"391,524","284,245","362,479","305,291","301,061","4,230","57,188",-,-,"78,234","41,561",-,"36,673",-,-,"107,279","61,286","61,286","33,419","4,797",-,-,"23,070",-,-,"-3,082","-3,082",-,-,"49,075","-10,301","229,976","35,426",-,-,-,"134,540","129,354","129,354",-,-,"5,186",-,-,-,-,"60,010",-,-,-,-,-,-,-,"153,473","54,631","98,842","98,842","96,616","98,842",-,-,-,"2,226",-,"98,842",1.10,1.09,"89,589","90,658","273,944","98,842","98,842",-,"24,896","98,842",-,-,0,0
77,3/31/2004,"388,233","282,183","351,383","296,626","292,417","4,209","54,757",-,-,"69,200","39,512",-,"29,688",-,-,"106,050","59,189","59,189","32,755","4,075",-,-,"22,359",-,-,"-4,114","-4,114",-,-,"50,975","-11,244","222,338","33,761",-,-,-,"135,120","130,278","130,278",-,-,"4,842",-,-,-,-,"53,457",-,-,-,-,-,-,-,"154,383","54,714","99,669","99,669","99,937","99,669",-,-,-,-268,-,"99,669",1.11,1.10,"89,724","90,905","270,939","99,669","99,669",-,"24,337","99,669",-,-,0,0
78,12/31/2003,"381,007","278,254","347,060","295,468","291,100","4,368","51,592",-,-,"68,806","40,775",-,"28,031",-,-,"102,753","60,340","60,340","32,580","5,516",-,-,"22,244",-,-,-725,-725,-,-,"43,138","-15,980","237,653","35,153",-,-,-,"127,828","122,725","122,725",-,-,"5,103",-,-,-,-,"74,672",-,"19,686",-,-,-,-,-,"147,500","51,890","95,610","95,610","95,170","95,610",0,-,-,440,-,"95,610",-,-,-,-,"262,274","95,610","82,849",-,"23,274","95,610","19,686","19,686",0,"6,925"
79,9/30/2003,"467,255","277,079","349,392","301,514","296,002","5,512","47,878",-,-,"72,313","41,822",-,"30,491",-,-,"190,176","62,117","62,117","33,747","5,082",-,-,"23,288",-,-,"76,525","76,525",-,-,"51,534","-18,260","221,296","36,100",-,-,-,"126,738","122,550","122,550",-,-,"4,188",-,-,-,-,"58,458",-,"-99,838",-,-,-,-,-,"130,710","66,511","62,084","62,084","59,235","64,199","-2,115",-,-,"2,849",-,"62,084",0.69,0.68,"89,754","90,811","258,819","62,084","124,102",-,"25,741","64,199","-99,838","-99,838",0,"-39,935"
80,6/30/2003,"374,758","273,953","353,537","304,570","300,091","4,479","48,967",-,-,"79,584","47,277",-,"32,307",-,-,"100,805","59,092","59,092","32,107","5,331",-,-,"21,654",-,-,"-6,241","-6,241",-,-,"47,954","-18,150","216,403","16,664",-,-,-,"127,926","122,985","122,985",-,-,"4,941",-,-,-,-,"71,813",-,-,-,-,-,-,-,"141,364","48,956","92,425","92,425","91,266","92,408",17,-,-,"1,159",-,"92,425",1.03,1.02,"90,008","90,586","255,803","92,425","92,408",-,"24,426","92,408",-,-,0,0
81,3/31/2003,"362,547","266,208","349,399","304,388","299,854","4,534","45,011",-,-,"83,191","53,617",-,"29,574",-,-,"96,339","57,129","57,129","31,412","5,128",-,-,"20,589",-,-,"-5,769","-5,769",-,-,"44,979","-17,550","213,964","32,630",-,-,-,"127,566","123,586","123,586",-,-,"3,980",-,-,-,-,"53,768",-,-,-,-,-,-,-,"133,770","46,394","87,704","87,704","84,967","87,376",328,-,-,"2,737",-,"87,704",0.97,0.97,"90,529","90,648","248,658","87,704","87,376",-,"21,095","87,376",-,-,0,0
82,12/31/2002,"365,150","258,582","355,627","308,086","303,445","4,641","47,541",-,-,"97,045","64,686",-,"32,359",-,-,"106,568","55,640","55,640","30,840","4,454",-,-,"20,346",-,-,"6,390","6,390",-,-,"44,538","-15,775","218,808","33,131",-,-,-,"123,964","119,320","119,320",-,-,"4,644",-,-,-,-,"61,713",-,-,-,-,-,-,-,"131,016","46,958","87,495","87,495","87,046","84,058","3,437",0,-,449,-,"87,495",-,-,-,-,"242,807","87,495","84,058",-,"12,797","84,058",-,-,0,0
83,9/30/2002,"336,121","261,306","366,620","317,862","312,716","5,146","48,758",-,-,"105,314","70,301",-,"35,013",-,-,"74,815","55,284","55,284","30,368","4,447",-,-,"20,469",-,-,"-20,937","-20,937",-,-,"40,468","-22,309","219,158","32,726",-,-,-,"128,609","124,978","124,978",-,-,"3,631",-,-,-,-,"57,823",-,-,-,-,-,-,-,"97,140","31,772","39,446","39,446","36,960","65,368","-25,922",-,-,"2,486",-,"39,446",0.43,0.43,"91,499","92,017","238,997","39,446","65,368",-,"26,113","65,368",-,-,0,0
84,6/30/2002,"363,052","259,038","368,680","317,327","312,193","5,134","51,353",-,-,"109,642","71,890",-,"37,752",-,-,"104,014","56,878","56,878","29,366","5,165",-,-,"22,347",-,-,580,580,-,-,"46,556","-15,705","222,861","33,690",-,-,-,"130,394","123,595","123,595",-,-,"6,799",-,-,-,-,"58,777",-,-,-,-,-,-,-,"125,061","42,986","82,075","82,075","81,500","82,075",-,-,-,575,-,"82,075",0.89,0.89,"91,779","92,629","243,333","82,075","82,075",-,"27,790","82,075",-,-,0,0
85,3/31/2002,"352,013","256,215","364,997","314,109","308,441","5,668","50,888",-,-,"108,782","71,845",-,"36,937",-,-,"95,798","54,023","54,023","28,420","4,413",-,-,"21,190",-,-,664,664,-,-,"41,111","-18,090","212,407","33,215",-,-,-,"123,338","117,474","117,474",-,-,"5,864",-,-,-,-,"55,854",-,-,-,-,-,-,-,"121,666","42,035","79,631","79,631","79,481","79,631",-,-,-,150,-,"79,631",0.52,0.51,"92,055","92,814","238,125","79,631","79,631",-,"20,393","79,631",-,-,0,0
86,12/31/2001,"356,556","251,821","376,392","319,578","313,608","5,970","56,814",-,-,"124,571","87,495",-,"37,076",-,-,"104,735","46,067","46,067","27,812","4,710",-,-,"13,545",-,-,964,964,-,-,"57,704","-26,714","222,615","33,725",-,-,-,"118,671","113,169","113,169",-,-,"5,502",-,-,-,-,"70,219",-,-,-,-,-,-,-,"108,387","36,501","71,886","71,886","70,726","71,886",-,0,-,"1,160",-,"71,886",-,-,-,-,"225,107","71,886","71,886",-,"17,013","71,886",-,-,0,0
87,9/30/2001,"355,422","247,113","401,238","338,584","332,666","5,918","62,654",-,-,"154,125","106,451",-,"47,674",-,-,"108,309","53,803","53,803","25,762","4,158",-,-,"23,883",-,-,"23,982","23,982",-,-,"30,524","-21,470","223,199","32,256",-,-,-,"119,314","114,279","114,279",-,-,"5,035",-,-,-,-,"71,629",-,-,-,-,-,-,-,"114,004","41,207","72,797","72,797","69,546","72,797",-,-,-,"3,251",-,"72,797",0.79,0.78,"92,306","93,509","225,643","72,797","72,797",-,"43,565","72,797",-,-,0,0
88,6/30/2001,"328,911","235,018","407,409","341,002","335,105","5,897","66,407",-,-,"172,391","121,751",-,"50,640",-,-,"93,893","52,712","52,712","25,379","4,655",-,-,"22,678",-,-,"2,230","2,230",-,-,"38,951","-12,235","205,910","30,426",-,-,-,"113,265","106,887","106,887",-,-,"6,378",-,-,-,-,"62,219",-,-,-,-,-,-,-,"112,549","38,954","73,595","73,595","71,812","73,595",-,-,-,"1,783",-,"73,595",0.80,0.79,"92,165","93,210","222,783","73,595","73,595",-,"34,141","73,595",-,-,0,0
89,3/31/2001,"327,606","215,837","406,913","329,676","324,656","5,020","77,237",-,-,"191,076","123,585",-,"67,491",-,-,"111,769","45,117","45,117","22,080","4,775",-,-,"18,262",-,-,"-8,882","-8,882",-,-,"75,534","-12,772","203,399","28,823",-,-,-,"112,984","107,115","107,115",-,-,"5,869",-,-,-,-,"61,592",-,-,-,-,-,-,-,"113,039","41,138","64,742","64,742","63,138","71,901",-,"-7,159",-,"1,604",-,"64,742",0.73,0.72,"88,247","89,495","203,065","71,901","71,901",-,"24,895","71,901",-,-,0,0
90,12/31/2000,"292,286","209,759","425,523","338,422","333,784","4,638","87,101",-,-,"215,764","137,175",-,"78,589",-,-,"82,527","41,809","41,809","21,244","4,619",-,-,"15,946",-,-,"5,580","5,580",-,-,"35,138","-12,230","179,277","27,099",-,-,-,"104,294","95,032","95,032",-,-,"9,262",-,-,-,-,"47,884",-,0,-,-,-,-,-,"100,499","34,525","65,974","65,974","66,254","65,974",-,-,-,-280,-,"65,974",-,-,-,-,"197,529","65,974","65,974",-,"42,933","65,974",0,0,0,0
91,9/30/2000,"283,378","208,029","424,482","335,447","331,175","4,272","89,035",-,-,"216,453","133,282",-,"83,171",-,-,"75,349","40,934","40,934","18,713","4,551",-,-,"17,670",-,-,"5,768","5,768",-,-,"28,647","-8,119","173,926","26,246",-,-,-,"92,779","86,750","86,750",-,-,"6,029",-,-,-,-,"54,901",-,-,-,-,-,-,-,"100,290","35,646","64,644","64,644","65,687","64,644",-,-,-,"-1,043",-,"64,644",0.74,0.74,"86,909","87,610","199,910","64,644","64,644",-,-,"64,644",-,-,0,0
92,6/30/2000,"265,197","194,598","396,623","306,503","302,403","4,100","90,120",-,-,"202,025","119,384",-,"82,641",-,-,"70,599","39,671","39,671","19,263","4,548",-,-,"15,860",-,-,"2,321","2,321",-,-,"28,607","-6,214","167,312","26,043",-,-,-,"91,935","86,374","86,374",-,-,"5,561",-,-,-,-,"49,334",-,-,-,-,-,-,-,"91,028","31,445","59,583","59,583","60,226","59,583",-,-,-,-643,-,"59,583",0.70,0.69,"85,707","86,323","188,384","59,583","59,583",-,-,"59,583",-,-,0,0
93,3/31/2000,"251,592","190,992","379,555","287,915","283,703","4,212","91,640",-,-,"188,563","113,992",-,"74,571",-,-,"60,600","39,375","39,375","19,049","4,487",-,-,"15,839",-,-,"1,135","1,135",-,-,"20,090","-5,248","200,312","24,987",-,-,-,"85,701","81,137","81,137",-,-,"4,564",-,-,-,-,"89,624",-,"-96,911",-,-,-,-,-,"-50,447","-21,955","-28,492","-28,492","-28,924","-28,492",-,-,-,432,-,"-28,492",-0.33,-0.33,"86,459","86,459","185,744","-28,492","29,655",-,"19,919","-28,492","-96,911","-96,911",0,"-38,764"
94,12/31/1999,"304,900","223,700","418,900","317,000","313,500","3,500","102,000",-,-,"195,200","128,700",-,"66,500",-,-,"81,200","46,400","46,400","22,700","5,200",-,-,"18,500",-,-,"-1,600",-,-,-,"36,400","-6,200","232,800","30,900",-,-,-,"104,100","98,900","98,900",-,-,"5,200",-,-,-,-,"97,800",-,-,-,-,-,-,-,"64,100","26,500","37,600","37,600","39,500","37,600",-,-,-,"-1,900",-,"37,600",-,-,-,-,"217,500","37,600","37,600",-,"39,700","37,600",-,-,0,0
95,9/30/1999,"237,500","176,300","324,600","245,100","242,000","3,100","79,400",-,100,"148,300","95,900",-,"52,300",-,100,"61,200","37,300","37,300","18,500","3,800",-,-,"15,000",-,-,-300,-300,-,-,"24,200","-4,000","148,900","21,200",-,-,-,"87,500","83,000","83,000",-,-,"4,500",-,-,-,-,"40,200",-,-,-,-,-,-,-,"83,800","29,000","54,800","54,800","55,700","54,800",-,-,-,-900,-,"54,800",0.69,0.69,"77,939","77,939","172,300","54,800","54,800",-,"19,600","54,800",-,-,0,0
96,6/30/1999,"235,300","174,600","315,100","237,900","234,600","3,300","77,300",-,-100,"140,500","94,500",-,"46,100",-,-100,"60,700","38,800","38,800","17,700","3,800",-,-,"17,300",-,-,200,200,-,-,"21,700","-3,600","151,200","21,300",-,-,-,"88,500","82,600","82,600",-,-,"5,900",-,-,-,-,"41,400",-,-,-,-,-,-,-,"79,900","27,100","52,800","52,800","53,400","52,800",-,-,-,-600,-,"52,800",0.60,0.59,"84,396","85,599","171,000","52,800","52,800",-,"13,600","52,800",-,-,0,0
97,3/31/1999,"230,200","166,900","300,700","227,200","223,800","3,400","73,400",-,100,"133,800","95,400",-,"38,500",-,-100,"63,300","36,100","36,100","17,800","3,000",-,-,"15,300",-,-,"-1,300","-1,300",-,-,"28,500","-4,200","148,700","21,500",-,-,-,"85,200","82,300","82,300",-,-,"2,900",-,-,-,-,"42,000",-,-,-,-,-,-,-,"75,800","26,900","48,900","48,900","50,400","48,900",-,-,-,"-1,500",-,"48,900",0.56,0.55,"85,493","85,493","162,700","48,900","48,900",-,"17,700","48,900",-,-,0,0
98,12/31/1998,"233,300","174,800","308,300","240,500","227,900",-,"76,900",-,"-9,100","133,500","100,400",-,"40,600",-,-,"58,500","37,600","37,600","17,500","3,500",-,-,"16,600",-,-,"-43,700",-,-,"-35,900","64,600","-2,900","183,100","21,600",-,-,-,"86,000","82,000","82,000",-,-,"4,000",-,-,-,-,"75,500",-,-,-,-,-,-,-,"46,800","14,700","32,100","32,100","32,600","32,100",-,-,-,-,-,"32,100",-,-,-,-,"171,900","32,100","56,724",-,"17,200","32,100","-35,900","-35,900",0,"-11,276"
99,9/30/1998,"180,300","130,700","234,500","157,200","157,200",-,"74,400",-,"2,900","103,800","67,800",-,"33,200","2,800",-,"49,600","30,200","30,200","14,300","2,200",-,-,"13,700",-,-,"15,200",600,-,"14,600","4,200","-2,500","112,800","16,200",-,-,-,"63,100","60,300","60,300",-,-,"2,800",-,-,-,-,"33,500",-,-,-,-,-,-,-,"65,000","22,300","42,700","42,700","42,700","42,700",-,-,-,-,-,"42,700",0.55,0.54,"77,636","79,074","128,200","42,700","33,109",-,"12,400","42,700","14,600","14,600",0,"5,009"
100,6/30/1998,"164,600","118,100","213,300","145,600","142,700","2,900","67,700",-,-,"95,200","62,600",-,"29,700","2,900",-,"46,500","27,400","27,400","12,800","2,000",-,-,"12,600",-,-,"2,200","2,200",-,-,"16,900","-3,200","106,400","14,600",-,-,-,"55,600","53,100","53,100",-,-,"2,500",-,-,-,-,"36,200",-,-,-,-,-,-,-,"55,000","17,600","37,400","37,400","37,400","37,400",-,-,-,-,-,"37,400",0.44,0.44,"75,000","75,000","114,900","37,400","37,400",-,"11,800","37,400",-,-,0,0
101,3/31/1998,"151,700","107,900","201,700","131,000","127,700","3,300","70,700",-,-,"93,800","58,200",-,"33,800","1,700",100,"43,800","25,500","25,500","13,000","1,600",-,-,"10,900",-,-,700,700,-,-,"17,600","-3,300","95,400","12,800",-,-,-,"52,500","49,900","49,900",-,-,"2,600",-,-,-,-,"30,100",-,-,-,-,-,-,-,"53,000","16,600","36,400","36,400","36,400","36,400",-,-,-,-,-,"36,400",0.54,0.52,"72,222","75,000","104,600","36,400","36,400",-,"10,700","36,400",-,-,0,0
