,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Other Interest Expense,Non Interest Income,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Other G and A,Selling & Marketing Expense,Other Non Interest Expense,Special Income Charges,Impairment of Capital Assets,Write Off,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Discontinuous Operations,Preferred Stock Dividends,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
53,5/31/2010,"1,660,005","1,147,161","1,551,782","1,538,754","1,538,754","5,064",-,-,"7,964","404,621","298,335",0,"106,286",-,"512,844","178,522","178,522",-,"305,754",0,0,-,"28,568","-724,264","513,548","17,691","17,691","78,067","363,593","265,623","202,536","63,087","97,970","54,197",-,-,-,-,-,"422,193","164,126","184,590","258,067","258,067","258,067",-,"73,477","184,590",0.34,0.33,"543,875","552,060","422,897","258,067","258,067",-,"41,325","258,067",-,-,0,0
54,2/28/2010,"1,691,302","1,145,426","1,559,150","1,544,555","1,544,555","5,328",-,-,"9,267","413,724","305,449",0,"108,275",-,"545,876","217,825","217,825",-,"294,909",180,180,-,"545,876","-1,387,206","474,804","17,860","17,860","75,813","345,855","261,182","195,764","65,418","84,673","35,276",-,-,-,-,-,"-170,708","-67,170","-122,233","-103,538","-103,538","-103,538",-,"18,695","-122,233",-0.22,-0.22,"555,605","555,605","-241,780","-103,538","-103,538",-,"42,426","-103,538",-,-,0,0
55,11/30/2009,"1,704,434","3,242,784","3,954,078","3,924,853","3,924,853","17,088",-,-,"56,741","711,294","2,081,851","5,076","21,841","-1,397,474","-1,538,350","-1,058,684","-1,058,684",-,"45,925","-137,163","-154,674",-,"-40,392","-399,732","2,626,144","18,282","18,282","92,910","88,350","-25,501","191,516","72,192","113,851","2,426,602",-,-,-,-,-,"570,256","217,719","333,903","352,537","352,537","352,537",0,"18,634","333,903",-,-,-,-,"2,843,052","352,537","352,537",-,"141,065","352,537",-,-,0,0
56,8/31/2009,"1,844,776","528,816","833,217","804,874","804,874","18,062","6,283",0,"3,998","304,401","-289,518",-10,"14,873","579,056","1,315,960","732,407","732,407",-,"83,480","-7,422","-7,422",-,"507,495","-380,999","523,838","18,437","18,437","83,746","354,021","276,207","208,528","67,679","77,814","67,634",-,-,-,-,-,"939,939","362,485","559,387","577,454","577,454","577,454",0,"18,067","559,387",1.08,1.07,"513,098","517,050","147,817","577,454","577,454","6,283","18,622","577,454",-,-,0,0
57,5/31/2009,"1,619,099","537,979","857,984","821,817","821,817","17,960","14,559",0,"3,648","320,005","-308,123","-1,345","10,537","618,936","1,081,120","464,541","464,541",-,"114,498","-1,012","-1,012",-,"503,093","-643,861","560,628","18,223","18,223","74,550","385,514","282,592","208,151","74,441","102,922","82,341",-,-,-,-,-,"414,610","188,810","209,246","225,800","225,800","225,800",0,"16,554","209,246",0.43,0.43,"481,636","481,636","-105,882","225,800","225,800","14,559","17,727","225,800",-,-,0,0
58,2/28/2009,"1,218,188","503,073","815,793","768,732","768,732","15,584","20,500","3,262","7,715","312,720","297,126","1,183","14,411",-,"715,115","155,635","155,635",-,-,-805,-805,-,"560,285","-937,813","559,123","18,072",-,-,"330,921","219,488","219,488",-,"111,433","210,130","474,841",-,-,-,-,"196,093","75,699","120,394","120,394","120,394","120,394",-,-,"120,394",0.25,0.25,"480,497","480,497","-434,740","120,394","-171,141","23,762","26,078","120,394","474,841","474,841",0,"183,306"
59,11/30/2008,"2,606,652","3,190,685","4,589,272","4,501,409","4,501,409","19,437","35,218","13,354","19,854","1,398,587","310,335",208,"19,129",-,"-584,033","443,835","443,835",-,-,"-97,505","-131,829",-,"-930,363","-714,176","2,089,133","20,676",-,-,"718,207","187,306","187,306",-,-,"1,000,766",-,-,-,-,-,"666,977","223,336","432,335","432,335","432,335","443,641","-11,306",-,"432,335",-,-,-,-,"2,476,509","432,335","443,641","48,572","58,278","443,641",-,-,0,0
60,8/31/2008,"1,251,170","376,049","681,692","604,047","604,047","14,372","31,551","16,527","15,195","305,643","286,861",-,"18,782",-,"875,121","72,697","72,697",-,-,"-5,325","-5,325",-,"807,749","-364,838","612,547","20,274",-,-,"222,426","222,426","222,426",-,-,"369,847",-,-,-,-,-,"273,785","94,885","180,053","180,053","180,053","178,900","1,153",-,"180,053",0.38,0.37,"473,824","486,630","11,211","180,053","178,900","48,078","66,048","178,900",-,-,0,0
61,5/31/2008,"1,143,707","298,815","612,063","519,926","519,926","11,626","34,239","26,062","20,210","313,248","292,441",45,"20,762",-,"844,892","71,688","71,688",-,-,"-31,280","-31,280",-,"804,484","-210,969","606,825","19,803",-,-,"218,290","218,290","218,290",-,-,"368,732",-,-,-,-,-,"325,913","124,370","234,148","234,148","234,148","201,543","32,605",-,"234,148",0.49,0.48,"477,853","487,808","87,846","234,148","201,543","60,301","52,078","201,543",-,-,0,0
62,2/29/2008,"1,298,905","323,361","662,802","553,298","553,298","5,987","22,437","41,279","39,801","339,441","309,799",90,"29,552",-,"975,544","107,102","107,102",-,-,-,-,-,"868,442","-305,632","602,343","19,641",-,-,"217,370","217,370","217,370",-,-,"365,332",-,-,-,-,-,"390,930","152,101","81,214","81,214","81,214","238,829","-157,615",-,"81,214",0.17,0.17,"478,518","481,744","17,729","81,214","238,829","63,716","54,994","238,829",-,-,0,0
63,11/30/2007,"2,594,019","2,727,132","4,721,239","4,558,078","4,558,078","7,471","16,833","86,593","52,264","1,994,107","313,619","51,632","35,483",-,"-133,113","224,367","224,367",-,-,-,-,-,"-604,522","-339,916","1,950,989","21,761",-,-,"390,410","226,494","226,494",-,"163,916","1,147,794",-,-,-,-,-,"-88,005","-31,521","-56,484","-56,484","-56,484","-56,484",-,-,"-56,484",-,-,-,-,"2,387,216","-56,484","-56,484","103,426","79,869","-56,484",-,-,0,0
64,8/31/2007,"1,239,639","394,141","755,610","628,835","628,835","1,366","8,281","74,424","42,704","361,469","275,768","53,943","31,758",-,"845,498","123,012","123,012",-,-,-,-,-,"722,486","-211,576","698,849","22,611",-,-,"390,919","227,904","227,904",-,"163,015","285,319",-,-,-,-,-,"329,214","126,974","202,240","202,240","202,240","202,240",-,-,"202,240",0.42,0.42,"481,524","481,524","182,565","202,240","202,240","82,705","62,123","202,240",-,-,0,0
65,5/31/2007,"1,238,805","367,112","703,365","568,469","568,469","1,294",-,"75,689","57,913","336,253","267,929","50,153","18,171",-,"871,693","105,923","105,923",-,-,-,-,-,"765,770","-203,287","702,992","24,350",-,-,"375,303","234,373","234,373",-,"140,930","303,339",-,-,-,-,-,"332,526","123,284","209,242","209,242","209,242","209,242",-,-,"209,242",0.44,0.44,"477,823","477,823","163,825","209,242","209,242","75,689","58,789","209,242",-,-,0,0
66,2/28/2007,"1,222,023","396,346","680,305","637,298","637,298","1,183",-,"5,021","36,803","283,959","187,258","76,469","20,232",-,"825,677","100,746","100,746",-,-,-,-,-,"724,931","-195,386","655,176","22,809",-,-,"233,318","233,318","233,318",-,-,"399,049",-,-,-,-,-,"371,461","137,829","233,632","233,632","233,632","233,632",-,-,"233,632",0.49,0.49,"476,800","476,800","200,960","233,632","233,632","5,021","56,350","233,632",-,-,0,0
67,11/30/2006,"2,996,189","2,690,058","4,331,125",-,-,"-1,808,295",-,-,"151,881","1,641,067",-,-,-,-,"306,131",-,-,-,-,-,-,-,"-614,622","-239,693","1,947,061",-,-,-,"838,181","234,625","234,625",-,-,"648,833",-,-,-,-,-,"185,541",-981,"186,522","186,522","186,522","186,522",-,-,"186,522",-,-,-,-,"2,450,365","186,522","186,522",-,"144,724","186,522",-,-,0,0
68,8/31/2006,"1,120,988","392,308","642,748",-,-,"564,924",-,-,"77,824","250,440",-,-,-,-,"728,680",-,-,-,-,-,-,-,"728,680","-231,614","682,537",-,-,-,"237,436","237,436","237,436",-,-,"445,101",-,-,-,-,-,"367,531","126,138","241,393","241,393","241,393","241,393",-,-,"241,393",0.51,0.51,"473,320","473,320","160,694","241,393","241,393",-,"24,832","241,393",-,-,0,0
69,5/31/2006,"1,061,529","389,845","607,181",-,-,"651,224",-,-,"-44,043","217,336",-,-,-,-,"671,684",-,-,-,-,-,-,-,"671,684","-129,502","648,034",-,-,-,"223,296","223,296","223,296",-,-,"424,738",-,-,-,-,-,"544,336","201,058","343,278","343,278","343,278","343,278",-,-,"343,278",0.72,0.72,"476,775","476,775","260,343","343,278","343,278",-,-,"343,278",-,-,0,0
