,Breakdown,Total Assets,"Cash, Cash Equivalents & Federal Funds Sold",Cash And Cash Equivalents,Cash,Cash Equivalents,Cash And Due from Banks,Interest Bearing Deposits Assets,Money Market Investments,Federal Funds Sold & Securities Purchased Under Agreements to Resell,Customer Acceptances,SECURITIES_AND_INVESTMENTS,Trading Securities,Available for Sale Securities,Held To Maturity Securities,Other Short Term Investments,Derivative Assets,Net Loan,Gross Loan,Loans Held for Sale,Commercial Loan,Consumer Loan,Mortgage Loan,Other Loan Assets,Allowance for Loans And Lease Losses,Unearned Income,Receivables,Accounts receivable,Gross Accounts Receivable,Other Receivables,Net PPE,Goodwill And Other Intangible Assets,Goodwill,Other Intangible Assets,Assets Held for Sale,Other Assets,Total Liabilities Net Minority Interest,Total Deposits,Interest Bearing Deposits Liabilities,Customer Accounts,Non Interest Bearing Deposits,Federal Funds Purchased And Securities Sold Under Agreement To Repurchase,Payables And Accrued Expenses,Current Accrued Expenses,Current Debt And Capital Lease Obligation,Current Debt,Commercial Paper,Other Current Borrowings,Trading Liabilities,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Advance From Federal Home Loan Banks,Long Term Capital Lease Obligation,Long Term Provisions,Other Liabilities,Total Equity Gross Minority Interest,Stockholders' Equity,Capital Stock,Preferred Stock,Common Stock,Retained Earnings,Additional Paid in Capital,Gains Losses Not Affecting Retained Earnings,Foreign Currency Translation Adjustments,Other Equity Adjustments,Other Equity Interest,Total Capitalization,Preferred Stock Equity,Common Stock Equity,Capital Lease Obligations,Net Tangible Assets,Invested Capital,Tangible Book Value,Total Debt,Net Debt,Share Issued,Ordinary Shares Number,Preferred Shares Number
42,9/30/2012,"2,166,162,000","356,399,000","122,365,000",-,"106,415,000","15,950,000",-,"234,034,000","234,034,000",-,"556,937,000","211,090,000","305,949,000","39,898,000",-,"57,865,000","883,238,000","909,471,000","16,436,000","330,757,000","562,278,000",-,-,"26,233,000",-,"66,341,000","66,341,000",-,-,"12,436,000","82,248,000","69,976,000","12,272,000","16,436,000","150,698,000","1,927,556,000","1,063,307,000","693,994,000","693,994,000","369,313,000","273,900,000","144,976,000","144,976,000","35,291,000","35,291,000","35,291,000","35,291,000","72,179,000","51,369,000","286,534,000","286,534,000",-,-,-,"72,179,000","238,606,000","238,606,000","176,834,000","18,768,000","158,066,000","62,583,000",-,"-811,000",-,-,-,"525,140,000","18,768,000","219,838,000",-,"156,358,000","541,663,000","137,590,000","321,825,000","199,460,000","10,777,267","10,777,267","3,685"
43,6/30/2012,"2,160,854,000","372,183,000","146,067,000",-,"123,717,000","22,350,000",-,"226,116,000","226,116,000",-,"539,942,000","204,725,000","300,049,000","35,168,000",-,"59,939,000","875,316,000","905,604,000","13,289,000","316,984,000","575,331,000",-,-,"30,288,000",-,"71,458,000",-,-,-,"12,653,000","83,191,000","69,976,000","13,215,000",-,"146,172,000","1,924,879,000","1,035,225,000","685,046,000","685,046,000","350,179,000","285,914,000","133,900,000","133,900,000","39,019,000","39,019,000","39,019,000",-,"77,458,000","51,515,000","301,848,000","301,848,000",-,-,-,-,"235,975,000","235,975,000","176,763,000","18,762,000","158,001,000","62,712,000",-,"-3,500,000",-,-,-,"537,823,000","18,762,000","217,213,000",-,"152,784,000","558,080,000","134,022,000","340,867,000","194,800,000","10,776,869","10,776,869","3,685"
44,3/31/2012,"2,181,449,000","375,055,000","149,271,000",-,"128,792,000","20,479,000",-,"225,784,000","225,784,000",-,"541,020,000","209,775,000","297,040,000","34,205,000",-,"59,051,000","883,056,000","915,267,000","12,973,000","312,878,000","589,416,000",-,-,"32,211,000",-,"74,358,000",-,-,-,"13,104,000","85,395,000","69,976,000","15,419,000",-,"150,410,000","1,948,950,000","1,041,311,000","695,856,000","695,856,000","345,455,000","258,491,000","135,396,000","135,396,000","39,254,000","39,254,000","39,254,000",-,"70,414,000","49,172,000","354,912,000","354,912,000",-,-,-,-,"232,499,000","232,499,000","176,761,000","18,788,000","157,973,000","60,734,000",-,"-4,996,000",-,-,-,"587,411,000","18,788,000","213,711,000",-,"147,104,000","607,877,000","128,316,000","394,166,000","244,895,000","10,775,604","10,775,604","3,685"
45,12/31/2011,"2,129,046,000","357,289,000","146,106,000",-,"120,102,000","120,102,000","26,004,000","211,183,000","211,183,000",-,"480,735,000","169,319,000","276,151,000","35,265,000","276,151,000","73,023,000","908,321,000","939,962,000","13,762,000","255,231,000","209,110,000","439,870,000","926,200,000","31,641,000",-,"66,907,000","66,999,000",-,"-92,000","13,637,000","85,498,000","69,967,000","15,531,000","-2,050,000","145,686,000","1,898,945,000","1,033,041,000","693,974,000","693,974,000","339,067,000","214,864,000","123,049,000","123,049,000","35,698,000","35,698,000","35,698,000",-,"60,508,000","59,520,000","372,265,000","372,265,000",-,-,-,-,"230,101,000","230,101,000","175,018,000","18,397,000","156,621,000","60,520,000",-,"-5,437,000",-,-,-,"602,366,000","18,397,000","211,704,000",-,"144,603,000","619,667,000","126,206,000","407,963,000","261,857,000","10,535,938","10,535,938","388,268"
46,9/30/2011,"2,219,628,000","351,193,000","101,195,000",-,"82,865,000","18,330,000",-,"249,998,000","249,998,000",-,"527,123,000","176,398,000","324,267,000","26,458,000",-,"79,044,000","920,534,000","955,616,000","23,085,000","309,824,000","622,707,000",-,-,"35,082,000",-,"89,302,000",-,-,-,"13,552,000","87,633,000","70,832,000","16,801,000",-,"151,247,000","1,989,376,000","1,041,353,000","713,519,000","713,519,000","327,834,000","248,116,000","139,743,000","139,743,000","33,869,000","33,869,000","33,869,000",-,"68,026,000","59,304,000","398,965,000","398,965,000",-,-,-,-,"230,252,000","230,252,000","173,281,000","19,480,000","153,801,000","59,043,000",-,"-2,071,000",-,-,"-1,000","629,217,000","19,480,000","210,772,000",-,"142,619,000","643,606,000","123,139,000","432,834,000","331,639,000","10,134,432","10,134,432","3,994"
47,6/30/2011,"2,261,319,000","374,999,000","139,818,000",-,"119,527,000","20,291,000",-,"235,181,000","235,181,000",-,"527,991,000","196,939,000","330,871,000","181,000",-,"66,598,000","924,037,000","961,349,000","20,092,000","303,357,000","637,900,000",-,-,"37,312,000",-,"86,550,000",-,-,-,"13,793,000","92,892,000","71,074,000","21,818,000",-,"174,459,000","2,039,143,000","1,038,408,000","730,295,000","730,295,000","308,113,000","239,521,000","154,520,000","154,520,000","50,632,000","50,632,000","50,632,000",-,"74,989,000","54,414,000","426,659,000","426,659,000",-,-,-,-,"222,176,000","222,176,000","168,129,000","16,562,000","151,567,000","53,254,000",-,"793,000",-,-,-,"648,835,000","16,562,000","205,614,000",-,"129,284,000","682,905,000","112,722,000","477,291,000","337,473,000","10,133,190","10,133,190","3,944"
48,3/31/2011,"2,274,532,000","355,305,000","121,249,000",-,"97,542,000","23,707,000",-,"234,056,000","234,056,000",-,"539,537,000","208,761,000","330,345,000","431,000",-,"65,334,000","917,585,000","957,428,000","25,003,000","297,628,000","634,797,000",-,-,"39,843,000",-,"97,318,000",-,-,-,"14,151,000","98,989,000","73,869,000","25,120,000",-,"186,313,000","2,043,656,000","1,020,175,000","725,924,000","725,924,000","294,251,000","260,521,000","128,221,000","128,221,000","58,324,000","58,324,000","58,324,000",-,"88,478,000","53,501,000","434,436,000","434,436,000",-,-,-,-,"230,876,000","230,876,000","167,941,000","16,562,000","151,379,000","62,483,000",-,"463,000",-,-,"-11,000","665,312,000","16,562,000","214,314,000",-,"131,887,000","707,074,000","115,325,000","492,760,000","371,511,000","10,131,803","10,131,803","3,944"
49,12/31/2010,"2,264,909,000","344,476,000","134,860,000",-,"108,427,000","108,427,000","26,433,000","209,616,000","209,616,000",-,"532,725,000","194,671,000","337,627,000","427,000","337,627,000","73,000,000","913,467,000","953,556,000","35,058,000","222,334,000","234,388,000","461,776,000",-,"40,089,000",-,"107,520,000","85,704,000",-,"21,816,000","14,306,000","98,961,000","73,861,000","25,100,000","-1,670,000","182,124,000","2,036,661,000","1,010,430,000","719,129,000","719,129,000","291,301,000","245,359,000","144,580,000","144,580,000","59,962,000","59,962,000","59,962,000",-,"71,985,000","55,914,000","448,431,000","448,431,000","7,217,000",-,-,-,"228,248,000","228,248,000","167,467,000","16,562,000","150,905,000","60,849,000",-,"-66,000",-,-,"-2,000","676,679,000","16,562,000","211,686,000",-,"129,287,000","720,079,000","112,725,000","508,393,000","373,533,000","10,085,155","10,085,155","3,944"
50,9/30/2010,"2,327,811,000","421,880,000","150,062,000",-,"131,116,000","18,946,000",-,"271,818,000","271,818,000",-,"530,557,000","207,695,000","322,424,000","438,000",-,"72,834,000","923,605,000","967,186,000","33,276,000",-,-,-,"933,910,000","43,581,000",-,"78,599,000",-,-,-,"14,320,000","98,544,000","75,602,000","22,942,000",-,"187,472,000","2,097,316,000","977,322,000","705,353,000","705,353,000","271,969,000","296,605,000","139,896,000","139,896,000","64,818,000","64,818,000",-,"64,818,000","90,010,000","49,807,000","478,858,000","478,858,000",-,-,-,-,"230,495,000","230,495,000","167,667,000","18,104,000","149,563,000","62,515,000",-,"336,000",-,-,"-23,000","709,353,000","18,104,000","212,391,000",-,"131,951,000","756,067,000","113,847,000","543,676,000","393,614,000","10,033,705","10,033,705","3,961"
51,6/30/2010,"2,363,878,000","419,419,000","171,752,000",-,"151,034,000","20,718,000",-,"247,667,000","247,667,000",-,"315,200,000","197,376,000","315,200,000","435,000",-,"83,331,000","956,177,000","956,177,000","38,046,000",-,-,-,"956,177,000","45,255,000",-,"86,466,000",-,-,-,"14,536,000","111,638,000","85,801,000","25,837,000",-,"1,092,501,000","2,130,704,000","974,467,000","709,688,000","709,688,000","264,779,000","307,211,000","132,814,000","132,814,000","73,358,000","73,358,000",-,"73,358,000","89,982,000","62,789,000","490,083,000","490,083,000",-,-,-,"1,156,237,000","233,174,000","233,174,000","215,181,000","17,993,000","215,181,000","70,497,000",-,"-4,447,000",-,-,"17,993,000","723,257,000","17,993,000","233,174,000",-,"233,174,000","778,622,000","233,174,000","563,441,000","391,689,000","10,033,017","10,033,017","3,961"
52,3/31/2010,"2,333,200,000","362,088,000","165,050,000",-,"144,794,000","20,256,000",-,"197,038,000","197,038,000",-,"316,360,000","206,018,000","316,360,000","340,000",-,"77,577,000","976,042,000","976,042,000","35,386,000",-,-,-,"976,042,000","46,835,000",-,"83,636,000",-,-,-,"15,147,000","116,999,000","86,305,000","30,694,000",-,"1,040,798,000","2,103,377,000","976,102,000","715,018,000","715,018,000","261,084,000","270,601,000","135,656,000","135,656,000","85,406,000","85,406,000",-,"85,406,000","82,532,000","46,927,000","511,653,000","511,653,000",-,-,-,"1,127,275,000","229,823,000","229,823,000","167,012,000","17,964,000","149,048,000","67,811,000",-,"-4,929,000",-,-,"-71,000","741,476,000","17,964,000","229,823,000",-,"229,823,000","808,918,000","229,823,000","597,059,000","432,009,000","10,032,001","10,032,001","3,961"
53,12/31/2009,"2,223,299,000","335,474,000","145,541,000",-,"121,339,000","121,339,000","24,202,000","189,933,000","189,933,000",-,"493,647,000","182,206,000","301,601,000","9,840,000","301,601,000","80,689,000","885,883,000","921,803,000","43,874,000","230,918,000","171,455,000","475,556,000",-,"35,920,000",-,"103,904,000","81,996,000",-,"21,908,000","15,500,000","118,114,000","86,314,000","31,800,000","-989,000","191,077,000","1,991,855,000","991,611,000","716,507,000","716,507,000","275,104,000","255,185,000","127,854,000","127,854,000","69,524,000","69,524,000","69,524,000",-,"65,432,000","43,728,000","438,521,000","438,521,000","7,465,000",-,-,-,"231,444,000","231,444,000","165,942,000","37,208,000","128,734,000","71,233,000",-,"-5,619,000",-,-,"-112,000","669,965,000","37,208,000","194,236,000",-,"113,330,000","702,281,000","76,122,000","508,045,000","362,504,000","8,650,244","8,650,244","5,247"
54,9/30/2009,"2,251,043,000","363,165,000","175,404,000",-,"152,412,000","22,992,000",-,"187,761,000","187,761,000",-,"461,583,000","204,838,000","247,200,000","9,545,000",-,"94,855,000","918,558,000","954,390,000","40,124,000",-,-,-,"914,266,000","35,832,000",-,-,-,-,-,"15,373,000","116,574,000","86,009,000","30,565,000",-,"280,935,000","1,993,360,000","974,899,000","723,281,000","723,281,000","251,618,000","249,578,000","126,019,000","126,019,000","62,280,000","62,280,000",-,"62,280,000","71,672,000","52,624,000","456,288,000","456,288,000",-,-,-,-,"257,683,000","257,683,000","187,663,000","58,840,000","128,823,000","76,881,000",-,"-6,705,000",-,-,"-156,000","713,971,000","58,840,000","198,843,000",-,"141,109,000","717,411,000","82,269,000","518,568,000","343,164,000","8,650,314","8,650,314","203,693"
55,6/30/2009,"2,254,394,000","350,761,000","166,076,000",-,"140,366,000","25,710,000",-,"184,685,000","184,685,000",-,"466,709,000","199,471,000","257,519,000","9,719,000",-,"101,707,000","959,457,000","993,242,000","50,994,000",-,-,-,"942,248,000","33,785,000",-,-,-,-,-,"15,667,000","118,348,000","86,246,000","32,102,000",-,"241,745,000","1,999,242,000","970,742,000","717,425,000","717,425,000","253,317,000","263,639,000","116,754,000","116,754,000","96,236,000","96,236,000",-,"96,236,000","53,384,000","51,300,000","447,187,000","447,187,000",-,-,-,-,"255,152,000","255,152,000","187,377,000","58,660,000","128,717,000","79,210,000",-,"-11,227,000",-,-,"-208,000","702,339,000","58,660,000","196,492,000",-,"136,804,000","739,915,000","78,144,000","543,423,000","377,347,000","8,651,595","8,651,595","203,693"
56,3/31/2009,"2,519,134,000","350,637,000","197,407,000",-,"173,460,000","23,947,000",-,"153,230,000","153,230,000",-,"286,249,000","203,131,000","286,249,000","8,444,000",-,"137,311,000","994,121,000","994,121,000","40,214,000",-,-,-,"977,008,000","29,048,000",-,-,-,-,-,"15,549,000","115,038,000","86,910,000","28,128,000",-,"1,238,764,000","2,290,368,000","964,081,000","715,473,000","715,473,000","238,035,000","246,734,000","126,030,000","126,030,000","185,816,000","185,816,000",-,"185,816,000","52,993,000","76,582,000","440,751,000","440,751,000",-,-,-,"1,326,287,000","228,766,000","228,766,000","174,141,000","73,277,000","100,864,000","76,877,000",-,"-11,164,000",-,-,"-305,000","680,300,000","73,277,000","228,766,000",-,"228,766,000","792,839,000","228,766,000","626,567,000","429,160,000","6,400,950","6,400,950","9,778"
57,12/31/2008,"1,817,943,000","124,905,000","42,427,000",-,"32,857,000","32,857,000","9,570,000","82,478,000","82,478,000",-,"437,111,000","159,522,000","277,589,000","685,000","277,589,000","62,252,000","918,310,000","940,500,000","31,454,000","250,253,000","168,152,000","490,641,000","962,900,000","22,190,000",-,"22,177,000",-,-,"22,177,000","13,161,000","103,525,000","81,934,000","21,591,000","-658,000","137,160,000","1,640,891,000","882,997,000","664,999,000","664,999,000","217,998,000","206,598,000","36,952,000","36,952,000","158,056,000","158,056,000","158,056,000","158,056,000","57,287,000","30,709,000","268,292,000","268,292,000","51,245,000",-,-,"124,948,000","177,052,000","177,052,000","114,467,000","37,701,000","76,766,000","73,823,000",-,"-10,825,000","-704,000","-10,534,000","-413,000","445,344,000","37,701,000","139,351,000",-,"73,527,000","565,699,000","35,826,000","426,348,000","383,921,000","6,401,388","6,401,388","8,202"
58,9/30/2008,"1,831,177,000","138,088,000","51,050,000",-,"39,341,000","11,709,000",-,"87,038,000","87,038,000",-,"433,536,000","174,859,000","258,677,000",-,-,-,"949,744,000","970,090,000",-,-,-,-,"970,090,000","20,346,000",-,-,-,-,-,"13,000,000","112,054,000",-,-,-,"184,755,000","1,670,138,000","874,051,000","669,502,000","669,502,000","204,549,000","225,729,000",-,-,"145,812,000","145,812,000",-,"145,812,000",-,-,"257,710,000","257,710,000",-,-,-,"166,836,000","161,039,000","161,039,000","89,512,000","24,151,000","65,361,000","77,695,000",-,"-6,168,000","54,000","-6,222,000",-,"418,749,000","24,151,000","136,888,000",-,"48,985,000","540,410,000","24,834,000","403,522,000","352,472,000","4,562,055","4,562,055","7,602"
59,6/30/2008,"1,716,875,000","153,846,000","46,776,000",-,"39,127,000","7,649,000",-,"107,070,000","107,070,000",-,"417,696,000","167,837,000","249,859,000",-,-,-,"853,334,000","870,464,000",-,-,-,-,"870,464,000","17,130,000",-,-,-,-,-,"11,627,000","9,603,000",-,-,-,"270,769,000","1,554,184,000","784,764,000","581,745,000","581,745,000","203,019,000","238,123,000",-,-,"177,753,000","177,753,000",-,"177,753,000",-,-,"206,605,000","206,605,000",-,-,-,"146,939,000","162,691,000","162,691,000","85,260,000","24,151,000","61,109,000","79,920,000",-,"-2,489,000","358,000","-2,847,000",-,"369,296,000","24,151,000","138,540,000",-,"153,088,000","522,898,000","128,937,000","384,358,000","337,582,000","4,452,947","4,452,947","7,602"
60,3/31/2008,"1,736,502,000","169,608,000","49,319,000",-,"40,512,000","8,807,000",-,"120,289,000","120,289,000",-,"388,693,000","165,693,000","223,000,000",-,-,-,"858,979,000","873,870,000",-,-,-,-,"873,870,000","14,891,000",-,-,-,-,-,"11,297,000","91,163,000",-,-,-,"216,762,000","1,580,193,000","797,069,000","599,947,000","599,947,000","197,122,000","219,738,000",-,-,"190,856,000","190,856,000",-,"190,856,000",-,-,"202,800,000","202,800,000",-,-,-,"169,730,000","156,309,000","156,309,000","78,386,000","17,306,000","61,080,000","79,554,000",-,"-1,631,000","316,000","-1,947,000",-,"359,109,000","17,306,000","139,003,000",-,"65,146,000","532,659,000","47,840,000","393,656,000","344,337,000","4,452,784","4,452,784",-
61,12/31/2007,"1,715,746,000","183,856,000","54,304,000",-,"42,531,000","42,531,000","11,773,000","129,552,000","129,552,000",-,"376,120,000","162,064,000","214,056,000","726,000","213,330,000","34,662,000","842,392,000","853,762,000",-,"236,673,000","161,418,000","455,671,000","876,344,000","11,370,000",-,"22,364,000",-,-,"22,364,000","11,240,000","91,173,000","77,530,000","13,643,000",-,"153,939,000","1,568,943,000","805,177,000","612,950,000","612,950,000","192,227,000","221,435,000","53,969,000","53,969,000","191,089,000","191,089,000","191,089,000","191,089,000","77,342,000","22,423,000","197,508,000","197,508,000","10,971,000",-,-,"153,734,000","146,803,000","146,803,000","64,737,000","4,409,000","60,328,000","81,393,000",-,"1,129,000",-,-,"-456,000","344,311,000","4,409,000","142,394,000",-,"55,630,000","530,991,000","51,221,000","388,597,000","334,293,000","4,442,229","4,442,229",-
62,9/30/2007,"1,578,763,000","178,935,000","43,785,000",-,"34,956,000","8,829,000",-,"135,150,000","135,150,000",-,"356,661,000","179,365,000","177,296,000",-,-,-,"784,002,000","793,537,000",-,-,-,-,"793,537,000","9,535,000",-,-,-,-,-,"9,762,000","80,485,000",-,-,-,"168,918,000","1,440,253,000","699,222,000","529,929,000","529,929,000","169,293,000","199,293,000",-,-,"201,155,000","201,155,000",-,"201,155,000",-,-,"185,484,000","185,484,000",-,-,-,"155,099,000","138,510,000","138,510,000","63,677,000","3,401,000","60,276,000","84,027,000",-,"-9,194,000","303,000","-9,497,000",-,"323,994,000","3,401,000","135,109,000",-,"58,025,000","521,748,000","54,624,000","386,639,000","342,854,000","4,438,318","4,438,318",-
63,6/30/2007,"1,534,359,000","180,308,000","48,650,000",-,"35,499,000","13,151,000",-,"131,658,000","131,658,000",-,"355,731,000","182,404,000","173,327,000",-,-,-,"749,575,000","758,635,000",-,-,-,-,"758,635,000","9,060,000",-,-,-,-,-,"9,482,000","78,073,000",-,-,-,"161,190,000","1,398,608,000","699,409,000","523,830,000","523,830,000","175,579,000","221,064,000",-,-,"159,542,000","159,542,000",-,"159,542,000",-,-,"169,317,000","169,317,000",-,-,-,"149,276,000","135,751,000","135,751,000","2,851,000","2,851,000",-,"83,223,000","60,349,000","-10,672,000","250,000","-10,922,000",-,"305,068,000","2,851,000","132,900,000",-,"57,678,000","461,759,000","54,827,000","328,859,000","280,209,000","4,437,353","4,437,353",-
64,3/31/2007,"1,502,157,000","182,232,000","43,586,000",-,"31,549,000","12,037,000",-,"138,646,000","138,646,000",-,"356,104,000","174,218,000","181,886,000",-,-,-,"714,901,000","723,633,000",-,-,-,-,"723,633,000","8,732,000",-,-,-,-,-,"9,271,000","78,054,000",-,-,-,"161,595,000","1,367,301,000","692,801,000","515,373,000","515,373,000","177,428,000","234,413,000",-,-,"234,133,000","234,133,000",-,"234,133,000",-,-,"152,562,000","152,562,000",-,-,-,"53,392,000","134,856,000","134,856,000","2,851,000","2,851,000",-,"79,996,000","60,536,000","-8,527,000","135,000","-8,662,000",-,"287,418,000","2,851,000","132,005,000",-,"56,802,000","518,700,000","53,951,000","386,695,000","343,109,000","4,437,771","4,437,771",-
65,12/31/2006,"1,459,737,000","185,859,000","50,381,000",-,"36,429,000","36,429,000","13,952,000","135,478,000","135,478,000",-,"345,898,000","153,052,000","192,846,000","40,000","192,806,000","23,439,000","675,827,000","684,626,000",-,"182,663,000","77,442,000","424,521,000","706,490,000","8,799,000",-,"21,647,000",-,-,"21,647,000","9,255,000","78,129,000","65,662,000","12,467,000",-,"119,683,000","1,324,465,000","693,497,000","508,689,000","508,689,000","184,808,000","217,527,000","42,132,000","42,132,000","141,300,000","141,300,000","141,300,000","141,300,000","67,670,000","16,339,000","146,000,000","146,000,000","3,756,000",-,-,"126,141,000","135,272,000","135,272,000","64,425,000","2,851,000","61,574,000","79,024,000",-,"-7,711,000",-,-,"-466,000","281,272,000","2,851,000","132,421,000",-,"57,143,000","419,721,000","54,292,000","287,300,000","236,919,000","4,472,315","4,472,315",-
66,9/30/2006,"1,449,211,000","178,840,000","44,245,000",-,"31,239,000","13,006,000",-,"134,595,000","134,595,000",-,"336,363,000","141,211,000","195,152,000",-,-,-,"660,277,000","669,149,000",-,-,-,-,"669,149,000","8,872,000",-,-,-,-,-,"9,205,000","78,667,000",-,-,-,"185,859,000","1,315,614,000","665,905,000","491,994,000","491,994,000","173,911,000","258,090,000",-,-,"135,056,000","135,056,000",-,"135,056,000",-,-,"137,739,000","137,739,000",-,-,-,"118,824,000","133,597,000","133,597,000","64,755,000","826,000","63,929,000","76,271,000",-,"-7,429,000",-,-,-,"271,336,000","826,000","132,771,000",-,"54,930,000","405,566,000","54,104,000","272,795,000","228,550,000","4,490,688","4,490,688",-
67,6/30/2006,"1,445,193,000","185,842,000","49,197,000",-,"34,545,000","14,652,000",-,"136,645,000","136,645,000",-,"370,554,000","134,708,000","235,846,000",-,-,-,"658,873,000","667,953,000",-,-,-,-,"667,953,000","9,080,000",-,-,-,-,-,"9,334,000","79,664,000",-,-,-,"140,926,000","1,317,352,000","676,865,000","492,891,000","492,891,000","183,974,000","259,108,000",-,-,"136,886,000","136,886,000",-,"136,886,000",-,-,"129,056,000","129,056,000",-,-,-,"115,437,000","127,841,000","127,841,000","66,093,000","271,000","65,822,000","73,393,000",-,"-11,645,000",-,-,-,"256,897,000","271,000","127,570,000",-,"48,177,000","393,512,000","47,906,000","265,942,000","216,745,000","4,525,879","4,525,879",-
68,3/31/2006,"1,375,080,000","180,813,000","43,732,000",-,"32,575,000","11,157,000",-,"137,081,000","137,081,000",-,"355,254,000","117,181,000","238,073,000",-,-,-,"610,458,000","619,525,000",-,-,-,-,"619,525,000","9,067,000",-,-,-,-,-,"9,267,000","80,022,000",-,-,-,"139,266,000","1,245,654,000","682,449,000","496,217,000","496,217,000","186,232,000","236,919,000",-,-,"99,389,000","99,389,000",-,"99,389,000",-,-,"123,178,000","123,178,000",-,-,-,"103,719,000","129,426,000","129,426,000","68,976,000","271,000","68,705,000","70,204,000",-,"-9,754,000",-,-,-,"252,604,000","271,000","129,155,000",-,"49,404,000","351,722,000","49,133,000","222,567,000","178,835,000","4,563,502","4,563,502",-
69,12/31/2005,"1,291,803,000","199,584,000","49,799,000",-,"36,999,000","12,800,000",-,"149,785,000","149,785,000",-,"377,022,000","131,707,000","245,315,000",-,-,-,"565,746,000","573,791,000",-,-,-,-,"573,791,000","8,045,000",-,-,-,-,-,"7,786,000","51,354,000",-,-,-,"90,311,000","1,190,270,000","634,670,000","447,934,000","447,934,000","186,736,000","240,655,000",-,-,"116,269,000","116,269,000",-,"116,269,000",-,-,"100,848,000","100,848,000",-,-,-,"97,828,000","101,533,000","101,533,000","41,964,000","271,000","41,693,000","67,552,000",-,"-7,983,000",-,-,-,"202,381,000","271,000","101,262,000",-,"50,179,000","318,379,000","49,908,000","217,117,000","167,318,000","4,648,802","4,648,802",-
70,9/30/2005,"1,252,259,000","179,416,000","44,007,000",-,"32,771,000","11,236,000",-,"135,409,000","135,409,000",-,"374,746,000","121,256,000","253,490,000",-,-,-,"546,277,000","554,603,000",-,-,-,-,"554,603,000","8,326,000",-,-,-,-,-,"7,659,000","48,654,000",-,-,-,"95,507,000","1,151,001,000","626,477,000","444,737,000","444,737,000","181,740,000","217,053,000",-,-,"107,655,000","107,655,000",-,"107,655,000",-,-,"99,885,000","99,885,000",-,-,-,"99,931,000","101,258,000","101,258,000","42,819,000","271,000","42,548,000","65,439,000",-,"-7,000,000",-,-,-,"201,143,000","271,000","100,987,000",-,"52,604,000","308,527,000","52,333,000","207,540,000","163,533,000","4,016,081","4,016,081",-
71,6/30/2005,"1,246,330,000","192,904,000","43,617,000",-,"33,935,000","9,682,000",-,"149,287,000","149,287,000",-,"386,263,000","126,658,000","259,605,000",-,-,-,"521,099,000","529,418,000",-,-,-,-,"529,418,000","8,319,000",-,-,-,-,-,"7,602,000","51,219,000",-,-,-,"87,243,000","1,145,790,000","635,417,000","453,888,000","453,888,000","181,529,000","207,710,000",-,-,"93,763,000","93,763,000",-,"93,763,000",-,-,"96,894,000","96,894,000",-,-,-,"112,006,000","100,540,000","100,540,000","42,778,000","271,000","42,507,000","63,328,000",-,"-5,566,000",-,-,-,"197,434,000","271,000","100,269,000",-,"49,321,000","290,926,000","49,050,000","190,657,000","147,040,000","4,017,928","4,017,928",-
72,3/31/2005,"1,212,239,000","179,317,000","39,921,000",-,"28,698,000","11,223,000",-,"139,396,000","139,396,000",-,"370,092,000","124,960,000","245,132,000",-,-,-,"521,153,000","529,466,000",-,-,-,-,"529,466,000","8,313,000",-,-,-,-,-,"7,531,000","49,057,000",-,-,-,"85,089,000","1,113,720,000","629,987,000","458,169,000","458,169,000","171,818,000","187,652,000",-,-,"93,440,000","93,440,000",-,"93,440,000",-,-,"98,763,000","98,763,000",-,-,-,"103,878,000","98,519,000","98,519,000","43,860,000","271,000","43,589,000","60,843,000",-,"-6,184,000",-,-,-,"197,282,000","271,000","98,248,000",-,"49,462,000","290,451,000","49,191,000","192,203,000","152,282,000","4,021,570","4,021,570",-
73,12/31/2004,"1,110,457,000","132,657,000","41,297,000",-,"28,936,000","12,361,000",-,"91,360,000","91,360,000",-,"318,895,000","93,587,000","225,308,000",-,-,-,"513,211,000","521,837,000",-,-,-,-,"521,837,000","8,626,000",-,-,-,-,-,"7,517,000","49,149,000",-,-,-,"89,028,000","1,010,812,000","618,570,000","448,671,000","448,671,000","169,899,000","119,741,000",-,-,"78,598,000","78,598,000",-,"78,598,000",-,-,"98,078,000","98,078,000",-,-,-,"95,825,000","99,645,000","99,645,000","44,507,000","271,000","44,236,000","58,006,000",-,"-2,868,000",-,-,-,"197,723,000","271,000","99,374,000",-,"50,496,000","276,050,000","50,225,000","176,676,000","135,379,000","4,053,638","4,053,638",-
74,9/30/2004,"1,088,996,000","144,843,000","40,273,000",-,"29,252,000","11,021,000",-,"104,570,000","104,570,000",-,"266,783,000","102,925,000","163,858,000",-,-,-,"502,916,000","511,639,000",-,-,-,-,"511,639,000","8,723,000",-,-,-,-,-,"7,884,000","48,435,000",-,-,-,"118,135,000","990,985,000","591,258,000","430,220,000","430,220,000","161,038,000","142,992,000",-,-,"71,434,000","71,434,000",-,"71,434,000",-,-,"100,586,000","100,586,000",-,-,-,"84,715,000","98,011,000","98,011,000","45,027,000","271,000","44,756,000","55,979,000",-,"-2,996,000",-,-,"1,000","198,597,000","271,000","97,740,000",-,"49,576,000","269,760,000","49,305,000","172,020,000","131,747,000","4,039,177","4,039,177",-
