,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Investment Securities,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Amortization of Financing Costs And Discounts,Asset Impairment Charge,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Payables And Accrued Expense,Change in Accrued Expense,Change in Other Current Assets,Change in Other Working Capital,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Decrease in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Investment Properties Purchase And Sale,Sale of Investment Properties,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Sale of PPE,Net Business Purchase And Sale,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Net Other Financing Charges,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
85,3/31/2002,"11,250,000","11,250,000","2,179,000","-44,000","-44,000","272,000","272,000",-,-,-,"-141,000","-141,000","236,000",-,-,-,-,"8,748,000",-,-,-,-,"-4,954,000","-4,954,000",-,-,-,"-3,720,000","-38,703,000","34,983,000",-,-,-,-,-,"-551,000",-,-,"-110,000",-,"-573,000","-10,626,000","-10,626,000",-,"-2,263,000","-2,856,000","3,481,000","-6,337,000","593,000",-,"-1,138,000",-,-,-,-,-,"-926,000",-,"-4,000","22,444,000","-4,330,000","-63,000","26,837,000",-,-,-,"-551,000",-,"3,481,000","-6,337,000",-,"10,699,000"
86,12/31/2001,"-10,791,000","-10,791,000","2,058,000","-393,000","-393,000","426,000","426,000",-,-,-,"-835,000","-835,000","20,067,000",-,-,-,-,"-32,114,000",-,-,-,-,"14,366,000","14,366,000",-,-,-,"7,171,000","-27,103,000","34,274,000",-,-,-,-,-,"-255,000",-,-,0,-,"7,450,000","19,000","19,000",-,"-11,267,000","1,568,000","3,948,000","-2,380,000","-12,835,000",-,"-1,482,000",-,-,-,-,-,"-937,000",-,"80,000","26,837,000","3,594,000","-37,000","23,280,000",-,-,-,"-255,000",-,"3,948,000","-2,380,000",-,"-11,046,000"
87,9/30/2001,"12,239,000","12,239,000","841,000","-97,000","-97,000","431,000","431,000",-,-,-,"-41,000","-41,000","5,895,000",-,-,-,-,"5,210,000",-,-,-,-,"-780,000","-780,000",-,-,-,"-9,619,000","-66,491,000","56,872,000",-,-,-,-,-,"-213,000",-,-,0,-,"9,052,000","-13,610,000","-13,610,000",-,"-7,929,000","-3,081,000","2,999,000","-6,080,000","-4,848,000",-,"-1,148,000",-,-,-,-,-,"-896,000",-,"-21,000","23,280,000","-2,151,000","26,000","25,405,000",-,-,-,"-213,000",-,"2,999,000","-6,080,000",-,"12,026,000"
88,6/30/2001,"-10,373,000","-10,373,000","2,023,000","7,000","7,000","438,000","438,000",-,-,-,"151,000","151,000","-16,600,000",-,-,-,-,"3,608,000",-,-,-,-,"-7,748,000","-7,748,000",-,-,-,"-10,542,000","-23,621,000","13,079,000",-,-,-,-,-,"-220,000",-,-,"-27,000",-,"3,041,000","20,194,000","20,194,000",-,"10,889,000","-3,461,000","3,144,000","-6,605,000","14,350,000",-,"-280,000",-,-,-,-,-,"-898,000",-,"-543,000","25,405,000","2,073,000","-1,000","23,333,000",-,-,-,"-220,000",-,"3,144,000","-6,605,000",-,"-10,593,000"
89,3/31/2001,"-3,901,000","-3,901,000","1,870,000","8,000","8,000","437,000","437,000",-,-,-,"162,000","162,000","-5,599,000",-,-,-,-,"-779,000",-,-,-,-,"31,714,000","31,714,000",-,-,-,"23,607,000","-9,859,000","33,466,000",-,-,-,-,-,"-147,000",-,-,"-390,000",-,"8,644,000","-31,948,000","-31,948,000",-,"-19,124,000","-792,000","4,762,000","-5,554,000","-18,332,000",-,"-685,000",-,-,-,-,-,"-901,000",-,"546,000","23,333,000","-4,135,000","-45,000","27,513,000",-,-,-,"-147,000",-,"4,762,000","-5,554,000",-,"-4,048,000"
90,12/31/2000,"2,469,000","2,469,000","1,385,000","-2,000","-2,000","439,000","439,000",-,-,-,"-681,000","-681,000","3,493,000",-,-,-,-,"-2,165,000",-,-,-,-,"30,748,000","30,748,000",-,-,-,"24,018,000","-2,233,000","26,251,000",-,-,-,-,-,"-208,000",-,-,-,-,"6,938,000","-30,096,000","-30,096,000",-,"-38,810,000","-2,002,000","458,000","-2,460,000","-36,808,000",-,"-755,000",-,-,-,-,-,"-909,000",-,"122,000","27,513,000","3,121,000","-3,000","24,395,000",-,-,-,"-208,000",-,"458,000","-2,460,000",-,"2,261,000"
91,9/30/2000,"7,476,000","7,476,000","1,829,000","-11,000","-11,000","438,000","438,000",-,-,-,"262,000","262,000","7,979,000",-,-,-,-,"-3,021,000",-,-,-,-,"4,361,000","4,361,000",-,-,-,"8,699,000","873,000","7,826,000",-,-,-,-,-,"-161,000",-,-,-,-,"-4,201,000","-14,914,000","-14,914,000",-,"-9,598,000","1,422,000","3,312,000","-1,890,000","-11,020,000",-,"-724,000",-,-,-,-,-,"-821,000",-,"-1,279,000","24,395,000","-3,077,000","-21,000","27,493,000",-,-,-,"-161,000",-,"3,312,000","-1,890,000",-,"7,315,000"
92,6/30/2000,"840,000","840,000","2,063,000","-6,000","-6,000","451,000","451,000",-,-,-,"543,000","543,000","-894,000",-,-,-,-,"-1,317,000",-,-,-,-,"-21,058,000","-21,058,000",-,-,-,"-232,000","-5,499,000","5,267,000",-,-,-,-,-,"-140,000",-,-,-,-,"-20,662,000","20,468,000","20,468,000",-,"16,241,000","6,534,000","9,544,000","-3,010,000","9,707,000",-,"-597,000",-,-,-,-,-,"-825,000",-,"611,000","27,493,000","250,000","-16,000","27,259,000",-,-,-,"-140,000",-,"9,544,000","-3,010,000",-,"700,000"
93,3/31/2000,"-5,520,000","-5,520,000","2,240,000","-6,000","-6,000","456,000","456,000",-,-,-,"524,000","524,000","-6,333,000",-,-,-,-,"-2,401,000",-,-,-,-,"-11,161,000","-11,161,000",-,-,-,"-998,000","-12,958,000","11,960,000",-,-,-,-,-,"-133,000",-,-,-,-,"-10,030,000","16,976,000","16,976,000",-,"14,014,000","6,419,000","10,137,000","-3,718,000","7,595,000",-,"-886,000",-,-,-,-,-,"-833,000",-,"328,000","27,259,000","295,000","-25,000","26,989,000",-,-,-,"-133,000",-,"10,137,000","-3,718,000",-,"-5,653,000"
94,12/31/1999,"5,421,000","5,421,000","1,902,000","-14,000","-14,000","467,000","467,000",-,-,-,"3,380,000","3,380,000","2,022,000",-,-,-,-,"-2,336,000",-,-,-,-,"-15,109,000","-15,109,000",-,-,-,"20,000","-11,429,000","11,449,000",-,-,-,-,-,"-140,000",-,-,-,-,"-14,989,000","11,214,000","11,214,000",-,"3,005,000","1,198,000","3,333,000","-2,135,000","1,807,000",-,"-1,800,000",-,-,-,-,-,"-852,000",-,"-44,000","26,989,000","1,526,000","49,000","25,414,000",-,-,-,"-140,000",-,"3,333,000","-2,135,000",-,"5,281,000"
95,9/30/1999,"4,923,000","4,923,000","2,151,000","-44,000","-44,000","470,000","470,000",-,-,-,"-740,000","-740,000","3,284,000",-,-,-,-,"-198,000",-,-,-,-,"-961,000","-961,000",-,-,-,"-3,480,000","-11,439,000","7,959,000",-,-,-,-,-,"202,000",-,-,-,-,"2,317,000","-2,762,000","-2,762,000",-,"-148,000","-641,000","1,877,000","-2,518,000","493,000",-,"-855,000",-,-,-,-,-,"-776,000",-,"6,000","25,414,000","1,200,000","17,000","24,197,000",-,-,-,-,-,"1,877,000","-2,518,000",-,"5,125,000"
96,6/30/1999,"5,534,000","5,534,000","1,915,000","-52,000","-52,000","487,000","487,000",-,-,-,"-460,000","-460,000","3,549,000",-,-,-,-,"95,000",-,-,-,-,"-10,485,000","-10,485,000",-,-,-,"-8,393,000","-20,236,000","11,843,000",-,-,-,-,-,"-145,000",-,-,-,-,"-1,947,000","3,243,000","3,243,000",-,"9,684,000","4,230,000","6,411,000","-2,181,000","5,454,000",-,"-1,393,000",-,-,-,-,-,"-787,000",-,"11,000","24,197,000","-1,708,000","-20,000","25,925,000",-,-,-,"-145,000",-,"6,411,000","-2,181,000",-,"5,389,000"
97,3/31/1999,"-3,813,000","-3,813,000","1,914,000","-130,000","-130,000","493,000","493,000",-,-,-,"-82,000","-82,000","-6,014,000",-,-,-,-,"6,000",-,-,-,-,"-4,766,000","-4,766,000",-,-,-,"2,944,000","-16,595,000","19,539,000",-,-,-,-,-,"-1,594,000",-,-,-,-,"-6,116,000","6,218,000","6,218,000",-,"20,558,000","5,080,000","6,009,000","-929,000","15,478,000",-,"348,000",-,-,-,-,-,"-784,000",-,"39,000","25,925,000","-2,361,000","9,000","28,277,000",-,-,-,"-1,594,000",-,"6,009,000","-929,000",-,"-5,407,000"
98,12/31/1998,"4,241,000","4,241,000","1,162,000","-404,000","-404,000","497,000","497,000",-,-,-,"-422,000","-422,000","5,273,000",-,-,-,-,"-1,865,000",-,-,-,-,"-17,019,000","-17,019,000",-,-,-,"-7,061,000","-34,635,000","27,574,000",-,-,-,-,-,"-315,000",-,-,-,-,"-9,643,000","16,325,000","16,325,000",-,"6,357,000","-1,540,000","941,000","-2,481,000","7,897,000",-,"-1,114,000",-,-,-,-,-,"-778,000",-,"231,000",0,"3,547,000","15,000",0,"-3,562,000",-,-,"-315,000",-,"941,000","-2,481,000",-,"3,926,000"
99,9/30/1998,"4,208,000","4,208,000","2,098,000","-262,000","-262,000","944,000","944,000",-,-,-,"-26,000","-26,000","-204,000",-,-,-,-,"1,658,000",-,-,-,-,"-25,868,000","-25,868,000",-,-,-,"-16,211,000","-31,895,000","15,684,000",-,-,-,-,-,"-64,000",-,-,-,-,"-9,593,000","19,105,000","19,105,000",-,"16,590,000","2,243,000","6,180,000","-3,937,000","14,347,000",-,"66,000",-,-,-,-,-,"-1,096,000",-,"-825,000",0,"-2,555,000",-,0,"-12,147,000",-,-,"-64,000",-,"6,180,000","-3,937,000",-,"4,144,000"
100,6/30/1998,"-465,000","-465,000","1,408,000","-199,000","-199,000","276,000","276,000",-,-,-,"181,000","181,000","494,000",-,-,-,-,"-2,625,000",-,-,-,-,"956,000","956,000",-,-,-,"5,855,000","-16,281,000","22,136,000",-,-,-,-,-,"46,000",-,-,-,-,"-4,945,000","-1,344,000","-1,344,000",-,"-3,977,000","2,030,000","2,625,000","-595,000","-6,007,000",-,"309,000",-,-,-,-,-,"-366,000",-,"43,000",0,"-853,000",-,0,"853,000",-,-,-,-,"2,625,000","-595,000",-,"-419,000"
101,3/31/1998,"2,907,000","2,907,000","497,000","-152,000","-152,000","281,000","281,000",-,-,-,"167,000","167,000","-655,000",-,-,-,-,"2,769,000",-,-,-,-,"-5,312,000","-5,312,000",-,-,-,"-580,000","-17,602,000","17,022,000",-,-,-,-,-,"-104,000",-,-,-,-,"-4,628,000","2,045,000","2,045,000",-,"4,196,000","624,000","2,420,000","-1,796,000","3,572,000",-,"355,000",-,-,-,-,-,"-364,000",-,"28,000",0,"-360,000",-,"13,781,000","-13,421,000",-,-,"-104,000",-,"2,420,000","-1,796,000",-,"2,803,000"
102,12/31/1997,"3,228,000","3,228,000","818,000","-62,000","-62,000","226,000","226,000",-,-,-,"71,000","71,000","2,197,000",-,-,-,-,"-22,000",-,-,-,-,"-16,506,000","-16,506,000",-,-,-,"4,507,000","-21,540,000","26,047,000",-,-,-,-,-,-,-,-,-,-,"-20,888,000","14,591,000","14,591,000",-,"5,856,000","-17,395,000","-16,793,000","-602,000","23,251,000",-,"60,000",-,-,-,-,-,"-273,000",-,"1,004,000",0,"1,313,000",-,0,"-1,313,000",-,-,-,-,"-16,793,000","-602,000",-,"3,103,000"
103,9/30/1997,"2,744,000","2,744,000","788,000","-19,000","-19,000","215,000","215,000",-,-,-,"104,000","104,000","1,693,000",-,-,-,-,"-37,000",-,-,-,-,"-4,537,000","-4,537,000",-,-,-,"-18,174,000","-14,118,000","-4,056,000",-,-,-,-,-,-,-,-,-,-,"13,637,000","1,042,000","1,042,000",-,"7,204,000","19,125,000","19,737,000","-612,000","-11,921,000",-,"-391,000",-,-,-,-,-,"-234,000",-,"-1,011,000",0,"-751,000",-,0,"751,000",-,-,-,-,"19,737,000","-612,000",-,"2,744,000"
104,6/30/1997,"-1,546,000","-1,546,000","762,000","-29,000","-29,000","212,000","212,000",-,-,-,"141,000","141,000","-2,418,000",-,-,-,-,"-214,000",-,-,-,-,"-549,000","-549,000",-,-,-,"6,874,000","-5,230,000","12,104,000",-,-,-,-,-,-,-,-,-,-,"-7,535,000","1,111,000","1,111,000",-,"4,212,000","-6,331,000","-5,595,000","-736,000","10,543,000",-,"-1,307,000",-,-,-,-,-,"-240,000",-,"371,000",0,"-984,000",-,0,"984,000",-,-,-,-,"-5,595,000","-736,000",-,"-1,434,000"
105,3/31/1997,"-4,160,000","-4,160,000","709,000","-43,000","-43,000","212,000","212,000",-,-,-,"98,000","98,000","-5,227,000",-,-,-,-,"91,000",-,-,-,-,"2,438,000","2,438,000",-,-,-,"7,152,000","-9,523,000","16,675,000",-,-,-,-,-,"-112,000",-,-,-,-,"-4,602,000","3,797,000","3,797,000",-,"7,947,000","8,453,000","8,778,000","-325,000","-506,000",-,"-2,889,000",-,-,-,-,-,"-249,000",-,"539,000",0,"2,075,000",-,"8,933,000","-11,008,000",-,-,"-112,000",-,"8,778,000","-325,000",-,"-4,272,000"
106,12/31/1996,"436,000","436,000","632,000","-33,000","-33,000","120,000","120,000",-,-,-,"176,000","176,000","-343,000",-,-,-,-,"-116,000",-,-,-,-,"1,625,000","1,625,000",-,-,-,"5,015,000","-3,447,000","8,462,000",-,-,-,-,-,"-43,000",-,-,-,-,"-3,347,000","-1,994,000","-1,994,000",-,"-1,221,000","-421,000","1,067,000","-1,488,000","-800,000",-,"-96,000",-,-,-,-,-,"-193,000",-,"1,103,000",0,"67,000",-,0,"-67,000",-,-,"-43,000",-,"1,067,000","-1,488,000",-,"393,000"
107,9/30/1996,"1,315,000","1,315,000","625,000","-26,000","-26,000","113,000","113,000",-,-,-,"43,000","43,000","89,700",-,-,-,-,"470,300",-,-,-,-,"6,762,000","6,762,000",-,-,-,"16,415,000","-3,057,000","19,472,000",-,-,-,-,-,"-86,000",-,-,-,-,"-9,567,000","-6,768,000","-6,768,000",-,"-2,660,000","-834,000","2,543,000","-3,377,000","-1,826,000",-,"-1,171,000",-,-,-,-,-,"-172,000",-,"-7,000",0,"1,309,000",-,0,"-1,309,000",-,-,"-86,000",-,"2,543,000","-3,377,000",-,"1,229,000"
108,6/30/1996,"4,583,000","4,583,000","605,000","6,000","6,000","108,000","108,000",-,-,-,"42,000","42,000","4,068,300",-,-,-,-,"-246,300",-,-,-,-,"3,267,000","3,267,000",-,-,-,"620,000","-2,538,000","3,158,000",-,-,-,-,-,"-140,000",-,-,-,-,"2,787,000","-7,758,000","-7,758,000",-,"-5,393,000","-4,867,000","1,867,000","-6,734,000","-526,000",-,"22,000",-,-,-,-,-,"-179,000",-,"10,000",0,"92,000",-,0,"-92,000",-,-,"-140,000",-,"1,867,000","-6,734,000",-,"4,443,000"
109,3/31/1996,"-4,530,000","-4,530,000","513,000","-14,000","-14,000","101,000","101,000",-,-,-,"43,000","43,000","-5,055,000",-,-,-,-,"-118,000",-,-,-,-,"4,220,000","4,220,000",-,-,-,"8,442,000","-4,669,000","13,111,000",-,-,-,-,-,"-79,000",-,-,-,-,"-4,143,000","-673,000","-673,000",-,"-361,000","-342,000","1,753,000","-2,095,000","-19,000",-,"-122,000",-,-,-,-,-,"-178,000",-,"-2,000",0,"-983,000",-,"8,448,000","-7,465,000",-,-,"-79,000",-,"1,753,000","-2,095,000",-,"-4,609,000"
110,12/31/1995,"-874,000","-874,000","510,000","6,230,000","6,230,000","100,000","100,000",-,-,-,"73,000","73,000","-7,705,000",-,-,-,-,"-82,000",-,-,-,-,"-355,000","-355,000",-,-,-,"4,235,000","-3,726,000","7,961,000",-,-,-,-,-,"-75,000",-,-,-,-,"-4,515,000","2,290,000","2,290,000",-,"480,000","4,973,000","6,034,000","-1,061,000","-4,493,000",-,"55,000",-,-,-,-,-,"-160,000",-,-,0,"1,061,000",-,0,"-1,061,000",-,-,"-75,000",-,"6,034,000","-1,061,000",-,"-949,000"
111,9/30/1995,"-2,269,000","-2,269,000","530,000","-6,254,000","-6,254,000","99,000","99,000",-,-,-,0,0,"3,264,000",-,-,-,-,"92,000",-,-,-,-,"4,269,000","4,269,000",-,-,-,"9,817,000","-3,291,000","13,108,000",-,-,-,-,-,"-67,000",-,-,-,-,"-5,481,000","-2,620,000","-2,620,000",-,"128,000","-1,434,000","-784,000","-650,000","1,562,000",-,"19,000",-,-,-,-,-,"-137,000",-,"-36,000",0,"-620,000",-,0,"620,000",-,-,"-67,000",-,"-784,000","-650,000",-,"-2,336,000"
112,6/30/1995,"1,145,000","1,145,000","467,000","-4,000","-4,000","102,000","102,000",-,-,-,"59,000","59,000","840,000",-,-,-,-,"-319,000",-,-,-,-,"-2,055,000","-2,055,000",-,-,-,"3,253,000","-11,714,000","14,967,000",-,-,-,-,-,"-85,000",-,-,-,-,"-5,223,000","942,000","942,000",-,"1,019,000","382,000","637,000","-255,000","637,000",-,"-306,000",-,-,-,-,-,"-138,000",-,"89,000",0,"32,000",-,0,"-32,000",-,-,"-85,000",-,"637,000","-255,000",-,"1,060,000"
113,3/31/1995,"-2,935,000","-2,935,000","443,000","-1,000","-1,000","98,000","98,000",-,-,-,"60,000","60,000","-3,864,000",-,-,-,-,"329,000",-,-,-,-,"-8,041,000","-8,041,000",-,-,-,"-3,662,000","-9,408,000","5,746,000",-,-,-,-,-,"-80,000",-,-,-,-,"-4,299,000","9,369,000","9,369,000",-,"9,370,000","8,320,000","8,415,000","-95,000","1,050,000",-,"-51,000",-,-,-,-,-,"-140,000",-,"-83,000",0,"-1,607,000",-,"9,582,000","-7,975,000",-,-,"-80,000",-,"8,415,000","-95,000",-,"-3,015,000"
114,12/31/1994,"-213,000","-213,000","405,000","28,000","28,000","107,000","107,000",-,-,-,"140,000","140,000","-697,000",-,-,-,-,"-196,000",-,-,-,-,"1,509,000","1,509,000",-,-,-,"6,797,000","3,137,000","3,660,000",-,-,-,-,-,"-102,000",-,-,-,-,"-5,186,000","-606,000","-606,000",-,"-3,512,000","-1,828,000","899,000","-2,727,000","-1,684,000",-,"15,000",-,-,0,-,-,"-140,000",-,"-24,000",0,"690,000",-,0,"-690,000",-,-,"-102,000",-,"899,000","-2,727,000",-,"-315,000"
115,9/30/1994,"2,763,000","2,763,000","431,000","4,000","4,000","101,000","101,000",-,-,-,"25,000","25,000","1,888,000",-,-,-,-,"314,000",-,-,-,-,"-1,737,000","-1,737,000",-,-,-,"-1,842,000","-7,298,000","5,456,000",-,-,-,-,-,"-79,000",-,-,-,-,"184,000","160,000","160,000",-,"-264,000","-1,622,000","-1,445,000","-177,000","1,358,000",-,"-58,000",-,-,0,-,-,"-129,000",-,"12,000",0,"1,186,000",-,0,"-1,186,000",-,-,"-79,000",-,"-1,445,000","-177,000",-,"2,684,000"
116,6/30/1994,"1,788,000","1,788,000","437,000","-5,000","-5,000","100,000","100,000",-,-,-,"18,000","18,000","1,484,000",-,-,-,-,"-246,000",-,-,-,-,"-1,767,000","-1,767,000",-,-,-,"1,719,000","-6,218,000","7,937,000",-,-,-,-,-,"-91,000",-,-,-,-,"-3,395,000","-493,000","-493,000",-,"-1,941,000","-3,567,000","-3,055,000","-512,000","1,626,000",-,"87,000",-,-,0,-,-,"-128,000",-,"2,000",0,"-472,000",-,0,"472,000",-,-,"-91,000",-,"-3,055,000","-512,000",-,"1,697,000"
117,3/31/1994,"4,780,000","4,780,000","417,000","-14,000","-14,000","98,000","98,000",-,-,-,"52,000","52,000","4,030,000",-,-,-,-,"197,000",-,-,-,-,"-7,007,000","-7,007,000",-,-,-,"-3,376,000","-20,444,000","17,068,000",-,-,-,-,-,"-55,000",-,-,-,-,"-3,576,000","2,756,000","2,756,000",-,"3,827,000","4,636,000","4,799,000","-163,000","-809,000",-,"43,000",-,-,"-94,000",-,-,"-130,000",-,"-10,000",0,"529,000",-,"7,649,000","-8,178,000",-,-,"-55,000",-,"4,799,000","-163,000",-,"4,725,000"
118,12/31/1993,"-1,313,000","-1,313,000","373,000",0,0,"98,000","98,000",-,-,-,"46,000","46,000","-1,615,000",-,-,-,-,"-215,000",-,-,-,-,"2,093,000","2,093,000",-,-,-,"9,426,000","-16,784,000","26,210,000",-,-,-,-,-,"-4,573,000",-,-,-,-,"-2,760,000","576,000","576,000",-,"647,000","949,000","1,254,000","-305,000","-302,000",-,"81,000",-,-,-,-,-,"-117,000",-,"-1,587,000",0,"1,356,000",-,0,"-1,356,000",-,-,"-4,573,000",-,"1,254,000","-305,000",-,"-5,886,000"
119,9/30/1993,"1,094,000","1,094,000","341,000","-50,000","-50,000","85,000","85,000",-,-,-,"62,000","62,000","474,000",-,-,-,-,"182,000",-,-,-,-,"-4,075,000","-4,075,000",-,-,-,"445,000","-3,312,000","3,757,000",-,-,-,-,-,"-58,000",-,-,-,-,"-4,462,000","2,955,000","2,955,000",-,"-200,000","1,675,000","1,675,000",0,"-1,875,000",-,"53,000",-,-,-,-,-,"-109,000",-,"3,645,000",0,"-26,000",-,0,"26,000",-,-,"-58,000",-,"1,675,000",0,-,"1,036,000"
120,6/30/1993,"-9,000","-9,000","306,000","86,000","86,000","85,000","85,000",-,-,-,"60,000","60,000","-426,000",-,-,-,-,"-120,000",-,-,-,-,"-2,649,000","-2,649,000",-,-,-,"3,573,000","-1,488,000","5,061,000",-,-,-,-,-,"-7,000",-,-,-,-,"-6,215,000","2,575,000","2,575,000",-,"6,183,000",0,0,0,"6,183,000",-,"32,000",-,-,-,-,-,"-104,000",-,"-2,256,000",0,"-83,000",-,0,"83,000",-,-,"-7,000",-,0,0,-,"-16,000"
121,3/31/1993,"2,365,000","2,365,000","281,000","-120,000","-120,000","84,000","84,000",-,-,-,"55,000","55,000","1,860,000",-,-,-,-,"205,000",-,-,-,-,"-5,969,000","-5,969,000",-,-,-,"-2,916,000","-5,124,000","2,208,000",-,-,-,-,-,"-33,000",-,-,-,-,"-3,020,000","2,235,000","2,235,000",-,"-952,000","1,096,000","1,196,000","-100,000","-2,048,000",-,"31,000",-,-,-,-,-,"-103,000",-,"4,678,000",0,"-1,369,000",-,"7,771,000","-6,402,000",-,-,"-33,000",-,"1,196,000","-100,000",-,"2,332,000"
122,12/31/1992,"4,216,000","4,216,000","234,000","8,000","8,000","169,000","169,000",-,-,-,"59,000","59,000","3,898,000",-,-,-,-,"-152,000",-,-,-,-,"-2,199,000","-2,199,000",-,-,-,"7,654,000","-215,000","7,869,000",-,-,-,-,-,"-43,000",-,-,-,-,"-9,810,000","-16,000","-16,000",-,"-992,000","-128,000",0,-,"-864,000",-,"52,000",-,-,-,-,-,"-103,000",-,"-1,243,000",0,"2,001,000",-,0,"-2,001,000",-,-,"-43,000",-,0,-,-,"4,173,000"
123,9/30/1992,"-1,991,000","-1,991,000","350,000","-41,000","-41,000",0,0,-,-,-,"-17,000","-17,000","-2,621,000",-,-,-,-,"338,000",-,-,-,-,"-5,272,000","-5,272,000",-,-,-,"-2,637,000","-3,980,000","1,343,000",-,-,-,-,-,"-81,000",-,-,-,-,"-2,554,000","6,936,000","6,936,000",-,"2,649,000",0,0,-,"2,649,000",-,"139,000",-,-,-,-,-,"-98,000",-,"6,317,000",0,"-327,000",-,0,"327,000",-,-,"-81,000",-,0,-,-,"-2,072,000"
124,6/30/1992,"7,430,000","7,430,000","251,000","-12,000","-12,000","82,000","82,000",-,-,-,"-31,000","-31,000","7,310,000",-,-,-,-,"-170,000",-,-,-,-,"-5,686,000","-5,686,000",-,-,-,"-5,540,000","-960,000","-4,580,000",-,-,-,-,-,"-89,000",-,-,-,-,"-57,000","-2,044,000","-2,044,000",-,"959,000","355,000",-,-,"604,000",-,0,-,-,-,-,-,"-97,000",-,"-695,000",0,"-300,000",-,0,"300,000",-,-,"-89,000",-,-,-,-,"7,341,000"
125,3/31/1992,"-1,854,000","-1,854,000","310,000","-204,000","-204,000","88,000","88,000",-,-,-,"-2,000","-2,000","-2,204,000",-,-,-,-,"158,000",-,-,-,-,"-1,264,000","-1,264,000",-,-,-,"-1,807,000","-9,042,000","7,235,000",-,-,-,-,-,"-74,000",-,-,-,-,"617,000","2,260,000","2,260,000",-,"489,000","-6,000",-,"-6,000","495,000",-,"353,000",-,-,-,-,-,"-97,000",-,"4,861,000",0,"-858,000",-,"7,255,000","-6,397,000",-,-,"-74,000",-,-,"-6,000",-,"-1,928,000"
