,Breakdown,Total Revenue,Net Interest Income,Interest Income,Interest Income from Loans And Lease,Interest Income from Loans,Interest Income from Leases,Interest Income from Securities,Interest Income from Deposits,Interest Income from Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Income,Interest Expense,Interest Expense for Deposit,Interest Expense for Short Term Debt,Interest Expense for Long Term Debt And Capital Securities,Interest Expense for Federal Funds Sold And Securities Purchase Under Agreements To Resell,Other Interest Expense,Non Interest Income,Total Premiums Earned,Fees And Commissions,Fees & Commission Income,Service Charge on Depositor Accounts,Trust Fees by Commissions,Securities Activities,Credit Card,Other Customer Services,Investment Banking Profit,Trading Gain Loss,Gain Losson Saleof Assets,Gain on Sale of Security,Gain on Saleof Loans,Gain on Saleof Investment Property,Other Non Interest Income,Credit Losses Provision,Non Interest Expense,Occupancy And Equipment,Net Occupancy Expense,Equipment,Professional Expense And Contract Services Expense,Selling General and Administrative,General & Administrative Expense,Salaries and Wages,Rental & Landing Fees,Other G and A,Selling & Marketing Expense,Depreciation Amortization Depletion,Depreciation & amortization,Amortization,Amortization of Intangibles,Other Non Interest Expense,Income from Associates & Other Participating Interests,Special Income Charges,Restructuring & Mergers Acquisition,Impairment of Capital Assets,Other Special Charges,Other Non Operating Income Expenses,Pretax Income,Tax Provision,Net Income Common Stockholders,Net Income,Net Income Including Non-Controlling Interests,Net Income Continuous Operations,Net Income Extraordinary,Preferred Stock Dividends,Average Dilution Earnings,Diluted NI Available to Com Stockholders,Basic EPS,Diluted EPS,Basic Average Shares,Diluted Average Shares,Rent Expense Supplemental,INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,Net Income from Continuing & Discontinued Operation,Normalized Income,Total Money Market Investments,Reconciled Depreciation,Net Income from Continuing Operation Net Minority Interest,Total Unusual Items Excluding Goodwill,Total Unusual Items,Tax Rate for Calcs,Tax Effect of Unusual Items
100,6/30/1998,"4,908,000","2,527,000","5,206,000","3,797,000","3,797,000",-,"1,106,000",-,"163,000","140,000","2,679,000","1,238,000",-,"1,269,000",-,"172,000","2,381,000",-,"906,000","906,000","461,000",-,-,-,"445,000","377,000",-,"205,000","97,000",-,"108,000","893,000","-265,000","2,508,000","400,000",-,-,-,"1,348,000","1,265,000","1,265,000",-,-,"83,000",-,-,-,-,"760,000",-,-,-,-,-,-,"2,135,000","727,000","1,407,000","1,408,000","1,408,000","1,408,000",-,"1,000",-,"1,407,000",0.66,0.64,"1,896,154","1,933,333",-,"2,262,000","1,408,000","1,336,776","163,000","276,000","1,408,000","108,000","108,000",0,"36,776"
101,3/31/1998,"3,553,000","2,530,000","5,269,000","3,775,000","3,775,000",-,"1,198,000",-,"176,000","120,000","2,739,000","1,203,000",-,"1,342,000",-,"194,000","1,023,000",-,"904,000","904,000","454,000",-,-,-,"450,000","310,000",-,"264,000","112,000",-,"152,000","-455,000","-265,000","2,452,000","399,000",-,-,-,"1,326,000","1,238,000","1,238,000",-,-,"88,000",-,-,-,-,"727,000",-,-,-,-,-,-,"836,000","339,000","493,000","497,000","497,000","497,000",-,"4,000",-,"493,000",0.39,0.38,"1,910,398","1,910,398",-,"2,265,000","497,000","405,800","176,000","281,000","497,000","152,000","152,000",0,"60,800"
102,12/31/1997,"3,550,000","1,988,000","4,288,000","2,973,000","3,277,000",-,"1,021,000",-,"168,000",-,"2,300,000","982,000","660,000","468,000",-,"190,000","1,562,000",-,-,-,-,-,-,-,-,-,-,"62,000","62,000",-,-,"-1,896,000","-230,000","2,054,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,266,000","448,000","816,000","818,000","818,000","818,000",-,"2,000",-,"816,000",-,-,-,-,-,"1,758,000","818,000","818,000","83,000","226,000","818,000",-,-,0,0
103,9/30/1997,"3,215,000","1,972,000","4,155,000","3,182,000","3,076,000","106,000","789,000","26,000","158,000",-,"2,183,000","980,000","571,000","469,000",-,"163,000","1,243,000",-,-,-,-,-,-,-,-,-,-,"19,000","19,000",-,-,"1,224,000","-190,000","1,793,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,232,000","444,000","786,000","788,000","788,000","788,000",-,"2,000",-,"786,000",0.49,0.48,"1,449,505","1,493,878",-,"1,782,000","788,000","788,000","184,000","215,000","788,000",-,-,0,0
104,6/30/1997,"3,182,000","1,988,000","4,109,000","3,204,000","3,104,000","100,000","705,000","31,000","169,000",-,"2,121,000","995,000","524,000","442,000",-,"160,000","1,194,000",-,-,-,-,-,-,-,-,-,-,"29,000","29,000",-,-,"1,165,000","-190,000","1,802,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,190,000","428,000","759,000","762,000","762,000","762,000",-,"3,000",-,"759,000",0.53,0.51,"1,445,714","1,488,235",-,"1,798,000","762,000","762,000","200,000","212,000","762,000",-,-,0,0
105,3/31/1997,"3,108,000","1,950,000","4,027,000","3,122,000","3,024,000","98,000","689,000","28,000","188,000",-,"2,077,000","998,000","509,000","405,000",-,"165,000","1,158,000",-,-,-,-,-,-,-,-,-,-,"43,000","43,000",-,-,"1,115,000","-190,000","1,810,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,108,000","399,000","705,000","709,000","709,000","709,000",-,"4,000",-,"705,000",0.45,0.44,"1,891,111","1,891,111",-,"1,760,000","709,000","709,000","216,000","212,000","709,000",-,-,0,0
106,12/31/1996,"2,581,000","1,590,000","3,358,000","2,602,000","2,519,000","83,000","569,000","25,000","162,000",-,"1,768,000","794,000","455,000","367,000",-,"152,000","991,000",-,-,-,-,-,-,-,-,-,-,"33,000","33,000",-,-,"958,000","-150,000","1,473,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"958,000","326,000","628,000","632,000","632,000","632,000",-,"4,000",-,"628,000",-,-,-,-,-,"1,440,000","632,000","632,000","187,000","120,000","632,000",-,-,0,0
107,9/30/1996,"2,507,000","1,595,000","3,423,000","2,619,000","2,541,000","78,000","625,000","20,000","159,000",-,"1,828,000","822,000","499,000","344,000",-,"163,000","912,000",-,-,-,-,-,-,-,-,-,-,"26,000","26,000",-,-,"886,000","-145,000","1,406,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"956,000","331,000","622,000","625,000","625,000","625,000",-,"3,000",-,"622,000",0.53,0.53,"1,173,585","1,184,762",-,"1,450,000","625,000","625,000","179,000","113,000","625,000",-,-,0,0
108,6/30/1996,"2,498,000","1,587,000","3,442,000","2,634,000","2,559,000","75,000","637,000","17,000","154,000",-,"1,855,000","848,000","550,000","310,000",-,"147,000","911,000",-,-,-,-,-,-,-,-,-,-,"-6,000","-6,000",-,-,"917,000","-155,000","1,412,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"931,000","326,000","601,000","605,000","605,000","605,000",-,"4,000",-,"601,000",0.50,0.49,"1,202,000","1,214,141",-,"1,432,000","605,000","605,000","171,000","108,000","605,000",-,-,0,0
109,3/31/1996,"2,456,000","1,557,000","3,573,000","2,664,000","2,598,000","66,000","700,000","18,000","191,000",-,"2,016,000","858,000","651,000","316,000",-,"191,000","899,000",-,-,-,-,-,-,-,-,-,-,"14,000","14,000",-,-,"885,000","-155,000","1,512,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"789,000","276,000","509,000","513,000","513,000","513,000",-,"4,000",-,"509,000",0.42,0.42,"1,197,647","1,211,905",-,"1,402,000","513,000","513,000","209,000","101,000","513,000",-,-,0,0
110,12/31/1995,"2,262,000","1,413,000","3,361,000","2,526,000","2,464,000","62,000","636,000","28,000","171,000",-,"1,948,000","826,000","642,000","295,000",-,"185,000","849,000",-,-,-,-,-,-,-,-,-,-,"21,000","21,000",-,-,"828,000","-142,000","1,332,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"788,000","278,000","508,000","510,000","510,000","510,000",-,"2,000",-,"508,000",-,-,-,-,-,"1,271,000","510,000","510,000","199,000","100,000","510,000",-,-,0,0
111,9/30/1995,"2,170,000","1,391,000","3,398,000","2,458,000","2,400,000","58,000","657,000","32,000","251,000",-,"2,007,000","830,000","691,000","246,000",-,"240,000","779,000",-,-,-,-,-,-,-,-,-,-,"3,000","3,000",-,-,"776,000","-100,000","1,252,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"818,000","288,000","528,000","530,000","530,000","530,000",-,"2,000",-,"528,000",0.49,0.48,"1,077,551","1,088,660",-,"1,291,000","530,000","530,000","283,000","99,000","530,000",-,-,0,0
112,6/30/1995,"2,070,000","1,336,000","3,391,000","2,365,000","2,314,000","51,000","699,000","42,000","285,000",-,"2,055,000","842,000","779,000","185,000",-,"249,000","734,000",-,-,-,-,-,-,-,-,-,-,"4,000","4,000",-,-,"730,000","-70,000","1,289,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"711,000","244,000","465,000","467,000","467,000","467,000",-,"2,000",-,"465,000",0.43,0.42,"4,423,634","4,423,634",-,"1,266,000","467,000","467,000","327,000","102,000","467,000",-,-,0,0
113,3/31/1995,"2,034,000","1,307,000","3,070,000","2,227,000","2,177,000","50,000","573,000","40,000","230,000",-,"1,763,000","783,000","598,000","160,000",-,"222,000","727,000",-,-,-,-,-,-,-,-,-,-,"1,000","1,000",-,-,"726,000","-70,000","1,290,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"674,000","231,000","441,000","443,000","443,000","443,000",-,"2,000",-,"441,000",0.40,0.40,"4,423,634","4,423,634",-,"1,237,000","443,000","443,000","270,000","98,000","443,000",-,-,0,0
114,12/31/1994,"1,919,000","1,300,000","2,918,000","2,105,000","2,059,000","46,000","578,000","32,000","203,000",-,"1,618,000","718,000","756,000","144,000",-,-,"619,000",-,-,-,-,-,-,-,-,-,-,"-28,000","-28,000",-,-,"647,000","-70,000","1,261,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"588,000","183,000","403,000","405,000","405,000","405,000",-,"2,000",-,"403,000",-,-,-,-,-,"1,230,000","405,000","405,000","235,000","107,000","405,000",-,-,0,0
115,9/30/1994,"1,957,000","1,306,000","2,701,000","1,983,000","1,941,000","42,000","540,000","29,000","149,000",-,"1,395,000","632,000","629,000","134,000",-,-,"651,000",-,-,-,-,-,-,-,-,-,-,"-4,000","-4,000",-,-,"655,000","-70,000","1,234,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"653,000","222,000","428,000","431,000","431,000","431,000",-,"3,000",-,"428,000",0.39,0.39,"1,097,436","1,111,688",-,"1,236,000","431,000","431,000","178,000","101,000","431,000",-,-,0,0
116,6/30/1994,"1,954,000","1,317,000","2,512,000","1,864,000","1,832,000","32,000","525,000","15,000","108,000",-,"1,195,000","546,000","514,000","135,000",-,-,"637,000",-,-,-,-,-,-,-,-,-,-,"5,000","5,000",-,-,"632,000","-70,000","1,228,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"656,000","219,000","435,000","437,000","437,000","437,000",-,"2,000",-,"435,000",0.40,0.40,"1,101,266","1,101,266",-,"1,247,000","437,000","437,000","123,000","100,000","437,000",-,-,0,0
117,3/31/1994,"1,982,000","1,288,000","2,398,000","1,798,000","1,768,000","30,000","499,000","14,000","87,000",-,"1,110,000","519,000","454,000","137,000",-,-,"694,000",-,-,-,-,-,-,-,-,-,-,"14,000","14,000",-,-,"680,000","-100,000","1,224,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"658,000","241,000","414,000","417,000","417,000","417,000",-,"3,000",-,"414,000",0.38,0.38,"1,089,474","1,089,474",-,"1,188,000","417,000","417,000","101,000","98,000","417,000",-,-,0,0
118,12/31/1993,"1,918,000","1,303,000","2,353,000","1,746,000","1,717,000","29,000","523,000","20,000","64,000",-,"1,050,000","537,000","379,000","134,000",-,-,"615,000",-,-,-,-,-,-,-,-,-,-,0,0,-,-,"615,000","-100,000","1,244,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"574,000","201,000","370,000","373,000","373,000","373,000",0,"3,000",-,"370,000",-,-,-,-,-,"1,203,000","373,000","373,000","84,000","98,000","373,000",-,-,0,0
119,9/30/1993,"1,722,000","1,148,000","2,067,000","1,548,000","1,517,000","31,000","435,000","18,000","66,000",-,"919,000","514,000","310,000","95,000",-,-,"574,000",-,-,-,-,-,-,-,-,-,-,"50,000","50,000",-,-,"524,000","-100,000","1,095,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"527,000","186,000","338,000","341,000","341,000","341,000",-,"3,000",-,"338,000",0.34,0.33,"1,008,955","1,024,242",-,"1,048,000","341,000","341,000","84,000","85,000","341,000",-,-,0,0
120,6/30/1993,"1,614,000","1,111,000","1,905,000","1,493,000","1,468,000","25,000","358,000","20,000","34,000",-,"794,000","537,000","173,000","84,000",-,-,"503,000",-,-,-,-,-,-,-,-,-,-,"22,000","22,000",-,-,"481,000","-110,000","1,040,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"464,000","158,000","304,000","306,000","306,000","306,000",-,"2,000",-,"304,000",0.30,0.30,"1,013,333","1,013,333",-,"1,001,000","306,000","306,000","54,000","85,000","306,000",-,-,0,0
121,3/31/1993,"1,592,000","1,075,000","1,882,000","1,454,000","1,429,000","25,000","377,000","21,000","30,000",-,"807,000","561,000","167,000","79,000",-,-,"517,000",-,-,-,-,-,-,-,-,-,-,"12,000","12,000",-,-,"505,000","-120,000","1,046,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"426,000","145,000","479,000","481,000","481,000","281,000","200,000","2,000",-,"479,000",0.47,0.47,"1,008,421","1,019,149",-,"955,000","281,000","281,000","51,000","84,000","281,000",-,-,0,0
122,12/31/1992,"1,529,000","1,076,000","1,888,000","1,354,000","1,339,000","15,000","487,000","21,000","26,000",-,"812,000","571,000","171,000","70,000",-,-,"453,000",-,-,-,-,-,-,-,-,-,-,"-8,000","-8,000",-,-,"461,000","-150,000","1,094,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"285,000","51,000","232,000","234,000","234,000","234,000",-,"2,000",-,"232,000",-,-,-,-,-,"926,000","234,000","234,000","47,000","169,000","234,000",-,-,0,0
123,9/30/1992,"1,592,000","1,037,000","1,904,000","1,475,000","1,447,000","28,000","377,000","20,000","32,000",-,"867,000","644,000","151,000","72,000",-,-,"555,000",-,-,-,-,-,-,-,-,-,-,"41,000","41,000",-,-,"514,000","-150,000","1,022,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"420,000","70,000","343,000","350,000","350,000","350,000",-,"7,000",-,"343,000",0.35,0.34,"980,000","1,008,824",-,"887,000","350,000","350,000","52,000",0,"350,000",-,-,0,0
124,6/30/1992,"1,477,000","998,000","1,932,000","1,491,000","1,467,000","24,000","352,000","24,000","65,000",-,"934,000","724,000","145,000","65,000",-,-,"479,000",-,-,-,-,-,-,-,-,-,-,"12,000","12,000",-,-,"467,000","-150,000","1,018,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"309,000","58,000","244,000","251,000","251,000","251,000",-,"7,000",-,"244,000",0.25,0.25,"976,000","976,000",-,"848,000","251,000","251,000","89,000","82,000","251,000",-,-,0,0
125,3/31/1992,"1,662,000","987,000","2,056,000","1,487,000","1,460,000","27,000","464,000","27,000","78,000",-,"1,069,000","833,000","172,000","64,000",-,-,"675,000",-,-,-,-,-,-,-,-,-,-,"204,000","204,000",-,-,"471,000","-265,000","1,015,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"382,000","72,000","302,000","310,000","310,000","310,000",-,"8,000",-,"302,000",0.32,0.31,"943,750","974,194",-,"722,000","310,000","310,000","105,000","88,000","310,000",-,-,0,0
