,Breakdown,Operating Cash Flow,Cash Flow from Continuing Operating Activities,Net Income from Continuing Operations,Operating Gains Losses,Gain Loss On Sale of Business,Gain Loss On Investment Securities,Earnings Losses from Equity Investments,Realized Gain Loss On Sale of Loans And Lease,Depreciation Amortization Depletion,Depreciation & amortization,Depreciation,Amortization,Amortization of Intangibles,Deferred Tax,Deferred Income Tax,Other non-cash items,Stock based compensation,Provision for Loan Lease And Other Losses,Change in working capital,Change in Receivables,Changes in Account Receivables,Change in Payables And Accrued Expense,Change in Payable,Change in Tax Payable,Change in Income Tax Payable,Change in Account Payable,Change in Loans,Change in Other Current Assets,Change in Other Current Liabilities,Change in Other Working Capital,Taxes Refund Paid,Investing Cash Flow,Cash Flow from Continuing Investing Activities,Proceeds Payment Federal Funds Sold And Securities Purchased Under Agreement To Resell,Proceeds Payment in Interest Bearing Deposits in Bank,Increase in Interest Bearing Depositsin Bank,Net Investment Purchase And Sale,Purchase of Investment,Sale of Investment,Net Proceeds Payment for Loan,Proceeds from Loans,Payment for Loans,Net PPE Purchase And Sale,Purchase of PPE,Net Business Purchase And Sale,Purchase of Business,Sale of Business,Net Other Investing Changes,Financing Cash Flow,Cash Flow from Continuing Financing Activities,Change in Federal Funds And Securities Sold for Repurchase,Net Issuance Payments of Debt,Net Long Term Debt Issuance,Long Term Debt Issuance,Long Term Debt Payments,Net Short Term Debt Issuance,Short Term Debt Issuance,Short Term Debt Payments,Net Common Stock Issuance,Common Stock Issuance,Common Stock Payments,Net Preferred Stock Issuance,Preferred Stock Issuance,Preferred Stock Payments,Cash Dividends Paid,Common Stock Dividend Paid,Preferred Stock Dividend Paid,Net Other Financing Charges,Other Cash Adjustment Inside Change in Cash,End Cash Position,Changes in Cash,Effect of Exchange Rate Changes,Beginning Cash Position,Other Cash Adjustment Outside Change in Cash,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
0,ttm,"15,260,000","15,260,000","15,278,000","-2,091,000",-,"-49,000","-1,045,000",-,"1,762,000","1,762,000","1,181,000","581,000","581,000","252,000","252,000",-,-,"1,685,000","-1,626,000",-,-,-,-,-,-,-,"-107,326,000",-,-,"105,700,000",-,"-14,207,000","-14,207,000",-,"26,382,000",-,"-41,544,000","-151,164,000","109,620,000",-,-,-,"-1,524,000","-1,524,000","1,977,000",-,-,-,"-1,239,000","-1,239,000",-,"-632,000","-632,000","21,000","-653,000",-,-,-,"-1,294,000","10,236,000","-11,530,000","5,529,000","4,682,000",0,"-4,842,000",-,-,-,-,"6,815,000","-186,000","173,000","7,001,000",-,"2,280,000","20,864,000","-1,524,000","15,765,000","21,000","-653,000","-11,530,000","13,736,000"
1,10/31/2022,"38,949,000","38,949,000","17,429,000","-2,048,000","-997,000","-60,000","-991,000",-,"1,766,000","1,766,000","1,167,000","599,000","599,000","502,000","502,000",-,-,"1,067,000","20,233,000",-,-,-,-,-,-,-,"-115,638,000",-,-,"135,871,000",-,"-31,895,000","-31,895,000",-,"30,455,000",-,"-63,375,000","-180,695,000","117,320,000",-,-,-,"-1,454,000","-1,454,000","2,479,000",-,-,-,"-4,819,000","-4,819,000",-,"-657,000","-657,000","6,000","-663,000",-,-,-,"-2,026,000","11,276,000","-13,302,000","4,529,000","5,529,000","-1,000,000","-6,665,000",-,-,-,-,"8,556,000","2,235,000","390,000","5,931,000",-,"4,404,000","12,523,000","-1,454,000","16,805,000","6,000","-663,000","-14,302,000","37,495,000"
2,10/31/2021,"50,129,000","50,129,000","14,298,000","-799,000",-,"-14,000","-785,000",-,"2,066,000","2,066,000","1,360,000","706,000","706,000","258,000","258,000",-,-,"-224,000","34,530,000",-,-,-,-,-,-,-,"-46,103,000",-,-,"80,633,000",-,"-45,268,000","-45,268,000",-,"-729,000",-,"-41,552,000","-174,952,000","133,400,000",-,-,-,"-1,129,000","-1,129,000","-1,858,000",-,-,-,"-5,036,000","-5,036,000",-,"-550,000","-550,000",0,"-550,000",-,-,-,"24,000","11,088,000","-11,064,000","1,045,000","1,745,000","-700,000","-5,555,000",-,-,-,-,"5,931,000","-175,000","-339,000","6,445,000",-,"4,071,000","5,878,000","-1,129,000","12,833,000",0,"-550,000","-11,764,000","49,000,000"
3,10/31/2020,"231,786,000","231,786,000","13,047,000","-2,664,000",-,"-40,000","-2,624,000",-,"2,141,000","2,141,000","1,324,000","817,000","817,000","-1,065,000","-1,065,000",-,-,"7,242,000","213,085,000",-,-,-,-,-,-,-,"20,176,000",-,-,"192,909,000",-,"-224,115,000","-224,115,000",-,"-138,566,000",-,"-83,792,000","-197,272,000","113,480,000","-93,912,000","52,791,000","-146,703,000","-1,757,000","-1,757,000",0,0,-,-,"-6,129,000","-6,129,000",-,"-126,000","-126,000","3,000,000","-3,126,000",-,-,-,"-804,000","8,917,000","-9,721,000","-156,000",0,"-156,000","-5,043,000","-5,043,000",-,-,-,"6,445,000","1,542,000","40,000","4,863,000",-,"2,285,000","10,287,000","-1,757,000","8,917,000","3,000,000","-3,126,000","-9,877,000","230,029,000"
4,10/31/2019,"271,000","271,000","14,421,000","-1,270,000",-,"-78,000","-1,192,000",-,"1,405,000","1,405,000","605,000","800,000","800,000","-33,000","-33,000",-,-,"3,029,000","-17,281,000",-,-,-,-,-,-,-,"-66,042,000",-,-,"48,761,000",-,"5,506,000","5,506,000",-,"5,137,000",-,"1,703,000","-76,100,000","77,803,000",-,-,-,"-794,000","-794,000","-540,000",-,-,-,"-5,652,000","-5,652,000",-,"1,773,000","1,773,000","1,773,000",-,-,-,-,"-2,048,000","10,120,000","-12,168,000","791,000","791,000",0,"-5,157,000","-5,157,000",-,"-1,011,000",-,"4,863,000","125,000","3,000","4,735,000",-,"3,589,000","17,958,000","-794,000","10,911,000","1,773,000",-,"-12,168,000","-523,000"
5,10/31/2018,"5,693,000","5,693,000","14,516,000","-854,000",-,"-111,000","-743,000",-,"1,391,000","1,391,000","576,000","815,000","815,000","385,000","385,000",-,-,"2,480,000","-12,225,000",-,-,-,-,-,-,-,"-59,369,000",-,-,"47,144,000",-,"1,549,000","1,549,000",-,"20,465,000",-,"-18,329,000","-71,932,000","53,603,000",-,-,-,"-587,000",-,0,-,-,-,"-6,527,000","-6,527,000",-,"-718,000","-718,000","1,750,000","-2,468,000",-,-,-,"-1,343,000","8,582,000","-9,925,000","240,000","740,000","-500,000","-4,634,000","-4,634,000",-,"-72,000",-,"4,735,000","715,000","49,000","3,971,000",-,"3,535,000","13,888,000","-587,000","9,322,000","1,750,000","-2,468,000","-10,425,000","5,106,000"
6,10/31/2017,"34,870,000","34,870,000","12,770,000","-577,000",-,"-128,000","-449,000",-,"1,307,000","1,307,000","603,000","704,000","704,000","175,000","175,000","-204,000",-,"2,216,000","19,183,000",-,-,-,-,-,-,-,"-28,568,000",-,-,"47,751,000",-,"-67,311,000","-67,311,000","-48,377,000","2,529,000",-,"-18,900,000","-83,617,000","64,717,000",-,-,-,"-434,000",-,"-2,129,000",-,-,-,"32,599,000","32,599,000","39,618,000","-1,020,000","-1,020,000","1,500,000","-2,520,000",-,-,-,"-1,396,000","9,830,000","-11,226,000","346,000","346,000",0,"-4,211,000","-4,211,000",-,"-738,000",-,"3,971,000","158,000","-94,000","3,907,000",-,"2,866,000","8,957,000","-434,000","10,176,000","1,500,000","-2,520,000","-11,226,000","34,436,000"
7,10/31/2016,"44,125,000","44,125,000","11,079,000","-487,000",-,"-54,000","-433,000",-,"1,337,000","1,337,000","629,000","708,000","708,000","103,000","103,000",-,-,"2,330,000","29,763,000",-,-,-,-,-,-,-,"-51,772,000",-,-,"81,535,000",-,"-24,972,000","-24,972,000","11,312,000","-11,231,000",-,"-24,256,000","-73,761,000","49,505,000",-,-,-,"-797,000",-,0,-,-,-,"-18,451,000","-18,451,000","-18,183,000","2,262,000","2,262,000","3,262,000","-1,000,000",-,-,-,"-293,000","6,078,000","-6,371,000","1,686,000","1,686,000",0,"-3,808,000","-3,808,000",-,"-115,000",-,"3,907,000","702,000","51,000","3,154,000",-,"1,182,000","6,559,000","-797,000","7,764,000","3,262,000","-1,000,000","-6,371,000","43,328,000"
8,10/31/2015,"35,273,000","35,273,000","9,547,000","-456,000",-,"-79,000","-377,000",-,"1,250,000","1,250,000","588,000","662,000","662,000","-352,000","-352,000",-,-,"1,683,000","23,601,000",-,-,-,-,-,-,-,"-60,360,000",-,-,"83,961,000",-,"-47,077,000","-47,077,000","-14,808,000","1,290,000",-,"-29,669,000","-73,918,000","44,249,000",-,-,-,"-972,000",-,"-2,918,000",-,-,-,"11,916,000","11,916,000","14,044,000","825,000","825,000","2,500,000","-1,675,000",-,-,-,"136,000","5,649,000","-5,513,000","467,000","1,184,000","-717,000","-3,444,000","-3,444,000",-,"-112,000",-,"3,154,000","112,000","261,000","2,781,000",-,"554,000","6,167,000","-972,000","6,833,000","2,500,000","-1,675,000","-6,230,000","34,301,000"
9,10/31/2014,"25,967,000","25,967,000","9,395,000","-493,000",-,"-173,000","-320,000",-,"1,140,000","1,140,000","542,000","598,000","598,000","31,000","31,000",-,-,"1,557,000","14,337,000",-,-,-,-,-,-,-,"-44,344,000",-,-,"58,681,000",-,"-33,475,000","-33,475,000","-10,748,000","-15,190,000",-,"-3,932,000","-48,182,000","44,250,000",-,-,-,"-837,000",-,"-2,768,000",-,-,-,"6,565,000","6,565,000","11,173,000","-150,000","-150,000","-150,000","-150,000",-,-,-,"88,000","4,659,000","-4,571,000","-1,206,000","989,000","-2,195,000","-3,188,000","-3,188,000",-,"-152,000",-,"2,781,000","-943,000","143,000","3,581,000",-,"1,241,000","6,478,000","-837,000","5,648,000","-150,000","-150,000","-6,766,000","25,130,000"
