,Breakdown,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Other Cash Adjustment Inside Change in Cash,End Cash Position,Income Tax Paid Supplemental Data,Interest Paid Supplemental Data,Capital Expenditure,Issuance of Capital Stock,Issuance of Debt,Repayment of Debt,Repurchase of Capital Stock,Free Cash Flow
37,1/31/2014,"18,211,000","-23,002,000","3,960,000",-,"2,874,000",-,"1,702,000","-338,000","1,170,000",0,-,"-1,606,000","17,873,000"
38,10/31/2013,"7,629,000","-8,673,000","1,523,000",-,"3,581,000",-,"1,486,000","-242,000","1,112,000",-,0,"-1,446,000","7,387,000"
39,7/31/2013,"11,472,000","-11,353,000","-137,000",-,"3,067,000",-,"1,866,000","-233,000","1,109,000",-,"-900,000","-1,413,000","11,239,000"
40,4/30/2013,"11,696,000","-3,673,000","-8,122,000",-,"3,042,000",-,"1,602,000","-197,000","790,000",0,-,"-865,000","11,499,000"
41,1/31/2013,"898,000","3,601,000","-4,753,000",-,"3,136,000",-,"1,974,000","-79,000","891,000","-2,500,000",-,"-1,177,000","819,000"
42,10/31/2012,"2,116,000","-5,531,000","3,869,000",-,"3,436,000",-,"1,471,000","-265,000","1,096,000",-,"-24,000","-1,061,000","1,851,000"
43,7/31/2012,"7,487,000","-3,860,000","-3,754,000",-,"2,989,000",-,"2,100,000","-216,000","599,000",-,"-201,000","-607,000","7,271,000"
44,4/30/2012,"-2,302,000","305,000","2,244,000",-,"3,087,000",-,"1,688,000","-109,000","815,000",0,-,"-716,000","-2,411,000"
45,1/31/2012,"7,000,000","-13,748,000","6,510,000",-,"2,870,000",-,"2,109,000","-237,000","894,000",-,-,"-895,000","6,763,000"
46,10/31/2011,"-2,404,000","-13,112,000","15,648,000",-,"3,096,000",-,-,"-149,000","1,461,000",0,"-502,000","-766,000","-2,553,000"
47,7/31/2011,"4,424,000","-34,617,000","29,991,000",-,"2,899,000",-,-,-,"406,000",0,"-308,000","-372,000","4,611,000"
48,4/30/2011,"691,000","4,280,000","-4,407,000",-,"3,086,000","395,000","1,288,000",-,"584,000","-612,000","-4,000","-507,000","349,000"
49,1/31/2011,"-3,470,000","-5,030,000","8,566,000",-,"2,609,000","1,011,000","1,764,000",-,"688,000","1,612,000","-1,000,000","-578,000","-3,470,000"
50,10/31/2010,"-1,127,000","348,000","393,000",-,"2,574,000","334,000","1,128,000","-498,000","612,000",-,-,"-508,000","-1,625,000"
51,7/31/2010,"2,396,000","-22,549,000","20,473,000",-,"2,969,000","-185,000","1,646,000","-213,000","1,932,000",-,-,"-1,616,000","2,183,000"
52,4/30/2010,"175,000","-6,485,000","6,534,000",-,"2,629,000","289,000","1,381,000","-33,000","253,000",-,-,"-64,000","142,000"
53,1/31/2010,"1,805,000","-14,099,000","12,379,000",-,"2,481,000","479,000","1,710,000","-26,000","56,000",-,-,"-896,000","1,779,000"
54,10/31/2009,"5,000","-16,544,000","16,468,000","8,000","2,414,000",-,-,"-357,000","1,478,000",-,"-39,000","130,000","-352,000"
55,7/31/2009,"13,147,000","-143,000","-12,812,000","-152,000","2,477,000",-,-,-,"-1,333,000",-,0,"-60,000","13,270,000"
56,4/30/2009,"8,782,052","-5,575,426","-3,384,986",-,"2,437,000",-,-,"-78,380",-,-,436.578,-,"8,703,673"
57,1/31/2009,"2,708,948","-14,348,574","11,941,986",-,"2,850,295",-,-,"-507,620",-,-,"-18,437",-,"2,201,327"
58,10/31/2008,"12,058,728","-29,593,353","17,134,435",-,"2,516,835",-,-,"-263,338",-,"-94,983",-,-,"11,795,390"
59,7/31/2008,"10,978,288","-18,683,219","7,909,844",-,"2,783,009",-,-,"-106,424",-,"1,119,955",-,-,"10,871,864"
60,4/30/2008,"-232,764","-11,237,532","11,949,611",-,"2,519,590",-,-,"-84,435",-,"499,799",-,-,"-317,199"
61,1/31/2008,"-2,822,289","-11,398,594","14,404,618",0.001,"2,036,145",-,-,"-77,309",-,"2,500,000",-,-,"-2,899,598"
62,10/31/2007,"794,039","-6,147,145","5,273,158",945.985,"1,789,802",-,-,"-98,016",-,"4,263","1,663,123",-,"696,023"
63,7/31/2007,"-2,851,422","-1,282,043","4,166,965",-,"1,985,944",-,-,"-5,094",-,"1,791,340",-,-,"-2,856,516"
64,4/30/2007,"10,359,016","-172,499","-10,241,046",-,"1,994,454",-,-,"-122,111",-,"-1,935,700",-,-,"10,236,905"
65,1/31/2007,"-4,248,089","-6,264,550","10,554,968","1,176","2,112,875",-,-,"-96,414",-,"4,216,343","-7,055",-,"-4,344,503"
66,10/31/2006,"499,217","-7,121,621","6,689,317",-,"2,019,522",-,-,"-94,295",-,-370.262,"21,776",-,"404,922"
67,7/31/2006,"-2,379,421","-5,337,708","12,542,143",-,"1,958,366",-,-,-,-,-,-,-,"-2,778,788"
68,4/30/2006,"3,247,782","1,110,605","-9,393,491",-,"-4,505,973",-,-,-,-,-,-,-,"3,322,885"
69,1/31/2006,"-7,753,755","-1,110,605","9,393,491","-1,138","2,157,487",-,-,"-75,102",-,"1,800,182","-150,205",-,"-7,828,858"
70,10/31/2005,"6,493,329","-2,795,941","-4,180,981","2,405","1,673,161",-,-,"-121,747",-,"267,949","-1,432,544",-,"6,371,582"
71,7/31/2005,"2,542,773","-8,574,980","6,449,455",-,"2,172,156",-,-,"-152,766",-,"-1,329","-2,366",-,"2,390,007"
72,4/30/2005,"4,206,091","1,893,403","-6,046,870",-,"1,797,229",-,-,-,-,"-1,183","-749,408",-,"3,667,048"
73,1/31/2005,"-7,980,650","-10,871,992","19,162,739",0.001,"1,729,099",-,-,-,-,"4,962","-2,481",-,"-7,980,650"
74,10/31/2004,"1,411,123","5,768,374","-7,591,650",-,"1,404,535",-,-,"-192,629",-,"-4,215","39,451",-,"1,218,494"
75,7/31/2004,"-395,499","527,223","197,230","1,331","1,836,327",-,-,-,-,-,"-65,867",-,"-334,722"
76,4/30/2004,"6,899,739","-5,322,157","-1,838,384",-,"1,515,152",-,-,"-64,827",-,-,"32,892",-,"6,834,911"
77,1/31/2004,"-16,844,891","-18,876,390","36,017,734",-,"1,769,455",-,-,"-10,588",-,-,"-190,577",-,"-16,855,479"
78,10/31/2003,"10,705,280","14,827,146","-25,467,918","-1,319","1,467,757",-,-,"-64,954",-,"999,390","-254,471",-,"10,640,325"
79,7/31/2003,"1,108,815","19,715,098","-20,635,796","1,432","1,547,988",-,-,-,-,"903,437","-21,054",-,"1,072,226"
80,4/30/2003,"2,713,018","-15,381,453","12,454,155",-,"1,357,583",-,-,-,-,-88.632,"-57,119",-,"2,713,018"
81,1/31/2003,"-9,373,479","-16,858,273","25,903,285",-,"1,572,384",-,-,-,-,"1,521","-27,372",-,"-9,373,479"
82,10/31/2002,"14,233,919","20,359,184","-34,365,674",0.002,"1,901,869",-,-,"-45,615",-,"551,298","-287,233",-,"14,188,303"
83,7/31/2002,"1,607,535","-2,651,209","807,235","-1,568","1,673,793",-,-,-,-,"4,766","-1,687",-,"1,539,443"
84,4/30/2002,"5,113,613","3,290,784","-7,954,023",-,"1,911,557",-,-,-,-,-15.897,"-338,621",-,"5,113,613"
85,1/31/2002,"-7,023,602","-19,458,261","25,981,308",-,"1,460,478",-,-,-,-,"1,584","-478,378",-,"-7,023,602"
86,10/31/2001,"9,468,657","4,366,930","-13,522,944","1,587","1,961,593",-,-,-,-,"5,114","-835,579",-,"9,468,657"
87,7/31/2001,"-1,464,921","-5,199,637","6,542,705",-,"1,648,318",-,-,-,-,"799,674","-30,000",-,"-1,464,921"
88,4/30/2001,"-5,805,872","3,087,322","2,887,837",-,"1,769,042",-,-,-,-,-,"-405,993",-,"-5,805,872"
89,1/31/2001,"-7,030,430","-12,172,088","19,280,468",-,"1,599,460",-,-,-,-,-,"-86,943",-,"-7,030,430"
90,10/31/2000,"2,182,255","10,825,761","-13,254,838",-,"1,521,474",-,-,-,-,"-260,885",-,-,"1,988,834"
91,7/31/2000,"-570,834","-6,123,410","6,369,498",-,"1,770,214",-,-,-,-,"516,819",-,-,"-570,834"
92,4/30/2000,"-488,685","13,089,260","-12,473,157",-,"2,092,713",-,-,-,-,"1,036,465",-,-,"-488,685"
93,1/31/2000,"-7,035,012","-10,101,997","17,639,034",-,"1,966,001",-,-,-,-,"95,052",-,-,"-7,035,012"
94,10/31/1999,"2,652,899","6,290,928","-9,569,138",297.59,"1,464,028",-,-,-,-,-,"-228,982",-,"2,379,837"
95,7/31/1999,"-4,609,999","-8,536,965","13,549,069",-4.588,"2,069,064",-,-,-,-,-,"148,954",-,"-4,609,999"
96,4/30/1999,"1,962,994","1,575,963","-4,505,977",5.202,0,-,-,-,-,-,"-154,009",-,"1,962,994"
97,1/31/1999,"-9,814,927","-23,339,931","34,429,974",-151.08,0,-,-,-,-,-,"-51,972",-,"-9,814,927"
98,10/31/1998,"9,362,037","26,551,027","-35,907,115",151.17,0,-,-,-,-,"-275,044",-,-,"9,020,009"
99,7/31/1998,"-15,139,005","-3,681,019","18,937,997",-8.007,0,-,-,-,-,"133,019",-,-,"-15,139,005"
100,4/30/1998,"-7,803,040","-4,787,893","12,634,983",-,0,-,-,-,-,"-42,071",-,-,"-7,803,040"
101,1/31/1998,"-3,192,952","-7,920,052","11,124,072",-,0,-,-,-,-,"431,047",-,-,"-3,192,952"
102,10/31/1997,"-1,293,941","-3,554,072","4,769,046",-,0,-,-,-,-,"618,048",-,-,"-1,448,990"
103,7/31/1997,"-1,154,087","-2,684,936","3,885,076",-,0,-,-,-,-,"-248,901",-,-,"-1,154,087"
104,4/30/1997,"-4,926,915","-11,809,015","16,566,971",-134.789,0,-,-,-,-,-,-,-,"-4,926,915"
105,1/31/1997,"-687,020","-4,522,038","5,021,971",134.79,0,-,-,-,-,-,-,-,"-687,020"
106,10/31/1996,"-1,417,953","-2,912,086","4,593,990",-,0,-,-,-,-,-,-,-,"-2,298,889"
107,7/31/1996,"-455,023","-3,705,952","4,129,918",-,0,-,-,-,-,-,-,-,"-455,023"
108,4/30/1996,"501,010","-8,078,007","7,524,063",-137.438,0,-,-,-,-,-,-,-,"501,010"
109,1/31/1996,"348,955","2,869,021","-3,018,004",137.439,0,-,-,-,-,-,-,-,"348,955"
110,10/31/1995,"667,751","-4,048,810","3,337,265",-,0,-,-,-,-,-,-,-,"488,524"
111,7/31/1995,"339,091","-1,967,391","1,878,475",-,"567,645",-,-,-,-,-,-,-,"339,091"
112,4/30/1995,"742,425","-309,239","-441,377",-0.002,"317,878",-,-,-,-,-,-,-,"742,425"
113,1/31/1995,"70,704","-2,034,485","1,627,190",0.001,"325,637",-,-,-,-,-,-,-,"70,704"
